errors often imaginary	26-58460-S
eventful	16-53114-B
eventful years	35-51014-B
events	1-44160-S,4-41175-S,21-19307-S,23-61761-S,23-62547-S,23-62854-S,25-7961-S,27-62952-S,27-63320-S,31-41644-S,39-46555-S,41-8490-S,45-40686-S,47-50643-S,56-28854-S,57-65805-S,57-66026-S,57-67436-S,58-32879-S,59-45581-S,60-15659-S,61-24036-S,61-60689-S,62-47815-S,66-29902-S,69-63638-S
events and happenings	16-12860-S
events athletics competition	24-4960-S,43-38128-S
events brings forth the hero	31-39692-S
events in the family	66-64569-S
events inscribed on a tablet	46-28644-S
events not too encouraging	2-4089-S
events or states of short duration	66-20587-S
events such as sports matches	16-13020-S
events such as the biblical flood	40-27683-S
events time	62-66090-S
eventuality	2-27535-B
eventually	49-36132-B,50-33923-B
ever	14-30202-B,22-29633-B,32-16427-B,49-45481-S
ever green	22-32561-B
ever having burned incense 成语 saw	27-12591-S
ever more	45-2669-B
ever since	5-16905-B,53-5914-B
ever since a long time ago	65-15381-B
ever victorious	44-54226-S
everbright bank	2-54078-S
everbright bank 中国光大银行	7-7805-S
everest	42-44696-S,42-45659-S
everest 1790 1866	68-44119-S
everest name	68-44119-B
everest transliteration	68-44225-S
everglade	37-25510-B,37-25575-B
evergreen	22-31970-B
evergreen pine and cypress 成语 saw	55-3049-B
evergreen shrub	34-31983-B,34-38889-B
everlasting	36-48329-B,36-50070-B,36-51336-B,40-55162-B
everlasting reed	54-20489-S
everton soccer team	15-58304-B
everton town in northwest england	15-58304-B
every	5-53174-S,7-33465-B,8-28944-B,8-29366-B,12-28191-B,12-28544-B,13-10567-B,35-51262-B,36-4992-B,36-5025-B,44-59452-S,53-62754-B
every angle	28-34613-S
every area	7-41231-S
every aspect	68-4047-S
every battle	44-54226-S
every battle 成语 saw	26-18920-S
every case	28-65063-S,50-31603-S
every cloud has a silver lining	67-14838-B,67-15029-B
every color under the sun	3-55658-B
every country	12-28895-B
every day	1-33352-S,17-45795-B,31-7370-B,36-5265-B,60-25601-S
every day and every month	31-7491-B
every description	12-57366-S
every description 成语 saw	10-48569-S,18-585-S
every detail regardless of its importance	1-9428-S
every different kind of	23-54283-B
every dog has his day	68-55421-B
every drop returns to the public good 成语 saw	38-36525-B
every effort to	9-46783-S
every family	10-48731-S
every family goes through its problems 俗语 common saying	19-61691-B
every household 成语 saw	26-24834-S
every hundred years drought	44-53213-S
every inch	57-30450-S
every instance	13-11754-S
every kind of	12-30124-B
every living being buddh 	55-14623-B
every living thing has buddha nature	17-21660-S,38-28231-S
every means	44-56270-S
every minute and second 成语 saw	8-56936-S
every moment counts	8-56936-B
every month	31-7491-S
every nook and cranny	39-36715-S
every opportunity	40-49606-S,57-30307-S
every ounce	30-37613-S
every part of the country	7-35272-B
every person	4-6043-B
every place	12-30439-B
every possible consideration	70-7031-S,70-10121-S
every possible method to do sth	25-25773-S
every possible way	6-29508-S,44-56270-S,65-55349-S
every possible way 成语 saw	40-51264-S
every question	1-4844-S
every scrap of reputation	18-44986-S
every seat taken	39-38266-B
every second and every inch	57-30450-S
every shot hits the target	44-55329-B
every side 成语 saw	21-58371-S
every so often	36-6721-B
every step	35-42638-S,35-42696-S,35-42696-S
every successful man has a dedicated woman behind him	26-8394-S
every ten day	31-16421-S
every ten days	31-16490-S
every three days 成语 saw	1-33352-S
every time	14-54862-B,36-6100-B,36-6259-B,36-6447-B,62-19382-B
every trade	12-30483-B,56-34861-S
every tree or bush an enemy soldier 成语 saw	54-14773-S
every trick in a card game	39-41096-S
every undertaking	26-18920-S
every week	36-5180-B
every word	19-5306-S
every word a gem 成语 saw	19-4690-B
every year	22-48456-B,36-5388-B,36-5450-S
everybody	36-5119-B,43-67915-S
everybody a term of address	12-28273-B
everybody talking at once	1-27226-S
everyday	31-6792-B,36-5265-B,49-58724-B,62-7015-B
everyday clothes	5-29489-B
everyday duties	22-30078-B
everyday home cooking	19-61981-B
everyday life	60-16659-B
everyday use	31-10636-S
everyone	4-6043-B,12-25246-S,12-28223-B,12-36105-S,13-29888-B,17-5222-S,17-14992-B,17-17661-S,18-54780-S,25-63858-S,32-34243-S,36-5119-B,44-4732-S,45-52881-B,45-52925-S,54-24002-B,54-24159-S,58-47409-S,69-60570-S,69-60672-S,69-62601-S
everyone as an enemy	54-14773-S
everyone can appreciate 成语 saw	32-37212-S
everyone can remember when 	32-15821-B
everyone connected	25-33806-S,25-33955-S
everyone else beneath one 成语 saw	45-16023-S
everyone enjoys themselves to the full then party breaks up	6-56311-B
everyone equally favourably 成语 saw	1-20498-S
everyone gives of their best	4-14809-B,4-14927-B
everyone gives their own view	12-29502-B
everyone in a captured city	21-23528-S
everyone in same institution	17-37662-S
everyone is against the idea	51-11461-B
everyone knows 成语 saw	45-53193-S,45-53282-S
everyone minds their own business	3-56645-B
everyone present	7-35747-B
everyone present applauds	39-37240-B
everyone s lips	6-39910-S
everyone says 成语 saw	4-5939-S
everyone swarms around pushing and shouting	1-16401-B
everyone 成语 saw	19-61234-S
everything	1-3137-B,1-3180-B,1-71497-S,2-36562-S,3-28826-B,8-6370-S,8-29092-B,10-15926-S,11-9212-S,13-24287-S,13-54683-S,14-11917-S,22-27288-S,39-52589-S,40-53365-S,49-54022-B,51-56550-S,56-25487-S,58-47604-B,64-16697-S,67-3542-S,68-3940-S,68-3940-S
everything about it is wrong	1-14500-B
everything and more	10-42491-B
everything becomes clear	45-43737-B
everything bodes ill	7-1405-B
everything broken and in disorder	1-28985-S
everything clear and in good order 成语 saw	3-56796-B
everything clear and orderly 成语 saw	3-56157-B,32-35058-B
everything concerning a job	10-18620-S
everything else	41-62858-S
everything foreign and pander to overseas powers 成语 saw	21-42451-S
everything has its ancestral home	54-50672-B
everything in a desperate situation	35-59864-S
everything in disorder 成语 saw	3-25990-B,36-62511-B,40-34381-B
everything in one net 成语 saw	1-17915-S
everything in the garden is lovely	39-36527-B
everything into account 成语 saw	39-38702-S
everything is going smoothly	68-26932-B
everything is going very well	11-49457-S
everything is unfamiliar	4-14639-B
everything japanese	13-38747-S
everything of fog	23-50971-S
everything of the sun	31-50205-S
everything one can	18-18094-S
everything one could imagine	25-60015-B
everything one touches	39-37464-S
everything oneself 成语 saw	10-18713-S
everything out including the tray	13-24287-S
everything remaining	10-13860-S
everything steady and stable 成语 saw	14-49300-B
everything sticking out	57-1453-B
everything that is on one s mind	6-46755-S,6-49335-S
everything that needs to be thought of	24-36427-S
everything to avoid	9-46036-S
everything to help sb	6-47169-S
everything together	49-64231-S
everything under the sun	38-15928-B
everything 成语 saw	10-15175-S,58-62318-S
everywhere	6-47257-S,9-10134-B,11-68916-S,14-46021-B,14-53119-S,26-59976-S,27-64128-S,31-47223-B,36-6394-B,36-10932-S,39-35405-B,39-37745-S,39-52210-B,39-52309-B,39-52449-B,44-18392-S,54-55748-B,55-50602-B,60-36340-S,62-42226-B,62-42290-S,62-42346-B,62-42399-S,62-42531-S,62-49230-S,66-43312-B,66-44976-B,68-27885-S
everywhere and all directions	14-52646-B
everywhere of disease	11-66913-S
everywhere of light	23-51277-S
everywhere over a thousand miles 成语 saw	61-23724-S
everywhere present	40-16516-B
everywhere under the sun	3-51501-B
everywhere 成语 saw	44-18392-S,69-14376-S
evesdrop	45-9932-S
evidence	2-50298-S,3-31779-B,4-16333-S,5-1077-B,5-42791-B,20-14844-S,23-30878-S,24-22725-B,25-55372-B,27-15798-S,28-5521-S,28-56529-S,45-42396-S,51-34439-S,56-29692-S,58-60577-B
evidence against sb	58-29886-S
evidence in law or in textual criticism	19-13605-S
evidence in legal proof	58-60721-S
evidence of a case	34-4653-S
evidence of murder	56-29692-B
evidence that one can rely on	25-55469-B
evidence 成语 saw	45-42396-S
evident	2-29084-S,68-51357-B,68-52417-B
evil	5-6843-S,12-66468-B,18-25071-S,18-25586-S,19-19945-S,19-58469-B,23-24736-B,23-58150-S,25-18726-B,25-18841-B,25-20541-S,25-23777-S,28-11342-S,34-32591-S,34-32662-S,35-55563-B,37-21703-S,40-53009-S,46-52361-S,59-28488-S,62-57206-S,63-7092-S,63-18395-B,63-18651-B,63-18711-S,66-14802-S
evil and follow virtue	29-44350-S
evil and return to good	29-46523-S
evil and return to virtue	34-18667-S
evil and suffer the consequences	42-39839-S
evil and usher in good	28-45128-S,40-5307-S
evil and you will bring about your own destruction	16-63216-S
evil as an enemy 成语 saw	44-6890-S
evil behavior	25-20356-B
evil behavior 成语 saw	25-19651-B
evil can only lead to disaster	69-11675-S,69-11878-S
evil completely 成语 saw	66-22063-S
evil conduct	25-23957-B,29-66141-B
evil consequence	25-21887-B
evil countenance	25-22701-B
evil creature preventing a buddhist monk from progressing to enlightenment	34-33207-B
evil crimes fill heaven 成语 saw	50-51788-B
evil custom	25-19364-B
evil deed	16-34473-B
evil deeds	65-31388-S
evil deeds spread a thousand miles 成语 saw	25-18892-B
evil designs	2-10949-S,57-31255-S
evil desire	63-18580-B
evil doer	9-61525-S,16-34610-S,18-24814-S,19-58855-B,40-33310-B
evil doers mill around like wild beasts	42-9857-S
evil doing	67-62839-B
evil dragon revalation	26-25982-B
evil element	69-15315-S
evil force	46-65354-B
evil forces	25-19542-B
evil former regime	69-15315-S
evil has its retribution 成语 saw	25-21703-B
evil influence	39-57461-S
evil intention	25-21113-B
evil intentions	21-18593-S,55-30908-S
evil intentions 成语 saw	10-17682-S,53-65639-S
evil look of deep set eyes	45-46604-B
evil oath	25-23480-B
evil omen	66-45617-B
evil or wicked conduct	25-23175-B
evil person	18-24595-S,25-19037-B
evil person who commits crimes	35-55601-B
evil plans	31-60777-S
evil portent	40-27189-S
evil portent in astrology	31-31869-S
evil practise refers to mencius 孟子	18-38317-S
evil reputation	25-19803-B,25-22917-B
evil smell	25-22101-B
evil smile	18-25238-B
evil spirit	18-34895-B,25-24180-B,46-51389-B,46-63211-B,63-19058-B,70-32462-B
evil spirits	46-54055-S,48-6859-S,61-33974-S,63-7582-S,63-19011-B,69-56843-S
evil temporarily	30-24969-S
evil thought	25-48753-B,63-18580-B
evil tongue	25-23316-B
evil tyrant	25-24079-B
evil ways	38-45906-B,63-18510-B,63-18942-B
evil ways and return to virtue	1-49098-S
evil wind	18-35092-B
evil words	25-23521-B
evil 成语 saw	10-10766-S,23-58150-S,25-23777-S
evildoer	18-34765-B
evildoer 成语 saw	18-40181-S
evils	20-16690-S
evoke attention	14-6607-S
evolution	39-45520-B,39-47060-B,62-29154-B,62-29197-S
evolution early translation	17-49913-B,17-49991-S
evolution of sth over time	37-27875-B
evolutionary line	47-33655-B
evolutionary strategy for seed dispersal	33-36583-S
evolve	39-45300-S,39-47005-S,56-36147-S
evolve from	44-33252-S
evolve the new from the old	28-33047-S
evolve together	12-35300-S
ewe	36-4342-B,51-9809-S
ewenki zizhiqi place in inner mongolia	63-28837-S
ex	9-18237-B
ex gratia payment	41-58614-B,41-58744-B
ex wife	9-19540-B
exacerbate	9-52586-S,61-21429-S
exact	39-17222-B,46-33235-B,48-52826-B,48-54408-B,49-26044-S
exact division	30-16522-B
exacting	53-65090-B
exactly	9-27374-B,9-27601-B,12-11032-B,21-9715-B,25-5071-B,25-5697-B,30-14635-B
exactly abreast of one another	62-25879-S
exactly as stated	21-9715-S
exactly like	25-5106-B
exactly the same situation a second time	4-62488-S
exactly the same sound	12-52576-S,12-52650-S,12-52742-S
exactly the same thing usually derog 	1-24039-S
exactly the same 成语 saw	1-12407-B
exactly without remainder in integer arithmetic	30-16522-S
exageration	35-66390-S
exaggerate	32-56503-S,58-19264-S,58-19361-B,58-19404-S,59-6889-S,60-54248-S,62-48737-S
exaggerate certain adjectives	7-70152-S
exaggerate one s sex appeal	53-437-S
exaggerated	58-19404-B
exaggerated opinion of one s own abilities	2-21246-S
exaggeratedly or falsely	55-55525-S
exaggerating	5-20093-B
exaggeration	62-48797-B
exaggeration to scare people	51-67318-S
exalt	29-25633-B
exalt virtue	28-45128-S,40-5307-S
exaltation	60-19954-B
exalted	5-63587-B
exalted sentiments	53-51283-S
exam	2-70866-S,2-82879-S,12-58218-S,17-70269-S,29-43304-S,31-58415-S,45-9841-S,49-51333-S,51-32161-S,51-32237-S,51-32307-S,51-32358-S,51-32358-S,51-32766-S,51-33092-S,51-33143-S,51-33705-S,51-33807-S,51-34273-B,52-56650-S,65-30947-S,70-20503-S
exam area	51-32633-S
exam attendance register	51-32565-B
exam board	51-34311-B
exam candidate	51-33705-B
exam candidates	8-40107-S
exam date	51-33592-S
exam during the ming and qing	63-30645-S
exam for sb	4-32955-S
exam for sb else	34-44394-S
exam for teaching diploma in french universities	32-22959-S
exam mark	51-32454-B
exam or the imperial exam	2-70866-S
exam paper	44-37112-S,51-32718-S
exam period	51-33592-S
exam question	68-42769-B
exam records	51-32503-B
exam room	51-33047-B,58-12662-B
exam scripts	26-41159-S
exam takes place	51-32633-S
examination	2-79559-S,8-63075-S,11-42774-S,11-69785-S,16-11997-S,20-23229-B,23-20016-S,24-6335-S,24-16315-S,25-61307-S,32-25212-S,32-51136-S,32-51669-S,35-43680-S,36-2434-S,47-21332-S,48-16411-S,51-63000-S,56-58955-S,58-12387-B,62-29483-S,63-60010-S,70-7700-S
examination authority	51-34311-B
examination e g across the country	49-53053-S
examination paper	11-26109-B,11-26486-B,48-20486-S,58-12549-B
examination system	47-21384-S
examination to determine cause of death etc	69-58223-S
examination yuan during republic of china	51-34311-S
examinations	22-47473-S,69-23592-S
examinations in former times	43-19747-S
examine	4-61783-S,13-35343-S,20-10355-B,20-10355-S,20-11149-S,20-20557-S,20-20916-B,20-21638-S,20-21798-S,20-22714-B,20-23025-S,29-43304-S,33-45415-S,33-46544-S,33-53995-S,35-12547-S,35-13325-B,35-14610-S,35-14674-S,45-10338-S,45-10618-S,45-39304-S,46-13522-S,51-32161-S,51-34039-S,57-29279-B,57-42113-S,58-45288-B,58-45556-B,69-57743-S
examine and approve	20-20979-S,20-21517-S
examine and fix a motor	35-12601-S
examine and judge the situation	20-21272-S
examine and recognize	61-38102-S
examine and revise	20-22772-S
examine by fluoroscopy i e x ray	62-1206-S
examine closely	20-21049-S
examine finances	20-22839-S
examine legal	45-11986-S
examine minutely	61-56577-S
examine oneself	45-33984-S
examine oneself critically	45-33026-S
examine or treat medically	58-4855-B
examine roots and inquire at the base 成语 saw	20-45227-S,45-11228-S,58-12152-S,61-58233-S
examine sb s political record	29-54298-B
examine the cadres	20-21117-S
examine tiny clues to know general trend 成语 saw	20-10768-B
examine under torture	27-50496-S
examinees	34-39521-S
examiner	51-33143-S
example	2-32595-S,3-29035-B,5-20149-B,5-20425-S,5-20489-B,5-20779-B,5-20835-B,8-5915-B,20-12094-S,22-29463-S,25-39302-S,34-39621-B,34-52379-B,34-59094-S,34-59520-B,36-127-S,36-10287-S,40-32260-S,41-55884-S,43-56464-S,46-45782-S,46-46709-S,48-30492-B,48-30640-B,53-26684-S,53-26734-S,56-45381-B,57-42693-S,57-64053-B,59-2224-S,59-2365-S,65-6261-B,65-6307-B
example confucian ideal	24-27406-S
example of	29-62595-S
example of an abbreviated slogan or catchphrase	1-29511-S
example of others	12-49154-S
example of sb by punishment to frighten others	36-1705-S
example sentence	5-20270-B,5-20731-B
example to be followed	2-32595-S
example to others	35-66143-S,36-1329-S,36-1517-S,36-1880-S
example 成语 saw	4-38996-S
examples	13-66256-S,19-17423-S,19-17602-S
exams	9-48159-S,31-36208-S,51-33807-S,53-26617-S,54-50044-S,56-58790-S
exasperate	5-14044-B,25-26682-S
exasperated	36-28100-S
exasperatingly slow	25-48953-B
excavate	27-66754-S,27-66915-S,27-67139-S,28-21119-B,44-29409-B,65-35895-S,65-35963-S
excavating ore using stepped terraces	14-55541-S
excavation	8-37476-S,47-23950-S,47-25250-S
excavator	27-66807-B,27-66977-B
exceed	38-12409-S,60-19642-S,60-19872-S,60-23942-S,60-24230-S,60-24297-S,60-25465-S,60-26245-S,62-34674-S,62-34758-S,66-37154-B,70-15715-S
exceed a production goal	60-21900-S
exceed by far	62-63116-S
exceed one s authority	60-27460-S
exceed one s place and meddle in other people s affairs	60-25771-S
exceed the norm	60-21670-S
exceed the time limit	62-46395-S
exceeding all expectations	8-33973-B
exceedingly	2-8472-B,10-42491-B,34-34094-B,34-35498-B
exceedingly good	60-19799-B
exceedingly sentimental	50-46223-B
exceeds demand	5-22103-S,5-23290-S
excel	10-4420-B,21-44809-B,57-25715-S,60-47348-S,62-43320-S
excel by far	7-34457-S
excel in some field	29-18260-S
excel the others 成语 saw	8-47262-S
excellence	7-33940-S,9-35627-S,10-63637-B,42-61204-B
excellence in work is only possible with diligence	34-32835-B
excellent	5-10863-B,6-57087-B,6-58250-B,6-58305-B,13-48821-B,14-27422-B,18-5955-B,34-20697-B,41-60543-B,47-6286-B,58-17425-B,68-16583-B,68-19900-B,70-21992-B
excellent quality	6-58550-B,12-53856-B
excellent theory	12-53164-B
excellent wine	5-11609-B
excelling both in morals and studies 成语 saw	13-33678-B
excelsa	33-52597-S
except	66-21221-B,66-21426-B
except for	4-36678-B,66-21334-B,66-21534-B,66-21915-B
except for the us	51-3090-B
except slight differences	17-9183-B
exception	1-8495-S,5-20318-S,5-50598-S,7-42339-S
exception s	5-20370-B
exception to	1-67242-S
exceptional	6-58187-B,8-37943-B,43-60836-B,60-19733-B,67-64607-B
exceptional charm	9-3784-S
exceptionally	4-44683-B
exceptionally beautiful	43-2627-B
exceptionally good	41-60543-B
exceptions	1-12240-S
excerpt	28-64323-S,28-64500-S,28-64638-S,63-1409-S
excess	42-5473-S,59-39385-S,62-43768-B,62-44635-B,62-48544-B,63-41363-S
excess code i e the unused bits in binary coded decimal	69-16778-B
excess of joy may lead to sluggishness of vital energy traditional chinese medicine	14-7343-S
excess of some number	69-14715-S
excess personnel	8-12625-B
excessive	24-44371-B,38-12409-B,38-45670-B,40-10294-B,40-50646-B,62-43392-B,62-43712-B,62-44304-B,62-44635-B,67-10513-B
excessive ambition	43-59073-S
excessive attention to trivia saps the will	42-40017-B
excessive concern	62-44899-B
excessive enthusiasm	27-34505-S
excessive expectations	18-12148-S
excessive ingenuity	51-64967-B
excessive politeness	9-3489-S
excessive praise	34-53633-B
excessive stress	62-44813-B
excessively	23-63929-S,50-31035-S,62-42853-B,62-45986-B
excessively tolerant	18-40031-B
exchange	1-53129-S,2-81552-S,3-44979-S,3-68838-S,3-69885-B,3-69885-S,3-70505-B,3-70505-S,5-62129-S,7-20005-S,10-37629-S,10-38943-S,16-45225-S,18-8498-S,18-8718-S,18-9098-S,20-50460-S,28-45752-B,29-13495-S,30-26067-S,30-26376-S,32-17584-B,36-9438-S,39-31091-S,47-18023-S,49-11934-S,49-16540-S,49-19471-S,50-33842-S,50-33842-S,52-10506-S,52-10683-S,58-37575-S,58-59700-S,58-60035-S,59-48250-S,61-24211-S,67-9403-S
exchange commission sec	19-24283-S,51-5233-S,58-59762-S
exchange conventional greetings	20-9209-S
exchange fire	27-52557-S
exchange flirting glances with sb	45-16891-S,45-35301-S
exchange for compensation payment and unequal treaty rights	29-45849-S
exchange for shares	20-47267-S
exchange foundation sef	38-18302-S
exchange of cups of wine between bride and groom as traditional wedding ceremony	3-70313-S
exchange of data	67-28243-S
exchange of gifts between lovers	60-2786-S
exchange of goods	62-14457-B
exchange of goods by bartering not involving money	53-9413-S
exchange of ideas	24-54759-B
exchange of unequal values	2-23588-B
exchange rate	10-37693-B,10-38897-B,27-56517-S
exchange reserves	16-45286-S
exchange roles	20-56541-S
exchange shop	46-64387-S
exchange student	43-49128-S
exchange toasts	63-43505-S
exchange value	3-69230-B
exchange visits	3-46389-B
exchange work	59-8018-B
exchanged	8-15453-S,31-60674-S
exchanged between governments	41-7938-S
exchanged between nations	15-9178-S
exchanged between sworn brothers	55-46515-S,64-14685-S
exchanger	15-24319-S
exchanging conventional greetings	20-9432-B
exchequer	15-8473-S
excise	8-63402-S,28-64693-S
excise cut out	9-34283-S
excitable	25-60102-B
excitable person	24-58373-B,24-58451-B
excitation	2-47062-S,2-47062-S
excite	5-15453-S,26-53488-S,39-27143-B,40-4211-S,40-4618-S,40-5545-S,40-5778-B,51-67244-S
excited	9-69259-S,53-23763-B
excited and unable to act rationally	37-13185-S,56-39708-S
excited with	61-53436-S
excited 成语 saw	35-32128-S,53-26121-S,53-26242-S
excitedly	9-65595-B,37-13552-B,66-52511-S
excitement	41-22844-S,45-39002-S,53-23763-B,53-23892-S,68-2743-S
excitement 成语 saw	41-20457-S,48-55736-S
exciting	4-34366-B,5-15453-B,9-13440-B,22-28204-B,26-53488-B,40-4618-B
exclaim	14-26789-B,35-26762-B
exclaim in admiration	69-60117-S
exclaim in astonishment	69-60195-S
exclamation	12-9184-B,13-7797-B,14-25930-S,14-27250-B,25-40265-B,25-40457-B
exclamation mark	25-40339-B,69-60276-B
exclamation mark punct 	35-26893-B
exclamation of regret	14-23875-B
exclamatory or interrogative particle	13-41070-B
exclamatory particle	14-39-S,14-44136-S
exclamatory phrase	25-40265-B
exclude	28-16446-S,29-28183-B,66-21221-S,66-21915-S
exclude foreign contact	64-52371-S,65-29378-S
excluding	3-10796-B
excluding anything	40-52854-S
excluding initial consonant and tone	68-17732-S
excluding iron	32-39292-S
exclusive	2-47614-S,3-45148-S,20-39319-B,28-15172-B,42-18935-B
exclusive control	20-39215-B
exclusive economic zone	20-38831-B
exclusive interview	20-41185-B
exclusive investment	42-21739-B
exclusive right to trade	20-41299-B
exclusive selling rights	10-19174-S
exclusively kept for emperor or nobility in former times	15-21780-S
exclusively of the emperor	31-44560-S
excommunicate	49-47674-S
excoriate	13-16248-S
excrement	17-5687-B,28-17363-B,28-17523-B,48-62356-B,52-52921-S,70-50706-S
excrescence	60-2047-B
excrete	28-17213-S,28-17479-S
excruciating	54-43758-B
exculpate	8-58683-S,65-40509-S,65-40579-S
excursion	62-63191-B,62-64359-S
excuse	5-63638-B,5-64630-B,6-115-S,7-20160-S,10-16357-B,11-35600-S,20-24082-S,20-27720-S,26-52601-B,26-59290-S,45-32822-B,55-28024-B,57-65614-B,61-38059-S,61-38977-S,69-9403-B
excuse me	5-64058-B,6-1565-B,10-6449-B,17-68145-B,29-22752-S
excuse oneself because of illness	58-56911-S
excuse to hide a fault	69-8964-B
excused	13-8755-S,30-12502-S
excuses	8-58873-S,58-42070-S,59-45811-S
excuses to delay working	25-63967-S
excuses to get off a charge	8-44147-S
excuses 成语 saw	21-60616-S
executable file	35-11735-B
executable program	62-30903-B
execute	15-65610-S,28-33967-B,30-65228-S,34-45199-S,56-31206-B,58-18107-S,62-30357-S
execute a condemned criminal	55-50151-S
execute a plan	15-64636-B
execute by firing squad	34-44920-S
execute by hanging	49-48491-S
execute by shooting	34-44920-S
execute sb and mince his flesh and bones archaic form of retribution	54-38528-S
execute the whole family unto the third generation	39-41575-S
executed	4-54720-S,11-60213-B,30-38074-S,62-35766-B
executing commander	15-65767-B
execution	8-64451-S,20-22549-S,30-38177-S,35-11735-S,50-22791-S,52-56073-S,55-50087-S
execution by fire	40-20179-B
execution ground	37-30436-B
executioner	9-43511-B
executioner hangman	15-65682-B
executioner raises one s queue	51-20623-S
executioner s block	65-6964-B
executive	3-7062-B,15-65855-S,64-17510-S
executive chef	23-6355-B
executive committee of communist party or guomindang	2-65966-S
executive council hong kong	56-33117-B
executive director kenneth roth	50-58698-S
executive from 1997 to 2005	54-59447-S
executive government branch	56-33269-B
executive order	56-32962-B
executive yuan government body in taiwan	56-33428-B
executor	15-65682-S
exegesis	63-53564-B
exemplar	3-29035-B
exemplary character	22-26686-B
exemplify	5-20595-B,70-8393-B
exempt	7-20160-S,59-16427-S
exempt from	7-21419-B,59-16365-B
exempt sb from duty	7-21419-S
exemption	7-21419-B,41-56336-S,59-16427-B
exercise	4-40458-S,5-50213-S,6-19021-S,8-39893-S,8-39893-S,29-20338-S,31-47014-S,33-58852-S,37-63854-B,39-46652-B,43-18976-S,50-24380-B,50-24532-B,51-60827-S,57-64597-B,60-63272-S,64-50285-S,70-9422-S
exercise a right etc	56-31456-B
exercise book	50-24747-B
exercise booklet	50-24589-B
exercise control over	28-28941-S
exercise forbearance	24-43660-S
exercise in memory or composition	20-56441-S
exercise magical powers	13-19755-S
exercise one s mind	62-40016-S
exercise patience	24-43503-S
exercise restraint	5-37316-S
exercise sole hegemony 成语 saw	42-22085-S
exercise yard	62-38919-B
exercises	51-18802-S,61-181-S,68-43263-S
exercises commonly performed en masse at schools and workplaces in east asian countries	31-13857-S
exercises physical exercises commonly performed en masse at schools and workplaces in east asian countries	31-13857-S
exert	9-62018-S
exert a gradual influence	41-12758-S
exert all one s strength	5-13126-B,5-14948-S
exert effort or pressure	30-65360-B
exert oneself	1-73004-S,8-36012-S,18-17965-B
exert oneself physically	43-34344-B
exert the mind	25-62105-B
exertion	9-60765-S,12-26582-S
exhale	13-16787-S,14-34149-B,55-50662-B
exhaust	12-26030-S,14-14021-S,35-64301-S,40-277-S,43-35797-S,45-7675-S,47-65021-S
exhaust gas	23-9127-S
exhaust gas etc	28-16384-B
exhaust pipe	28-16828-B
exhaust the bamboo slats	50-49972-S
exhaust vent	28-18554-B
exhausted	8-25296-B,10-9954-B,10-39719-B,25-54208-B,33-39033-B,42-10647-S,44-6298-B,45-7675-B,47-56934-B,47-57702-S,49-30859-S,50-49924-B,65-51330-B
exhausted and hungry	47-57780-B
exhausted enemy	4-39235-S
exhausted of resources	33-38791-B
exhausted used up	43-34206-B
exhausting	61-33232-B
exhaustion	30-8822-B,47-65102-B,55-53767-B
exhaustion an early form of integral calculus	47-57465-S
exhaustive	13-11754-B,58-17049-B,58-17145-B
exhaustively	33-64800-S
exhibit	21-22089-S,21-22684-S,29-29351-S,44-29645-S,66-26233-B,66-26910-B,68-50157-S
exhibit legal	58-61022-B
exhibit one s skills	67-46431-S
exhibition	5-53449-S,21-22684-B,21-22763-B,21-22886-S,21-22975-S,43-58552-S,56-45281-B
exhibition case	21-22621-B
exhibition game	41-22007-B
exhibition hall	21-22824-B,41-12581-S
exhibition of oneself	8-41047-S,17-9611-S
exhibition room	21-22166-B
exhilaration	24-7832-S
exhilaration follows a hard won victory	40-63881-S
exhort	5-33986-B,8-61111-S,9-66621-B,10-2885-B,10-2923-B,10-10251-B,10-10382-B,10-10627-S,10-11417-B,12-10735-S,14-44821-S,58-215-B
exhort again and again	12-10796-S
exhortation	10-10627-B
exile	8-34335-S,8-38091-S,38-1742-S,38-1742-S,38-2988-S,38-3682-B,39-44860-S,39-44979-S,61-64888-S
exile as penal servitude	58-58250-S
exile e g of tibet	38-1909-S
exile from prison	3-65766-S
exile overseas	38-1818-S
exile to a border garrison post	26-6574-B
exiled	38-1742-S
exist	15-33424-S,19-7194-B,19-7568-S,19-8416-S,32-29282-S,32-36651-S,37-9795-S,43-20066-S
exist at the same time	5-11900-S
exist forever	65-13098-S
exist in buddhism	43-30677-S
exist or perish	19-7249-S
exist side by side	2-47170-B
exist simultaneously	2-47170-B
exist together 成语 saw	10-6945-S,58-23057-S
existence	5-24336-S,5-64886-S,9-22063-S,15-51019-S,39-43136-S,68-60710-S
existence of god	32-37586-S
existentialism	19-7616-B
existing	31-4949-B,42-48620-B,42-50461-S
existing elements	32-23505-S,32-23744-S
existing elements i e a combined ideogram 會意 会意 or radical plus phonetic 形聲 形声	12-38302-S
existing models	14-62086-S
existing state of affairs	3-30881-B
exists only in name	32-31078-B,32-31208-B
exit	8-35281-S,8-36254-S,25-59449-S,67-8981-S
exit door	8-35559-S,8-46514-B
exit door of the stage	1-59277-B
exit from	23-47271-S
exocrine	16-44507-B
exocrine gland	16-44592-B
exodus	8-37584-B
exogenous	16-48702-B
exonerate	65-40509-S,65-40579-S
exorbitant demands	58-18476-B,58-18561-S,58-18644-S
exorcise	46-20049-S,46-54055-S,69-56780-S,69-56843-S
exorcise demons	6-60139-B
