避其锐气击其惰归	63-6163-S
酚醛 酚醛	63-41615-B
酚醛胶	63-41713-S
酚醛膠 酚醛胶	63-41713-B
酝	63-48900-S
酝酿	63-48930-S
酞	63-41805-S
酞 酞	63-41805-B
酡	63-41848-S
酡 酡	63-41848-B
酢	63-41894-S
酢 酢	63-41894-B
酣	63-41939-S
酣 酣	63-41939-B
酤	63-41973-S
酤 酤	63-41973-B
酥	63-42013-S
酥 酥	63-42013-B
酥松	63-42480-S
酥松油脂	63-42558-S
酥油	63-42089-S
酥油 酥油	63-42089-B
酥油花	63-42128-S
酥油花 酥油花	63-42128-B
酥油茶	63-42246-S
酥油茶 酥油茶	63-42246-B
酥脆	63-42309-S
酥脆 酥脆	63-42309-B
酥軟 酥软	63-42357-B
酥软	63-42357-S
酥酪	63-42429-S
酥酪 酥酪	63-42429-B
酥鬆 酥松	63-42480-B
酥鬆油脂 酥松油脂	63-42558-B
酥麻	63-42652-S
酥麻 酥麻	63-42652-B
酦	63-51218-S
酦酵	63-51258-S
酩	63-42708-S
酩 酩	63-42708-B
酪	63-42749-S
酪 酪	63-42749-B
酪农业	63-42940-S
酪氨酸	63-42792-S
酪氨酸 酪氨酸	63-42792-B
酪氨酸代謝病 酪氨酸代谢病	63-42851-B
酪氨酸代谢病	63-42851-S
酪農業 酪农业	63-42940-B
酬	63-42990-S
酬 酬	63-42990-B
酬偿	63-43054-S
酬償 酬偿	63-43054-B
酬劳	63-43097-S
酬勞 酬劳	63-43097-B
酬和	63-43138-S
酬和 酬和	63-43138-B
酬報 酬报	63-43204-B
酬应	63-43257-S
酬應 酬应	63-43257-B
酬报	63-43204-S
酬答	63-43311-S
酬答 酬答	63-43311-B
酬謝 酬谢	63-43365-B
酬谢	63-43365-S
酬賞 酬赏	63-43420-B
酬赏	63-43420-S
酬載 酬载	63-43463-B
酬载	63-43463-S
酬酢	63-43505-S
酬酢 酬酢	63-43505-B
酬金	63-43558-S
酬金 酬金	63-43558-B
酮	63-43610-S
酮 酮	63-43610-B
酯	63-43640-S
酯 酯	63-43640-B
酯化	63-43668-S
酯化 酯化	63-43668-B
酯酶	63-43716-S
酯酶 酯酶	63-43716-B
酰	63-43758-S
酰 酰	63-43758-B
酰胺	63-43808-S
酰胺 酰胺	63-43808-B
酱	63-50966-S
酱油	63-51006-S
酲	63-43865-S
酲 酲	63-43865-B
酴	63-43899-S
酴 酴	63-43899-B
酵	63-43926-S
酵 酵	63-43926-B
酵母	63-43995-S
酵母 酵母	63-43995-B
酵母菌	63-44041-S
酵母菌 酵母菌	63-44041-B
酵母醇	63-44102-S
酵母醇 酵母醇	63-44102-B
酵解作用	63-44158-S
酵解作用 酵解作用	63-44158-B
酶	63-44225-S
酶 酶	63-44225-B
酶原	63-44262-S
酶原 酶原	63-44262-B
酷	63-44316-S
酷 酷	63-44316-B
酷刑	63-44397-S
酷刑 酷刑	63-44397-B
酷热	63-44446-S
酷熱 酷热	63-44446-B
酷鵬 酷鹏	63-44489-B
酷鹏	63-44489-S
酸	63-44541-S
酸 酸	63-44541-B
酸乳	63-44584-S
酸乳 酸乳	63-44584-B
酸乳酪	63-44624-S
酸乳酪 酸乳酪	63-44624-B
酸奶	63-44675-S
酸奶 酸奶	63-44675-B
酸奶節 酸奶节	63-44716-B
酸奶节	63-44716-S
酸式盐	63-44801-S
酸式鹽 酸式盐	63-44801-B
酸性	63-44856-S
酸性 酸性	63-44856-B
酸曲	63-44899-S
酸曲 酸曲	63-44899-B
酸枣	63-45067-S
酸根	63-44942-S
酸根 酸根	63-44942-B
酸梅	63-45002-S
酸梅 酸梅	63-45002-B
酸棗 酸枣	63-45067-B
酸橙	63-45142-S
酸橙 酸橙	63-45142-B
酸甜苦辣	63-45191-S
酸甜苦辣 酸甜苦辣	63-45191-B
酸痛	63-45251-S
酸痛 酸痛	63-45251-B
酸盐	63-45777-S
酸莓	63-45291-S
酸莓 酸莓	63-45291-B
酸菜	63-45335-S
酸菜 酸菜	63-45335-B
酸葡萄	63-45378-S
酸葡萄 酸葡萄	63-45378-B
酸軟 酸软	63-45433-B
酸软	63-45433-S
酸辣土豆丝	63-45485-S
酸辣土豆絲 酸辣土豆丝	63-45485-B
酸辣汤	63-45578-S
酸辣湯 酸辣汤	63-45578-B
酸辣酱	63-45661-S
酸辣醬 酸辣酱	63-45661-B
酸雨	63-45734-S
酸雨 酸雨	63-45734-B
酸鹽 酸盐	63-45777-B
酹	63-45821-S
酹 酹	63-45821-B
酺	63-45870-S
酺 酺	63-45870-B
酽	63-52199-S
酾	63-52170-S
酿	63-51773-S
酿造	63-51810-S
酿酒业	63-51850-S
醁	63-45922-S
醁 醁	63-45922-B
醃 腌	63-45958-B
醃汁 腌汁	63-46025-B
醃泡 腌泡	63-46075-B
醃漬 腌渍	63-46120-B
醃肉 腌肉	63-46175-B
醃豬肉 腌猪肉	63-46250-B
醃貨 腌货	63-46311-B
醃黃瓜 腌黄瓜	63-46352-B
醅	63-46405-S
醅 醅	63-46405-B
醆	63-46446-S
醆 醆	63-46446-B
醇	63-46478-S
醇 醇	63-46478-B
醇美	63-46568-S
醇美 醇美	63-46568-B
醉	63-46621-S
醉 醉	63-46621-B
醉圣	63-46862-S
醉心	63-46655-S
醉心 醉心	63-46655-B
醉汉	63-46710-S
醉漢 醉汉	63-46710-B
醉生夢死 醉生梦死	63-46754-B
醉生梦死	63-46754-S
醉聖 醉圣	63-46862-B
醉酒	63-46974-S
醉酒 醉酒	63-46974-B
醉雞 醉鸡	63-47013-B
醉鸡	63-47013-S
醊	63-47098-S
醊 醊	63-47098-B
醋	63-47145-S
醋 醋	63-47145-B
醋栗	63-47174-S
醋栗 醋栗	63-47174-B
醋酱草	63-47456-S
醋酸	63-47216-S
醋酸 醋酸	63-47216-B
醋酸乙酯	63-47279-S
醋酸乙酯 醋酸乙酯	63-47279-B
醋酸纖維 醋酸纤维	63-47356-B
醋酸纤维	63-47356-S
醋醬草 醋酱草	63-47456-B
醍	63-47527-S
醍 醍	63-47527-B
醍醐	63-47572-S
醍醐 醍醐	63-47572-B
醍醐灌頂 醍醐灌顶	63-47720-B
醍醐灌顶	63-47720-S
醐	63-47908-S
醐 醐	63-47908-B
醑	63-47942-S
醑 醑	63-47942-B
醒	63-47987-S
醒 醒	63-47987-B
醒世恆言 醒世恒言	63-48043-B
醒世恒言	63-48043-S
醒來 醒来	63-48129-B
醒悟	63-48169-S
醒悟 醒悟	63-48169-B
醒来	63-48129-S
醒目	63-48287-S
醒目 醒目	63-48287-B
醓	63-48368-S
醓 醓	63-48368-B
醚	63-48412-S
醚 醚	63-48412-B
醛	63-48439-S
醛 醛	63-48439-B
醛固酮	63-48471-S
醛固酮 醛固酮	63-48471-B
醜 丑	63-48528-B
醜事 丑事	63-48577-B
醜化 丑化	63-48619-B
醜惡 丑恶	63-48695-B
醜聞 丑闻	63-48742-B
醜詆 丑诋	63-48784-B
醜陋 丑陋	63-48828-B
醝	63-48867-S
醝 醝	63-48867-B
醞 酝	63-48900-B
醞釀 酝酿	63-48930-B
醡	63-49042-S
醡 醡	63-49042-B
醢	63-49090-S
醢 醢	63-49090-B
醣	63-49137-S
醣 醣	63-49137-B
醣类	63-49173-S
醣類 醣类	63-49173-B
醨	63-49220-S
醨 醨	63-49220-B
醪	63-49255-S
醪 醪	63-49255-B
醫 医	63-49306-B
醫務 医务	63-49368-B
醫務室 医务室	63-49415-B
醫務所 医务所	63-49464-B
醫卜 医卜	63-49513-B
醫學 医学	63-49568-B
醫學中心 医学中心	63-49643-B
醫學博士 医学博士	63-49714-B
醫學家 医学家	63-49786-B
醫學專家 医学专家	63-49847-B
醫學系 医学系	63-49937-B
醫師 医师	63-49994-B
醫治 医治	63-50033-B
醫生 医生	63-50103-B
醫療 医疗	63-50144-B
醫療保健 医疗保健	63-50195-B
醫療器械 医疗器械	63-50263-B
醫療經驗 医疗经验	63-50335-B
醫療護理 医疗护理	63-50409-B
醫科 医科	63-50474-B
醫科學校 医科学校	63-50545-B
醫藥 医药	63-50614-B
醫術 医术	63-50655-B
醫護 医护	63-50705-B
醫護人員 医护人员	63-50781-B
醫道 医道	63-50872-B
醫院 医院	63-50924-B
醬 酱	63-50966-B
醬油 酱油	63-51006-B
醭	63-51051-S
醭 醭	63-51051-B
醮	63-51088-S
醮 醮	63-51088-B
醯	63-51129-S
醯 醯	63-51129-B
醰	63-51155-S
醰 醰	63-51155-B
醱 酦	63-51218-B
醱酵 酦酵	63-51258-B
醲	63-51324-S
醲 醲	63-51324-B
醴	63-51372-S
醴 醴	63-51372-B
醴陵	63-51404-S
醴陵 醴陵	63-51404-B
醵	63-51464-S
醵 醵	63-51464-B
醸	63-51507-S
醸 醸	63-51507-B
醹	63-51559-S
醹 醹	63-51559-B
醺	63-51597-S
醺 醺	63-51597-B
醼	63-51642-S
醼 醼	63-51642-B
醽	63-51680-S
醽 醽	63-51680-B
醾	63-51718-S
醾 醾	63-51718-B
釀 酿	63-51773-B
釀造 酿造	63-51810-B
釀酒業 酿酒业	63-51850-B
釁	63-51990-S
釁 衅	63-51926-B
釁 釁	63-51990-B
釁端 衅端	63-52037-B
釁隙 衅隙	63-52093-B
釂	63-52132-S
釂 釂	63-52132-B
釃 酾	63-52170-B
釅 酽	63-52199-B
釆	63-52237-S
釆 釆	63-52237-B
采	28-20658-S,63-52275-S,63-52312-S
采 采	63-52275-B,63-52312-B
采买	28-22419-S
采伐	28-20738-S
采光	28-20779-S
采兰赠芍	28-22108-S
采出	28-20836-S
采制	28-20888-S
采办	28-22628-S
采取	28-20941-S
采取措施	28-21005-S
采场	28-21078-S
采声	63-52362-S
采录	28-22744-S
采择	28-21206-S
采掘	28-21119-S
采摘	28-21161-S
采收率	28-21255-S
采暖	28-21314-S
采果	28-21356-S
采样	28-21461-S
采样率	28-21504-S
采棉机	28-21403-S
采油	28-21562-S
采煤	28-21623-S
采珠	28-21697-S
采用	28-21749-S
采石场	28-21809-S
采矿	28-21872-S
采矿业	28-21914-S
采种	28-21966-S
采纳	28-22017-S
采聲 采声	63-52362-B
采脂	28-22062-S
采访	28-22246-S
采访记者	28-22341-S
采购	28-22465-S
采购员	28-22556-S
采邑	28-22698-S
采集	28-22795-S
采风	28-22859-S
釈	63-52406-S
釈 釈	63-52406-B
釉	63-52456-S
釉 釉	63-52456-B
释	63-52499-S
释义	63-53635-S
释俗	63-52540-S
释典	63-52599-S
释出	63-52658-S
释卷	63-52732-S
释名	63-52782-S
释尊	63-52880-S
释怀	63-52972-S
释手	63-53080-S
释放	63-53161-S
释教	63-53256-S
释文	63-53299-S
释然	63-53426-S
释疑	63-53490-S
释经	63-53564-S
释读	63-53787-S
释迦	63-53867-S
释迦佛	63-54002-S
释迦牟尼	63-54124-S
释迦牟尼佛	63-54210-S
释除	63-54353-S
釋 释	63-52499-B
釋俗 释俗	63-52540-B
釋典 释典	63-52599-B
釋出 释出	63-52658-B
釋卷 释卷	63-52732-B
釋名 释名	63-52782-B
釋尊 释尊	63-52880-B
釋懷 释怀	63-52972-B
釋手 释手	63-53080-B
釋放 释放	63-53161-B
釋教 释教	63-53256-B
釋文 释文	63-53299-B
釋然 释然	63-53426-B
釋疑 释疑	63-53490-B
釋經 释经	63-53564-B
釋義 释义	63-53635-B
釋讀 释读	63-53787-B
釋迦 释迦	63-53867-B
釋迦佛 释迦佛	63-54002-B
釋迦牟尼 释迦牟尼	63-54124-B
釋迦牟尼佛 释迦牟尼佛	63-54210-B
釋除 释除	63-54353-B
里	56-55784-S,57-1358-S,63-54405-S
里 里	63-54405-B
里克特	63-54489-S
里克特 里克特	63-54489-B
里出外进	57-1453-S
里加	57-1550-S
里勾外连	57-1607-S
里士满	57-1754-S,63-54581-S
里士滿 里士满	63-54581-B
里外	57-1806-S
里头	57-2503-S
里奥斯	57-1859-S
里奥格兰德	63-54640-S
里奧格蘭德 里奥格兰德	63-54640-B
里尔	57-2159-S
里希特霍芬	63-54722-S
里希特霍芬 里希特霍芬	63-54722-B
里带	57-1906-S
里斯本	57-1959-S
里昂	57-2030-S
里根	57-2067-S
里氏	63-54822-S
里氏 里氏	63-54822-B
里氏震級 里氏震级	63-54870-B
里氏震级	63-54870-S
里海	57-2115-S
里港乡	63-54948-S
里港鄉 里港乡	63-54948-B
里瓦几亚条约	63-55025-S
里瓦几亞條約 里瓦几亚条约	63-55025-B
里瓦尔多	57-2213-S
里程	63-55178-S
里程 里程	63-55178-B
里程碑	63-55266-S
里程碑 里程碑	63-55266-B
里程計 里程计	63-55321-B
里程计	63-55321-S
里約熱內盧 里约热内卢	63-55392-B
里约热内卢	63-55392-S
里賈納 里贾纳	63-55470-B
里贾纳	63-55470-S
里边	57-2341-S
里边儿	57-2381-S
里里外外	57-2273-S
里面	57-2454-S
重	63-55524-S,63-55603-S
重 重	63-55524-B,63-55603-B
重于泰山	63-60421-S
重五	63-55641-S
重五 重五	63-55641-B
重价	63-56137-S
重任	63-55725-S
重任 重任	63-55725-B
重伤	63-56070-S
重估	63-55781-S
重估 重估	63-55781-B
重估后	63-55827-S
重估後 重估后	63-55827-B
重修	63-55890-S
重修 重修	63-55890-B
重修旧好	63-55960-S
重修舊好 重修旧好	63-55960-B
重傷 重伤	63-56070-B
重價 重价	63-56137-B
重元素	63-56183-S
重元素 重元素	63-56183-B
重兵	63-56261-S
重兵 重兵	63-56261-B
重典	63-56320-S
重典 重典	63-56320-B
重农	64-1540-S
重击	63-59214-S
重创	63-56493-S
重利	63-56411-S
重利 重利	63-56411-B
重剑	63-56555-S
重創 重创	63-56493-B
