down with worries	50-45742-S
dual pronoun you and me	31-28660-B
dual talented	7-45891-B
dual use	7-46875-B
dualism	3-32677-B,3-43527-B
duality	20-47024-B,20-47207-S
duan	35-65142-S
duan qirui 1864 1936	35-65426-B
duan yucai 1735 1815	35-65359-B
duan yucai 段玉裁	58-32094-S
duanmu	47-65576-S
dub	8-7822-S
dubai	33-9057-B
dubbing filmmaking	63-38932-B
dubious	1-65506-B,12-15360-B,32-2056-B
dubious authenticity	6-24369-S
dubious background	5-19626-S
dubious classic text	35-21580-B
dublin	63-26785-B,63-27804-B
dubonnet name	33-9166-B
dubonnet red vermouth aperitif wine	33-9166-B
dubrovnik city in croatia	33-8916-B
duc luong former president of vietnam	66-27584-S
duc manh	61-40614-S
duc manh secretary general of the vietnamese communist party from 2001	61-42863-S
ducal title meaning lord of 10	54-45297-B,54-45426-S
duchang county in jiujiang 九江	63-27416-B,63-27484-B
duchenne muscular dystrophy	56-56149-B
duchess	7-61668-B
duchy	17-6546-S
duck	10-27113-S,13-52833-S,19-64963-S,33-31515-S,40-42630-S,64-4673-S,70-53424-S,70-54319-S,70-54871-B,70-54988-S,70-55025-B,70-55104-B,70-58223-S,71-1973-S,71-2033-S,71-2903-B
duck anas platyrhyncha	19-65005-B
duck egg	71-4580-S
duck out of the way	65-24406-S
duck soup	69-32896-S,70-55139-B
ducks	60-52323-S,70-54356-S
ducks and butterfly i e love birds	70-54425-S
ducks and butterfly i e love birds literary school around 1900	70-54593-S
ducks 成语 撒网	60-30855-S
duckweed	54-5307-B,54-41500-B,55-27440-B
duct	36-29453-S,36-30982-S,52-51014-S,61-17750-S,62-16152-S
duct tape	20-27429-B
ductability	23-17100-B
ductable	23-17014-B
ductility	23-17438-B
dud	41-34619-S
due	21-19307-S,32-25598-B,35-53553-S,39-39141-S,52-58365-S
due consideration	20-23094-B
due e g loans	9-9766-S
due respect 成语 saw	4-38274-S
due to	8-40055-S,26-60379-B,43-38556-B,43-38789-B
due to alloimmune reaction between mother and fetus	39-24544-S
due to each	63-26633-S
due to envy etc	24-42347-S
due to extension	35-36999-S
due to fault or motion of camera	63-58549-S
due to incursion	63-12021-S
due to internal hemorrage	56-28921-S
due to lack of oxygen in blood	44-32737-S
due to loose joint	70-25770-S
due to monsoon or typhoon	59-25214-S
due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
due to poor lung capacity	36-27173-S
due to pressure on the median nerve	52-38801-S
due 成语 saw	11-23171-S,16-54802-S
duel	20-50270-B,37-656-B
duel of words	53-29886-B
dues	3-71132-S
duet	3-43414-B,20-48099-S,20-51459-S
duet in music	3-43466-B
duet 二重奏 or trio 三重奏	63-57487-S
dufour gland produces female sex hormone in bees	33-9374-B,33-9469-B
dug out	15-42270-S
dugout used as shelter	47-57912-S
dugu qiubai	42-18870-B
duh sarcastic interjection	23-9812-B
dui4 kou3 xiang4 sheng1	28-6193-S,62-3760-S
duilongdeqing place in tibet	16-6706-S
duisburg germany	33-8388-B
dujiangyan city in sichuan	63-27920-B
dujiangyan in sichuan	63-27853-B
dujiangyan 都江堰	33-1172-S
duke	7-61629-B
duke huan of qi reigned 685 643 bc	71-53895-B
duke mu of qin	47-24944-B
duke mu of qin 秦穆公	42-29584-S
duke of thunder	67-22327-S
duke of zhou hosting his vassals	15-57374-S
duke wen of jin 697 628 bc	31-43722-B
duke xiang of song reigned 650 637 bc	19-36330-B
dukes	42-33343-S
dulan place in qinghai	63-28003-S
dulcimer hammered string musical instrument	28-45313-B
dulcis	69-42686-S
dulcis or e congesta	54-20410-S
dull	22-43096-B,24-54142-B,27-39620-B,33-30538-B,33-38732-S,38-43780-B,38-50402-B,49-26818-B,71-27814-B
dull and colorless 成语 saw	40-59150-B
dull in conversation	61-43967-S
dullard	66-6072-B
dulong national minority of northwest yunnan	42-22340-S
dulong river in northwest yunnan on border with myanmar	42-22427-B
dumas	17-5162-S
dumb	12-66998-B,13-64168-B,13-64250-S,14-5949-B,44-17707-B,48-60322-B
dumb by shock	6-45782-S
dumb person	13-64250-S
dumb show	13-64199-S
dumb terminal	13-64316-B
dumbbell weight	13-64376-B
dumbell	34-46181-B
dumbstruck	45-18292-B,45-18457-B
dummy	6-5530-S,6-9873-B
dummy run	68-29595-B
dump	6-46239-S,23-50004-S,27-27221-S,27-27806-B
dump by tipping from a vehicle	6-46478-S
dump goods	6-49464-S
dump selling abroad more cheaply than cost price at home	27-27453-S
dump truck	53-3307-B
dumpling	20-68723-S,21-3024-S,21-3087-S,41-1636-S,49-731-S,49-918-S,49-1007-B,49-1039-S,55-2325-S,64-49871-S,69-9718-B,69-9835-B
dumpling restaurant	69-9771-B
dumplings	6-61615-S,56-8181-S
dumplings or wonton in broth	36-47897-B
dumplings with meat filling	69-9667-B
dumplings wrapped in leaves	48-52159-S
dumpy	46-939-B,46-1712-B
dun	62-34113-B
dun 1957 chinese composer	58-64017-S
dun 266 324	42-35056-S
dun prize	54-7606-S
dun yi 1017 1073	13-11974-S
dun yi 周敦頤 周敦颐	17-59471-S
dun4	14-38975-S
dunce	56-21802-B
dune	37-14558-S,37-14942-S
dunes	38-2558-S
dung	48-62322-B,48-62469-B
dung and dirt	48-62417-B
dung beetle	48-62514-B,48-62570-B,56-5164-B
dung to give alarm	42-10321-S
dunga	63-33029-B
dunhua county level city in yanbian korean autonomous prefecture 延邊朝鮮族自治州 延边朝鲜族自治州	30-10241-B,30-10389-B
dunhuang caves in gansu	30-10612-S
dunhuang city in gansu	30-10548-S,41-25813-S
dunhuang 敦煌	54-27226-S
dunk	7-25034-S,26-53905-S,40-17956-S
duo	65-5485-S
duo4	13-20762-S
duodenum	10-42961-B
duolun place in inner mongolia	16-53450-S
dupe	35-23458-S
dupe sb	54-64597-S
duped	1-54246-B
duplicate	9-32550-B,24-14392-S,51-22349-S,57-4892-B,57-4892-S,57-6125-S,63-62749-S,63-64222-S,64-1687-S
duplicate a document	57-5082-S
duplicate context	63-64460-B
duplicate copy	26-64014-B
duplicate of big five a461	71-64370-B
dupont	33-10252-B
durable	16-5888-S,32-38676-B,49-57803-B,51-35742-B,51-35833-B,51-36984-B,51-37182-B
durable goods	51-37026-B
duration	8-28619-S,22-50514-S,27-56138-B,40-63812-S,48-37749-S,50-28581-S,65-18384-B,66-20587-S,68-15901-S,69-22742-S,69-48239-S
duration of a competition or match	7-35747-S
duration of a journey	37-27587-S
duration of pregnancy	19-3913-B
duration of time	3-9266-S
durban city in south africa	24-27822-B
duress	2-11609-S,9-62799-S,28-1565-S,62-34012-S
durian esp durio zibethinus	34-42363-B,34-42559-B
durian fruit	34-42363-B,34-42468-B,34-42559-B,34-42664-B
during	2-48825-B,43-64373-B,44-59199-B
during a clandestine activity	26-66100-S
during a conversation	1-7612-S
during a trip	1-60598-S
during a trip to china	35-34776-B
during a written exam	45-9841-S
during acupuncture or injection	31-58733-S
during an entire journey	7-40567-B
during autumn	47-15812-S
during childbirth	19-57949-S
during chinese revolution	29-57793-S
during cultural revolution	45-65043-S
during earliest dynasties	3-18976-S
during exam	31-58415-S
during famines before liberation	12-27103-S
during investigation	6-21151-S
during love making	12-9472-S,12-9563-S
during meiji japan	23-9654-S
during moulting	56-1462-S,56-1584-S
during night	32-8545-S
during one s life	43-18533-B
during one s visit to china	15-36270-B
during pregnancy	19-3798-S,19-58916-S,19-59053-S,19-59053-S
during qing dynasty	14-49928-S
during qing times	53-38159-S
during republic of china	51-34311-S
during russian and chinese communist revolutions	29-55980-S
during russian revolution and civil war 1917 1922	31-11801-S
during sleep	46-39975-S
during snow 成语 saw	67-15570-S
during song of the southern dynasties 南朝宋	58-57724-S
during spring and autumn period	69-16668-S
during tang and song associated with classical writing 古文	24-13666-S
during tang and song dynasties	9-2344-S
during tang dynasty	38-9178-S
during tang dynasty 唐朝	65-13349-S
during tense situation	47-41835-S
during that brief interval	43-65927-B
during that time	43-67136-B
during the 1930s	8-12007-S
during the 1930s and 1940s	69-35882-S
during the boxer uprising	33-14664-S
during the cultural revolution	49-13242-S,53-17362-S
during the cultural revolution to criticize and denounce sb publicly for their errors often imaginary	26-58460-B
during the current year	22-47597-B
during the day	31-39520-S,44-38274-B
during the han period	52-37218-S
during the last 12000 years	7-37373-S
during the late qing	30-3201-S
during the ming and qing	63-30645-S
during the night	17-1779-B,19-21997-S
during the qing dynasty	41-20302-S,60-65746-S
during the reign of kangxi	1-40816-S
during the same month last year	12-48451-S
during the three kingdoms	56-2134-S
during the three kingdoms period	33-16548-S
during the warlords period	10-33527-S
during the warring states	60-30252-S
during the yi or lee dynasty 1392 1910	33-3913-S
during those years	22-50252-B
during time	15-36442-B
during transmission	15-34081-B
during warring states	17-22737-S,45-27507-S
during western colonialism	28-20430-S
during which one can prosecute or sue sb	61-59773-S
during ww2	27-4994-S
during wwii	25-57365-S
durio zibethinus	34-42363-S,34-42559-S
durkheim	38-28059-B
durrës city in albania	63-27348-B
dushan place in guizhou	42-19109-S
dushanbe capital of tajikistan	33-8838-B
dusk	6-26698-S,6-26965-B,16-41995-B,29-26751-B,45-61801-B,55-18841-S,55-18888-B,71-20118-B
dusky	31-26801-B
dust	2-31927-S,11-26205-S,15-29730-B,15-48784-B,15-48848-B,15-54072-S,15-57590-B,16-22585-B,16-22693-B,16-22731-B,16-22769-S,16-22900-S,16-32302-B,27-18314-S,29-10363-S,29-10393-S,40-16516-S,40-25304-B,40-26294-S,41-2173-S,45-46653-S,48-47334-B,48-47376-B,68-60355-S
dust catcher	13-3243-B
dust devil	16-22855-B
dust filter	66-21794-B
dust has settled	22-2543-S
dust i e filter out suspended particles	66-21704-S
dust of a long journey	23-63433-S
dust off	29-10393-B
dust off sb s cap 成语 saw	23-47088-S
dust pan	48-39807-B
dust storm	67-50303-B
dust 成语 saw	43-15682-S
duster	29-10393-S,48-13601-B
dusting	30-18679-S
dusting machine	66-21794-B
dustpan	43-53189-B,48-39893-B
dusty	16-22769-B,39-41311-B
dutch	1-0-S,3-10530-S
dutch brugge	22-19254-S
dutch gulden	54-20168-B
dutch language	54-20275-B
dutch studies study of europe and the world in premodern japan	55-44758-B
dutiable goods at customs	16-11316-S
duties	1-73670-S,19-61175-S,22-30078-S,38-66943-S,44-2074-S,47-28470-B,51-68157-B,57-53116-S,65-45941-S,65-55100-S,67-5403-S
duties and observe the law	18-2978-S
duties forced labor	29-37996-S
duties of a sovereign	1-26742-S
duties of mourning	39-37830-S,39-39032-S
duties unit	41-56645-S
duties 成语 saw	9-17453-S,18-2800-S
duty	1-54024-S,4-24677-B,4-42442-B,6-4123-S,6-4169-S,6-4788-S,6-4832-S,6-4901-S,6-56970-S,7-21419-S,8-50106-S,11-21245-S,15-51464-S,15-64721-S,15-64721-S,16-9095-S,17-52974-B,17-66856-S,17-67751-S,20-41046-S,28-24729-S,32-60737-S,32-61493-S,35-60677-S,40-12828-S,42-26465-S,42-39437-S,42-39437-S,42-50316-S,47-62840-S,50-38449-S,51-12672-B,51-68031-B,51-68119-B,51-69049-B,57-43899-S,59-40368-B,59-40521-B,61-15617-S,63-57205-S,65-56301-S
duty as	43-64648-S
duty as a younger brother	25-6531-S
duty as gate keeper	19-22527-S
duty bound	59-40996-S
duty bound not to turn back	51-13678-B
duty free district	5-38636-B
duty free shop	7-20991-B
duty of pilgrimage to mecca	32-48900-S
duty of the chinese communist party in 2001	1-30647-S
duty roster	61-16121-B
duty to avenge	25-1673-S
duty to get married in former times	18-21376-S
duty to pay respect to sovereign	32-48900-S
duty 成语 saw	34-47338-S
duxiu 1879 1942	66-28654-S
duyun city in guizhou	63-26834-B,63-26888-B
dvd	7-11166-S,9-15760-S,23-59567-B,23-59867-S,51-22413-S,51-22413-S
dvd drive	7-11231-S,7-14222-S
dvd player	23-59605-B
dvořák 1841 1904	24-27325-S
dwarf	5-21143-B,5-21171-B,6-3648-B,6-3706-B,44-43167-S,46-733-B,46-1075-B
dwarf bamboo	48-22761-B,48-32992-B
dwarf in legends	58-43561-B
dwarf pejorative term for non han people	46-1835-S
dwarf planet	46-1777-B
dwarf star	34-21536-S,46-1466-B,49-11729-S,71-32032-S
dwarfish	45-65414-B
dwarfism	5-21239-S
dwarfs	46-1124-S
dwarkanath kotnis	33-47892-B
dwell	4-70653-S,21-17993-S,55-48615-S
dwell on the trivial	63-7636-S
dwell together	22-58966-S
dwelling	4-8271-B,5-629-B,20-10055-B,34-24098-B,34-61142-S,55-8004-S,55-8493-S,66-16416-S
dwelling on top of wooden stakes	35-7361-B
dwelling place	5-629-B,51-55405-B
dwelling primitive hexapod	55-58166-S,55-58246-S
dwight d eisenhower 1890 1969	53-47650-B
dy66	64-56716-S
dye	27-65374-S,33-42643-B,33-43156-B,33-43292-B,33-43742-S,55-9728-S,67-61246-S,68-11120-S,68-44597-B
dye factory	33-42690-B
dye for painting the eyebrow	71-37341-S
dye made from yeast	49-10166-S
dye one s hair	33-43681-S
dye paper	39-61141-B
dye works	33-42690-B
dyeing	11-20103-S
dyeing and weaving	33-43240-B
dyeing trough	60-61028-S,60-61090-S
dyes	8-18083-S
dying	2-27717-B,15-54919-B,18-42-B,23-26799-S
dying back to life 成语 saw	18-35667-S
dying from illness	52-56312-B
dying struggle	15-54958-B
dylan	61-50492-B
dynamic	37-12824-B
dynamic memory	10-0-B
dynamic state	9-69531-B
dynamical system math phys 	49-58007-S
dynamics	38-7887-S,56-8710-S
dynamics math 	9-68727-B
dynamism	9-45857-B,32-48310-B
dynamite	41-34782-B
dynamite loan	4-30999-B
dynamo	44-35401-B
dynastic fortunes	48-43821-S
dynastic government	49-5886-S
dynastic histories	35-34420-S
dynastic histories or 25 or 26 in modern editions	3-33813-S,3-34457-S
dynastic history	15-3232-B
dynastic history book	15-9178-S
dynastic official	24-12520-S
dynasties	3-18976-S,3-47017-S,7-67951-S,9-2344-S,10-29455-S,10-29522-S,10-36936-S,10-68416-S,11-5912-S,13-12376-S,13-51031-S,15-48042-S,28-45850-S,29-44610-S,29-44664-S,31-25368-S,34-9691-S,35-51348-S,35-51348-S,47-24544-S,63-5675-S,66-28179-S,70-34881-S,70-35028-S,71-47457-S,71-53823-S
dynasties 265 420	31-43131-S
dynasties 317 589	7-67880-S,10-72489-S
dynasties 386 534	10-36721-S,24-3121-S,27-32803-S
dynasties 386 581	10-32295-S
dynasties 420 479	9-41873-S,10-72577-S,60-29569-S
dynasties 420 589	10-67556-S
dynasties 479 502	10-72898-S,11-5845-S
dynasties 502 557	10-72664-S,34-9769-S,55-16741-S
dynasties 534 550	33-26352-S
dynasties 535 557	57-24360-S
dynasties 550 557	10-36865-S
dynasties 557 589	10-72753-S,66-26326-S
dynasties 618 907	66-38828-S
dynasties 907 923	24-112-S
dynasties 923 936	23-67679-S
dynasties 936 946	23-68460-S
dynasties 947 950	24-425-S
dynasties 951 960	23-67602-S
dynasties 951 979	10-34327-S
dynasties and ten kingdoms period between tang and song 907 960	3-46892-S
dynasties at different periods	34-9061-S
dynasties at several different periods	71-53176-S
dynasties between tang and song	30-43553-S,53-27889-S
dynasties between tang and song 舊五代史 旧五代史	34-9151-S
dynasties from han to republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-S
dynasties in different contexts	3-46822-S
dynasties period 222 589 between han and tang	7-68057-S
dynasties period between tang and song	34-27348-S
dynasties with varying roles	2-45332-S
dynasties 北魏 and tang 唐 dynasties	15-48042-S
dynasties 南朝宋	48-31235-S,58-57724-S
dynasties 南朝宋 420 479	9-41788-S,19-34795-S,19-35714-S
dynasties 南朝宋 or liu song 劉宋 刘宋	19-35602-S
dynasties 南朝梁 in 548	5-26431-S
dynastry 16 11th century bc	44-47599-S
dynasty	2-38496-S,3-39765-S,4-30112-B,6-24472-S,6-35052-S,6-61498-S,6-63358-S,7-51551-S,8-12328-S,9-21272-S,10-11692-S,10-30380-S,10-72489-S,13-12517-S,13-28573-S,13-38428-S,13-57586-S,14-49928-S,16-40920-S,17-26162-S,18-22766-S,18-37228-S,19-34973-S,19-35035-S,19-35309-S,19-48857-S,23-20772-S,30-43953-S,30-45269-S,31-22716-S,31-43795-S,32-47135-S,32-47547-B,32-47765-B,32-64410-S,33-2632-S,33-21314-S,33-24119-S,34-996-S,34-27239-S,35-47133-S,35-65636-S,38-9178-S,38-58713-S,38-59598-S,38-59677-S,38-61764-S,39-39484-S,41-20302-S,42-35354-B,47-4766-S,47-25003-S,51-47597-S,53-27997-S,55-21319-S,55-21417-S,56-1999-S,60-65746-S,61-32631-S,63-4550-S,64-8291-S,65-31719-S,66-28255-S,66-39201-S,66-39317-S,68-25213-S,70-23684-S,71-45467-S
dynasty 1115 1234	64-7424-S
dynasty 1127 1279	10-69305-S
dynasty 1279 1368	6-60747-S,6-60921-S,6-62443-S,6-62513-S
dynasty 1368 1644	31-21770-S,31-22043-S,31-24741-S
dynasty 1392 1910	33-3840-S,33-3913-S
dynasty 141 87 bc	39-50212-S
dynasty 1526 1858	54-26144-S
dynasty 1644 1911	17-25392-S,17-25472-S,38-58446-S,38-58640-S,38-61694-S,38-63882-S
dynasty 16th 11th century bc on tortoiseshells or animal bones	11-11642-S
dynasty 206 bc 220 ad	7-46770-S,39-47775-S,39-48369-S,39-50150-S
dynasty 206 bc 8 ad	9-21685-S,57-20063-S
dynasty 207 bc	47-24478-S
dynasty 214 263 of liu bei 劉備 刘备 during the three kingdoms	56-2134-S
dynasty 221 207 bc	47-23463-S,47-24419-S
dynasty 221 207 bc of the first emperor 秦始皇	47-23339-S
dynasty 25 220	24-425-S
dynasty 265 316	57-18440-S
dynasty 317 420	33-19865-S
dynasty 557 581	10-29522-S
dynasty 581 617	66-38713-S,66-38773-S,66-39261-S
dynasty 618 907	13-50025-S,13-50139-S,13-52040-S,17-9960-S
dynasty 618 907 with alternate prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
dynasty 7th 11th century ad	12-61181-S
dynasty 8 23 ad of wang mang 王莽	30-49864-S
dynasty 907 1125	63-4262-S
dynasty 935 1392	70-24123-S
dynasty 960 1127	10-30309-S
dynasty 960 1279	7-44185-S,19-34795-S,19-34915-S,19-35714-S,60-29569-S
dynasty administration	50-34248-S
dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-S
dynasty around 200 ad	33-21377-S,33-21496-S
dynasty as the name of china	15-12932-S
dynasty astronomer and mathematician	23-41681-S
dynasty astronomer zhang heng	39-7632-S
dynasty based on the silver tael 兩 两	64-25499-S
dynasty book of tales of the supernatural by pu songling 蒲松齡 蒲松龄	51-43738-S
dynasty brothel	26-23950-S,50-143-S
dynasty buddhist monk and translator	1-40603-S,1-40699-S,42-27170-S
dynasty by a succession of authors	38-59478-S
dynasty c 1600 1046 bc	13-59653-S
dynasty c 16th 11th century bc	13-58017-S
dynasty c 2000 bc	16-40012-S
dynasty dictionary shuowen jiezi 說文解字 说文解字	58-3667-S
dynasty ducal title meaning lord of 10	54-45426-S
dynasty equivalent of the foreign office	50-34041-S
dynasty family of warriors c 10th century ad	34-28368-S
dynasty form of musical comedy	67-3969-S
dynasty from 1027 bc	13-10567-S,13-10905-S,13-13469-S
dynasty from 1616 	24-2637-S,64-8410-S
dynasty from 661 bc in shanxi	70-34323-S
dynasty from kang xi to qian long emperors	23-1219-S
dynasty general	55-22093-S
dynasty general li guang 李廣 李广	68-63147-S
dynasty history of zen buddhism in china 1252	3-51597-S
dynasty in 1644	24-2637-S,64-8410-S
dynasty in 1898	26-5663-S,26-5808-S,26-5949-S,44-54549-S
dynasty legalist philosopher	68-13023-S
dynasty literary figure	42-36244-S
dynasty military fort	14-27870-S
dynasty name at the end the shang dynasty	35-65636-B
dynasty name for chiefs of xiongnu huns 匈奴	14-16536-S,14-18581-S
dynasty name for the coastal provinces of liaoning	10-32864-S
dynasty name of 舟山市	19-46375-S
dynasty novel the western chamber by yuan yuling 袁于令	57-18892-S,57-19028-S
dynasty of cambodia	33-47238-S
dynasty of india 322 185 bc	19-3672-S
dynasty of myanmar burma	55-1122-S
dynasty onwards	12-23958-S,26-25447-S
dynasty or decade	22-50252-S
dynasty or state	65-31873-S
dynasty philosopher dong zhongshu 董仲舒	53-27543-S
dynasty poet	33-9649-S
dynasty poet li bai 李白 701 762	63-46862-S
dynasty province	39-11322-S
dynasty province around the bohai sea	9-65492-S
dynasty province covering south jiangsu	36-58222-S
dynasty province directly administered by beijing	45-25270-S
dynasty province in vietnam	31-5960-S
dynasty provincial governor	48-28795-S
dynasty provincial headquarters in the heilongjiang and vladivostok area	18-22880-S
dynasty reading primer	44-52644-S
dynasty record 1574 of exploration and foreign relations	35-61026-S
dynasty scholar zhou dun yi 周敦頤 周敦颐	17-59471-S
dynasty school	46-47489-S
dynasty school of confucian scholars	4-22577-S,4-22670-S
dynasty sequels to journey to the west 西遊記 西游记	24-1413-S,50-44618-S,57-23010-S
dynasty starting with the zhou	66-55268-S
dynasty study or rewriting of classical texts such as the confucian six classics 六經 六经	4-22245-S
dynasty theater	6-62077-S
dynasty town in shaanxi	30-25277-S
dynasty tribes	59-59646-S
dynasty typeface	4-45399-S
dynasty wine	41-27747-S
dynasty 唐朝	65-13349-S
dynasty 秦朝 folk tale	19-10539-S
dynasty 西晋 historian	66-27078-S
dyne	62-53099-B
dynein protein	50-47127-S
dysentery	44-6474-B,44-15212-B,44-15243-B,49-33705-S,66-10418-S,66-10418-S
dysentery characterized by white mucous stool	44-42326-B
dyslexia	38-49682-S,42-23582-S,65-50125-B
dysmenorrhea	44-14772-B,49-61514-B
dysprosium dy66	64-56716-B
dystrophy	41-32530-B,52-7711-S,56-56149-S
dzerzhinsk	28-9364-B
dzungar	39-16694-B
dzungaria or jungarian depression in north xinjiang between altai and tianshan	39-17466-B
dàtóng prefecture level city in shānxī 山西	17-9029-B,17-9279-B
dá 達 达	60-52605-S
déjà vu the experience of seeing exactly the same situation a second time	4-62488-B
détente after tension	67-14838-S,67-15029-S
dölet 1968 	13-7029-S
dühring	11-50404-S
düsseldorf germany	33-8640-B
e	3-21532-S,3-52851-S,11-23816-S,26-5155-S,63-28290-S
e 1857 1909	9-43431-S
e 1882 1916	55-12153-S
e 500 kilometers	10-51090-S
e a combined ideogram 會意 会意 or radical plus phonetic 形聲 形声	12-38302-S
e a dominant country	17-10884-S
e a group or organization	5-50681-S
e a pictogram 象形 or ideogram 指事	42-22211-S
e activity	6-18764-S
e after the communist s victory	57-49449-S
e agreeable news	2-79118-S
e alkaline	71-4781-S
e allowed error	69-17274-S
e alloy with mercury	38-54294-S
e already fully booked	57-56704-S
e an organization	16-1645-S
e angle a chord of a curve makes to the tangent	23-34208-S
e anything less than life imprisonment	32-34855-S
e approx 3 kg dry measure	22-25796-S
e artist famous for being deliberately preposterous	24-64705-S
e assimilate some branch of culture	41-12973-S
e attracting electrons	66-36870-S
e automatic reaction of organism	11-46587-S
e behaving naturally	40-46667-S,41-36139-S,41-36290-S
e beryllium be 鈹 铍	71-4891-S
e binding in law	37-31596-S
e blood and essential breath 血氣 血气 of traditional chinese medicine	4-15449-S
e border crossing inspection	38-25717-S
e brilliant child	4-15449-S
e by a company	36-22037-S
e central asia including xinjiang	3-59976-S
e childbirth	58-24136-S
e class a	1-22831-S
e coli	17-32250-S
e commerce	67-27803-B
e confucian ban on widow remarrying	24-9982-S
e congesta	54-20410-S
e cut short	17-70697-S
e d	24-9058-S
e death	36-48934-S,36-52367-S,36-52609-S,65-18281-S
e deliberately	25-30258-S
e easy	9-1011-S
e eldest child or senior in rank	8-13460-S
e emitting electrons	66-24496-S
e employer	33-17459-S
e entering the second month	23-51343-S
e ergu na youqi place in inner mongolia	68-43759-S
e ergu na zuoqi place in inner mongolia	68-43876-S
e family relation	57-39315-S
e favoring gradual change as opposed to revolution	29-45207-S
e favorite person	45-49927-S,45-50028-S
e filter out suspended particles	66-21704-S
e final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
e first and second tones in classical chinese	22-37104-S
e first gear	29-20230-S
e fluoride	71-3273-S
e fluorine f 氟	71-3432-S,71-3493-S,71-3643-S
e foot soldier	60-10009-S
e fraction of two integers	32-36431-S
e from second half of 14th century	31-22273-S
e from the sea	38-26494-S
e g	9-58566-S,10-41665-S,40-32260-B,62-65455-S
e g 100 yuan	64-21472-S
e g 2 ply yarn	12-36945-S
e g 2000	71-59600-S
e g 2001	55-59961-S
e g 2002	69-37110-S
e g 2003	50-64123-S
e g 2004	42-13803-S
e g 2005	67-7300-S
e g 2006	42-7286-S
e g 2007	59-25661-S
e g 2008	71-49534-S
e g 2009	41-47637-S
e g 2010	55-47325-S
e g 2011	7-22681-S
e g 21 gun salute	47-8712-S
e g a 100 watt light bulb	67-25955-S
e g a banner headline	18-9712-S
e g a banquet	39-40126-S
e g a bridge	50-62388-S
e g a burglar or fire alarm	16-12328-S
e g a character with its pinyin	34-53821-S
e g a contaminated product	1-60459-S
e g a dam	37-13495-S
e g a diploma as a pass to a career	62-12819-S
e g a dream	26-11117-S
e g a jewel in a ring	65-7772-S
e g a light bulb	57-740-S
e g a painting	12-43087-S
e g a physical defect such as hearing or vision	46-3120-S
e g a plan	8-44418-S
e g a printed work	61-29015-S
e g a promotion from shopfloor	61-22951-S
e g a report prior to accepting it	24-16079-S
e g a sandstorm	11-27084-S
e g a slow poison	25-49293-S
e g accident or illness	9-68275-S
e g across the country	49-53053-S
e g adenine a 腺嘌呤 pairs with thymine t 胸腺嘧啶 in dna	71-5050-S,71-5386-S
e g adjusting acidity of food	2-52366-S
e g adjusting taste of medicine	46-2140-S
e g after a company collapse	56-25487-S
e g all lies	39-35615-S
e g altar	26-13562-S
e g among winners	12-53008-S
e g an economy	62-47098-S
e g an icecap	38-32166-S
e g analysis	48-58784-S
e g and obsolete product	61-62234-S
e g another country	60-15313-S
e g arm rest	26-51252-S
e g as a result of brain damage	17-67371-S
e g as appreciated by tang literati	52-21878-S
e g ascii 美國資訊交換標準碼 美国资讯交换标准码 or unicode 統一碼 统一码	19-6083-S
e g at a fair	21-22886-S
e g at athletics event	35-14466-S
e g attacks	20-48177-S
e g bank	59-45990-S
e g bedrock	15-68203-S
e g between countries	8-21931-S
e g blogger 博客	19-51050-S
e g blood type	15-56395-S
e g business	62-38665-S
e g cartoons	9-69684-S
e g cash	26-36970-S
e g caustic soda naoh	36-34216-S,36-34286-S
e g cd player	29-15592-S
e g chinese americans	3-32275-S
e g chinese or vietnamese	51-66865-S
e g classes	17-1908-S
e g clutch pedal	60-46713-S
e g cole slaw	38-39253-S
e g compare inflation now with the rate during the same month last year	12-48451-S
e g containing proposals for new legislation	44-42701-S
e g dalian	31-7865-S
e g data	30-23640-S
e g decimal or roman numbers	30-23031-S
e g dictionary	54-3852-S
e g disease or procedure	5-27006-S
e g dispatched over the wire	62-13084-S
e g divine inspiration	25-39828-S
e g diving suit	68-2873-S
e g due to fault or motion of camera	63-58549-S
e g due to monsoon or typhoon	59-25214-S
e g duet 二重奏 or trio 三重奏	63-57487-S
e g electric	23-44603-S
e g electric current	61-68368-S
e g electric generator	2-47062-S
e g electrostatic	45-27349-S,45-29373-S
e g emergency supplies	28-62448-S
e g environment	40-56451-S
e g epidemic following floods	35-21214-S
e g equation in math 	70-16855-S
e g exchange	2-81552-S
e g financial	28-52494-S
e g football forwards	29-47813-S
e g for a test	27-17795-S
e g for athletes	47-1349-S
e g for dimsum	55-2101-S
e g for drugs	27-17104-S
e g for gas and electricity supply	16-54375-S
e g for language teaching purposes	58-9530-S
e g for oil	65-8660-S
e g for printing	65-9762-S
e g for repayment	62-61350-S
e g for the first kilometer	60-15954-S
e g for vegetables	9-29237-S
e g foreign civilians from a war zone	29-10674-S
e g forest	40-7876-S
e g former clinton aide george stephanopoulos	30-41597-S
e g from a database	10-37881-S
e g from a drill or lathe	36-13711-S
e g from april to march	59-33371-S
e g galaxias maculatus and salangichthys microdon	64-29543-S
