liáng bàn	38-39253-B
liǎng miàn sān dāo	7-48187-B
liǎng nán	62-31841-S
liǎng páng	7-45660-B
liǎng qiān	7-43734-B
liǎng qiān liù bǎi yī shí liù	7-43783-B
liǎng qiān nián	7-43878-B
liǎng quán	2-46188-B
liǎng quán qí měi	2-46276-B
liǎng qì	7-47929-B
liǎng qíng liǎng yuàn	7-45285-B
liǎng qī	7-45891-B
liǎng qī dòng wù	7-45986-B
liǎng qī lèi	7-46071-B
liǎng qīng	7-46650-B
liǎng shǒu	7-45386-B
liǎng shǒu kōng kōng	7-45453-B
liǎng sàn	1-9623-S
liǎng sòng	7-44185-B
liǎng tiān	7-44140-B
liǎng tóu	1-33352-S,7-48255-B
liǎng tóu 5r	7-48323-B
liǎng xià zi	7-43228-B,32-30028-S
liǎng xiù	38-65905-S
liǎng xiù qīng fēng	7-47755-B
liǎng xiāng	7-47105-B
liǎng xiāng qíng yuàn	7-44484-B,7-47152-B
liǎng xìng	7-44775-B
liǎng xìng dòng wù	7-44888-B
liǎng xìng huā	7-45217-B
liǎng xìng yì xíng	7-45141-B
liǎng xīng qī	7-45720-B
liǎng yuàn	7-45285-S,11-38922-S
liǎng yòng	7-46875-B
liǎng zhì	1-4948-S
liǎng zhāo 5r	7-47531-B
liǎng zhě	7-47355-B,23-67238-S
liǎng zào	7-48042-B
liǎng àn	7-44313-B
liǎng àn duì huà	7-44412-B
liǎng àn guān xi xié huì	38-18430-S
liǎng ěr bù wén chuāng wài shì	7-47401-B
liǎo	1-66291-S,2-8472-S,3-28022-B,3-28140-S,7-20222-S,11-59370-S,17-4218-S,24-32657-S,25-13727-S,25-57133-B,31-21867-S,32-1055-B,32-56000-S,32-59489-S,35-55802-S,43-33858-S,45-59976-B,45-63100-S,47-23525-S,48-36629-S,50-54334-S,55-9647-B,64-18173-B
liǎo bu qǐ	3-28067-B
liǎo dàng	45-21415-S
liǎo jié	3-28532-B
liǎo jiě	2-20572-S,45-60056-B
liǎo jìn huǒ	62-61757-S
liǎo liǎo	3-28140-B
liǎo liǎo zhī	1-66346-S
liǎo lán	55-9728-B
liǎo què	3-28270-B
liǎo què cǐ shēng	3-28325-B
liǎo rán	1-15116-S
liǎo rú zhǐ zhǎng	3-28416-B
liǎo shì	3-28194-B,30-18920-S
liǎo zhī	1-66346-S
liǔ	15-54861-S,20-45872-S,31-33696-S,33-48708-B,34-28034-S,41-47745-S,50-11393-B,50-54119-B,65-3507-S,67-55892-S
liǔ bìng	53-57603-S
liǔ chéng	33-49080-B,33-49862-B
liǔ dīng	33-48749-B
liǔ dīng ān chún	33-48793-B
liǔ gōng quán	33-48884-B
liǔ hé	33-50094-B
liǔ hé xiàn	33-50157-B
liǔ jiāng	33-50027-B
liǔ jù chǎng	31-33752-S
liǔ lín	33-49530-B
liǔ lǜ	53-59418-S
liǔ lǜ huā hóng	33-50499-B
liǔ mò huā qú	33-50676-B
liǔ qín	33-50454-B
liǔ qīng	33-50737-B
liǔ shè	31-33831-S
liǔ shù	33-49822-B
liǔ suí huā	6-26802-S
liǔ tiáo gōu shì biàn	33-49592-B
liǔ tí huā yuàn	33-48953-B
liǔ tǐ	33-50792-B
liǔ xiàng	41-3405-S
liǔ yuán	33-49017-B
liǔ yè dāo	33-50608-B
liǔ yì zhuàn	33-49912-B
liǔ yíng xiāng	33-50375-B
liǔ yān huā wù	33-50232-B
liǔ yǒng	33-49973-B
liǔ zhōu	33-49272-B
liǔ zhōu dì qū	33-49347-B
liǔ zhōu shì	33-49444-B
liǔ zi xì	33-49147-B
liǔ zōng yuán	33-49203-B
lo	13-29418-B,13-29418-B
lo5	13-29418-B
long	1-12142-S,1-41979-S,3-14932-S,3-20840-S,3-42070-S,4-19496-S,4-49592-S,4-63001-S,5-15341-S,5-34734-S,6-54534-S,6-58809-B,7-19635-S,7-53432-S,8-43664-S,9-16603-S,10-38330-S,11-13595-S,12-34612-S,12-38481-S,12-41896-S,13-25852-S,13-41997-B,14-2620-S,14-4868-S,14-38824-S,14-40922-B,14-48667-S,15-21982-S,15-40164-S,16-1724-S,16-35480-B,19-21176-S,19-34732-S,21-2981-S,21-14691-S,21-15347-S,21-49312-B,23-23289-B,24-69678-S,26-25982-S,27-16460-S,27-23277-S,27-51677-S,29-32625-B,30-58473-S,31-55569-S,32-3757-B,32-45750-S,32-52170-S,32-52268-B,33-2052-S,33-6121-S,35-17419-B,35-49541-S,36-29732-S,37-17997-S,37-57250-S,39-6439-S,39-16745-S,39-31168-B,39-42609-S,40-15975-B,40-25157-S,40-41315-S,40-64650-S,41-25423-S,42-22340-S,42-25501-S,42-30181-S,42-41342-S,43-8386-B,43-20521-S,44-20399-B,45-6748-S,45-14253-S,45-62006-B,46-45678-B,47-21733-S,47-44712-S,47-55973-S,47-55973-S,47-58700-B,47-60012-S,47-63238-B,48-44105-B,50-50539-S,51-24063-S,51-24146-S,51-48927-S,51-54442-S,52-2380-B,52-55143-S,52-55430-S,53-25779-S,53-25846-S,53-33025-S,53-47441-S,54-48256-S,54-64212-S,55-2101-S,55-13014-S,55-43965-B,55-55025-S,56-16671-S,56-17679-S,56-36438-B,59-11473-S,60-7719-S,60-9082-S,60-54164-B,60-59203-S,61-32049-S,61-39245-S,66-37246-B,66-37284-B,66-38182-S,66-51002-B,66-58111-S,67-15819-S,67-17367-S,67-17442-S,67-19472-S,67-40732-S,67-49878-S,67-60066-S,69-1596-S,69-44679-S,69-44911-S,69-61400-S,70-39301-S,70-50662-S,71-12120-S,71-26252-S,71-57188-B
long Man zu zi zhi xian	67-60138-S
long ba bu	17-55542-S
long bao	20-68723-S,21-3024-S
long bi	44-20451-B
long bu	21-14730-S
long bu ya de tou she	23-46265-S
long cha	40-40398-S
long chuan	40-16287-B,60-1729-S,71-61573-B
long da kou	21-14785-S
long da xiong mao bao hu qu	52-55663-S
long da xue	11-13116-S
long de qing	16-6706-S
long di	22-18454-S,55-1398-S
long dian jing	43-59492-S
long dong	66-37347-B
long duan	11-46301-S,16-35514-B,20-11390-S
long duan fan mai	16-35583-B
long fang dan	22-18385-S
long fei feng wu	71-62708-B
long gong si	67-15885-S
long gu	71-62883-B
long gui	9-8041-S
long guo	40-25204-S
long hang kong	39-6513-S
long hao	71-61637-B
long he	35-16175-S
long hua	41-25466-S
long hui zu zi zhi xian	10-24980-S
long hun za	70-39346-S
long ji	5-63326-S
long ji shu	7-19730-S
long jiang	42-22427-S,66-55861-S,71-34138-S
long jiang he	71-34241-S
long jiang sheng	71-34396-S
long jing cha	71-57555-B
long juan feng	71-59756-B
long kang ti	14-17391-S
long kuai xu	3-15018-S
long lei	24-69722-S
long li	14-28259-S,71-57698-B
long li ye	71-57782-B
long long	66-38182-B
long luo	48-44283-B
long ma jing shen	71-62782-B
long men zhen	29-31117-S
long nian	71-59600-B
long niao	48-44465-B
long niao jian yuan	48-44513-B
long pan	55-47824-S,55-47958-S
long po	12-41957-S
long qi	33-16969-S,66-38059-B
long qiu	40-40345-S
long qu mai	5-19976-S
long r	40-41370-S
long ren	7-19674-S
long she lan	71-61408-B
long sheng jiu zi	71-61068-B
long shi	13-26000-S,32-52210-S
long shi you gong si	67-15971-S
long si	37-35342-S
long song	71-59354-B
long song ye	71-59398-B
long tai	53-25907-S
long tai qu	53-26009-S
long tang bao	21-3087-S
long tang song	37-25193-S
long tao	60-36708-S
long tong	48-44332-B
long tou	36-48131-S,71-62555-B
long tou lao da	71-62606-B
long wan	3-65600-S
long wo hu	45-12600-S,55-31912-S
long xia	21-3167-S,71-61680-B
long xing quan	71-59666-B
long xue shan	42-32516-S
long ya ren	52-2408-B
long yan	71-61260-B
long yang jun	71-62482-B
long yue	12-66079-S
long zhao	48-44415-B
long zhen	24-3341-S
long zheng hu dou	71-60905-B
long zhong	51-28226-S,51-28301-S,66-38110-B,66-47332-S,71-61919-B
long zhou	60-1662-S,71-61512-B
long zi	48-44224-B
long zi ran bao hu qu	52-55814-S
long zu	21-45493-S
long zuo	17-55606-S
long zuo ya	57-568-S
long1	61-32049-S,66-37246-B
long1 si4	37-35342-S
long2	1-12142-S,1-41979-S,3-14932-S,3-20840-S,3-42070-S,4-19496-S,4-49592-S,4-63001-S,5-15341-S,5-34734-S,7-19635-S,7-53432-S,8-43664-S,9-16603-S,11-13595-S,12-38481-S,12-41896-S,13-25852-S,14-2620-S,14-4868-S,14-38824-S,14-40922-B,14-48667-S,16-1724-S,19-21176-S,19-34732-S,21-2981-S,21-14691-S,21-15347-S,21-49312-B,24-69678-S,26-25982-S,27-16460-S,30-58473-S,31-55569-S,32-3757-B,32-45750-S,32-52170-S,32-52268-B,33-2052-S,33-6121-S,35-17419-B,35-49541-S,36-29732-S,37-17997-S,37-57250-S,39-6439-S,39-16745-S,39-31168-B,39-42609-S,40-15975-B,40-25157-S,40-41315-S,40-64650-S,41-25423-S,42-22340-S,42-25501-S,42-30181-S,42-41342-S,43-8386-B,43-20521-S,44-20399-B,45-6748-S,45-14253-S,45-62006-B,46-45678-B,47-21733-S,47-44712-S,47-58700-B,47-60012-S,47-63238-B,48-44105-B,50-50539-S,51-24063-S,51-24146-S,51-48927-S,52-2380-B,52-55143-S,52-55430-S,53-25779-S,53-25846-S,53-33025-S,53-47441-S,54-48256-S,54-64212-S,55-2101-S,55-13014-S,55-43965-B,55-55025-S,56-16671-S,56-17679-S,59-11473-S,60-7719-S,60-9082-S,60-54164-B,60-59203-S,61-39245-S,66-37284-B,66-38182-S,67-15819-S,67-17367-S,67-17442-S,67-19472-S,67-40732-S,67-49878-S,67-60066-S,69-1596-S,69-44679-S,69-44911-S,69-61400-S,70-39301-S,70-50662-S,71-12120-S,71-26252-S,71-57188-B
long2 Man3 zu2 zi4 zhi4 xian4	67-60138-S
long2 ba1 bu4	17-55542-S
long2 bao1	20-68723-S,21-3024-S
long2 bi4	44-20451-B
long2 bu4	21-14730-S
long2 bu4 ya1 de5 tou2 she2	23-46265-S
long2 cha2	40-40398-S
long2 chuan2	40-16287-B,60-1729-S,71-61573-B
long2 da1 kou4	21-14785-S
long2 da4 xiong2 mao1 bao3 hu4 qu1	52-55663-S
long2 da4 xue2	11-13116-S
long2 de2 qing4	16-6706-S
long2 di2	22-18454-S
long2 di4	55-1398-S
long2 dian3 jing1	43-59492-S
long2 dong1	66-37347-B
long2 fang1 dan1	22-18385-S
long2 fei1 feng4 wu3	71-62708-B
long2 gong1 si1	67-15885-S
long2 gu3	71-62883-B
long2 gui1	9-8041-S
long2 guo3	40-25204-S
long2 hang2 kong1	39-6513-S
long2 hao1	71-61637-B
long2 he4	35-16175-S
long2 hua1	41-25466-S
long2 hui2 zu2 zi4 zhi4 xian4	10-24980-S
long2 hun4 za2	70-39346-S
long2 ji4	5-63326-S
long2 ji4 shu4	7-19730-S
long2 jiang1	42-22427-S,66-55861-S,71-34138-S
long2 jiang1 he2	71-34241-S
long2 jiang1 sheng3	71-34396-S
long2 jing3 cha2	71-57555-B
long2 juan3 feng1	71-59756-B
long2 kang4 ti3	14-17391-S
long2 kuai4 xu4	3-15018-S
long2 lei4	24-69722-S
long2 li3	14-28259-S
long2 li4	71-57698-B
long2 li4 ye4	71-57782-B
long2 long2	66-38182-B
long2 ma3 jing1 shen2	71-62782-B
long2 men2 zhen4	29-31117-S
long2 nian2	71-59600-B
long2 niao3	48-44465-B
long2 niao3 jian4 yuan2	48-44513-B
long2 pan2	55-47824-S,55-47958-S
long2 po1	12-41957-S
long2 qi3	33-16969-S,66-38059-B
long2 qiu2	40-40345-S
long2 qu4 mai4	5-19976-S
long2 r5	40-41370-S
long2 ren2	7-19674-S
long2 she2 lan2	71-61408-B
long2 sheng1 jiu3 zi3	71-61068-B
long2 shi1	32-52210-S
long2 shi2 you2 gong1 si1	67-15971-S
long2 shi4	13-26000-S
long2 song1	71-59354-B
long2 song1 ye4	71-59398-B
long2 tai2	53-25907-S
long2 tai2 qu1	53-26009-S
long2 tang1 bao1	21-3087-S
long2 tang2 song4	37-25193-S
long2 tao4	60-36708-S
long2 tou2	36-48131-S,71-62555-B
long2 tou2 lao3 da4	71-62606-B
long2 wan1	3-65600-S
long2 wo4 hu3	45-12600-S,55-31912-S
long2 xia1	21-3167-S,71-61680-B
long2 xing2 quan2	71-59666-B
long2 xue3 shan1	42-32516-S
long2 ya3 ren2	52-2408-B
long2 yan3	71-61260-B
long2 yang2 jun1	71-62482-B
long2 zhen4	24-3341-S
long2 zheng1 hu3 dou4	71-60905-B
long2 zhong1	51-28226-S,51-28301-S,66-47332-S,71-61919-B
long2 zhong4	66-38110-B
long2 zhou1	60-1662-S,71-61512-B
long2 zi4 ran2 bao3 hu4 qu1	52-55814-S
long2 zi5	48-44224-B
long2 zu2	21-45493-S
long2 zuo4	17-55606-S
long2 zuo4 ya3	57-568-S
long3	6-54534-S,6-58809-B,10-38330-S,12-34612-S,15-21982-S,15-40164-S,16-35480-B,27-23277-S,27-51677-S,29-32625-B,51-54442-S,66-51002-B,66-58111-S
long3 duan4	11-46301-S,16-35514-B,20-11390-S
long3 duan4 fan4 mai4	16-35583-B
long3 luo4	48-44283-B
long3 tong3	48-44332-B
long3 zhao4	48-44415-B
long4	13-41997-B,23-23289-B,56-36438-B
long4 yue4	12-66079-S
long5	47-55973-S
lou	1-51004-S,3-54781-S,5-62626-S,6-49762-B,7-59136-S,11-22956-S,12-43466-S,13-52098-S,14-29310-B,14-29364-B,14-29364-B,15-42322-S,15-62243-S,16-7103-S,16-17736-S,16-23114-B,17-22989-S,17-53423-S,19-13732-S,21-37950-S,21-45171-S,21-47293-B,25-32150-S,28-64907-B,28-64972-B,29-393-S,29-471-S,30-2072-S,31-57321-S,32-8466-S,32-8856-S,32-24357-S,33-59510-S,34-50546-B,35-13965-S,36-28593-S,37-60496-S,37-60758-S,38-18962-S,38-57787-S,39-32382-S,39-32924-S,39-44214-B,41-45949-S,41-45949-S,44-2870-S,44-19970-B,44-20011-B,44-20047-B,44-24420-S,44-57741-S,46-7449-S,48-35680-B,48-38793-S,51-38981-B,51-63699-S,52-18190-S,52-33702-S,54-11290-S,55-11576-B,56-598-S,56-15160-B,57-45263-S,60-12401-S,61-35056-S,63-3094-S,63-32272-S,63-39895-S,63-48828-S,63-60744-S,64-27115-S,64-58523-B,65-41-S,65-47909-S,66-16360-B,67-46268-B,69-52478-S,70-4278-B,70-16427-S,70-31679-S,71-25597-S,71-40283-S,71-48292-S
lou ba te la	7-15231-S
lou bai	67-47360-B
lou ban	34-51012-B
lou bao	28-65012-B
lou ceng	34-50793-B
lou chou	67-47849-B
lou chuan	34-51589-B
lou da sha	70-16505-S
lou dao	34-51786-B
lou di	67-47053-B
lou dong	39-44564-B
lou dong bai chu	39-44617-B
lou dou	39-44273-B
lou fang	34-50944-B
lou feng	67-48195-B
lou fu	67-46984-B
lou ge	34-51861-B,47-45389-S
lou ge ta	34-51911-B
lou gu	56-15220-B,64-31701-S
lou gu ke	56-15283-B
lou gua wen	19-13786-S
lou guai ren	65-120-S
lou guan yuan	3-54848-S
lou guo	39-45098-B,64-47547-S
lou ji	21-38009-S,57-19028-S
lou jin	65-567-S
lou jiu jian	14-62332-S
lou kong	4-6697-S
lou lian	67-47540-B
lou lu	34-51332-B
lou ma jiao	67-48446-B
lou meng	49-10343-S,57-18892-S
lou mian	27-28576-S,34-51974-B,67-47978-B
lou miao	67-47662-B
lou pan	34-51403-B
lou qie	67-47105-B
lou shang	34-50620-B
lou shui	39-44313-B,39-44814-B
lou shui zhuan hun tian yi	39-44366-B
lou tai	34-51511-B,61-48430-S
lou ti	32-4616-S,34-51074-B,53-2783-S
lou ti jian	34-51261-B
lou ti kou	34-51122-B
lou ti tai	34-51192-B
lou tou	67-48105-B
lou wang you yu	39-44979-B
lou wang zhi yu	39-44860-B
lou wo chuo	10-62946-S
lou wu	66-16416-B
lou xi	66-16464-B,66-29412-S
lou xia	34-50664-B
lou xian	67-48257-B
lou xian r	67-48372-B
lou xiang	34-50904-B,67-47479-B
lou xie	39-44754-B
lou yi	56-15405-B
lou yi shou	67-46431-B
lou you	39-44521-B
lou yu zi dong hua	34-50708-B
lou zi	8-41336-S
lou zuo	34-50845-B
lou1	28-64907-B
lou2	1-51004-S,3-54781-S,5-62626-S,6-49762-B,7-59136-S,11-22956-S,12-43466-S,13-52098-S,14-29310-B,15-62243-S,16-17736-S,17-22989-S,17-53423-S,21-37950-S,29-393-S,29-471-S,30-2072-S,31-57321-S,32-8466-S,34-50546-B,36-28593-S,38-18962-S,44-24420-S,44-57741-S,46-7449-S,51-38981-B,51-63699-S,54-11290-S,55-11576-B,56-598-S,56-15160-B,57-45263-S,61-35056-S,63-39895-S,63-60744-S,64-27115-S,65-41-S,65-47909-S,69-52478-S,70-4278-B,70-16427-S,70-31679-S,71-25597-S,71-48292-S
lou2 ba1 te4 la1	7-15231-S
lou2 ban3	34-51012-B
lou2 ceng2	34-50793-B
lou2 chuan2	34-51589-B
lou2 da4 sha4	70-16505-S
lou2 dao4	34-51786-B
lou2 fang2	34-50944-B
lou2 ge2	34-51861-B,47-45389-S
lou2 ge2 ta3	34-51911-B
lou2 gu1	56-15220-B
lou2 gu1 ke1	56-15283-B
lou2 guai4 ren2	65-120-S
lou2 guan1 yuan2	3-54848-S
lou2 ji4	21-38009-S,57-19028-S
lou2 kong1	4-6697-S
lou2 lu3	34-51332-B
lou2 meng4	49-10343-S,57-18892-S
lou2 mian4	34-51974-B
lou2 pan2	34-51403-B
lou2 shang4	34-50620-B
lou2 tai2	34-51511-B,61-48430-S
lou2 ti1	32-4616-S,34-51074-B,53-2783-S
lou2 ti1 jian1	34-51261-B
lou2 ti1 kou3	34-51122-B
lou2 ti1 tai2	34-51192-B
lou2 xia4	34-50664-B
lou2 xiang1	34-50904-B
lou2 yi3	56-15405-B
lou2 yu3 zi4 dong4 hua4	34-50708-B
lou2 zuo4	34-50845-B
lou3	16-23114-B,21-47293-B,28-64972-B,48-35680-B,52-18190-S
lou3 bao4	28-65012-B
lou4	15-42322-S,16-7103-S,19-13732-S,21-45171-S,25-32150-S,32-8856-S,32-24357-S,33-59510-S,35-13965-S,37-60496-S,37-60758-S,38-57787-S,39-32382-S,39-32924-S,39-44214-B,44-2870-S,44-19970-B,44-20011-B,44-20047-B,48-38793-S,52-33702-S,60-12401-S,63-3094-S,63-32272-S,63-48828-S,64-58523-B,66-16360-B,67-46268-B,71-40283-S
lou4 bai2	67-47360-B
lou4 chou3	67-47849-B
lou4 di3	67-47053-B
lou4 dong4	39-44564-B
lou4 dong4 bai3 chu1	39-44617-B
lou4 dou3	39-44273-B
lou4 feng1	67-48195-B
lou4 fu4	67-46984-B
lou4 gu3	64-31701-S
lou4 gua3 wen2	19-13786-S
lou4 guo1	39-45098-B,64-47547-S
lou4 jin4	65-567-S
lou4 jiu4 jian3	14-62332-S
lou4 lian3	67-47540-B
lou4 ma3 jiao3	67-48446-B
lou4 mian4	27-28576-S,67-47978-B
lou4 miao2	67-47662-B
lou4 qie4	67-47105-B
lou4 shui3	39-44313-B
lou4 shui3 zhuan4 hun2 tian1 yi2	39-44366-B
lou4 shui4	39-44814-B
lou4 tou2	67-48105-B
lou4 wang3 you2 yu2	39-44979-B
lou4 wang3 zhi1 yu2	39-44860-B
lou4 wo4 chuo4	10-62946-S
lou4 wu1	66-16416-B
lou4 xi2	66-16464-B,66-29412-S
lou4 xian4	67-48257-B
lou4 xian4 r5	67-48372-B
lou4 xiang4	67-47479-B
lou4 xie4	39-44754-B
lou4 yi1 shou3	67-46431-B
lou4 you2	39-44521-B
lou4 zi5	8-41336-S
lou5	14-29364-B,41-45949-S
lu	1-37948-S,1-44380-S,2-2851-S,2-40647-S,2-57738-S,3-5115-S,3-15852-S,3-27081-S,3-39093-S,3-51763-S,3-59763-S,3-66161-S,3-69586-S,3-69660-S,4-2726-S,4-3095-S,4-46472-S,4-46947-S,4-58322-S,5-33850-S,5-49301-S,5-51057-S,6-28556-S,6-50048-B,7-2453-S,7-33142-S,7-55571-S,7-62821-S,7-64916-S,7-68364-S,8-14545-S,8-20444-S,8-41411-S,8-45839-S,8-46850-S,9-1674-S,9-15760-S,9-37167-S,9-37492-S,9-48258-S,9-51293-S,9-53840-S,10-5830-S,10-36794-S,10-41106-S,10-60401-S,10-66980-S,11-5774-S,11-21422-S,11-23171-S,11-55091-S,12-24620-S,12-51845-S,12-53708-S,12-59047-S,12-60587-S,12-61393-S,13-18679-S,13-18736-S,13-26799-S,13-63200-S,13-65431-S,14-30609-S,14-30609-S,14-40391-B,14-51963-S,14-55386-S,15-27555-S,15-38083-S,15-42711-S,16-31595-S,16-34356-B,16-51835-S,17-35908-S,17-38805-S,17-42226-S,17-50257-S,17-51977-S,17-58836-S,17-68666-S,18-10506-S,18-14764-S,19-28433-S,19-33885-S,20-9763-S,20-29660-S,20-40434-S,20-40510-S,20-57004-S,21-1283-S,21-14493-S,21-23136-S,21-23957-S,21-33274-S,21-33872-S,21-34989-S,21-62564-S,22-10397-S,22-28970-S,22-29381-S,22-45878-S,22-46853-S,23-3758-S,23-3876-S,23-10342-S,23-11281-S,23-13331-S,23-15965-B,23-31028-S,23-52497-B,24-5114-S,24-19802-S,24-41621-S,24-45983-S,24-56439-S,25-32258-S,26-16599-B,26-33251-S,26-33251-S,26-33323-S,26-33323-S,26-34064-S,26-34064-S,26-64201-S,26-64662-S,26-64892-S,27-12049-S,27-21491-S,27-23199-S,27-26752-S,27-61065-S,28-22744-S,28-24039-S,28-38392-S,28-41899-S,28-49316-S,28-64638-S,29-18042-B,29-43084-S,30-186-S,30-17072-S,30-17210-S,30-20194-S,30-21142-S,30-21399-S,30-22691-S,30-44083-S,30-46361-S,30-67489-S,31-11006-S,31-22505-S,31-35032-S,32-670-S,32-2509-S,32-69843-S,33-26434-S,33-36267-S,33-41599-S,33-41667-S,34-5701-S,34-12005-S,34-51332-S,35-14466-S,35-16567-B,35-17110-B,35-20417-S,35-27070-S,35-61026-S,36-268-S,36-17713-B,36-26365-S,36-26365-S,36-46982-S,36-48626-S,36-62322-S,37-16991-S,37-27587-S,37-36118-S,37-52863-S,37-55266-S,38-7601-S,38-25940-S,38-39730-S,38-44416-B,38-57867-S,38-60402-S,39-29666-S,39-31490-S,39-33942-B,39-44076-B,40-8441-S,40-13105-S,40-14854-B,40-20519-S,40-23306-S,40-41236-S,40-42058-S,40-59640-S,40-65413-S,40-66445-S,41-173-S,41-863-S,41-14102-S,41-16816-S,41-17060-S,41-24362-S,41-35434-B,41-51124-S,42-9293-S,42-13157-S,42-24217-S,42-29349-B,42-56956-S,42-58421-B,42-61097-S,43-3488-B,43-7269-S,43-49677-S,43-63594-S,44-25144-S,44-25246-S,44-47994-S,44-50045-S,44-50090-S,45-3195-S,45-6800-B,45-12453-S,45-19087-S,45-48592-S,46-643-S,46-27368-B,46-38033-B,46-38072-B,46-53753-S,46-65498-B,47-22501-S,47-30333-B,47-38184-B,47-44603-S,47-52593-S,47-57702-S,48-6989-S,48-16835-S,48-35714-B,48-39684-B,48-43821-B,48-43909-B,48-50350-S,49-3427-S,49-15196-S,49-41318-S,49-54928-S,49-55194-S,49-62575-S,50-8808-S,50-9201-S,50-10576-S,50-17632-S,50-22165-S,50-40965-S,50-46682-B,50-50403-B,51-8220-S,51-30851-S,51-42289-S,51-58289-S,52-49017-S,52-53588-B,53-39682-B,53-40304-B,54-7424-S,54-28079-B,54-44631-S,54-56302-S,54-56367-S,54-59847-S,54-59847-S,55-4296-S,55-9690-B,55-11159-S,55-14941-B,55-36409-B,55-40371-S,55-45538-S,55-54457-S,55-54645-B,55-58841-S,56-4994-S,56-9468-S,56-11519-S,56-30030-S,56-46962-S,56-57693-S,57-21841-S,57-24440-S,57-27697-S,57-61509-S,58-0-S,58-10056-S,58-18281-S,58-28091-S,58-42333-S,59-14086-S,59-50529-B,59-50630-S,60-11253-S,60-11844-S,60-14020-S,60-18805-S,60-18805-S,60-25167-S,60-41079-B,61-3949-S,61-6634-B,61-20580-B,61-25599-S,61-30022-S,61-32184-B,61-49027-S,61-55120-S,61-62858-S,62-1832-S,62-13663-S,62-14653-S,62-26522-B,62-44983-S,62-48854-S,62-52123-S,63-1409-S,63-45922-B,63-55392-S,64-34271-S,64-38112-S,64-42044-B,64-48945-B,64-49832-S,64-56518-S,65-4796-S,65-7317-B,65-7347-B,65-20069-S,65-20969-S,65-23923-S,65-27057-S,65-42461-S,65-44278-S,66-16260-S,66-32653-B,66-34155-S,66-41735-S,66-54127-S,66-58033-S,67-6477-S,67-25557-S,67-26241-S,67-26241-S,67-32579-S,67-34874-S,67-37438-S,67-37588-S,67-37945-S,67-44932-S,67-46328-B,67-58317-S,67-58476-S,68-9586-S,68-26850-S,68-35073-S,68-40015-S,68-40524-S,68-52687-S,68-52850-B,69-349-S,69-29068-S,69-35468-S,69-42500-S,69-44558-S,69-45272-S,69-46223-S,69-47990-S,69-51757-B,69-56711-S,70-193-S,70-1303-S,70-18598-S,70-22297-S,70-22386-S,70-22806-S,70-39769-B,70-44638-B,70-49024-B,70-57954-S,71-1874-B,71-2305-B,71-2989-B,71-7946-S,71-8169-B,71-9122-S,71-9417-B,71-29427-S,71-48923-S,71-54248-S,71-64098-B
lu Da xue	51-42325-S
lu Sa ke xun	45-3244-S
lu Zang bu jiang	66-56357-S
lu ai er	41-62593-S
lu ba	52-22704-S,54-60219-S,66-10031-S,66-14030-S
lu ban	11-18156-S,11-21493-S
lu bang	70-40739-B
lu bang xing	70-40785-B
lu bao	38-26019-S
lu bao zuo	71-8650-B
lu bi	45-13503-B
lu bian	41-35692-B,60-44184-B
lu biao	60-42902-B
lu bing du	11-55158-S
lu bo	7-18570-S
lu bu	45-13146-B
lu bu ming	5-19626-S
lu bu shi yi	60-41398-B
lu bu shu	4-14639-S
lu bu tong	35-41702-S
lu cai hua	9-1737-S
lu ceng	30-22755-S,64-56556-S
lu cheng	60-43346-B
lu chi	13-28660-S,67-48662-B
lu chi er xiao	67-48702-B
lu chu	38-7683-S,67-46527-B,68-52735-S
lu chu jia	10-60459-S
lu chu ma jiao	67-46603-B
lu chuang	41-35522-B
lu chun	43-15401-S
lu ci	71-2344-B
lu da	17-34199-S
lu dai ting	71-3053-B
lu dao	54-59944-S
lu dao shi	54-60076-S
lu deng	21-34459-S,60-42991-B
lu di	55-37073-B,66-32820-B
lu dian	54-56440-S,67-48619-B
lu dian shi	65-28510-S
lu ding	32-68028-S,49-30616-S
lu dong	31-53307-S
lu dong zhu yi	31-53385-S
lu dun	70-41428-B
lu e	11-15939-S
lu fa	39-34105-B
lu fan	12-61454-S
lu fan di qu	12-61539-S
lu fan pen di	12-61727-S
lu fan shi	12-61631-S
lu fei xing	2-27304-S
lu feng mang	9-1864-S
lu fu di	3-59976-S
lu fu er gong	70-39967-B
lu fu qi piao	27-61868-S
lu fu wu	12-59090-S,50-9493-S
lu ga qi	62-53028-S
lu ge	17-62545-S
lu ge zu	17-62632-S
lu gong	64-42104-B,64-42347-B
lu gong cheng	62-52169-S
lu guan	55-36935-B
lu guo	7-33190-S,60-44133-B
lu hai kong jun	66-33671-B
lu hai kong san jun	66-33600-B
lu han	67-48053-B
lu he	7-33252-S
lu hu	39-34010-B
lu hua	17-39259-S,71-3172-B
lu hua chi	62-55544-S
lu hua huang que	55-36978-B
lu hua piao	41-9267-S
lu hua wu	71-3273-B
lu hua yin	71-3337-B
lu huan jing	50-9741-S
lu hui	55-37147-B
lu huo	29-18076-B,41-35602-B,55-54679-B
lu huo che zhan	39-29775-S
lu huà piáo	41-9267-S
lu ji	66-32965-B
lu ji dao dan	66-33007-B
lu ji shu	10-41182-S
lu ji ya	34-347-S
lu ji ya ren	34-428-S
lu jia	5-10576-S,17-39128-S,41-35564-B,66-33289-B
lu jia gou	50-9562-S
lu jiang	70-55191-S
