交通大学	3-72489-S
代溝 代沟	4-32332-B
代理	4-32380-S
代理 代理	4-32380-B
代理人	4-32475-S
代理人 代理人	4-32475-B
代码	4-32524-S
代码段	4-32615-S
代码页	4-32672-S
代碼 代码	4-32524-B
代碼段 代码段	4-32615-B
代碼頁 代码页	4-32672-B
代祷	4-32724-S
代禱 代祷	4-32724-B
代糖	4-32781-S
代糖 代糖	4-32781-B
代縣 代县	4-32832-B
代罪羔羊	4-32887-S
代罪羔羊 代罪羔羊	4-32887-B
代考	4-32955-S
代考 代考	4-32955-B
代號 代号	4-33018-B
代表	4-33061-S
代表 代表	4-33061-B
代表作	4-33145-S
代表作 代表作	4-33145-B
代表团	4-33235-S
代表團 代表团	4-33235-B
代表性	4-33292-S
代表性 代表性	4-33292-B
代表队	4-33361-S
代表隊 代表队	4-33361-B
代言人	4-33417-S
代言人 代言人	4-33417-B
代詞 代词	4-33471-B
代課 代课	4-33511-B
代謝 代谢	4-33585-B
代词	4-33471-S
代课	4-33511-S
代谢	4-33585-S
代購 代购	4-33662-B
代购	4-33662-S
代辦 代办	4-33720-B
代頓 代顿	4-33852-B
代顿	4-33852-S
令	4-33907-S
令 令	4-33907-B
令人	4-33981-S
令人 令人	4-33981-B
令人不快	4-34113-S
令人不快 令人不快	4-34113-B
令人发指	4-34664-S
令人叹	4-34194-S
令人叹为观止	4-34251-S
令人嘆 令人叹	4-34194-B
令人嘆為觀止 令人叹为观止	4-34251-B
令人惊异	4-34595-S
令人振奋	4-34366-S
令人振奮 令人振奋	4-34366-B
令人欽佩 令人钦佩	4-34450-B
令人钦佩	4-34450-S
令人震惊	4-34516-S
令人震驚 令人震惊	4-34516-B
令人驚異 令人惊异	4-34595-B
令人髮指 令人发指	4-34664-B
令人鼓舞	4-34796-S
令人鼓舞 令人鼓舞	4-34796-B
令堂	4-34873-S
令堂 令堂	4-34873-B
令导人	4-35073-S
令尊	4-34932-S
令尊 令尊	4-34932-B
令尊令堂	4-34990-S
令尊令堂 令尊令堂	4-34990-B
令導人 令导人	4-35073-B
令牌环	4-35161-S
令牌环网	4-35218-S
令牌環 令牌环	4-35161-B
令牌環網 令牌环网	4-35218-B
令状	4-35295-S
令狀 令状	4-35295-B
令狐	4-35337-S
令狐 令狐	4-35337-B
令狐德棻	4-35429-S
令狐德棻 令狐德棻	4-35429-B
令行禁止	4-35506-S
令行禁止 令行禁止	4-35506-B
以	4-35588-S
以 以	4-35588-B
以上	4-35683-S
以上 以上	4-35683-B
以下	4-35758-S
以下 以下	4-35758-B
以为	4-38004-S
以人为本	4-35812-S
以人為本 以人为本	4-35812-B
以來 以来	4-35908-B
以便	4-35965-S
以便 以便	4-35965-B
以免	4-36027-S
以免 以免	4-36027-B
以內 以内	4-36091-B
以内	4-36091-S
以军	4-39186-S
以利亚	4-36140-S
以利亚撒	4-36212-S
以利亚敬	4-36286-S
以利亞 以利亚	4-36140-B
以利亞撒 以利亚撒	4-36212-B
以利亞敬 以利亚敬	4-36286-B
以前	4-36353-S
以前 以前	4-36353-B
以卵击石	4-36415-S
以卵擊石 以卵击石	4-36415-B
以及	4-36584-S
以及 以及	4-36584-B
以叙	4-37588-S
以后	4-37446-S
以埃	4-36634-S
以埃 以埃	4-36634-B
以外	4-36678-S
以外 以外	4-36678-B
以太	4-36763-S
以太 以太	4-36763-B
以太網 以太网	4-36802-B
以太網絡 以太网络	4-36855-B
以太網絡幀 以太网络帧	4-36919-B
以太網絡端口 以太网络端口	4-37002-B
以太网	4-36802-S
以太网络	4-36855-S
以太网络帧	4-36919-S
以太网络端口	4-37002-S
以弗所	4-37094-S
以弗所 以弗所	4-37094-B
以弗所书	4-37144-S
以弗所書 以弗所书	4-37144-B
以弱勝強 以弱胜强	4-37233-B
以弱胜强	4-37233-S
以往	4-37340-S
以往 以往	4-37340-B
以律	4-37394-S
以律 以律	4-37394-B
以後 以后	4-37446-B
以撒	4-37534-S
以撒 以撒	4-37534-B
以敘 以叙	4-37588-B
以斯帖	4-37632-S
以斯帖 以斯帖	4-37632-B
以斯帖記 以斯帖记	4-37688-B
以斯帖记	4-37688-S
以斯拉記 以斯拉记	4-37755-B
以斯拉记	4-37755-S
以来	4-35908-S
以此	4-37819-S
以此 以此	4-37819-B
以毒攻毒	4-37856-S
以毒攻毒 以毒攻毒	4-37856-B
以法莲	4-37946-S
以法蓮 以法莲	4-37946-B
以為 以为	4-38004-B
以牙还牙	4-38100-S
以牙還牙 以牙还牙	4-38100-B
以眦睚杀人	4-38187-S
以眦睚殺人 以眦睚杀人	4-38187-B
以礼相待	4-38274-S
以禮相待 以礼相待	4-38274-B
以至	4-38371-S
以至 以至	4-38371-B
以至于	4-38417-S
以至于 以至于	4-38417-B
以致	4-38495-S
以致 以致	4-38495-B
以色列	4-38565-S
以色列 以色列	4-38565-B
以色列人	4-38614-S
以色列人 以色列人	4-38614-B
以色列工党	4-38685-S
以色列工黨 以色列工党	4-38685-B
以西結書 以西结书	4-38766-B
以西结书	4-38766-S
以貌取人	4-38835-S
以貌取人 以貌取人	4-38835-B
以賽亞書 以赛亚书	4-38928-B
以赛亚书	4-38928-S
以身作则	4-38996-S
以身作則 以身作则	4-38996-B
以身抵债	4-39102-S
以身抵債 以身抵债	4-39102-B
以軍 以军	4-39186-B
以逸待劳	4-39235-S
以逸待劳 以逸待劳	4-39235-B
以邻为壑	4-39331-S
以鄰為壑 以邻为壑	4-39331-B
以防万一	4-39426-S
以防萬一 以防万一	4-39426-B
以馬內利 以马内利	4-39499-B
以马内利	4-39499-S
仨	4-39559-S
仨 仨	4-39559-B
仪	6-53985-S
仪典	6-54050-S
仪器	6-54092-S
仪器表	6-54151-S
仪容	6-54200-S
仪式	6-54244-S
仪征	6-54285-S
仪态	6-54349-S
仪礼	6-54400-S
仪表	6-54452-S
仪陇	6-54534-S
们	5-54849-S
仮	4-39591-S
仮 仮	4-39591-B
仰	4-39637-S
仰 仰	4-39637-B
仰光	4-39684-S
仰光 仰光	4-39684-B
仰光大金塔	4-39737-S
仰光大金塔 仰光大金塔	4-39737-B
仰卧起坐	4-40458-S
仰天	4-39837-S
仰天 仰天	4-39837-B
仰屋	4-39910-S
仰屋 仰屋	4-39910-B
仰屋兴叹	4-39986-S
仰屋興嘆 仰屋兴叹	4-39986-B
仰屋著书	4-40149-S
仰屋著書 仰屋著书	4-40149-B
仰慕	4-40313-S
仰慕 仰慕	4-40313-B
仰望	4-40356-S
仰望 仰望	4-40356-B
仰泳	4-40412-S
仰泳 仰泳	4-40412-B
仰臥起坐 仰卧起坐	4-40458-B
仰賴 仰赖	4-40539-B
仰赖	4-40539-S
仰韶	4-40584-S
仰韶 仰韶	4-40584-B
仰韶文化	4-40687-S
仰韶文化 仰韶文化	4-40687-B
仲	4-40812-S,4-40900-S
仲 仲	4-40812-B,4-40900-B
仲夏	4-40938-S
仲夏 仲夏	4-40938-B
仲巴	4-41006-S
仲巴 仲巴	4-41006-B
仲裁	4-41069-S
仲裁 仲裁	4-41069-B
仳	4-41116-S
仳 仳	4-41116-B
仵	4-41145-S
仵 仵	4-41145-B
件	4-41175-S
件 件	4-41175-B
价	6-52852-S,6-52907-S
价值	6-52957-S
价值增殖	6-53002-S
价值工程	6-53071-S
价值观	6-53147-S
价原	6-53205-S
价层	6-53313-S
价格	6-53431-S
价格标签	6-53469-S
价格表	6-53535-S
价款	6-53590-S
价电子	6-53762-S
价目	6-53629-S
价钱	6-53676-S
价键	6-53715-S
任	4-41235-S
任 任	4-41235-B
任一个	4-41312-S
任一個 任一个	4-41312-B
任丘	4-41391-S
任丘 任丘	4-41391-B
任事	4-41451-S
任事 任事	4-41451-B
任人	4-41517-S
任人 任人	4-41517-B
任人唯亲	4-41576-S
任人唯親 任人唯亲	4-41576-B
任人唯賢 任人唯贤	4-41706-B
任人唯贤	4-41706-S
任从	4-42919-S
任何	4-41870-S
任何 任何	4-41870-B
任何人	4-41936-S
任何人 任何人	4-41936-B
任何其他	4-41986-S
任何其他 任何其他	4-41986-B
任侠	4-42116-S
任便	4-42048-S
任便 任便	4-42048-B
任俠 任侠	4-42116-B
任免	4-42201-S
任免 任免	4-42201-B
任內 任内	4-42258-B
任其自然	4-42308-S
任其自然 任其自然	4-42308-B
任内	4-42258-S
任凭	4-43231-S
任务	4-42442-S
任务栏	4-42507-S
任劳任怨	4-42558-S
任務 任务	4-42442-B
任務欄 任务栏	4-42507-B
任勞任怨 任劳任怨	4-42558-B
任县	4-43682-S
任听	4-43792-S
任命	4-42705-S
任命 任命	4-42705-B
任咎	4-42763-S
任咎 任咎	4-42763-B
任天堂	4-42814-S
任天堂 任天堂	4-42814-B
任安	4-42869-S
任安 任安	4-42869-B
任從 任从	4-42919-B
任性	4-42973-S
任性 任性	4-42973-B
任情	4-43038-S
任情 任情	4-43038-B
任意	4-43119-S
任意 任意	4-43119-B
任意球	4-43178-S
任意球 任意球	4-43178-B
任憑 任凭	4-43231-B
任所	4-43321-S
任所 任所	4-43321-B
任教	4-43396-S
任教 任教	4-43396-B
任期	4-43467-S
任期 任期	4-43467-B
任气	4-43514-S
任氣 任气	4-43514-B
任用	4-43564-S
任用 任用	4-43564-B
任由	4-43619-S
任由 任由	4-43619-B
任縣 任县	4-43682-B
任职	4-43736-S
任職 任职	4-43736-B
任聽 任听	4-43792-B
任誕 任诞	4-43883-B
任課 任课	4-43934-B
任诞	4-43883-S
任课	4-43934-S
任賢使能 任贤使能	4-44001-B
任贤使能	4-44001-S
任选	4-44163-S
任選 任选	4-44163-B
任重	4-44249-S
任重 任重	4-44249-B
任重道远	4-44306-S
任重道遠 任重道远	4-44306-B
任随	4-44476-S
任隨 任随	4-44476-B
份	4-44561-S
份 份	4-44561-B
份儿	4-44623-S
份兒 份儿	4-44623-B
份外 分外	4-44683-B
份子	4-44762-S
份子 份子	4-44762-B
份子 分子	4-44821-B
份量	4-44943-S
份量 份量	4-44943-B
份額 份额	4-44987-B
份额	4-44987-S
仿	4-45032-S,6-2560-S,23-60221-S
仿 仿	4-45032-B
仿佛	23-60288-S
仿傚 仿效	4-45074-B
仿冒	4-45128-S
仿冒 仿冒	4-45128-B
仿冒品	4-45182-S
仿冒品 仿冒品	4-45182-B
仿制	4-45924-S
仿制品	4-46006-S
仿古	4-45275-S
仿古 仿古	4-45275-B
仿如	4-45361-S
仿如 仿如	4-45361-B
仿宋	4-45399-S
仿宋 仿宋	4-45399-B
仿效	4-45074-S
仿照	4-45480-S
仿照 仿照	4-45480-B
仿生学	4-45526-S
仿生學 仿生学	4-45526-B
仿真	4-45591-S
仿真 仿真	4-45591-B
仿真服务器	4-45647-S
仿真服務器 仿真服务器	4-45647-B
仿紙 仿纸	4-45729-B
仿纸	4-45729-S
仿羊皮紙 仿羊皮纸	4-45848-B
仿羊皮纸	4-45848-S
仿製 仿制	4-45924-B
仿製品 仿制品	4-46006-B
仿造	4-46075-S
仿造 仿造	4-46075-B
伀	4-46161-S
伀 伀	4-46161-B
企	4-46203-S
企 企	4-46203-B
企业	4-46417-S
企业内网路	4-46472-S
企业家	4-46570-S
企业管理	4-46639-S
企业管理硕士	4-46725-S
企业联合组织	4-46841-S
企业间网路	4-46947-S
企业集团	4-47046-S
企划	4-46276-S
企劃 企划	4-46276-B
企图	4-46337-S
企圖 企图	4-46337-B
企慕	4-46376-S
企慕 企慕	4-46376-B
企業 企业	4-46417-B
企業內網路 企业内网路	4-46472-B
企業家 企业家	4-46570-B
企業管理 企业管理	4-46639-B
企業管理碩士 企业管理硕士	4-46725-B
企業聯合組織 企业联合组织	4-46841-B
企業間網路 企业间网路	4-46947-B
企業集團 企业集团	4-47046-B
企求	4-47120-S
企求 企求	4-47120-B
企盼	4-47189-S
企盼 企盼	4-47189-B
企鵝 企鹅	4-47287-B
企鹅	4-47287-S
伈	4-47325-S
伈 伈	4-47325-B
伉	4-47363-S
伉 伉	4-47363-B
伊	4-47399-S
伊 伊	4-47399-B
伊丽莎白	4-52650-S
伊于胡底 伊於胡底	4-47461-B
伊伦	4-47530-S
伊倫 伊伦	4-47530-B
伊凡	4-47600-S
伊凡 伊凡	4-47600-B
伊利亚特	4-47652-S
伊利亞特 伊利亚特	4-47652-B
伊利埃斯库	4-47717-S
伊利埃斯庫 伊利埃斯库	4-47717-B
伊利諾 伊利诺	4-47786-B
伊利諾伊州 伊利诺伊州	4-47837-B
伊利諾州 伊利诺州	4-47921-B
伊利諾斯 伊利诺斯	4-47993-B
伊利诺	4-47786-S
伊利诺伊州	4-47837-S
伊利诺州	4-47921-S
伊利诺斯	4-47993-S
伊吾	4-48054-S
伊吾 伊吾	4-48054-B
伊塔	4-48114-S
伊塔 伊塔	4-48114-B
伊塞克湖	4-48169-S
伊塞克湖 伊塞克湖	4-48169-B
伊妹儿	4-48241-S
伊妹兒 伊妹儿	4-48241-B
