朾 朾 [01\[ tíng\]]	to bump
東鄉縣 东乡县 [01\[ dōng xiāng xiàn\]]	dongxiang county in fuzhou 撫州|抚州
東阿 东阿 [01\[ dōng ē\]]	(n) dong'e (place in shandong)
東陵 东陵 [01\[ dōng líng\]]	dongling district of shenyang city 沈陽市|沈阳市
東陵區 东陵区 [01\[ dōng líng qū\]]	dongling district of shenyang city 沈陽市|沈阳市
東陽 东阳 [01\[ dōng yáng\]]	(n) dongyang (city in zhejiang)
東非 东非 [01\[ dōng fēi\]]	east africa
東非共同體 东非共同体 [01\[ dōng fēi gòng tóng tǐ\]]	east african community
東非大地塹 东非大地堑 [01\[ dōng fēi dà dì qiàn\]]	great east african rift valley
東非大裂谷 东非大裂谷 [01\[ dōng fēi dà liè gǔ\]]	great east african rift valley
東面 东面 [01\[ dōng miàn\]]	east side (of sth)
東頭村 东头村 [01\[ dōng tóu cūn\]]	tung tau tseun village
東風 东风 [01\[ dōng fēng\]]	easterly wind
東魏 东魏 [01\[ dōng wèi\]]	eastern wei of the northern dynasties (534-550)
東麓 东麓 [01\[ dōng lù\]]	the eastern foothills (of a mountain)
杲 杲 [01\[ gǎo\]]	high;sun shines brightly;to shine
杳 杳 [01\[ yǎo\]]	dark and quiet;disappear
杳無人煙 杳无人烟 [01\[ yǎo wú rén yān\]]	dark and uninhabited (成语 saw); remote and deserted;god-forsaken
杴 杴 [01\[ xiān\]]	(iron) shovel
杵 杵 [01\[ chǔ\]]	pestle;to poke
杶 杶 [01\[ chūn\]]	(tree)
杷 杷 [01\[ pá\]]	see 枇杷 loquat
杸 杸 [01\[ shū\]]	to kill;a spear
杻 杻 [01\[ chǒu\]]	handcuffs
杻 杻 [01\[ niǔ\]]	handcuffs;red apricot
杼 杼 [01\[ zhù\]]	shuttle of a loom
松 松 [01\[ sōng\]]	loose;pine;surname song
松下 松下 [01\[ sōng xià\]]	matsushita (surname);panasonics
松下電器 松下电器 [01\[ sōng xià diàn qì\]]	matsushita electric industrial co.
松下電氣工業 松下电气工业 [01\[ sōng xià diàn qì gōng yè\]]	matsushita electronics industry
松仁 松仁 [01\[ sōng rén\]]	pine nuts
松化石 松化石 [01\[ sōng huà shí\]]	turquoise;also written 松石
松原 松原 [01\[ sōng yuán\]]	songyuan prefecture level city in jilin province 吉林省 in northeast china
松原市 松原市 [01\[ sōng yuán shì\]]	songyuan prefecture level city in jilin province 吉林省 in northeast china
松口蘑 松口蘑 [01\[ sōng kǒu mó\]]	matsutake (tricholoma matsutake)
松山區 松山区 [01\[ sōng shān qū\]]	(n) sungshan (area in taiwan);songshan district of chifeng city 赤峰市
松巴哇 松巴哇 [01\[ sōng bā wā\]]	sumbawa
松巴哇島 松巴哇岛 [01\[ sōng bā wā dǎo\]]	sumbawa
松木 松木 [01\[ sōng mù\]]	pine wood;deal;larch
松果 松果 [01\[ sōng guǒ\]]	pine cone;strobile;strobilus
松果腺 松果腺 [01\[ sōng guǒ xiàn\]]	pineal body
松果體 松果体 [01\[ sōng guǒ tǐ\]]	pineal body
松柏 松柏 [01\[ sōng bǎi\]]	pine and cypress;fig. chaste and undefiled;fig. tomb
松樹 松树 [01\[ sōng shù\]]	pine;pine tree
松石 松石 [01\[ sōng shí\]]	turquoise;tophus (fully hydrated copper-aluminium phosphate)
松節油 松节油 [01\[ sōng jié yóu\]]	turpentine
松花江 松花江 [01\[ sōng huā jiāng\]]	songhua river in jilin province 吉林省 through harbin 哈尔滨
松花蛋 松花蛋 [01\[ sōng huā dàn\]]	thousand-year egg
松茸 松茸 [01\[ sōng róng\]]	matsutake (tricholoma matsutake)
松菌 松菌 [01\[ sōng jùn\]]	matsutake (tricholoma matsutake)
松蘑 松蘑 [01\[ sōng mó\]]	matsutake (tricholoma matsutake)
松遼平原 松辽平原 [01\[ sōng liáo píng yuán\]]	plain of ne china including songhua river through liaoning peninsula
松雞 松鸡 [01\[ sōng jī\]]	grouse
松香 松香 [01\[ sōng xiāng\]]	rosin;pine rosin
松鴉 松鸦 [01\[ sōng yā\]]	a jay;the eurasian jay (garrulus glandarius);the bird family corvidae (crows
松鼠 松鼠 [01\[ sōng shǔ\]]	squirrel
板 板 [01\[ bǎn\]]	board;plank;plate;slab;stiff;unnatural;pedal
板上釘釘 板上钉钉 [01\[ bǎn shàng dīng dīng\]]	that clinches it;that's final;no two ways about it
板凳 板凳 [01\[ bǎn dèng\]]	wooden bench or stool
板刷 板刷 [01\[ bǎn shuā\]]	scrubbing brush
板塊 板块 [01\[ bǎn kuài\]]	tectonic plate;continental plate
板塊構造 板块构造 [01\[ bǎn kuài gòu zào\]]	plate tectonics
板壁 板壁 [01\[ bǎn bì\]]	wooden partition
板子 板子 [01\[ bǎn zi\]]	board;plank;bamboo or birch for corporal punishment
板岩 板岩 [01\[ bǎn yán\]]	slate
板擦 板擦 [01\[ bǎn cā\]]	blackboard eraser
板擦兒 板擦儿 [01\[ bǎn cā 5r\]]	blackboard eraser
板斧 板斧 [01\[ bǎn fǔ\]]	broad axe
板書 板书 [01\[ bǎn shū\]]	writing on the blackboard
板板六十四 板板六十四 [01\[ bǎn bǎn liù shí sì\]]	unaccommodating;rigid
板栗 板栗 [01\[ bǎn lì\]]	chinese chestnut
板梁橋 板梁桥 [01\[ bǎn liáng qiáo\]]	plate girder bridge
板條 板条 [01\[ bǎn tiáo\]]	lath
板條箱 板条箱 [01\[ bǎn tiáo xiāng\]]	crate
板樁 板桩 [01\[ bǎn zhuāng\]]	sheet pile
板橋 板桥 [01\[ bǎn qiáo\]]	(n) panchiao (city in taiwan)
板油 板油 [01\[ bǎn yóu\]]	leaf fat;leaf lard
板滯 板滞 [01\[ bǎn zhì\]]	stiff;dull
板煙 板烟 [01\[ bǎn yān\]]	plug (of tobacco)
板牙 板牙 [01\[ bǎn yá\]]	front tooth;incisor;molar;screw die;threading die
板球 板球 [01\[ bǎn qiú\]]	cricket (ball game)
板皮 板皮 [01\[ bǎn pí\]]	slab
板眼 板眼 [01\[ bǎn yǎn\]]	measure in traditional chinese music;orderliness
板紙 板纸 [01\[ bǎn zhǐ\]]	paperboard;board
板結 板结 [01\[ bǎn jié\]]	harden
板羽球 板羽球 [01\[ bǎn yǔ qiú\]]	battledore and shuttlecock;shuttlecock
板胡 板胡 [01\[ bǎn hú\]]	a bowed stringed instrument with a thin wooden soundboard
板藍根 板蓝根 [01\[ bǎn lán gēn\]]	indigo woad root;root of isatis indigotica (used in traditional chinese medicine)
板規 板规 [01\[ bǎn guī\]]	plate gauge
板門店 板门店 [01\[ bǎn mén diàn\]]	panmunjeom
板門店停戰村 板门店停战村 [01\[ bǎn mén diàn tíng zhàn cūn\]]	panmunjom village on the dmz between north and south korea
板鴨 板鸭 [01\[ bǎn yā\]]	pressed (dried) salted duck
板鼓 板鼓 [01\[ bǎn gǔ\]]	a small drum for marking time
枇 枇 [01\[ pí\]]	see 枇杷 loquat
枇杷 枇杷 [01\[ pí pa\]]	loquat tree (eriobotrya japonica);loquat fruit
枉 枉 [01\[ wǎng\]]	in the wrong;in vain
枉徑 枉径 [01\[ wǎng jìng\]]	winding lane
枉顧 枉顾 [01\[ wǎng gù\]]	to neglect;to misuse;to mistreat;to abuse
枋 枋 [01\[ fāng\]]	santalum album
枋寮鄉 枋寮乡 [01\[ fāng liáo xiāng\]]	(n) fangliao (village in taiwan)
枋山鄉 枋山乡 [01\[ fāng shān xiāng\]]	(n) fangshan (village in taiwan)
枌 枌 [01\[ fén\]]	(tree)
析 析 [01\[ xī\]]	to separate;to divide;to analyze
析出 析出 [01\[ xī chū\]]	to separate out
析疑 析疑 [01\[ xī yí\]]	to resolve a doubt
枒 枒 [01\[ yá\]]	the coconut tree;rim
枓 枓 [01\[ dǒu\]]	square base for chinese flagstaff
枕 枕 [01\[ zhěn\]]	pillow
枕套 枕套 [01\[ zhěn tào\]]	pillow case
枕岩漱流 枕岩漱流 [01\[ zhěn yán shù liú\]]	lit. stone pillow
枕巖漱流 枕岩漱流 [01\[ zhěn yán shù liú\]]	lit. stone pillow
枕木 枕木 [01\[ zhěn mù\]]	sleeper (wooden support for railway track)
枕狀玄武岩 枕状玄武岩 [01\[ zhěn zhuàng xuán wǔ yán\]]	pillow lava (geol.);pillow basalt
枕石漱流 枕石漱流 [01\[ zhěn shí shù liú\]]	lit. stone pillow
枕頭 枕头 [01\[ zhěn tou\]]	pillow
枕頭套 枕头套 [01\[ zhěn tou tào\]]	pillow case
枕骨 枕骨 [01\[ zhěn gǔ\]]	occipital bone (back of the skull)
林 林 [01\[ lín\]]	woods;forest;surname lin
林內鄉 林内乡 [01\[ lín nèi xiāng\]]	(n) linnei (village in taiwan)
林則徐 林则徐 [01\[ lín zé xú\]]	lin zexu or lin tse-hsu commissioner lin (1785-1850)
林區 林区 [01\[ lín qū\]]	region of forest
林卡 林卡 [01\[ lín kǎ\]]	transliteration of tibetan lingka: garden
林口 林口 [01\[ lín kǒu\]]	(n) linkou (place in heilongjiang)
林口鄉 林口乡 [01\[ lín kǒu xiāng\]]	(n) linkou (village in taiwan)
林可霉素 林可霉素 [01\[ lín kě méi sù\]]	lincomycin
林周 林周 [01\[ lín zhōu\]]	(n) linzhou (place in tibet)
林園鄉 林园乡 [01\[ lín yuán xiāng\]]	(n) linyuan (village in taiwan)
林地 林地 [01\[ lín dì\]]	woodland
林堡 林堡 [01\[ lín bǎo\]]	limburg
林場 林场 [01\[ lín chǎng\]]	forestry station;forest management area
林奈 林奈 [01\[ lín nài\]]	carl linnaeus;carl linné
林學 林学 [01\[ lín xué\]]	forestry
林家翹 林家翘 [01\[ lín jiā qiáo\]]	lin chia-chiao (1916-)
林彪 林彪 [01\[ lín biāo\]]	lin biao (1908-1971)
林德布拉德 林德布拉德 [01\[ lín dé bù lā dé\]]	lindeblatt (name)
林憶蓮 林忆莲 [01\[ lín yì lián\]]	sandy lam
林旭 林旭 [01\[ lín xù\]]	lin xu
林村 林村 [01\[ lín cūn\]]	lam tsuen
林森 林森 [01\[ lín sēn\]]	lin sen (1868-1943)
林業 林业 [01\[ lín yè\]]	forest industry;forestry
林沖 林冲 [01\[ lín chōng\]]	lin chong
林火 林火 [01\[ lín huǒ\]]	forest fire
林甸 林甸 [01\[ lín diàn\]]	(n) lindian (place in heilongjiang)
林立 林立 [01\[ lín lì\]]	to stand in great numbers
林紓 林纾 [01\[ lín shū\]]	lin shu (1852-1924)
林縣 林县 [01\[ lín xiàn\]]	lin county in henan
林肯 林肯 [01\[ lín kěn\]]	abraham lincoln (1809-1865)
林芝地区 林芝地区 [01\[ lín zhī dì qū\]]	nyingchi prefecture of tibet (chinese linzhi)
林茨 林茨 [01\[ lín cí\]]	linz (city in austria)
林西 林西 [01\[ lín xī\]]	lingxi county of chifeng 赤峰
林西縣 林西县 [01\[ lín xī xiàn\]]	lingxi county of chifeng 赤峰
林豐正 林丰正 [01\[ lín fēng zhèng\]]	lin feng-cheng (taiwan minister of the interior)
林邊鄉 林边乡 [01\[ lín biān xiāng\]]	(n) linpien (village in taiwan)
林黛玉 林黛玉 [01\[ lín dài yù\]]	lin daiyu
枘 枘 [01\[ ruì\]]	tenon;tool handle
枘鑿 枘凿 [01\[ ruì zuò\]]	incompatible
枙 枙 [01\[ è\]]	tree knot
枚 枚 [01\[ méi\]]	classifier for coins
枚乘 枚乘 [01\[ méi chéng\]]	mei cheng (-c. 140 bc)
果 果 [01\[ guǒ\]]	fruit;result
果不其然 果不其然 [01\[ guǒ bù qí rán\]]	just as expected;told you so
果仁兒 果仁儿 [01\[ guǒ rén 5r\]]	fruit kernel
果凍 果冻 [01\[ guǒ dòng\]]	gelatin dessert
果味膠糖 果味胶糖 [01\[ guǒ wèi jiāo táng\]]	jujube
果品 果品 [01\[ guǒ pǐn\]]	fruit
果園 果园 [01\[ guǒ yuán\]]	orchard
果報 果报 [01\[ guǒ bào\]]	preordained fate (in buddh.);karma;reward or retribution for one's actions
果如所料 果如所料 [01\[ guǒ rú suǒ liào\]]	just as expected
果子 果子 [01\[ guǒ zi\]]	fruit
果子凍 果子冻 [01\[ guǒ zi dòng\]]	jelly
果子醬 果子酱 [01\[ guǒ zi jiàng\]]	marmalade;jellied fruit
果子露 果子露 [01\[ guǒ zi lù\]]	fruit drink
果實 果实 [01\[ guǒ shí\]]	fruit;gains
果實散播 果实散播 [01\[ guǒ shí zhòng bō\]]	fruit dispersal
果實累累 果实累累 [01\[ guǒ shí lěi lěi\]]	a selection of thousands of fruits and nuts
果嶺 果岭 [01\[ guǒ lǐng\]]	green (golf)
果播 果播 [01\[ guǒ bō\]]	dissemination as fruit (evolutionary strategy for seed dispersal)
果敢 果敢 [01\[ guǒ gǎn\]]	courageous;resolute and daring
果料兒 果料儿 [01\[ guǒ liào 5r\]]	fruit ingredients (for cakes and desserts)
果斷 果断 [01\[ guǒ duàn\]]	firm;decisive
果期 果期 [01\[ guǒ qī\]]	the fruiting season
果木 果木 [01\[ guǒ mù\]]	fruit tree
果樹 果树 [01\[ guǒ shù\]]	fruit tree
果汁 果汁 [01\[ guǒ zhī\]]	fruit juice
果汁機 果汁机 [01\[ guǒ zhī jī\]]	blender (device);juicer
果決 果决 [01\[ guǒ jué\]]	firm;unwavering
果洛 果洛 [01\[ guǒ luò\]]	golog tibetan autonomous prefecture in south qinghai
果洛州 果洛州 [01\[ guǒ luò zhōu\]]	golog tibetan autonomous prefecture in south qinghai
果洛藏族自治州 果洛藏族自治州 [01\[ guǒ luò zàng zú zì zhì zhōu\]]	golog tibetan autonomous prefecture in south qinghai
果然 果然 [01\[ guǒ rán\]]	really;sure enough;as expected
果皮 果皮 [01\[ guǒ pí\]]	(fruit) peel
果真 果真 [01\[ guǒ zhēn\]]	really;indeed
果穗 果穗 [01\[ guǒ suì\]]	ear of plant (containing fruit)
果糖 果糖 [01\[ guǒ táng\]]	fructose
果肉 果肉 [01\[ guǒ ròu\]]	pulp
果脯 果脯 [01\[ guǒ fǔ\]]	candied fruit
果腹 果腹 [01\[ guǒ fù\]]	to eat one's fill
果若 果若 [01\[ guǒ ruò\]]	if
果蠅 果蝇 [01\[ guǒ yíng\]]	fruit fly
果農 果农 [01\[ guǒ nóng\]]	fruit farmer
果酒 果酒 [01\[ guǒ jiǔ\]]	cider
果醬 果酱 [01\[ guǒ jiàng\]]	jam
果餡餅 果馅饼 [01\[ guǒ xiàn bǐng\]]	tart
枝 枝 [01\[ zhī\]]	branch;classifier for sticks
枝城 枝城 [01\[ zhī chéng\]]	(n) zhicheng (city in hubei)
枝椏 枝桠 [01\[ zhī yā\]]	branch;twig
枝江 枝江 [01\[ zhī jiāng\]]	(n) zhijiang (place in hubei)
枝節 枝节 [01\[ zhī jié\]]	byplay
枝葉 枝叶 [01\[ zhī yè\]]	branch and leaf
枟 枟 [01\[ yùn\]]	wood streaks
枯 枯 [01\[ kū\]]	dried up
枯乾 枯干 [01\[ kū gān\]]	withered
枯水 枯水 [01\[ kū shuǐ\]]	scarce water;low water level
枯水期 枯水期 [01\[ kū shuǐ qī\]]	period of low water level (winter in north china)
枯燥 枯燥 [01\[ kū zào\]]	dry and dull;uninteresting
枯竭 枯竭 [01\[ kū jié\]]	used up;dried up;exhausted (of resources)
枯茗 枯茗 [01\[ kū míng\]]	cumin
枯草 枯草 [01\[ kū cǎo\]]	withered grass;dry grass
枯草桿菌 枯草杆菌 [01\[ kū cǎo gǎn jùn\]]	bacillus subtilis
枯萎 枯萎 [01\[ kū wěi\]]	to wilt;to wither;wilted;withered;drained;enervated;exhausted
枯萎病 枯萎病 [01\[ kū wěi bìng\]]	blight
枯葉 枯叶 [01\[ kū yè\]]	dried leaf
枰 枰 [01\[ píng\]]	chess-like game
枲 枲 [01\[ xǐ\]]	male nettle-hemp
枳 枳 [01\[ zhǐ\]]	(orange);hedge thorn
枴 枴 [01\[ guǎi\]]	cane
枵 枵 [01\[ xiāo\]]	empty;hollow of a tree
架 架 [01\[ jià\]]	to support;frame;rack;framework;classifier for planes
架勢 架势 [01\[ jià shi\]]	attitude;position (on an issue etc)
架子 架子 [01\[ jià zi\]]	shelf;frame;stand;skeleton
架構 架构 [01\[ jià gòu\]]	to construct;to build;infrastructure;architecture;framework
枷 枷 [01\[ jiā\]]	cangue (wooden collar like stocks used to restrain and punish criminals in china)
枷帶鎖抓 枷带锁抓 [01\[ jiā dài suǒ zhuā\]]	in stocks;in fetter for punishment
枷鎖 枷锁 [01\[ jiā suǒ\]]	stocks and chain;in fetters
枸 枸 [01\[ gōu\]]	acgle sepiaria
枸 枸 [01\[ gǒu\]]	chinese wolfberry (lycium chinense);same as gǒuqǐ 枸杞
枸 枸 [01\[ jǔ\]]	citrus medica
枸杞 枸杞 [01\[ gǒu qǐ\]]	wolfberry shrub (lycium chinense)
枸杞子 枸杞子 [01\[ gǒu qǐ zi\]]	fruit of chinese wolfberry (lycium chinense)
枸櫞 枸橼 [01\[ jǔ yuán\]]	citron (citrus medica);grapefruit
枹 枹 [01\[ fū\]]	quercus glandulifera
枻 枻 [01\[ yì\]]	oar;stand for correcting a bow
柁 柁 [01\[ tuó\]]	main beam of roof
柂 柂 [01\[ yí\]]	(tree)
柃 柃 [01\[ líng\]]	eurya japonica
柄 柄 [01\[ bǐng\]]	authority;handle;hilt
柅 柅 [01\[ nǐ\]]	(tree);to stop
柈 柈 [01\[ pán\]]	plate
柎 柎 [01\[ fū\]]	calyx of flower
柏 柏 [01\[ bǎi\]]	cedar;cypress
柏 柏 [01\[ bǎi\]]	surname bai
柏 柏 [01\[ bó\]]	(used for transcribing names)
柏 柏 [01\[ bò\]]	cypress;cedar;taiwan pr. bo2
柏崎 柏崎 [01\[ bǎi qí\]]	kashiwazaki
柏崎刈羽 柏崎刈羽 [01\[ bǎi qí yì yǔ\]]	kashiwasaki kariwa
柏崎市 柏崎市 [01\[ bǎi qí shì\]]	kashiwasaki town near niigata 新潟
柏拉圖 柏拉图 [01\[ bó lā tú\]]	plato (c. 427-c. 347 bc)
柏拉圖哲學 柏拉图哲学 [01\[ bó lā tú zhé xué\]]	platonism
柏林 柏林 [01\[ bó lín\]]	berlin (capital of germany)
柏林工業大學 柏林工业大学 [01\[ bó lín gōng yè dà xué\]]	technical university of berlin
柏林牆 柏林墙 [01\[ bó lín qiáng\]]	berlin wall
柏柏爾 柏柏尔 [01\[ bò bò ěr\]]	berber people of north africa
柏樹 柏树 [01\[ bǎi shù\]]	cypress tree;taiwan pr. bo2 shu4
柏油 柏油 [01\[ bǎi yóu\]]	asphalt;tar;pitch
柏油路 柏油路 [01\[ bǎi yóu lù\]]	tarred road;asphalt road
柏油馬路 柏油马路 [01\[ bǎi yóu mǎ lù\]]	tarred road;asphalt road
柏舉之戰 柏举之战 [01\[ bǎi jǔ zhī zhàn\]]	baiju war of 506 bc
柏蒂切利 柏蒂切利 [01\[ bó dì qiè lì\]]	sandro botticelli (1445-1510) italian painter of the florentine school
柏遼茲 柏辽兹 [01\[ bó liáo zī\]]	berlioz
柏鄉 柏乡 [01\[ bǎi xiāng\]]	(n) baixiang (place in hebei)
某 某 [01\[ mǒu\]]	some;a certain;sb or sth indefinite;such-and-such
某些 某些 [01\[ mǒu xiē\]]	some;certain (things)
某人 某人 [01\[ mǒu rén\]]	someone;a certain person;some people;i (self-address after one's surname)
某時 某时 [01\[ mǒu shí\]]	sometime
某物 某物 [01\[ mǒu wù\]]	something
某種 某种 [01\[ mǒu zhǒng\]]	some kind (of)
某處 某处 [01\[ mǒu chù\]]	somewhere
柑 柑 [01\[ gān\]]	large tangerine
柑橘 柑橘 [01\[ gān jú\]]	mandarin orange (citrus reticulata);tangerine
柒 柒 [01\[ qī\]]	seven (banker's anti-fraud numeral)
染 染 [01\[ rǎn\]]	to catch (a disease);dye
染廠 染厂 [01\[ rǎn chǎng\]]	dye factory;dye-works
染指 染指 [01\[ rǎn zhǐ\]]	to dip a finger (成语 saw); fig. to get one's finger in the pie;to get a share of the action;abbr. for 染指於鼎|染指于鼎
染指垂涎 染指垂涎 [01\[ rǎn zhǐ chuí xián\]]	lit. dirty finger
染指於鼎 染指于鼎 [01\[ rǎn zhǐ yú dǐng\]]	lit. dip one's finger in the tripod (成语 saw); fig. to get one's finger in the pie;to get a share of the action
染料 染料 [01\[ rǎn liào\]]	dye
染毒 染毒 [01\[ rǎn dú\]]	contamination
染織 染织 [01\[ rǎn zhī\]]	dyeing and weaving
染色 染色 [01\[ rǎn sè\]]	dye
染色質 染色质 [01\[ rǎn sè zhì\]]	chromosome;genetic material of chromosome
染色體 染色体 [01\[ rǎn sè tǐ\]]	chromosome
染色體倍性 染色体倍性 [01\[ rǎn sè tǐ bèi xìng\]]	ploidy (number of homologous chromosomes)
染風習俗 染风习俗 [01\[ rǎn fēng xí sú\]]	bad habits;to get into bad habits through long custom
染髮 染发 [01\[ rǎn fà\]]	to dye one's hair;rinse;tint
染髮劑 染发剂 [01\[ rǎn fà jì\]]	hair dye;rinse;tint
柔 柔 [01\[ róu\]]	soft;flexible;supple;yielding;rho (greek letter ρρ)
柔佛 柔佛 [01\[ róu fó\]]	johor (state of malaysia at south of malayan peninsula)
柔佛州 柔佛州 [01\[ róu fó zhōu\]]	johor (state in malaysia)
柔佛海峽 柔佛海峡 [01\[ róu fó hǎi xiá\]]	straits of johor between the malaysian peninsula and singapore
柔和 柔和 [01\[ róu hé\]]	gentle;soft
柔嫩 柔嫩 [01\[ róu nèn\]]	tender;delicate (texture)
柔性 柔性 [01\[ róu xìng\]]	flexibility
柔情 柔情 [01\[ róu qíng\]]	gentle feelings;tender sentiments
柔情似水 柔情似水 [01\[ róu qíng sì shuǐ\]]	tender and soft as water;deeply attached to sb
柔情俠骨 柔情侠骨 [01\[ róu qíng xiá gǔ\]]	gentle feelings and chivalrous disposition (成语 saw)
柔術 柔术 [01\[ róu shù\]]	contortion
柔軟 柔软 [01\[ róu ruǎn\]]	soft
柔軟劑 柔软剂 [01\[ róu ruǎn jì\]]	emollient
柔道 柔道 [01\[ róu dào\]]	(the sport of) judo
柘 柘 [01\[ zhè\]]	cudrania triloba
柘城 柘城 [01\[ zhè chéng\]]	(n) zhecheng (place in henan)
柘榮 柘荣 [01\[ zhè róng\]]	(n) zherong (place in fujian)
柙 柙 [01\[ xiá\]]	cage;pen;scabbard
柚 柚 [01\[ yòu\]]	pomelo;shaddock
柚子 柚子 [01\[ yòu zi\]]	pomelo;shaddock
柜 柜 [01\[ jǔ\]]	salix multinervis
柝 柝 [01\[ tuò\]]	watchman's rattle
柞 柞 [01\[ zuò\]]	oak;quercus serrata
柞水 柞水 [01\[ zhà shuǐ\]]	(n) zhashui (place in shaanxi)
柟 柟 [01\[ nán\]]	machilus nanmu
柢 柢 [01\[ dǐ\]]	foundation;root
柣 柣 [01\[ zhí\]]	threshold
柤 柤 [01\[ zhā\]]	(hawthorn);chaenomeles japonica
查 查 [01\[ chá\]]	to research;to check;to investigate;to examine;to refer to;to search
查 查 [01\[ zhā\]]	surname zha
查克拉 查克拉 [01\[ chá kè lā\]]	chakra (name);chakra system of yogic meditation;chakra (sanskrit: disc)
查出 查出 [01\[ chá chū\]]	to find out;to discover
查問 查问 [01\[ chá wèn\]]	to inquire about
查戈斯群島 查戈斯群岛 [01\[ chá gē sī qún dǎo\]]	chagos archipelago
查找 查找 [01\[ chá zhǎo\]]	search for
查抄 查抄 [01\[ chá chāo\]]	take inventory of and confiscate a criminal's possessions
查拳 查拳 [01\[ chá quán\]]	cha quan - cha fist - martial art
查探 查探 [01\[ chá tàn\]]	to check;to investigate;to probe (into)
查明 查明 [01\[ chá míng\]]	to investigate and find out;to ascertain
查普曼 查普曼 [01\[ chá pǔ màn\]]	chapman (name)
查爾斯 查尔斯 [01\[ chá ěr sī\]]	charles
查爾斯頓 查尔斯顿 [01\[ chá ěr sī dùn\]]	charleston
查獲 查获 [01\[ chá huò\]]	to investigate and capture (a criminal);to ferret out;to hunt down and arrest
查理大帝 查理大帝 [01\[ chá lǐ dà dì\]]	charlemagne
查看 查看 [01\[ chá kàn\]]	to look over;to examine;check up;ferret out
查禁 查禁 [01\[ chá jìn\]]	to prohibit;to ban;to suprress
查究 查究 [01\[ chá jiū\]]	to follow up a study;to investigate
查處 查处 [01\[ chá chǔ\]]	to investigate and take care of
查覈 查核 [01\[ chá hé\]]	to check
查詢 查询 [01\[ chá xún\]]	to inquire;inquiry
查調 查调 [01\[ chá diào\]]	inquiry;inquire
查證 查证 [01\[ chá zhèng\]]	investigate;check out (a story)
查閱 查阅 [01\[ chá yuè\]]	to consult;to refer to;to look sth up in a reference source
查韋斯 查韦斯 [01\[ chá wéi si\]]	chavez
柩 柩 [01\[ jiù\]]	bier
柬 柬 [01\[ jiǎn\]]	card;note;letter
柬吳哥王朝 柬吴哥王朝 [01\[ jiǎn wú gē wáng cháo\]]	the ankor dynasty of cambodia
柬埔寨 柬埔寨 [01\[ jiǎn pǔ zhài\]]	kampuchea (cambodia)
柬埔寨人民黨 柬埔寨人民党 [01\[ jiǎn bù zhài rén mín dǎng\]]	cambodian people's party
柮 柮 [01\[ duò\]]	wood scraps
柯 柯 [01\[ kē\]]	surname ke;handle of ax;stem
柯南・道爾 柯南・道尔 [01\[ kē nán · dào ěr\]]	sir arthur conan doyle (1859-1930)
柯坪 柯坪 [01\[ kē píng\]]	(n) keping (place in xinjiang)
柯坪縣 柯坪县 [01\[ kē píng xiàn\]]	keping county in aksu prefecture
柯密 柯密 [01\[ kē mì\]]	kermit (communications protocol)
柯棣華 柯棣华 [01\[ kē dì huá\]]	dwarkanath kotnis
柯沙奇病毒 柯沙奇病毒 [01\[ kē shā qí bìng dú\]]	coxsackievirus
柯爾克孜 柯尔克孜 [01\[ kě ěr kè zī\]]	kyrghiz (nationality)
柯爾克孜族 柯尔克孜族 [01\[ kě ěr kē zī zú\]]	the kyrghiz people (race);the kyrghiz nationality
柯西 柯西 [01\[ kē xī\]]	augustin-louis cauchy (1789-1857)
柯達 柯达 [01\[ kē dá\]]	kodak (us film company)
柯邵忞 柯邵忞 [01\[ kē shào mín\]]	ke shaomin (1850-1933)
柰 柰 [01\[ nài\]]	crab-apple;how can one help
柱 柱 [01\[ zhù\]]	pillar
柱子 柱子 [01\[ zhù zi\]]	pillar
柱樑 柱梁 [01\[ zhù liáng\]]	pillar
柱石 柱石 [01\[ zhù shí\]]	pillar
柱體 柱体 [01\[ zhù tǐ\]]	cylinder;prism (math.)
柲 柲 [01\[ bì\]]	weapon handle of bamboo strips
柳 柳 [01\[ liǔ\]]	willow;surname liu
柳丁 柳丁 [01\[ liǔ dīng\]]	tangerine
柳丁氨醇 柳丁氨醇 [01\[ liǔ dīng ān chún\]]	albuterol (also known as proventil
柳公權 柳公权 [01\[ liǔ gōng quán\]]	liu gongquan (778-865)
柳啼花怨 柳啼花怨 [01\[ liǔ tí huā yuàn\]]	desolate
柳園 柳园 [01\[ liǔ yuán\]]	(n) liuyuan (place in gansu)
柳城 柳城 [01\[ liǔ chéng\]]	(n) liucheng (place in guangxi)
柳子戲 柳子戏 [01\[ liǔ zi xì\]]	shandong opera
柳宗元 柳宗元 [01\[ liǔ zōng yuán\]]	liu zongyuan (773-819)
柳州 柳州 [01\[ liǔ zhōu\]]	liuzhou prefecture level city in guangxi
柳州地區 柳州地区 [01\[ liǔ zhōu dì qū\]]	(n) liuzhou district (district in guangxi)
柳州市 柳州市 [01\[ liǔ zhōu shì\]]	liuzhou prefecture level city in guangxi
柳林 柳林 [01\[ liǔ lín\]]	(n) liulin (place in shanxi)
柳條溝事變 柳条沟事变 [01\[ liǔ tiáo gōu shì biàn\]]	the mukden or manchurian railway incident of 18th september 1931 used by the japanese as a pretext to annex manchuria;also known as 9-18 incident 九一八事变
柳樹 柳树 [01\[ liǔ shù\]]	willow
