慧	25-51234-S
戶牖 户牖	26-25204-B
戶籍 户籍	26-25261-B
戶縣 户县	26-25327-B
戶部 户部	26-25381-B
戶部尚書 户部尚书	26-25447-B
戶限 户限	26-25553-B
戶頭 户头	26-25596-B
户	26-24381-S
户主	26-24426-S
户县	26-25327-S
户口	26-24480-S
户口制	26-24601-S
户口制度	26-24682-S
户口簿	26-24773-S
户告人晓	26-24834-S
户均	26-24985-S
户外	26-25035-S
户头	26-25596-S
户枢不蠹	26-25075-S
户牖	26-25204-S
户籍	26-25261-S
户部	26-25381-S
户部尚书	26-25447-S
户限	26-25553-S
戸	26-25641-S
戸 戸	26-25641-B
戺	26-25690-S
戺 戺	26-25690-B
戻	26-25723-S
戻 戻	26-25723-B
戼	26-25792-S
戼 戼	26-25792-B
戽	26-25829-S
戽 戽	26-25829-B
戽水	26-25878-S
戽水 戽水	26-25878-B
戾	26-25938-S
戾 戾	26-25938-B
戾龍 戾龙	26-25982-B
戾龙	26-25982-S
房	26-26040-S
房 房	26-26040-B
房下	26-26081-S
房下 房下	26-26081-B
房东	26-26961-S
房主	26-26132-S
房主 房主	26-26132-B
房事	26-26175-S
房事 房事	26-26175-B
房产	26-27076-S
房产证	26-27157-S
房价	26-26253-S
房價 房价	26-26253-B
房卡	26-26315-S
房卡 房卡	26-26315-B
房县	26-27309-S
房地产	26-26371-S
房地產 房地产	26-26371-B
房奴	26-26428-S
房奴 房奴	26-26428-B
房子	26-26529-S
房子 房子	26-26529-B
房子租	26-26614-S
房子租 房子租	26-26614-B
房客	26-26667-S
房客 房客	26-26667-B
房室	26-26707-S
房室 房室	26-26707-B
房屋	26-26746-S
房屋 房屋	26-26746-B
房山	26-26794-S
房山 房山	26-26794-B
房山区	26-26861-S
房山區 房山区	26-26861-B
房東 房东	26-26961-B
房玄齡 房玄龄	26-27005-B
房玄龄	26-27005-S
房產 房产	26-27076-B
房產證 房产证	26-27157-B
房租	26-27251-S
房租 房租	26-27251-B
房縣 房县	26-27309-B
房錢 房钱	26-27365-B
房钱	26-27365-S
房門 房门	26-27432-B
房間 房间	26-27481-B
房门	26-27432-S
房间	26-27481-S
房頂 房顶	26-27521-B
房顶	26-27521-S
所	26-27570-S
所 所	26-27570-B
所为	26-29143-S
所以	26-27629-S
所以 所以	26-27629-B
所作所为	26-27686-S
所作所為 所作所为	26-27686-B
所及	26-27765-S
所及 所及	26-27765-B
所发现	26-29197-S
所在	26-27829-S
所在 所在	26-27829-B
所在地	26-27939-S
所在地 所在地	26-27939-B
所多	26-27996-S
所多 所多	26-27996-B
所多玛	26-28034-S
所多玛与蛾摩拉	26-28096-S
所多瑪 所多玛	26-28034-B
所多瑪與蛾摩拉 所多玛与蛾摩拉	26-28096-B
所属	26-28197-S
所屬 所属	26-28197-B
所得	26-28387-S
所得 所得	26-28387-B
所得稅 所得税	26-28449-B
所得税	26-28449-S
所思	26-28504-S
所思 所思	26-28504-B
所想	26-28552-S
所想 所想	26-28552-B
所料	26-28621-S
所料 所料	26-28621-B
所有	26-28688-S
所有 所有	26-28688-B
所有主	26-28751-S
所有主 所有主	26-28751-B
所有制	26-28812-S
所有制 所有制	26-28812-B
所有权	26-28926-S
所有權 所有权	26-28926-B
所有物	26-29028-S
所有物 所有物	26-29028-B
所有者	26-29082-S
所有者 所有者	26-29082-B
所為 所为	26-29143-B
所發現 所发现	26-29197-B
所知	26-29271-S
所知 所知	26-29271-B
所罗巴伯	26-29325-S
所罗门	26-29408-S
所罗门群岛	26-29467-S
所羅巴伯 所罗巴伯	26-29325-B
所羅門 所罗门	26-29408-B
所羅門群島 所罗门群岛	26-29467-B
所聞 所闻	26-29570-B
所能	26-29624-S
所能 所能	26-29624-B
所見 所见	26-29712-B
所見即所得 所见即所得	26-29765-B
所見所聞 所见所闻	26-29869-B
所见	26-29712-S
所见即所得	26-29765-S
所见所闻	26-29869-S
所謂 所谓	26-29949-B
所谓	26-29949-S
所長 所长	26-29992-B
所长	26-29992-S
所闻	26-29570-S
所需	26-30052-S
所需 所需	26-30052-B
扁	26-30109-S,26-30164-S,54-48780-S
扁 扁	26-30109-B,26-30164-B
扁圆	26-30211-S
扁圓 扁圆	26-30211-B
扁坯	26-30253-S
扁坯 扁坯	26-30253-B
扁平	26-30291-S
扁平 扁平	26-30291-B
扁担	26-30338-S
扁擔 扁担	26-30338-B
扁桃	26-30399-S
扁桃 扁桃	26-30399-B
扁桃体	26-30584-S
扁桃体炎	26-30635-S
扁桃腺	26-30463-S
扁桃腺 扁桃腺	26-30463-B
扁桃腺炎	26-30516-S
扁桃腺炎 扁桃腺炎	26-30516-B
扁桃體 扁桃体	26-30584-B
扁桃體炎 扁桃体炎	26-30635-B
扁荳 扁豆	26-30701-B
扁虫	26-30757-S
扁蟲 扁虫	26-30757-B
扁豆	26-30701-S
扁骨	26-30802-S
扁骨 扁骨	26-30802-B
扂	26-30845-S
扂 扂	26-30845-B
扂楔	26-30879-S
扂楔 扂楔	26-30879-B
扃	26-30924-S
扃 扃	26-30924-B
扆	26-30953-S
扆 扆	26-30953-B
扇	26-30992-S,26-31022-S
扇 扇	26-30992-B,26-31022-B
扇子	26-31110-S
扇子 扇子	26-31110-B
扇形	26-31146-S
扇形 扇形	26-31146-B
扇面琴	26-31197-S
扇面琴 扇面琴	26-31197-B
扈	26-31273-S
扈 扈	26-31273-B
扉	26-31302-S
扉 扉	26-31302-B
扊	26-31348-S
扊 扊	26-31348-B
手	26-31403-S
手 手	26-31403-B
手下	26-31552-S
手下 手下	26-31552-B
手下留情	26-31683-S
手下留情 手下留情	26-31683-B
手举	26-35657-S
手冊 手册	26-31881-B
手册	26-31881-S
手写	26-32281-S
手写识别	26-32327-S
手写辩识	26-32407-S
手动	26-31921-S
手动变速器	26-32078-S
手动挡	26-32000-S
手势	26-32180-S
手動 手动	26-31921-B
手動擋 手动挡	26-32000-B
手動變速器 手动变速器	26-32078-B
手勢 手势	26-32180-B
手卷	26-33489-S
手头	26-36970-S
手头现金	26-37024-S
手套	26-32234-S
手套 手套	26-32234-B
手寫 手写	26-32281-B
手寫識別 手写识别	26-32327-B
手寫辯識 手写辩识	26-32407-B
手嶌・葵	26-32488-S
手嶌・葵 手嶌・葵	26-32488-B
手工	26-32562-S
手工 手工	26-32562-B
手工业	26-32613-S
手工業 手工业	26-32613-B
手工艺	26-32669-S
手工藝 手工艺	26-32669-B
手巾	26-32741-S
手巾 手巾	26-32741-B
手帕	26-32786-S
手帕 手帕	26-32786-B
手弹	26-32832-S
手彈 手弹	26-32832-B
手心裡 手心里	26-32882-B
手心里	26-32882-S
手忙脚乱	26-32946-S
手忙腳亂 手忙脚乱	26-32946-B
手打	26-33061-S
手打 手打	26-33061-B
手打字机	26-33146-S
手打字機 手打字机	26-33146-B
手扳葫芦	26-33251-S
手扳葫蘆 手扳葫芦	26-33251-B
手拉葫芦	26-33323-S
手拉葫蘆 手拉葫芦	26-33323-B
手拉車 手拉车	26-33399-B
手拉车	26-33399-S
手指	26-33448-S
手指 手指	26-33448-B
手捲 手卷	26-33489-B
手掌	26-33615-S
手掌 手掌	26-33615-B
手推車 手推车	26-33656-B
手推车	26-33656-S
手提	26-33709-S
手提 手提	26-33709-B
手提包	26-33751-S
手提包 手提包	26-33751-B
手提电脑	26-33869-S
手提箱	26-33814-S
手提箱 手提箱	26-33814-B
手提電腦 手提电脑	26-33869-B
手搖風琴 手摇风琴	26-33943-B
手摇风琴	26-33943-S
手无寸铁	26-34707-S
手无缚鸡之力	26-34786-S
手术	26-35905-S
手机	26-34306-S
手机充值卡	26-34378-S
手杖	26-34023-S
手杖 手杖	26-34023-B
手板葫芦	26-34064-S
手板葫蘆 手板葫芦	26-34064-B
手枪	26-34263-S
手柄	26-34136-S
手柄 手柄	26-34136-B
手榴弹	26-34178-S
手榴彈 手榴弹	26-34178-B
手槍 手枪	26-34263-B
手機 手机	26-34306-B
手機充值卡 手机充值卡	26-34378-B
手段	26-34465-S
手段 手段	26-34465-B
手气	26-34543-S
手氣 手气	26-34543-B
手法	26-34593-S
手法 手法	26-34593-B
手淫	26-34648-S
手淫 手淫	26-34648-B
手無寸鐵 手无寸铁	26-34707-B
手無縛雞之力 手无缚鸡之力	26-34786-B
手球	26-34900-S
手球 手球	26-34900-B
手用	26-34948-S
手用 手用	26-34948-B
手电	26-36834-S
手电筒	26-36886-S
手稿	26-35005-S
手稿 手稿	26-35005-B
手絹 手绢	26-35057-B
手續 手续	26-35105-B
手續費 手续费	26-35150-B
手绢	26-35057-S
手续	26-35105-S
手续费	26-35150-S
手肘	26-35224-S
手肘 手肘	26-35224-B
手脚	26-35533-S
手腕	26-35265-S
手腕 手腕	26-35265-B
手腕子	26-35336-S
手腕子 手腕子	26-35336-B
手腕式	26-35385-S
手腕式 手腕式	26-35385-B
手腕式指北針 手腕式指北针	26-35440-B
手腕式指北针	26-35440-S
手腳 手脚	26-35533-B
手臂	26-35613-S
手臂 手臂	26-35613-B
手舉 手举	26-35657-B
手舞足蹈	26-35712-S
手舞足蹈 手舞足蹈	26-35712-B
手艺	26-35840-S
手藝 手艺	26-35840-B
手術 手术	26-35905-B
手表	26-36743-S
手裡 手里	26-35976-B
手語 手语	26-36048-B
手语	26-36048-S
手足	26-36095-S
手足 手足	26-36095-B
手足之情	26-36137-S
手足之情 手足之情	26-36137-B
手足亲情	26-36492-S
手足口病	26-36213-S
手足口病 手足口病	26-36213-B
手足口症	26-36293-S
手足口症 手足口症	26-36293-B
手足无措	26-36384-S
手足無措 手足无措	26-36384-B
手足親情 手足亲情	26-36492-B
手跡 手迹	26-36567-B
手迹	26-36567-S
手里	26-35976-S
手銬 手铐	26-36638-B
手錘 手锤	26-36691-B
手錶 手表	26-36743-B
手鐲 手镯	26-36790-B
手铐	26-36638-S
手锤	26-36691-S
手镯	26-36790-S
手電 手电	26-36834-B
手電筒 手电筒	26-36886-B
手頭 手头	26-36970-B
手頭現金 手头现金	26-37024-B
手風琴 手风琴	26-37094-B
手风琴	26-37094-S
才	26-37150-S,50-46768-S
才 才	26-37150-B
才兼文武	26-37237-S
才兼文武 才兼文武	26-37237-B
才华	26-38226-S
才华出众	26-38287-S
才华横溢	26-38405-S
才华盖世	26-38512-S
才外流	26-37345-S
才外流 才外流	26-37345-B
才子	26-37401-S
才子 才子	26-37401-B
才子佳人	26-37448-S
才子佳人 才子佳人	26-37448-B
才学	26-37565-S
才學 才学	26-37565-B
才干	26-37630-S
才干 才干	26-37630-B
才思	26-37682-S
才思 才思	26-37682-B
才智	26-37745-S
才智 才智	26-37745-B
才气	26-37797-S
才气过人	26-37845-S
才氣 才气	26-37797-B
才氣過人 才气过人	26-37845-B
才略	26-37964-S
才略 才略	26-37964-B
才疏学浅	26-38019-S
才疏學淺 才疏学浅	26-38019-B
才能	26-38168-S
才能 才能	26-38168-B
才艺技能	26-38625-S
才華 才华	26-38226-B
才華出眾 才华出众	26-38287-B
才華橫溢 才华横溢	26-38405-B
才華蓋世 才华盖世	26-38512-B
才藝技能 才艺技能	26-38625-B
才識 才识	26-38686-B
才識過人 才识过人	26-38739-B
才识	26-38686-S
才识过人	26-38739-S
才貌双全	26-38859-S
才貌雙全 才貌双全	26-38859-B
扎	26-38957-S,26-38993-S,26-39060-S,49-30357-S
扎 扎	26-38957-B,26-38993-B,26-39060-B
扎伊尔	26-39116-S
扎伊爾 扎伊尔	26-39116-B
扎兰屯	26-39665-S
扎囊	26-39164-S
扎囊 扎囊	26-39164-B
扎实	26-39226-S
扎實 扎实	26-39226-B
扎尔达里	26-39533-S
扎根	26-39293-S
扎根 扎根	26-39293-B
扎格罗斯	26-39336-S
扎格罗斯山脉	26-39423-S
扎格羅斯 扎格罗斯	26-39336-B
扎格羅斯山脉 扎格罗斯山脉	26-39423-B
扎爾達里 扎尔达里	26-39533-B
扎穿	26-39609-S
扎穿 扎穿	26-39609-B
扎营	49-30435-S
扎蘭屯 扎兰屯	26-39665-B
扎賚特旗 扎赉特旗	26-39746-B
扎赉特旗	26-39746-S
扎針 扎针	26-39831-B
扎针	26-39831-S
扎马剌丁	49-30511-S
扎马鲁丁	49-30616-S
扎魯特旗 扎鲁特旗	26-39906-B
扎鲁特旗	26-39906-S
扐	26-39997-S
扐 扐	26-39997-B
扑	29-16242-S
扑倒	29-16319-S
扑克	29-16364-S
扑克牌	29-16430-S
扑救	29-16485-S
扑灭	29-16612-S
扑脸儿	29-16671-S
扑腾	29-17153-S
扑通	29-16737-S
扑面	29-16778-S
扑面而来	29-16955-S
扒	26-40038-S,26-40128-S
扒 扒	26-40038-B,26-40128-B
扒手	26-40168-S
扒手 扒手	26-40168-B
扒拉	26-40212-S
扒拉 扒拉	26-40212-B
扒釘 扒钉	26-40256-B
扒钉	26-40256-S
打	26-40295-S,26-40322-S
打 打	26-40295-B,26-40322-B
打不过	26-40554-S
打不通	26-40482-S
打不通 打不通	26-40482-B
打不過 打不过	26-40554-B
打中	26-40634-S
打中 打中	26-40634-B
打交道	26-40675-S
打交道 打交道	26-40675-B
打仗	26-40760-S
打仗 打仗	26-40760-B
打伤	26-40946-S
打來回 打来回	26-40825-B
打倒	26-40906-S
打倒 打倒	26-40906-B
打傷 打伤	26-40946-B
打光棍	26-40994-S
打光棍 打光棍	26-40994-B
打兌 打兑	26-41059-B
打兑	26-41059-S
打冲锋	26-48741-S
打击	26-45023-S
打击乐器	26-45118-S
打击军事力量	26-45279-S
打击社会财富	26-45192-S
打分	26-41159-S
打分 打分	26-41159-B
打制	26-48806-S
打制石器	26-48844-S
打动	26-41240-S
打動 打动	26-41240-B
打包	26-41320-S
打包 打包	26-41320-B
打卦	26-41407-S
打卦 打卦	26-41407-B
打印	26-41486-S
打印 打印	26-41486-B
打印服务器	26-41544-S
打印服務器 打印服务器	26-41544-B
打印机	26-41619-S
打印機 打印机	26-41619-B
打发	26-46980-S
打听	26-48306-S
