tōng rén	31-51503-S
tǔ dòu sī	15-32709-B,63-45485-S
tǔ dǎn	6-47818-S
tǔ fān	12-61144-B
tǔ fěi	15-29980-B
tǔ gù nà xīn	12-60195-B
tǔ gāo yuán	71-17744-S
tǔ gēn	12-60310-B
tǔ gǒu	15-31755-B
tǔ huà	32-61972-S
tǔ huà ruǎn jiàn	32-62040-S
tǔ huí xiāng	15-32340-B
tǔ huǒ luó rén	12-60458-B
tǔ háo	15-32808-B
tǔ jiè	57-34764-S
tǔ jiā zú	15-30486-B
tǔ jiā zú miáo zú zì zhì zhōu	25-2443-S,39-12625-S
tǔ jiā zú zì zhì xiàn	3-49518-S,37-26979-S,46-6997-S,65-20661-S
tǔ jì	6-30705-S
tǔ jī	27-66807-S,28-30248-S,64-57264-S
tǔ jīn shǔ	47-27521-S,71-4891-S
tǔ kù màn	15-30742-B
tǔ kù màn rén	15-30822-B
tǔ kù màn sī tǎn	15-30892-B
tǔ kù zhèn	15-30968-B
tǔ liǎn	40-26294-S
tǔ láng	15-31845-B
tǔ líng yú	15-33090-B
tǔ lù	12-61393-B
tǔ lún	15-29823-B
tǔ lā fú shì jūn	15-31037-B
tǔ lǔ fān	12-61454-B
tǔ lǔ fān dì qū	12-61539-B
tǔ lǔ fān pén dì	12-61727-B
tǔ lǔ fān shì	12-61631-B
tǔ mén	15-33047-B
tǔ mò tè yòu qí	15-33165-B
tǔ mò tè zuǒ qí	15-33270-B
tǔ mù	14-1937-S,15-31265-B
tǔ mù gōng chéng	15-31336-B
tǔ niú	15-31540-B
tǔ niú mù mǎ	15-31635-B
tǔ pài	32-62129-S
tǔ qiáng	48-32245-S
tǔ qì	2-1113-S,12-60349-B,12-60399-B
tǔ rén qíng	68-54242-S
tǔ rǎng	15-30267-B
tǔ rǎng xué	15-30305-B
tǔ shén	15-32107-B
tǔ shòu jī	12-61006-B
tǔ shēng tǔ zhǎng	15-31908-B
tǔ suì	12-60690-B
tǔ sù	12-61281-B
tǔ sāng	15-31410-B
tǔ sī	12-60063-B,15-30019-B
tǔ sī zì fú	12-60842-B
tǔ tán	12-60635-B
tǔ tè chǎn	15-31695-B
tǔ tún	15-32767-B
tǔ tǐ	21-35995-S
tǔ tǔ	12-64891-S
tǔ wán zhěng	68-33730-S
tǔ wèi liù	15-32492-B
tǔ wéi kuài	1-4444-S
tǔ wēn	69-32787-S
tǔ wǎ lǔ	12-60587-B
tǔ xiōng yì	6-46675-S
tǔ xù	12-60756-B
tǔ xīng	15-31216-B
tǔ yuán sù	47-27449-S
tǔ yàn	12-61056-B
tǔ yù hún	12-61343-B
tǔ zhì	15-32561-B,52-59951-S
tǔ zhòng qiān	19-25778-S
tǔ zhù	15-32395-B
tǔ zhù rén	15-32438-B
tǔ zhōng cháng	6-46755-S
tǔ zhū	15-32872-B
tǔ zhǎng	15-31908-S
tǔ zì	12-60100-B
tǔ zú	15-31175-B
tǔ zú zì zhì xiàn	3-44695-S
tǔ ān quán	15-3456-S
tǔ ān quán bù	15-3528-S
tǔ ěr qí	15-32150-B
tǔ ěr qí sī tǎn	15-31468-B,15-32198-B
tǔ ěr qí yǔ	15-32270-B
wa	2-75925-S,3-56522-S,4-58660-S,4-63710-S,4-68780-S,5-9939-B,7-1039-S,7-18843-S,10-49579-S,13-36308-B,13-36353-S,15-52021-S,15-52100-S,16-17286-S,16-40642-S,17-29899-S,18-19721-S,18-19918-S,18-49751-B,18-49782-S,18-49782-S,20-62775-S,20-62814-S,20-62814-S,21-20570-S,24-26826-S,27-66754-B,29-1722-S,31-5655-S,32-53753-S,33-27894-S,34-61800-S,37-50343-S,38-229-B,38-28333-S,39-17639-B,41-36983-S,41-37043-S,41-48985-S,43-10246-B,44-2153-S,44-41291-S,46-277-S,46-7208-S,46-29749-S,46-37755-S,47-3428-S,47-19763-S,47-20314-S,47-44167-B,47-54613-B,47-56794-B,48-27678-S,49-55154-S,52-46532-B,53-47083-S,54-22162-S,55-40317-S,56-50-B,57-11547-B,65-18699-S,65-19639-S,65-35895-S,65-66740-S,66-4755-S,67-14757-S,67-58726-S,68-10642-S
wa bu	30-66153-S
wa can yuan	30-59637-S
wa che	18-50032-S
wa chē	18-50032-S
wa dai	12-44573-S,57-11630-B
wa dang	43-11398-B
wa dao	33-27945-S,41-37104-S
wa di	4-50019-S,5-25366-S,22-23275-S,22-23357-S,47-56839-B
wa di jiang	4-50230-S
wa di san jiao zhou	4-50102-S
wa diao	27-66858-B
wa dong	27-67050-B
wa du zi	43-10906-B
wa duo	51-50788-S,55-25651-S
wa er	30-42134-S
wa er da ke	43-11160-B
wa er da ke sheng	43-11236-B
wa er de	18-14696-S,22-17021-S
wa er duo	57-2213-S
wa er he	45-14122-S
wa er si ji	31-50276-S
wa feng	11-3762-S
wa gong he guo	47-20410-S
wa ha bi jiao pai	43-10512-B
wa han yao	46-18385-S
wa he	38-28413-S
wa ji lan	12-22029-S
wa ji ya tiao yue	63-55025-S
wa jia du gu	43-10323-B
wa jie	8-18661-S,15-30616-S,43-11775-B,55-24118-S
wa jie bing pan	43-11846-B
wa jue	27-66915-B
wa jue ji xie	27-66977-B
wa jun	27-67097-B
wa ke xiao te	9-62243-S
wa ku	27-67334-B
wa lai ta	43-11487-B
wa lei	66-8669-S
wa li	43-11442-B
wa li de	66-9604-S
wa li lun	4-63782-S
wa lian	18-49900-S
wa liǎn	18-49900-S
wa lu	12-60587-S,15-27555-S
wa na	11-9766-S,11-9826-S,13-39534-S,52-46574-B
wa na qi	52-46758-B
wa na shou	52-46677-B
wa qi	43-10617-B
wa qin	18-49962-S
wa qīn	18-49962-S
wa ren	29-1802-S,56-76-B
wa rou bu chuang	27-67201-B
wa sa	49-16991-S
wa se te	66-8600-S
wa sheng	18-49834-S
wa shi	18-19996-S
wa shēng	18-49834-S
wa si	6-31353-S,36-7818-S,43-10871-B
wa si ke	16-17970-S
wa si tuo bo er	16-20659-S
wa tai	67-56538-S
wa ti	66-9451-S
wa ti xian	66-9521-S
wa tu	56-173-B
wa tu ji	27-66807-B
wa wa	13-36353-B,15-52021-S,18-49782-B,20-62814-S,37-50343-S
wa wa che	18-50032-B
wa wa lian	18-49900-B
wa wa qin	18-49962-B
wa wa sheng	18-49834-B
wa wa yu	18-50111-B
wa xi	27-24560-S
wa xi li	30-41818-S
wa xi li yu	30-41877-S
wa xian	17-29966-S
wa xie	56-224-B
wa xin ge	12-22092-S,30-66209-S,66-12504-S,66-12616-S
wa xue	27-67139-B
wa yong	56-116-B
wa yu	18-50111-S
wa yú	18-50111-S
wa zhi jian	3-57117-S
wa zhou	53-47140-S
wa zi	18-50197-B,57-11584-B
wa zu	5-10061-S
wa1	2-75925-S,3-56522-S,4-68780-S,13-36308-B,13-36353-S,15-52021-S,15-52100-S,17-29899-S,18-19918-S,27-66754-B,33-27894-S,34-61800-S,38-229-B,39-17639-B,41-36983-S,41-37043-S,41-48985-S,44-2153-S,47-44167-B,47-54613-B,47-56794-B,48-27678-S,56-50-B,65-35895-S,67-14757-S,67-58726-S
wa1 dao3	33-27945-S,41-37104-S
wa1 di4	47-56839-B
wa1 diao4	27-66858-B
wa1 dong4	27-67050-B
wa1 jue2	27-66915-B
wa1 jun4	27-67097-B
wa1 ku5	27-67334-B
wa1 ren2	56-76-B
wa1 rou4 bu3 chuang1	27-67201-B
wa1 shi4	18-19996-S
wa1 tu1	56-173-B
wa1 tu3 ji1	27-66807-B
wa1 wa1	13-36353-B,15-52021-S
wa1 xian4	17-29966-S
wa1 xie2	56-224-B
wa1 xue2	27-67139-B
wa1 yong3	56-116-B
wa1 zhi1 jian4	3-57117-S
wa2	7-18843-S,16-40642-S,18-19721-S,18-49751-B,20-62775-S,37-50343-S,47-3428-S,54-22162-S
wa2 jie2	55-24118-S
wa2 jue2 ji1 xie4	27-66977-B
wa2 wa2	37-50343-S
wa2 wa5	18-49782-B,20-62814-S
wa2 wa5 che1	18-50032-B
wa2 wa5 lian3	18-49900-B
wa2 wa5 qin1	18-49962-B
wa2 wa5 sheng1	18-49834-B
wa2 wa5 yu2	18-50111-B
wa2 zi5	18-50197-B
wa3	4-58660-S,5-9939-B,7-1039-S,10-49579-S,16-17286-S,21-20570-S,24-26826-S,29-1722-S,31-5655-S,32-53753-S,38-28333-S,43-10246-B,44-41291-S,46-7208-S,46-29749-S,46-37755-S,47-19763-S,47-20314-S,53-47083-S,55-40317-S,65-66740-S,66-4755-S,68-10642-S
wa3 bu4	30-66153-S
wa3 can2 yuan2	30-59637-S
wa3 dang1	43-11398-B
wa3 di3	4-50019-S,5-25366-S
wa3 di3 jiang1	4-50230-S
wa3 di3 san1 jiao3 zhou1	4-50102-S
wa3 di4	22-23275-S,22-23357-S
wa3 du4 zi1	43-10906-B
wa3 duo1	51-50788-S,55-25651-S
wa3 er3	30-42134-S
wa3 er3 da2 ke4	43-11160-B
wa3 er3 da2 ke4 sheng3	43-11236-B
wa3 er3 de2	18-14696-S,22-17021-S
wa3 er3 duo1	57-2213-S
wa3 er3 he2	45-14122-S
wa3 er3 si1 ji1	31-50276-S
wa3 feng1	11-3762-S
wa3 gong4 he2 guo2	47-20410-S
wa3 ha1 bi3 jiao4 pai4	43-10512-B
wa3 han2 yao2	46-18385-S
wa3 he2	38-28413-S
wa3 ji1 ya4 tiao2 yue1	63-55025-S
wa3 ji4 lan2	12-22029-S
wa3 jia1 du4 gu3	43-10323-B
wa3 jie3	8-18661-S,15-30616-S,43-11775-B
wa3 jie3 bing1 pan2	43-11846-B
wa3 ke4 xiao4 te4	9-62243-S
wa3 lai2 ta3	43-11487-B
wa3 lei2	66-8669-S
wa3 li3 de2	66-9604-S
wa3 li3 lun4	4-63782-S
wa3 li4	43-11442-B
wa3 lu2	15-27555-S
wa3 lu3	12-60587-S
wa3 na4	11-9766-S,11-9826-S,13-39534-S
wa3 qi4	43-10617-B
wa3 ren2	29-1802-S
wa3 sa4	49-16991-S
wa3 se4 te4	66-8600-S
wa3 si1	6-31353-S,36-7818-S,43-10871-B
wa3 si1 ke1	16-17970-S
wa3 si1 tuo1 bo1 er3	16-20659-S
wa3 tai2	67-56538-S
wa3 ti2	66-9451-S
wa3 ti2 xian4	66-9521-S
wa3 xi1	27-24560-S
wa3 xi1 li3	30-41818-S
wa3 xi1 li3 yu3	30-41877-S
wa3 xin1 ge2	12-22092-S,30-66209-S,66-12504-S,66-12616-S
wa3 zhou1	53-47140-S
wa3 zu2	5-10061-S
wa4	4-63710-S,46-277-S,49-55154-S,52-46532-B,57-11547-B,65-18699-S,65-19639-S
wa4 dai4	12-44573-S,57-11630-B
wa4 na4	52-46574-B
wa4 na4 qi2	52-46758-B
wa4 na4 shou4	52-46677-B
wa4 zi5	57-11584-B
wa5	18-49782-S,20-62814-S
wa5 che1	18-50032-S
wa5 lian3	18-49900-S
wa5 qin1	18-49962-S
wa5 sheng1	18-49834-S
wa5 yu2	18-50111-S
wai	2-2777-S,2-65537-S,3-10796-S,3-72565-S,4-27069-S,4-36678-S,4-44683-S,5-20318-S,7-27569-S,8-3744-S,8-34461-S,8-37873-S,8-42110-S,11-37907-S,12-6782-S,14-5866-B,14-7241-S,15-2016-S,15-3688-S,15-34472-S,15-35062-S,15-61813-S,16-19633-S,16-23378-S,16-23538-S,16-42077-B,18-41403-S,18-53455-S,19-56177-S,20-48334-S,21-20311-S,21-42451-S,23-415-S,23-24019-S,25-28809-S,26-25035-S,27-31520-S,28-15843-S,33-15065-S,33-53070-S,33-65244-S,35-41258-S,35-49937-B,38-1818-S,38-16900-S,38-17686-S,38-34742-S,49-9063-S,49-28148-S,50-52674-S,51-3090-S,51-26164-S,57-1806-S,57-2273-S,58-34401-S,63-21034-S,64-3205-S,65-21773-S,66-21426-S,66-21915-S,66-22485-S,68-43501-S,70-6172-S
wai Jing ji Mao yi Da xue	20-48499-S
wai ba zi tui	16-44193-B
wai ban	16-51066-B,38-17735-S
wai bang ren	16-51374-B
wai bao	16-45180-B
wai bi	16-47441-B
wai bian	16-51284-B
wai biao	16-50406-B
wai biao lai kan	24-11253-S
wai bin	16-50908-B
wai bu	16-51427-B
wai ce gou	16-43627-B
wai ce lie	16-43735-B
wai ce lie zhou qu	16-43843-B
wai ce lie zhou wei	16-43994-B
wai ceng	16-47194-B
wai ceng kong jian	16-47252-B
wai chu	16-44425-B
wai chuan	19-64414-S
wai dai	16-47322-B
wai di	16-46404-B
wai di ren	16-46495-B
wai dian	16-51752-B
wai dian xie zuo	16-44349-B
wai dian zi	35-50283-B
wai er	16-49980-B
wai er dao	16-50022-B
wai fa quan	37-24242-S
wai fang yang	64-3272-S
wai fen mi	16-44507-B
wai fen mi xian	16-44592-B
wai feng	35-50215-B
wai gong	16-44266-B
wai gu ge	16-51985-B
wai guan	16-50514-B
wai guan xi	20-48814-S
wai guang	49-28198-S
wai guo	16-45615-B
wai guo cheng	16-51482-B
wai guo dian ying	16-46222-B
wai guo gong si	16-45720-B
wai guo hua	16-46028-B
wai guo lu: you zhe	16-45946-B
wai guo mei ti	16-45791-B
wai guo ren	16-45666-B
wai guo tou zi zhe	16-45864-B
wai guo yu	16-46090-B
wai guo yu da xue	1-51914-S
wai guo zi ben	16-46152-B
wai han	65-21823-S
wai hang	16-50289-B
wai hao	16-50247-B
wai huan	7-28483-S,16-47759-B
wai hui	16-45225-B
wai hui chu bei	16-45286-B
wai ji	16-49776-B,16-49858-B
wai ji lao gong	16-49910-B
wai ji su	16-48746-B
wai jia	16-44780-B,16-50860-B
wai jia fu jian	16-44883-B
wai jia ji	16-44831-B
wai jiao	15-16218-S,16-42297-B,16-48000-B
wai jiao bu	16-42843-B
wai jiao bu zhang	16-42942-B
wai jiao da chen	16-42439-B
wai jiao feng bo	16-43122-B
wai jiao guan	16-42664-B
wai jiao guan xi	16-43027-B,23-22080-S
wai jiao jia	16-42719-B
wai jiao shi wu	16-42368-B
wai jiao shou wan	16-42775-B
wai jie	16-49270-B
wai jin	57-1453-S
wai jing	16-47592-B
wai jiu yi	5-35037-S
wai ke	16-48587-B,16-49547-B,46-2345-S,46-59322-S
wai ke shou shu	16-49650-B
wai ke xue	16-49599-B
wai ke yi sheng	16-49713-B
wai lai	16-43239-B
wai lai cheng yu	16-43297-B
wai lai ci	16-43514-B
wai lai huo	16-43566-B
wai lai ke	17-45714-S
wai lai tou zi	16-43364-B
wai lai wu zhong	16-43436-B
wai li	16-44711-B
wai lian	57-1607-S
wai liu	4-10097-S,16-48640-B,26-37345-S
wai lu	2-2851-S,16-51835-B
wai mai	16-50977-B
wai mao	16-50710-B,16-50762-B
wai mao yi jing ji he zuo bu	20-48647-S
wai mei	16-46798-B
wai mian	16-51900-B
wai niu niu	35-50110-S
wai pao	16-50476-B
wai pei ceng	16-50105-B
wai po	16-46717-B
wai qu	35-50057-B
wai ren	16-43196-B
wai shang	16-45560-B
wai she	16-50616-B
wai she xian	49-28261-S
wai sheng	16-48915-B
wai sheng nu:	16-48984-B
wai sheng nu: xu	16-49072-B
wai sheng xi fu	16-49153-B
wai sheng zhi	48-28499-S
wai shi	7-47401-S,16-42136-B
wai shi chu	16-42185-B
wai shi gu	25-28868-S
wai shou jing	70-6249-S
wai song	16-51122-B
wai sun	16-46885-B
wai sun nu:	16-46973-B
wai sun nu: er	16-47050-B
wai tai kong	16-46622-B
wai tan	16-48798-B
wai tao	16-46679-B,16-51188-B
wai tao hua yuan	2-38318-S
wai tao yuan	2-38163-S
wai tou	16-51941-B
wai tui	16-47812-B
wai tui fa	16-47860-B
wai wai	57-2273-S
wai wai niu niu	35-50110-B
wai wei	16-46307-B
wai wen	16-48170-B
wai wen xi	16-48230-B
wai wu	16-44975-B
wai wu bu	16-45110-B
wai wu sheng	16-45023-B
wai xian	49-9112-S,49-28332-S
wai xian guang	49-28392-S
wai xiang	16-45367-B,16-49330-B,18-21376-S
wai xiang xing	16-45480-B
wai xiao	16-51544-B
wai xiao tui	16-47144-B
wai xie	13-44781-S
wai xie ji	16-48343-B
wai xin	16-47678-B
wai xing	16-47545-B
wai xing jie chu	18-53501-S
wai xing ren	16-48431-B
wai xing sheng ming	16-48506-B
wai xing xi	37-19659-S
wai yan	16-47490-B
wai yi	16-50338-B
wai ying ji	16-13319-S
wai yong	16-49227-B
wai yu	16-50661-B,16-51229-B
wai yuan	16-47940-B,16-48702-B,16-51702-B
wai zai	16-46352-B
wai zhai	16-44146-B
wai zhang	16-51603-B
wai zhao she	16-48849-B
wai zheng ce	20-48428-S
wai zhi xiang	23-34544-S
wai zhi yi	23-34319-S,57-55739-S
wai zhi yin	23-34398-S
wai zhuan	51-50243-S
wai zi	5-20370-S,16-50809-B
wai zu fu	16-49461-B
wai zu mu	16-49382-B,32-15544-S
wai zui	35-50000-B
wai1	14-5866-B,23-24019-S,33-15065-S,35-49937-B
wai1 dian3 zi5	35-50283-B
wai1 feng1	35-50215-B
wai1 niu3 niu3	35-50110-S
wai1 qu1	35-50057-B
wai1 wai1 niu3 niu3	35-50110-B
wai1 xie2	13-44781-S
wai1 zui3	35-50000-B
wai2 fang2 yang3	64-3272-S
wai3	38-16900-S
wai4	2-2777-S,2-65537-S,3-10796-S,3-72565-S,4-27069-S,4-36678-S,4-44683-S,5-20318-S,7-27569-S,8-3744-S,8-34461-S,8-37873-S,8-42110-S,11-37907-S,12-6782-S,14-7241-S,15-2016-S,15-3688-S,15-34472-S,15-35062-S,15-61813-S,16-19633-S,16-23378-S,16-23538-S,16-42077-B,18-41403-S,18-53455-S,19-56177-S,20-48334-S,21-20311-S,21-42451-S,23-415-S,25-28809-S,26-25035-S,27-31520-S,28-15843-S,33-53070-S,33-65244-S,35-41258-S,38-1818-S,38-17686-S,38-34742-S,49-9063-S,49-28148-S,50-52674-S,51-3090-S,51-26164-S,57-1806-S,57-2273-S,58-34401-S,63-21034-S,64-3205-S,65-21773-S,66-21426-S,66-21915-S,66-22485-S,68-43501-S,70-6172-S
wai4 Jing1 ji4 Mao4 yi4 Da4 xue2	20-48499-S
wai4 ba1 zi4 tui3	16-44193-B
wai4 ban3	38-17735-S
wai4 ban4	16-51066-B
wai4 bang1 ren2	16-51374-B
wai4 bao1	16-45180-B
wai4 bi4	16-47441-B
wai4 bian5	16-51284-B
wai4 biao3	16-50406-B
wai4 biao3 lai2 kan4	24-11253-S
wai4 bin1	16-50908-B
wai4 bu4	16-51427-B
wai4 ce4 gou1	16-43627-B
wai4 ce4 lie4	16-43735-B
wai4 ce4 lie4 zhou1 qu1	16-43843-B
wai4 ce4 lie4 zhou1 wei2	16-43994-B
wai4 ceng2	16-47194-B
wai4 ceng2 kong1 jian1	16-47252-B
wai4 chu1	16-44425-B
wai4 chuan2	19-64414-S
wai4 dai4	16-47322-B
wai4 di4	16-46404-B
wai4 di4 ren2	16-46495-B
wai4 dian3 xie3 zuo4	16-44349-B
wai4 dian4	16-51752-B
wai4 er3	16-49980-B
wai4 er3 dao4	16-50022-B
wai4 fa3 quan2	37-24242-S
wai4 fen1 mi4	16-44507-B
wai4 fen1 mi4 xian4	16-44592-B
wai4 gong1	16-44266-B
wai4 gu3 ge2	16-51985-B
wai4 guan1	16-50514-B
wai4 guan1 xi4	20-48814-S
wai4 guang1	49-28198-S
wai4 guo1 cheng2	16-51482-B
wai4 guo2	16-45615-B
wai4 guo2 dian4 ying3	16-46222-B
wai4 guo2 gong1 si1	16-45720-B
wai4 guo2 hua4	16-46028-B
wai4 guo2 lu:3 you2 zhe3	16-45946-B
wai4 guo2 mei2 ti3	16-45791-B
wai4 guo2 ren2	16-45666-B
wai4 guo2 tou2 zi1 zhe3	16-45864-B
wai4 guo2 yu3	16-46090-B
wai4 guo2 yu3 da4 xue2	1-51914-S
wai4 guo2 zi1 ben3	16-46152-B
wai4 han4	65-21823-S
wai4 hang2	16-50289-B
wai4 hao4	16-50247-B
wai4 huan4	7-28483-S,16-47759-B
wai4 hui4	16-45225-B
wai4 hui4 chu3 bei4	16-45286-B
wai4 ji1	16-49776-B
wai4 ji1 su4	16-48746-B
wai4 ji2	16-49858-B
wai4 ji2 lao2 gong1	16-49910-B
wai4 jia1	16-44780-B
wai4 jia1 fu4 jian4	16-44883-B
wai4 jia1 ji4	16-44831-B
wai4 jia3	16-50860-B
wai4 jiao1	15-16218-S,16-42297-B
wai4 jiao1 bu4	16-42843-B
wai4 jiao1 bu4 zhang3	16-42942-B
wai4 jiao1 da4 chen2	16-42439-B
wai4 jiao1 feng1 bo1	16-43122-B
wai4 jiao1 guan1	16-42664-B
wai4 jiao1 guan1 xi4	16-43027-B,23-22080-S
wai4 jiao1 jia1	16-42719-B
wai4 jiao1 shi4 wu4	16-42368-B
wai4 jiao1 shou3 wan4	16-42775-B
wai4 jiao4	16-48000-B
wai4 jie4	16-49270-B
wai4 jin4	57-1453-S
wai4 jing4	16-47592-B
wai4 jiu4 yi1	5-35037-S
wai4 ke1	16-49547-B,46-2345-S,46-59322-S
wai4 ke1 shou3 shu4	16-49650-B
wai4 ke1 xue2	16-49599-B
wai4 ke1 yi1 sheng1	16-49713-B
wai4 ke2	16-48587-B
wai4 lai2	16-43239-B
wai4 lai2 cheng2 yu3	16-43297-B
wai4 lai2 ci2	16-43514-B
wai4 lai2 huo4	16-43566-B
wai4 lai2 ke4	17-45714-S
wai4 lai2 tou2 zi5	16-43364-B
wai4 lai2 wu4 zhong3	16-43436-B
wai4 li4	16-44711-B
wai4 lian2	57-1607-S
wai4 liu2	4-10097-S,16-48640-B,26-37345-S
wai4 lu4	2-2851-S,16-51835-B
wai4 mai4	16-50977-B
wai4 mao4	16-50710-B,16-50762-B
wai4 mao4 yi4 jing1 ji4 he2 zuo4 bu4	20-48647-S
wai4 mei2	16-46798-B
wai4 mian5	16-51900-B
wai4 pao2	16-50476-B
wai4 pei1 ceng2	16-50105-B
wai4 po2	16-46717-B
wai4 ren2	16-43196-B
wai4 shang1	16-45560-B
wai4 she4	16-50616-B
wai4 she4 xian4	49-28261-S
wai4 sheng1	16-48915-B
wai4 sheng1 zhi1	48-28499-S
wai4 sheng5 nu:3	16-48984-B
wai4 sheng5 nu:3 xu5	16-49072-B
wai4 sheng5 xi2 fu4	16-49153-B
wai4 shi4	7-47401-S,16-42136-B
wai4 shi4 chu4	16-42185-B
wai4 shi4 gu4	25-28868-S
wai4 shou4 jing1	70-6249-S
wai4 song4	16-51122-B
wai4 sun1	16-46885-B
wai4 sun1 nu:3	16-46973-B
wai4 sun1 nu:3 er5	16-47050-B
wai4 tai4 kong1	16-46622-B
wai4 tan1	16-48798-B
wai4 tao2	16-51188-B
wai4 tao2 hua1 yuan2	2-38318-S
wai4 tao2 yuan2	2-38163-S
wai4 tao4	16-46679-B
wai4 tou5	16-51941-B
wai4 tui1	16-47812-B
wai4 tui1 fa3	16-47860-B
wai4 wai4	57-2273-S
wai4 wei2	16-46307-B
wai4 wen2	16-48170-B
wai4 wen2 xi4	16-48230-B
wai4 wu4	16-44975-B
wai4 wu4 bu4	16-45110-B
wai4 wu4 sheng3	16-45023-B
wai4 xian4	49-9112-S,49-28332-S
wai4 xian4 guang1	49-28392-S
wai4 xiang4	16-45367-B,16-49330-B,18-21376-S
wai4 xiang4 xing2	16-45480-B
wai4 xiao1	16-51544-B
wai4 xiao3 tui3	16-47144-B
wai4 xie2 ji1	16-48343-B
wai4 xin1	16-47678-B
wai4 xing1 ren2	16-48431-B
wai4 xing1 sheng1 ming4	16-48506-B
wai4 xing1 xi4	37-19659-S
wai4 xing2	16-47545-B
wai4 xing4 jie1 chu4	18-53501-S
wai4 yan2	16-47490-B
wai4 yi1	16-50338-B
wai4 ying1 ji2	16-13319-S
wai4 yong4	16-49227-B
wai4 yu3	16-50661-B
wai4 yu4	16-51229-B
wai4 yuan2	16-47940-B,16-48702-B
wai4 yuan4	16-51702-B
wai4 zai4	16-46352-B
wai4 zhai4	16-44146-B
wai4 zhang3	16-51603-B
wai4 zhao4 she4	16-48849-B
wai4 zheng4 ce4	20-48428-S
wai4 zhi1 xiang3	23-34544-S
wai4 zhi1 yi4	23-34319-S,57-55739-S
wai4 zhi1 yin1	23-34398-S
wai4 zhuan4	51-50243-S
wai4 zi1	16-50809-B
wai4 zi4	5-20370-S
wai4 zu3 fu4	16-49461-B
wai4 zu3 mu3	16-49382-B,32-15544-S
wan	1-3331-S,1-3635-S,1-6032-S,1-15908-S,1-19917-S,1-25505-S,1-28237-S,1-37020-S,1-40305-S,1-45316-S,2-44545-S,2-46033-S,3-1749-B,3-16286-S,3-34981-S,3-38582-S,3-52051-S,3-54206-S,3-65600-S,4-22881-S,6-26698-S,6-54784-S,7-2919-S,7-47047-S,7-66573-S,8-24448-S,8-24546-S,8-65585-B,9-28738-B,10-35869-S,10-47219-S,10-48242-S,10-50179-S,10-61757-B,11-483-S,12-3968-S,12-19171-S,12-27214-S,14-52086-S,16-29843-S,16-42775-S,16-58430-S,17-1129-S,17-5066-S,18-6447-S,18-28980-S,18-41449-S,18-51249-B,18-52623-B,19-36468-B,19-49009-B,20-25831-S,21-40774-S,22-57262-S,23-47048-S,23-52129-B,24-60012-S,25-16296-B,25-32204-S,25-38189-S,26-8722-S,26-35265-S,26-60171-S,26-66235-B,27-30701-S,28-321-B,28-6100-B,28-54867-S,30-23448-S,31-14210-S,31-36972-S,31-44629-B,31-47140-B,32-5906-S,32-43511-S,33-13032-S,33-15007-S,34-41257-S,34-57601-S,36-36589-S,36-54960-B,37-16631-S,37-17072-S,37-39340-S,37-53822-S,38-21954-S,39-2796-S,39-6070-S,39-6263-S,40-1387-B,40-18902-B,40-42964-B,42-37776-B,42-38601-S,42-39642-S,42-58381-B,43-5923-S,43-34668-S,43-40764-S,44-580-B,44-56870-S,44-63795-B,45-30751-S,45-57492-S,46-29004-B,47-61784-S,49-14296-B,50-4945-B,51-19740-B,51-33092-S,52-38773-B,52-48710-S,53-20663-S,53-48913-B,54-11430-S,54-23313-B,54-24523-S,54-25184-S,54-27886-B,54-42524-S,54-42690-B,54-47621-S,55-33441-S,55-53836-S,56-6635-B,58-45761-S,58-63301-S,59-18731-B,59-58786-S,61-8522-B,61-23104-S,62-37095-S,62-37645-S,63-6616-S,64-15499-S,65-4451-S,65-5278-S,65-16652-S,65-54532-S,68-27536-S,68-31193-B,69-5520-S,70-36607-S
wan Hai xia	12-19413-S
wan Min zhu Zi zhi Tong meng	12-19272-S
wan Qing	31-45217-B
wan Shi wu Ban gong shi	15-2944-S
wan an	31-44951-B
wan bang	54-47973-B
wan bao	10-26721-S,31-44821-B
wan bei	19-36533-B,31-45470-B
wan bei xing	19-36624-B
wan bi	19-38032-B
wan bi gui zhao	19-37869-B
wan bie	10-49194-S
wan bu	29-26441-S
wan bu de yi	54-42826-B
wan can	31-45787-B,32-20409-S,32-20696-S
wan che	31-45425-B
wan cheng	17-10568-S,18-52662-B,19-37599-B,32-57718-S
wan cheng shi	19-37678-B
wan chi	37-53935-S
wan ci	18-41502-S,18-52761-B,18-52930-B,28-1020-B,28-1075-B
wan dai	10-49827-S
wan dan	19-38409-B
wan dao	31-45360-B
wan dou	59-18758-B
wan dou zhao	59-18866-B
wan dou zhou	59-18811-B
wan dun	24-55223-S,44-57017-S,68-31735-B
wan dun dang liang	48-18645-S
wan dun ji he wu qi	44-57070-S
wan e	28-1130-B
wan er	18-29025-S,54-23341-B,70-29692-S
wan er bu zhuan	42-38323-B
wan er huai	42-38537-B
wan er ming	42-38446-B
wan er piao	42-38755-B
wan er wan	42-38601-B
wan fan	31-45727-B
wan fei	68-31352-B
wan fen	54-43681-B
wan fen tong ku	54-43758-B
wan feng	31-45678-B
wan fu	70-8275-S
wan fu hao	6-54838-S
wan fu weng	44-57169-S
wan gang	30-42984-S
wan ge	28-865-B
wan geng	68-31512-B
wan gu	68-31401-B
wan gu chang qing	54-43897-B
wan guan	52-42707-S
