徵兆 征兆	24-22943-B
急噪	24-58064-S
急噪 急噪	24-58064-B
急如星火	24-58146-S
急如星火 急如星火	24-58146-B
急忙	24-58293-S
急忙 急忙	24-58293-B
急性	24-58334-S
急性 急性	24-58334-B
急性人	24-58373-S
急性人 急性人	24-58373-B
急性子	24-58451-S
急性子 急性子	24-58451-B
急性氰化物中毒	24-58527-S
急性氰化物中毒 急性氰化物中毒	24-58527-B
急性照射	24-58640-S
急性照射 急性照射	24-58640-B
急性病	24-58711-S
急性病 急性病	24-58711-B
急性肠炎	24-58795-S
急性腸炎 急性肠炎	24-58795-B
急拍拍	24-58868-S
急拍拍 急拍拍	24-58868-B
急救	24-58936-S
急救 急救	24-58936-B
急救站	24-58998-S
急救站 急救站	24-58998-B
急於 急于	24-59074-B
急於求成 急于求成	24-59123-B
急智	24-59275-S
急智 急智	24-59275-B
急派	24-59355-S
急派 急派	24-59355-B
急流	24-59395-S
急流 急流	24-59395-B
急用	24-59435-S
急用 急用	24-59435-B
急眼	24-59507-S
急眼 急眼	24-59507-B
急着	24-59552-S
急著 急着	24-59552-B
急行军	24-59592-S
急行軍 急行军	24-59592-B
急袭	24-59663-S
急襲 急袭	24-59663-B
急要	24-59708-S
急要 急要	24-59708-B
急診 急诊	24-59747-B
急診室 急诊室	24-59825-B
急诊	24-59747-S
急诊室	24-59825-S
急躁	24-59884-S
急躁 急躁	24-59884-B
急轉 急转	24-59946-B
急轉彎 急转弯	24-60012-B
急轉直下 急转直下	24-60079-B
急转	24-59946-S
急转弯	24-60012-S
急转直下	24-60079-S
急迫	24-60202-S
急迫 急迫	24-60202-B
急速	24-60260-S
急速 急速	24-60260-B
急需	24-60336-S
急需 急需	24-60336-B
急馳 急驰	24-60396-B
急驟 急骤	24-60460-B
急驰	24-60396-S
急骤	24-60460-S
怦	24-60507-S
怦 怦	24-60507-B
性	24-60540-S
性 性	24-60540-B
性乐	24-62664-S
性事	24-60706-S
性事 性事	24-60706-B
性交	24-60744-S
性交 性交	24-60744-B
性交高潮	24-60798-S
性交高潮 性交高潮	24-60798-B
性产业	24-62831-S
性伙伴	24-60863-S
性伙伴 性伙伴	24-60863-B
性传播	24-61153-S
性伴	24-60923-S
性伴 性伴	24-60923-B
性伴侣	24-60972-S
性伴侶 性伴侣	24-60972-B
性偏好	24-61028-S
性偏好 性偏好	24-61028-B
性健康	24-61092-S
性健康 性健康	24-61092-B
性傳播 性传播	24-61153-B
性关系	24-63476-S
性冲动	24-63274-S
性冷感	24-61220-S
性冷感 性冷感	24-61220-B
性別 性别	24-61293-B
性別比 性别比	24-61371-B
性别	24-61293-S
性别比	24-61371-S
性取向	24-61425-S
性取向 性取向	24-61425-B
性命	24-61501-S
性命 性命	24-61501-B
性命攸关	24-61541-S
性命攸關 性命攸关	24-61541-B
性器	24-61644-S
性器 性器	24-61644-B
性器官	24-61687-S
性器官 性器官	24-61687-B
性子	24-61745-S
性子 性子	24-61745-B
性工作	24-61784-S
性工作 性工作	24-61784-B
性情	24-61868-S
性情 性情	24-61868-B
性愛 性爱	24-61922-B
性感	24-61971-S
性感 性感	24-61971-B
性慾 性欲	24-62036-B
性慾高潮 性欲高潮	24-62088-B
性指向	24-62151-S
性指向 性指向	24-62151-B
性接触	24-62228-S
性接觸 性接触	24-62228-B
性教育	24-62290-S
性教育 性教育	24-62290-B
性服务	24-62349-S
性服务产业	24-62420-S
性服務 性服务	24-62349-B
性服務產業 性服务产业	24-62420-B
性格	24-62506-S
性格 性格	24-62506-B
性格不合	24-62580-S
性格不合 性格不合	24-62580-B
性樂 性乐	24-62664-B
性欲	24-62036-S
性欲高潮	24-62088-S
性激素	24-62720-S
性激素 性激素	24-62720-B
性爱	24-61922-S
性生活	24-62775-S
性生活 性生活	24-62775-B
性產業 性产业	24-62831-B
性病	24-62893-S
性病 性病	24-62893-B
性細胞 性细胞	24-62977-B
性细胞	24-62977-S
性能	24-63054-S
性能 性能	24-63054-B
性腺	24-63110-S
性腺 性腺	24-63110-B
性行	24-63161-S
性行 性行	24-63161-B
性行为	24-63212-S
性行為 性行为	24-63212-B
性衝動 性冲动	24-63274-B
性質 性质	24-63332-B
性質命題 性质命题	24-63388-B
性质	24-63332-S
性质命题	24-63388-S
性關係 性关系	24-63476-B
性騷擾 性骚扰	24-63564-B
性骚扰	24-63564-S
性高潮	24-63627-S
性高潮 性高潮	24-63627-B
怨	24-63687-S
怨 怨	24-63687-B
怨命	24-63725-S
怨命 怨命	24-63725-B
怨声	24-64092-S
怨声载道	24-64159-S
怨天載道 怨天载道	24-63809-B
怨天载道	24-63809-S
怨恨	24-63974-S
怨恨 怨恨	24-63974-B
怨气	24-64028-S
怨氣 怨气	24-64028-B
怨聲 怨声	24-64092-B
怨聲載道 怨声载道	24-64159-B
怨言	24-64325-S
怨言 怨言	24-64325-B
怩	24-64369-S
怩 怩	24-64369-B
怪	24-64394-S
怪 怪	24-64394-B
怪不得	24-64501-S
怪不得 怪不得	24-64501-B
怪事	24-64593-S
怪事 怪事	24-64593-B
怪人	24-64646-S
怪人 怪人	24-64646-B
怪傑 怪杰	24-64705-B
怪僻	24-64811-S
怪僻 怪僻	24-64811-B
怪兽	24-65362-S
怪味	24-64856-S
怪味 怪味	24-64856-B
怪声怪气	24-65662-S
怪异	24-65425-S
怪念头	24-64903-S
怪念頭 怪念头	24-64903-B
怪杰	24-64705-S
怪样	24-65072-S
怪模怪样	24-64978-S
怪模怪樣 怪模怪样	24-64978-B
怪樣 怪样	24-65072-B
怪气	24-65193-S
怪氣 怪气	24-65193-B
怪物	24-65246-S
怪物 怪物	24-65246-B
怪物似	24-65309-S
怪物似 怪物似	24-65309-B
怪獸 怪兽	24-65362-B
怪異 怪异	24-65425-B
怪癖	24-65464-S
怪癖 怪癖	24-65464-B
怪相	24-65510-S
怪相 怪相	24-65510-B
怪祕 怪秘	24-65571-B
怪秘	24-65571-S
怪罪	24-65619-S
怪罪 怪罪	24-65619-B
怪聲怪氣 怪声怪气	24-65662-B
怪胎	24-65762-S
怪胎 怪胎	24-65762-B
怪訝 怪讶	24-65833-B
怪話 怪话	24-65877-B
怪誕 怪诞	24-65947-B
怪誕不經 怪诞不经	24-65993-B
怪讶	24-65833-S
怪话	24-65877-S
怪诞	24-65947-S
怪诞不经	24-65993-S
怪道	24-66092-S
怪道 怪道	24-66092-B
怪里怪气	24-66137-S
怪里怪氣 怪里怪气	24-66137-B
怫	24-66223-S,24-66251-S
怫 怫	24-66223-B,24-66251-B
怭	24-66280-S
怭 怭	24-66280-B
怯	24-66316-S
怯 怯	24-66316-B
怯子	24-66352-S
怯子 怯子	24-66352-B
怯弱	24-66433-S
怯弱 怯弱	24-66433-B
怯懦	24-66477-S
怯懦 怯懦	24-66477-B
怯生	24-66533-S
怯生 怯生	24-66533-B
怯生生	24-66572-S
怯生生 怯生生	24-66572-B
怲	24-66624-S
怲 怲	24-66624-B
怳	24-66660-S
怳 怳	24-66660-B
怵	24-66717-S
怵 怵	24-66717-B
怸	24-66761-S
怸 怸	24-66761-B
怹	24-66827-S
怹 怹	24-66827-B
总	50-31603-S
总之	50-31699-S
总书记	50-33628-S
总价	50-31869-S
总会会长	50-33710-S
总体	50-36491-S
总体上说	50-36564-S
总供给	50-31761-S
总值	50-31823-S
总公司	50-31915-S
总共	50-31987-S
总则	50-32056-S
总务	50-32205-S
总动员	50-32123-S
总参谋部	50-32307-S
总参谋长	50-32400-S
总司令	50-32484-S
总司令部	50-32610-S
总后勤部	50-33029-S
总吨位	50-32723-S
总和	50-32686-S
总回报	50-32817-S
总局	50-32892-S
总干事	50-32967-S
总归	50-33923-S
总得	50-33124-S
总成本	50-33183-S
总括	50-33242-S
总收益	50-33286-S
总政治部	50-33361-S
总数	50-33458-S
总方针	50-33506-S
总是	50-33587-S
总机	50-33842-S
总杆赛	50-33778-S
总理	50-33985-S
总理衙门	50-34041-S
总的来说	50-34144-S
总监	50-34248-S
总督	50-34377-S
总称	50-34481-S
总站	50-34530-S
总算	50-34574-S
总线	50-35206-S
总经理	50-35145-S
总结	50-34643-S
总统	50-34714-S
总统任期	50-34774-S
总统制	50-34856-S
总统大选	50-34922-S
总统府	50-35001-S
总统选举	50-35066-S
总编	50-35254-S
总编辑	50-35347-S
总署	50-35420-S
总而言之	50-35469-S
总能	50-35552-S
总裁	50-35600-S
总装备部	50-35679-S
总要	50-35772-S
总览	50-35819-S
总计	50-35872-S
总部	50-35919-S
总量	50-35973-S
总长	50-36030-S
总需求	50-36099-S
总面积	50-36160-S
总领事	50-36236-S
总领事馆	50-36297-S
总额	50-36373-S
总风险	50-36429-S
怼	25-62368-S
怿	25-62151-S
恁	24-66872-S
恁 恁	24-66872-B
恂	24-66899-S
恂 恂	24-66899-B
恃	24-66929-S
恃 恃	24-66929-B
恆 恒	24-66961-B
恆定 恒定	24-66994-B
恆山 恒山	24-67038-B
恆心 恒心	24-67091-B
恆星 恒星	24-67138-B
恆星年 恒星年	24-67186-B
恆星際 恒星际	24-67308-B
恆春鎮 恒春镇	24-67390-B
恆河 恒河	24-67467-B
恆河猴 恒河猴	24-67513-B
恆溫 恒温	24-67643-B
恆溫器 恒温器	24-67698-B
恆牙 恒牙	24-67753-B
恆生 恒生	24-67853-B
恆生銀行 恒生银行	24-67906-B
恆等式 恒等式	24-67980-B
恇	24-68043-S
恇 恇	24-68043-B
恉	24-68088-S
恉 恉	24-68088-B
恋	26-3701-S
恋人	26-3758-S
恋恋不舍	26-3884-S
恋母情结	26-3958-S
恋爱	26-3809-S
恋童癖	26-4030-S
恋脚癖	26-4086-S
恋脚癖者	26-4143-S
恌	24-68118-S
恌 恌	24-68118-B
恍	24-68151-S
恍 恍	24-68151-B
恍忽	24-68208-S
恍忽 恍忽	24-68208-B
恍惚	24-68279-S
恍惚 恍惚	24-68279-B
恍然大悟	24-68348-S
恍然大悟 恍然大悟	24-68348-B
恐	24-68449-S
恐 恐	24-68449-B
恐吓	24-68498-S
恐嚇 恐吓	24-68498-B
恐怕	24-68553-S
恐怕 恐怕	24-68553-B
恐怖	24-68633-S
恐怖 恐怖	24-68633-B
恐怖主义	24-68714-S
恐怖主义者	24-68778-S
恐怖主義 恐怖主义	24-68714-B
恐怖主義者 恐怖主义者	24-68778-B
恐怖份子	24-68853-S
恐怖份子 恐怖份子	24-68853-B
恐怖份子 恐怖分子	24-68916-B
恐怖分子	24-68916-S
恐怖片	24-68980-S
恐怖片 恐怖片	24-68980-B
恐怖片儿	24-69050-S
恐怖片兒 恐怖片儿	24-69050-B
恐怖电影	24-69131-S
恐怖電影 恐怖电影	24-69131-B
恐惧	24-69266-S
恐惧症	24-69317-S
恐慌	24-69201-S
恐慌 恐慌	24-69201-B
恐懼 恐惧	24-69266-B
恐懼症 恐惧症	24-69317-B
恐旷症	24-69370-S
恐曠症 恐旷症	24-69370-B
恐水病	24-69431-S
恐水病 恐水病	24-69431-B
恐法症	24-69485-S
恐法症 恐法症	24-69485-B
恐韓症 恐韩症	24-69544-B
恐韩症	24-69544-S
恐鳥 恐鸟	24-69603-B
恐鸟	24-69603-S
恐龍 恐龙	24-69678-B
恐龍類 恐龙类	24-69722-B
恐龙	24-69678-S
恐龙类	24-69722-S
恒	24-66961-S
恒定	24-66994-S
恒山	24-67038-S
恒心	24-67091-S
恒星	24-67138-S
恒星年	24-67186-S
恒星际	24-67308-S
恒春镇	24-67390-S
恒河	24-67467-S
恒河猴	24-67513-S
恒温	24-67643-S
恒温器	24-67698-S
恒牙	24-67753-S
恒生	24-67853-S
恒生指数	24-69778-S
恒生指數 恒生指数	24-69778-B
恒生銀行 恒生银行	24-69852-B
恒生银行	24-67906-S,24-69852-S
恒等式	24-67980-S
恓	24-69926-S
恓 恓	24-69926-B
恔	24-69962-S
恔 恔	24-69962-B
恕	24-69994-S
恕 恕	24-69994-B
恙	25-0-S
恙 恙	25-0-B
恙虫病	25-32-S
恙蟲病 恙虫病	25-32-B
恚	25-139-S
恚 恚	25-139-B
恛	25-166-S
恛 恛	25-166-B
恝	25-227-S
恝 恝	25-227-B
恟	25-261-S
恟 恟	25-261-B
恢	25-292-S
恢 恢	25-292-B
恢复	25-342-S
恢复原状	25-443-S
恢復 恢复	25-342-B
恢復原狀 恢复原状	25-443-B
恣	25-544-S
恣 恣	25-544-B
恣欲	25-585-S
恣欲 恣欲	25-585-B
恤	11-27935-S,25-643-S
恤 恤	25-643-B
恥 耻	25-728-B
恥笑 耻笑	25-765-B
恥罵 耻骂	25-826-B
恥辱 耻辱	25-875-B
恥骨 耻骨	25-934-B
恧	25-980-S
恧 恧	25-980-B
恨	25-1009-S
恨 恨	25-1009-B
恨不得	25-1039-S
恨不得 恨不得	25-1039-B
恨不能	25-1203-S
恨不能 恨不能	25-1203-B
恨恶	25-1375-S
恨惡 恨恶	25-1375-B
恨海难填	25-1415-S
恨海難填 恨海难填	25-1415-B
恩	25-1539-S
