圣母	51-47806-S
埆	15-60580-S
埆 埆	15-60580-B
埇	15-60608-S
埇 埇	15-60608-B
埋	15-60643-S,15-60670-S
埋 埋	15-60643-B,15-60670-B
埋伏	15-60701-S
埋伏 埋伏	15-60701-B
埋单	15-60818-S
埋名	15-60740-S
埋名 埋名	15-60740-B
埋單 埋单	15-60818-B
埋头	15-61126-S
埋头苦干	15-61237-S
埋怨	15-60883-S
埋怨 埋怨	15-60883-B
埋沒 埋没	15-60929-B
埋没	15-60929-S
埋線 埋线	15-60970-B
埋线	15-60970-S
埋葬	15-61038-S
埋葬 埋葬	15-61038-B
埋藏	15-61077-S
埋藏 埋藏	15-61077-B
埋頭 埋头	15-61126-B
埋頭苦幹 埋头苦干	15-61237-B
埌	15-61402-S
埌 埌	15-61402-B
城	15-61440-S
城 城	15-61440-B
城乡	15-62787-S
城关	15-62953-S
城区	15-61485-S
城區 城区	15-61485-B
城口	15-61548-S
城口 城口	15-61548-B
城固	15-61615-S
城固 城固	15-61615-B
城域網 城域网	15-61680-B
城域网	15-61680-S
城堡	15-61752-S
城堡 城堡	15-61752-B
城墙	15-62478-S
城外	15-61813-S
城外 城外	15-61813-B
城市	15-61866-S
城市 城市	15-61866-B
城市化	15-61924-S
城市化 城市化	15-61924-B
城市热岛	15-61983-S
城市熱島 城市热岛	15-61983-B
城市規劃 城市规划	15-62093-B
城市规划	15-62093-S
城市运动会	15-62159-S
城市運動會 城市运动会	15-62159-B
城楼	15-62243-S
城樓 城楼	15-62243-B
城步苗族自治县	15-62294-S
城步苗族自治縣 城步苗族自治县	15-62294-B
城池	15-62438-S
城池 城池	15-62438-B
城牆 城墙	15-62478-B
城运会	15-62525-S
城運會 城运会	15-62525-B
城邦	15-62613-S
城邦 城邦	15-62613-B
城郊	15-62676-S
城郊 城郊	15-62676-B
城郭	15-62740-S
城郭 城郭	15-62740-B
城鄉 城乡	15-62787-B
城鎮 城镇	15-62845-B
城镇	15-62845-S
城門 城门	15-62908-B
城關 城关	15-62953-B
城门	15-62908-S
城防	15-63014-S
城防 城防	15-63014-B
城阳	15-63063-S
城阳区	15-63154-S
城陽 城阳	15-63063-B
城陽區 城阳区	15-63154-B
城隍	15-63255-S
城隍 城隍	15-63255-B
埏	15-63332-S,15-63378-S
埏 埏	15-63332-B,15-63378-B
埒	15-63409-S
埒 埒	15-63409-B
埔	15-63441-S
埔 埔	15-63441-B
埔心乡	15-63467-S
埔心鄉 埔心乡	15-63467-B
埔盐乡	15-63612-S
埔里鎮 埔里镇	15-63543-B
埔里镇	15-63543-S
埔鹽鄉 埔盐乡	15-63612-B
埕	15-63687-S
埕 埕	15-63687-B
埗	15-63723-S
埗 埗	15-63723-B
埘	16-15832-S
埙	16-21376-S
埚	16-7205-S
埜	15-63792-S
埜 埜	15-63792-B
域	15-63826-S
域 域	15-63826-B
域名	15-63883-S
域名 域名	15-63883-B
域名服务器	15-63928-S
域名服務器 域名服务器	15-63928-B
域名注册	15-64010-S
域名註冊 域名注册	15-64010-B
域多利皇后	15-64089-S
域多利皇后 域多利皇后	15-64089-B
埠	15-64182-S
埠 埠	15-64182-B
埡 垭	15-64228-B
埤	15-64279-S
埤 埤	15-64279-B
埤头乡	15-64309-S
埤頭鄉 埤头乡	15-64309-B
埧	15-64384-S
埧 埧	15-64384-B
埭	15-64416-S
埭 埭	15-64416-B
埰	15-64442-S
埰 埰	15-64442-B
埳	15-64492-S
埳 埳	15-64492-B
埴	15-64520-S
埴 埴	15-64520-B
埵	15-64571-S
埵 埵	15-64571-B
埶	15-64605-S
埶 埶	15-64605-B
執 执	15-64636-B
執事 执事	15-64681-B
執勤 执勤	15-64721-B
執意 执意	15-64779-B
執掌 执掌	15-64838-B
執政 执政	15-64891-B
執政官 执政官	15-64951-B
執政方式 执政方式	15-65008-B
執政者 执政者	15-65083-B
執政能力 执政能力	15-65135-B
執政黨 执政党	15-65211-B
執法 执法	15-65290-B
執法如山 执法如山	15-65338-B
執照 执照	15-65476-B
執著 执着	15-65518-B
執行 执行	15-65610-B
執行人 执行人	15-65682-B
執行指揮官 执行指挥官	15-65767-B
執行長 执行长	15-65855-B
執迷不悟 执迷不悟	15-65918-B
埸	15-66003-S
埸 埸	15-66003-B
培	15-66031-S
培 培	15-66031-B
培修	15-66078-S
培修 培修	15-66078-B
培养	15-66439-S
培养基	15-66528-S
培养液	15-66587-S
培养皿	15-66666-S
培勒兹	15-66132-S
培勒茲 培勒兹	15-66132-B
培土	15-66187-S
培土 培土	15-66187-B
培根	15-66231-S
培根 培根	15-66231-B
培植	15-66270-S
培植 培植	15-66270-B
培育	15-66325-S
培育 培育	15-66325-B
培訓 培训	15-66375-B
培训	15-66375-S
培養 培养	15-66439-B
培養基 培养基	15-66528-B
培養液 培养液	15-66587-B
培養皿 培养皿	15-66666-B
基	15-66722-S
基 基	15-66722-B
基业	15-69943-S
基于	15-68873-S
基准	15-70239-S
基加利	15-66781-S
基加利 基加利	15-66781-B
基因	15-66850-S
基因 基因	15-66850-B
基因修改	15-66887-S
基因修改 基因修改	15-66887-B
基因图谱	15-66962-S
基因圖譜 基因图谱	15-66962-B
基因型	15-67032-S
基因型 基因型	15-67032-B
基因学	15-67085-S
基因學 基因学	15-67085-B
基因工程	15-67137-S
基因工程 基因工程	15-67137-B
基因扩大	15-67214-S
基因擴大 基因扩大	15-67214-B
基因染色体异常	15-67286-S
基因染色體異常 基因染色体异常	15-67286-B
基因码	15-67403-S
基因碼 基因码	15-67403-B
基因組 基因组	15-67458-B
基因组	15-67458-S
基因表达	15-67507-S
基因表達 基因表达	15-67507-B
基团	15-67577-S
基團 基团	15-67577-B
基地	15-67626-S
基地 基地	15-67626-B
基地組織 基地组织	15-67751-B
基地组织	15-67751-S
基址	15-67812-S
基址 基址	15-67812-B
基坑	15-67901-S
基坑 基坑	15-67901-B
基多	15-67983-S
基多 基多	15-67983-B
基尔	15-70391-S
基层	15-68042-S
基層 基层	15-68042-B
基岩	15-68104-S
基岩 基岩	15-68104-B
基布兹	15-68154-S
基布茲 基布兹	15-68154-B
基床	15-68203-S
基床 基床	15-68203-B
基底	15-68292-S
基底 基底	15-68292-B
基底动脉	15-68330-S
基底動脈 基底动脉	15-68330-B
基底神經節孫損傷 基底神经节孙损伤	15-68429-B
基底神经节孙损伤	15-68429-S
基底細胞癌 基底细胞癌	15-68552-B
基底细胞癌	15-68552-S
基座	15-68635-S
基座 基座	15-68635-B
基建	15-68687-S
基建 基建	15-68687-B
基拉韋厄 基拉韦厄	15-68766-B
基拉韦厄	15-68766-S
基数	15-68825-S
基數 基数	15-68825-B
基於 基于	15-68873-B
基本	15-68956-S
基本 基本	15-68956-B
基本上	15-69022-S
基本上 基本上	15-69022-B
基本原理	15-69089-S
基本原理 基本原理	15-69089-B
基本多文种平面	15-69165-S
基本多文種平面 基本多文种平面	15-69165-B
基本定理	15-69285-S
基本定理 基本定理	15-69285-B
基本概念	15-69359-S
基本概念 基本概念	15-69359-B
基本法	15-69428-S
基本法 基本法	15-69428-B
基本粒子	15-69480-S
基本粒子 基本粒子	15-69480-B
基本要求	15-69552-S
基本要求 基本要求	15-69552-B
基本詞彙 基本词汇	15-69640-B
基本词汇	15-69640-S
基本需要	15-69704-S
基本需要 基本需要	15-69704-B
基板	15-69790-S
基板 基板	15-69790-B
基极	15-70004-S
基桑加尼	15-69832-S
基桑加尼 基桑加尼	15-69832-B
基桩	15-70066-S
基業 基业	15-69943-B
基極 基极	15-70004-B
基樁 基桩	15-70066-B
基民党	15-70118-S
基民黨 基民党	15-70118-B
基波	15-70189-S
基波 基波	15-70189-B
基準 基准	15-70239-B
基点	16-1950-S
基爾 基尔	15-70391-B
基督	15-70441-S
基督 基督	15-70441-B
基督圣体节	16-281-S
基督城	15-70544-S
基督城 基督城	15-70544-B
基督徒	15-70620-S
基督徒 基督徒	15-70620-B
基督教	15-70671-S
基督教 基督教	15-70671-B
基督教徒	16-0-S
基督教徒 基督教徒	16-0-B
基督教民主联盟	16-63-S
基督教民主聯盟 基督教民主联盟	16-63-B
基督教派	16-204-S
基督教派 基督教派	16-204-B
基督聖體節 基督圣体节	16-281-B
基石	16-418-S
基石 基石	16-418-B
基础	16-462-S
基础教育	16-602-S
基础设施	16-677-S
基础课	16-746-S
基础速率	16-817-S
基础问题	16-516-S
基礎 基础	16-462-B
基礎問題 基础问题	16-516-B
基礎教育 基础教育	16-602-B
基礎設施 基础设施	16-677-B
基礎課 基础课	16-746-B
基礎速率 基础速率	16-817-B
基站	16-893-S
基站 基站	16-893-B
基網 基网	16-939-B
基線 基线	16-1002-B
基线	16-1002-S
基网	16-939-S
基脚	16-1087-S
基腳 基脚	16-1087-B
基裡巴斯共和國 基里巴斯共和国	16-1137-B
基調 基调	16-1230-B
基諧波 基谐波	16-1316-B
基调	16-1230-S
基谐波	16-1316-S
基輔 基辅	16-1394-B
基辅	16-1394-S
基辛格	16-1451-S
基辛格 基辛格	16-1451-B
基里巴斯	16-1517-S
基里巴斯 基里巴斯	16-1517-B
基里巴斯共和国	16-1137-S
基金	16-1608-S
基金 基金	16-1608-B
基金会	16-1645-S
基金會 基金会	16-1645-B
基隆	16-1724-S
基隆 基隆	16-1724-B
基面	16-1776-S
基面 基面	16-1776-B
基音	16-1847-S
基音 基音	16-1847-B
基頻 基频	16-1896-B
基频	16-1896-S
基點 基点	16-1950-B
埼	16-2013-S
埼 埼	16-2013-B
埽	16-2043-S
埽 埽	16-2043-B
堀	16-2076-S
堀 堀	16-2076-B
堂	16-2107-S
堂 堂	16-2107-B
堂・吉河德	16-2153-S
堂・吉河德 堂・吉河德	16-2153-B
堂兄	16-2256-S
堂兄 堂兄	16-2256-B
堂兄弟	16-2341-S
堂兄弟 堂兄弟	16-2341-B
堂吉訶德 堂吉诃德	16-2433-B
堂吉诃德	16-2433-S
堂哥	16-2498-S
堂哥 堂哥	16-2498-B
堂堂	16-2580-S
堂堂 堂堂	16-2580-B
堂妹	16-2661-S
堂妹 堂妹	16-2661-B
堂姊妹	16-2748-S
堂姊妹 堂姊妹	16-2748-B
堂姐	16-2845-S
堂姐 堂姐	16-2845-B
堂弟	16-2930-S
堂弟 堂弟	16-2930-B
堂皇	16-3014-S
堂皇 堂皇	16-3014-B
堂而皇之	16-3065-S
堂而皇之 堂而皇之	16-3065-B
堄	16-3193-S
堄 堄	16-3193-B
堅 坚	16-3222-B
堅信 坚信	16-3283-B
堅信禮 坚信礼	16-3353-B
堅固 坚固	16-3431-B
堅固性 坚固性	16-3488-B
堅執 坚执	16-3542-B
堅壁 坚壁	16-3647-B
堅壁清野 坚壁清野	16-3723-B
堅如磐石 坚如磐石	16-3887-B
堅守 坚守	16-4018-B
堅定 坚定	16-4081-B
堅定不移 坚定不移	16-4145-B
堅定性 坚定性	16-4223-B
堅實 坚实	16-4293-B
堅強 坚强	16-4354-B
堅強不屈 坚强不屈	16-4405-B
堅忍 坚忍	16-4508-B
堅忍不拔 坚忍不拔	16-4554-B
堅持 坚持	16-4618-B
堅持下去 坚持下去	16-4753-B
堅振 坚振	16-4820-B
堅振禮 坚振礼	16-4889-B
堅挺 坚挺	16-4968-B
堅明 坚明	16-5041-B
堅果 坚果	16-5103-B
堅毅	15-52204-S
堅決 坚决	16-5141-B
堅決否認 坚决否认	16-5200-B
堅牢 坚牢	16-5271-B
堅硬 坚硬	16-5317-B
堅稱 坚称	16-5363-B
堅緻 坚致	16-5418-B
堅苦卓絕 坚苦卓绝	16-5477-B
堅貞 坚贞	16-5616-B
堅貞不屈 坚贞不屈	16-5684-B
堅貞不渝 坚贞不渝	16-5787-B
堅韌 坚韧	16-5888-B
堅韌不拔 坚韧不拔	16-5950-B
堆	16-6064-S
堆 堆	16-6064-B
堆垒	16-6111-S
堆垒数论	16-6168-S
堆壘 堆垒	16-6111-B
堆壘數論 堆垒数论	16-6168-B
堆放	16-6254-S
堆放 堆放	16-6254-B
堆栈	16-6439-S
堆案盈几	16-6308-S
堆案盈几 堆案盈几	16-6308-B
堆棧 堆栈	16-6439-B
堆满	16-6496-S
堆滿 堆满	16-6496-B
堆砌	16-6537-S
堆砌 堆砌	16-6537-B
堆积	16-6663-S
堆積 堆积	16-6663-B
堆龍德慶 堆龙德庆	16-6706-B
堆龙德庆	16-6706-S
堇	16-6797-S
堇 堇	16-6797-B
堈	16-6847-S
堈 堈	16-6847-B
堉	16-6882-S
堉 堉	16-6882-B
堊 垩	16-6916-B
堋	16-6960-S
堋 堋	16-6960-B
堌	16-7001-S
堌 堌	16-7001-B
堍	16-7033-S
堍 堍	16-7033-B
堎	16-7069-S
堎 堎	16-7069-B
堑	16-22952-S
堕	16-30223-S
堕云雾中	16-30454-S
堕楼	16-7103-S
堕楼 堕楼	16-7103-B
堕胎	16-30261-S
堕落	16-30333-S
堙	16-7159-S
堙 堙	16-7159-B
堝 埚	16-7205-B
堞	16-7236-S
堞 堞	16-7236-B
堠	16-7270-S
堠 堠	16-7270-B
堡	16-7311-S,16-7404-S
堡 堡	16-7311-B,16-7404-B
堡垒	16-7464-S
堡壘 堡垒	16-7464-B
堤	16-7502-S,66-37192-S
堤 堤	16-7502-B
堤坝	16-7528-S
堤壩 堤坝	16-7528-B
堤岸	16-7563-S
堤岸 堤岸	16-7563-B
堤防	16-7616-S
堤防 堤防	16-7616-B
堧	16-7671-S
堧 堧	16-7671-B
堨	16-7701-S
堨 堨	16-7701-B
堪	16-7739-S
堪 堪	16-7739-B
堪培拉	16-7777-S
堪培拉 堪培拉	16-7777-B
堪察加	16-7829-S
堪察加 堪察加	16-7829-B
堪察加半岛	16-7914-S
堪察加半島 堪察加半岛	16-7914-B
堪萨斯	16-8000-S
堪萨斯州	16-8060-S
堪薩斯 堪萨斯	16-8000-B
堪薩斯州 堪萨斯州	16-8060-B
