gibbs free energy	53-11296-B
go with it	44-48967-S
go with of foods	21-8874-S
go with the flow	66-44702-S
go with the stream	37-27118-S
go without than accept shoddy option	20-19187-S
go wrong	8-34132-S,8-39014-S,8-41336-S,37-11989-S
go yet	25-50428-S
go 圍棋 围棋	18-35529-S
go 圍棋 围棋 or chinese chess 象棋 etc	34-19699-S
go 成语 saw	27-18423-S,45-35301-S
goad along	68-8877-S
goal	1-72767-S,12-51323-S,16-37356-S,17-7761-S,19-22527-S,19-39885-B,24-44670-B,40-40345-S,45-14704-B,45-17169-B,45-17986-B,48-41833-B,54-55087-S,60-21900-S,62-32665-S
goal ball served by the goal keeper	65-23203-B
goal etc	50-54410-S
goal etc stubbornly	61-58919-S
goal keeper	19-22597-B,65-23203-S
goalkeeper in soccer	29-16485-S
goalkeeper soccer	65-21948-B
goalmouth	52-62585-S
goalmouth in soccer	42-52909-B
goals	22-33042-S
goat	16-24591-S,21-31967-B,51-10022-S
goat antelope	26-54506-B,51-9872-S
goat in passing 成语 saw	68-24662-S
goat man	51-209-B
goats	51-15177-S,52-50402-S
gob smacked	17-8847-B
gobang	3-48795-B
gobble	17-8721-B
gobble up	12-65023-S
gobi desert	26-4377-B,26-4422-B,26-4486-B,26-4540-S
goblet	11-17396-B,16-30147-B,16-39761-B,34-62449-B,57-46929-B,57-54113-B,57-54150-B,63-40201-B,63-52132-S,64-50873-S,64-51439-B,70-21124-B
goblets	15-53921-S,43-8500-S
goblets on a stream	40-10619-S
goblets used by the duke of zhou hosting his vassals	15-57374-S
goblin	5-21171-B,18-34433-B,20-62519-B,46-51389-B,67-51603-S
goblin in chinese mythology usually depicted as a monkey	40-54099-S
goblin spirit	48-52303-S
goblin that kills or harms people	19-58740-B
goblins	41-7089-S,46-62931-S,70-34004-S
goblins hold no fears for me	57-29958-S
god	1-15945-S,1-48200-B,1-49397-B,4-10913-S,4-10913-S,5-22179-S,11-39470-S,15-32107-S,16-28320-S,17-43266-S,17-43581-S,17-51928-S,17-61763-S,18-52470-S,19-22413-S,19-29226-S,22-58667-S,30-11919-S,31-11081-S,32-37586-S,32-68694-S,36-45023-S,40-45629-S,41-52202-S,42-26012-S,43-924-S,45-44082-S,45-45036-S,46-55300-B,46-58629-S,46-61604-S,46-61764-S,46-62409-S,47-36920-S,51-26464-B,51-26510-B,51-40453-S,54-62220-S,56-52506-S,57-360-S,58-4365-S,60-8639-S,62-18698-B,63-40311-S,64-44742-S,65-23469-S,65-34940-S,67-51013-S
god and the holy spirit	56-11272-S
god associated with yellow river	37-18597-S
god became man	46-57751-B
god forsaken	33-26608-B,39-7372-B,54-63434-B
god in hinduism	33-67594-S
god in norse mythology	23-32998-S
god of city	66-39474-B
god of fire	40-23670-B
god of longevity	16-38622-B
god of love in translation	25-37091-B
god of the north sky	42-27749-S
god of the people 成语 saw	36-19315-S
god of the winds	15-58019-S
god of thunder	49-26860-S
god of thunder strikes bean curd	67-22389-S
god of war	69-39940-S
god of wealth	36-10464-S,59-34066-S
god or ancestral spirit	56-27640-S
god or spirit	46-56051-S
god the father in christian gospel	66-7136-S,66-7237-S
god the father in the christian trinity	51-48780-B
god the son in the christian trinity	51-46251-B
god worshipped by a religious sect	30-1093-S
god 成语 saw	18-4374-S
godchild in christianity	30-1924-B
goddess	18-21896-B,18-57484-S,18-59787-S,32-26090-S,32-26781-S,46-56452-B,51-47806-B,55-40204-S
goddess in greek mythology	71-37404-S
goddess matsu	17-47037-S
goddess of fertility	17-46138-B,18-62950-S,19-809-B
goddess of love	66-1866-S
goddess of the moon	66-10879-S
goddess of wisdom and arts and consort of lord brahma	61-37529-S
goddess peak nepalese sagarmatha	51-48012-B
goddess xi wangmu 西王母	4-29187-S,56-17537-S
godess	18-50482-B,18-62892-B
godfather	17-5443-B,30-3618-B
godhead	46-58078-B,46-58872-B,46-62655-B
godliness	40-1179-S
godmother	3-24372-B,30-3471-B
godric gryffindor	33-68110-B
gods	5-23725-S,20-33911-S,20-33982-S,38-24136-S,45-7227-S,46-56878-S,46-57065-S,46-57862-B,70-31516-S
gods and buddhas	46-55788-B
gods and demons	70-31956-B
gods and demons from a distance 成语 saw	30-13076-S
gods and devils 成语 saw	46-57228-S
gods and immortals	46-61494-S
gods appear and devils vanish 成语 saw	46-55891-S
gods at work 成语 saw	70-31065-S
gods love die young	17-45840-S,55-45303-S
gods of earth and grain	46-50228-S
gods or ancestors	18-4042-S,46-65142-S
gods or the dead	49-23318-S
gods to descend to the world of mortals	1-61781-S
goeringii	55-44129-S
goes	44-55024-S
goes 	58-24843-S
goes against one s conscience	31-36775-S
goes back to the dim and distant past	39-16104-S
goes his own way 成语 saw	12-29209-S
goes out to work	26-43566-S,26-43662-S
goes through its problems 俗语 common saying	19-61691-S
goes without saying	2-8160-S,2-29084-S,32-61123-S,68-52159-S
goethe 1749 1832	35-25969-S
goggle eyed	45-54141-B
gogh	8-29476-S
goh chok tong prime minister of singapore	12-69595-B
going	7-24777-S,31-39098-S,38-48806-S,47-6356-S,62-149-S,62-511-S,66-43203-S
going against rule	62-57528-S
going against the current 成语 saw	61-67446-S
going against the rules	45-63852-S
going alone 成语 saw	42-18139-S
going around a mountain	45-10796-B
going as far as to	43-15608-B
going as fast as possible	39-38121-B
going beyond	60-40094-B
going junk	53-39552-S
going on	2-13880-S,24-30901-S,24-52074-S
going ship	38-23488-S
going smoothly	68-26932-S
going through a pass	34-23476-S
going to	20-36848-B,20-37159-S,57-24601-S
going to do sth	23-64931-B
going to extremes in meting out punishment	2-17994-S
going to press	44-32386-S
going too far	62-44635-B,67-63263-B
going too far 成语 saw	62-64661-S
going very well	11-49457-S
going vessels	53-37440-S
going while some hope is left	1-72767-S
going with nature and the seasons traditional chinese medicine concept	68-24243-B
going wrong	44-54922-S
goiter	44-22070-B
goiter enlargement of thyroid gland	43-40991-B
goitered gazelle gazella subgutturosa of xinjiang	70-56658-B
gol city in inner mongolia	67-42693-S
gol league	64-46353-S,64-46423-S
golan heights	26-4855-B
gold	3-55379-S,10-51659-S,12-65688-S,28-36354-S,42-58506-S,49-20804-S,64-9047-B,64-16305-S,64-35043-B,64-56684-S,65-43075-S,71-24008-B
gold 20 taels in weight	64-55648-B
gold alloy containing stated proportion of gold	65-43075-S
gold alms bowl of a buddhist monk	64-13884-B
gold and jade	64-12766-B
gold and jade in glorious splendor 成语 saw	64-13284-B
gold and silver	64-16147-B
gold au	64-7316-B
gold bar	34-56307-S
gold can t buy you an interval of time 俗谚 common saying	20-31887-S
gold coin	64-10339-B
gold collar	64-17510-B
gold color	64-17932-B
gold fears no fire 谚语 proverb	45-45231-S,45-45406-S
gold inlaid work	64-22624-B,64-22664-B
gold into base metal 成语 saw	71-42276-S
gold leaf	10-19025-S
gold medal	64-12632-B
gold mine	51-54184-B
gold on one throw 成语 saw	1-9947-S,10-51803-S
gold or silver into money	27-8630-S
gold ornaments	64-17666-B
gold standard	64-11283-B
gold star	64-11065-B
gold 俗谚 common saying	1-6909-S
gold 成语 saw	1-20949-S,10-51965-S,10-52099-S,49-23181-S,64-15617-S,71-41263-S,71-42567-S
goldbach conjecture in number theory	13-43080-S
golden	64-14109-B,64-17876-B
golden age	45-4138-S,71-46974-S
golden age of qing dynasty from kang xi to qian long emperors	23-1219-S
golden clan	25-35539-S
golden colored	71-23507-B
golden crow	64-12529-B
golden crow that lives in the sun	64-12529-S
golden eagle	70-57279-B
golden flower	13-38343-S
golden flower 2007	39-36865-S
golden globe award	64-12923-B
golden horde ancient state	64-10253-B
golden horn bay in vladivostok famous for its pollution	64-15499-S
golden horse film festival and awards	64-17714-B
golden lotus	39-58068-S
golden lotus 1617	64-12988-S
golden opportunity	53-41950-S
golden orchids	64-14685-S
golden oriole	70-58284-B
golden pheasant	51-19772-B,64-45924-B
golden ratio	71-24048-B
golden retriever dog breed	64-11655-B
golden section	71-24048-B
golden snub nosed monkey rhinopithecus roxellana	64-13694-B
golden triangle southeast asia	64-7346-B
golden week	71-24132-B,71-24371-B
golden yellow	64-17876-B
goldfish	64-17835-B
goldman sachs	70-18549-B
goldsmith	64-8162-B
golf	1-20077-S,1-41228-S,1-50952-S,1-60241-B,7-26653-S,11-9886-S,18-36660-S,26-50550-S,26-50615-S,28-49724-S,30-62412-S,33-36536-S,34-8836-S,34-54476-S,36-10870-S,36-47609-S,37-15106-S,42-51563-S,42-51786-S,42-52334-S,42-52400-S,44-31596-S,45-39122-S,50-24649-S,50-33778-S,60-16827-S,60-16875-S,61-10388-S,61-10452-S,61-10511-S,65-19079-S,65-38946-S,70-18158-B,70-18215-B
golf ball	70-18158-B,70-18215-B
golf club	32-53395-S,65-3706-S
golf course	33-7900-B,42-51476-B,42-52851-S,70-18283-B,70-18432-B
golf hole in one	1-12068-B
golf links	70-18432-B
golf team competition	54-39840-S
golfer s association pga	51-68621-S
golgi apparatus	70-18090-B
goliath	13-42781-B
golmud or ge ermu city in qinghai	33-67778-B
golog tibetan autonomous prefecture in south qinghai	33-37179-B,33-37265-B,33-37363-B
gome in japanese	48-51677-S
gomoku	3-48795-S
gomorrah	13-38697-B,26-28034-S,26-28096-S,49-26404-S,56-1775-S
gompsocleis mikado	56-15501-B
gonad	24-63110-B,43-21960-B
gondola of cable car	12-44003-B
gone	4-6697-S,55-15928-S
gone bad and it cannot be sold	63-40807-S
gone beyond recall	23-61825-B,30-60108-S
gone can never come back	52-5283-S
gone forever	1-4005-B,36-52991-B
gone missing	2-21158-B
gone soft	63-42357-B
gone to the dogs	19-38409-B
gone with the wind film	3-26218-B
gone without a trace	1-4070-B
gong	19-57171-S,23-7106-S,23-25549-S,30-13650-S,64-30706-S,64-43862-S,65-8239-B,65-8266-S,71-63460-S
gong 1019 1083	32-16822-S
gong an county in hubei	7-58825-B
gong bao chicken	19-57856-B
gong chinese spiritual practice	37-34866-S
gong county in henan	68-7473-B
gong county in sichuan	42-44358-B
gong is ready	65-8348-S
gong li	68-7321-B
gong or duke of thunder	67-22327-S
gong organization	37-34950-S
gong used by street peddlers	14-6758-S
gong used to halt troops	64-24692-B
gong1	51-25818-S
gongbujiangda place in tibet	21-55167-S
gongchen place in guangxi	25-4032-S
gongcheng 12th century	48-30686-S
gongcheng 範公偁 范公偁	62-44983-S
gonggar	59-34505-S
gongjue place in tibet	59-34832-S
gongkar or gonggar	59-34505-B
gongliu place in xinjiang	68-7407-S
gongnong area area in sichuan	44-41181-S
gongpu 1946	33-1111-S
gongquan	33-50792-S
gongquan 778 865	33-48884-S
gongs	26-45636-S
gongsun	7-58378-S
gongsun qi 258 bc	7-58442-B
gongyang s annals or commentary on 春秋	7-63709-S,7-63802-S
gongyin 1631 1700	66-27732-S
gongzhu county level city in siping 四平	7-53963-B,7-54052-B
gonodocophin hcg	49-49599-S
good	1-65809-S,1-67955-S,2-1309-S,2-3234-S,2-3606-S,2-4089-S,2-17776-S,2-17826-S,2-27617-S,2-32052-B,2-35836-S,2-36174-S,6-52907-B,6-58187-S,6-58456-B,7-62379-S,12-11803-S,13-33306-B,13-58429-B,14-61468-S,17-21195-S,17-57669-S,18-12092-S,18-26083-B,18-27607-B,18-27771-S,18-42567-B,18-51169-B,18-60489-B,21-64239-S,27-71150-S,28-105-S,28-45128-S,29-46523-S,30-12092-S,31-39998-S,31-41957-S,32-17057-S,32-31696-S,35-41702-S,37-11747-S,37-11989-S,40-5307-S,40-58096-S,41-60543-S,44-32060-S,44-32137-S,44-39451-S,47-12827-S,51-2540-S,51-64742-S,52-55940-B,53-40489-B,53-40767-B,53-40913-B,57-25838-B,57-42878-S,59-57929-S,60-19799-S,67-11146-S,67-50765-S,67-63194-S,68-44886-B
good a defect	26-60297-S
good action	18-26500-B
good actions	14-3932-B
good advice 成语 saw	24-11114-S
good agricultural land	53-42304-B
good and bad	8-48969-S,18-27261-B,18-28713-B,65-18384-B
good and bad intermingled	71-61068-B
good and bad luck in astrology	12-39010-B
good and bad people intermingled	53-42995-B
good and evil 成语 saw	23-58150-S
good and expose vice	23-58150-S
good and honest	14-3867-B
good appearance	60-2582-B
good as	1-65638-S,1-74745-S,2-1842-S,2-3996-S
good as in former times	4-23224-S
good as it gets	45-7946-S
good as it looks	55-52848-S
good as the others	53-4008-S
good aspects	65-19203-B
good at	2-1907-S,6-17990-S,14-3567-S,27-55086-B,29-18149-S,29-18563-S
good at arguing	14-4105-B
good at everything	8-6370-B
good at feathering one s own nest	43-29895-B
good at singing and dancing	52-27625-S
good at sth	14-3008-B,57-31457-S
good at using something	14-3805-S
good bird chooses a tree to nest in proverb	53-42517-S
good breaks	22-51829-S
good breed	53-42691-B
good breeding	12-59222-B
good business	43-29895-S
good bye	2-33063-S,8-9890-B
good bye to	13-8843-S
good care of	13-16164-S,25-37907-S
good care of or conserve one s health	5-41679-S
good care of yourself	42-44002-S
good cause	26-7768-S,49-43629-S,51-14331-S
good chance	53-41950-S
good chance of success	17-21418-S
good chinese wood oil tree aleurites cordata	53-41867-B
good citizens	45-2593-B
good comes out of a setback	14-61468-S
good condition	2-6357-S,18-27771-S,19-37155-S
good condition as a horse	69-47646-S
good consequences	53-41374-S
good deal of	18-26545-S,58-47817-S
good deeds	14-3106-B
good doctor	53-43552-B
good effect	41-59490-S
good enough	21-63540-S,21-63777-S,22-1126-S,35-19821-S
good environment	9-37553-S
good evening	31-44719-B,31-44951-B
good examples	19-17602-S
good eyes	45-48722-S
good faith	24-46413-B,48-58230-S,58-28816-S,58-29288-B,62-55804-S
good family	53-41045-B
good figure	68-54341-B
good fit	13-6794-B
good for	9-6857-S,40-58096-S
good for nothing	2-22668-B,41-11986-B,47-56251-B,52-51463-B
good for nothing or queer character	20-30676-B
good for one	2-21414-S
good for poles	48-34223-S
good fortune	14-29561-B,22-51572-S,27-9271-S,27-9340-S,46-65498-B,47-2688-B,47-2932-B,47-4914-S,47-5163-B
good fortune fills the heavens 成语 saw	37-61943-S
good foundational training	9-48506-S
good friday	51-40968-B
good friend	18-28528-B,53-40651-B
good from bad	2-30281-S
good general	23-43572-S
good general chooses a lord to serve under	53-42517-S
good graces	67-56769-B,67-56895-B
good gracious	17-45068-B
good habits come by long assimilation	41-13067-B
good harbor	53-42256-B
good health	19-27777-B,69-11390-S
good hearing in fiction	68-27131-S
good hope	18-28584-S
good horse	69-57109-B,69-64742-B,69-64814-B
good idea	53-42762-B,67-52023-S
good intention	18-28363-B
good intentions	18-28238-B
good karma	53-42816-B
good living standard	20-63713-S
good location and the people satisfied	15-38707-B
good looking	3-1049-B,11-63186-B,18-29098-B,18-41946-B,18-44769-B,23-65921-S,45-54036-B,51-9131-B
good looking 成语 saw	26-38859-S
good looks	59-27737-B,60-12689-S,68-54341-B
good looks shamelessly	53-17287-S
good luck	9-27726-S,14-44714-S,18-29870-B,34-3654-B,47-4914-B,49-13730-B,60-14168-S,62-64534-S,66-64437-S
good meal	17-41032-S
good meat	51-1168-S
good medicine	53-41670-B,53-43083-B
good medicine tastes bitter 成语 saw	53-43202-B
good moral standing and reputation	24-29131-S
good morning	31-12985-B,31-13454-B
good name	67-47540-S
good natured	13-21727-B,24-31477-B,24-36561-B,39-19541-B,51-27661-B
good news	14-8065-S,14-9327-B,16-9625-S
good news 成语 saw	14-7241-S,17-10423-S
good night	18-29144-B,31-44951-B
good of society	9-47990-S
good opinion	18-28419-B
good or bad	6-28404-S,62-40189-S
good or bad locations	15-44296-S
good or service is required in return	61-26637-S
good order	30-14635-S
good order 成语 saw	3-56796-S
good people	53-42019-B
good person	18-28648-S
good plan	53-40808-B,53-41670-S,53-42762-B
good point	1-14500-S
good remedy e g to a social problem	53-43083-S
good repair	5-34434-S,5-34645-S,5-41679-S
good reputation	38-5562-S,51-9063-B
good reputation to last a hundred generations	43-51512-S
good reputation to last down the generations	43-51409-S
good soldier švejk schweik	18-26775-S
good solution	53-43083-S
good son or daughter	19-9985-S
good talk	6-49410-S
good tasting	52-36590-B
good terms	57-25555-S
good terms with	20-57602-S
good terms with one another	56-11177-S
good things to see	45-15431-S
good timber	53-41777-B
good times and hard times	12-50029-S
good times and hardships	43-14967-B
good to	18-26083-B
good to be said about it	2-9460-S
good treatment	25-43426-S
good turn	4-9478-S,22-35810-S
good turn deserves another	14-3623-S
good virtuous	14-3008-B
good way	53-14210-S
good weather for crops	68-57227-B
good while back	53-40533-S
good wife	59-58073-S
good will	14-3439-B,27-43713-S
good wine	63-46478-B
good wishes	40-62943-S,46-54683-S
good with evil	62-57206-S
good without considering one s personal interests	7-63952-S
good words	14-4060-B
good works	56-32114-S
good 成语 saw	38-36525-S,55-52848-S
goodbye	8-8982-B,23-28008-S,62-49835-S
goodness	13-15990-S,14-10021-S,17-44932-S,24-23888-B
goodness sake	17-45068-S
goodness that s worked out so well	58-56153-S
goods	1-12737-S,3-38942-S,3-38942-S,3-72069-S,4-45182-S,5-23160-S,5-29070-S,5-58848-S,6-49464-S,6-64868-S,7-23332-S,8-11340-S,8-36385-S,8-39565-S,8-45363-S,9-11306-S,10-15840-S,10-57681-S,13-54369-S,19-44282-S,19-47949-S,19-48030-S,20-3109-S,21-55822-S,26-8990-S,27-10396-S,27-10396-S,27-50267-S,28-42563-S,28-42563-S,29-64557-S,30-9711-S,31-12233-S,32-51789-S,35-11306-S,35-21770-S,35-60737-S,36-46693-S,37-52067-S,38-32373-S,41-53378-B,43-22801-S,43-31510-B,43-34539-B,47-462-S,49-53638-S,50-18232-S,51-22061-S,51-37026-S,57-3844-S,57-3998-B,57-57620-S,58-6405-S,59-37134-B,59-37579-S,59-37729-S,59-37781-S,59-37831-B,59-38174-S,60-4429-S,60-13297-S,61-60272-S,61-62371-S,62-14457-S,62-42149-S,64-34209-S,64-37473-S,66-29843-S,66-44905-S,67-3854-S,67-3907-S,67-6119-S,67-6300-S,69-58326-S,69-59079-S
goods and ideas	21-42451-S
goods and materials	41-54707-B
goods at customs	16-11316-S
goods by bartering not involving money	53-9413-S
goods delivered and the bill settled	7-47929-S
goods etc	52-32616-S
goods for a living esp by donkey	60-29054-S
goods for export	8-36674-B
goods in former times	37-52067-S
goods in great demand	41-22471-B
goods in the command economy that are not graded by quality and uniformly priced	49-53638-B
goods in transit	6-45010-S
goods not yet dispatched	32-58671-B
goods or passengers	34-23271-S
goods or services	65-41699-S
goods sold by bulk	30-9711-B
goods to a destination	8-45968-S
goods to a relief effort	28-3905-S
goods train	59-38249-B
goodwill	14-3439-B,57-38304-B
goody	18-27661-S
goody goody	18-27661-S
goof off	6-22899-S
google internet company and search engine	59-15535-B
goose	13-56134-S,17-39402-S,66-52718-S,70-53753-S,70-55453-S,70-55979-S,70-56570-B
goose anser indicus	30-33084-S
goose bumps	67-7763-B
goose chase	60-30855-S,65-9835-S,65-10101-S
goose comes	5-19900-S
goose feather sent from afar 成语 saw	10-51192-B,10-51499-B
goose feathers 成语 saw	70-56753-S
goose pimples	67-7763-B
goose step for military parades	35-37617-B
gooseberry	9-12635-B,18-1248-S,23-51549-S,42-26635-S,54-11517-B,63-47174-B
goral	30-32965-S
gorbachev	26-4744-B
gorbachev 1931 	26-4744-S
gordian knot	24-47601-S,24-47790-S
gordon brown 1951 	22-15856-B
gore	42-888-S,56-24510-B
gore 1948 	26-4685-S
gore name	26-4685-B
gorge	21-40600-B,21-49367-S,21-62828-S,39-18218-B,42-9293-B,45-60890-S,59-15745-S,59-16024-S,59-16128-B,66-19113-S
gorge national park in hualien county	17-62545-S
gorgeous	49-48840-B,49-48907-B,49-48968-B,50-11593-B,53-46386-B,54-33942-B,54-35808-B,54-36530-B,68-13571-B
gorgeous clothes 成语 saw	49-11618-S,49-64792-S
gorgeous of woman	6-47257-B
gorgeous than the other	48-1289-S
gorgeously dressed woman	53-57403-S
gorges	1-34134-S,1-34134-S,21-62735-S,46-56493-S,65-16239-S
gorges dam	1-33918-S,19-61539-S
gorges dam on the changjiang	1-34218-S
gorges reservoir	1-33982-S,1-34052-S
gorilla	17-27527-B
gorkii 1868 1936	70-18009-S
gorkii name	70-18009-B
gorlos mongol autonomous county in songyuan 松原	9-25338-S,9-25524-S
gorlos township	9-25626-S
goshawk	55-4253-B
gosip	29-55093-B
goslar	26-4627-B
gospel	19-55856-S,22-17958-S,47-5962-B,66-7136-S,66-7237-S
gospel according to st john	49-7468-B,53-66368-B
gospel according to st luke	60-41686-B
gospel according to st mark	69-34942-B
gospel according to st matthew	43-1651-B,69-35735-B
gospel book of the christian new testament	47-6001-B
gospels i e matthew	48-7241-S
gossip	6-33349-S,7-49612-S,11-69845-B,27-54589-S,29-31117-B,38-6395-B,38-6458-B,41-36428-S,47-49516-S,51-43554-S,58-8746-S,58-33219-S,58-33789-S,58-44834-S,58-55682-B,62-51775-B,65-45409-S,65-45464-S,65-45615-S,65-45719-B,65-45781-S,65-46257-B,68-62063-B
gossip and meddle	16-55268-S
gossip mongering	68-64268-S
got into you	2-82981-S,3-868-S
got it	45-64980-B
got to	54-55608-S
got up in western dress	57-22478-B
got working on them	3-49838-S
gothenburg city in sweden	13-43010-B
gothic	13-43711-B
gotten gains	8-58535-S,35-10145-S,44-30442-S
gotten wealth or gains	2-25303-S
gottfriend wilhelm von leibniz 1646 1716	54-39729-B
gou	50-24312-S,53-65753-S,54-8394-S
gou jian of yue c 470 bc	10-12952-S,60-27370-S
gou quan dog fist martial art	42-7348-B
gou1	5-9264-S
gourd	10-20385-S,43-8618-B,43-10019-B,53-67772-S,54-59792-S,54-59847-S
gourd cucurbitaceae	8-16262-S
gourd 成语 saw	41-9267-S
gourmand	69-20480-B
gout	12-29586-S,12-29750-S,44-15044-B
gov offices of equal rank	13-28185-S
gov on affairs of state	13-28185-S
govern	3-8636-S,3-8697-S,19-58203-B,37-24078-S,37-24766-S,49-52202-S,49-53928-S,61-20322-S
govern from the imperial throne applies esp to empress dowager or regent	52-58504-S
governance	7-57333-S,48-26490-B
governed by simple rules	38-49493-S,38-56474-S
governess	18-37794-B,18-42644-B,18-56747-B
governing a border area	63-11886-S
governing capacity	15-65135-B
governing method	15-65008-B
government	1-68297-S,2-58495-S,2-66851-S,2-73944-S,7-65483-S,7-71345-S,8-55843-S,10-25344-S,12-24485-S,15-41557-S,19-40239-B,19-41458-B,19-41886-S,22-12993-S,22-34287-S,22-62727-S,24-26976-S,25-57513-S,29-53675-B,29-54510-B,29-54953-S,29-57093-S,29-57997-S,29-58075-S,29-58075-S,30-2485-S,36-19773-S,37-62924-S,38-60927-S,39-6016-S,39-39562-S,45-34632-S,49-5886-S,51-4123-S,51-4123-S,51-60066-S,51-63962-S,52-58139-S,59-52142-S,60-65284-S,60-65339-S,63-64082-S,66-25115-S
government 1920s 1949 under chiang kai shek 蔣介石 蒋介石	15-10560-S
government administration	71-44703-S
government affairs	29-53729-B,29-53846-B,29-57292-B
government against darfur rebels	59-53751-S
government army	19-42966-S,29-55367-B
government body in taiwan	56-33428-S
government bond	7-54938-B
government bonds investments	29-54555-B
government branch	29-55428-B,56-33269-S
government by usurper	6-51965-B
government cabinet	7-33089-B,65-47795-B
government circle	29-54056-B
government circles	29-57354-S
government debt	15-1894-B
government decree	29-53792-B
government employee	6-14800-S
government employee who doesn t do any work	19-40415-B
government employees	19-40296-S
government etc department	63-23356-S
government from tang to qing times	22-63059-S
government funded	19-42892-B
government granary	23-15924-B
government in 1043	25-52292-S
government in 1948	64-7553-S,64-8562-S
government in a command economy	47-42538-S
government in exile e g of tibet	38-1909-B
government in imperial times	44-62034-S
government in premodern japan	22-34287-S
government in their 1930s campaigns against the communists	9-38657-S
government in washington	54-33878-S
government is fiercer than a tiger 成语 saw	53-65325-S
government job	8-38872-S
government league	12-19272-S
government loan to agriculture	61-42722-B
government minister	9-33672-S
government of china	2-81022-S,38-60524-S
government of northern china that developed from the qing beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-S
government of tibet	14-38237-B
government office	7-63605-B,29-54953-B
government office in feudal china	56-36821-B
government official	14-37751-S,14-38167-S,14-38824-S,19-40876-B
government official drives the people to revolt 成语 saw	19-43096-S
government official living in one s village	63-30406-S
government open system interconnection profile	29-55093-B
government operated newspaper	35-5683-S
government oppresses the people	42-28888-S
government or private sector for which no good or service is required in return	61-26637-S
government organization	29-54874-B
government owned	15-9650-B
government position	67-7583-S
government post	61-36629-S
government protest	11-49872-S
government report	26-57311-S
government repository archive	22-62727-B
government run	19-43030-B
government under sun yat sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
government viewed as an organization	29-54953-B
government warning	29-55291-B
government workmen	19-41520-B
governmental	36-23351-S,55-29008-S,67-65194-S,67-66242-S
governmental office or post	29-22506-S
governmental organization ngo	67-65256-S
governments	36-23351-S,41-7938-S
governor	21-50831-S,29-13652-S,48-28795-S
governor general	45-56382-S,50-34377-B
governor general of australia	40-2824-B
governor general 总督 and inspector general 巡抚	45-56298-B
governor in ming and qing times	20-33800-S
governor in qing and ming times	28-40867-S
governor in tang dynasty administration	50-34248-S
governor of a province	17-57959-B,45-34943-B
governor of a province or colony	9-32246-S,21-50831-B
governor of guangdong and guangxi	7-44682-B
governor of us state	9-32246-S
gown	46-52214-S,56-49099-S,56-49191-S,57-10692-S,62-25221-B,65-19377-S,65-19497-B
gown lined	56-50263-B
gown or robe	57-12397-B
gowns	57-7762-S
gps	7-38905-S,43-6504-S,56-37661-S
grab	26-54070-S,26-67574-S,26-67634-B,28-2182-S,28-48260-B,28-61673-S
grabbing	27-109-S
grabbing headline	63-48287-S
grace	6-58655-B,16-30333-S,24-35993-S,25-1752-B,25-2226-B,60-56650-S,68-18192-B,68-18377-B,68-54714-B,68-59179-B
grace in poetry or art	46-62506-S
grace of heaven	11-60608-S
graceful	6-58401-B,6-58655-B,18-7959-B,18-50282-B,18-50909-B,18-51048-B,18-51675-B,18-51721-S,18-52623-B,18-55282-B,18-58540-B,18-60596-B,18-61022-B,18-61775-B,22-25877-B,47-11620-B,50-11870-B,56-55558-B,58-46147-S,61-11492-B,61-11492-S,65-45891-B,66-61792-B,68-54420-B,68-61074-B,68-61592-B
graceful bearing	68-54341-B,68-57782-B
graceful esp of female posture	69-64174-B
graceful like a swallow	60-57283-S
gracefully humble expression	43-14265-S
graces	67-56769-S,67-56895-S
gracilaria	36-60676-B,55-46832-B
gracious	17-45068-S,57-38035-B
gracula religiosa	71-707-S
grade	2-44733-S,2-44733-S,4-67700-S,13-33306-B,13-33361-B,22-49247-B,34-55859-B,35-12286-B,35-44991-S,41-61249-S,41-61486-S,48-17202-B,49-23769-B,49-23812-B,50-36682-B,51-32454-B,51-68937-B,60-22152-S,60-22202-S,60-44409-S,70-16699-S,70-19590-S,71-997-S
grade 2	3-40628-B
grade 3	1-39159-B
grade 4	14-52142-B
grade 5	3-52851-B
grade a	1-16843-B,43-41317-B,43-41371-B
grade a war criminal	43-41411-S
grade exam scripts	26-41159-S
grade i e quality	13-34368-B
grade material	33-58940-S,35-45046-S
grade of an official	13-34044-S
grade of goods	35-11306-B
grade one state protected species	15-4429-B
grade ore	59-36368-S
grade quality of product	13-34426-B
grade school	10-53030-S
grade slope	15-52309-B
grade splitting for road traffic	47-60282-B
grade wage scale system	7-52325-S
grade work	67-4127-S
grade worker	7-52246-S,7-52246-S
graded by quality and uniformly priced	49-53638-S
grader	22-38064-S,22-38064-S
grades	26-11352-B,49-23872-S
grades at school	42-47210-S
grades in school	42-47649-S
gradiant echo	34-16047-B
gradient	34-16007-B,39-21357-S,48-19315-S
gradual	39-55344-B,50-22340-B,62-30570-B
gradual change	39-55728-B
gradual change as opposed to revolution	29-45207-S
gradual forward progress	39-47060-B
gradual improvement by slow polishing 成语 saw	8-62321-B
gradual influence	41-12758-S
gradual loss of speech	62-30733-B
gradual process	8-62321-S
gradual progress	39-55826-B,62-60067-B
