werther	50-4199-B
whoever hung the bell on the tiger s neck must untie it 成语 saw	57-52888-S
whoever started the trouble should end it	57-52888-S
whole	1-109-B,7-33465-B,7-42284-B,12-36818-S,14-63073-B,15-69022-S,17-36868-S,17-41798-S,18-49633-S,19-36468-B,19-36682-B,19-37213-S,19-37290-S,26-8098-S,27-14313-S,27-50905-S,30-14635-B,30-14808-B,30-15382-B,30-16999-S,33-65584-S,33-66177-S,36-17922-S,39-9784-S,40-60440-B,49-50857-B,49-52817-S,50-34574-S,63-22791-S,65-51942-B
whole amount	7-36830-S
whole area	62-42531-S
whole area market	42-22085-S
whole audience	7-35747-S,39-37149-B
whole audience silent with expectation	39-36618-S
whole body	1-21496-B,7-41788-B,13-14012-B,62-42608-S
whole body and soul into a book	4-40149-S
whole body moves	41-62858-S
whole business	10-15175-S
whole business with all its processes	7-38525-S
whole class	7-38742-S
whole country	13-63360-S,13-63511-S,18-49081-S,21-30915-S,28-1260-S,36-59731-S,50-29530-S
whole course of an event from beginning to end	32-64546-S
whole day	1-6032-S,7-35958-B
whole day eating i e not doing any work	69-8525-S
whole duration of a competition or match	7-35747-B
whole edition	7-37812-B
whole face	39-41686-S
whole family	1-6732-S,1-6781-S,1-6851-S,7-36125-B,12-32943-B,12-33005-S,39-41525-S,65-51942-S,65-52015-S
whole family unto the third generation	39-41575-S
whole fish	30-15565-S
whole front in a war	7-40797-S
whole head clean	9-15978-S
whole heart	39-38329-S
whole hearted loyalty	27-11833-B,60-6677-B
whole heartedly	6-47737-S
whole into pieces	10-23835-S
whole is more than the sum of its parts	33-65584-S,33-66177-S
whole land	39-37941-S
whole land gets promoted to marquis	47-59704-S
whole length of a road or railway line	7-40797-S
whole life	32-36521-S
whole lifetime	1-707-S
whole lifetime 成语 saw	1-14717-S
whole lot	10-13782-S,10-13860-S
whole month	39-38947-B
whole nest came out to fight us	6-47487-S
whole nest came out 成语 saw	6-47614-S
whole night	24-29405-S
whole number	30-15501-B
whole of	43-54040-S
whole of america	7-40904-S
whole of china	17-43157-S
whole of history 成语 saw	32-2844-S,32-2964-S
whole of society	69-59387-S
whole page	41-45442-S
whole performance of chinese opera	7-37812-B
whole piece	30-59714-S
whole province	7-40136-S
whole scrolls	48-3099-S
whole show	10-18620-S
whole situation	7-41540-S
whole sky	39-37629-B,39-37673-S,39-52210-S
whole sky and cover the land	39-52309-S,39-52449-S
whole story	11-31634-S,18-38658-B,46-2496-S
whole story from small traces	20-10768-S
whole task at one stroke	43-54130-S
whole theater	10-13953-S
whole thing	10-15926-S,24-12277-S,30-16999-B
whole time	1-4536-S
whole tone musical interval	7-42835-B
whole town	60-36340-S
whole truth is revealed 成语 saw	45-43737-S
whole world	1-707-S,12-20247-S,17-43157-S,38-15928-S
whole year	7-36501-S,22-31097-S,22-50514-B
wholehearted	56-48956-B
wholeheartedly	1-8617-B,7-36688-B,9-17453-S,18-2800-S,45-41903-B
wholesale	26-49387-S,26-57270-B,60-52795-B,60-52827-S,60-52879-B,60-52978-S
wholesome	32-36801-B
wholly	54-47621-B
wholly owned often by foreign company	42-21739-B
wholly owned subsidiary	7-41688-B
whom the gods love die young	17-45840-S,55-45303-S
whoop	13-17606-B
whoopee	42-4594-B
whooping cough	44-54482-B
whoosh	13-18400-S,14-33946-B
whore	18-53060-B
whoredoms	38-46167-B
whorehouse	18-34381-B
whorl of fingerprint	56-14536-B
whose calligraphy serves as a model	30-27523-S
whose feathers can be used as poison	70-53455-S
whose flowers have a cross of 4 petals	10-46125-S
whose name has been put forward for an exam	51-33705-S
why	5-2129-B,18-11059-B,24-51613-B,24-51698-B,24-64501-S,32-9669-B,40-32224-B,40-32960-B,50-19161-B
why bother	5-2860-B,5-2928-B
why not	5-2175-B,45-3083-B
why not do sth 	5-2175-B
why on earth	3-23991-B,3-25831-B,22-52277-B,22-53187-B
why should	5-2419-B
why use a pole ax to slaughter a chicken	9-34347-B
wich in russian names	50-2889-S
wichita city in kansas	18-45957-B
wicked	8-48616-B,14-12167-B,25-18726-B,25-20541-B,35-55563-B,42-38061-B,63-18651-B
wicked and crafty	18-25658-B
wicked as personal foes	44-6890-S
wicked conduct	25-23175-S
wicked idea	63-18580-B
wicked intentions	48-5132-S
wicked intentions 成语 saw	24-33444-S
wicked scoundrel	19-58740-S
wickedness	25-20356-B,66-22063-S
wicker	48-34889-B
wicker basket	30-35308-S
wicker scoop	43-53189-S
wickerwork basket	48-45043-B
wicket door	5-30483-B,63-13459-B
wide	7-43127-S,17-3865-B,20-23946-B,20-24793-B,20-25375-B,20-25497-B,20-26242-B,20-26521-B,20-27905-B,23-10208-B,23-15327-B,28-65116-B,50-11809-B,53-16278-S,62-61090-S,65-43653-B,65-51011-B
wide and bright	20-23988-B
wide and knowledgeable	11-8882-B
wide and open	59-16637-B
wide angle camera shot	23-14982-B
wide angle lens	23-14918-B
wide area network	23-11213-B,23-11281-B
wide benefit 成语 saw	66-57782-S
wide blade	20-26291-S
wide bodied aircraft	35-5304-B
wide body	35-5304-B
wide expanse	17-27350-B
wide gap	26-2491-S,70-55688-B
wide learning and a retentive memory	11-9483-S
wide leaves	48-23253-B
wide margin	17-16794-S
wide meaning	20-26474-B
wide mouth	20-24316-B
wide ocean	62-62040-S
wide of the mark	2-27181-B
wide open	30-6260-B,65-36766-B
wide open spaces	23-11442-S,23-11540-S
wide paintbrush	9-12329-B
wide range	23-14199-B
wide ranging	50-36957-S
wide ranging and profound	11-6990-B
wide repercussions	37-13055-S,56-39524-S
wide room	24-30000-S
wide scale	17-11744-B,17-35190-B
wide screen movie	20-25588-B,20-27819-B
wide sense	23-14389-B
wide strips	37-21006-S
wide survey	50-30509-B
wide web	7-39920-S
wide web www	54-46662-S,54-46821-S
widely	6-41803-S,17-27350-S,26-24834-S,64-37950-S
widely circulated	45-4384-S
widely different	61-50081-B
widely esp as daoist priest or buddhist monk	23-15234-S
widely experienced	48-55910-S
widely experienced in the vicissitudes of life	32-16545-S
widely known	6-39910-B,62-14028-B,68-18816-B
widely known as	54-55279-S
widely read and knowledgeable	11-9608-B
widely rumored	45-4384-B
widely spread	23-12832-B,45-4384-B
widen	9-54111-B,16-26740-S
widen one s horizons	65-39891-S
widespread	31-47509-B,31-52259-B
widespread fraud in prc called 碰磁	46-31310-S
widespread fraud in prc involving deliberately crashing cars then demanding compensation	46-31176-S,46-31423-S
widespread suggestions	66-57782-S
widget small item of software	20-67929-B
widow	18-59533-B,18-62821-B,20-11260-B,20-11297-S,27-37113-S,30-59932-S,50-44309-S,61-22363-S,63-2376-B,63-2376-S,63-2514-B
widow a widow s way of referring to herself in former times	32-56080-S
widow remarrying	24-9982-S
widow s way of referring to herself in former times	32-56080-S
widow who remains unmarried	19-22116-S
widowed	20-11226-B,30-59005-B
widowed queen	42-33991-B
widower	70-46320-B
width	20-25336-B,20-25437-B,20-27253-B,20-27905-B,22-33702-B,22-33905-B
width of chest	52-24552-B
width of cloth	48-22205-S
wield	4-25681-S,53-32053-S
wield pen	28-64791-B
wield political etc power	28-14363-S
wield political power	29-55859-B
wield power	35-18431-B
wield power etc	15-64838-B
wield the pen	62-40701-S
wiesengrund adorno 1903 1969	42-5731-S
wiesengrund adorno 狄奧多·阿多諾 狄奥多·阿多诺 1903 1969	66-229-S
wife	3-35313-S,4-47363-B,4-58134-S,5-16661-S,5-16661-S,6-60030-S,7-43951-S,8-51836-S,9-19540-S,11-57124-S,12-47769-S,14-11992-S,16-49153-S,17-13989-S,17-14096-S,17-14164-S,17-57607-B,17-62858-S,17-63047-S,18-35347-S,18-35347-S,18-37291-B,18-37414-B,18-50314-S,18-51415-S,18-53166-S,18-58166-S,18-58287-S,18-59560-S,18-59560-S,18-61863-B,18-62613-S,19-14887-S,19-14887-S,19-61653-B,20-69502-S,21-60188-S,22-26349-S,23-33677-S,23-33758-S,23-33827-S,25-20200-S,25-32736-B,26-23858-S,26-26081-S,27-40376-S,50-44309-S,51-25293-S,51-26720-S,51-27137-S,53-21567-S,53-21622-S,59-58073-S,63-37495-S,71-48348-S,71-48348-S
wife and children	19-63527-S,27-35597-S,29-33977-S,45-46814-B,63-2434-S
wife confucianism	59-58073-S
wife fall out 成语 saw	17-62902-S
wife of a younger brother	18-51122-B
wife of father s elder brother	4-58819-B
wife of father s younger brother	11-57424-B,18-62485-B,18-62541-B,18-62694-B
wife of mother s brother	18-35300-B,53-21622-B
wife of older brother	18-40569-B
wife of paternal grandfather s younger brother	11-57620-B
wife of the last ruler of the xia dynasty	18-37228-B
wife of us president	48-8814-S
wife of zeus	60-8183-S
wife or concubine	18-37364-B
wife or husband	67-9281-S
wife s aunt	11-56791-B
wife s brother s wife	53-21567-B
wife s elder sister	17-13785-S,18-43485-B
wife s family	60-1866-S
wife s father	21-37366-B,21-37606-B
wife s mother	21-37497-B
wife s older brother	7-26336-B,17-32634-S
wife s older sister	17-13862-B,57-10799-S
wife s parent s house	60-1971-S
wife s sibling s daughter	16-48984-B
wife s sibling s son	16-48915-B
wife s sister s children	18-43850-B
wife s uncle	11-56732-B,11-57302-B
wife s younger brother	7-28320-B,20-69817-S
wife s younger sister	18-43416-B,20-62694-S,57-10922-S
wife the beautiful daughter of duke mu of qin 秦穆公	42-29584-S
wife together	12-37361-S
wig	6-10335-B,70-25182-S
wigeon anas penelope	71-234-B
wiggle	56-20778-S,56-20830-S
wiggle of worms	25-26586-S,56-21615-S
wiggling	56-21026-B
wightiana	34-39106-S
wiki	50-1921-B
wikipedia	38-30604-S
wikipedia free encyclopedia	50-1958-B
wilayiti	14-1063-S
wilbur 1908 1997	68-10158-S
wild	15-61402-B,25-25368-S,42-5232-S,42-11524-B,42-11557-B,42-11661-B,44-17065-B,52-21340-S,56-23495-B,64-2877-B,64-4068-B
wild ambitions	64-3549-B
wild animal	42-15313-S,64-3932-B,64-4122-B
wild area for cultivation	65-32586-S
wild beast	59-27837-B
wild beast e g lion taming	57-64499-S,69-44778-S
wild beasts	42-9857-S
wild boar	59-24422-S
wild boar rushes 成语 saw	42-9857-S
wild cabbage	55-10798-B
wild cabbage brassica oleracea	64-3983-S
wild cat	42-8730-B,55-55858-S,59-27807-B,64-4190-B
wild duck	64-4673-B,70-53424-B
wild fantasy	18-32813-B
wild fauna and flora	40-14224-S
wild flower	64-4281-B
wild ginger	49-33949-B,55-43876-S
wild ginger plant	33-10114-S,33-10183-S,55-36290-S
wild goose	13-56134-S,17-39402-B,66-52718-B,70-53753-B
wild goose chase	60-30855-S,65-9835-S,65-10101-S
wild grain	47-43823-B
wild grief	25-53405-B
wild hair	70-27984-B
wild horse	59-27837-B,64-4631-B
wild horse of central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
wild language	42-5023-B
wild onions or leeks	68-13781-B
wild pigeon	70-53357-S
wild red basil	55-37341-S
wild rice shoots	54-9906-B
wild rose	54-5351-B,55-21694-B
wild schemes	64-3549-B
wild tribe	59-27655-S
wild tribes in south china	42-17485-B
wild with joy	35-31722-B
wild with joy 成语 saw	35-22187-B
wild wolves 成语 saw	42-10015-S
wildcat	64-4470-B
wilderness	15-54028-B,32-2556-B,32-3540-B,54-18742-B,64-3479-S
wilderness in northern china	10-29935-S
wilderness isaiah	32-3585-S
wildest thing	43-61431-S
wildfire	2-25383-S,2-26091-S,18-31059-S,21-31437-B,25-18892-S,64-3729-B,64-3729-S
wildlife fund wwf	2-40895-S
wildly	42-4937-S,52-20963-S
wildly coll 	60-54926-S
wildly set phrase	42-5379-S
wilful trouble maker	40-57001-B
wilfully	50-28991-B,52-3763-B
wilhelm conrad röntgen or roentgen 1845 1923	6-3425-B
wilhelm liebknecht 1826 1900	33-1344-B
wilhelm name	18-46722-S
wilhelm von hofmann 1818 1892	67-42271-S
wilhelm von leibniz 1646 1716	54-39729-S
will	2-8746-S,4-43119-S,14-3439-S,18-18181-S,20-36507-B,20-37159-B,24-32467-B,24-40725-B,24-44456-S,25-21332-S,25-29168-B,25-31263-S,27-43713-S,32-21986-B,32-32994-S,32-33482-S,36-20392-S,36-20392-S,42-40017-S,48-58296-S,53-10797-S,62-56960-S,63-2178-B,66-43747-S
will affect everything else	41-62858-S
will arouse the envy of others	26-1115-S
will be ample time for that later	5-18148-S
will be an outcry	2-7425-S
will be the next to come after shakyamuni buddha	23-50577-S,23-50710-S
will break loose	17-29674-S
will bring about your own destruction	16-63216-S
will cause	20-36848-B
will cry out against injustice	2-7425-S
will develop	57-29726-S,57-35272-S
will develop into a pillar of the state	17-10568-S
will do	11-24216-S,56-30633-B
will earn eternal glory	12-54992-S
will extend your life	23-17304-S
will find a way	32-33225-S,49-35765-S
will find a way through	17-50257-S
will find help all around	24-9306-S
will find many excuses to delay working	25-63967-S
will get you nowhere	56-31128-B
will go ahead whatever happens of an arrangement or plan	67-23076-B
will go down in history 成语 saw	12-54992-S
will is an impregnable stronghold 成语 saw	45-53076-S
will is there	24-33952-S
will it stop	4-47461-S
will judge what s right and wrong	31-38042-S
will look after one another	37-4404-S
will make the devil turn millstones 成语 saw	32-40285-S
will never be forgotten	36-49842-B
will not act	2-15138-B
will not address a critical situation	50-22471-S
will not close the eyes 成语 saw	35-55881-S,35-56041-S
will not come again 谚语 proverb	31-38833-S
will o the wisp mysterious lights due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-B
will of god	67-51013-S
will of heaven	17-47183-S,51-70036-S,67-51013-S
will of the great swan 成语 saw	41-29558-S
will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
will of the people	4-9311-S
will out	49-21694-S
will pass in the twinkling of an eye	61-26099-B
will rain 成语 saw	57-31944-S
will reveal itself	52-33765-S
will to fight	70-28920-B
will to move mountains	47-26820-S
will undoubtedly lead to success 成语 saw	9-47798-S
will 成语 saw	42-40017-S
willd or p telephioides	20-69975-S
willful	1-8894-B,4-42973-B,23-50419-B,66-42940-B
willfully and make a scene	52-23099-S
william	50-61364-S
william a p martin 1827 1916	1-26076-B
william a p martin 丁韙良 丁韪良	12-47846-S
william faulkner 1897 1962	18-46782-B,47-2781-B
william faulkner 威廉·福克納 威廉·福克纳	7-51768-S,14-11034-S
william m lang 1843 	42-53203-S
william nimitz 1885 1966	21-14256-S
william or wilhelm name	18-46722-B
william shakespeare	18-46551-S
william shakespeare 1564 1616	18-46884-B,54-22058-B
williamsburg virginia	18-47001-B
willing	2-25739-S,7-44484-S,7-47152-S,24-32792-S,25-44466-B,43-13149-B,52-12974-B,68-45119-B
willing and half unwilling 成语 saw	10-58009-S
willing but the flesh is weak	9-44949-S
willing to accept other people s views	24-11114-B
willing to do sth	68-45173-B,70-21176-B
willing to help but unable to do so	25-37755-B
willing to help others	34-48665-B
willing to part with sth	28-6873-S
willing to risk life and limb	8-42238-B
willingly	4-42558-S,43-15454-B
willingness	25-16073-B
willingness to accept new ideas	24-36222-B
willis name	18-45287-B
willow	33-10887-B,33-48708-B,33-49822-B,34-28034-S,53-59418-S
willow and red flowers	33-50499-S
willow scent and mist of blossom 成语 saw	33-50232-S
willow society	31-33696-S,31-33752-S,31-33831-S
willow tree	34-28034-B
willowy	18-51675-B
willpower	25-29168-B,36-3067-B
wilson	56-37336-S
wilson person name	18-48161-B
wilt	33-39033-S
wilted	33-39033-B
wiltshire english county	18-48081-B
wily and mischievous	58-15062-B
wimbledon	39-21099-B
wimbledon district of west london	39-19416-B
wimbledon in east london	39-20874-B
wimbledon lawn tennis championship	39-20953-B,39-22855-B
wimbledon open tennis championship	39-19416-B
win	11-6045-S,11-7601-S,13-63360-S,13-63511-S,18-17771-S,18-62386-B,26-7394-B,42-23069-S,42-23365-S,60-4216-S,60-4305-S
win a ballot	2-78235-S
win a championship	28-6447-S
win a lottery	2-71007-S
win a prize	2-76076-S,24-8517-B,41-38238-S
win a race or championship	12-14564-S,40-47561-S
win a respite	50-22650-S
win a tender	2-73874-S
win a title in successive years	56-18272-S
win a victory on raising the flag 成语 saw	31-3858-S
win an election	2-82879-S,10-4461-S
win an honor	41-38238-S
win an inch	24-7495-S
win anything	47-47435-S
win approval	2-71903-S
win back	61-60930-S
win by a surprise move	8-38009-S
win easily	47-41640-S
win every trick in a card game	39-41096-S
win favor by fawning on sb	57-62522-S
win favor or influence using sb else s property	6-981-S
win in mahjong	13-23934-S
win or die	52-18052-S
win power	24-7106-S
win sb over	48-44283-S
win situation	67-1214-S
win success and recognition 成语 saw	9-49014-S
win the lottery	24-6335-S
win win situation	67-1214-S
win without a fight 成语 saw	32-32359-S
win 成语 saw	13-31364-S
wind	1-49538-S,3-14649-S,3-14649-S,5-23884-S,5-47171-S,7-23398-S,7-52421-S,9-64126-S,9-64126-S,9-64818-S,13-6624-S,14-4165-S,14-23522-S,16-18408-S,17-62344-S,18-35092-S,20-9813-S,21-17610-S,23-52243-S,23-61825-S,24-22486-S,26-15587-S,27-44403-S,28-44489-S,28-54220-S,28-61617-S,28-62617-S,29-51675-S,31-2965-S,31-35831-S,32-725-S,32-725-S,33-26303-S,37-48984-S,38-39574-S,39-58150-S,40-15698-S,41-11335-S,41-13204-S,41-22752-S,42-5282-S,44-7614-S,47-16091-S,49-48425-S,51-17587-S,57-24266-S,61-13531-S,61-46027-S,61-46115-S,61-46599-S,61-46599-S,61-68766-S,61-68766-S,63-8183-S,66-26107-S,66-45246-S,66-45313-S,68-20879-S,68-27069-S,68-53274-B,68-54776-S,68-55548-S,68-56771-S,68-59408-S,68-59535-S,68-59901-S,68-59901-S,68-60030-S,68-60073-S,68-60142-S,68-61241-S,68-61380-S,68-61528-S,68-61751-S,68-62292-S,68-62378-B,71-48793-S
wind and assume it will rain 成语 saw	57-31944-S
wind and bewailing the rain	8-25101-S
wind and clutching at shadows 成语 saw	28-5521-S
wind and frost	68-58952-B
wind and rain	62-67070-S,68-58137-B,68-58500-S
wind and rain darken the sky 成语 saw	68-58368-S
wind and rain through the town 成语 saw	39-36991-S
wind and rain 成语 saw	31-35967-S,68-58218-S
wind and rainstorm	32-924-S
wind and reap the whirlwind hosea 8 7	25-21703-S
wind and set the helm 成语 saw	57-31761-S
wind and set your sails 成语 saw	57-31576-S
wind and summon the rain 成语 saw	13-19755-S
wind and the billows 成语 saw	3-14744-S
wind and the moon	12-66079-S
wind and waves	68-56031-B
wind around	31-179-S,50-25149-B,50-40656-S,50-45316-S,50-45954-S,62-69147-S
wind blowing	13-18125-S
wind blowing on frontier	63-12852-S
wind blowing or rain falling	68-59955-S
wind blows violently	9-63971-S
wind borne	66-45191-B
wind damage	68-56359-B
wind down	29-40582-S
wind erosion	66-54258-S
wind etc	68-53724-S
wind film	3-26218-S
wind flows	68-55959-S
wind force	68-53551-B
wind gap geol 	68-53825-B
wind i e from the sea	38-26494-S
wind in high places	68-60181-B
wind instrument	13-4943-S,16-32219-S,36-27632-S,48-24935-S,48-26421-B,48-39427-S
wind instrument consisting of an egg shaped chamber with holes	16-21376-B
wind instrument such as oboe or bassoon	67-252-S
wind instruments	13-5483-S
wind or wave	68-59742-S
wind power	68-53551-B,68-56862-B
wind rises	68-57392-S
wind round	50-39351-S,50-40605-B
wind sailing	28-62680-S
wind speed	68-57649-B
wind that blows nobody any good	14-61468-S
wind there cannot be waves 成语 saw	40-64393-S
wind tunnel	68-55685-B
wind up	3-28532-S,29-40732-S,41-4786-S,49-41018-B,49-42380-S
wind 成语 saw	12-8147-S,14-10473-S,23-36301-S,34-60695-S,61-46671-S
windcock	68-53926-B
winde	68-20879-S
winded	14-92-S,49-49934-S,49-49995-S,49-50513-S,50-56072-S,50-56271-S
winded empty talk	47-49583-S
winded of writing	50-44933-S,50-45125-S
winded verbiage that never gets to the point	11-6746-S
windfall profit	58-50466-S
windhoek capital of namibia	39-21552-B
winding	3-15093-B,18-40769-S,19-49009-B,32-4721-B,61-49898-B,62-33129-B,63-14609-B
winding and turning 成语 saw	27-30867-S,32-5906-B,61-23153-S
winding ditch	38-229-B
winding lane	33-31797-B
winding mountain path	21-47207-B
winding number	31-835-B
winding of road	62-33159-B
winding on forever	61-49961-B
winding path	7-22745-S
winding road	55-58841-S
winding road twisting and turning like a sheep s intestine	51-684-B
winding stairs gymnastic equipment	30-70676-B
windlass	61-20580-B,61-32184-B
windmill	68-53606-B,68-57597-B
window	9-28924-S,12-43952-S,13-54117-S,14-62986-B,14-63024-B,17-61991-S,23-34794-S,26-25204-S,34-32052-B,35-17022-S,41-46296-S,47-55059-B,47-55099-B,47-55190-B,47-55294-B,47-55335-B,47-55335-S,60-59718-S,63-12660-S,64-38450-S,64-52739-S,67-18846-S,68-55132-S
window a sill	35-19717-S
window and clean table 成语 saw	31-25926-S,47-55409-S
window between middle and inner ear	11-25314-S
window curtains	47-55241-B
window decoration	47-55707-B
window frame	34-52109-S,47-55538-B
window hook	47-55646-B
window in an upper story	65-51854-S
window latch	47-55646-B
window of vehicle bus	60-59718-B
window on a computer screen	57-36186-S
window on sports	70-8927-B
window pane	47-55589-B
window referring to seats on a plane etc	68-342-S,68-428-S
window shop	62-16259-S
window sill	47-55142-B
windows	34-52109-S,47-29623-S,53-37139-S,65-60298-S
windows accelerator	57-36295-B
windows based	57-36382-B
windows for air	65-42835-S
windows nt	57-36454-B
windows registry	37-44167-B
windows system	45-11686-S
windows the microsoft operating system	57-36186-B
windows video program	50-6407-S
windpipe	14-24087-B,36-29453-B,36-29530-S
winds	15-58019-S,68-57465-S
windscreen car window	68-55132-B
windy	32-41637-B,68-59579-S
wine	5-11609-S,12-58828-S,13-35284-S,13-35284-S,30-35590-S,30-70288-S,31-9349-S,33-9166-S,36-41953-B,37-1966-S,37-49022-S,38-65422-S,40-6584-S,41-27747-S,41-27747-S,42-32469-S,43-7605-S,43-8016-S,43-12831-S,44-36065-S,44-39021-S,51-15384-S,51-31393-B,51-51626-B,53-61525-S,54-13012-S,54-58967-S,55-20034-S,55-20034-S,63-36936-S,63-36936-S,63-39118-S,63-39153-S,63-39225-B,63-44316-S,63-45922-S,63-46478-S,63-47013-S,63-48867-S,63-49042-S,63-49220-S,63-51155-S,63-51324-S,63-51372-S,63-51559-S,63-51680-S,63-51718-S,66-29030-S,66-30110-S,69-6623-S,71-23894-S,71-54477-S
wine and liquids	43-12078-S
wine and women	37-6297-S
wine between bride and groom as traditional wedding ceremony	3-70313-S
wine brewed twice	63-51718-B
wine container	11-17028-B,57-53569-S
wine cup	22-11303-S,26-65909-S,42-57818-B,63-39853-B,63-40201-B,63-46446-B
wine cup for sb	26-65909-S
wine cups	33-13968-S
wine factory	63-39690-B
wine flagon	64-20980-S
wine flask	64-20934-S
wine goblets on a stream	40-10619-S
wine goblets used by the duke of zhou hosting his vassals	15-57374-S
wine god	63-40311-S
wine holder with 3 legs and loop handle	41-40783-S
wine i offer you is so poor	55-20034-S
wine in old bottles	53-28635-S
wine industry	63-51850-B
wine jar	16-30147-B,16-39761-B,34-62449-B,43-12487-S
wine jars	50-50403-S
wine mulled rice wine	71-23894-S
wine on ground for sacrifice	18-11708-S
wine or liquor	30-37297-S
wine or liquor with sediment	63-49255-B
wine preserved pomfret	70-44251-B
wine reception	63-39790-B
wine s gone bad and it cannot be sold	63-40807-S
wine shop	63-39472-B,63-40606-B,63-41033-B,63-41088-S
wine shop sign	22-24652-B
wine vessel	20-42393-S,50-50361-S,57-44118-S
wine with high alcohol content	63-46478-B
wine 成语 saw	12-8735-S,20-57125-S,30-34152-S
winepress	34-40303-B
wing	12-23413-S,21-15426-S,21-59066-S,22-58833-S,31-239-S,36-11646-S,51-17249-B,51-17319-B,51-23973-B,52-45929-B,52-46070-B,63-13352-B,70-48158-S,70-59178-S
wing error against mao s line during the 1930s	8-12007-S
wing forward	63-13352-B
wing of aircraft	35-4854-B
wing of an army	42-1266-B
wing of insect	9-22930-S,24-1067-S
wing of screen	26-31022-B
wing on jet fighter	9-20727-S
wing political	21-59207-S
wing to wing	36-11646-S
winger	34-34496-S
wingless	40-60551-B
wings	28-43836-S,50-6212-S,51-24191-S,56-7440-S,63-11952-S
wings and fly	18-18966-S
wings and soar 成语 saw	21-22490-S
wings fast food	67-7878-S
wings of birds	52-19374-B
wingspan	51-17276-B
wining and dining 成语 saw	63-40681-S
wink	29-25394-S,45-46132-B,45-46159-B,45-46221-B,45-51442-S,45-59467-S
wink at sb	2-45780-S,2-45849-S
wink of an eye	45-59562-S
winkle mollusc	43-38079-B
winner	10-4228-B,22-51829-B,42-16766-S,47-43751-S,60-4264-B,68-34827-S,71-33578-S
winners	12-53008-S
winnie the pooh bear character in children s stories by a a milne adapted by disney	20-67244-B
winning	6-57482-B,42-23934-S
winnipeg	39-20536-B
winnow	28-62775-S,48-39776-S,48-39853-B,48-58638-S
winnow basket	48-23673-B,48-43734-S
winnowing	28-44489-S
winnowing fan	48-39893-B
wins	7-45553-S
wins a beauty	42-29584-S
winsome	6-2779-B
winston churchill	63-19495-B
winston lord former assistant secretary of state for east asia and pacific affairs	37-55999-B
winston name	39-21937-B
winter	8-15948-B,8-16039-B,8-16141-B,8-27217-S,14-41349-S,14-41715-S,20-33544-S,33-55416-S,47-60600-S,60-26165-S,62-43652-S,66-37347-S
winter daphne	42-62987-B
winter games	8-16574-B
winter i e twelfth month of lunar calendar	19-11592-S
winter in north china	33-38639-S
winter jasmine	61-45591-B
winter olympics	8-16081-B
winter solstice	1-29671-S,8-16378-B,8-16428-S,46-80-S
winter solstice 冬至 and summer solstice 夏至	31-11650-S
winter sport in former times	42-8385-S
winter vacation	20-9053-B
winter wear	65-60517-B
wintry	20-9102-B
winze	31-60552-B
wipe	22-36421-B,26-64943-B,27-15528-S,27-47337-B,28-48201-B,28-52112-B,28-61572-B,29-25752-S,29-26222-B
wipe away	28-49382-S
wipe dry	29-25844-S
wipe off	27-47775-S
wipe one s eyes	27-47498-S
wipe one s eyes and wait 成语 saw	27-47573-S
wipe out	16-12506-B,28-11193-S,35-65040-B,51-54751-S,58-18784-S,58-18844-S,58-19103-S,61-58788-S,66-21221-S
wipe out completely	7-38224-S
wipe out dissenters	58-18993-S
wipe out the crimes 成语 saw	35-57830-S
wipe out the villains e g insurgents	58-18329-S
wipe up with a mop	27-47436-S
wire	15-44051-S,40-23826-S,50-654-S,50-16201-B,50-17492-B,50-17632-B,62-13084-S,64-9651-S,64-41074-S,64-52160-B,65-4295-S,67-33770-B,67-37512-S
wire blade	64-41192-S
wire cable	64-41270-B
wire cutting pincers	7-17537-B
wire drawing	27-34147-B
wire netting	65-4350-B
wire sheathed in rubber	35-6568-B
wired	32-38334-B
wireless	40-59598-B,40-59712-B
wireless electric wave	40-59975-B
wireless network	40-59640-B
wireless receiver	58-39516-S
wireless telephone	40-60065-B
wiretap	47-59960-B
wiring	22-17094-B,49-63410-S
wisconsin	18-47208-B,18-47274-B
wisdom	4-9601-S,24-33719-B,25-6446-B,26-37745-S,31-56606-B,31-56981-B,42-45428-S,51-49867-S,53-36687-S,53-36687-S,58-8946-B,58-50836-S,63-47720-S
wisdom and arts and consort of lord brahma	61-37529-S
wisdom and knowledge buddh 	17-20438-S,18-35812-S
wisdom beginning of the heart sutra	53-36776-S
wisdom can prevail over nature	4-8138-S
wisdom comes from experience	2-24768-B
wisdom for mutual benefit	66-57782-S
wisdom from an experience	30-5319-S
wisdom of ancient sages	6-41853-S
wisdom tooth	31-57830-B
wisdom 成语 saw	2-1208-S,39-40715-S,48-55910-S,64-12821-S,64-13181-S
wise	13-47527-B,14-4210-B,31-24440-B,35-9260-S,47-9257-S,51-28466-S,51-56550-S,51-64429-B,54-3621-B,70-15847-B
wise after the event	3-30572-B
wise and able person	4-6210-B
wise and farsighted	45-57890-B
wise and holy man	51-51626-B
wise and love the people	20-44160-S
wise and venerate the worthy 成语 saw	30-12092-S
wise and virtuous woman possibly sarcastic or sneering	38-41508-B
