inverted reflection in water	5-58169-B
issue a form of dividend payment	44-33563-S
issue a statement	44-33738-S,44-33899-S
issue an invitation	49-8103-S
issue an order	44-26809-S
issue and deliver to people	44-25971-S
issue approval	26-58089-S
issue confused orders	45-58620-S
issue e g legal	49-2067-S
issue etc	33-39490-S
issue for enforcement	68-32210-B
issue is oversubscribed	60-24794-S,60-24871-S
issue of a periodical	32-50939-S
issue of document	48-40660-S,48-40744-S
issue officially	48-40576-S
issue tickets	57-57382-S
issue under discussion	59-3943-B
issue without getting involved	56-6398-S
issue 成语 saw	21-2182-S
issued as dividend payment	49-8446-S
issued by bank of china	65-12421-S
issued by industrial and commercial bank of china	41-50432-S
issued by nationalist government in 1948	64-7553-S,64-8562-S
issuer	44-33502-B
issues	2-30171-S,10-3556-S
ist	51-34674-B
istanbul	4-48802-B
istres french town	4-49017-B
isuzu	3-47591-B
it	1-3921-S,1-8740-S,1-68053-S,1-71998-S,2-3302-S,2-5650-S,2-6920-S,2-8354-S,2-9460-S,2-9460-S,2-19053-S,2-30001-S,2-46276-S,3-28194-S,4-25180-S,4-39986-S,5-2623-S,5-19307-S,5-24801-S,5-44517-B,5-55410-S,8-3171-S,8-3812-S,8-64983-S,8-65084-S,9-3489-S,9-3711-S,9-51084-S,10-51192-S,10-51499-S,12-14454-S,12-27678-S,13-19119-S,13-19275-S,17-5350-S,17-31103-S,19-16686-S,19-25778-S,20-53110-S,20-53317-S,21-9408-S,23-35110-S,23-35110-S,24-16079-S,24-42924-S,24-43144-S,24-51290-S,24-51857-S,24-64501-S,25-28307-S,25-32509-S,25-59815-S,26-21949-S,26-22537-S,26-63464-B,27-21200-S,27-50972-S,28-14025-S,28-40718-S,28-63821-S,29-5008-S,29-8340-S,29-18431-S,29-22680-S,30-6343-S,33-11474-S,33-29344-S,33-29344-S,36-16430-S,36-53974-S,37-10413-S,37-10510-S,37-10903-S,37-11100-S,37-11887-S,38-16900-S,38-55532-S,39-9368-S,39-34964-S,39-35230-S,40-49492-S,41-9566-S,42-17783-S,42-38323-S,42-38672-S,43-59217-S,44-48967-S,45-64980-S,46-26333-S,46-34518-S,48-23867-S,49-26654-S,50-54334-S,50-54410-S,52-7985-S,52-26751-S,52-27216-S,53-796-S,53-6707-S,54-54333-S,55-53401-S,57-32197-S,57-32197-S,57-52888-S,58-16643-S,58-20576-S,58-62485-S,60-55228-S,61-51698-S,61-65870-S,62-48737-S,62-64661-S,62-69674-S,66-43847-S,67-15570-S,69-18963-S,71-37209-S,71-39788-S,71-42276-S
it 	47-34420-S
it a go	1-399-S
it a horse 成语 saw	27-61283-S
it a try	1-399-S,58-13522-S
it a try 成语 saw	60-53587-S
it all	13-24287-S
it all in 成语 saw	45-15431-S
it and victory is assured 成语 saw	47-43080-S
it appears	45-37928-B
it as one s life	25-32627-S
it backwards	5-59971-S
it be	48-23867-S,54-27096-S
it be possible that	54-27096-S
it be that	59-18387-S
it be that 	54-24079-S,67-13709-S
it becomes spring 成语 saw	54-54426-S
it beneath one s dignity	2-6805-S
it briefly	48-38261-S
it burn slowly	20-33725-S
it can clearly be seen that this is the case	12-16433-B
it can support a crop	16-25259-S
it cannot be sold	63-40807-S
it comes from	5-19626-S
it could even be said	12-16798-B
it depends	45-37224-B
it depends on 	57-26935-B
it does not hatch	35-60311-S
it does not make sense	58-31491-B,58-54169-B
it doesn t live up to its reputation	12-53351-B
it doesn t matter	2-27835-B,37-11243-B,37-12082-B
it doesn t matter what you call it	13-19119-B,13-19275-B
it dry by itself	13-57103-S
it easy	25-58672-S,39-1252-S
it embarrassing to do sth	2-3813-S
it feels like we have known each other all along	45-30751-B
it for my sake i e to save my face	55-20268-S
it from 劉宋 刘宋 song of southern dynasties 420 479	60-29569-S
it gets	45-7946-S
it go at that	27-21200-S
it goes against one s conscience	31-36775-B
it goes without saying	2-8160-B,2-29084-B,32-61123-B,68-52159-B
it had not occurred to me	25-25118-B
it happen	24-51745-S
it happens	21-59877-S,62-64534-S
it hurts	44-6610-B
it in one s face	23-54873-S
it is	1-74575-S,2-20835-S,12-11032-S
it is a great honor to meet you	58-63234-B
it is a great honor to meet you and i regret it is not sooner	58-63301-B
it is a matter for your own effort	3-29873-B
it is a pity	12-13172-B
it is absolutely essential to follow the above instruction	8-60451-B
it is an honor to have you	7-12879-B
it is better to travel hopefully than to arrive	6-65579-B,60-41196-B,62-47875-B
it is done and can t be changed	43-28366-S,43-28618-S
it is for to	43-38556-B
it is hard to escape the dragnet of the law	67-13531-B
it is hard to escape the net of justice	37-32825-B
it is important that 	64-196-B
it is long	11-50697-S
it is nice to meet you finally	45-30751-B
it is not sooner	58-63301-S
it is nothing	37-10413-B
it is obvious that 	12-13367-B
it is prepared 成语 saw	45-47760-S
it is reasonable to say that 	27-63045-B
it is reported	29-23754-B
it is reported that	29-24117-B
it is right	32-44290-S
it is said	6-39978-B,29-24718-B,58-16150-B
it is said that	29-24937-B
it is self evident	2-29084-B
it is still unclear 	45-16626-S
it is swollen	26-48362-S
it is the fashion to	53-22708-B
it is thus clear	12-16433-B
it is too late	52-60441-S
it is truly 	45-42729-S
it is wrong	1-14500-S
it isn t worth it	1-71998-B
it just so happens that	35-35109-B
it later	8-9933-S
it like this	62-5747-S
it logically follows that 	42-55266-B
it looks	55-52848-S
it looks all right	2-27835-B
it looks as if	45-38739-B
it makes it more conspicuous 成语 saw	25-53456-S
it makes no difference	37-10160-B
it makes one s head spin	68-38171-B
it may be etc	17-153-S
it may be said	12-16707-B
it mean that 	59-18448-S
it more conspicuous 成语 saw	25-53456-S
it never rains but it pours	47-1925-B
it off	4-26876-S
it on oneself sth unpleasant	53-6707-S
it one s own way	42-21881-S
it or can leave it	12-14454-S
it or can t it	52-27216-S
it pass	48-23867-S
it pays to	8-65084-B
it pays to do sth	8-64873-B
it possible	32-22432-S,52-26751-S,52-27216-S
it pours	47-1925-S
it rains	32-59309-S
it recent beijing and internet slang	35-25284-S
it refers to sth preceding it	8-3171-B
it right	20-46470-S
it s a deal	1-20861-B
it s all exageration	35-66390-B
it s an ill wind that blows nobody any good	14-61468-B
it s been a worthwhile trip	2-27385-B
it s better than 	53-22055-B
it s convenient	5-28400-S
it s difficult to achieve anything without support	19-13127-B
it s hard to clap with only one hand	19-13127-B
it s just perfect	25-5161-B
it s just right	25-5161-B
it s just that 	46-51718-B
it s no bother	40-49492-B
it s no joke	2-14619-B
it s no wonder that 	67-12218-B
it s not important	37-8720-B,37-8829-B
it s not pretty but it works	14-62332-B
it s not surprising that	67-12218-B
it s not the present the counts	47-9333-B
it s nothing	37-8720-B,37-8829-B,37-11243-B
it s possible	32-30814-B
it s real or sham	55-54110-S
it s right	11-50532-S
it s right or wrong doesn t make a lot of difference	11-50697-S
it s too bad	12-13172-B
it s too late	21-9927-S
it s too late to change anything now	43-28366-B,43-28618-B
it s too late to do sth	5-16975-B
it s true that 	15-550-S
it s unbearable	36-25204-S
it s worth noting that 	6-4623-B
it s wrong	20-37489-S
it s your turn	61-15672-S
it seems	45-37928-B,45-38739-B
it seems inevitable	51-18512-S
it seems that	45-37281-B,45-37928-B
it should be	43-67747-S
it should be mentioned that 	25-61477-B
it simply	48-36720-S
it slang	2-31739-S,59-45581-S
it stands	21-9175-S
it starts	54-54426-S
it stop	4-47461-S
it takes a long time to make a big pot 成语 saw	17-10568-S
it takes all sorts to make a world	71-61068-B
it takes ten years to nurture a tree	44-53411-B
it takes two to tango	19-13127-B
it than meets the eye	17-21518-S
it the butterfly dreaming of zhuangzi 	54-21172-S
it through	62-43085-S
it to gold 成语 saw	71-41263-S,71-42567-S
it to nature	4-42308-S
it to nature 成语 saw	68-22053-S
it to others	28-29735-S
it to sb	43-38556-S
it to someone	26-64725-S
it too late	1-74745-S
it too much	2-33314-S
it too seriously	43-66415-S,43-66574-S
it turns out	25-5250-S
it unsettled	1-66346-S
it up	43-22874-S
it up 	35-54441-S
it used for animals	41-50242-B
it used for things	19-20121-B
it used to be	23-62124-S
it was before	11-35517-S
it was founded	29-54644-S
it were not for	57-24785-S
it were possible to 	4-64844-S
it will rain 成语 saw	57-31944-S
it with one s hand tied behind one s back	69-49464-S
it without authorization	32-56406-S
it won t hurt	40-49492-B
it works	14-62332-S
it worth the trouble	5-2860-S,5-2928-S
it would appear	45-37281-B
it would be better	54-25308-B
it would be better 	20-19358-B
it would be better to	2-3996-B
it wrong	46-21289-S
it 成语 saw	5-2623-S,27-54456-S,29-18794-S,32-36896-S,32-37053-S,33-11937-S,34-49355-S,38-51200-S,40-51364-S,45-15041-S,45-15174-S,45-63852-S,51-11461-S,57-52888-S
italian	2-71856-S,25-28930-B
italian belly	42-47571-S
italian island	57-22781-S
italian language	25-28985-B
italian painter of the florentine school	33-41820-S
italian pocket	11-15639-S
italian pull me up	28-39213-S
italian style strong coffee	25-29055-B
italic letter	30-36992-B
italics	30-36934-B,35-40641-S
italicum	47-25776-S
italy	5-10576-S,15-60146-S,20-69436-S,25-28930-B,27-23420-S,27-27016-S,48-46267-S,50-62879-S,54-39256-S,63-28064-S
italy 意大利	25-28184-S
itch	44-13534-S,44-13575-S,44-17734-B,44-21706-B,44-32009-S
itching	28-53601-B
itching to do sth	25-1039-B
itching to get on with it	61-51698-B
item	1-22650-S,3-28774-B,3-31965-B,4-41175-B,8-36892-S,12-8147-S,12-57312-S,13-34282-B,14-17181-S,14-22716-S,26-1115-S,34-13801-B,34-47102-B,42-43810-S,45-14704-B,47-65236-B,56-56828-S,60-30592-S,61-17606-S,61-57822-S,68-21323-B,68-21597-B
item for broadcast on radio program	71-39458-S
item from a list	71-37621-S
item from accounts	64-34128-S
item from deng xiaoping theory	20-15514-S
item in a big scheme	1-10270-S
item in a bigger work	28-43971-S
item in accounts	59-61805-S,59-62051-S
item in sequence	35-52886-S
item named above	9-20947-S
item of jewelry	69-9122-B
item of software	20-67929-S
item of stationery pen	30-25882-B
item on a menu	19-64334-S
item on a program	48-29557-B
item on both sides	32-70164-S
items	1-44160-S,3-43742-S,10-47890-S,14-17788-S,17-13078-S,27-18715-S,38-59878-S,71-37621-S,71-42040-S
items buried together with the dead	66-23377-S
items chapter	48-31881-S
items e g to pad an expense account	21-60616-S
items i e lost property	27-53965-S
items in a list	68-32985-S
items of damage spot	55-48777-S
items of every description	12-57366-B
items on a balance sheet	6-1407-S
items on a theatrical program	16-10108-S
items that are produced	8-36892-B
items to be censored	4-67354-S
iteration	63-55524-B
ithaca	4-51407-B,50-11544-B
itinerant con man	36-60008-B
itinerant doctor and swindler	36-59905-B
itinerant entertainer	36-59828-B
itinerant entertainers to tour	60-13355-S
itinerant peddler or entertainer	60-12289-S
itinerary	31-11133-B,56-34373-S
itis	40-28190-B
its	3-46699-B,8-3171-B,11-36069-B
its ancestral home	54-50672-S
its blubber	52-46574-S
its bottom	27-30279-S
its chemical properties	6-53313-S
its crow 成语 saw	25-33806-S,25-33955-S
its direction	15-56658-S
its effect	53-41374-S
its elements	57-53260-S
its fangs 俗语 saying	13-28660-S
its general	31-3456-S
its head out 成语 saw	34-44552-S
its importance	1-9428-S
its kind	21-5613-S,49-47105-S
its kind before and since	9-21785-S
its kungfu monks	21-4585-S
its mother	42-16496-S
its normal route	10-41545-S
its origin	61-57971-S
its original state	25-443-S
its origins	61-58459-S
its outside face seems good 成语 saw	55-52848-S
its own merits	21-9175-S
its owner	26-46744-S,27-54456-S,45-31947-S
its owners	27-19832-S
its parts	33-65584-S,33-66177-S
its peak	21-49617-S,71-46974-S
its pinyin	34-53821-S
its place	8-4051-B
its place has been taken by	4-30250-B
its pollution	64-15499-S
its problems 俗语 common saying	19-61691-S
its processes	7-38525-S
its profit and losses of organization	45-2340-S,53-14422-S
its proper course	68-23325-S
its quality	24-30224-S
its radius	13-10784-S
its reputation	12-53351-S,12-55691-S
its retribution 成语 saw	25-21703-S
its rewards 成语 saw	14-3623-S
its rightful owner	19-37869-S
its roots	61-58376-S
its scenery or historical relics	12-54448-S
its source	39-23623-S,61-58139-S
its surroundings	20-51709-S
its three orthogonal projections	22-53463-S
its university	70-40841-S
its vestigial crease on sides of neck of vertebrates	70-45830-S
its vine 成语 saw	39-34673-S
its way in by the mouth	44-9865-S
its white interior	12-60756-S
itself	2-12696-S,2-39416-S,13-57103-S,19-20223-B,32-36896-S,32-37053-S,32-66770-B,32-66770-S,32-67517-S,51-64742-S,52-33765-S,53-14922-B
itu	15-20460-B,15-20795-S
ity	5-8176-S
iv	49-27773-S
iv drug	67-62503-B
iv in list a b c	1-24314-S
iv oxide	3-38296-S
ivan russian name	4-47600-B
ivan sergeevich turgenev 1818 1883	21-24046-B
ivanonovich mikoyan 1895 1978	48-46565-S
ivanovich bukharin 1888 1938	22-14372-S
ivanovich lobachevsky 1793 1856	50-57304-S
ivanovich mendeleev 1834 1907	65-22728-S
ivanovich pugachov 1742 1775	31-47415-S
ivoire	47-20410-S
ivoire or ivory coast in west africa	47-20314-S
ivory	41-46374-B,59-24035-B
ivory bodkin for undoing knots	57-55639-B
ivory coast	3-62897-S,59-24131-B,66-6741-S
ivory coast in west africa	47-20314-S
ivory color	41-46770-B
ivory hairpin	28-48155-B
ivory tower	59-24075-B
ivy	22-31574-B,22-32608-B
ivy league	22-32660-B
iwakura	21-35794-B
iwakura mission japanese diplomatic and exploratory mission to us and europe of 1871	21-35836-S
iwate prefecture in north of honshū island	21-36092-B
ix in list a b c	16-36293-S
ization	7-21793-S,10-20608-B
ize	10-20608-S
j gatling 1818 1903	9-58006-S
j k rowling 1965 	50-60638-S
j or roman x in list a b c	44-22738-S
j r r tolkien 1892 1973	26-52136-B
j r r tolkien 托爾金 托尔金	48-59057-S,67-42883-S,70-35634-S
j10 of the 60 year cycle	44-23207-S
j12 of the 60 year cycle	44-22921-S
j2 of the 60 year cycle	44-22849-S
j4 of the 60 year cycle	44-22993-S
j6 of the 60 year cycle	44-23064-S
j8 of the 60 year cycle	44-23135-S
jab	26-22673-S
jacchus	42-8347-S
jack	21-1222-B,38-37465-S,56-13711-S,71-55166-S
jack for lifting weight	10-49432-B
jack fruit	17-23127-B,54-30826-B
jack of all trades and master of none	11-9212-B
jack the ripper	65-40684-B
jack up	16-25016-S
jackals of the same tribe 成语 saw	1-865-B
jackdaw	71-2226-S
jacket	1-55481-B,10-57850-S,20-55887-S,29-64910-S,34-19563-S,52-26005-S,54-6906-B,57-10445-B,57-11508-B
jacket english loan word	54-6829-B
jacket front	9-24288-B
jacket loan word	17-69768-B
jacket usually cotton	15-50352-S
jacket with open slits in place of sleeves	56-47715-B
jackie chan 1954 	26-12777-B
jackson name	6-27300-B
jacky 1961 	23-38297-S
jacky cheung or hok yau jacky 1961 	23-38297-B
jacob	42-14152-S
jacob name	66-54639-B,66-54683-B
jacobs disease	59-10824-S
jacobs disease cjd	7-19803-S
jacquard weave machine weaving leaving protruding pattern	28-41807-B
jacques louis david 1748 1825	17-34434-B
jacques name	66-54353-B
jacques rené chirac 1932 	22-20466-B
jacques rogge	50-59548-B
jacques rousseau 1712 1778	45-13327-S
jade	13-24223-S,20-30029-S,42-29376-B,42-37296-S,42-37364-S,42-37419-S,42-37493-S,42-41537-S,42-41585-S,42-42591-S,42-44223-B,42-44253-B,42-44416-S,42-48503-S,42-48552-S,42-51335-S,42-57296-B,42-58033-S,42-58265-B,42-58421-B,42-60311-S,42-60690-B,42-60719-S,42-60770-S,42-60818-S,42-60908-B,42-60942-S,43-443-B,43-2112-B,43-2947-S,43-3287-B,43-3488-B,43-3684-S,43-3936-S,43-7532-B,43-7605-S,46-12543-S,46-28955-S,46-29556-S,46-29556-B,51-19181-S,51-19365-S,54-28840-S,64-12766-S
jade and stone	42-31434-B
jade annulus	43-4046-B
jade annulus to zhao 成语 saw	19-37869-S
jade artifact	42-29780-B
jade as ordinary stone 成语 saw	71-47254-S
jade badge	42-58449-S
jade cup with ears	30-37066-B
jade dragon in lijiang 麗江 丽江	42-32516-S
jade ear plug	43-2703-B,43-2740-B
jade earring	42-46044-S
jade earrings	42-57938-B
jade emperor	17-46369-S,42-31289-B
jade emperor in taoism	42-31230-B,49-28467-S
jade emperor peak on mt taishan	42-31356-B
jade gate in gansu	42-32402-S
jade in glorious splendor 成语 saw	64-13284-S
jade lake on mount kunlun	43-535-S
jade like stone	42-37455-B,42-42554-B,43-3832-B
jade or gold	42-58506-S
jade ornament	43-3632-S
jade ornament in the seams of cap	43-4418-B
jade ornament with a hole at the center	27-48891-S
jade pendants	43-2855-S
jade ring	42-37225-B,42-37688-S,42-61030-S,43-3552-S,43-4282-B
jade ring becomes a crime 成语 saw	26-1115-S
jade statuette	42-29480-S
jade tablet	15-37279-B,42-46179-B
jade tablet indicating rank	42-37529-B
jade trees 成语 saw	53-51540-S
jade type of petrified wood	34-60617-S
jade used for making goblets	43-8500-B
jade worker	42-29480-S
jade worn on belt	42-48458-S
jade 成语 saw	4-25249-S,27-27976-S,42-45855-S
jadeite	51-19409-B
jades	42-45428-S
jafar al mansur 712 775	32-15046-S
jaffa	41-59162-S
jaffa israel	66-55678-B
jaffa israeli port	66-55626-B
jag	50-48606-B
jagged	11-39296-B,11-39371-B
jagged mountain peaks poetic	21-43529-B
jaguar	51-7700-B
jahrbücher published once in 1844 by karl marx and bourgeois radical arnold ruge	24-27504-S
jail	7-25134-S,9-63188-S,17-27580-B,42-3317-B,42-47062-B,45-8806-B,45-9155-S,45-9651-S,59-27011-B,65-55442-S
jail cell	41-51236-B
jails overgrown with grass 成语 saw	54-15163-S
jakarta	66-54589-B
jal	31-9593-S,31-11745-S
jala	65-51692-S
jam	3-72411-S,4-276-S,11-12991-S,16-13933-S,33-38069-B,63-50966-B
jam flood arising when river downstream freezes more than upstream	8-26032-S
jam of traffic	29-17600-B
jam packed	39-37149-B
jamaica	41-47064-B
jamaican pepper	17-64-B,41-47115-B,45-53908-B,69-30815-B
jamal al din ibn muhammad al najjari 13th century	32-67922-B,32-68028-B,49-30511-B,49-30616-B
jamal al din 紮馬剌丁 扎马剌丁	54-45055-S
james	66-54683-S
james bruce	15-60001-B,68-43993-B
james clerk maxwell 1831 1879	69-33262-B,71-11279-B
james cook 1728 1779	22-65729-S,22-65948-S
james in new testament	66-54749-S
james jeffords us senator from vermont	6-27170-B
james joyce 1882 1941	58-17594-B
james name	58-17538-B
james sasser us ambassador to china	21-6998-B
james soong 1942 	19-35825-B
jamie	6-27662-B
jan 1996 singapore elections	63-32910-S
jan pieter balkenende 1956 	22-8171-B
janata party	11-18763-S
jane austen 1775 1817	42-42872-B
jane eyre	48-35998-B
jane s defense weekly	48-37495-B
janeiro	63-55392-S
jang yop	71-24591-S
janitor	45-39795-B
janjanbureh river and city in gambia	58-17744-B
janjaweed armed baggara herders used by the sudanese government against darfur rebels	59-53751-B
january	1-11194-B
january 1932	1-1367-S
january 1935 before the long march	62-68902-S
jaochim gram 1953 1938	68-5161-S
japan	2-72929-S,4-4003-S,4-28182-S,5-27833-S,10-33160-S,11-50115-S,14-47457-S,17-11670-S,17-38199-S,17-51672-S,20-51187-S,22-34287-S,23-9654-S,30-51567-S,30-51633-S,31-5051-S,31-5164-S,31-8299-B,31-8895-S,31-9128-S,31-9671-S,33-7452-S,35-9125-S,46-56247-S,47-1132-S,47-3837-S,47-15684-S,51-6967-S,51-7060-S,51-11690-S,54-9093-S,55-44758-S,56-55981-S,59-724-S,64-19918-S,65-57092-S,68-12431-S
japan 1937 1945	27-5101-S
japan and china	1-26425-S,45-13840-S,55-36662-S
japan and korea esp north korea	31-8195-B
japan and the us	17-58728-S
japan atomic energy research institute	31-8649-B
japan by huan zunxian 黃遵憲 黄遵宪	31-8787-S
japan china	31-5118-B
japan esp during ww2	27-4994-S
japan from 1550 1850	24-25544-S
japan in 1956	36-38722-S
japan korea cjk unified ideographs	2-73055-S
japan or korea	16-45023-S
japan or uk etc	69-23078-S
japan s surrender in wwii on 15th august 1945	49-36023-S
japan s surrender on 15th august 1945	57-49674-S
japan socialist party	31-9184-B
japan southwest of tōkyō	21-30476-S
japan us	31-11488-B
japanese	13-38747-S,31-8299-B,33-20448-S,33-20543-S,35-14373-S,44-62550-S,48-51677-S,48-60604-S,71-28686-S
japanese administration	42-57362-S
japanese airline jal	31-9593-B,31-11745-B
japanese allied army intervention during russian revolution and civil war 1917 1922	31-11801-S
japanese apricot prunus mume	34-10295-B
japanese armed forces	53-13400-S
japanese army	31-12332-B
japanese army old derogatory term	6-3851-B
japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
japanese asuka jidai	69-1201-S
japanese bonsai	45-1864-B
japanese brown bear	70-33928-B
japanese car model	66-56125-S
japanese cartoon series by kubo taitō 久保帶人 久保带人	35-58882-S
japanese chess shōgi	20-36980-B
japanese cicada	56-5920-B
japanese city	65-13997-S
japanese communist party	31-8490-B
japanese company	1-29764-S,5-11466-S,20-6800-S
japanese cooking	55-76-S
japanese cornel dogwood	54-10165-S
japanese counterpart of the gestapo during wwii	25-57365-S
japanese crested ibis nipponia nippon	32-69843-B,32-69942-S
japanese currency	8-7411-S
japanese daikon	44-45504-S
japanese devil common term of abuse in wartime china and in subsequent writing	31-9875-B
japanese diplomatic and exploratory mission to us and europe of 1871	21-35836-S
japanese dumpling	49-1039-S
japanese empty orchestra	11-14135-B
japanese encephalitis	3-15642-B,3-16784-B,31-9517-B
japanese esp wartime activities	27-4994-S
japanese female entertainer	55-32493-S
japanese feudal lord	17-9450-S
japanese gagaku	66-55268-B
japanese gomoku	3-48795-B
japanese goods	31-12233-B
japanese high speed train	30-48192-S
japanese history	18-2566-S
japanese isinglass	46-9844-B
japanese kana scripts	6-6914-S
japanese kokuji	64-55767-B
japanese kokuji 國字 国字	71-16641-B
japanese kwantung army or kantou army	65-55772-S
japanese language	31-7134-B,31-12184-B
japanese limited company kabushiki kaisha	33-54477-B
japanese mafia	31-10008-S
japanese manga	39-52963-B
japanese mangaka	39-53030-S
japanese martial art	12-34912-S
japanese matcha	27-16018-S
japanese meiji restoration of 1868	31-25212-S
japanese military police 1881 1945 japanese counterpart of the gestapo during wwii	25-57365-S
japanese ministry of health	11-29652-B,11-29751-B
japanese mink	71-25864-B,71-26164-B
japanese miso soup	13-15611-B
japanese monbushō	30-31290-S
japanese moon space probe	32-26090-S
japanese mountain	20-6856-S
japanese movie director	71-31312-S
japanese name	2-73483-S,4-23022-S,21-35441-S,32-53113-S,32-65564-S,40-16217-S,55-33035-S
japanese name for diaoyu islands	21-6641-S
japanese names with phonetic value hatake	43-48213-S
japanese names with phonetic value ogi	54-20489-S
japanese natto	49-17806-S
japanese natto 納豆 纳豆	53-17563-S
japanese news media	31-6669-B
japanese newspaper	32-48019-S,59-6702-S
japanese ninja	24-43454-B
japanese novelist and 1994 nobel laureate	17-24535-S
japanese old derogatory term	6-3648-B,6-3706-B
japanese onsen	39-22475-B
japanese or nonstandard variant of 阪	15-47092-B
japanese organization	27-5213-S
japanese pagoda tree	34-45495-B
japanese person or people	31-8346-B
japanese pirates in 16th and 17th century	6-3775-B
japanese place names such as 袮宜町 minorimachi and 袮宜田 minorita	56-52399-S
japanese poetry	13-23584-S
japanese political party	53-7924-S
japanese prefecture	45-40018-B
japanese prefecture around nagoya	25-36956-S
japanese prime minister	19-57675-S
japanese protest movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
japanese reign name	19-32814-S
japanese reign name 1868 1912	31-25140-S
japanese related business	31-11319-B
japanese relations	2-72975-S
japanese religion	17-51297-S,46-61833-S
japanese rice ball snack	69-5601-S
japanese rice wine	31-9349-B,38-65422-S
japanese rule in 1945	7-8962-S
japanese science fiction superhero ultraman ウルトラマン	18-15681-B
japanese script ひらがな	22-37475-S
japanese script カタカナ	41-44041-S
japanese section of school	31-11319-B
japanese seppuku	8-62702-S
japanese shina	29-39311-S
japanese side or party in negotiations etc	31-7288-S
japanese surname abe	19-23120-B
japanese surname and place name narita	26-10818-B
japanese surname and place name oukubo	17-4630-B
japanese surname hashimoto	35-887-B
japanese surname koizumi	20-66485-B
japanese surrender in wwii on 15th august 1945	7-48581-S,7-48676-S,49-35916-S
japanese sword	31-8583-B
japanese sū doku	3-18315-S,30-23114-S
japanese takeshima 竹島 竹岛	42-19172-S
japanese tatami matting	43-64272-B
japanese temaki	26-33489-S
japanese teppan	65-3311-S
japanese teppanyaki	65-3407-S
japanese term for glamor model in bikini	60-1079-S
japanese traditional national clothing	13-23317-B
japanese troops	31-12332-B
japanese twenty one demands of 1925	3-33219-S
japanese umeboshi	63-45002-B
japanese variant of 乘	3-12314-B
japanese variant of 亞 亚	3-57533-B
japanese variant of 佛	4-24632-B
japanese variant of 俱	6-3919-B
japanese variant of 假	4-39591-B
japanese variant of 傳 传	4-57225-B
japanese variant of 價 价	5-26000-B
japanese variant of 兒 儿	7-21652-B
japanese variant of 兩 两	2-46095-B
japanese variant of 冰	36-48184-B
japanese variant of 剩	9-33875-B
japanese variant of 劍 剑	9-29591-B
japanese variant of 劑 剂	9-29642-B
japanese variant of 動 动	6-50149-B
japanese variant of 勞 劳	9-63590-B
japanese variant of 勸 劝	10-9877-B
japanese variant of 卷	22-11416-B
japanese variant of 吳 吴	13-8659-B
japanese variant of 啟 启	13-63881-B
japanese variant of 單 单	11-5995-B
japanese variant of 喻	14-11395-B
japanese variant of 嚴 严	11-37253-B
japanese variant of 圈	15-22384-B
japanese variant of 圍 围	14-63748-B
japanese variant of 圓 圆	8-7411-B
japanese variant of 圖 图	14-63798-B
japanese variant of 團 团	14-62668-B
japanese variant of 增	16-25799-B
japanese variant of 壓 压	15-33375-B
japanese variant of 壘 垒	16-14049-B
japanese variant of 壞 坏	16-32121-B
japanese variant of 壤	16-32172-B
japanese variant of 壹 banker s anti fraud numeral one	16-37710-B
japanese variant of 奬 奖	18-17356-B
japanese variant of 姐	18-37907-B
japanese variant of 姬	18-44183-B
japanese variant of 娛 娱	18-51293-B
japanese variant of 孃 娘	18-61863-B
japanese variant of 實 实	19-51000-B
japanese variant of 寬 宽	20-10274-B
japanese variant of 專 专	20-34795-B
japanese variant of 對 对	20-32249-B
japanese variant of 巢	21-52566-B
japanese variant of 帶 带	22-27365-B
japanese variant of 廢 废	23-4411-B
japanese variant of 廣 广	22-58405-B
japanese variant of 廳 厅	22-58354-B
japanese variant of 彈 弹	23-46516-B
japanese variant of 從 从	24-5835-B
japanese variant of 徵 征	24-22673-B
japanese variant of 德	24-22628-B
japanese variant of 惠	25-5808-B
japanese variant of 惡 恶	25-8817-B
japanese variant of 惱 恼	25-8767-B
japanese variant of 應 应	24-46097-B
japanese variant of 懷 怀	25-62215-B
japanese variant of 戰 战	26-15442-B
japanese variant of 戲 戏	26-16625-B
japanese variant of 戶 户	26-25641-B
japanese variant of 戾	26-25723-B
japanese variant of 拂	26-51193-B
japanese variant of 拔	27-11285-B
japanese variant of 拜	27-46839-B
japanese variant of 插	28-1858-B
japanese variant of 揭	28-34801-B
japanese variant of 搖 摇	28-51565-B
japanese variant of 搜	28-6044-B
japanese variant of 擇 择	27-11330-B
japanese variant of 據 据	27-46885-B
japanese variant of 擴 扩	27-46934-B
japanese variant of 攝 摄	28-63289-B
japanese variant of 收	11-56590-B
japanese variant of 效	9-63640-B
japanese variant of 敕	9-65976-B
japanese variant of 曆 历	31-64538-B
japanese variant of 曉 晓	31-58028-B
japanese variant of 果	54-29224-B
japanese variant of 查	33-51631-B
japanese variant of 样	34-46368-B
japanese variant of 棋	46-27126-B
japanese variant of 棧 栈	34-8130-B
japanese variant of 樂 乐	34-36830-B
japanese variant of 檢 检	34-26166-B
japanese variant of 櫻	34-8076-B
japanese variant of 歡 欢	35-31010-B
japanese variant of 步	35-49892-B
japanese variant of 歲 岁	35-51155-B
japanese variant of 歷 历	35-51205-B
japanese variant of 歸 归	22-27415-B
