qū chǐ lóu tī	32-4616-B
ran2	1-15116-S,1-67242-S,2-15585-S,2-18230-S,2-20835-S,2-26252-S,3-56757-S,4-24511-S,4-42308-S,5-25449-S,6-21662-S,6-32879-S,6-60257-S,7-29799-S,7-38624-S,7-61494-S,8-24954-S,9-65595-S,12-15249-S,13-35898-S,14-31360-S,15-550-S,15-53145-S,17-30987-S,17-32496-S,17-50457-S,17-69007-S,18-59644-S,19-9141-S,19-10944-S,19-30771-S,21-18970-S,21-38558-S,21-47623-S,23-9286-S,24-5795-S,24-41560-S,24-51107-S,24-57119-S,25-3552-S,25-6145-S,25-6781-S,25-16715-S,25-47971-S,26-14979-S,26-16175-S,29-7904-S,30-59582-S,31-4990-S,31-18365-S,33-35601-S,33-37504-S,35-58140-S,36-3121-S,36-15595-S,37-47504-S,38-11053-S,39-8284-S,39-36618-S,39-47540-S,40-65802-B,41-23553-B,41-42546-S,42-12116-S,42-12900-S,42-55266-S,43-67747-S,45-3423-S,45-14502-S,47-53573-S,47-63360-S,49-26818-S,50-29981-S,51-18512-S,51-69447-S,53-8701-S,53-9536-S,53-9927-S,53-66531-S,54-9424-S,54-24159-S,55-15928-S,55-35634-S,55-59229-B,55-59550-B,56-11459-S,57-24854-S,58-29577-S,59-16637-S,60-23885-S,60-53359-S,61-31892-S,62-52002-S,63-53426-S,64-56888-S,66-20081-S,66-48317-S,66-48384-S,66-63098-S,67-43055-S,67-67531-S,68-22053-S,68-51357-S,68-61155-S,68-61851-S,69-55165-S,69-64476-S,70-25145-B,71-40652-S,71-45828-S
ran2 Ji1 jin1 hui4	2-40895-S
ran2 bao3 hu4 qu1	4-52099-S,27-26789-S,44-40909-S,52-55814-S,53-8901-S
ran2 ben3 di4	17-50499-S
ran2 biao3 shi4	7-61556-S
ran2 bu4 gu4	25-6841-S
ran2 bu4 tong2	61-50081-S
ran2 cheng2	9-47798-S
ran2 da4 bo1	61-1344-S
ran2 da4 wu4	24-68348-S,71-63289-S
ran2 de5 hua4	2-18297-S
ran2 dian3	41-24742-B
ran2 du2 su4	17-50573-S
ran2 er2	40-66009-B
ran2 er2 ran2	2-15585-S,53-9536-S
ran2 er2 yu4	67-43105-S
ran2 er2 zhi4	51-19622-S
ran2 fang4	41-23591-B
ran2 hao4	33-60107-S,41-24682-B
ran2 hou4	40-65930-B
ran2 hou4 zhi1 bu4 zu2	19-18527-S
ran2 ji1	7-29861-S,8-7341-S
ran2 ji1 che1	7-29931-S
ran2 jie4	53-9108-S
ran2 jing1 ji4	53-9413-S
ran2 kai1 lang3	59-16709-S
ran2 ke1 xue2	53-9237-S
ran2 ke1 xue2 ji1 jin1 hui4	53-9307-S
ran2 liao4	3-11626-S,33-59773-S,34-14303-S,38-54033-S,41-23664-B,43-25386-S,46-44811-S
ran2 liao4 bang4	3-11766-S
ran2 liao4 chu3 cun2	3-11681-S
ran2 liao4 chu4 li3 chang3	41-24056-B
ran2 liao4 dian4 chi2	41-24146-B
ran2 liao4 hou4 chu4 li3	33-59919-S
ran2 liao4 ran2 hao4	33-60107-S
ran2 liao4 xin1 kuai4	41-23986-B
ran2 liao4 xun2 huan2	33-60021-S,41-23793-B
ran2 liao4 you2	41-23861-B
ran2 liao4 yuan2 jian4	11-48563-S,33-59830-S
ran2 liao4 yuan2 jian4 xi4 bang4	41-23703-B
ran2 liao4 zu3 he2	41-23915-B
ran2 mei2	41-24319-B
ran2 mei2 guo1 lu2	41-24362-B
ran2 qi4	5-22705-S,17-50641-S,17-50834-S
ran2 qi4 Ji2 tuan2 Gong1 si1	2-61735-S
ran2 qin2	19-9179-S
ran2 ren2	53-8835-S
ran2 ruo4 jie1	31-37225-S
ran2 ruo4 shi1	41-42625-S
ran2 shao1	41-24497-B
ran2 shao1 ping2	41-24557-B
ran2 she2	55-59269-B
ran2 shen2 lun4	37-36493-S,53-9176-S
ran2 shi4 jian4	6-21750-S
ran2 shu4	53-8979-S
ran2 su4 shuo1	41-24620-B
ran2 tong2	53-9828-S
ran2 wu2 cun2	55-16020-S
ran2 wu2 ju4	15-53195-S
ran2 wu2 sheng1	25-6187-S
ran2 wu2 yang4	19-30831-S
ran2 xiao1 hun2	71-45868-S
ran2 xing4	6-21834-S,12-15293-S,55-6022-S
ran2 xuan3 ze2	53-9756-S
ran2 yi1 xin1	41-6173-S
ran2 you2	17-50773-S,41-24213-B
ran2 you2 cang1	41-24255-B
ran2 you3 xu4	3-56796-S
ran2 yu3 yan2	53-9615-S
ran2 zai1 hai4	53-9037-S
ran2 ze2	40-65860-B
ran2 zhao4 liang4	17-50697-S
ran2 zhi3 shang4	60-53455-S
ran2 zhi4 zhi1	39-47599-S
ran2 zhu3 yi4	53-8758-S
ran2 zi1 yuan2	53-9685-S
ran3	6-36997-S,8-7582-S,11-20103-S,14-35756-S,20-16147-S,25-42102-S,27-33208-S,27-65374-S,29-50460-S,29-50553-S,33-42643-B,35-63812-S,36-3779-S,36-42509-S,36-46911-S,36-62773-S,37-26026-S,38-27152-S,38-53498-S,39-6698-S,40-41026-S,41-12758-S,43-5290-S,47-48355-S,50-44170-S,53-64226-B,60-61028-S,61-10714-S,66-22575-S,68-63966-S,71-39964-S
ran3 bing4	6-37179-S
ran3 bing4 xue2	6-37275-S
ran3 chang3	33-42690-B
ran3 cheng2 du4 jian3 cha2 yi2	37-26207-S
ran3 du2	33-43194-B
ran3 fa4	33-43681-B
ran3 fa4 ji4	33-43742-B
ran3 feng1 xi2 su2	33-43573-B
ran3 ji1	60-61090-S
ran3 ji4 liang4	25-42250-S
ran3 kong4 zhi4	37-26128-S
ran3 li4	25-42321-S
ran3 liao4	8-18083-S,33-43156-B,42-62057-S
ran3 qu1	36-62829-S
ran3 ran3	8-7582-B
ran3 ran3 liao4	8-18083-S
ran3 ren2 shu4	25-42168-S
ran3 se4	33-43292-B,42-62153-S
ran3 se4 fa3	68-5256-S
ran3 se4 ti3	16-63042-S,33-43413-B
ran3 se4 ti3 bei4 xing4	33-43466-B
ran3 se4 ti3 yi4 chang2	15-67286-S
ran3 se4 zhi4	33-43328-B
ran3 wu4	29-50648-S,36-62889-S
ran3 xing4	6-37050-S
ran3 xing4 fu4 xie4	25-42400-S
ran3 yuan2	6-37109-S
ran3 zhe3	25-42485-S
ran3 zhi1	33-43240-B
ran3 zhi3	33-42747-B
ran3 zhi3 chui2 xian2	33-42911-B
ran3 zhi3 yu2 ding3	33-42986-B
rang	2-34618-S,8-45279-S,10-10353-B,12-9313-S,14-43586-B,15-30267-S,16-32172-B,16-35649-B,22-39121-S,24-43660-S,28-25820-S,29-32990-B,37-3028-S,40-16983-B,41-14649-S,41-14691-S,41-14770-S,43-10209-B,47-7755-S,47-9970-B,47-43886-B,55-43876-B,58-53838-S,59-4033-B,59-13544-B,61-28297-S,66-6741-S
rang bu	59-13949-B
rang kai	59-14141-B
rang lu	59-14086-B
rang qiu	59-14022-B
rang rang	41-14691-S,41-14770-S
rang ren xian mu	59-13621-B
rang shang xin	59-13755-B
rang tu	16-35683-B
rang wei	59-13700-B
rang xu mei	2-31504-S
rang xue	15-30305-S
rang zai	46-51920-S
rang zhi bie	17-45514-S
rang zuo	59-13817-B,59-13886-B
rang2	10-10353-B,40-16983-B,43-10209-B,47-9970-B,47-43886-B,55-43876-B
rang2 zai1	46-51920-S
rang3	12-9313-S,14-43586-B,15-30267-S,16-32172-B,16-35649-B,22-39121-S,28-25820-S,29-32990-B,37-3028-S,41-14649-S,41-14691-S,41-14770-S
rang3 rang3	41-14691-S,41-14770-S
rang3 tu3	16-35683-B
rang3 xue2	15-30305-S
rang3 zhi1 bie2	17-45514-S
rang4	2-34618-S,8-45279-S,24-43660-S,47-7755-S,58-53838-S,59-4033-B,59-13544-B,61-28297-S,66-6741-S
rang4 bu4	59-13949-B
rang4 kai1	59-14141-B
rang4 lu4	59-14086-B
rang4 qiu2	59-14022-B
rang4 ren2 xian4 mu4	59-13621-B
rang4 shang1 xin1	59-13755-B
rang4 wei4	59-13700-B
rang4 xu1 mei2	2-31504-S
rang4 zuo4	59-13817-B,59-13886-B
rao	1-57373-S,5-13417-S,5-27394-S,14-11247-S,14-63428-S,15-22270-S,18-34721-S,18-60596-B,18-60627-B,20-28168-S,20-36202-S,22-36665-S,23-3448-S,23-15798-S,24-63564-S,26-45367-S,29-31275-B,29-36856-S,31-179-S,35-603-B,37-3870-S,39-27292-S,41-10202-S,43-6930-S,45-11848-S,47-58854-S,50-25184-S,50-40656-B,50-45833-S,50-46353-S,53-63394-S,55-14972-B,57-63086-S,57-63833-S,58-42497-S,59-22448-S,62-69147-B,65-64663-S,65-64849-S,67-33266-S,69-20015-B,69-45726-S,69-55015-S,69-62279-S,70-33462-S
rao chong bing	56-18675-B
rao di	50-40777-B
rao di qu	1-57461-S
rao dong	29-31371-B
rao gu	35-660-B
rao jing	50-46425-S
rao ke zao	69-55090-S
rao kou ling	50-40717-B
rao liu	50-40828-B
rao lu	50-40965-B
rao luan	29-31305-B
rao shi	1-57560-S
rao shu	69-20125-B
rao su	22-36720-S
rao xian	1-57648-S
rao zu	50-40893-B
rao2	1-57373-S,18-60596-B,20-28168-S,23-15798-S,35-603-B,37-3870-S,53-63394-S,55-14972-B,57-63833-S,59-22448-S,65-64849-S,69-20015-B
rao2 chong2 bing4	56-18675-B
rao2 di4 qu1	1-57461-S
rao2 gu3	35-660-B
rao2 shi4	1-57560-S
rao2 shu4	69-20125-B
rao2 xian4	1-57648-S
rao3	5-13417-S,5-27394-S,14-11247-S,14-63428-S,18-60627-B,20-36202-S,22-36665-S,23-3448-S,24-63564-S,26-45367-S,29-31275-B,29-36856-S,39-27292-S,41-10202-S,47-58854-S,50-45833-S,57-63086-S,58-42497-S,65-64663-S,67-33266-S,69-45726-S,69-55015-S,69-62279-S
rao3 dong4	29-31371-B
rao3 jing1	50-46425-S
rao3 ke4 zao3	69-55090-S
rao3 luan4	29-31305-B
rao3 su4	22-36720-S
rao4	15-22270-S,18-34721-S,31-179-S,43-6930-S,45-11848-S,50-25184-S,50-40656-B,50-46353-S,62-69147-B,70-33462-S
rao4 di4	50-40777-B
rao4 kou3 ling4	50-40717-B
rao4 liu2	50-40828-B
rao4 lu4	50-40965-B
rao4 zu3	50-40893-B
re	2-3706-S,4-68534-S,5-22660-S,6-37506-S,8-5728-S,8-44926-S,8-45034-S,9-57835-S,11-62768-S,14-5900-B,15-42419-S,15-47970-S,17-27056-S,18-824-S,25-11212-S,25-26682-B,26-18215-S,26-43795-S,27-42027-S,29-13389-S,30-9170-S,30-32762-S,31-7092-S,31-59587-S,33-59729-S,36-11130-S,37-40807-S,39-22817-S,39-60079-S,40-22605-S,40-28607-S,40-30018-S,41-17619-B,41-23256-S,41-35329-B,42-4746-S,42-13364-S,42-14919-S,43-33024-S,44-25408-S,44-31015-S,44-41933-S,44-45775-S,45-49837-S,51-36926-S,54-4475-S,55-2030-S,56-48605-S,57-39753-S,57-51277-S,59-41598-S,62-47098-S,63-44446-S,63-59865-S,66-40571-S,67-32330-S,68-56299-S,69-16266-S,70-17763-S,71-2578-S
re ai	41-19286-B
re bing	41-21129-B,70-17803-S,71-21335-S
re bing du	56-55306-S,71-21394-S
re bu	41-21715-B
re cai liao	66-40614-S
re cao	27-20309-S,27-44494-S
re cao nian hua	25-27194-B
re cha	41-21447-B
re cha ba	41-19480-B
re chang	41-21400-B
re chao	41-20627-B
re chao re mai	41-20682-B
re chen	39-40439-S,41-19148-B
re cheng	41-21844-B
re cheng ceng	41-19343-B
re chu li	41-21487-B
re chuan dao	41-17804-B
re dai	3-61538-S,41-18678-B
re dai feng bao	41-18800-B
re dai jie	30-51886-S
re dai yu	41-18870-B
re dai yu lin	41-18726-B
re dao	15-61983-S,41-18434-B,41-18485-B
re dao xiao ying	41-18566-B
re de kuai	41-18969-B
re dian	30-69166-S,41-22611-B,41-22917-B
re dian chang	41-22679-B
re dian zhan	15-42622-S
re du	41-18926-B
re du shu	8-22366-S
re dui liu	41-18375-B
re fa dian chang	15-42461-S
re fan ying	29-52259-S
re feng	41-22752-B
re fu she	41-22067-B
re gou	41-21089-B
re han	41-17882-B,41-20895-B
re he	41-20302-B
re he fan ying dui	41-19575-B
re he ju bian fan ying	41-19742-B
re he wu qi	41-19656-B
re hu hu	41-17749-B
re hua	44-41990-S
re huo	25-26903-B,25-27123-B,27-42675-S
re huo shan yun	41-23293-S
re huo shao shen	25-27008-B
re ji	41-19848-B
re jing luan	41-21176-B
re lang	41-20371-B
re lei	41-20415-B
re lei ying kuang	41-20457-B
re li	41-17993-B
re li xue	41-18029-B
re li xue wen biao	41-18209-B
re li xue wen du	41-18086-B
re lian qiu jun	41-22127-B
re liang	41-22256-B,70-17864-S
re liang dan wei	41-22336-B
re lie	41-20844-B
re liu	70-17450-S
re mai	41-20682-S
re mai chong	41-21341-B
re mai pin	41-21894-B
re men	41-22418-B
re men huo	41-22471-B
re men yin yue	41-22536-B
re nao	25-26786-B,39-9651-S,41-22844-B,45-39002-S
re nei lu	63-55392-S
re neng	15-42561-S,41-21296-B
re peng	41-19402-B
re pian	30-9326-S
re qi	25-27282-B,30-9217-S,41-19891-B
re qi qiu	41-19933-B
re qie	41-17953-B
re qing	41-19200-B
re rong	41-18325-B
re rong ji guang qi	15-849-S
re shen	41-21958-B
re shen sai	41-22007-B
re shi	25-26737-B
re shi sheng fei	25-26828-B
re shui	41-19991-B
re shui dai	41-20227-B
re shui ping	41-20153-B
re shui qi	41-20034-B
re shui zao	41-20090-B
re tan	67-32382-S
re tang	41-20966-B
re wa er si ji	31-50276-S
re wang	41-19535-B
re wo	55-24468-S
re xi ti	65-65731-S
re xian	41-21233-B
re xin	41-19055-B
re xue	6-37572-S,41-21559-B
re yin	41-22802-B
re yuan	41-20582-B
re zhong	41-21648-B
re zhong zi	41-17689-B
re3	2-3706-S,14-5900-B,25-26682-B,27-42027-S,29-13389-S,31-7092-S
re3 cao3	27-20309-S,27-44494-S
re3 cao3 nian1 hua1	25-27194-B
re3 huo3	25-26903-B
re3 huo3 shao1 shen1	25-27008-B
re3 huo4	25-27123-B,27-42675-S
re3 nao3	25-26786-B
re3 qi3	25-27282-B
re3 shi4	25-26737-B
re3 shi4 sheng1 fei1	25-26828-B
re4	4-68534-S,5-22660-S,6-37506-S,8-5728-S,8-44926-S,8-45034-S,9-57835-S,11-62768-S,15-42419-S,15-47970-S,17-27056-S,18-824-S,25-11212-S,26-18215-S,26-43795-S,30-9170-S,30-32762-S,31-59587-S,33-59729-S,36-11130-S,37-40807-S,39-22817-S,39-60079-S,40-22605-S,40-28607-S,40-30018-S,41-17619-B,41-23256-S,41-35329-B,42-4746-S,42-13364-S,42-14919-S,43-33024-S,44-25408-S,44-31015-S,44-41933-S,44-45775-S,45-49837-S,51-36926-S,54-4475-S,55-2030-S,56-48605-S,57-39753-S,57-51277-S,59-41598-S,62-47098-S,63-44446-S,63-59865-S,66-40571-S,67-32330-S,68-56299-S,69-16266-S,70-17763-S,71-2578-S
re4 ai4	41-19286-B
re4 bing4	41-21129-B,70-17803-S,71-21335-S
re4 bing4 du2	56-55306-S,71-21394-S
re4 bu3	41-21715-B
re4 cai2 liao4	66-40614-S
re4 cha1 ba2	41-19480-B
re4 cha2	41-21447-B
re4 chang2	41-21400-B
re4 chao2	41-20627-B
re4 chao3 re4 mai4	41-20682-B
re4 chen2	39-40439-S,41-19148-B
re4 cheng2	41-21844-B
re4 cheng2 ceng2	41-19343-B
re4 chu3 li3	41-21487-B
re4 chuan2 dao3	41-17804-B
re4 dai4	3-61538-S,41-18678-B
re4 dai4 feng1 bao4	41-18800-B
re4 dai4 jie4	30-51886-S
re4 dai4 yu2	41-18870-B
re4 dai4 yu3 lin2	41-18726-B
re4 dao3	15-61983-S,41-18434-B,41-18485-B
re4 dao3 xiao4 ying4	41-18566-B
re4 de5 kuai4	41-18969-B
re4 dian3	30-69166-S,41-22917-B
re4 dian4	41-22611-B
re4 dian4 chang3	41-22679-B
re4 dian4 zhan4	15-42622-S
re4 du4	41-18926-B
re4 du4 shu4	8-22366-S
re4 dui4 liu2	41-18375-B
re4 fa1 dian4 chang3	15-42461-S
re4 fan3 ying4	29-52259-S
re4 feng1	41-22752-B
re4 fu2 she4	41-22067-B
re4 gou3	41-21089-B
re4 han2	41-17882-B,41-20895-B
re4 he2	41-20302-B
re4 he2 fan3 ying4 dui1	41-19575-B
re4 he2 ju4 bian4 fan3 ying4	41-19742-B
re4 he2 wu3 qi4	41-19656-B
re4 hu1 hu1	41-17749-B
re4 hua4	44-41990-S
re4 huo3 shan1 yun2	41-23293-S
re4 ji1	41-19848-B
re4 jing4 luan2	41-21176-B
re4 lang4	41-20371-B
re4 lei4	41-20415-B
re4 lei4 ying2 kuang4	41-20457-B
re4 li4	41-17993-B
re4 li4 xue2	41-18029-B
re4 li4 xue2 wen1 biao1	41-18209-B
re4 li4 xue2 wen1 du4	41-18086-B
re4 lian2 qiu2 jun1	41-22127-B
re4 liang4	41-22256-B,70-17864-S
re4 liang4 dan1 wei4	41-22336-B
re4 lie4	41-20844-B
re4 liu2	70-17450-S
re4 mai4	41-20682-S
re4 mai4 chong1	41-21341-B
re4 mai4 pin3	41-21894-B
re4 men2	41-22418-B
re4 men2 huo4	41-22471-B
re4 men2 yin1 yue4	41-22536-B
re4 nao4	39-9651-S
re4 nao5	41-22844-B,45-39002-S
re4 nei4 lu2	63-55392-S
re4 neng2	15-42561-S,41-21296-B
re4 peng3	41-19402-B
re4 pian4	30-9326-S
re4 qi4	30-9217-S,41-19891-B
re4 qi4 qiu2	41-19933-B
re4 qie4	41-17953-B
re4 qing2	41-19200-B
re4 rong2	41-18325-B
re4 rong2 ji1 guang1 qi4	15-849-S
re4 shen1	41-21958-B
re4 shen1 sai4	41-22007-B
re4 shui3	41-19991-B
re4 shui3 dai4	41-20227-B
re4 shui3 ping2	41-20153-B
re4 shui3 qi4	41-20034-B
re4 shui3 zao3	41-20090-B
re4 tan3	67-32382-S
re4 tang4	41-20966-B
re4 wa3 er3 si1 ji1	31-50276-S
re4 wang4	41-19535-B
re4 wo1	55-24468-S
re4 xi1 ti2	65-65731-S
re4 xian4	41-21233-B
re4 xin1	41-19055-B
re4 xue2	6-37572-S
re4 xue4	41-21559-B
re4 yin3	41-22802-B
re4 yuan2	41-20582-B
re4 zhong1	41-21648-B
re4 zhong1 zi3	41-17689-B
ren	1-2159-S,1-6781-S,1-19078-S,1-20498-S,1-23164-S,1-46021-S,1-67015-S,1-68245-S,1-76291-S,2-9151-S,2-31616-S,2-37637-S,2-45600-S,2-52721-S,2-78899-S,2-83535-S,3-3622-S,3-3834-S,3-5673-S,3-20958-S,3-26218-S,4-5355-B,4-6043-S,4-6378-S,4-20136-B,4-21812-S,4-24967-S,4-25829-S,4-27991-S,4-29921-B,4-32475-S,4-33417-S,4-33981-S,4-35073-S,4-38187-S,4-38614-S,4-38835-S,4-41235-B,4-41517-S,4-41936-S,4-55072-S,4-60709-S,5-2233-S,5-5561-S,5-5943-S,5-10944-S,5-23104-S,5-26596-S,5-28478-S,5-32363-S,5-33141-S,5-39470-S,5-39854-S,5-43028-S,5-49003-S,5-52494-S,5-52560-S,5-62463-S,5-62994-S,5-64277-S,6-495-S,6-3706-S,6-5530-S,6-7209-S,6-10543-S,6-14428-S,6-21347-S,6-33514-S,6-39776-S,6-42892-S,6-43060-S,6-43446-S,6-50881-S,6-51459-S,6-64075-S,7-5005-S,7-19674-S,7-61668-S,7-64306-S,7-64702-S,7-71495-S,7-72278-S,8-519-S,8-6205-S,8-29136-S,8-30097-S,8-34811-S,8-36975-S,8-38370-S,8-48173-S,8-48933-B,9-3007-S,9-5800-S,9-18007-S,9-18237-S,9-31710-S,9-36129-S,9-37059-S,9-37763-S,9-68476-S,10-4026-S,10-25495-S,10-65294-S,11-18704-S,11-20156-S,11-20830-S,11-22184-S,11-26158-S,11-27454-S,11-41027-S,11-42996-S,11-56732-S,11-59582-S,11-59744-S,11-63102-S,11-64531-S,12-61-S,12-11348-S,12-12409-S,12-19211-S,12-21077-S,12-28223-S,12-31718-S,12-32786-S,12-40216-S,12-40385-S,12-41354-S,12-45379-S,12-53654-S,12-56131-S,12-60458-S,12-66933-S,13-2158-S,13-10969-S,13-12951-S,13-21082-S,13-39916-S,13-57886-S,14-56186-S,14-61758-S,15-1592-S,15-30822-S,15-32438-S,15-65682-S,16-4508-S,16-5200-S,16-5888-S,16-16490-S,16-16971-S,16-29697-S,16-34610-S,16-36293-B,16-43196-S,16-45666-S,16-46495-S,16-48431-S,16-51374-S,17-5117-S,17-5117-S,17-60138-S,17-62811-S,17-62811-S,18-8255-S,18-11506-S,18-19133-S,18-19193-S,18-20525-S,18-22087-S,18-32547-S,18-33956-B,18-34518-S,18-40872-S,18-41705-S,18-46551-S,18-54484-S,18-55718-S,18-57693-S,18-57952-S,18-59022-S,19-23000-S,19-35531-S,19-51267-S,19-51582-S,19-55478-S,19-58544-S,19-60901-S,19-65493-S,20-1353-S,20-6595-S,20-21976-S,20-37740-S,20-37821-S,20-69270-S,21-9296-S,21-13184-S,21-16522-S,21-19205-S,21-19205-S,21-41133-S,21-52789-S,21-60869-S,22-18549-S,22-19669-S,22-29060-S,22-29724-S,22-29775-S,22-41929-S,22-49713-S,22-66670-S,23-2041-S,23-3398-S,23-8342-S,23-13852-S,23-43917-S,23-63118-S,23-66810-S,24-23979-S,24-24648-S,24-42505-B,24-43266-S,24-44736-S,24-58373-S,24-64646-S,24-66872-B,25-1582-S,25-9626-S,25-12062-S,25-19037-S,25-23374-S,25-23672-S,25-24594-S,25-28392-S,25-31055-S,25-32736-S,25-32736-S,25-33619-S,25-35432-S,25-36294-S,25-38771-S,25-63390-S,25-64296-S,26-168-S,26-3758-S,26-7727-S,26-7768-S,26-8394-S,26-9713-S,26-12862-S,26-37448-S,26-37845-S,26-38739-S,26-60773-S,26-62095-S,27-808-S,27-3339-S,27-42942-S,27-56414-S,27-56636-S,28-5292-S,28-12015-S,28-18899-S,28-25112-S,28-27014-S,28-29668-S,28-36731-S,29-1659-S,29-1802-S,29-6370-S,29-8785-S,29-13274-S,29-14781-S,29-16125-S,29-22506-S,29-27081-S,29-40094-S,29-42715-S,29-48912-S,29-58640-S,29-60279-S,30-17439-S,30-25447-S,30-34012-S,30-43737-S,30-43814-S,30-44397-S,30-54819-S,31-2669-S,31-8346-S,31-17866-S,31-22001-S,31-51503-S,31-56645-S,31-57537-S,32-28069-S,32-29584-S,32-29640-S,32-32698-S,32-39575-S,32-54979-S,32-56080-S,32-58131-S,32-60530-S,32-62287-S,33-1279-S,33-1856-S,33-6406-S,33-10033-S,33-10033-S,33-27342-S,33-42186-S,33-55268-S,33-58385-S,34-428-S,34-2651-S,34-5466-S,34-7289-S,34-23974-B,34-25419-S,34-27555-S,34-41594-S,34-42097-S,34-48665-S,35-2782-S,35-27129-S,35-28511-S,35-51577-S,35-56579-S,35-62583-S,35-63291-S,35-66319-S,36-5063-S,36-5119-S,36-19052-S,36-25306-S,36-45214-S,36-48722-S,36-59828-S,37-9977-S,37-20545-S,37-24894-S,37-29288-S,37-29391-S,37-29837-S,37-49576-S,37-63473-S,38-498-S,38-34879-S,39-5600-S,39-35477-S,39-48121-S,40-21575-S,40-31899-S,40-32311-S,40-34919-S,40-37387-S,40-43492-S,40-46068-S,40-61953-S,41-14993-S,41-16015-S,41-33357-S,41-51592-B,41-51709-S,41-52464-S,41-55767-S,42-251-S,42-2364-S,42-3918-S,42-9587-S,42-14366-S,42-15475-S,42-24437-S,42-28888-S,42-29480-S,42-46313-S,42-49406-S,42-61476-S,42-61635-S,43-1882-S,43-16627-S,43-18257-S,43-32114-S,43-34061-S,43-44091-S,43-44925-S,43-48554-S,43-63875-S,43-65410-S,44-8437-S,44-26148-S,44-30081-S,44-33502-S,44-34106-S,44-34505-S,44-36211-S,44-36630-S,44-36868-S,44-53411-S,45-5553-S,45-9479-S,45-10285-S,45-16023-S,45-19465-S,45-23064-S,45-31851-S,45-39795-S,45-39958-S,45-40625-S,45-52881-S,45-55126-S,46-733-S,46-1835-S,46-31310-S,46-34004-S,46-47550-S,46-52214-B,46-53789-S,46-57751-S,47-11857-S,47-17348-S,47-30388-B,47-36057-S,47-56973-S,47-61861-S,48-7387-S,48-8814-S,48-26631-S,49-6537-S,49-14335-B,49-17202-S,49-18987-S,49-21515-S,49-24533-B,49-39725-B,49-45481-S,49-59265-S,49-61747-S,50-1019-S,50-1565-S,50-26859-S,50-26969-S,50-27170-S,50-40273-S,50-42658-S,50-42958-S,50-51528-S,50-54057-S,51-1828-S,51-2939-S,51-5509-S,51-12393-S,51-14984-S,51-22762-S,51-24999-S,51-27819-S,51-40526-S,51-44389-S,51-51491-S,51-53054-S,51-56722-S,51-69277-S,52-2408-S,52-8138-B,52-19564-S,52-26908-S,52-36590-B,52-49750-S,53-5158-S,53-6537-S,53-7215-S,53-8835-S,53-10860-S,53-14033-S,53-22950-S,53-26617-S,53-40600-S,53-44218-S,54-2059-S,54-16905-B,54-19469-B,54-31771-S,54-37261-S,54-56611-B,54-58214-S,54-61792-S,55-30641-S,55-31113-S,55-32276-S,56-76-S,56-7805-S,56-24109-S,56-31257-S,56-49099-B,56-51080-S,56-51500-S,56-51934-S,56-54715-S,56-55981-S,57-4166-S,57-4635-S,57-4762-S,57-17925-S,57-19405-S,57-25020-S,57-31055-S,57-36708-S,57-37861-S,57-64016-B,58-13959-S,58-19734-B,58-19786-S,58-43561-S,58-49246-S,58-49359-S,58-59853-S,58-60119-S,59-6287-S,59-32262-S,59-32336-S,59-40521-S,59-42472-S,59-46061-S,59-56323-S,59-57929-S,60-9520-S,60-19733-S,60-24794-S,60-29402-S,60-37589-S,60-41584-S,60-63684-S,61-1648-B,61-4695-S,61-6892-S,61-9071-S,61-15456-S,61-35943-S,61-38102-S,61-38843-S,61-39557-S,61-47304-S,61-53555-S,61-59979-S,61-61549-S,61-63508-S,62-3500-S,62-19570-S,62-33860-S,62-36278-S,62-43320-S,62-48338-S,62-60192-S,63-1087-S,63-16291-S,63-29742-S,63-31841-S,63-34847-S,63-55725-S,64-2946-S,64-4417-S,64-11165-S,64-29885-S,65-120-S,65-42555-S,65-45230-S,65-70081-S,66-2736-S,66-6650-S,66-7927-S,66-16629-S,66-19925-S,66-47524-S,66-61462-S,66-63401-S,66-64114-S,67-8719-S,67-14013-S,67-15728-S,67-42883-S,67-55304-S,67-66430-S,68-9702-S,68-10849-B,68-11480-S,68-34038-S,69-1726-S,69-5049-B,69-21075-S,69-27015-S,69-32154-S,69-32396-S,69-32691-S,69-46047-S,69-49782-S,69-53530-S,69-59494-S,70-9848-S,70-39874-S,70-40421-S,70-56241-B,70-58539-S,71-22143-S,71-29012-S,71-36939-S
ren Man zu zi zhi xian	34-7355-S
ren Ti yu chang	10-25990-S
ren ai	4-20799-B
ren an	1-68498-S,35-66498-S
ren an jian	35-66567-S
ren an quan dao	56-31302-S
ren bang	14-46254-S
ren bao	4-6098-B
ren bian	4-42048-B
ren bu ba	16-4554-S,16-5950-S
ren bu fu	40-32129-S
ren bu guo tou dian di	35-66390-S
ren bu ke mao xiang	4-5395-B
ren bu kuai	4-34113-S
ren bu qian	19-58633-S
ren bu zhi gui bu jue	4-5507-B
ren bu zhu	24-42557-B
ren cai	4-9911-B,4-10590-B,4-15763-B,20-39715-S
ren cai liang kong	4-16429-B
ren cai wai liu	4-10097-B
ren chao	4-14015-B
ren che hun xing	4-16815-B
ren chen	4-15975-B,16-36768-B
ren cheng	4-15184-B,48-8302-S
ren cheng dai ci	4-15256-B
ren cheng hu	1-29980-S
ren cheng shi	14-59084-S
ren chi	24-43089-B
ren chi ru	12-67653-S
ren chong	19-58855-S
ren chong bai	5-52759-S
ren chu	58-20041-B
