wei3 xiong2	40-50156-S
wen2	1-14325-S,1-45579-S,2-806-S,2-72138-S,3-6837-S,3-45085-S,4-10214-S,4-22245-S,4-65964-S,4-66051-S,5-7087-S,5-32267-S,5-43280-S,5-47922-S,6-38994-S,7-118-S,7-16767-S,7-36896-S,7-60170-S,8-29866-S,9-20103-S,9-57944-S,11-8882-S,11-10353-S,11-20222-S,11-33318-S,12-2290-S,13-8255-S,13-28185-S,14-55911-S,15-19258-S,16-48170-S,17-47315-S,18-1489-S,19-13786-S,19-16850-S,19-21091-S,22-3757-S,22-20039-S,22-21757-S,22-29127-S,23-26720-S,23-28977-S,24-4508-S,24-8318-S,24-27032-S,25-46988-S,26-9999-S,26-29570-S,26-29869-S,27-20707-S,27-60931-S,27-63216-S,29-16065-S,29-24876-S,30-497-S,30-8414-S,30-25365-B,30-30985-S,30-32918-S,30-40774-S,30-54060-S,31-7134-S,31-9426-S,31-24015-S,31-40793-S,32-2964-S,32-35262-S,32-48019-S,32-64147-S,34-4395-S,34-14424-S,34-14859-S,34-17416-S,34-56568-S,35-9332-S,35-27963-S,35-36906-S,36-5648-S,36-41244-S,37-5033-S,37-31926-S,37-40935-S,37-46939-S,39-49662-S,39-57789-S,42-33629-S,42-35236-S,42-35975-S,42-37493-B,42-43810-S,43-42322-S,43-61823-S,44-19377-S,44-39498-S,44-46332-S,45-1277-S,45-19833-S,46-28454-S,47-9812-S,48-38991-S,48-41671-S,48-59209-S,49-14566-B,49-58927-S,50-23761-S,50-30094-S,50-37304-S,50-38650-S,50-53210-S,50-58647-S,50-61239-S,51-56383-B,51-57206-S,51-67318-S,52-1213-S,52-1335-S,52-27997-S,53-16095-S,53-24599-S,53-59527-S,54-3568-S,54-24271-S,54-34101-S,54-58287-S,54-63322-S,55-30969-S,55-52633-S,55-57681-B,56-14536-S,56-54569-S,57-17664-S,57-20550-S,57-27197-S,57-30720-S,58-25663-S,58-34449-S,58-44338-S,59-2711-S,59-6702-S,59-9227-S,60-17526-S,60-26729-S,60-27064-S,60-30592-S,61-24943-S,62-33391-S,62-54485-S,63-48742-S,63-53299-S,63-59529-S,64-10649-S,64-31884-S,65-804-S,65-38724-S,65-50367-B,65-50745-B,66-3070-S,66-12072-S,66-32759-S,67-4886-S,67-13320-S,67-17673-B,68-12332-S,68-17495-S,68-38439-S,69-20682-S,69-32334-S,70-37021-S,71-37209-S
wen2 Da4 xue2	69-26806-S
wen2 Wang2	25-17795-S
wen2 Zhou1 kan1	30-54319-S,30-55278-S
wen2 ban3	2-72277-S
wen2 ben3	30-28816-B,60-21083-S
wen2 ben3 biao1 ji4 yu3 yan2	60-21389-S
wen2 ben3 chuan2 shu1 xie2 ding4	60-21138-S
wen2 ben3 chuan2 song4 xie2 yi4	60-21263-S
wen2 bi3	30-30262-B
wen2 bi3 shi4	43-61942-S
wen2 bu4 qu3	8-53913-S
wen2 bu4 ru2 yi1 jian4	44-55966-S
wen2 bu4 sheng3	30-31290-B
wen2 bu4 wen4	2-25579-S
wen2 chang1 yu2	30-28370-B
wen2 chu1	51-56769-B
wen2 chu1 ban3 zong3 shu3	30-54170-S
wen2 chu4	29-54775-S,30-55137-S
wen2 chuan2 tong1 xun4 she4	15-16789-S
wen2 chuang1 wai4 shi4	7-47401-S
wen2 chui2	51-33463-S
wen2 chui2 shi4	51-33522-S
wen2 da2	51-57506-B
wen2 dan1 wei4	17-47416-S
wen2 dang4	30-28862-B
wen2 dao4	51-56854-B
wen2 di2 shi2	11-14808-S
wen2 di4	23-21266-S,39-49741-S
wen2 di4 Liu2 heng2	39-49826-S
wen2 duan4 zi4	58-62591-S
wen2 dui4 zhao4	2-79777-S
wen2 duo1 shi2	11-9379-S
wen2 fa1 bu4 hui4	30-54655-S,30-54737-S
wen2 fa1 yan2 ren2	30-54819-S
wen2 fa3	2-11153-S,26-10052-S,30-29544-B
wen2 fang2 si4 bao3	30-28129-B
wen2 feng1	69-50763-S
wen2 feng1 bu4 dong4	30-31671-B,49-15396-B
wen2 feng1 er2 dong4	51-57662-B
wen2 feng1 sang4 dan3	51-57577-B
wen2 fu2 li3	55-52717-S
wen2 gang3	62-54554-S
wen2 gao3	30-30090-B,30-54894-S
wen2 ge2	30-31595-B
wen2 gong1 zuo4 zhe3	30-54513-S
wen2 guan3	12-47846-S
wen2 guang3 bo1	2-72190-S
wen2 gui1 ding4	31-24075-S
wen2 guo2 jia1 shi2 yan2 shi4	22-18780-S
wen2 guo4 ze2 xi3	51-57365-B
wen2 hua4	3-59418-S,4-40687-S,12-2386-S,25-21577-S,30-26004-B,33-18153-S,35-20777-S,53-42172-S,57-17981-S,60-39632-S,71-58777-S
wen2 hua4 chong1 ji1	30-26459-B
wen2 hua4 chuan2 tong3	30-26141-B
wen2 hua4 de5 jiao1 liu2	30-26376-B
wen2 hua4 gong1	30-26315-B
wen2 hua4 jiao1 liu2	30-26067-B
wen2 hua4 xie2 hui4	54-2456-S
wen2 hua4 yi2 chan3	2-39540-S,30-26530-B
wen2 hua4 yi2 chan3 di4	2-39641-S
wen2 hua4 zhang4 ai4	30-26603-B
wen2 ji2	30-31500-B
wen2 ji4 zhe3	30-55213-S
wen2 jian3 suo3	7-36942-S
wen2 jian4	30-25626-B,35-3188-S,60-20901-S,67-28349-S
wen2 jian4 chuan2 shu1 xie2 ding4	60-20957-S
wen2 jian4 fu2 wu4 qi4	30-25739-B
wen2 jian4 ge2 shi4	30-25815-B
wen2 jian4 jia1	30-25674-B
wen2 jiang1 xue2 hai3	30-29469-B
wen2 jiao2 zi4	13-28961-S
wen2 jie4	30-54591-S
wen2 jing1	4-22577-S
wen2 jing1 xue2	4-22670-S
wen2 jing4	30-31548-B
wen2 ju4	30-25882-B
wen2 ju4 shang1	30-25949-B
wen2 ke1	30-29979-B
wen2 ke4 lao2	27-23350-S
wen2 lao3 shi1	58-25719-S
wen2 le4 jian4	14-9089-S
wen2 li3	49-14630-B
wen2 lian2	2-58971-S,30-30362-B
wen2 lu4	49-15196-B
wen2 lu:3	49-15010-B
wen2 lu:3 r5	49-15124-B
wen2 mang2	10-58278-S,30-29934-B
wen2 mei2 ti3	30-54393-S
wen2 men2	21-42255-S
wen2 ming2	7-46500-S,12-2450-S,30-28452-B,41-54961-S,51-56937-B,53-26540-S,62-49230-S
wen2 ming2 he2 jing1 shen2 wen2 ming2	41-54961-S
wen2 ming2 hua4	30-28517-B
wen2 ming2 xia2 er3	51-57006-B
wen2 na4	27-23420-S
wen2 ni2 ya4	30-41525-S
wen2 ping2	30-28019-B
wen2 qi3 dong4	58-34486-S
wen2 qiang2 ji4	11-9483-S
wen2 qiang2 shi2	11-9608-S
wen2 qing1 wu3	63-59624-S
wen2 qu1	21-42155-S
wen2 ren2	30-25447-B,51-56722-B
wen2 ru4 jie2	50-37370-S
wen2 ruan3 ni2	30-36530-S
wen2 sen1	30-42531-S
wen2 sen1 te4 he2 Ge2 lin2 na4 ding1 si1	51-47289-S
wen2 she4	2-59198-S,32-49987-S
wen2 she4 hui4 xue2 ke1	4-10390-S
wen2 she4 ke1	4-10497-S
wen2 shen1	30-31127-B,49-15310-B
wen2 sheng1 yi4	32-46090-S
wen2 shi1	30-8459-S
wen2 shi2	55-60259-S
wen2 shi2 yan2 shi4	22-18929-S
wen2 shi3	30-26676-B
wen2 shi4	30-31813-B,49-15538-B
wen2 shu1	30-28658-B
wen2 shu1 chu3 li3	30-28746-B
wen2 shu1 ru4 fa3	2-72436-S
wen2 si1	12-22467-S,30-39325-S,49-14768-B
wen2 si1 bu4 dong4	49-14823-B
wen2 si1 r5	49-14938-B
wen2 suo3 wei4 wen2	51-57206-B
wen2 tai2	17-47359-S,49-30160-S
wen2 tan2	30-26732-B
wen2 wang2	2-59285-S
wen2 wang3	11-10106-S,30-55005-S,32-38393-S,51-4325-S
wen2 wu3	26-37237-S,30-28912-B
wen2 wu3 bai3 guan1	30-28963-B
wen2 wu3 shuang1 quan2	30-29047-B
wen2 wu4	30-29584-B
wen2 wu4 jian4 ding4 wei3 yuan2 hui4	15-5708-S
wen2 wu4 ju2	15-5591-S
wen2 wu4 wei3 yuan2 hui4	15-5463-S
wen2 xi1	51-57154-B
wen2 xi1 Mi4 ma3	62-53762-S
wen2 xi4	2-72350-S,16-48230-S
wen2 xian4	30-29648-B
wen2 xian4 xue2	30-29691-B
wen2 xuan3	30-31168-B
wen2 xue2	2-58697-S,4-10335-S,17-47497-S,30-27144-B,30-54458-S,36-12374-S
wen2 xue2 bo2 shi4	30-27188-B
wen2 xue2 da4 cheng2	17-47552-S
wen2 xue2 jia1	17-47644-S,30-27326-B
wen2 xue2 jiang3	30-27392-B,54-7606-S,58-49970-S
wen2 xue2 shi3	30-27260-B
wen2 xue2 yi4 shu4 jie4 lian2 he2 hui4	2-58773-S
wen2 xun4	51-57314-B
wen2 ya3	30-31452-B
wen2 yan2	30-30934-B,55-60196-S
wen2 yan2 wen2	30-30985-B
wen2 yi1 zhi1 shi2	51-56550-B
wen2 yi3 zai4 dao4	30-25497-B
wen2 yi4	30-30813-B
wen2 yin2	49-15351-B
wen2 yu2	1-34952-S
wen2 yun4 dong4	12-2515-S
wen2 zhai1	30-28212-B,59-6631-S
wen2 zhang1	17-21518-S,30-30163-B,49-14720-B
wen2 zhang4	55-57752-B
wen2 zhen1	14-57174-S
wen2 zhi1	30-36474-S,50-18516-S
wen2 zhi2	30-30468-B
wen2 zhi4 bin1 bin1	30-31047-B
wen2 zhong3 ping2 mian4	15-69165-S
wen2 zhu2	30-30212-B
wen2 zhu3 bo1	30-54098-S
wen2 zhu3 yi4	4-10272-S,37-15893-S
wen2 zi4	2-73055-S,27-20782-S,27-53242-S,30-26855-B,34-29942-S,35-57630-S,38-49493-S,38-56474-S,43-42438-S,56-44700-S,59-23551-S,68-37410-S
wen2 zi4 dang4	30-27090-B
wen2 zi4 gai3 ge2	30-27008-B
wen2 zi4 xue2	30-26955-B
wen2 zi4 you2	30-55062-S
wen2 zi5	17-26443-S,55-57712-B
wen2 zong1	30-27523-B
wen2 zu3	30-54952-S
wen2 zu3 zhi1	51-58750-S
wen2 · Hai3 ding4	30-40858-S
wen2 · He4 ding4	30-40945-S
wen3	2-22757-S,8-64111-B,13-6761-B,13-10096-B,14-49300-S,19-31813-S,22-43731-S,26-65795-S,28-25713-S,37-7204-S,47-40993-B,47-41463-B,47-63006-S,49-14386-B,53-1402-S,57-38266-S,68-62895-S
wen3 bian4	47-41507-B
wen3 bu4	47-43239-B
wen3 cao1 sheng4 quan4	47-43080-B
wen3 da3	47-42888-S
wen3 dang5	47-43366-B
wen3 ding4	2-22807-S,47-42261-B
wen3 ding4 du4	47-42418-B
wen3 ding4 qi4 liu2	2-22860-S
wen3 ding4 tang2	47-42329-B
wen3 ding4 wu4 jia4	47-42538-B
wen3 ding4 xing4	47-42482-B,65-15519-S
wen3 gu4	47-41796-B
wen3 hai3 tun2	20-24361-S
wen3 he2	13-6794-B
wen3 hou4	47-41745-B
wen3 huo4	47-43294-B
wen3 jian4	47-41583-B
wen3 jing4	47-43621-B
wen3 lian4	47-43427-B
wen3 liu2	49-14518-B
wen3 luan4	9-35415-S,49-14469-B
wen3 na2	47-43010-B
wen3 ping2 heng2	2-22935-S
wen3 po2	47-42210-B
wen3 ru2 Tai4 shan1	47-42076-B
wen3 sheng4	47-41640-B
wen3 shi2	47-42693-B
wen3 tai4	47-42752-B
wen3 tai4 li3 lun4	47-42798-B
wen3 tie1	47-43504-B
wen3 tuo3	47-42166-B
wen3 xing4	2-23012-S
wen3 xuan2 wo1 jie2 gou4	39-17334-S
wen3 ya1	47-42029-B
wen3 zha1 wen3 da3	47-42888-B
wen3 zhong4	47-43565-B
wen3 zuo4 diao4 yu2 tai2	47-41835-B
wen4	2-1747-S,2-9764-S,2-25579-S,5-64954-S,11-11092-S,11-45730-S,11-54824-S,12-20391-S,13-62452-B,15-1826-S,18-8875-S,19-17261-S,20-20916-S,20-44933-S,25-33035-S,25-51534-S,26-64943-B,27-50559-S,28-25374-S,28-38230-S,28-61572-B,32-31582-S,33-18297-S,33-45711-S,35-34776-S,36-16582-S,43-7468-B,44-3863-S,44-27087-S,45-10618-S,48-20560-S,48-21628-S,52-56490-S,53-3894-S,56-54471-S,57-60933-S,58-945-S,58-12108-S,58-42573-S,59-59775-S,61-56577-S,62-44078-S,68-49168-S,70-40841-S
wen4 Hai3	22-25442-S
wen4 Mei3 guo2	58-1090-S
wen4 an1	13-62691-B
wen4 da2	13-62928-B
wen4 dai4 ci2	44-3957-S
wen4 dao3	22-25386-S
wen4 dao4	13-63251-B
wen4 di3	9-5303-S,20-45227-S,45-11228-S,58-12152-S,61-58233-S
wen4 ding3	13-63360-B
wen4 ding3 qing1 zhong4	13-63687-B
wen4 ding3 zhong1 yuan2	13-63511-B
wen4 fang1 shi4	58-1019-S
wen4 hao3	13-62617-B
wen4 hao4	13-62980-B
wen4 hou4	13-62542-B
wen4 hua4	13-63129-B
wen4 ji2	23-26799-S
wen4 ju4	44-4041-S
wen4 kong4 zhi4	4-24140-S,18-56285-S
wen4 kong4 zhi4 ceng2	4-24245-S
wen4 liang4	58-1247-S
wen4 liu3	20-45872-S
wen4 lu4	13-63200-B
wen4 nuan3	14-34182-S
wen4 san1 bu4 zhi1	1-4844-S
wen4 shi4	13-62481-B
wen4 ti2	1-44714-S,2-39416-S,8-5239-S,8-37116-S,13-63299-B,14-43080-S,16-516-S,17-10158-S,19-23521-S,22-30352-S,22-32093-S,31-51611-S,32-48109-S,33-56323-S,37-9259-S,57-51000-S,62-18478-S,64-63-S
wen4 wen4 ti2	22-30352-S
wen4 xian4	54-6290-S
wen4 xin1 wu2 kui4	13-62847-B
wen4 xin1 you3 kui4	13-62764-B
wen4 xun4	13-63082-B
wen4 zhe3	58-1190-S
weng	1-68753-S,3-3755-S,11-14906-S,14-25023-B,14-25073-S,16-18408-B,20-7887-S,20-43675-S,39-25605-B,43-11925-B,43-13017-B,44-48743-S,44-57169-S,50-50165-B,51-16538-B,54-57047-S,55-4922-B,55-17373-B,56-10152-B,59-59038-S,70-58469-B,71-52964-B
weng cai	36-46073-S,55-17441-B
weng de li	71-1255-S
weng miao	4-50848-S
weng shi ma	16-20852-S
weng shi ma an zhi fei fu	16-20933-S
weng weng	14-25073-B
weng you	55-7805-S
weng1	1-68753-S,3-3755-S,11-14906-S,14-25023-B,14-25073-S,20-7887-S,20-43675-S,44-48743-S,44-57169-S,51-16538-B,54-57047-S,56-10152-B,59-59038-S,70-58469-B
weng1 de2 li4	71-1255-S
weng1 miao4	4-50848-S
weng1 shi1 ma3	16-20852-S
weng1 shi1 ma3 an1 zhi1 fei1 fu2	16-20933-S
weng1 weng1	14-25073-B
weng3	16-18408-B,39-25605-B,55-4922-B
weng4	43-11925-B,43-13017-B,50-50165-B,55-17373-B,71-52964-B
weng4 cai4	36-46073-S,55-17441-B
weng4 you3	55-7805-S
wo	4-54569-S,5-60246-S,6-3648-B,6-13758-B,6-58064-S,11-25483-S,11-28395-S,14-6096-B,14-6096-B,16-11581-S,17-62068-S,18-53109-B,22-33676-B,24-45609-S,26-12833-B,26-65687-S,28-14025-S,28-47410-B,29-60429-S,30-37388-B,30-70808-S,32-5228-S,35-9820-S,37-2824-B,37-3462-S,38-38193-B,39-2849-B,39-2993-B,39-51993-S,39-52082-S,40-52785-S,40-53888-S,41-29165-S,45-51137-S,47-20965-S,47-56189-B,50-14723-S,51-28640-S,51-39847-S,52-9629-B,52-11561-S,52-24012-S,52-36185-S,52-54162-B,53-6215-S,54-48607-B,55-24468-S,56-2966-S,56-5859-S,56-9335-B,56-52210-S,56-52210-S,59-62329-S,60-20738-S,60-47301-B,61-3845-S,61-46766-S,63-40366-S,70-4032-S,70-50528-S,71-34091-S,71-56996-B
wo ai ni	26-13059-B
wo an wei	53-6345-S
wo bian	35-16484-B
wo bie	28-47502-B
wo bing	52-54909-B
wo bo r	47-56449-B
wo bu an	52-54200-B
wo cang	47-56589-B
wo chao	47-56360-B
wo che	52-55214-B
wo cheng	5-50213-S
wo chuang	52-54530-B,56-9661-B
wo chuo	10-62808-S,10-62946-S,71-57106-B
wo ci	67-42787-S
wo da	47-56215-B
wo dao	52-54345-B
wo de	26-13111-B
wo de ren	53-6537-S
wo deng	26-13149-B
wo di	52-54571-B
wo dian nao	28-14190-S
wo er	25-34312-S,62-53866-S
wo er de	47-21454-S
wo er fu jiang	37-3370-B
wo er ma	37-3531-B,37-3604-B
wo er zu	62-53930-S
wo fang	52-54725-B
wo feng	1-16401-S
wo fo	52-54297-B
wo guan	37-3188-B
wo gui	52-55272-B
wo guo	26-13009-B
wo guo r	52-54802-B
wo he	39-3074-B
wo hu	45-12600-S,52-55051-B,55-31912-S
wo huo	5-9667-S
wo ji	20-4883-S
wo jie gou	39-17334-S
wo jie shao	53-6252-S
wo ju	52-54451-B,54-48686-B,56-9405-B
wo jun	6-3851-B
wo kan	5-24880-S,15-35005-S,29-24191-S
wo lai kan	5-24801-S
wo le	54-10271-S
wo li	28-47549-B
wo long	52-55430-B
wo long da xiong mao bao hu qu	52-55663-B
wo lu	56-9468-B
wo lun	39-3121-B
wo lun pen qi fa dong ji	39-3161-B
wo lun zhou fa dong ji	39-3255-B
wo man	59-34936-S
wo mei	56-3042-S
wo men	26-12897-B
wo men zi ji	26-12948-B
wo nang	47-56251-B
wo nei	52-54411-B
wo niu	56-9623-B
wo nong bao	47-56528-B
wo ping jia	53-6592-S
wo pu	52-55368-B
wo qi zuo	4-40458-S
wo quan	28-47653-B
wo r	24-37105-S,27-69794-S
wo r wang chao	54-26144-S
wo rang	37-3028-B
wo rao	37-3870-B
wo ren	6-3706-B,26-12862-B
wo shi	52-54490-B,52-54676-B
wo shi xian	53-6455-S
wo shou	28-47605-B
wo si	27-64128-S,62-54232-S
wo si lun tan	62-54331-S
wo si tuo ke	48-6575-S,48-6722-S
wo sun	54-48636-B
wo ta	52-54857-B
wo tai hua	39-2885-B
wo te	22-20839-S
wo tu	37-2984-B
wo wei	52-54259-B
wo wo	11-28395-S
wo xia ke	24-27325-S
wo xin	47-56398-B
wo xin chang dan	52-54964-B
wo xing	56-9768-B
wo xing xi	31-0-S
wo xuan	30-37417-B,39-3029-B,43-5849-S,56-9544-B
wo yan	37-3770-B,56-9730-B
wo ye	37-3826-B
wo zha	41-43222-S
wo zhe chang ni wo zhe wang	68-24374-S
wo zhe wang	68-24374-S
wo zheng	56-19825-S
wo zhou	37-3074-B
wo zhu	28-47460-B
wo zhuang	31-69-S
wo zhuo	71-57036-B
wo zi ji	26-13188-B
wo1	6-3648-B,11-25483-S,16-11581-S,17-62068-S,30-70808-S,39-2993-B,39-51993-S,39-52082-S,41-29165-S,45-51137-S,47-56189-B,51-28640-S,51-39847-S,52-24012-S,52-36185-S,54-48607-B,55-24468-S,56-2966-S,56-9335-B,59-62329-S,60-47301-B,63-40366-S,70-4032-S,70-50528-S
wo1 bo2 r5	47-56449-B
wo1 cang2	47-56589-B
wo1 chao2	47-56360-B
wo1 chuang1	56-9661-B
wo1 da1	47-56215-B
wo1 feng1	1-16401-S
wo1 he2	39-3074-B
wo1 jie2 gou4	39-17334-S
wo1 ju1	56-9405-B
wo1 ju4	54-48686-B
wo1 jun1	6-3851-B
wo1 lu2	56-9468-B
wo1 lun2	39-3121-B
wo1 lun2 pen1 qi4 fa1 dong4 ji1	39-3161-B
wo1 lun2 zhou2 fa1 dong4 ji1	39-3255-B
wo1 mei2	56-3042-S
wo1 nang5	47-56251-B
wo1 niu2	56-9623-B
wo1 nong2 bao1	47-56528-B
wo1 r5	24-37105-S,27-69794-S
wo1 ren2	6-3706-B
wo1 si4	27-64128-S
wo1 sun3	54-48636-B
wo1 xin1	47-56398-B
wo1 xing1 xi4	31-0-S
wo1 xing2	56-9768-B
wo1 xuan2	39-3029-B,43-5849-S,56-9544-B
wo1 yan2	56-9730-B
wo1 zheng1	56-19825-S
wo1 zhuang4	31-69-S
wo3	11-28395-S,18-53109-B,24-45609-S,26-12833-B,29-60429-S,40-52785-S,53-6215-S,60-20738-S
wo3 ai4 ni3	26-13059-B
wo3 an1 wei4	53-6345-S
wo3 de5	26-13111-B
wo3 de5 ren2	53-6537-S
wo3 deng3	26-13149-B
wo3 guo2	26-13009-B
wo3 huo2	5-9667-S
wo3 jie4 shao4	53-6252-S
wo3 kan4	5-24880-S,15-35005-S,29-24191-S
wo3 lai2 kan4	5-24801-S
wo3 man4	59-34936-S
wo3 men5	26-12897-B
wo3 men5 zi4 ji3	26-12948-B
wo3 ping2 jia4	53-6592-S
wo3 ren2	26-12862-B
wo3 shi2 xian4	53-6455-S
wo3 wo3	11-28395-S
wo3 zha4	41-43222-S
wo3 zhe3 chang1 ni4 wo3 zhe3 wang2	68-24374-S
wo3 zhe3 wang2	68-24374-S
wo3 zi4 ji3	26-13188-B
wo4	4-54569-S,5-60246-S,6-13758-B,6-58064-S,22-33676-B,26-65687-S,28-14025-S,28-47410-B,30-37388-B,32-5228-S,35-9820-S,37-2824-B,37-3462-S,38-38193-B,39-2849-B,40-53888-S,47-20965-S,50-14723-S,52-9629-B,52-11561-S,52-54162-B,56-5859-S,61-3845-S,61-46766-S,71-34091-S,71-56996-B
wo4 bian1	35-16484-B
wo4 bie2	28-47502-B
wo4 bing4	52-54909-B
wo4 bu4 an1	52-54200-B
wo4 che1	52-55214-B
wo4 cheng1	5-50213-S
wo4 chuang2	52-54530-B
wo4 chuo4	10-62808-S,10-62946-S,71-57106-B
wo4 ci2	67-42787-S
wo4 dao3	52-54345-B
wo4 di3	52-54571-B
wo4 dian4 nao3	28-14190-S
wo4 er2 ma3	37-3531-B
wo4 er3	25-34312-S,62-53866-S
wo4 er3 de2	47-21454-S
wo4 er3 fu1 jiang3	37-3370-B
wo4 er3 ma3	37-3604-B
wo4 er3 zu2	62-53930-S
wo4 fang2	52-54725-B
wo4 fo2	52-54297-B
wo4 guan4	37-3188-B
wo4 gui3	52-55272-B
wo4 guo3 r5	52-54802-B
wo4 hu3	45-12600-S,52-55051-B,55-31912-S
wo4 ji1	20-4883-S
wo4 ju4	52-54451-B
wo4 le4	54-10271-S
wo4 li4	28-47549-B
wo4 long2	52-55430-B
wo4 long2 da4 xiong2 mao1 bao3 hu4 qu1	52-55663-B
wo4 nei4	52-54411-B
wo4 pu4	52-55368-B
wo4 qi3 zuo4	4-40458-S
wo4 quan2	28-47653-B
wo4 r5 wang2 chao2	54-26144-S
wo4 rang3	37-3028-B
wo4 rao2	37-3870-B
wo4 shi4	52-54490-B,52-54676-B
wo4 shou3	28-47605-B
wo4 si1	62-54232-S
wo4 si1 lun4 tan2	62-54331-S
wo4 si1 tuo1 ke4	48-6575-S,48-6722-S
wo4 ta4	52-54857-B
wo4 tai4 hua2	39-2885-B
wo4 te4	22-20839-S
wo4 tu3	37-2984-B
wo4 wei4	52-54259-B
wo4 xia4 ke4	24-27325-S
wo4 xin1 chang2 dan3	52-54964-B
wo4 xuan2	30-37417-B
wo4 yan3	37-3770-B
wo4 ye3	37-3826-B
wo4 zhou1	37-3074-B
wo4 zhu4	28-47460-B
wo4 zhuo2	71-57036-B
wo5	14-6096-B,56-52210-S
