拆	27-18583-S
拼搶 拼抢	27-51593-B
拼攏 拼拢	27-51677-B
拼攒	27-51727-S
拼攢 拼攒	27-51727-B
拼斗	27-53413-S
拼杀	27-52347-S
拼板	27-51773-S
拼板 拼板	27-51773-B
拼板游戏	27-51964-S
拼板玩具	27-51817-S
拼板玩具 拼板玩具	27-51817-B
拼板胶	27-51903-S
拼板膠 拼板胶	27-51903-B
拼板遊戲 拼板游戏	27-51964-B
拼死	27-52050-S
拼死 拼死	27-52050-B
拼死拼活	27-52196-S
拼死拼活 拼死拼活	27-52196-B
拼殺 拼杀	27-52347-B
拼法	27-52443-S
拼法 拼法	27-52443-B
拼湊 拼凑	27-52496-B
拼火	27-52557-S
拼火 拼火	27-52557-B
拼爭 拼争	27-52607-B
拼版	27-52663-S
拼版 拼版	27-52663-B
拼盘	27-52737-S
拼盤 拼盘	27-52737-B
拼綴 拼缀	27-52783-B
拼缀	27-52783-S
拼花地板	27-52834-S
拼花地板 拼花地板	27-52834-B
拼装	27-52912-S
拼裝 拼装	27-52912-B
拼讀 拼读	27-52960-B
拼读	27-52960-S
拼贴	27-40924-S
拼起來 拼起来	27-53035-B
拼起来	27-53035-S
拼音	27-53092-S
拼音 拼音	27-53092-B
拼音字母	27-53172-S
拼音字母 拼音字母	27-53172-B
拼音文字	27-53242-S
拼音文字 拼音文字	27-53242-B
拼音阶段	27-53340-S
拼音階段 拼音阶段	27-53340-B
拼鬥 拼斗	27-53413-B
拽	27-53469-S,27-53495-S,27-53525-S
拽 拽	27-53469-B,27-53495-B,27-53525-B
拾	27-53554-S
拾 拾	27-53554-B
拾人涕唾	27-53621-S
拾人涕唾 拾人涕唾	27-53621-B
拾人牙慧	27-53744-S
拾人牙慧 拾人牙慧	27-53744-B
拾掇	27-53898-S
拾掇 拾掇	27-53898-B
拾物	27-53965-S
拾物 拾物	27-53965-B
拾級 拾级	27-54034-B
拾级	27-54034-S
拾芥	27-54093-S
拾芥 拾芥	27-54093-B
拾荒	27-54179-S
拾荒 拾荒	27-54179-B
拾遗	27-54268-S
拾遗补缺	27-54374-S
拾遺 拾遗	27-54268-B
拾遺補缺 拾遗补缺	27-54374-B
拾金不昧	27-54456-S
拾金不昧 拾金不昧	27-54456-B
拾零	27-54589-S
拾零 拾零	27-54589-B
拿	27-54700-S
拿 拿	27-54700-B
拿不定	27-54768-S
拿不定 拿不定	27-54768-B
拿主意	27-54823-S
拿主意 拿主意	27-54823-B
拿來 拿来	27-54905-B
拿俄米	27-54943-S
拿俄米 拿俄米	27-54943-B
拿出手	27-54996-S
拿出手 拿出手	27-54996-B
拿办	27-55557-S
拿手	27-55086-S
拿手 拿手	27-55086-B
拿手菜	27-55137-S
拿手菜 拿手菜	27-55137-B
拿撒勒	27-55198-S
拿撒勒 拿撒勒	27-55198-B
拿来	27-54905-S
拿破仑	27-55272-S
拿破仑・波拿巴	27-55361-S
拿破侖 拿破仑	27-55272-B
拿破侖・波拿巴 拿破仑・波拿巴	27-55361-B
拿走	27-55473-S
拿走 拿走	27-55473-B
拿起	27-55518-S
拿起 拿起	27-55518-B
拿辦 拿办	27-55557-B
拿鐵 拿铁	27-55614-B
拿鐵咖啡 拿铁咖啡	27-55659-B
拿铁	27-55614-S
拿铁咖啡	27-55659-S
拿順 拿顺	27-55739-B
拿顺	27-55739-S
拿騷 拿骚	27-55798-B
拿骚	27-55798-S
持	27-55862-S
持 持	27-55862-B
持不同政見 持不同政见	27-55932-B
持不同政見者 持不同政见者	27-56036-B
持不同政见	27-55932-S
持不同政见者	27-56036-S
持久	27-56138-S
持久 持久	27-56138-B
持久性	27-56195-S
持久性 持久性	27-56195-B
持久性毒剂	27-56250-S
持久性毒劑 持久性毒剂	27-56250-B
持之以恆 持之以恒	27-56332-B
持之以恒	27-56332-S
持卡人	27-56414-S
持卡人 持卡人	27-56414-B
持守	27-56468-S
持守 持守	27-56468-B
持平	27-56517-S
持平 持平	27-56517-B
持有	27-56583-S
持有 持有	27-56583-B
持有人	27-56636-S
持有人 持有人	27-56636-B
持枪抢劫	27-56687-S
持槍搶劫 持枪抢劫	27-56687-B
持續 持续	27-56760-B
持续	27-56760-S
挂	28-19201-S
挂兰	28-19840-S
挂历	27-56840-S
挂号	28-19925-S
挂号证	28-19985-S
挂在嘴上	28-19252-S
挂好	28-19371-S
挂帅	28-19435-S
挂念	28-19534-S
挂怀	28-19625-S
挂挡	28-19703-S
挂断	28-19785-S
挂曆 挂历	27-56840-B
挂虑	28-19578-S
挂鎖 挂锁	27-56886-B
挂钟	28-20099-S
挂钩	28-20045-S
挂锁	27-56886-S
指	27-56927-S
指 指	27-56927-B
指事	27-57051-S
指事 指事	27-57051-B
指事字	27-57199-S
指事字 指事字	27-57199-B
指令	27-57357-S
指令 指令	27-57357-B
指令名字	27-57417-S
指令名字 指令名字	27-57417-B
指关节	27-61187-S
指出	27-57486-S
指出 指出	27-57486-B
指北針 指北针	27-57544-B
指北针	27-57544-S
指南	27-57597-S
指南 指南	27-57597-B
指南宫	27-57639-S
指南宮 指南宫	27-57639-B
指南車 指南车	27-57698-B
指南车	27-57698-S
指南針 指南针	27-57797-B
指南针	27-57797-S
指向装置	27-57850-S
指向裝置 指向装置	27-57850-B
指头	27-61240-S
指定	27-57950-S
指定 指定	27-57950-B
指导	27-58003-S
指导员	27-58100-S
指导教授	27-58195-S
指导者	27-58279-S
指导课	27-58382-S
指導 指导	27-58003-B
指導員 指导员	27-58100-B
指導教授 指导教授	27-58195-B
指導者 指导者	27-58279-B
指導課 指导课	27-58382-B
指尖	27-58476-S
指尖 指尖	27-58476-B
指引	27-58521-S
指引 指引	27-58521-B
指征	27-58565-S
指徵 指征	27-58565-B
指手划脚	27-58611-S
指手劃腳 指手划脚	27-58611-B
指手画脚	27-58821-S
指手畫腳 指手画脚	27-58821-B
指挥	27-59067-S
指挥中心	27-59132-S
指挥官	27-59204-S
指挥家	27-59259-S
指挥棒	27-59315-S
指挥者	27-59366-S
指控	27-58992-S
指控 指控	27-58992-B
指揮 指挥	27-59067-B
指揮中心 指挥中心	27-59132-B
指揮官 指挥官	27-59204-B
指揮家 指挥家	27-59259-B
指揮棒 指挥棒	27-59315-B
指揮者 指挥者	27-59366-B
指摘	27-59429-S
指摘 指摘	27-59429-B
指教	27-59489-S
指教 指教	27-59489-B
指数	27-59550-S
指数函数	27-59594-S
指数基金	27-59670-S
指数套利	27-59735-S
指数期权	27-59805-S
指數 指数	27-59550-B
指數函數 指数函数	27-59594-B
指數基金 指数基金	27-59670-B
指數套利 指数套利	27-59735-B
指數期權 指数期权	27-59805-B
指斥	27-59874-S
指斥 指斥	27-59874-B
指明	27-59940-S
指明 指明	27-59940-B
指望	27-60015-S
指望 指望	27-60015-B
指标	27-60082-S
指標 指标	27-60082-B
指正	27-60134-S
指正 指正	27-60134-B
指法	27-60242-S
指法 指法	27-60242-B
指派	27-60302-S
指派 指派	27-60302-B
指点	27-61547-S
指点迷律	27-60346-S
指点迷律 指点迷律	27-60346-B
指甲	27-60440-S
指甲 指甲	27-60440-B
指甲刀	27-60483-S
指甲刀 指甲刀	27-60483-B
指甲油	27-60539-S
指甲油 指甲油	27-60539-B
指示	27-60595-S
指示 指示	27-60595-B
指示代詞 指示代词	27-60687-B
指示代词	27-60687-S
指示剂	27-60772-S
指示劑 指示剂	27-60772-B
指示器	27-60825-S
指示器 指示器	27-60825-B
指示符	27-60878-S
指示符 指示符	27-60878-B
指紋 指纹	27-60931-B
指纹	27-60931-S
指責 指责	27-60989-B
指责	27-60989-S
指路	27-61065-S
指路 指路	27-61065-B
指針 指针	27-61116-B
指针	27-61116-S
指關節 指关节	27-61187-B
指頭 指头	27-61240-B
指鹿为马	27-61419-S
指鹿作馬 指鹿作马	27-61283-B
指鹿作马	27-61283-S
指鹿為馬 指鹿为马	27-61419-B
指點 指点	27-61547-B
挈	27-61597-S
挈 挈	27-61597-B
按	27-61646-S
按 按	27-61646-B
按下	27-61804-S
按下 按下	27-61804-B
按下葫芦浮起瓢	27-61868-S
按下葫蘆浮起瓢 按下葫芦浮起瓢	27-61868-B
按兵不动	27-62003-S
按兵不動 按兵不动	27-62003-B
按劳分配	27-62089-S
按勞分配 按劳分配	27-62089-B
按图索骥	27-62174-S
按圖索驥 按图索骥	27-62174-B
按手礼	27-62267-S
按手禮 按手礼	27-62267-B
按捺	27-62321-S
按捺 按捺	27-62321-B
按摩	27-62369-S
按摩 按摩	27-62369-B
按时	27-62408-S
按時 按时	27-62408-B
按期	27-62476-S
按期 按期	27-62476-B
按步就班	27-62527-S
按步就班 按步就班	27-62527-B
按照	27-62634-S
按照 按照	27-62634-B
按照字面	27-62731-S
按照字面 按照字面	27-62731-B
按照法律	27-62796-S
按照法律 按照法律	27-62796-B
按照計劃 按照计划	27-62870-B
按照计划	27-62870-S
按理	27-62952-S
按理 按理	27-62952-B
按理說 按理说	27-63045-B
按理说	27-63045-S
按立	27-63120-S
按立 按立	27-63120-B
按脈 按脉	27-63162-B
按脉	27-63162-S
按蚊	27-63216-S
按蚊 按蚊	27-63216-B
按語 按语	27-63276-B
按說 按说	27-63320-B
按语	27-63276-S
按说	27-63320-S
按鈕 按钮	27-63406-B
按鍵 按键	27-63450-B
按钮	27-63406-S
按键	27-63450-S
按需	27-63512-S
按需 按需	27-63512-B
按需出版	27-63573-S
按需出版 按需出版	27-63573-B
按需分配	27-63647-S
按需分配 按需分配	27-63647-B
挌	27-63731-S
挌 挌	27-63731-B
挍	27-63758-S
挍 挍	27-63758-B
挎	27-63799-S
挎 挎	27-63799-B
挎兜	27-63855-S
挎兜 挎兜	27-63855-B
挎兜儿	27-63905-S
挎兜兒 挎兜儿	27-63905-B
挎包	27-63971-S
挎包 挎包	27-63971-B
挐	27-64016-S
挐 挐	27-64016-B
挑	27-64052-S,27-64098-S
挑 挑	27-64052-B,27-64098-B
挑三窝四	27-64128-S
挑三窩四 挑三窝四	27-64128-B
挑出	27-64208-S
挑出 挑出	27-64208-B
挑刺	27-64267-S
挑刺 挑刺	27-64267-B
挑剔	27-64335-S
挑剔 挑剔	27-64335-B
挑动	27-64379-S
挑動 挑动	27-64379-B
挑唆	27-64445-S
挑唆 挑唆	27-64445-B
挑嘴	27-64513-S
挑嘴 挑嘴	27-64513-B
挑大梁	27-64562-S
挑大梁 挑大梁	27-64562-B
挑头	27-66550-S
挑头儿	27-66636-S
挑弄	27-64662-S
挑弄 挑弄	27-64662-B
挑战	27-64727-S
挑战者	27-64772-S
挑战者号	27-64829-S
挑戰 挑战	27-64727-B
挑戰者 挑战者	27-64772-B
挑戰者號 挑战者号	27-64829-B
挑拣	27-64911-S
挑拨	27-64975-S
挑拨是非	27-65042-S
挑拨离间	27-65192-S
挑揀 挑拣	27-64911-B
挑撥 挑拨	27-64975-B
挑撥是非 挑拨是非	27-65042-B
挑撥離間 挑拨离间	27-65192-B
挑明	27-65304-S
挑明 挑明	27-65304-B
挑染	27-65374-S
挑染 挑染	27-65374-B
挑檐	27-66016-S
挑毛剔刺	27-65442-S
挑毛剔刺 挑毛剔刺	27-65442-B
挑毛剔刺儿	27-65529-S
挑毛剔刺兒 挑毛剔刺儿	27-65529-B
挑毛病	27-65622-S
挑毛病 挑毛病	27-65622-B
挑灯	27-65702-S
挑灯夜战	27-65772-S
挑灯拨火	27-65934-S
挑燈 挑灯	27-65702-B
挑燈夜戰 挑灯夜战	27-65772-B
挑燈撥火 挑灯拨火	27-65934-B
挑簷 挑檐	27-66016-B
挑肥嫌瘦	27-66056-S
挑肥嫌瘦 挑肥嫌瘦	27-66056-B
挑舋 挑衅	27-66171-B
挑花	27-66213-S
挑花 挑花	27-66213-B
挑衅	27-66171-S
挑起	27-66273-S
挑起 挑起	27-66273-B
挑选	27-66501-S
挑逗	27-66321-S
挑逗 挑逗	27-66321-B
挑逗性	27-66419-S
挑逗性 挑逗性	27-66419-B
挑選 挑选	27-66501-B
挑頭 挑头	27-66550-B
挑頭兒 挑头儿	27-66636-B
挓	27-66710-S
挓 挓	27-66710-B
挖	27-66754-S
挖 挖	27-66754-B
挖土机	27-66807-S
挖土機 挖土机	27-66807-B
挖掉	27-66858-S
挖掉 挖掉	27-66858-B
挖掘	27-66915-S
挖掘 挖掘	27-66915-B
挖掘机械	27-66977-S
挖掘機械 挖掘机械	27-66977-B
挖洞	27-67050-S
挖洞 挖洞	27-67050-B
挖浚	27-67097-S
挖浚 挖浚	27-67097-B
挖穴	27-67139-S
挖穴 挖穴	27-67139-B
挖肉补疮	27-67201-S
挖肉補瘡 挖肉补疮	27-67201-B
挖苦	27-67334-S
挖苦 挖苦	27-67334-B
挙	27-67406-S
挙 挙	27-67406-B
挚	29-2979-S
挚切	29-3021-S
挚友	29-3070-S
挚情	29-3132-S
挚爱	29-3180-S
挚诚	29-3222-S
挛	29-35632-S
挝	29-17307-S
挞	29-17237-S
挟	28-1176-S,28-1211-S
挟制	28-1754-S
挟天子以令天下	28-1260-S
挟天子以令诸侯	28-1416-S
挟持	28-1565-S
挟细拿粗	28-1691-S
挠	29-9200-S
挠率	29-9233-S
挡	29-20069-S,29-20186-S
挡位	29-20230-S
挡住	29-20292-S
挢	29-10332-S
挣	28-18967-S,28-19000-S
挣扎	28-19048-S
挣脱	28-19106-S
挣钱	28-19151-S
挤	29-25149-S
挤入	29-25189-S
挤到	29-25228-S
挤提	29-25302-S
挤满	29-25342-S
挤眉弄眼	29-25394-S
挤踏	29-25470-S
挤进	29-25510-S
挥	28-49382-S
挥动	28-49482-S
挥发	28-50186-S
挥发性	28-50238-S
挥发性存储器	28-50293-S
挥发油	27-67455-S
挥发油 挥发油	27-67455-B
挥师	28-49540-S
挥戈	28-49596-S
挥手	28-49648-S
挥杆	28-49724-S
挥毫	28-49770-S
挥毫洒灑	28-49862-S
挥汗如雨	28-49993-S
挥汗成雨	28-50088-S
挥泪	27-67533-S
挥洒	27-67601-S
挥淚 挥泪	27-67533-B
挥灑 挥洒	27-67601-B
挥舞	28-50385-S
挥金如土	28-50441-S
挥霍	28-50565-S
挥霍无度	28-50657-S
挥麈	28-50735-S
挦	29-5458-S
挨	27-67660-S,27-67710-S
挨 挨	27-67660-B,27-67710-B
挨个	27-67797-S
挨个儿	27-67847-S
挨個 挨个	27-67797-B
挨個兒 挨个儿	27-67847-B
挨剋	27-67918-S
挨剋 挨剋	27-67918-B
挨呲儿	27-67977-S
挨呲兒 挨呲儿	27-67977-B
挨头子	27-69292-S
挨家挨戶 挨家挨户	27-68047-B
挨家挨户	27-68047-S
挨打	27-68149-S
挨打 挨打	27-68149-B
挨批	27-68229-S
挨批 挨批	27-68229-B
挨挤	27-68380-S
挨揍	27-68293-S
挨揍 挨揍	27-68293-B
挨擠 挨挤	27-68380-B
挨擦	27-68448-S
挨擦 挨擦	27-68448-B
挨整	27-68512-S
挨整 挨整	27-68512-B
挨斗	27-69439-S
挨板子	27-68576-S
挨板子 挨板子	27-68576-B
挨次	27-68686-S
挨次 挨次	27-68686-B
挨罵 挨骂	27-68754-B
挨肩儿	27-68807-S
挨肩兒 挨肩儿	27-68807-B
挨边	27-68938-S
挨边儿	27-69095-S
