world economic forum wef	62-54232-S,62-54331-S
wu yi vice premiers of the prc state council	12-69683-B
wu yong	13-1406-B
wu yuzhang 1878 1966	13-1183-B
wu zetian 624 705	35-44177-B
wu zetian 武則天 武则天	32-1871-S
wu zimu lived c 1270	13-1501-B
wu zixu 484 bc	4-52912-B
wu zixu 伍子胥	13-298-S,13-6199-S,13-6329-S
wu 孫武 孙武	19-14962-S,19-15065-S,19-15636-S
wu 成语 saw	12-69308-S
wu2	21-62621-S
wubu place in shaanxi	13-57-S
wuchang	35-47081-B
wuchang county level city in harbin 哈爾濱 哈尔滨	3-50142-B,3-50232-B
wuchang place in hubei	35-47018-S
wuchang uprising of 10th october 1911 that led to sun yat sen s xinhai revolution and the fall of the qing dynasty	35-47133-S
wucheng place in shandong	35-45144-S
wuchi town in taiwan	34-15656-S
wuchieh village in taiwan	3-52913-S
wuchiu village in taiwan	40-35154-S
wuchuan city in guangdong	13-232-S
wuchuan place in inner mongolia	35-46454-S
wudalianchi city in heilongjiang	3-48659-S
wudang mountain range in northwest hebei	35-48079-B
wudaokou neighborhood of beijing	3-55249-B
wudi of song	19-35889-S
wudi place in shandong	40-54964-S
wuding place in yunnan	35-45995-S
wudu city in gansu	35-49307-B,35-49357-B
wufeng place in hubei	3-49457-S
wufeng tujiazu autonomous county in hubei	3-49518-B
wufeng village in taiwan	3-49657-S,67-45665-S
wugang city in henan	53-32904-S
wugang city in hunan	35-46394-S
wugong county in shaanxi	35-44577-B
wugong in jiangxi	35-44511-S
wugong place in shaanxi	35-44345-S
wugong village in shaanxi	35-44647-B
wuhai prefecture level city in inner mongolia	40-36774-S,40-36862-S
wuhait or wuhai prefecture level city in inner mongolia	40-36774-B,40-36862-B
wuhan city built in 223	71-25597-S
wuhan city on changjiang	35-47681-B,35-47808-B
wuhan in central china	46-22646-S
wuhan iron and steel	35-47876-B
wuhan university	35-47738-B
wuhe place in anhui	3-51437-S
wuhu prefecture level city in anhui	55-16179-B,55-16246-B
wuhua county in meizhou 梅州	3-54068-B,3-54131-B
wuhuan nomadic tribe	40-36532-B
wuji c 594 659	65-13267-S
wuji place in hebei	40-55215-B
wujiang city in jiangsu	13-888-S
wujiang district of shaoguan city 韶关市	35-47452-B,35-47530-B
wujiaqu city or wǔjiāqú subprefecture level city in ili kazakh autonomous prefecture in north xinjiang	3-49048-S,3-49216-S
wujih village in taiwan	40-36427-B
wujin place in jiangsu	35-49189-S
wujyachü shehiri wujiaqu city or wǔjiāqú subprefecture level city in ili kazakh autonomous prefecture in north xinjiang	3-49048-B,3-49216-B
wukang county	35-46746-B
wukong name of a monkey with supernatural powers in the novel journey to the west 西遊記 西游记	19-15241-S
wuku village in taiwan	3-53234-S
wulai village in taiwan	40-34639-S
wulan place in qinghai	40-38026-S
wulanhaote city in jilin	40-38466-B
wulate houqi place in inner mongolia	40-36258-S
wulate qianqi place in inner mongolia	40-36151-S
wulate zhongqi place in inner mongolia	40-36042-S
wulian place in shandong	3-54250-S
wulong place in sichuan	35-49541-S
wuming place in guangxi	35-49604-S
wunderkind i e brilliant child	4-15449-B
wuning county in jiujiang 九江	35-46120-B,35-46186-B
wuping county in longyan 龍岩 龙岩	35-46609-B
wuping county level city in longyan 龍岩 龙岩	35-46526-B
wuqi place in shaanxi	13-717-S
wuqia county in xinjiang	40-35584-B,40-35641-B,40-38909-B,40-39084-B
wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
wuqiang place in hebei	35-46805-S
wuqiao place in hebei	13-827-S
wuqing place in tianjin	35-47618-S
wushan place in gansu	35-46333-S
wushen qi place in inner mongolia	40-35392-S
wusheng place in sichuan	35-44718-S
wushi county in xinjiang	40-34570-B
wushi place in xinjiang	40-34508-S
wusong river and dock area in shanghai	13-952-B
wusu place in xinjiang	40-37677-S
wutai city and county in shanxi	3-53493-B
wutai city in shanxi	3-53620-B
wutai county in shanxi	3-53684-B
wutai in shanxi	3-53557-S
wutai village in taiwan	67-45590-S
wutai 五臺山 五台山 in shanxi	14-47586-S
wutong or paulownia tree fermiana platanifolia	34-15430-B
wutongqiao area in sichuan	3-55161-S
wuwei county in chaohu 巢湖	40-56315-B,40-56377-B
wuwei district district in gansu	35-45698-S
wuwei prefecture level city in gansu	35-45629-B,35-45789-B
wuxi city 無錫 无锡	17-59748-S
wuxi county in jiangsu	40-63268-B
wuxi place in sichuan	21-62920-S
wuxi prefecture level city in jiangsu	40-63119-B,40-63188-B
wuxi 無錫 无锡 opera	64-46120-B
wuxia gorge	21-62828-B
wuxia martial arts tv films of 1998 and 2006 based on novel by jinyong 金庸	46-62196-S,46-63035-S
wuxia novel	35-44092-S
wuxiang place in shanxi	35-49418-S
wuxing five animals martial art	3-50476-B
wuxuan place in guangxi	35-46057-S
wuxue city in hubei	35-48165-B
wuyang place in henan	53-32964-S
wuyi in fujian	35-45452-S
wuyi lit three knight errants and five righteous one	1-30531-S
wuyi place in hebei	35-49250-S
wuyi place in zhejiang	35-48219-S
wuyishan city	35-45452-B
wuyishan city in fujian	35-45551-B
wuyishan nature reserve	35-45452-B
wuyuan county in shangrao 上饒 上饶	18-55345-B,18-55418-B
wuyuan place in inner mongolia	3-47792-S
wuzetian 武則天 武则天 624 705	18-21663-S
wuzhai place in shanxi	3-49395-S
wuzhi place in henan	35-49482-S
wuzhong prefecture level city in ningxia	13-423-B,13-498-B
wuzhou district district in guangxi	34-15251-S
wuzhou prefecture level city in guangxi	34-15178-B,34-15346-B
wuzuquan five ancestors martial art	3-52207-B
ww1	10-65017-S
ww2	27-4994-S
ww2 between japan and china	1-26425-S,45-13840-S,55-36662-S
wwf	2-40895-S
wwii	3-35715-B,25-57365-S
wwii königsberg	13-42933-S
wwii on 15th august 1945	7-48581-S,7-48676-S,49-35916-S,49-36023-S
www	7-39920-B,54-46662-S,54-46821-S
www cctv com cn	17-63907-B
wylie	18-45228-S
wylie name	18-45228-B
wyoming	25-64493-B,25-64545-B
wysiwyg	26-29765-S
wyvern type of dragon	69-1596-B
wèinán prefecture level city in shǎnxī 陝西 陕西	39-4865-B,39-5050-B
wǔjiāqú subprefecture level city in ili kazakh autonomous prefecture in north xinjiang	3-49048-S,3-49216-S
x	3-14295-S,3-37035-S,8-35944-S,11-41772-B
x 10 10 joules	12-42013-S
x 10 13 joules	7-1130-S
x at the same time as y	12-48043-S
x axis in polar coordinates	34-36070-S
x for y	4-32204-S
x in list a b c	44-22738-S
x in the same breath as y	45-28990-S
x not in set s	69-17403-S
x ray	6-3506-B,25-32870-B,62-1206-S
x ray computed tomography microct	24-21140-S
x ray photo	41-8357-B
x ray radiation	25-32955-B
x shaped frame	11-41965-B
x than y	25-16073-S
x times x	3-37035-S
xanthan	71-17272-B
xanthanate gum polysaccharide food additive used as a thickener	71-17272-B,71-22203-B
xanthate	71-17394-B
xanthene c13h10o aromatic chemistry	13-15008-B
xanthine	71-17462-B
xanthium strumarium	54-60924-B
xanthone c13h8o2 aromatic chemistry	13-15080-B
xar murun river in the upper reaches of the liaohe river	18-6031-S
xe	36-24342-S,36-31968-S
xenolith geol 	28-5355-B
xenon xe	36-24342-B,36-31968-B
xenophobic	28-15843-B
xenopsylla astia	3-60841-B
xenopsylla cheopis	11-21828-S
xenopsylla vexabilis	69-55090-B
xerophthalmia drying of the tear glands	22-36960-B
xerox	30-65861-B
xerox machine	57-5151-B
xi	6-51074-S,18-11059-S,22-26908-S,55-4805-S,63-22472-S,66-46169-S
xi an	10-55722-S,17-18053-S,17-39445-S,46-28514-S,47-23836-S,65-13349-S,65-13499-S
xi an district of liaoyuan city 遼源市 辽源市	57-15540-S,57-15873-B
xi an incident of 12th december 1936 kidnap of chiang kai shek 蔣介石 蒋介石	57-15734-B
xi an 西安 capital of china during tang dynasty 唐朝	65-13349-S
xi county in shanxi	66-46217-B
xi county in xinyang 信陽 信阳	25-5003-B
xi late han	9-42926-S
xi or chu hsi 1130 1200	32-69090-S
xi or ksi greek letter ξξ	7-18929-B,12-12292-B
xi shi c 450 bc	57-18314-B
xi to qian long emperors	23-1219-S
xi wangmu	57-20449-B
xi wangmu 西王母	4-29187-S,42-35563-S,56-17449-S,56-17537-S
xi xiaobo 1910 1977	18-11116-B
xi 伏羲	18-56674-S,22-61312-S
xi2	25-4700-S,25-16913-S
xi4	36-55421-S
xia	16-40012-S,57-14977-S
xia county county in shanxi	16-41572-S
xia dynasty	16-40920-B,18-37228-S,34-996-S
xia jingqu 1705 1787	16-40717-B
xia of the sixteen kingdoms 407 432	16-40012-B
xia or hsia dynasty c 2000 bc	16-40012-S
xia yan 1900 1995	16-41764-B
xia4 zai4	1-63312-S
xiahe place in gansu	16-41045-S
xiahuayuan area in hebei	1-62563-S
xiajiang county in ji an 吉安	21-40628-B,21-40695-B
xiajin place in shandong	16-41426-S
xiali	16-40311-B
xiali motor company	37-1297-S
xiamen	23-4629-B,23-4741-B,55-1652-S
xiamen city 廈門市 厦门市 renamed haicang district 海滄區 海沧区 in 2003	33-6681-S
xiamen university	23-4669-B
xian	8-24043-S,13-29924-S
xian awaits excavation	47-23950-S,47-25250-S
xian county in hebei	42-26192-B
xian of han 181 234	39-50589-S
xian with the tomb of the first emperor	69-64941-S
xian xinghai 1905 1945	8-24079-B
xian xinghai 冼星海	71-20598-S
xian1 ormazda	46-51389-S
xian1 氙	36-31968-S
xianbei or xianbi	70-43066-B
xianbei 鮮卑 鮮卑 nomadic people	27-32223-S,27-32720-S
xianbei 鮮卑 鲜卑 nomadic people	3-20997-S,19-21091-S,25-46502-S,35-65204-S,47-11055-S
xianbi	70-43066-S
xianfeng county in hubei province	13-30305-B
xianfeng 咸豐 咸丰	18-8061-S
xiang	12-61824-S,65-50745-S,68-21323-S,70-20458-S
xiang 1012 1067	55-12096-S
xiang c 1361 1396	18-12497-S
xiang of song reigned 650 637 bc	19-36330-S
xiang ying 1898 1941	68-21726-B
xiang yu bids farewell to his favorite concubine classic subject	67-49563-B
xiang yu the conqueror 232 202 bc	67-49373-B
xiang4 sheng1	28-6193-S,62-3760-S
xiangcheng county level city in zhoukou 周口	68-21418-B,68-21502-B
xiangcheng place in henan	57-9755-S
xiangcheng place in sichuan	63-29910-S
xiangdong district of pingxiang city 萍鄉市 萍乡市	39-11919-B,39-12012-B
xiangfan prefecture level city in hubei	57-9824-B,57-9899-B
xiangfen place in shanxi	57-9985-S
xianghe county in tianjin	69-26418-B
xianghuangqi place in inner mongolia	65-7919-S
xiangjiang river in hunan province	39-11749-S,39-12190-S
xiangmei	66-30380-S
xiangning place in shanxi	63-29981-S
xiangru dates unknown	55-35786-S
xiangshan place in zhejiang	59-23036-S
xiangshui place in jiangsu	68-19113-S
xiangtan district district in hunan	39-12341-S
xiangtan prefecture level city in hunan	39-12266-B,39-12438-B
xiangxi tujia and miao autonomous prefecture in northwest hunan	39-12625-B
xiangxi tujia and miao autonomous prefecture 湘西土家族苗族自治州	12-42134-S,12-42306-S
xiangxiang city in hunan	39-12809-S
xiangyang district district in hubei	57-10118-S
xiangyang place in hubei	57-10051-S
xiangyin place in hunan	39-12877-S
xiangyu the conqueror 232 202 bc	68-21657-B
xiangyu 項羽 项羽 of chu	34-30346-S
xiangyuan place in shanxi	57-9687-S
xiangyun place in yunnan	46-63581-S
xiangzhou place in guangxi	59-23106-S
xiangzi	69-51271-S
xianju place in zhejiang	4-28970-S
xiannian 1909 1992	33-947-S
xianning district in hubei	13-30035-S
xianning prefecture level city in hubei	13-29960-B,13-30123-B
xianning 咸宁市	60-5737-S,60-5971-S,60-6060-S
xiantao sub prefecture level city in hubei	4-29279-B,4-29356-B
xianyang bridge	71-4517-B
xianyang district district in shaanxi	13-30507-S
xianyang 咸陽市 咸阳市 in shaanxi	3-25640-S
xianyou county in fujian	4-29724-B,4-29783-B
xianzhi	42-32782-S
xianzhong	23-40845-S
xianzu 1550 1616	39-15230-S
xiao	28-17839-B,48-39656-B,55-16364-S
xiao county in anhui	55-17028-B
xiao hong 1911 1942	55-16971-B
xiao jing classic of filial piety	19-9853-B
xiao qian 1910 1999	55-16487-B
xiao yang	52-8344-B
xiao yishan 1902 1978	55-16418-B
xiao zixian 487 537	55-16607-B
xiao 箫 mouth organ	13-298-S,13-6199-S,13-6329-S
xiao 箫 mouth organ virtuoso 萧史 won for his wife the beautiful daughter of duke mu of qin 秦穆公	42-29584-S
xiao4	63-43926-S
xiaobo 1910 1977	18-11116-S
xiaobo name	20-66652-B
xiaobo name of dissident writer	9-42526-S
xiaocheng of zhao 趙國 赵国	19-9674-S
xiaochuan 1919 1976	63-24411-S
xiaochuan 1948 	13-11683-S
xiaodong person name	20-61336-B
xiaogan district district in hubei	19-9495-S
xiaogan prefecture level city in hubei	19-9422-B,19-9590-B
xiaogu 1873 1937	32-15639-S
xiaohong person name	20-68877-B
xiaojin place in sichuan	21-1540-S
xiaolan person name	21-126-B
xiaolian	19-9258-B
xiaoman or lesser full grain	20-66992-B
xiaoping 1904 1997	63-33069-S
xiaoping s four modernizations practised from the 1980s possibly planned together with zhou enlai	14-46395-S
xiaoping s four modernizations 四個現代化 四个现代化	14-46833-S
xiaoping s policies from around 1980	29-46898-S
xiaoping theory	20-15514-S,63-33142-S
xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
xiaoshan city in zhejiang	55-16674-S
xiaoshu or lesser heat	20-65404-B
xiaotangshan town in beijing municipality	20-66863-B
xiaotong	59-46718-S
xiaoxue or lesser snow	21-1999-B
xiaoyi city in shanxi	19-9924-S
xiaoyingpan township in börtala shehiri or bole city 博樂市 博乐市	20-67467-B
xiapu place in fujian	67-45174-S
xiayi place in henan	16-41817-S
xiazhi or summer solstice	16-41640-B
xichang cosmodrome in south west china	57-18365-B
xicheng county level district of beijing municipality	57-14525-B
xichong place in sichuan	57-13093-S
xichou place in yunnan	57-20965-S
xichuan place in henan	38-40300-S
xidan book center	57-14433-B
xidan neighborhood of central beijing	57-14363-B
xide place in sichuan	14-8212-S
xie	5-52268-S,39-3463-S,41-33660-S,57-47348-S,68-35740-S
xie he 479 502	58-57394-B
xie lingyun 385 433 poet during song of the southern dynasties 南朝宋	58-57724-B
xie3	56-23774-S
xieju opera ballad and dancing monologue	58-45633-B
xietongmen place in tibet	58-57485-S
xifeng city in gansu	57-16553-S
xifeng county in guizhou	25-4762-B
xifeng county in tieling 鐵嶺 铁岭	57-22854-B,57-22926-B
xigaze chinese rikaze prefecture in tibet	31-6112-S
xigaze chinese rikeze	31-6035-S,31-6229-S
xihe district of fuxin city 阜新市 阜新市	49-31703-B,49-31802-B
xihe place in gansu	57-14225-S
xihe river in fuxin	49-31703-B
xihu district of benxi city 本溪市 本溪市	59-15856-B,59-15935-B
xihu district of nanchang city 南昌市	57-19875-B
xihu or west lake place name	57-19784-B
xihua place in henan	57-21782-S
xihuating pavilion on west side on zhongnanhai	57-21651-B
xiji place in ningxia	57-14106-S
xijiang river	57-19208-B
xilai 1949 	55-19197-S
xilin gol league	64-46353-B,64-46423-B
xilin place in guangxi	57-18583-S
xilinhaote city in inner mongolia	64-46266-B
ximeng c 1096 c 1119	42-34617-S
ximeng wazu autonomous county in yunnan	57-21027-B
xin	63-33564-S
xin 1900 1999	8-17818-S
xin 196 bc	68-11197-S
xin 513 581	23-4166-S
xin an place in henan	30-46904-S
xin character in the water margin	71-16874-S
xin county in xinyang 信陽 信阳	30-53688-B
xin dynasty 8 23 ad of wang mang 王莽	30-49864-S
xinan zhongsha islands by hainan	57-13694-S
xinba erhu youqi place in inner mongolia	30-47495-S
xinba erhu zuoqi place in inner mongolia	30-47615-S
xinbin county in fushun 撫順 抚顺	30-56881-B
xinbin manchu autonomous county in fushun 撫順 抚顺	30-56738-B
xincai place in henan	30-56196-S
xinchang place in zhejiang	30-49201-S
xincheng county in hebei	30-45799-B
xincheng county level city in huludao 葫蘆島 葫芦岛	53-23564-B,53-23658-B
xincheng place in guangxi	24-50516-S
xindu place in sichuan	30-57427-S
xine	14-25871-S
xinfeng county in ganzhou 贛州 赣州	5-46528-B,5-46602-B
xinfeng county level city in shaoguan 韶关	30-56488-B,30-56567-B
xinfu district of fushun city 撫順市 抚顺市	30-48990-B
xing	22-50956-S,63-15596-S
xing 1874 1916	71-22316-S
xing 1956 	24-4169-S
xing an county 興安 兴安	53-24114-S,67-52568-S
xing an place in guangxi	53-23975-S
xing county in shanxi	53-24988-B
xing quan dragon fist martial art	71-59666-S
xing yi city in guizhou	53-25045-B,53-25102-B
xing 黃興 黄兴	71-16950-S
xing1 黃興 黄兴 in 1904	54-35929-S
xingan county in ji an 吉安	30-47868-B,30-47931-B
xingguo county in ganzhou 贛州 赣州	53-23404-B,53-23478-B
xinghai 1905 1945	8-24079-S
xinghai place in qinghai	53-24871-S
xinghai 冼星海	71-20598-S
xinghe place in inner mongolia	53-23274-S
xinghua city in jiangsu	53-23210-S
xingjian 1940 	70-21577-S
xingjian c 776 826	44-46113-S
xinglin district of xiamen city 廈門市 厦门市 renamed haicang district 海滄區 海沧区 in 2003	33-6681-B
xinglong place in hebei	53-25846-B
xinglongtai district of panjin city 盤錦市 盘锦市	53-25907-B,53-26009-B
xingning county level city in meizhou 梅州	53-24246-B,53-24326-B
xingping city in shaanxi	53-24482-S
xingren place in guizhou	53-22950-S
xingshan place in hubei	53-24417-S
xingtai district district in hebei	63-15716-S
xingtai prefecture level city in hebei	63-15643-B,63-15811-B
xingtang place in hebei	56-32049-S
xingwen place in sichuan	53-24599-S
xingxiuhai	31-29336-B
xingyang city and county in henan	39-28128-B
xingyang city in henan	39-28197-B
xingyang county in henan	39-28266-B
xingyiquan chinese martial art	23-54478-B
xingzi county in jiujiang 九江	31-29073-B,31-29139-B
xinhai rebels	44-61866-S
xinhai revolution and the fall of the qing dynasty	35-47133-S
xinhai revolution of 1911	10-32958-S
xinhai revolution of 1911 that ended the qing dynasty	61-32631-S
xinhai revolution 辛亥革命	11-51102-S
xinhe place in hebei	30-50943-S
xinhe place in xinjiang	30-45207-S
xinhua	62-13259-S
xinhua city and county in hunan	30-44600-B
xinhua city in hunan	30-44665-B
xinhua county in hunan	30-44730-B
xinhua daily newspaper	30-55905-B
xinhua new china	30-55854-B
xinhua new china bookstore	30-55983-B
xinhua news agency	30-56068-B
xinhua news network	30-56131-B
xinhuang dong autonomous county in hunan	30-49430-B
xinhui city and county in guangdong	30-49603-B
xinhui city in guangdong	30-49672-B
xinhui county in guangdong	30-49741-B
xining prefecture level city and capital of qinghai province in west china	57-16114-B,57-16222-B
xinji city in hebei	61-33667-S
xinjian county in nanchang 南昌	30-48455-B,30-48523-B
xinjiang	2-37325-S,2-63801-S,3-49048-S,3-49216-S,3-59976-S,4-48054-S,4-48295-S,4-48361-S,4-50395-S,4-50565-S,4-50755-S,4-63646-S,7-15350-S,7-15462-S,7-15594-S,7-15779-S,7-16434-S,7-16566-S,10-30570-S,10-34476-S,10-70171-S,11-2011-S,11-7785-S,11-8437-S,11-8497-S,12-12050-S,12-40491-S,12-40565-S,12-61539-S,12-61727-S,13-18803-S,13-23984-S,13-24060-S,13-24156-S,13-24570-S,13-25625-S,13-38202-S,14-1312-S,14-2546-S,15-26730-S,15-26871-S,16-16031-S,16-16750-S,16-16815-S,16-18051-S,16-18224-S,16-18302-S,16-29108-S,17-49230-S,18-419-S,18-5387-S,19-3602-S,20-8007-S,20-42203-S,21-12885-S,21-14621-S,21-37423-S,21-43357-S,21-44360-S,22-7814-S,22-9541-S,22-9636-S,22-9794-S,22-10644-S,22-16863-S,22-66544-S,23-142-S,26-51574-S,26-52539-S,27-45121-S,30-45207-S,30-51501-S,30-52557-B,30-52676-S,30-65016-S,31-20255-S,31-37298-S,33-22000-S,33-22438-S,33-47686-S,36-23044-S,37-16631-S,37-17787-S,37-56436-S,39-20410-S,39-20467-S,40-1577-S,40-22722-S,40-34508-S,40-34570-S,40-34714-S,40-34792-S,40-35584-S,40-35641-S,40-37677-S,40-38909-S,40-39084-S,40-44153-S,40-44210-S,40-44431-S,43-1735-S,43-1807-S,44-3343-S,44-3405-S,44-65219-S,46-7511-S,46-7643-S,47-5040-S,48-21839-S,48-45756-S,50-1495-S,50-1642-S,51-543-S,51-29016-S,53-46647-S,53-47747-S,53-66649-S,54-1863-S,54-51562-S,54-51972-S,55-45484-S,56-56040-S,60-1263-S,61-15770-S,63-34676-S,63-34730-S,65-43009-S,65-58546-S,65-67199-S,65-67268-S,65-67369-S,65-67442-S,65-68154-S,65-68235-S,65-68325-S,65-68868-S,65-69128-S,65-69358-S,66-4502-S,66-4623-S,66-9451-S,67-42203-S,67-56188-S,68-7407-S,68-43555-S,68-43615-S,69-41722-S,70-56658-S,71-12759-S
xinjiang and inner mongolia in north china	43-14742-S,43-14848-S
xinjiang and kazakhstan	36-56977-S
xinjiang and mongolia	17-46517-S
xinjiang and siberia	66-8313-S
xinjiang and tajikistan	22-23513-S
xinjiang autonomous region	65-65731-S
xinjiang between altai and tianshan	39-17466-S
xinjiang between the altai and tianshan ranges	39-17075-S
xinjiang chinese hami	13-37814-S,13-37981-S
xinjiang chinese hami 	13-37884-S
xinjiang chinese tulufan	12-61454-S,12-61631-S
xinjiang dissident group	33-22703-S
xinjiang from early 20th century now called wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
xinjiang near kyrghizstan	14-813-S,14-935-S,14-1132-S
xinjiang on the border with kyrghizstan	65-67514-S
xinjiang place in shanxi	30-53622-S
xinjiang railway	55-45538-S
xinjiang uighur autonomous region	30-52769-B
xinjiang uighur autonomous region 新疆維吾爾自治區 新疆维吾尔自治区 in west china	40-39271-S,40-39476-S
xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69128-S,65-69358-S,65-69588-S
xinjiang 新疆	30-43264-S
xinjin county in liaoning	30-57869-B
xinjin place in sichuan	30-51065-S
xinle city in hebei	30-50089-S
xinlong place in sichuan	30-58473-S
xinluo district of longyan city 龍岩市 龙岩市	30-53965-B
xinmin county level city in shenyang 沈陽 沈阳	30-50345-B,30-50713-B
xinmin evening news	30-50808-B
xinning place in hunan	30-47236-S
xinqiu district of fuxin city 阜新市 阜新市	30-57137-B,30-57220-B
xinshao place in hunan	30-57313-S
xintai city in shandong	30-51002-S
xintang	30-46181-B
xintian place in hunan	30-52302-S
xintiandi district in shanghai	30-46413-B
xinwu 1942 	9-42373-S
xinxiang district district in henan	30-57563-S
xinxiang prefecture level city in henan	30-57488-B,30-57660-B
xinyang city 信陽市 信阳市	22-42259-S,38-8234-S
xinyang district district in henan	5-46953-S
xinyang prefecture level city in henan	5-46880-B,5-47048-B
xinyang 信陽 信阳	7-8492-S,7-8570-S,13-58701-S,13-58781-S,14-64455-S,14-64525-S,25-5003-S,30-53688-S,38-47627-S,38-47701-S,39-61198-S,39-61278-S,50-57144-S,50-57218-S
xinye place in henan	30-57810-S
xinyi city in jiangsu	30-50883-S
xinyi county level city in maoming 茂名	5-43515-B,5-43589-B
xinyu city 新餘市 新余市	39-1485-S,39-1633-S
xinyu prefecture level city in jiangxi	30-58103-B,30-58174-B
xinyu 新餘 新余	8-51259-S,8-51328-S
xinyuan place in xinjiang	30-51501-S
xinzheng city in henan	30-57746-S
xinzhou district district in shanxi	24-50764-S
xinzhou district of shangrao prefecture level city 上饒市 上饶市	5-43782-B,5-43887-B
xinzhou place in hubei	30-51128-S
xiong	30-24617-S,41-11847-S,41-11943-S
xiong 53 bc 18 ad	28-45691-S
xiong chengji 1887 1910	41-12102-B
xiong county in hebei	66-53507-B
xiong nu chiefs	65-50585-S
xiongnu	10-19865-B
xiongnu huns 匈奴	14-16536-S,14-18581-S
xionites central asian nomads	57-17475-B
xiping place in henan	57-16922-S
xisantiao beijing placename	57-12652-B
xishan 1883 1960	65-50488-S
xishan area in yunnan	57-16411-S
xishi district of yingkou city 營口市 营口市	57-16810-B
xishuangbanna	57-23932-B,57-24002-B
xishui place in guizhou	51-18739-S
xishui place in hubei	38-9069-S
xitong 1930 	66-27458-S
xiu 1007 1072	35-30943-S
xiu 欧阳修	24-28215-S
xiuning county in huizhou county 徽州	4-55547-B,4-55621-B
xiuqing	34-29125-S
xiuquan or hung hsiu ch üan 1812 1864	37-62065-S
xiushan tujiazu miaozu autonomous county in sichuan	47-11313-B
xiushui county in jiujiang 九江	5-48284-B,5-48352-B
xiuwen place in guizhou	5-47922-S
xiuwu place in henan	5-48225-S
xiuyan manzu autonomous county in liaoning	21-36845-B
xiwuzhumuqin qi place in inner mongolia	57-20330-S
xixia county level city in yantai 煙台 烟台	34-24288-B,34-24368-B
xixia place in henan	57-16613-S
xixiang place in shaanxi	57-23430-S
xixing 1520 c 1601	66-33932-S
xixón	22-20893-S
xiyang place in shanxi	31-28536-S
xizang autonomous region	57-21964-B
xizang 西藏	55-30598-B
xizhi 303 361	42-36449-S
xizhimen	57-21153-B
xizhimen neighborhood of beijing	57-21153-B
xiányáng prefecture level city in shǎnxī 陝西 陕西	13-30413-B,13-30606-B
xml	12-14179-S
xr botulinum toxin	52-6000-B
xu	24-3416-S,33-34249-S,45-19324-S,52-23253-S,55-27915-S,58-2712-S,68-44936-S
xu 887 946	9-42477-S
xu beihong 1895 1953	24-4102-B
xu fu	24-4404-B
xu jun	24-3529-B
xu kuangdi	24-3609-B
xu probably early 8th century	23-40264-S
xu qinfu 1891 1953	58-3604-B
xu shen 147 the compiler of the original han dynasty dictionary shuowen jiezi 說文解字 说文解字	58-3667-B
xu shichang 1855 1939	24-3460-B
xu xing 1956 	24-4169-B
xu xuan 991	24-4616-B
xu zhenqing 1479 1511	24-4335-B
xu zhimo 1897 1931	24-4039-B
xu zhonglin or chen zhonglin 陳仲琳 陈仲琳 c 1567 c 1620	58-2918-B
xu zhonglin or xu zhonglin 許仲琳 许仲琳 c 1567 c 1620	66-26470-B
xu zhonglin 許仲琳 许仲琳 c 1567 c 1620	66-26470-S
xu 顓頊 颛顼	3-49838-S
xu2	55-15136-S
xuan	13-11449-S,19-53661-S,42-36995-S,47-6768-S
xuan 127 200	63-34374-S
xuan 369 404	34-7667-S
xuan 991	24-4616-S
xuan en place in hubei	19-54612-S
xuan of qi reigned 342 324 bc	71-53624-S
xuan zang 玄奘	17-10020-S
xuan zang 玄奘 on his travels to central asia and india	57-14686-S
xuancheng prefecture level city in anhui	19-54252-B,19-54329-B
xuanhan place in sichuan	19-55101-S
xuanhua place in hebei	19-54138-S
xuankong temple or suspended temple near yanyuan in shanxi	26-2882-B
xuanling 579 648	26-27005-S
xuanping	54-52742-S
xuanwei city in yunnan	19-54417-S
xuanwu district in southwest beijing	19-54853-B
xuanwu gate coup of june 626 in early tang	42-27932-B
xuanwu 宣武區 宣武区 district of southwest beijing	23-11961-S
xuanwumen	19-54933-B
xuanzang 602 664 tang dynasty buddhist monk and translator	42-27170-B
xuanzhou city in anhui	19-54480-S
xuanzong of tang 712 756	13-52453-S
xuchang district district in henan	58-3997-S
xuchang prefecture level city in north henan	58-3918-B,58-4092-B
xue	55-22050-S
xue baochai	55-22433-B
xue fucheng 1838 1894	55-22557-B
xue ji 649 713	55-22626-B
xue juzheng 912 981	55-22490-B
xue rengui 614 683 great tang dynasty general	55-22093-B
xue3	56-23774-S
xue4	47-43946-S
xuecheng area in shandong	55-22185-S
xuejian	33-6025-S
xueliang 1901 2001 son of fengtian clique warlord	23-38381-S
xueqin c 1715 c 1764	32-13768-S
xueqin 曹雪芹	49-10343-S
xuesen 1911 	64-44619-S
xueyin 1910 1999	18-42337-S
xujiahui shopping area in shanghai	24-3664-B
xun	54-13340-S
xun 1009 1066	55-40084-S
xun 1881 1936	70-41377-S
xun 557一641	66-36017-S
xun s 鲁迅 鲁迅 classification	59-4184-S
xun yu 163 212	54-13440-B
xun zi or hsun tzu c 310 237 bc	54-13374-B
