北票 北票	10-34601-B
卖国贼	59-58734-S
卖完	59-58786-S
卖掉	59-58834-S
卖方	59-58904-S
卖春	59-58945-S
卖淫	59-58992-S
卖炭翁	59-59038-S
卖点	59-59214-S
卖肉	59-59107-S
卖肉者	59-59162-S
南	10-65741-S
南 南	10-65741-B
南三角座	10-65769-S
南三角座 南三角座	10-65769-B
南下	10-65861-S
南下 南下	10-65861-B
南丰	11-3437-S
南丰县	11-3510-S
南丹	10-65904-S
南丹 南丹	10-65904-B
南乐	11-180-S
南乔治亚岛和南桑威奇	10-68590-S
南亚	10-65967-S
南亚区域合作联盟	10-66013-S
南亞 南亚	10-65967-B
南亞區域合作聯盟 南亚区域合作联盟	10-66013-B
南京	10-66159-S
南京 南京	10-66159-B
南京大学	10-66241-S
南京大學 南京大学	10-66241-B
南京大屠杀	10-66315-S
南京大屠杀事件	10-66418-S
南京大屠殺 南京大屠杀	10-66315-B
南京大屠殺事件 南京大屠杀事件	10-66418-B
南京市	10-66617-S
南京市 南京市	10-66617-B
南京条约	10-66710-S
南京條約 南京条约	10-66710-B
南京理工大学	10-66858-S
南京理工大學 南京理工大学	10-66858-B
南京路	10-66980-S
南京路 南京路	10-66980-B
南充	10-67036-S
南充 南充	10-67036-B
南充地区	10-67113-S
南充地區 南充地区	10-67113-B
南充市	10-67199-S
南充市 南充市	10-67199-B
南关	11-4746-S
南关区	11-4835-S
南冕座	10-67287-S
南冕座 南冕座	10-67287-B
南冰洋	10-67365-S
南冰洋 南冰洋	10-67365-B
南化乡	10-67430-S
南化鄉 南化乡	10-67430-B
南北	10-67507-S
南北 南北	10-67507-B
南北朝	10-67556-S
南北朝 南北朝	10-67556-B
南北极	10-67643-S
南北極 南北极	10-67643-B
南北美	10-67708-S
南北美 南北美	10-67708-B
南北韓 南北韩	10-67776-B
南北韩	10-67776-S
南匯 南汇	10-67842-B
南区	10-67906-S
南區 南区	10-67906-B
南十字座	10-67963-S
南十字座 南十字座	10-67963-B
南半球	10-68053-S
南半球 南半球	10-68053-B
南华	11-3121-S
南华早报	11-3183-S
南卡	10-68117-S
南卡 南卡	10-68117-B
南卡罗来纳	10-68169-S
南卡罗来纳州	10-68262-S
南卡羅來納 南卡罗来纳	10-68169-B
南卡羅來納州 南卡罗来纳州	10-68262-B
南县	11-2441-S
南召	10-68353-S
南召 南召	10-68353-B
南史	10-68416-S
南史 南史	10-68416-B
南和	10-68483-S
南和 南和	10-68483-B
南唐	10-68542-S
南唐 南唐	10-68542-B
南喬治亞島和南桑威奇 南乔治亚岛和南桑威奇	10-68590-B
南回归线	10-68755-S
南回歸線 南回归线	10-68755-B
南坪	10-68831-S
南坪 南坪	10-68831-B
南城	10-68896-S
南城 南城	10-68896-B
南城县	10-68971-S
南城縣 南城县	10-68971-B
南大	10-69058-S
南大 南大	10-69058-B
南奥塞梯	10-69113-S
南奧塞梯 南奥塞梯	10-69113-B
南宁	10-69439-S
南宁地区	10-69610-S
南宁市	10-69778-S
南安	10-69180-S
南安 南安	10-69180-B
南安普敦	10-69240-S
南安普敦 南安普敦	10-69240-B
南宋	10-69305-S
南宋 南宋	10-69305-B
南宫	10-69377-S
南宮 南宫	10-69377-B
南寧 南宁	10-69439-B
南寧地區 南宁地区	10-69610-B
南寧市 南宁市	10-69778-B
南屯区	10-69960-S
南屯區 南屯区	10-69960-B
南山	10-70031-S
南山 南山	10-70031-B
南山区	10-70083-S
南山區 南山区	10-70083-B
南山矿区	10-70171-S
南山礦區 南山矿区	10-70171-B
南岔	10-70264-S
南岔 南岔	10-70264-B
南岛	10-70449-S
南岛民族	10-70495-S
南岭	10-70562-S
南岳	10-70613-S
南岳区	10-70332-S
南岳區 南岳区	10-70332-B
南岸	10-70402-S
南岸 南岸	10-70402-B
南島 南岛	10-70449-B
南島民族 南岛民族	10-70495-B
南嶺 南岭	10-70562-B
南嶽 南岳	10-70613-B
南川	10-70670-S
南川 南川	10-70670-B
南川区	10-70714-S
南川區 南川区	10-70714-B
南州乡	10-70768-S
南州鄉 南州乡	10-70768-B
南希	10-70847-S
南希 南希	10-70847-B
南平	10-70885-S
南平 南平	10-70885-B
南平地区	10-70959-S
南平地區 南平地区	10-70959-B
南平市	10-71055-S
南平市 南平市	10-71055-B
南庄乡	11-3038-S
南康	10-71140-S
南康 南康	10-71140-B
南康市	10-71225-S
南康市 南康市	10-71225-B
南开大学	11-4664-S
南征	10-71321-S
南征 南征	10-71321-B
南征北伐	10-71389-S
南征北伐 南征北伐	10-71389-B
南征北战	10-71508-S
南征北戰 南征北战	10-71508-B
南征北討 南征北讨	10-71629-B
南征北讨	10-71629-S
南投	10-71749-S
南投 南投	10-71749-B
南拳	10-71810-S
南拳 南拳	10-71810-B
南斯拉夫	10-71890-S
南斯拉夫 南斯拉夫	10-71890-B
南方	10-71953-S
南方 南方	10-71953-B
南方周末	10-72036-S
南方周末 南方周末	10-72036-B
南昌	10-72121-S
南昌 南昌	10-72121-B
南昌县	10-72407-S
南昌市	10-72269-S
南昌市 南昌市	10-72269-B
南昌縣 南昌县	10-72407-B
南朝	10-72489-S
南朝 南朝	10-72489-B
南朝宋	10-72577-S
南朝宋 南朝宋	10-72577-B
南朝梁	10-72664-S
南朝梁 南朝梁	10-72664-B
南朝陈	10-72753-S
南朝陳 南朝陈	10-72753-B
南朝鮮 南朝鲜	10-72840-B
南朝鲜	10-72840-S
南朝齊 南朝齐	10-72898-B
南朝齐	10-72898-S
南木林	10-72977-S
南木林 南木林	10-72977-B
南极	10-73141-S
南极座	10-73184-S
南极洲	11-0-S
南极洲半岛	11-55-S
南桐矿区	10-73049-S
南桐礦區 南桐矿区	10-73049-B
南極 南极	10-73141-B
南極座 南极座	10-73184-B
南極洲 南极洲	11-0-B
南極洲半島 南极洲半岛	11-55-B
南樂 南乐	11-180-B
南欧	11-239-S
南歐 南欧	11-239-B
南汇	10-67842-S
南汉	11-1197-S
南江	11-287-S
南江 南江	11-287-B
南沙	11-354-S
南沙 南沙	11-354-B
南沙群岛	11-412-S
南沙群島 南沙群岛	11-412-B
南泥湾	11-483-S
南泥灣 南泥湾	11-483-B
南洋	11-535-S
南洋 南洋	11-535-B
南洋商報 南洋商报	11-580-B
南洋商报	11-580-S
南派螳蜋	11-683-S
南派螳螂 南派螳蜋	11-683-B
南浦市	11-789-S
南浦市 南浦市	11-789-B
南海	11-858-S
南海 南海	11-858-B
南海舰队	11-907-S
南海艦隊 南海舰队	11-907-B
南涧彝族自治县	11-1308-S
南涼	11-979-S
南涼 南涼	11-979-B
南港区	11-1063-S
南港區 南港区	11-1063-B
南溪	11-1136-S
南溪 南溪	11-1136-B
南漢 南汉	11-1197-B
南漳	11-1243-S
南漳 南漳	11-1243-B
南澗彝族自治縣 南涧彝族自治县	11-1308-B
南澳	11-1436-S
南澳 南澳	11-1436-B
南澳乡	11-1759-S
南澳县	11-1683-S
南澳大利亚州	11-1500-S
南澳大利亞州 南澳大利亚州	11-1500-B
南澳岛	11-1590-S
南澳島 南澳岛	11-1590-B
南澳縣 南澳县	11-1683-B
南澳鄉 南澳乡	11-1759-B
南燕	11-1834-S
南燕 南燕	11-1834-B
南特	11-1914-S
南特 南特	11-1914-B
南瓜	11-1970-S
南瓜 南瓜	11-1970-B
南疆	11-2011-S
南疆 南疆	11-2011-B
南皮	11-2061-S
南皮 南皮	11-2061-B
南票	11-2120-S
南票 南票	11-2120-B
南票区	11-2213-S
南票區 南票区	11-2213-B
南竿乡	11-2316-S
南竿鄉 南竿乡	11-2316-B
南緯 南纬	11-2393-B
南縣 南县	11-2441-B
南纬	11-2393-S
南美	11-2495-S
南美 南美	11-2495-B
南美梨	11-2542-S
南美棃 南美梨	11-2542-B
南美洲	11-2593-S
南美洲 南美洲	11-2593-B
南胶河	11-2728-S
南腔北調 南腔北调	11-2652-B
南腔北调	11-2652-S
南膠河 南胶河	11-2728-B
南芬	11-2805-S
南芬 南芬	11-2805-B
南芬区	11-2888-S
南芬區 南芬区	11-2888-B
南荷兰	11-2981-S
南荷蘭 南荷兰	11-2981-B
南莊鄉 南庄乡	11-3038-B
南華 南华	11-3121-B
南華早報 南华早报	11-3183-B
南詔 南诏	11-3288-B
南詔國 南诏国	11-3384-B
南诏	11-3288-S
南诏国	11-3384-S
南豐 南丰	11-3437-B
南豐縣 南丰县	11-3510-B
南越	11-3595-S
南越 南越	11-3595-B
南轅北轍 南辕北辙	11-3659-B
南辕北辙	11-3659-S
南边	11-4261-S
南边儿	11-4341-S
南达科他	11-4119-S
南达科他州	11-4184-S
南迦巴瓦峰	11-3762-S
南迦巴瓦峰 南迦巴瓦峰	11-3762-B
南通	11-3861-S
南通 南通	11-3861-B
南通地区	11-3936-S
南通地區 南通地区	11-3936-B
南通市	11-4033-S
南通市 南通市	11-4033-B
南達科他 南达科他	11-4119-B
南達科他州 南达科他州	11-4184-B
南邊 南边	11-4261-B
南邊兒 南边儿	11-4341-B
南郑	11-4520-S
南部	11-4414-S
南部 南部	11-4414-B
南郭	11-4460-S
南郭 南郭	11-4460-B
南鄭 南郑	11-4520-B
南門二 南门二	11-4587-B
南開大學 南开大学	11-4664-B
南關 南关	11-4746-B
南關區 南关区	11-4835-B
南门二	11-4587-S
南阳	11-4997-S
南阳县	11-5249-S
南阳地区	11-5070-S
南阳市	11-5165-S
南陵	11-4934-S
南陵 南陵	11-4934-B
南陽 南阳	11-4997-B
南陽地區 南阳地区	11-5070-B
南陽市 南阳市	11-5165-B
南陽縣 南阳县	11-5249-B
南雄	11-5319-S
南雄 南雄	11-5319-B
南雄市	11-5400-S
南雄市 南雄市	11-5400-B
南靖	11-5492-S
南靖 南靖	11-5492-B
南非	11-5556-S
南非 南非	11-5556-B
南面	11-5602-S
南面 南面	11-5602-B
南韓 南韩	11-5653-B
南韩	11-5653-S
南魚座 南鱼座	11-5698-B
南鱼座	11-5698-S
南麓	11-5774-S
南麓 南麓	11-5774-B
南齊 南齐	11-5845-B
南齊書 南齐书	11-5912-B
南齐	11-5845-S
南齐书	11-5912-S
単	11-5995-S
単 単	11-5995-B
博	11-6045-S
博 博	11-6045-B
博乐	11-8257-S
博乐市	11-8305-S
博伊西	11-6137-S
博伊西 博伊西	11-6137-B
博兴	11-9702-S
博动	11-6184-S
博動 博动	11-6184-B
博取	11-6236-S
博取 博取	11-6236-B
博古	11-6285-S
博古 博古	11-6285-B
博古通今	11-6334-S
博古通今 博古通今	11-6334-B
博士	11-6449-S
博士 博士	11-6449-B
博士买驴	11-6746-S
博士后	11-6671-S
博士学位	11-6530-S
博士學位 博士学位	11-6530-B
博士後 博士后	11-6671-B
博士買驢 博士买驴	11-6746-B
博大	11-6934-S
博大 博大	11-6934-B
博大精深	11-6990-S
博大精深 博大精深	11-6990-B
博学	11-7086-S
博学多才	11-7134-S
博學 博学	11-7086-B
博學多才 博学多才	11-7134-B
博客	11-7248-S
博客 博客	11-7248-B
博尔塔拉蒙古自治州	11-8497-S
博尔德	11-8653-S
博尔赫斯	11-8710-S
博尔顿	11-8779-S
博山区	11-7300-S
博山區 博山区	11-7300-B
博帕尔	11-7373-S
博帕爾 博帕尔	11-7373-B
博弈	11-7421-S
博弈 博弈	11-7421-B
博弈論 博弈论	11-7507-B
博弈论	11-7507-S
博彩	11-7561-S
博彩 博彩	11-7561-B
博得	11-7601-S
博得 博得	11-7601-B
博德	11-7647-S
博德 博德	11-7647-B
博愛 博爱	11-7701-B
博斯腾湖	11-7785-S
博斯騰湖 博斯腾湖	11-7785-B
博格	11-7862-S
博格 博格	11-7862-B
博格多	11-7924-S
博格多 博格多	11-7924-B
博格多汗宫	11-7972-S
博格多汗宫 博格多汗宫	11-7972-B
博格达山脉	11-8068-S
博格达峰	11-8175-S
博格達山脈 博格达山脉	11-8068-B
博格達峰 博格达峰	11-8175-B
博樂 博乐	11-8257-B
博樂市 博乐市	11-8305-B
博洛尼亚	11-8377-S
博洛尼亞 博洛尼亚	11-8377-B
博湖	11-8437-S
博湖 博湖	11-8437-B
博爱	11-7701-S
博爾塔拉蒙古自治州 博尔塔拉蒙古自治州	11-8497-B
博爾德 博尔德	11-8653-B
博爾赫斯 博尔赫斯	11-8710-B
博爾頓 博尔顿	11-8779-B
博物	11-8835-S
博物 博物	11-8835-B
博物多聞 博物多闻	11-8882-B
博物多闻	11-8882-S
博物院	11-8988-S
博物院 博物院	11-8988-B
博物館 博物馆	11-9038-B
博物馆	11-9038-S
博白	11-9088-S
博白 博白	11-9088-B
博罗	11-9149-S
博羅 博罗	11-9149-B
博而不精	11-9212-S
博而不精 博而不精	11-9212-B
博聞多識 博闻多识	11-9379-B
博聞強記 博闻强记	11-9483-B
博聞強識 博闻强识	11-9608-B
博興 博兴	11-9702-B
博茨瓦納 博茨瓦纳	11-9766-B
博茨瓦纳	11-9766-S
博茨瓦那	11-9826-S
博茨瓦那 博茨瓦那	11-9826-B
博蒂	11-9886-S
博蒂 博蒂	11-9886-B
博覽 博览	11-9955-B
博覽會 博览会	11-10004-B
博览	11-9955-S
博览会	11-10004-S
博訊 博讯	11-10068-B
博訊新聞網 博讯新闻网	11-10106-B
博識 博识	11-10178-B
博識多通 博识多通	11-10253-B
博識洽聞 博识洽闻	11-10353-B
博讯	11-10068-S
博讯新闻网	11-10106-S
博识	11-10178-S
