and print	8-66094-S,50-19782-S
and waning	45-2272-S
and wards off evil	59-28488-S
and warm	13-23220-S,31-58079-S,31-59857-S,41-17749-S
and warm clothes	39-23292-S
and warring states 475 221 bc periods	31-34629-S
and warring states 475 221 periods	31-34761-S
and wash e g padded garment	27-19460-S
and wash painting	36-40193-S
and waste 成语 saw	64-37248-S
and watch what he does	51-69561-S
and water	8-42238-S,27-37181-S,36-43903-S,41-14374-S,70-37140-S
and water on the other	5-24520-S
and waves	68-56031-S
and weak	23-36755-S,25-31602-S,44-18901-S,50-12005-S,56-48342-S
and weakly	16-57574-S
and wealth	12-59425-S
and wealth of the people 成语 saw	36-22610-S
and wealth 成语 saw	9-48258-S
and weaving	33-43240-S,49-25541-S,50-40273-S
and weaving maid characters in folk story	41-49228-S
and weaving maid 牛郎織女 牛郎织女	41-49104-S,41-64050-S,41-64222-S
and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
and weeding	51-38018-S
and weight	60-56511-S,60-56804-S
and well known	67-47540-S
and well spaced	10-12122-S
and wen jiabao new politics	52-22135-S
and west	33-23783-S
and west hemispheres	33-23881-S
and western culture	32-27606-S,34-1730-S
and western zhou 770 221 bc	33-23962-S
and western zhou 西周 770 221 bc	13-12517-S
and what is fake	19-16033-S
and what is false	55-51276-S
and what not	43-16884-B
and what one does	57-55956-S
and what s another s	1-71497-S
and wheat	67-5517-S
and when to leave	62-31481-S
and whether it can support a crop	16-25259-S
and whine	13-46469-S
and white	14-20908-S,38-54784-S,44-43840-S,71-31673-S
and white in tv screen setup	20-51591-S
and white picture	14-20981-S,14-21078-S
and white porcelain	67-57634-S
and white teeth 成语 saw	56-1834-S
and white tv	71-31749-S
and white 成语 saw	68-45759-S
and wide	53-16278-S,62-61090-S
and wide ranging	50-36957-S
and widely experienced	48-55910-S
and wife	6-60030-S,7-43951-S,8-51836-S,12-47769-S,17-62858-S,17-63047-S,63-37495-S
and wife fall out 成语 saw	17-62902-S
and wife together	12-37361-S
and wild	42-5232-S
and willow	34-28034-S
and wind	39-58150-S,40-15698-S
and window	26-25204-S
and windows system	45-11686-S
and wipe out	51-54751-S
and wisdom	26-37745-S,58-50836-S
and wise	51-28466-S
and with justice 成语 saw	27-70445-S,27-70599-S
and with low expectations	4-15336-S
and with nothing in it	55-53401-S
and with nowhere to go	14-12039-S
and withdraws	63-6163-S
and withered	40-65604-S
and without apprehension	40-56780-S
and without blemish	19-38287-S
and without fiber	71-13912-S
and without help	4-60757-S,19-13391-S,19-14020-S
and without slacking 成语 saw	19-8967-S
and without stress	24-31913-S
and without the borders	16-23378-S
and wittily	58-41795-S
and woman	25-34802-S,44-36211-S
and women	37-6297-S
and wood	48-2687-S
and woof	49-62110-S
and woof in weaving	50-29181-S
and work hard 成语 saw	9-15402-S
and work in peace and contentment	19-27268-S
and worker in marxism	61-40491-S
and workplaces in east asian countries	31-13857-S
and worried 成语 saw	25-27478-S
and worship	5-22179-S,60-40777-S
and worship buddha	41-28007-S
and worthy prospects 成语 saw	9-50813-S
and wounded	35-56832-S
and write off	57-29381-S
and wrong	31-37910-S,31-37967-S,31-38042-S,65-18384-S,68-45759-S,71-31673-S
and wrong based on public opinion 成语 saw	31-38042-S
and wrong 成语 saw	41-39989-S
and xiangyu 項羽 项羽 of chu	34-30346-S
and xinjiang	55-45484-S
and yang	3-24295-S,66-23523-S,66-25698-S
and yang school of philosophy	66-25745-S
and yanshan in yunnan	23-14321-S
and yao autonomous county in qingyuan 清远	62-21149-S,62-21323-S
and year	22-48859-S
and yellow battle ax 成语 saw	44-39629-S
and yellow emperor	40-28804-S
and yellow sea	63-5011-S
and yellow seeds	64-26805-S
and yi autonomous county in yunnan	20-18721-S,31-49756-S,49-10849-S
and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S,31-49569-S,31-49923-S
and you control his vassals	28-1416-S
and you control the whole country	28-1260-S
and you will bring about your own destruction	16-63216-S
and you will find a way through	17-50257-S
and younger sisters	18-38110-S
and youngest of brothers	4-57644-S
and yuan literary form based on vernacular folk stories	58-15991-S
and yuan periods	22-44990-S,58-7862-S
and yue in the same boat 成语 saw	13-1745-S
and yue traditional rivals	13-1945-S
and yunnan	24-53041-S,40-17188-S,42-15568-S,42-26814-S,42-26872-S,53-58335-S
and zerah	18-25869-S
and zhao	41-29214-S
and zhuangzi or lao tze and chuang tze	51-30338-S
and zhuangzi 莊子 庄子 369 286 bc	62-50494-S
and 两湖	36-59731-S
and 无	43-56589-S
and 涯 bank	11-29070-S
and 用	43-36763-S
and 膃肭臍 腽肭脐	52-46574-S
and 蕠漆	55-15136-S
and 袮宜田 minorita	56-52399-S
anda city in heilongjiang	19-33223-S
andaman islands	19-33286-B,19-33467-B
andaman sea	19-33398-S
andersen	19-28011-S
andes mountain chain	19-31863-S
andes mountain chain of south america	19-32007-B
andes mountain range	19-31929-S
andes mountains	19-25991-S
andesite geol 	19-27358-B
andhra pradesh or andhra state in southeast india	19-28079-B
andhra state in southeast india	19-28079-S
andingmen neighborhood of beijing	19-26838-B
andorra	19-33090-B,19-33140-B
andre person name	19-28241-B
andreanum linden	40-24963-S
andreanum linden fire crane flower	40-25055-S
andreas fault	51-46346-S,51-46452-S
andrei sakharov	55-23864-B
andrei sakharov 1921 1989	55-23527-B
andrew	19-28433-B
andrew carnegie 1835 1919	11-13030-B
andrew catholic transliteration	19-28303-B
andrew cunanan alleged serial killer	22-67214-B
andrias davidianus	18-50111-S
andrias davidianus davidianus	2-57612-S
andrias japonicus	17-42051-S
andrija mohorovichich or mohorovičić 1857 1936	54-26699-B
andromeda constellation	4-28405-B
andromeda constellation galaxy m31	4-28689-B
andromeda galaxy m31	4-28475-S,4-28602-B,4-28782-B
andromeda or andromeda galaxy m31	4-28475-S
anduo place in tibet	19-26152-S
andy lau	9-42321-B
anecdote	18-1489-B,60-30592-S,61-5857-B,62-33391-B
anecdote esp about celebrities	62-33258-B
anemia	8-9364-S,15-38206-S,17-67139-S,39-24451-S,56-29425-B,59-36652-B,65-1633-S,65-1861-S
anemia med 	66-42301-S
anemic necrosis	59-36692-B
anemone	38-23538-S
anesthesia	71-15775-B
anesthetic	5-28207-S,7-41976-S,7-43052-S,21-17202-S,21-17271-S,71-15555-B,71-15951-B
anesthetics	71-15896-B
anew	24-12223-B
anfu county in ji an 吉安	19-31683-B,19-31742-B
ang	11-17323-S
ang hsi	23-2869-S
ang li 1954 	33-1810-B
angel	17-43790-B,42-58294-B
angel of death of jewish and islamic mythology	35-58882-S
angela merkel 1954 	71-35742-B
angeles	37-56179-S
angeles times	37-56235-S
angelica	54-8827-B
angelica anomala	54-5385-B
angelica sinensis	43-67573-B
angelica type of iris	53-62494-B
anger	4-33981-S,5-8853-S,8-40330-S,8-63761-S,13-16655-S,13-20762-S,18-19072-B,24-52432-S,24-52692-B,24-53327-S,24-53438-S,24-53585-S,24-66223-B,25-24885-S,25-41659-S,25-44438-B,25-56411-B,29-7752-S,36-24125-B,36-24927-S,36-25306-S,36-31513-S,37-59628-S,37-59937-S,37-59991-S,37-60046-S,39-54226-S,41-4844-S,43-36277-S,44-30671-S,45-22933-S,45-40137-S,45-46034-S,47-39417-S,51-13193-S,51-27313-S,58-16643-S,60-35088-S,60-44963-S,69-15756-S
anger and tips off one s hat 成语 saw	24-53585-S
anger etc	24-43503-S
anger or excitement	68-2743-S
anger out on sb who does not deserve it	62-69674-S
anger 成语 saw	4-34664-S,24-52224-S,24-52537-S,24-52729-S
angina	24-37235-B
angioma tumor consisting of a mass of blood vessels	56-27500-B
angiosperm flowering plants with seed contained in a fruit	56-51683-B
angiospermae phylum of flowering plants with seed contained in a fruit	56-51797-B
angkorwat cambodia	12-70050-B
angle	1-38979-S,1-39063-S,11-53819-S,20-56168-S,22-46488-S,27-10926-S,28-20564-S,28-34613-S,29-4610-S,34-35940-S,35-34026-S,35-34223-S,35-36458-S,35-49937-S,45-24001-S,45-31150-S,47-62419-S,56-59373-S,57-44040-B,57-44746-B,64-21247-S,64-33331-S,69-14968-S,69-15021-S,69-15656-S
angle a chord of a curve makes to the tangent	23-34208-S
angle adding to 90 degrees	69-17181-S
angle additional angle adding to 90 degrees	69-17181-S
angle at which two lines meet	3-71517-B
angle between branch and stem	52-36090-S
angle between two lines	17-71478-S
angle between two lines or two planes	20-57494-B
angle brackets 	21-5838-B
angle brackets「 」	27-47221-S
angle camera shot	23-14982-S
angle character stroke	35-8320-S,59-19061-S
angle gauge	57-46024-B
angle i e angle a chord of a curve makes to the tangent	23-34208-S
angle in polar coordinates	34-35940-S
angle iron	57-46390-B
angle lens	23-14918-S
angle of dip inclination of a geological plane down from horizontal	6-49185-B
angle of intersection	3-71517-B
angle of rotation	31-1332-B
angle on sth	57-36931-B
angle or arc equivalent to one sixtieth of a degree	47-21774-S
angle preserving	5-39141-S
angle to the vertical	20-57494-B
angled triangle	45-24049-S,45-24130-S
angled turn	32-4616-S
angles	1-42130-S,8-58113-S,21-58646-S,32-4542-S,37-64308-S,45-65178-S,54-47314-S,57-44670-S,57-45005-S,64-40280-S
angles 成语 saw	8-15558-S
angling	15-55640-B
anglo	45-3195-B
anglo australian mining corporation	24-41206-S
anglo french	54-3806-B
anglo french aircraft	10-64189-S
anglo japanese allied army intervention during russian revolution and civil war 1917 1922	31-11801-B
anglo saxon	45-3338-B
anglo saxon people	45-3244-B
angola	19-25372-B,50-56843-S,54-43826-S
angren place in tibet	31-17866-S
angrily	12-20083-S,12-20196-S,12-20391-S,12-20520-S
angry	1-53812-S,5-18478-S,5-18524-S,9-69213-S,17-17748-B,17-28625-S,18-17925-B,25-5904-B,25-11318-B,25-24559-S,25-24656-B,25-24798-S,25-56460-B,25-62403-B,30-6554-B,35-31381-B,36-24927-S,36-25801-B,36-28669-S,36-30046-S,40-20055-B,40-20102-S,43-22119-B,43-22119-S,44-28818-B,44-28818-S,44-30533-S,44-30868-S,44-33198-S,53-46127-B,59-11386-S,70-29638-S
angry and full of grievances	25-24717-B
angry argument	11-69657-B
angry at	14-24176-S,45-58199-B
angry at unfairness	36-25072-B
angry determination	44-29213-B
angry dog	42-24276-B
angry exchange	29-13495-S
angry it s unbearable	36-25204-S
angry look	24-52388-B
angry or stressed about sth	60-34829-S
angstrom	15-57590-B
anguilla	19-25940-B
anguilla lostoniensis	70-46876-B
anguish	8-62770-S,37-6707-S,41-10081-B,62-63938-S,66-48627-S
anguished wailing	13-31651-B,13-32960-B
angular frequency	57-46617-B
angular gyrus convolution of the brain	57-44479-B
angular momentum	57-44369-B
angular velocity	31-1398-S,57-46246-B,61-29556-B
angulata	55-46754-S
anguo city in hebei	19-25420-S
angustifolium	55-29808-S
anhua place in hunan	19-24702-S
anhui	3-20552-S,3-51437-S,4-5067-S,4-5129-S,4-5200-S,5-17642-S,7-37897-S,7-67042-S,7-67110-S,7-67200-S,9-7917-S,11-4934-S,12-67590-S,13-24744-S,14-27722-S,15-613-S,16-39221-S,17-54348-S,17-54522-S,17-57228-S,19-27612-S,19-29062-S,19-29133-S,19-48097-S,19-54252-S,19-54329-S,19-54480-S,19-66936-S,19-67007-S,19-67649-S,19-67701-S,20-609-S,20-16839-S,21-37652-S,21-52252-S,21-52335-S,21-52428-S,23-12769-S,23-16152-S,26-365-S,26-1696-S,31-2016-S,31-22161-S,32-46366-S,33-23289-S,34-5563-S,34-5630-S,34-50300-S,35-31169-S,35-31219-S,36-62061-S,36-62134-S,37-35652-S,38-28734-S,38-46916-S,38-46989-S,38-47073-S,38-47245-S,39-3342-S,39-25409-S,39-25482-S,39-56523-S,39-58869-S,40-8084-S,43-37834-S,43-37892-S,43-47899-S,43-47961-S,43-67625-S,46-4528-S,46-30468-S,46-51245-S,47-40919-S,50-36795-S,50-37509-S,52-11498-S,52-12315-S,52-59763-S,53-30740-S,53-49480-S,54-62339-S,55-16179-S,55-16246-S,55-17028-S,55-57898-S,55-57969-S,57-7448-S,59-43238-S,63-21432-S,64-30883-S,64-30958-S,65-19811-S,65-58299-S,65-59091-S,65-59162-S,65-59242-S,67-41648-S,67-42468-S,67-52646-S,67-59225-S,69-44037-S,69-44121-S,70-51947-S,70-52734-S,71-18049-S,71-18194-S,71-43523-S
anhui faction of northern warlords 1912 c 1920	44-63938-B
anhui ink known for its quality	24-30224-B
anhui opera	24-30180-B,24-30655-B
anhui province	31-46504-B
anhui province anhwei in south central china	19-28481-B,19-28630-B
anhui university	19-28560-B
anhui 安徽 province	44-63795-S
anhwei in south central china	19-28481-S,19-28630-S
anhydride	3-51330-S,63-39193-B
anhydrite caso4	46-25908-B
aniline c6h5nh2	54-1186-B
animacy	10-794-B
animal	1-22899-S,3-27845-S,4-24754-S,8-23123-S,8-23190-S,10-552-B,12-30629-S,12-30965-S,17-51977-S,19-17100-S,19-59387-S,19-63398-S,21-12219-S,24-65362-S,24-65362-S,26-15854-S,28-321-S,28-60255-S,28-60386-S,29-36959-S,35-63206-S,39-23144-S,41-21559-S,41-36868-S,41-54542-S,41-55307-S,42-1350-S,42-9458-S,42-11418-S,42-12168-S,42-15313-S,42-22605-S,43-53304-S,43-53304-S,43-53702-S,43-53872-S,46-58574-S,47-25459-S,51-37915-S,52-19427-S,52-20317-S,52-31970-S,52-47219-S,52-53246-S,54-15844-S,56-3609-S,56-18735-S,57-47624-S,59-10247-S,59-26698-S,60-12624-B,60-40600-S,60-51774-S,61-4386-S,64-3932-S,64-4122-S,64-23491-S,66-33731-S,66-53459-S,69-20417-S,69-45227-S,69-54700-S
animal as a block	16-14805-S
animal bedding	16-23936-S,16-24712-S
animal before slaughter	6-31933-S
animal bones	11-11642-S
animal bones used in divination	43-42180-S
animal by the head	42-716-S
animal call	70-52840-B
animal charcoal	70-859-B
animal den	42-25456-B
animal drawn vehicle	42-25242-B
animal farm	10-1182-B
animal fat	10-1068-B,52-12870-B,52-46532-S
animal fattening preparation	6-32002-B
animal feed	10-927-B,69-1654-B
animal fodder	30-35507-S
animal hair	36-17151-S
animal harness	52-24330-S
animal hide	68-4453-B
animal horns	57-44799-S
animal husbandry	41-52088-B,43-53599-B
animal kept to breed offspring	7-62246-S
animal kingdom	10-1123-B
animal labor	10-5413-B
animal manure	43-53825-B
animal on a tether	41-62775-S
animal or bike	69-51960-S
animal or fish	28-5125-S
animal or prisoner	35-16024-S
animal popular in the us	17-32115-S
animal powered as opposed to human or machine powered	43-53412-B
animal product industry	41-52088-B
animal products	43-53752-S
animal s claw	41-37203-B
animal s load	69-45127-S
animal s tail	30-68043-S
animal sacrifice to a god or ancestral spirit	56-27640-B
animal skill or beast fist martial art esp fictional	42-25667-S
animal skin	42-25406-B
animal species	47-32047-S,47-33468-S
animal such as the dragon	42-62247-S
animal that brings luck and wards off evil	59-28488-S
animal that suits its owner	45-31947-S
animal to go	29-52883-S
animal to heat by artifial means	6-30959-S
animal training	42-25667-B,57-64499-B,69-44778-B
animal trap	50-51173-B,66-32126-S
animal used for tracking	53-17723-S
animal which eats its mother	42-16496-S
animal with one horn	55-48392-S
animal yard	35-18039-B
animals	3-68033-S,5-54212-S,7-45986-S,9-69259-S,10-285-S,10-592-S,12-9667-S,13-47335-S,13-53268-S,15-1074-S,16-39806-S,19-64898-S,21-26938-S,21-45791-S,21-61605-S,28-535-S,33-8178-S,37-65176-S,39-38483-S,41-50242-S,41-52633-S,41-55429-S,41-55645-S,42-25667-S,42-25911-B,43-53372-S,43-53551-S,44-688-S,44-17509-S,47-10417-S,49-21579-S,49-23410-S,52-19374-S,53-63622-S,54-23186-S,55-4753-S,58-40331-S,66-32503-S,66-51818-S,68-64468-S,69-10328-S,69-11213-S,69-63225-S,71-10399-S
animals along	13-26273-S
animals and birds	42-43586-S
animals and plants	28-5049-S
animals martial art	3-50476-S
animals or plants	47-33723-S
animals symbolic of the terrestrial branches	43-28967-S
animals used for their physical strength mules	41-55347-B
animals with hooves	32-39818-S
animate noun	10-847-B
animate nouns	5-54849-S
animated	43-22119-B
animated graphics	9-69684-B
animated robot character in a computer game	55-22977-S
animatedly	53-23015-B
animation	6-8709-S,10-1316-B,10-1368-B,43-22119-B,57-59707-S
animation e g cartoons	9-69684-B
animosity	4-21698-B,18-59245-B
anionic site	66-25938-B
anisatum	54-27513-S,54-27701-S
anise	7-52653-B,7-52653-S,7-52828-S,7-52828-S,17-19588-S,17-19588-S,17-33482-S,17-33482-S
anise based liquor	54-171-S
anise ilicium anisatum	54-27701-S
anise pimpinella anisum	54-10414-B
aniseed	7-52653-B,17-33552-B,54-10377-B,54-10414-B
anisoin	14-25023-S
anisum	54-10414-S
anitya	40-50255-S
anji place in zhejiang	19-25312-S
ankang district district in shaanxi	19-27822-S
ankara capital of turkey	19-24989-B
ankle	52-43932-B
ankle bone	60-47532-B
ankor dynasty of cambodia	33-47238-S
ankorwat	12-69997-B
anle area in taiwan	19-29999-S
anling prefecture in northwest heilongjiang province	17-32866-S
anlong place in guizhou	19-34732-S
anlu city in hubei	19-33885-S
anmen incident of 4th jun 1989	7-66873-S,7-66951-S
anna person s name	19-26550-B
anna 安娜 or diana 黛安娜	18-50809-S
annals	12-20993-B,13-7576-S,13-7699-S,21-58976-S,31-34526-S,50-20007-B,50-20070-S
annals or commentary on 春秋	7-63709-S,7-63802-S,59-15444-S
annals 春秋	31-34293-S,71-10831-S
annals 春秋 edited by confucius	70-40126-S
annan 1938 	19-24761-S
annan area in taiwan	19-24812-S
annealed	68-10849-B
annelid worm	43-6726-B
annelid worms	43-6615-S
annelidan	43-6797-B
annex	5-11843-B,5-27147-S,8-6302-S,8-52484-B,10-17486-S,12-32228-S,12-64727-S,66-15272-B
annex manchuria	3-17360-S,33-49592-S
annexed	38-44887-S
annexed territory	21-27350-B
annie name	19-26506-B
annihilate	7-38224-S,15-21401-S,35-64836-B,35-64900-S,35-65040-B,38-31043-S,51-54751-S
annihilate bandits	10-13550-S
annihilate campaign	11-45906-S
annihilated	57-28497-B
annihilation	35-8537-S,39-14225-B
annihilation in quantum field theory	38-31043-B
annihilation of soul	30-59459-B,30-59515-B
anniversary	49-21981-S,49-40664-S,62-27027-B,64-25881-S
anno domini	57-12925-S
annotate	26-57665-S,37-43983-S,37-44837-S,58-5244-B,58-5435-B,58-7790-B,58-15512-B
annotate e g a character with its pinyin	34-53821-S
annotated book	44-39498-S
annotated sounds	37-44994-B,58-5547-B
annotation	37-44837-B,44-1400-B,58-5435-B,58-7790-B,58-15512-B,66-16135-B
annotations between the lines	17-70440-S
announce	4-64970-S,4-65108-S,7-54638-S,16-8481-S,19-53661-S,19-54544-S,22-13546-S,27-12049-S,29-15252-S,62-8869-S
announce a victory	16-10626-B
announce good news	16-9625-B
announce in advance	3-29226-S
announce publicly	28-48560-S
announce reverentially	30-11131-S
announce the items on a theatrical program	16-10108-B
announced	8-41411-S,30-44083-S
announcement	7-57556-B,7-57968-B,13-9314-S,13-9410-B,34-39521-S,51-58090-S,51-60431-S
announcement of joyful news	14-7615-B
announcement of verdict at a trial	7-56781-S
announcement written	13-64573-B
announcer	16-9472-B,29-15315-B
annoy	25-24798-S,25-26682-S,29-36586-S,29-36856-S,36-25306-S,50-45316-S,50-45413-S,53-67551-B
annoy to death	41-10242-S
annoyance	5-8853-S,41-10122-B
annoyance or frustration	45-42786-S
annoyed	25-51303-B,25-62053-B,47-56251-B
annoying	13-46829-S,25-24594-B,25-24798-B,57-25256-B
annoying muddle headed person who gabbles unintelligibly	50-45617-B
annoying muddle headed talk	50-45476-S
annual	62-27027-B
annual average rate	22-47848-B
annual basis	62-2234-S
annual bot 	1-7959-B
annual income	35-50520-B
annual income of 10	54-43528-S
annual interest	22-48761-B
annual meeting	22-48810-B,70-57411-S
annual national audit	17-35403-B
annual rate of growth	22-47904-B
annual report	22-47995-B,22-48692-B
annul debts	20-24136-S
annular eclipse of the sun	31-10522-S
annular ring	43-6615-B
annulled	23-9040-B
annulus	43-4046-S
annulus to zhao 成语 saw	19-37869-S
annunciation	9-58265-S
annunciation christian festival on 25th march	17-43830-B
annuum	67-55828-S
anode	66-35864-B,66-36870-B
anoint	16-18700-B,27-15913-S,52-47094-S
anoint your head with the purest cream 成语 saw	63-47720-S
anomala	54-5385-S
anomalous	59-8533-B
anomaly	43-60836-S
anomaly geol 	46-35972-S,63-56650-S
anonymous	10-40321-B
anopheles	27-63216-B
anopheles type of mosquito	44-19377-B
anorexia	11-36904-B
anorexia nervosa	48-55553-B
another	1-194-S,2-48124-S,3-45477-S,3-68646-S,3-68646-S,4-1125-S,4-20799-S,4-24967-B,5-63756-S,7-4068-S,8-8067-B,9-2905-B,11-28395-S,11-67094-S,12-6450-B,12-6507-B,14-3623-S,20-50705-S,20-51330-S,20-55944-S,23-6504-S,23-6616-S,23-6974-S,23-60657-S,23-61480-S,25-12546-S,25-59056-S,26-9381-S,27-68686-S,28-58993-S,28-58993-S,32-8368-S,33-640-S,35-21322-S,35-51577-S,37-4404-S,37-20133-S,41-38100-S,45-25514-S,45-27280-S,45-27349-S,45-28420-S,45-28594-S,45-28700-S,45-28856-S,45-28919-S,45-29373-S,45-29519-S,49-24275-S,56-11177-S,59-13125-S,59-13375-S,60-10388-S,61-16411-S,61-23652-S,61-30120-S,62-2039-S,62-2303-S,62-25127-S,62-25879-S,62-69438-S,64-1967-S,66-34491-S,66-48071-S,67-15405-S,68-51240-S,68-62943-S
another angle	11-53819-S
another as brothers	25-12546-S
another aspect	12-6633-B
another car	60-24114-S
another character	51-65821-S
another college	61-22539-S
another country	60-15313-S
another cropping up	27-61868-S
another day	29-44551-B
another document	11-39607-S
another for survival	45-26532-S,45-26684-S
another fully	15-53526-S
another guise	5-65501-S
another in time of need	45-29737-S
another kind	12-6723-B
another land	20-2604-S,43-63875-S
another language	61-28074-S
another look at sth	63-60010-S
another medium	29-44444-S
another name	9-3403-B,9-4205-B
another name for book of changes i ching 易經 易经	13-12219-B
another name for fu xi 伏羲	22-61312-B
another name for history of the five dynasties between tang and song 舊五代史 旧五代史	34-9151-B
another name for língqú 靈渠 灵渠 canal in xing an county 興安 兴安	53-24114-B
another name for mandalay 曼德勒	43-10656-B
another name for mt hua	37-48351-B
another name for mt tai 泰山 in shandong as principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-B
another name for sakyamuni 釋迦牟尼佛 释迦牟尼佛	63-52880-B
another name for the goddess matsu	17-47037-S
another name for the spring and autumn annals 春秋	71-10831-B
another name for tianjin 天津	37-58818-B
another name for xi wangmu 西王母	42-35563-B
another name for yan ying 晏嬰 晏婴 or yanzi 晏子 500 bc	31-44447-B
another name for zhou4 紂 纣	22-25674-B
another name for 理學 理学	62-50334-B
another of thrilling story	37-40249-S
another one like it	36-16430-S
another person	58-4693-S
another person to harm sb	5-64277-S
another place	8-37873-S,40-18072-S
another poem s rhymes	35-43442-S
another purpose	16-24915-S,61-25840-S
another religion	29-43595-S,43-61722-S
another s	1-71497-S
another s meaning	5-65302-S
another term of office	62-19570-S
another to suit one s own convenience	18-59130-S,27-66056-S
another use	6-622-S
another visit to doctor	24-16240-B
another word for guiyang 貴陽 贵阳	48-20174-B
another word for the inert or noble gases 惰性氣體 惰性气体	67-20529-B
another 成语 saw	19-41293-S,45-31023-S,45-31292-S,45-65660-S
another 成语 saw in succession	28-25012-S
anoxia	50-49282-B
anping area in taiwan	19-27541-S
anping place in hebei	19-27480-S
anqing district district in anhui	19-29133-S
anqing prefecture level city in anhui	19-27612-B,19-29062-B
anqiu city in shandong	19-22771-S
anren place in hunan	19-23000-S
ansai place in shaanxi	19-26091-S
anser indicus	30-33084-S
anshan prefecture level city in anhui	69-44037-S,69-44121-S
anshan prefecture level city in liaoning	68-7015-B,68-7089-B
anshi 1021 1086	42-34253-S
anshun district district in guizhou	19-34379-S
anshun prefecture level city in guizhou	19-34306-B,19-34474-B
anson chan or fang on sang 1940 head of hong kong s civil service before and after the handover to prc rule in 1997	66-27907-B
answer	12-66564-S,13-62928-S,14-54252-S,14-57129-B,20-46157-S,20-46157-S,20-48099-S,20-51459-S,20-54266-B,20-54313-S,24-12792-S,25-58764-S,25-59201-S,28-59241-S,28-60070-S,28-60319-S,48-20395-S,48-20432-B,48-20560-B,48-20599-S,48-20650-S,48-20924-B,48-21067-S,48-21173-S,48-21382-S,48-21628-S,54-13616-S,57-51814-B,58-4549-S,58-17361-S,68-18986-B
answer back	11-45809-S,63-9834-S,63-9893-S
answer back sarcastically	11-45647-B
answer beside the point	48-21628-S
answer questions as teacher or consultant	48-20971-S
answer sheet	48-20486-B
answer the phone	28-24729-S
answer to a question in math 	48-20850-S
answer to a riddle	58-52898-B
answer to question	13-45537-S,13-45705-S
answering one another	45-28700-B
answering phrase	20-48099-B,20-49023-S
answering phrase of duet	20-51459-B
answering phrase school exercise in memory or composition	20-56441-S
ant	8-2567-S,44-45885-S,55-58051-S,56-3914-S,56-12026-B,56-12120-B,56-12262-B,56-19755-B
ant eater	46-11091-S,47-51302-S,70-45056-S,70-45137-S
ant eater several different species	69-3999-B
ant eggs	55-59057-B
ant fights	56-19825-S
antagonism	20-50052-B,30-18204-B
antagonist	30-17867-B
antagonistic	20-50147-B,27-47820-B
antagonistic to	20-53940-S
antananarivo capital of madagascar	16-18126-B
antarctica	11-0-B,33-16969-S
antartic ocean	10-67365-S
antartic peninsula jutting out towards south america	11-55-S
antecedent	7-3366-B
antecedent logic	9-18183-B
antecedents	5-18278-B
antei japanese reign name	19-32814-B
antelope	26-54506-S,51-9840-B,51-9872-S,51-9936-B,55-31532-S,55-31611-S,65-19687-S
antenna	17-52841-B,57-55230-B
antennae	57-55338-B
anterior chamber the front chamber of the eye	9-20394-B
anterior muscle upper sides of the chest	9-25846-S
anterior subcortical lesions	9-25219-B
anthem	15-10376-S
anther pollen sack on stamen	53-60379-B
anthill	15-57185-B
anthology	19-2594-S,63-1462-B,66-57324-B
anthology of biographies	12-53708-B
anthology of ci poems tunes 1795	44-49050-B
anthracene	55-4447-B
anthracis	40-29923-S
anthracite	40-56571-B,44-41800-B
anthrax	40-29874-B,40-30018-B,40-30068-B,62-1096-S
anthrax bacterium	40-29923-S
anthrax vaccine	40-30120-B
anthriscus cerefolium	54-10414-S
anthropologist	4-18716-B,33-5062-S
anthropology	4-18659-B,36-21442-B
anthropomorphic god	4-10913-B
anthropomorphism	4-10838-B
anthropomorphism rhetoric device of presenting abstractions as people	29-27081-B
anthurium andreanum linden	40-24963-S
anthurium andreanum linden fire crane flower	40-25055-S
anthurium hybrida	19-31406-B
anti	11-43612-B,27-3989-B
anti acid	57-52580-B
anti air craft fire	20-53840-B
anti aircraft defense	11-52095-B,65-62779-B
anti aircraft gun	70-13391-B
anti alias computer graphics	38-34090-B
anti christ	11-46243-S
anti coagulant	65-63173-B
anti communism	11-44494-B
anti communist	44-35806-B
anti communist often considered criminal	11-44417-B
anti corruption	11-54561-B
anti corruption policy	11-54445-B
anti doping	11-52763-B
anti dühring	11-50404-B
anti english	11-53154-B
anti flood precautions	65-61845-B
anti foreigner	28-15843-B
anti fraud numeral	4-29953-S,4-52755-S,5-10803-S,11-41362-S,16-37845-S,27-53554-S,28-2759-S,33-42586-S,42-37296-S,52-3700-S,59-41860-S,66-32597-S
anti fraud numeral corresponding to 廿	24-49883-S
anti fraud numeral one	16-37710-S,23-25071-S
anti fraud numerals	11-41420-S,52-3823-S,59-41915-S
anti fraud numerals 壹	17-15322-S
anti government protest	11-49872-B
anti imperialist	11-47551-B
anti imperialist movement of 30th may 1925	3-47695-B
anti imperialists	11-47551-B
anti inflammatory drug nsaid	43-59956-S
anti inflammatory medicine	27-6015-B
anti intellectual	11-51962-B
anti japan	11-50115-B
anti japanese esp wartime activities	27-4994-B
anti japanese organization	27-5213-S
