重劍 重剑	63-56555-B
銛 銛	64-32184-B
銜 衔	64-32224-B
銜接 衔接	64-32276-B
銠 铑	64-32338-B
銣 铷	64-32371-B
銤	64-32404-S
銤 銤	64-32404-B
銥 铱	64-32435-B
銦 铟	64-32467-B
銧	64-32499-S
銧 銧	64-32499-B
銨 铵	64-32540-B
銩 铥	64-32570-B
銪 铕	64-32605-B
銫 铯	64-32641-B
銬 铐	64-32672-B
銭	64-32719-S
銭 銭	64-32719-B
銮	65-10961-S
銲 焊	64-32770-B
銲錫 焊锡	64-32815-B
銳 锐	64-32854-B
銳不可當 锐不可当	64-32882-B
銳利 锐利	64-32966-B
銳化 锐化	64-33012-B
銳志 锐志	64-33056-B
銳意 锐意	64-33108-B
銳敏 锐敏	64-33170-B
銳氣 锐气	64-33227-B
銳減 锐减	64-33283-B
銳角 锐角	64-33331-B
銳進 锐进	64-33377-B
銶	64-33437-S
銶 銶	64-33437-B
銷 销	64-33491-B
銷勢 销势	64-33546-B
銷售 销售	64-33585-B
銷售額 销售额	64-33641-B
銷子 销子	64-33731-B
銷帳 销帐	64-33781-B
銷毀 销毁	64-33872-B
銷聲匿跡 销声匿迹	64-33941-B
銷行 销行	64-34045-B
銷賬 销账	64-34128-B
銷贓 销赃	64-34209-B
銷路 销路	64-34271-B
銷量 销量	64-34348-B
銷鑠 销铄	64-34397-B
銷魂 销魂	64-34453-B
銹 锈	64-34538-B
銻 锑	64-34579-B
銼 锉	64-34620-B
鋁 铝	64-34682-B
鋁土 铝土	64-34715-B
鋁礬土 铝矾土	64-34767-B
鋁箔 铝箔	64-34830-B
鋁箔紙 铝箔纸	64-34875-B
鋂	64-34931-S
鋂 鋂	64-34931-B
鋃 锒	64-34975-B
鋅 锌	64-35013-B
鋆	64-35043-S
鋆 鋆	64-35043-B
鋇 钡	64-35070-B
鋈	64-35102-S
鋈 鋈	64-35102-B
鋊	64-35140-S
鋊 鋊	64-35140-B
鋌 铤	64-35191-B,64-35220-B
鋍	64-35263-S
鋍 鋍	64-35263-B
鋏 铗	64-35307-B
鋐	64-35361-S
鋐 鋐	64-35361-B
鋑	64-35402-S
鋑 鋑	64-35402-B
鋒 锋	64-35445-B
鋒利 锋利	64-35534-B
鋒芒 锋芒	64-35614-B
鋕	64-35664-S
鋕 鋕	64-35664-B
鋘	64-35704-S
鋘 鋘	64-35704-B
鋙	64-35743-S
鋙 鋙	64-35743-B
鋝 锊	64-35768-B
鋟 锓	64-35816-B
鋤 锄	64-35844-B
鋤地 锄地	64-35905-B
鋤奸 锄奸	64-35961-B
鋤強扶弱 锄强扶弱	64-36020-B
鋤草 锄草	64-36171-B
鋤頭 锄头	64-36219-B
鋦 锔	64-36256-B,64-36332-B
鋦子 锔子	64-36365-B
鋨 锇	64-36421-B
鋩	64-36451-S
鋩 鋩	64-36451-B
鋪 铺	64-36486-B,64-36517-B
鋪位 铺位	64-36552-B
鋪保 铺保	64-36595-B
鋪墊 铺垫	64-36644-B
鋪天蓋地 铺天盖地	64-36705-B
鋪子 铺子	64-36874-B
鋪家 铺家	64-36915-B
鋪展 铺展	64-36958-B
鋪平 铺平	64-37005-B
鋪床 铺床	64-37080-B
鋪底 铺底	64-37144-B
鋪張 铺张	64-37189-B
鋪張浪費 铺张浪费	64-37248-B
鋪戶 铺户	64-37341-B
鋪捐 铺捐	64-37383-B
鋪排 铺排	64-37430-B
鋪擺 铺摆	64-37473-B
鋪攤 铺摊	64-37538-B
鋪敘 铺叙	64-37622-B
鋪板 铺板	64-37699-B
鋪炕 铺炕	64-37740-B
鋪砌 铺砌	64-37802-B
鋪蓋 铺盖	64-37838-B
鋪蓋卷兒 铺盖卷儿	64-37889-B
鋪衍 铺衍	64-37950-B
鋪襯 铺衬	64-38018-B
鋪設 铺设	64-38065-B
鋪路 铺路	64-38112-B
鋪軌 铺轨	64-38228-B
鋪陳 铺陈	64-38281-B
鋪面 铺面	64-38401-B,64-38450-B
鋪面房 铺面房	64-38508-B
鋪首 铺首	64-38595-B
鋭	64-38652-S
鋭 鋭	64-38652-B
鋮 铖	64-38702-B
鋯 锆	64-38740-B
鋯合金 锆合金	64-38775-B
鋯石 锆石	64-38827-B
鋰 锂	64-38914-B
鋰離子電池 锂离子电池	64-38946-B
鋰電池 锂电池	64-39030-B
鋱 铽	64-39090-B
鋳	64-39124-S
鋳 鋳	64-39124-B
鋸 锯	64-39174-B,64-39269-B
鋸子 锯子	64-39314-B
鋸工 锯工	64-39350-B
鋸木 锯木	64-39392-B
鋸木廠 锯木厂	64-39437-B
鋸木架 锯木架	64-39502-B
鋸末 锯末	64-39555-B
鋸架 锯架	64-39594-B
鋸條 锯条	64-39637-B
鋸棕櫚 锯棕榈	64-39681-B
鋸片 锯片	64-39793-B
鋸開 锯开	64-39835-B
鋸齒 锯齿	64-39874-B
鋸齒形 锯齿形	64-39915-B
鋹	64-39981-S
鋹 鋹	64-39981-B
鋼 钢	64-40035-B
鋼刀 钢刀	64-40064-B
鋼化玻璃 钢化玻璃	64-40116-B
鋼叉 钢叉	64-40186-B
鋼廠 钢厂	64-40231-B
鋼曲尺 钢曲尺	64-40280-B
鋼材 钢材	64-40372-B
鋼板 钢板	64-40444-B
鋼柱 钢柱	64-40490-B
鋼琴 钢琴	64-40545-B
鋼琴家 钢琴家	64-40585-B
鋼琴師 钢琴师	64-40638-B
鋼筆 钢笔	64-40691-B
鋼筋水泥 钢筋水泥	64-40737-B
鋼筋混凝土 钢筋混凝土	64-40813-B
鋼管 钢管	64-40900-B
鋼管舞 钢管舞	64-40946-B
鋼箭 钢箭	64-41028-B
鋼絲 钢丝	64-41074-B
鋼絲繩 钢丝绳	64-41128-B
鋼絲鋸 钢丝锯	64-41192-B
鋼纜 钢缆	64-41270-B
鋼耀 钢耀	64-41340-B
鋼花 钢花	64-41382-B
鋼軌 钢轨	64-41448-B
鋼鋸 钢锯	64-41493-B
鋼鏰 钢镚	64-41538-B
鋼鐱 钢钎	64-41589-B
鋼鐵 钢铁	64-41638-B
鋼鐵學院 钢铁学院	64-41678-B
鋼鐵廠 钢铁厂	64-41784-B
鋼鞭 钢鞭	64-41843-B
鋼骨水泥 钢骨水泥	64-41892-B
錀	64-41967-S
錀 錀	64-41967-B
錁 锞	64-41997-B
錄 录	64-42044-B
錄供 录供	64-42104-B
錄像 录像	64-42163-B
錄像帶 录像带	64-42224-B
錄像機 录像机	64-42284-B
錄共 录共	64-42347-B
錄取 录取	64-42406-B
錄影帶 录影带	64-42458-B
錄影機 录影机	64-42527-B
錄用 录用	64-42605-B
錄音 录音	64-42657-B
錄音帶 录音带	64-42707-B
錄音機 录音机	64-42761-B
錆 锖	64-42842-B
錇 锫	64-42889-B
錈 锩	64-42926-B
錏	64-42962-S
錏 錏	64-42962-B
錐 锥	64-42992-B
錐子 锥子	64-43032-B
錐尖 锥尖	64-43074-B
錐形 锥形	64-43137-B
錐面 锥面	64-43194-B
錐齒輪 锥齿轮	64-43234-B
錒 锕	64-43291-B
錒系元素 锕系元素	64-43325-B
錔	64-43407-S
錔 錔	64-43407-B
錕 锟	64-43454-B
錘 锤	64-43488-B
錘子 锤子	64-43542-B
錘頭鯊 锤头鲨	64-43581-B
錘骨 锤骨	64-43645-B
錘骨柄 锤骨柄	64-43715-B
錙 锱	64-43805-B
錚 铮	64-43862-B
錛 锛	64-43913-B
錞	64-43944-S
錞 錞	64-43944-B
錟 锬	64-43979-B
錠 锭	64-44012-B
錡	64-44041-S
錡 錡	64-44041-B
錢 钱	64-44078-B
錢三強 钱三强	64-44125-B
錢串 钱串	64-44186-B
錢串兒 钱串儿	64-44237-B
錢串子 钱串子	64-44313-B
錢其琛 钱其琛	64-44373-B
錢包 钱包	64-44453-B
錢塘江 钱塘江	64-44500-B
錢学森 钱学森	64-44619-B
錢幣 钱币	64-44703-B
錢能通神 钱能通神	64-44742-B
錢莊 钱庄	64-44842-B
錢袋 钱袋	64-44948-B
錢財 钱财	64-44995-B
錢鐘書 钱钟书	64-45042-B
錤	64-45115-S
錤 錤	64-45115-B
錦 锦	64-45140-B
錦屏 锦屏	64-45194-B
錦州 锦州	64-45259-B
錦州市 锦州市	64-45383-B
錦標 锦标	64-45518-B
錦標賽 锦标赛	64-45571-B
錦緞 锦缎	64-45651-B
錦縣 锦县	64-45693-B
錦繡 锦绣	64-45750-B
錦衣玉食 锦衣玉食	64-45793-B
錦西 锦西	64-45863-B
錦雞 锦鸡	64-45924-B
錨 锚	64-45972-B
錩	64-46001-S
錩 錩	64-46001-B
錫 锡	64-46056-B
錫克 锡克	64-46084-B
錫劇 锡剧	64-46120-B
錫安 锡安	64-46176-B
錫安山 锡安山	64-46212-B
錫林浩特 锡林浩特	64-46266-B
錫林郭勒 锡林郭勒	64-46353-B
錫林郭勒盟 锡林郭勒盟	64-46423-B
錫爾河 锡尔河	64-46506-B
錫當河 锡当河	64-46557-B
錫礦 锡矿	64-46641-B
錫箔 锡箔	64-46683-B
錫金 锡金	64-46723-B
錫鉛 锡铅	64-46762-B
錫錠 锡锭	64-46814-B
錫霍特 锡霍特	64-46857-B
錫霍特・阿林 锡霍特・阿林	64-46972-B
錫霍特・阿林山脈 锡霍特・阿林山脉	64-47116-B
錫霍特山脈 锡霍特山脉	64-47283-B
錬	64-47421-S
錬 錬	64-47421-B
錮 锢	64-47491-B
錮漏鍋 锢漏锅	64-47547-B
錯 错	64-47626-B
錯亂 错乱	64-47695-B
錯位 错位	64-47761-B
錯別字 错别字	64-47912-B
錯字 错字	64-47992-B
錯怪 错怪	64-48067-B
錯案 错案	64-48121-B
錯綜 错综	64-48203-B
錯綜複雜 错综复杂	64-48290-B
錯義突變 错义突变	64-48381-B
錯處 错处	64-48453-B
錯覺 错觉	64-48491-B
錯覺結合 错觉结合	64-48538-B
錯覺結合的詞 错觉结合的词	64-48613-B
錯誤 错误	64-48700-B
錯誤的結合 错误的结合	64-48755-B
錯過 错过	64-48838-B
錯那 错那	64-48886-B
録	64-48945-S
録 録	64-48945-B
錳 锰	64-49024-B
錳礦 锰矿	64-49060-B
錳結核 锰结核	64-49110-B
錶 表	64-49171-B
錶带	64-49224-S
錶帶 錶带	64-49224-B
錶盘	64-49342-S
錶盤 表盘	64-49280-B
錶盤 錶盘	64-49342-B
錶蒙子 表蒙子	64-49392-B
錶針 表针	64-49456-B
錸 铼	64-49507-B
錼	64-49540-S
錼 錼	64-49540-B
錾	64-58616-S
鍀 锝	64-49565-B
鍆 钔	64-49600-B
鍇 锴	64-49640-B
鍉	64-49680-S
鍉 鍉	64-49680-B
鍊	64-49707-S
鍊 鍊	64-49707-B
鍋 锅	64-49795-B
鍋爐 锅炉	64-49832-B
鍋貼 锅贴	64-49871-B
鍍 镀	64-49919-B
鍍金 镀金	64-49957-B
鍍銀 镀银	64-49999-B
鍏	64-50045-S
鍏 鍏	64-50045-B
鍐	64-50073-S
鍐 鍐	64-50073-B
鍔 锷	64-50108-B
鍘 铡	64-50145-B
鍚	64-50179-S
鍚 鍚	64-50179-B
鍛 锻	64-50234-B
鍛煉 锻炼	64-50285-B
鍛鐵 锻铁	64-50372-B
鍠 锽	64-50419-B
鍥 锲	64-50476-B
鍥而不捨 锲而不舍	64-50511-B
鍩 锘	64-50577-B
鍪	64-50614-S
鍪 鍪	64-50614-B
鍫 锹	64-50655-B
鍬 锹	64-50704-B
鍭	64-50741-S
鍭 鍭	64-50741-B
鍰 锾	64-50779-B
鍱	64-50831-S
鍱 鍱	64-50831-B
鍴	64-50873-S
鍴 鍴	64-50873-B
鍵 键	64-50920-B
鍵入 键入	64-50986-B
鍵帽 键帽	64-51038-B
鍵槽 键槽	64-51079-B
鍵盤 键盘	64-51122-B
鍵盤樂器 键盘乐器	64-51165-B
鍵詞 键词	64-51247-B
鍶 锶	64-51288-B
鍹	64-51322-S
鍹 鍹	64-51322-B
鍺 锗	64-51355-B
鍼	64-51390-S
鍼 鍼	64-51390-B
鍾 锺	64-51439-B
鍾情 钟情	64-51507-B
鍾情 锺情	64-51591-B
鍾繇 锺繇	64-51641-B
鎂 镁	64-51696-B
鎂光 镁光	64-51731-B
鎂砂 镁砂	64-51782-B
鎂磚 镁砖	64-51853-B
鎂鹽 镁盐	64-51926-B
鎄 锿	64-51974-B
鎉	64-52012-S
鎉 鎉	64-52012-B
鎊 镑	64-52042-B
鎋	64-52082-S
鎋 鎋	64-52082-B
鎌	64-52123-S
鎌 鎌	64-52123-B
鎍	64-52160-S
鎍 鎍	64-52160-B
鎏	64-52193-S
鎏 鎏	64-52193-B
鎒	64-52238-S
鎒 鎒	64-52238-B
鎔 镕	64-52275-B
鎖 锁	64-52330-B
鎖國 锁国	64-52371-B
鎖孔 锁孔	64-52477-B
鎖存器 锁存器	64-52519-B
鎖掉 锁掉	64-52581-B
鎖鏈 锁链	64-52639-B
鎖門 锁门	64-52689-B
鎖閂 锁闩	64-52739-B
鎖骨 锁骨	64-52812-B
鎗	64-52864-S
鎗 鎗	64-52864-B
鎘 镉	64-52919-B
鎚	64-52951-S
鎚 鎚	64-52951-B
鎛	64-52993-S
鎛 鎛	64-52993-B
鎛 镈	64-53029-B
鎞	64-53069-S
鎞 鎞	64-53069-B
鎡	64-53105-S
鎡 鎡	64-53105-B
鎢 钨	64-53130-B
鎤	64-53172-S
鎤 鎤	64-53172-B
鎦 镏	64-53223-B
鎦子 镏子	64-53259-B
鎦金 镏金	64-53304-B
鎧 铠	64-53361-B
鎧甲 铠甲	64-53389-B
鎩 铩	64-53428-B
鎪 锼	64-53456-B
鎬 镐	64-53505-B,64-53534-B
鎬京 镐京	64-53580-B
鎭	64-53641-S
鎭 鎭	64-53641-B
鎮 镇	64-53683-B
鎮區 镇区	64-53760-B
鎮原 镇原	64-53802-B
鎮咳 镇咳	64-53867-B
鎮坪 镇坪	64-53918-B
鎮壓 镇压	64-53985-B
鎮守 镇守	64-54074-B
鎮安 镇安	64-54131-B
鎮定 镇定	64-54195-B
鎮定劑 镇定剂	64-54252-B
鎮巴 镇巴	64-54330-B
鎮平 镇平	64-54393-B
鎮康 镇康	64-54458-B
鎮江 镇江	64-54524-B
鎮江地區 镇江地区	64-54603-B
鎮江市 镇江市	64-54704-B
鎮流器 镇流器	64-54794-B
鎮海 镇海	64-54857-B
鎮源縣 镇源县	64-54923-B
鎮痛 镇痛	64-54996-B
鎮痛藥 镇痛药	64-55053-B
鎮賚 镇赉	64-55109-B
鎮賚縣 镇赉县	64-55177-B
鎮遠 镇远	64-55257-B
鎮長 镇长	64-55324-B
鎮雄縣 镇雄县	64-55414-B
鎮靜 镇静	64-55490-B
鎮靜劑 镇静剂	64-55535-B
鎮靜藥 镇静药	64-55593-B
鎰 镒	64-55648-B
鎳 镍	64-55702-B
鎵 镓	64-55734-B
鎹	64-55767-S
鎹 鎹	64-55767-B
鏃 镞	64-55804-B
鏇 镟	64-55841-B
鏈 链	64-55886-B
鏈子 链子	64-55931-B
鏈式反應 链式反应	64-55969-B
鏈式裂變反應 链式裂变反应	64-56041-B
鏈接 链接	64-56155-B
鏈球 链球	64-56209-B
鏈球菌 链球菌	64-56281-B
鏈環 链环	64-56386-B
鏈結 链结	64-56432-B
鏈表 链表	64-56471-B
鏈路 链路	64-56518-B
鏈路層 链路层	64-56556-B
鏈鋸 链锯	64-56612-B
鏌 镆	64-56657-B
鏐	64-56684-S
鏐 鏐	64-56684-B
鏑 镝	64-56716-B
鏖	64-56753-S
鏖 鏖	64-56753-B
鏖战	64-56791-S
鏖戰 鏖战	64-56791-B
鏗 铿	64-56857-B
鏗然 铿然	64-56888-B
鏗鏘 铿锵	64-56942-B
鏘 锵	64-57020-B
鏚	64-57068-S
鏚 鏚	64-57068-B
鏜 镗	64-57100-B
鏝 镘	64-57138-B
鏞 镛	64-57194-B
鏟 铲	64-57228-B
鏟土機 铲土机	64-57264-B
鏟子 铲子	64-57346-B
鏟平 铲平	64-57424-B
