不是嗎 不是吗	2-14563-B
丝袜	49-55154-S
丝路	49-55194-S
丞	2-45301-S
丞 丞	2-45301-B
丞相	2-45332-S
丞相 丞相	2-45332-B
丟 丢	2-45460-B
丟下 丢下	2-45512-B
丟丑 丢丑	2-45556-B
丟人 丢人	2-45600-B
丟失 丢失	2-45646-B
丟掉 丢掉	2-45692-B
丟棄 丢弃	2-45732-B
丟眉丟眼 丢眉丢眼	2-45780-B
丟眉弄色 丢眉弄色	2-45849-B
丟臉 丢脸	2-45918-B
丟面子 丢面子	2-45977-B
丟飯碗 丢饭碗	2-46033-B
両	2-46095-S
両 両	2-46095-B
丢	2-45460-S
丢下	2-45512-S
丢丑	2-45556-S
丢人	2-45600-S
丢命	2-46147-S
丢命 丢命	2-46147-B
丢失	2-45646-S
丢弃	2-45732-S
丢掉	2-45692-S
丢眉丢眼	2-45780-S
丢眉弄色	2-45849-S
丢脸	2-45918-S
丢面子	2-45977-S
丢饭碗	2-46033-S
两	7-43173-S
两下子	7-43228-S
两个中国	7-43348-S
两个或两个以上	7-43425-S
两会	7-45776-S
两侧	7-43528-S
两侧对称	7-43583-S
两党制	7-48488-S
两全	2-46188-S
两全 两全	2-46188-B
两全其美	2-46276-S
两全其美 两全其美	2-46276-B
两分法	7-43659-S
两千	7-43734-S
两千六百一十六	7-43783-S
两千年	7-43878-S
两厢情愿	7-44484-S
两口子	7-43951-S
两句	7-44012-S
两国	7-44076-S
两天	7-44140-S
两头	7-48255-S
两头儿	7-48323-S
两宋	7-44185-S
两岸	7-44313-S
两岸对话	7-44412-S
两广	7-44586-S
两广总督	7-44682-S
两当	7-46920-S
两性	7-44775-S
两性动物	7-44888-S
两性差距	7-44969-S
两性平等	7-45054-S
两性异形	7-45141-S
两性花	7-45217-S
两情两愿	7-45285-S
两手	7-45386-S
两手空空	7-45453-S
两旁	7-45660-S
两星期	7-45720-S
两极	7-46127-S
两极分化	7-46245-S
两栖	7-45891-S
两栖动物	7-45986-S
两栖类	7-46071-S
两次	7-46314-S
两汉	7-46770-S
两江道	7-46354-S
两河	7-46443-S
两河文明	7-46500-S
两河流域	7-46583-S
两清	7-46650-S
两湖 兩湖	2-46388-B
两点十九分	7-48398-S
两用	7-46875-S
两百万	7-47047-S
两百亿	7-46987-S
两相	7-47105-S
两相情愿	7-47152-S
两着儿	7-47531-S
两者	7-47355-S
两耳不闻窗外事	7-47401-S
两节棍	7-47254-S
两虎相争	7-47610-S
两袖清风	7-47755-S
两讫	7-47929-S
两败俱伤	7-45553-S
两边	7-48129-S
两造	7-48042-S
两面三刀	7-48187-S
严	14-41266-S
严冬	14-41349-S
严加	14-41397-S
严加申饬	14-41488-S
严厉	14-41560-S
严复	14-41828-S
严守	14-41606-S
严密	14-41656-S
严寒	14-41715-S
严峻	14-41774-S
严惩不贷	14-41978-S
严慈	14-41879-S
严格	14-42127-S
严格来讲	14-42264-S
严格来说	14-42191-S
严格隔离	14-42338-S
严正	14-42409-S
严禁	14-42459-S
严竣	14-42510-S
严紧	14-42579-S
严肃	14-42625-S
严苛	14-42674-S
严词	14-42719-S
严谨	14-42796-S
严辞	14-42880-S
严酷	14-42924-S
严重	14-43015-S
严重关切	14-43307-S
严重后果	14-43152-S
严重性	14-43248-S
严重问题	14-43080-S
严防	14-43381-S
严饬	14-43456-S
並 并	2-46462-B
並不 并不	2-46576-B
並不在乎 并不在乎	2-46637-B
並且 并且	2-46711-B
並入 并入	2-46790-B
並列 并列	2-46849-B
並坐 并坐	2-46916-B
並把 并把	2-46963-B
並排 并排	2-47007-B
並激 并激	2-47062-B
並立 并立	2-47170-B
並聯 并联	2-47243-B
並肩 并肩	2-47298-B
並舉 并举	2-47385-B
並蒂蓮 并蒂莲	2-47441-B
並行 并行	2-47554-B
並行不悖 并行不悖	2-47614-B
並行程序 并行程序	2-47762-B
並行計算 并行计算	2-47837-B
並進 并进	2-47913-B
並重 并重	2-47998-B
並非 并非	2-48077-B
並駕齊驅 并驾齐驱	2-48124-B
丧	14-11440-S,14-11480-S
丧事	14-11519-S
丧亡	14-11586-S
丧仪	14-11676-S
丧假	14-11628-S
丧偶 喪偶	2-48262-B
丧命	14-11726-S
丧天害理	14-11780-S
丧失	14-11870-S
丧失殆尽	14-11917-S
丧妻	14-11992-S
丧家之犬	14-12039-S
丧尽	14-13140-S
丧尽天良	14-13190-S
丧德	14-12167-S
丧心病狂	14-12226-S
丧志	14-12377-S
丧服	14-12430-S
丧权辱国	14-12644-S
丧梆	14-12480-S
丧棒	14-12551-S
丧气	14-12807-S
丧气话	14-12860-S
丧气鬼	14-12922-S
丧父	14-13017-S
丧生	14-13081-S
丧礼	14-13302-S
丧胆	14-13343-S
丧荒	14-13417-S
丧葬	14-13473-S
丧葬费	14-13523-S
丧钟	14-13586-S
丧门星	14-13628-S
丧门神	14-13737-S
丧魂失魄	14-13846-S
丧魂落魄	14-13916-S
个	5-52353-S
个个	5-53174-S
个中	5-52444-S
个中人	5-52494-S
个人	5-52560-S
个人主义	5-52620-S
个人伤害	5-52687-S
个人卫生	5-52832-S
个人崇拜	5-52759-S
个人电脑	5-53016-S
个人防护装备	5-52905-S
个位	5-53092-S
个体	5-53979-S
个体户	5-54021-S
个体经济	5-54103-S
个儿	5-53264-S
个别	5-53314-S
个头儿	5-53918-S
个子	5-53393-S
个展	5-53449-S
个性	5-53506-S
个性化	5-53565-S
个把	5-53648-S
个旧	5-53831-S
个旧市	5-53869-S
个案	5-53702-S
个股	5-53772-S
丫	2-48331-S
丫 丫	2-48331-B
丫头	2-48554-S
丫巴儿	2-48363-S
丫巴兒 丫巴儿	2-48363-B
丫杈	2-48419-S
丫杈 丫杈	2-48419-B
丫环	2-48481-S,2-48657-S
丫環 丫环	2-48481-B
丫頭 丫头	2-48554-B
丫髻	2-48604-S
丫髻 丫髻	2-48604-B
丫鬟	2-48741-S
丫鬟 丫环	2-48657-B
丫鬟 丫鬟	2-48741-B
中	2-48825-S,2-48918-S
中 中	2-48825-B,2-48918-B
中世紀 中世纪	2-48957-B
中世纪	2-48957-S
中东	2-73543-S
中东国家	2-73602-S
中举	2-79559-S
中亚	2-49023-S
中亚细亚	2-49070-S
中亚草原	2-49137-S
中亞 中亚	2-49023-B
中亞細亞 中亚细亚	2-49070-B
中亞草原 中亚草原	2-49137-B
中产	2-76283-S
中产阶级	2-76362-S
中介	2-49219-S
中介 中介	2-49219-B
中伏	2-49271-S
中伏 中伏	2-49271-B
中伤	2-50298-S
中位数	2-49356-S
中位數 中位数	2-49356-B
中俄	2-49409-S
中俄 中俄	2-49409-B
中俄伊犁条约	2-49455-S
中俄伊犁條約 中俄伊犁条约	2-49455-B
中俄关系	2-50086-S
中俄北京条约	2-49566-S
中俄北京條約 中俄北京条约	2-49566-B
中俄尼布楚条约	2-49713-S
中俄尼布楚條約 中俄尼布楚条约	2-49713-B
中俄改訂條約 中俄改订条约	2-49857-B
中俄改订条约	2-49857-S
中俄边界协议	2-49971-S
中俄邊界協議 中俄边界协议	2-49971-B
中俄關系 中俄关系	2-50086-B
中保	2-50164-S
中保 中保	2-50164-B
中值定理	2-50208-S
中值定理 中值定理	2-50208-B
中傷 中伤	2-50298-B
中元	2-50380-S
中元 中元	2-50380-B
中元普渡	2-50457-S
中元普渡 中元普渡	2-50457-B
中共	2-50554-S
中共 中共	2-50554-B
中共中央	2-50625-S
中共中央 中共中央	2-50625-B
中共中央宣传部	2-50728-S
中共中央宣傳部 中共中央宣传部	2-50728-B
中共中央紀委監察部 中共中央纪委监察部	2-50903-B
中共中央紀律檢查委員會 中共中央纪律检查委员会	2-51045-B
中共中央纪委监察部	2-50903-S
中共中央纪律检查委员会	2-51045-S
中共九大	2-51233-S
中共九大 中共九大	2-51233-B
中关村	2-83994-S
中兴新村	2-79477-S
中农	2-82346-S
中前卫	2-51335-S
中前衛 中前卫	2-51335-B
中区	2-51415-S
中医	2-83138-S
中医学	2-83208-S
中區 中区	2-51415-B
中午	2-51476-S
中午 中午	2-51476-B
中华	2-79948-S
中华人民共和国	2-80013-S
中华人民共和国中央军事委员会	2-80134-S
中华学生爱国民主同盟	2-80337-S
中华民国	2-80512-S
中华民族	2-80587-S
中华苏维埃共和国	2-80662-S
中华鳑鲏	2-80797-S
中南	2-51522-S
中南 中南	2-51522-B
中南半岛	2-51586-S
中南半島 中南半岛	2-51586-B
中南海	2-51691-S
中南海 中南海	2-51691-B
中南部	2-51749-S
中南部 中南部	2-51749-B
中卫	2-81335-S
中卫市	2-81412-S
中印	2-51815-S
中印 中印	2-51815-B
中印半岛	2-51862-S
中印半島 中印半岛	2-51862-B
中压管	2-65392-S
中原	2-51979-S
中原 中原	2-51979-B
中古	2-52092-S
中古 中古	2-52092-B
中古汉语	2-52165-S
中古漢語 中古汉语	2-52165-B
中台	2-79425-S
中叶	2-80884-S
中听	2-79118-S
中和	2-52259-S,2-52318-S
中和 中和	2-52259-B,2-52318-B
中和剂	2-52366-S
中和劑 中和剂	2-52366-B
中国	2-52539-S
中国中央电视台	2-52595-S
中国书法	2-59566-S
中国产	2-61043-S
中国人	2-52721-S
中国人大	2-52797-S
中国人民	2-52886-S
中国人民大学	2-52962-S
中国人民志愿军	2-53067-S
中国人民武装警察部队	2-53239-S
中国人民解放军	2-53392-S
中国人民解放军海军	2-53522-S
中国人民解放军空军	2-53680-S
中国人民银行	2-53837-S
中国伊斯兰教协会	2-53940-S
中国光大银行	2-54078-S
中国共产主义青年团	2-54181-S
中国共产党	2-54320-S
中国共产党中央委员会	2-54416-S
中国共产党中央委员会宣传部	2-54596-S
中国农业银行	2-64206-S
中国制造	2-63730-S
中国剩余定理	2-54850-S
中国北方工业公司	2-54968-S
中国历史博物馆	2-59775-S
中国古代四大美女	2-55115-S
中国同盟会	2-55253-S
中国国家原子能机构	2-55335-S
中国国家地震局	2-55481-S
中国国家环保局	2-55635-S
中国国家环境保护总局	2-55782-S
中国国家船舶公司	2-55963-S
中国国民党革命委员会	2-56109-S
中国国防科技信息中心	2-56276-S
中国国际信托投资公司	2-56464-S
中国国际广播电台	2-56642-S
中国地球物理学会	2-56774-S
中国地质大学	2-56900-S
中国地质调查局	2-57009-S
中国地震台	2-57128-S
中国地震局	2-57261-S
中国城	2-57393-S
中国大百科全书出版社	2-57451-S
中国大蝾螈	2-57612-S
中国大陆	2-57738-S
中国天主教爱国会	2-57810-S
中国小说史略	2-57951-S
中国少年先锋队	2-58094-S
中国工程院	2-58212-S
中国建设银行	2-58315-S
中国式	2-58420-S
中国当局	2-61187-S
中国政府	2-58495-S
中国政法大学	2-58572-S
中国文学	2-58697-S
中国文学艺术界联合会	2-58773-S
中国文联	2-58971-S
中国新民党	2-59101-S
中国新闻社	2-59198-S
中国新闻网	2-59285-S
中国日报	2-59385-S
中国时报	2-59485-S
中国核能总公司	2-59642-S
中国残疾人联合会	2-59889-S
中国残联	2-60037-S
中国民主促进会	2-60155-S
中国民主同盟	2-60286-S
中国民主建国会	2-60391-S
中国民航	2-60533-S
中国法学会	2-60648-S
中国海	2-60733-S
中国海事局	2-60789-S
中国海洋石油总公司	2-60883-S
中国游艺机游乐园协会	2-64411-S
中国画	2-61124-S
中国石化	2-61264-S
中国石油化工股份有限公司	2-61362-S
中国石油和化学工业协会	2-61549-S
中国石油天然气集团公司	2-61735-S
中国社会科学院	2-61906-S
中国科学院	2-62038-S
中国移动通信	2-62133-S
中国精密机械进出口公司	2-62265-S
中国经营报	2-62459-S
中国美术馆	2-62566-S
中国联通	2-62662-S
中国致公党	2-62797-S
中国航天工业公司	2-62899-S
中国航天技术进出口公司	2-63009-S
中国航空工业公司	2-63209-S
中国船舶贸易公司	2-63348-S
中国船舶重工集团公司	2-63495-S
中国菜	2-63668-S
中国西北边陲	2-63801-S
中国证券报	2-64110-S
中国证监会	2-63928-S
中国话	2-64038-S
中国通	2-64313-S
中国银行	2-64593-S
中国长城工业公司	2-64665-S
中国青年报	2-64816-S
中国音乐	2-64904-S
中国风俗	2-64976-S
中国餐馆症候群	2-65048-S
中圈套	2-52474-S
中圈套 中圈套	2-52474-B
中國 中国	2-52539-B
中國中央電視台 中国中央电视台	2-52595-B
中國人 中国人	2-52721-B
中國人大 中国人大	2-52797-B
中國人民 中国人民	2-52886-B
中國人民大學 中国人民大学	2-52962-B
中國人民志願軍 中国人民志愿军	2-53067-B
中國人民武裝警察部隊 中国人民武装警察部队	2-53239-B
中國人民解放軍 中国人民解放军	2-53392-B
中國人民解放軍海軍 中国人民解放军海军	2-53522-B
中國人民解放軍空軍 中国人民解放军空军	2-53680-B
中國人民銀行 中国人民银行	2-53837-B
中國伊斯蘭教協會 中国伊斯兰教协会	2-53940-B
中國光大銀行 中国光大银行	2-54078-B
中國共產主義青年團 中国共产主义青年团	2-54181-B
中國共產黨 中国共产党	2-54320-B
中國共產黨中央委員會 中国共产党中央委员会	2-54416-B
中國共產黨中央委員會宣傳部 中国共产党中央委员会宣传部	2-54596-B
中國剩餘定理 中国剩余定理	2-54850-B
中國北方工業公司 中国北方工业公司	2-54968-B
中國古代四大美女 中国古代四大美女	2-55115-B
中國同盟會 中国同盟会	2-55253-B
中國國家原子能機構 中国国家原子能机构	2-55335-B
中國國家地震局 中国国家地震局	2-55481-B
中國國家環保局 中国国家环保局	2-55635-B
中國國家環境保護總局 中国国家环境保护总局	2-55782-B
中國國家船舶公司 中国国家船舶公司	2-55963-B
中國國民黨革命委員會 中国国民党革命委员会	2-56109-B
中國國防科技信息中心 中国国防科技信息中心	2-56276-B
中國國際信托投資公司 中国国际信托投资公司	2-56464-B
中國國際廣播電台 中国国际广播电台	2-56642-B
中國地球物理學會 中国地球物理学会	2-56774-B
中國地質大學 中国地质大学	2-56900-B
中國地質調查局 中国地质调查局	2-57009-B
中國地震台 中国地震台	2-57128-B
中國地震局 中国地震局	2-57261-B
中國城 中国城	2-57393-B
中國大百科全書出版社 中国大百科全书出版社	2-57451-B
中國大蠑螈 中国大蝾螈	2-57612-B
中國大陸 中国大陆	2-57738-B
中國天主教愛國會 中国天主教爱国会	2-57810-B
中國小說史略 中国小说史略	2-57951-B
中國少年先鋒隊 中国少年先锋队	2-58094-B
