煆 煆 [01\[ yā\]]	raging fire
燈 灯 [01\[ dēng\]]	lamp;light;lantern;cl:盞|盏[zhan3]
燈光 灯光 [01\[ dēng guāng\]]	(stage) lighting;light
燈塔 灯塔 [01\[ dēng tǎ\]]	lighthouse
燈柱 灯柱 [01\[ dēng zhù\]]	lamppost
燈泡 灯泡 [01\[ dēng pào\]]	light bulb;same as 電燈泡|电灯泡
燈火 灯火 [01\[ dēng huǒ\]]	lights
燈盏 灯盏 [01\[ dēng zhǎn\]]	lantern;uncovered oil lamp
燈管 灯管 [01\[ dēng guǎn\]]	flourescent light
燈節 灯节 [01\[ dēng jié\]]	the lantern festival (15th of first month of lunar calendar)
燈籠 灯笼 [01\[ dēng lóng\]]	lantern
燈籠花 灯笼花 [01\[ dēng lóng huā\]]	chinese enkianthus
燈紅酒綠 灯红酒绿 [01\[ dēng hóng jiǔ lǜ\]]	(set phrase) scene of feasting and pleasure-seeking;scene of debauchery
燈罩 灯罩 [01\[ dēng zhào\]]	cover of lamp;lampshade;glass cover of oil lamp
燈臺 灯台 [01\[ dēng tái\]]	lampstand
燉 炖 [01\[ dùn\]]	stew
燉煌 炖煌 [01\[ dūn huáng\]]	(n) dunhuang (city in gansu)
燊 燊 [01\[ shēn\]]	brisk;vigorous (of fire)
燋 燋 [01\[ jiāo\]]	cauterize;scorch
燎 燎 [01\[ liáo\]]	singe
燏 燏 [01\[ yù\]]	radiance of fire
燐 燐 [01\[ lín\]]	variant of 磷
燒 烧 [01\[ shāo\]]	to burn;to cook;to stew;to bake;to roast;fever
燒傷 烧伤 [01\[ shāo shāng\]]	burn (injury)
燒到 烧到 [01\[ shāo dào\]]	to have a fever reaching (a certain temperature)
燒制 烧制 [01\[ shāo zhì\]]	to fire (manufacturing process)
燒包 烧包 [01\[ shāo bāo\]]	to forget oneself in extravagance;to burn money
燒埋 烧埋 [01\[ shāo mái\]]	to bury;funeral rites
燒心 烧心 [01\[ shāo xīn\]]	to worry
燒掉 烧掉 [01\[ shāo diào\]]	to burn;to char;to cremate;to incinerate
燒杯 烧杯 [01\[ shāo bēi\]]	beaker (glassware)
燒死 烧死 [01\[ shāo sǐ\]]	to burn to death
燒毛 烧毛 [01\[ shāo máo\]]	to singe (textiles)
燒火 烧火 [01\[ shāo huǒ\]]	to light a fire for cooking
燒灼 烧灼 [01\[ shāo zhuó\]]	to burn
燒灼感 烧灼感 [01\[ shāo zhuó gǎn\]]	sunburn
燒烤 烧烤 [01\[ shāo kǎo\]]	barbecue;roast
燒烤醬 烧烤酱 [01\[ shāo kǎo jiàng\]]	barbecue sauce
燒焊 烧焊 [01\[ shāo hàn\]]	to weld
燒焦 烧焦 [01\[ shāo jiāo\]]	scorch
燒燬 烧毁 [01\[ shāo huǐ\]]	to burn;to burn down
燒瓶 烧瓶 [01\[ shāo píng\]]	laboratory flask
燒硬 烧硬 [01\[ shāo yíng\]]	to fire (pottery)
燒紅 烧红 [01\[ shāo hóng\]]	heat until red
燒紙 烧纸 [01\[ shāo zhǐ\]]	to burn paper offerings (as part of religious ceremony)
燒結 烧结 [01\[ shāo jié\]]	to sinter;to agglomerate ore by burning
燒臘 烧腊 [01\[ shāo là\]]	barbecue (cantonese style)
燒茄子 烧茄子 [01\[ shāo qié zi\]]	stewed eggplant
燒荒 烧荒 [01\[ shāo huāng\]]	to clear waste land or forest by burning;slash-and-burn (agriculture)
燒賣 烧卖 [01\[ shāo mài\]]	shaomai
燒酒 烧酒 [01\[ shāo jiǔ\]]	name of a famous tang dynasty wine;same as 白酒;clear distilled wine
燒開 烧开 [01\[ shāo kāi\]]	boil
燒餅 烧饼 [01\[ shāo bing\]]	baked seseme seed coated cake
燒香 烧香 [01\[ shāo xiāng\]]	to burn incense
燒香拜佛 烧香拜佛 [01\[ shāo xiāng bài fó\]]	to burn incense and worship buddha
燒高香 烧高香 [01\[ shāo gāo xiāng\]]	to burn incence;to thank profusely
燒鹼 烧碱 [01\[ shāo jiǎn\]]	caustic soda naoh
燔 燔 [01\[ fán\]]	burn;to roast meat for sacrifice
燕 燕 [01\[ yān\]]	yan
燕 燕 [01\[ yàn\]]	swallow (a type of bird)
燕京 燕京 [01\[ yān jīng\]]	yanjing
燕京啤酒 燕京啤酒 [01\[ yān jīng pí jiǔ\]]	yangjing beer (beijing beer)
燕京大學 燕京大学 [01\[ yàn jīng dà xué\]]	yanjing or yenching university
燕京酒 燕京酒 [01\[ yān jīng jiǔ\]]	yangjing brewery in beijing
燕京酒啤酒 燕京酒啤酒 [01\[ yān jīng jiǔ pí jiǔ\]]	yangjing beer (beijing beer)
燕太子丹 燕太子丹 [01\[ yān tài zǐ dān\]]	prince dan of yan (-226 bc)
燕子 燕子 [01\[ yàn zi\]]	swallow
燕尾服 燕尾服 [01\[ yàn wěi fú\]]	swallow-tailed coat;tails
燕山 燕山 [01\[ yān shān\]]	yan mountain range across north hebei
燕巢鄉 燕巢乡 [01\[ yàn cháo xiāng\]]	(n) yanchao (village in taiwan)
燕科 燕科 [01\[ yàn kē\]]	hirundinidae (the family of swallows and martins)
燕窩 燕窝 [01\[ yàn wō\]]	bird's nest soup
燕趙 燕赵 [01\[ yān zhào\]]	yan and zhao
燕趙都市報 燕赵都市报 [01\[ yān zhào dū shì bào\]]	yanzhao metropolis daily
燕雀 燕雀 [01\[ yàn què\]]	eurasian finch or brambling (fringilla montifringilla);fig. small fry; cf can the sparrow know the will of the great swan? 燕雀安知鴻鵠之志|燕雀安知鸿鹄之志
燕雀安知鴻鵠之志 燕雀安知鸿鹄之志 [01\[ yàn què ān zhī hóng gǔ zhī zhì\]]	lit. can the sparrow and swallow know the will of the great swan? (成语 saw); fig. how can we small fry predict the ambitions of the great?
燕雀烏鵲 燕雀乌鹊 [01\[ yàn què wū què\]]	lit. sparrow and swallow
燕雀相賀 燕雀相贺 [01\[ yàn què xiàng hè\]]	lit. sparrow and swallow's congratulation (成语 saw); fig. to congratulate sb on completion of a building project;congratulations on your new house!
燕雀處堂 燕雀处堂 [01\[ yàn què chù táng\]]	lit. a caged bird in a pavilion (成语 saw); fig. to lose vigilance by comfortable living;unaware of the disasters ahead;a fool's paradise
燕麥 燕麦 [01\[ yàn mài\]]	oat
燕麥粥 燕麦粥 [01\[ yàn mài zhōu\]]	oatmeal;porridge
燖 燖 [01\[ xún\]]	warm up (food)
燙 烫 [01\[ tàng\]]	to scald;to burn;to iron;hot
燙傷 烫伤 [01\[ tàng shāng\]]	scald
燙衣 烫衣 [01\[ tàng yī\]]	to iron (clothes)
燙衣板 烫衣板 [01\[ tàng yī bǎn\]]	ironing board
燙髮 烫发 [01\[ tàng fà\]]	perm (hairstyle)
燜 焖 [01\[ mèn\]]	cook in a covered vessel
營 营 [01\[ yíng\]]	army;to deal in;to trade;to operate;to run;camp;nourishment;to manage
營利 营利 [01\[ yíng lì\]]	for profit;seek profit
營口 营口 [01\[ yíng kǒu\]]	yingkou prefecture level city in liaoning province 遼寧省|辽宁省 in northeast china
營口市 营口市 [01\[ yíng kǒu shì\]]	yingkou prefecture level city in liaoning province 遼寧省|辽宁省 in northeast china
營地 营地 [01\[ yíng dì\]]	camp
營山 营山 [01\[ yíng shān\]]	(n) yingshan (place in sichuan)
營巢 营巢 [01\[ yíng cháo\]]	to nest
營房 营房 [01\[ yíng fáng\]]	barracks;living quarters
營收 营收 [01\[ yíng shōu\]]	sales;income;revenue
營救 营救 [01\[ yíng jiù\]]	rescue
營業 营业 [01\[ yíng yè\]]	to do business;to trade
營業員 营业员 [01\[ yíng yè yuán\]]	clerk;shop assistant
營業收入 营业收入 [01\[ yíng yè shōu rù\]]	revenue
營業時候 营业时候 [01\[ yíng yè shí hou\]]	opening hours (shop
營業稅 营业税 [01\[ yíng yè shuì\]]	tax on turnover;sales tax
營業額 营业额 [01\[ yíng yè é\]]	sum or volume of business;turnover
營生 营生 [01\[ yíng shēng\]]	to earn a living;a livelihood
營私 营私 [01\[ yíng sī\]]	to gain from corrupt dealing;to engage in graft;to feather one's nest
營私舞弊 营私舞弊 [01\[ yíng sī wǔ bì\]]	fraudulent personal gain (成语 saw); to engage in corrupt practice
營辦 营办 [01\[ yíng bàn\]]	to handle;to undertake;to run (a business);to administer
營造 营造 [01\[ yíng zào\]]	to build (housing);to construct;to make
營運 营运 [01\[ yíng yùn\]]	running;operation (of airport
營運資金 营运资金 [01\[ yíng yùn zī jīn\]]	working capital
營銷 营销 [01\[ yíng xiāo\]]	marketing
營養 营养 [01\[ yíng yǎng\]]	nutrition;nourishment
營養不良 营养不良 [01\[ yíng yǎng bù liáng\]]	malnutrition;undernourishment;deficiency disease;dystrophy
營養價值 营养价值 [01\[ yíng yǎng jià zhí\]]	nutritional value
營養品 营养品 [01\[ yíng yǎng pǐn\]]	nourishment
營養學 营养学 [01\[ yíng yǎng xué\]]	nutrition
燠 燠 [01\[ yù\]]	warm
燡 燡 [01\[ yì\]]	blazing;radiant
燥 燥 [01\[ zào\]]	dry;parched;impatient
燦 灿 [01\[ càn\]]	glorious;bright;brilliant;lustrous;resplendent
燦爛 灿烂 [01\[ càn làn\]]	to glitter;brilliant;splendid
燦爛多彩 灿烂多彩 [01\[ càn làn duō cǎi\]]	multicolored splendor (of fireworks
燦若繁星 灿若繁星 [01\[ càn ruò fán xīng\]]	bright as a multitude of stars (成语 saw); extremely able talent
燧 燧 [01\[ suì\]]	fire;speculum;to obtain fire by drilling wood
燧人 燧人 [01\[ suì rén\]]	suiren
燧人氏 燧人氏 [01\[ suì rén shì\]]	suirenshi
燧石 燧石 [01\[ suì shí\]]	flint
燨 燨 [01\[ xī\]]	fire
燬 毁 [01\[ huǐ\]]	blaze;destroy by fire
燭 烛 [01\[ zhú\]]	candle
燭光 烛光 [01\[ zhú guāng\]]	candle light;candle-lit (vigil etc)
燮 燮 [01\[ xiè\]]	surname xie;harmony;harmonize
燴 烩 [01\[ huì\]]	cooked in soy and vinegar
燹 燹 [01\[ xiǎn\]]	conflagration
燻 熏 [01\[ xūn\]]	to smoke;scent;fumigate
燻肉 熏肉 [01\[ xūn ròu\]]	bacon
燻蒸 熏蒸 [01\[ xūn zhēng\]]	fumigate
燻蒸劑 熏蒸剂 [01\[ xūn zhēng jì\]]	fumigant (insecticide or disinfectant)
燼 烬 [01\[ jìn\]]	ashes;embers
燽 燽 [01\[ chóu\]]	salience;prominent;notable
燾 焘 [01\[ dào\]]	cover over;to envelope
燿 燿 [01\[ yào\]]	brilliant;glorious
爆 爆 [01\[ bào\]]	to crack;to explode or burst
爆料 爆料 [01\[ bào liào\]]	to expose (in the media);to talk about sth often overlooked or non-confirmable;to scoop (esp. taiwan media)
爆棚 爆棚 [01\[ bào péng\]]	full to bursting
爆滿 爆满 [01\[ bào mǎn\]]	filled to capacity (of theater
爆炸 爆炸 [01\[ bào zhà\]]	explosion;to explode;to blow up;to detonate
爆炸物 爆炸物 [01\[ bào zhà wù\]]	explosive
爆炸的無效彈 爆炸的无效弹 [01\[ bào zhà de wú xiào dàn\]]	flare dud
爆發 爆发 [01\[ bào fā\]]	to break out;to erupt;to explode;to burst out
爆破 爆破 [01\[ bào pò\]]	to blow up;to demolish (using explosives);dynamite;blast
爆竹 爆竹 [01\[ bào zhú\]]	firecracker
爆笑 爆笑 [01\[ bào xiào\]]	loud laugh;guffaw;explosion of laughter
爆管 爆管 [01\[ bào guǎn\]]	cartridge igniter;squib
爆米花 爆米花 [01\[ bào mǐ huā\]]	puffed rice;popcorn
爆縮型核武器 爆缩型核武器 [01\[ bào suō xíng hé wǔ qì\]]	implosion bomb
爆聲 爆声 [01\[ bào shēng\]]	pop
爆裂 爆裂 [01\[ bào liè\]]	burst;crack
爆音 爆音 [01\[ bào yīn\]]	sonic boom
爇 爇 [01\[ rè\]]	heat;to burn
爇 爇 [01\[ ruò\]]	burn;heat
爍 烁 [01\[ shuò\]]	bright;luminous
爐 炉 [01\[ lú\]]	a stove;a furnace
爐子 炉子 [01\[ lú zi\]]	stove;oven;furnace
爐床 炉床 [01\[ lú chuáng\]]	hearth
爐架 炉架 [01\[ lú jià\]]	grate
爐火 炉火 [01\[ lú huǒ\]]	the fire of a stove
爐灶 炉灶 [01\[ lú zào\]]	stove
爐邊 炉边 [01\[ lú biān\]]	fireside
爐霍 炉霍 [01\[ lú huò\]]	(n) luhuo (place in sichuan)
爓 爓 [01\[ yàn\]]	flame
爚 爚 [01\[ yuè\]]	bright;fiery
爛 烂 [01\[ làn\]]	soft;mushy;well-cooked and soft;to rot;to decompose;rotten;worn out;chaotic;messy;utterly;thoroughly
爛崽 烂崽 [01\[ làn zǎi\]]	rogue;rowdy;unreliable chap
爛污貨 烂污货 [01\[ làn wū huò\]]	loose woman;slut
爛泥 烂泥 [01\[ làn ní\]]	ooze
爛漫 烂漫 [01\[ làn màn\]]	brightly colored;unaffected (i.e. behaving naturally)
爛熟 烂熟 [01\[ làn shú\]]	well cooked;to know thoroughly
爛熳 烂熳 [01\[ làn màn\]]	brightly colored;unaffected (i.e. behaving naturally)
爛糊 烂糊 [01\[ làn hu\]]	overripe;overcooked
爛舌頭 烂舌头 [01\[ làn shé tóu\]]	to gossip;to blab;a blab-mouth
爛賬 烂账 [01\[ làn zhàng\]]	accounts in a rotten state
爛醉 烂醉 [01\[ làn zuì\]]	dead drunk; completely drunk
爛醉如泥 烂醉如泥 [01\[ làn zuì rú ní\]]	lit. as drunk as mud;completely drunk
爝 爝 [01\[ jué\]]	torch
爟 爟 [01\[ guàn\]]	light a fire
爨 爨 [01\[ cuàn\]]	cooking-stove;to cook;surname cuan
爪 爪 [01\[ zhuǎ\]]	claw
爪兒 爪儿 [01\[ zhuǎ 5r\]]	paws (of small animal);same as 爪子;legs of furniture or apparatus;stupid person
爪哇 爪哇 [01\[ zhǎo wā\]]	java (island of indonesia)
爪哇 爪哇 [01\[ zhuǎ wā\]]	java (programming language)
爪哇島 爪哇岛 [01\[ zhuǎ wā dǎo\]]	java (island of indonesia);java (programming language)
爪子 爪子 [01\[ zhuǎ zi\]]	(animal's) claw
爪尖兒 爪尖儿 [01\[ zhuǎ jiān 5r\]]	pig's trotters
爪牙 爪牙 [01\[ zhǎo yá\]]	pawn;lackey;accomplice (in crime);collaborator;henchman
爬 爬 [01\[ pá\]]	to crawl;to climb
爬上 爬上 [01\[ pá shàng\]]	climb up
爬牆 爬墙 [01\[ pá qiáng\]]	wall climbing
爬蟲 爬虫 [01\[ pá chóng\]]	reptile (old or common word for 爬行動物|爬行动物)
爬蟲動物 爬虫动物 [01\[ pá chóng dòng wù\]]	reptile
爬蟲類 爬虫类 [01\[ pá chóng lèi\]]	reptiles;also written 爬行類|爬行类
爬行 爬行 [01\[ pá xíng\]]	to crawl;to creep
爬行動物 爬行动物 [01\[ pá xíng dòng wù\]]	reptile
爬行類 爬行类 [01\[ pá xíng lèi\]]	reptiles;also written 爬行動物|爬行动物
爭 争 [01\[ zhēng\]]	struggle;fight
爭先 争先 [01\[ zhēng xiān\]]	to compete to be first;to contest first place
爭先恐後 争先恐后 [01\[ zhēng xiān kǒng hòu\]]	striving to be first and fearing to be last (成语 saw); outdoing one another
爭光 争光 [01\[ zhēng guāng\]]	to win an honor;to strive to win a prize
爭分奪秒 争分夺秒 [01\[ zhēng fēn duó miǎo\]]	lit. fight minutes
爭取 争取 [01\[ zhēng qǔ\]]	to fight for;to compete (for a prize);to struggle
爭名奪利 争名夺利 [01\[ zhēng míng duó lì\]]	to fight for fame
爭吵 争吵 [01\[ zhēng chǎo\]]	dispute;strife
爭執 争执 [01\[ zhēng zhí\]]	dispute;disagree
爭奪 争夺 [01\[ zhēng duó\]]	fight over;contest;vie over
爭奪戰 争夺战 [01\[ zhēng duó zhàn\]]	struggle
爭寵 争宠 [01\[ zhēng chǒng\]]	to strive for favor
爭得 争得 [01\[ zhēng dé\]]	to obtain by an effort;to strive to get sth
爭戰 争战 [01\[ zhēng zhàn\]]	fight
爭持 争持 [01\[ zhēng chí\]]	to refuse to concede;not to give in
爭氣 争气 [01\[ zhēng qì\]]	to work hard for sth;to resolve on improvement;determined not to fall short
爭相 爭相 [01\[ zhēng xiāng\]]	to fall over each other in their eagerness to...
爭端 争端 [01\[ zhēng duān\]]	dispute;controversy;conflict
爭臣 争臣 [01\[ zhēng chén\]]	minister not afraid to give forthright criticism
爭衡 争衡 [01\[ zhēng héng\]]	to struggle for mastery;to strive for supremacy
爭訟 争讼 [01\[ zhēng sòng\]]	dispute involving litigation;legal dispute
爭論 争论 [01\[ zhēng lùn\]]	to argue;to debate;to contend;argument;contention;controversy;debate
爭論點 争论点 [01\[ zhēng lùn diǎn\]]	contention
爭議 争议 [01\[ zhēng yì\]]	controversy;dispute
爭議性 争议性 [01\[ zhēng yì xìng\]]	controversial
爭購 争购 [01\[ zhēng gòu\]]	to compete;to fight for;to rush to purchase
爭辯 争辩 [01\[ zhēng biàn\]]	a dispute;to wrangle
爭鋒 争锋 [01\[ zhēng fēng\]]	to strive
爭長論短 争长论短 [01\[ zhēng cháng lùn duǎn\]]	lit. to argue who is right and wrong (成语 saw); to quibble;a storm in a teacup
爭雄 争雄 [01\[ zhēng xióng\]]	to contend for supremacy
爭霸 争霸 [01\[ zhēng bà\]]	to contend for hegemony;a power struggle
爭風吃醋 争风吃醋 [01\[ zhēng fēng chī cù\]]	to rival sb for the affection of a man or woman;to be jealous of a rival in a love affair
爭鬥 争斗 [01\[ zhēng dòu\]]	struggle;war
爰 爰 [01\[ yuán\]]	thus;thereupon;following on from that;hence;where?;to change (into);ancient unit of weight and money;surname yuan
爲 爲 [01\[ wéi\]]	variant of 為|为;as (i.e. in the capacity of);to take sth as;to act as;to serve as;to behave as;to become;to be;to do
爲 爲 [01\[ wèi\]]	variant of 為|为
爵 爵 [01\[ jué\]]	nobility;(ancient wine holder with 3 legs and loop handle)
爵位 爵位 [01\[ jué wèi\]]	position in the nobility
爵士 爵士 [01\[ jué shì\]]	knight;sir;jazz
爵士樂 爵士乐 [01\[ jué shì yuè\]]	jazz
爵士舞 爵士舞 [01\[ jué shì wǔ\]]	jazz
爵士音樂 爵士音乐 [01\[ jué shì yīn yuè\]]	jazz
父 父 [01\[ fù\]]	father
父母 父母 [01\[ fù mǔ\]]	father and mother;parents
父母親 父母亲 [01\[ fù mǔ qīn\]]	parent
父系 父系 [01\[ fù xì\]]	paternal line
父老 父老 [01\[ fù lǎo\]]	elders
父親 父亲 [01\[ fù qīn\]]	father
父親節 父亲节 [01\[ fù qīn jié\]]	father's day
爸 爸 [01\[ bà\]]	father;dad;pa;papa
爸爸 爸爸 [01\[ bà ba\]]	(informal) father
爹 爹 [01\[ diē\]]	dad
爺 爷 [01\[ yé\]]	grandpa;old gentleman
爺爺 爷爷 [01\[ yé ye\]]	(informal) father's father; paternal grandfather
爻 爻 [01\[ yáo\]]	lines on a trigram
爽 爽 [01\[ shuǎng\]]	bright;clear;crisp;open;frank;straightforward;to feel well;fine;pleasurable;invigorating;to deviate
爽亮 爽亮 [01\[ shuǎng liàng\]]	clear;open;bright
爽健 爽健 [01\[ shuǎng jiàn\]]	to feel well;healthy and carefree
爽利 爽利 [01\[ shuǎng lì\]]	efficient;brisk;neat
爽口 爽口 [01\[ shuǎng kǒu\]]	fresh and tasty
爽心悅目 爽心悦目 [01\[ shuǎng xīn yuè mù\]]	beautiful and heart-warming
爽快 爽快 [01\[ shuǎng kuai\]]	refreshed;rejuvenated;frank and straightforward
爽意 爽意 [01\[ shuǎng yì\]]	pleasant
爽捷 爽捷 [01\[ shuǎng jié\]]	readily;in short order
爽暢 爽畅 [01\[ shuǎng chàng\]]	pleasant
爽朗 爽朗 [01\[ shuǎng lǎng\]]	clear and bright (of weather and personality)
爽氣 爽气 [01\[ shuǎng qì\]]	cool fresh air;straightforward
爽然 爽然 [01\[ shuǎng rán\]]	open and happy;carefree;at a loss;confused
爽然若失 爽然若失 [01\[ shuǎng rán ruò shī\]]	at a loss;confused;not know what to do next
爽爽快快 爽爽快快 [01\[ shuǎng shuang kuài kuai\]]	in short order;straightforward
爽當 爽当 [01\[ shuǎng dāng\]]	with alacrity;frank and spontaneous
爽目 爽目 [01\[ shuǎng mù\]]	pleasant to behold;attractive
爽直 爽直 [01\[ shuǎng zhí\]]	straightforward
爽約 爽约 [01\[ shuǎng yuē\]]	to miss an appointment
爽脆 爽脆 [01\[ shuǎng cuì\]]	frank and swift
爾 尔 [01\[ ěr\]]	thus;so;like that;you;thou
爾德 尔德 [01\[ ěr dé\]]	eid (arabic: festival)
爾虞我詐 尔虞我诈 [01\[ ěr yú wǒ zhà\]]	lit. you hoodwink me and i cheat you (成语 saw); fig. mutual deception;each tries to outwit the other;dog eats dog and devil take the hindmost
爾雅 尔雅 [01\[ ěr yǎ\]]	erya (the first surviving chinese dictionary
牀 牀 [01\[ chuáng\]]	variant of 床
牀沿 床沿 [01\[ chuáng yán\]]	bedside
牁 牁 [01\[ gē\]]	place name
牂 牂 [01\[ zāng\]]	female sheep;place name
牄 牄 [01\[ qiāng\]]	to walk rapidly
牆 墙 [01\[ qiáng\]]	wall
牆報 墙报 [01\[ qiáng bào\]]	wall newspaper
牆壁 墙壁 [01\[ qiáng bì\]]	wall
牆旮旯 墙旮旯 [01\[ qiáng gā lá\]]	recess between walls
牆根 墙根 [01\[ qiáng gēn\]]	foot of a wall
片 片 [01\[ piān\]]	disc;sheet
片 片 [01\[ piàn\]]	a slice;piece;flake;thin;slice;classifier for movies
片假名 片假名 [01\[ piàn jiǎ míng\]]	katakana (japanese script カタカナ)
片兒 片儿 [01\[ piān 5r\]]	sheet;thin film
片刻 片刻 [01\[ piàn kè\]]	short period of time;a moment
片劑 片剂 [01\[ piān jì\]]	tablet
片名 片名 [01\[ piān míng\]]	movie title
片子 片子 [01\[ piān zi\]]	film;movie;film reel;gramophone record
片斷 片断 [01\[ piàn duàn\]]	section;fragment;segment
片語 片语 [01\[ piàn yǔ\]]	phrase
片長 片长 [01\[ piàn cháng\]]	length of film
片面 片面 [01\[ piàn miàn\]]	unilateral;one-sided
片頭 片头 [01\[ piàn tóu\]]	opening titles (of movie);leader (blank film at the beginning and end of a reel)
版 版 [01\[ bǎn\]]	a register;a block of printing;an edition;version;page
版主 版主 [01\[ bǎn zhǔ\]]	forum moderator
版刻 版刻 [01\[ bǎn kè\]]	carving;engraving
版圖 版图 [01\[ bǎn tú\]]	domain;territory
版式 版式 [01\[ bǎn shì\]]	format
版本 版本 [01\[ bǎn běn\]]	version;edition;release
版權 版权 [01\[ bǎn quán\]]	copyright
版權頁 版权页 [01\[ bǎn quán yè\]]	copyright page
版次 版次 [01\[ bǎn cì\]]	the order in which editions are printed
版畫 版画 [01\[ bǎn huà\]]	a picture printed from an engraved or etched plate;print
版稅 版税 [01\[ bǎn shuì\]]	royalty (on books)
版築 版筑 [01\[ bǎn zhù\]]	rammed earth (a building material);mud brick;adobe
版面 版面 [01\[ bǎn miàn\]]	space of a whole page;layout (makeup) of a printed sheet
牋 牋 [01\[ jiān\]]	letter;note-paper
牌 牌 [01\[ pái\]]	mahjong tile;playing card;game pieces;signboard;plate;tablet
牌位 牌位 [01\[ pái wèi\]]	memorial tablet
牌價 牌价 [01\[ pái jià\]]	list price
牌匾 牌匾 [01\[ pái biǎn\]]	board (attached to a wall)
牌坊 牌坊 [01\[ pái fāng\]]	memorial arch
牌子 牌子 [01\[ pái zi\]]	sign;trademark
牌戲 牌戏 [01\[ pái xì\]]	a card game
牌樓 牌楼 [01\[ pái lou\]]	decorated archway
牌照 牌照 [01\[ pái zhào\]]	license plate
牌號 牌号 [01\[ pái hào\]]	trademark
牏 牏 [01\[ tóu\]]	short board;plank
牒 牒 [01\[ dié\]]	(official) document;dispatch
牒譜 牒谱 [01\[ dié pǔ\]]	genealogy;family tree;same as 譜牒|谱牒
牓 牓 [01\[ bǎng\]]	tablet;register
牖 牖 [01\[ yǒu\]]	enlighten;lattice window
牘 牍 [01\[ dú\]]	documents
牙 牙 [01\[ yá\]]	tooth;ivory
牙克石 牙克石 [01\[ yá kè shí\]]	(n) yakeshi (city in inner mongolia)
牙刷 牙刷 [01\[ yá shuā\]]	toothbrush
牙周炎 牙周炎 [01\[ yá zhōu yán\]]	periodontisis (gum disorder)
牙周病 牙周病 [01\[ yá zhōu bìng\]]	periodontitis (gum disorder)
牙床 牙床 [01\[ yá chuáng\]]	alveolar ridge
牙痛 牙痛 [01\[ yá tòng\]]	toothache
牙白 牙白 [01\[ yá bái\]]	creamy white;ivory color
牙科醫生 牙科医生 [01\[ yá kē yī shēng\]]	dentist
牙簽 牙签 [01\[ yá qiān\]]	toothpick
牙籤 牙签 [01\[ yá qiān\]]	toothpick
牙線 牙线 [01\[ yá xiàn\]]	dental floss
牙膏 牙膏 [01\[ yá gāo\]]	toothpaste
牙買加 牙买加 [01\[ yá mǎi jiā\]]	jamaica
牙買加胡椒 牙买加胡椒 [01\[ yá mǎi jiā hú jiāo\]]	jamaican pepper;all-spice (pimenta dioica)
牙醫 牙医 [01\[ yá yī\]]	dentist
牙齒 牙齿 [01\[ yá chǐ\]]	dental;tooth
牙齦 牙龈 [01\[ yá yín\]]	gums
牛 牛 [01\[ niú\]]	ox;cow;bull
牛仔 牛仔 [01\[ niú zǎi\]]	cowboy
牛仔褲 牛仔裤 [01\[ niú zǎi kù\]]	jeans;close-fitting pants
牛奶 牛奶 [01\[ niú nǎi\]]	cow's milk
牛屄 牛屄 [01\[ niú bī\]]	lit. cow's cunt (taboo slang
牛市 牛市 [01\[ niú shì\]]	bull market
牛年 牛年 [01\[ niú nián\]]	year of the ox or bull (e.g. 2009)
牛排 牛排 [01\[ niú pái\]]	steak
牛柳 牛柳 [01\[ niú liǔ\]]	sirloin
牛橋 牛桥 [01\[ niú qiáo\]]	oxbridge;cambridge and oxford
牛油 牛油 [01\[ niú yóu\]]	butter
牛油果 牛油果 [01\[ niú yóu guǒ\]]	avocado (persea americana)
牛津 牛津 [01\[ niú jīn\]]	oxford (city in england)
牛津大學 牛津大学 [01\[ niú jīn dà xué\]]	university of oxford
牛津群 牛津群 [01\[ niú jīn qún\]]	oxfordshire (english county)
牛痘 牛痘 [01\[ niú dòu\]]	cowpox
牛皮 牛皮 [01\[ niú pí\]]	cow hide;leather;fig. flexible and tough;to brag
牛皮癬 牛皮癣 [01\[ niú pí xiǎn\]]	psoriasis
牛皮菜 牛皮菜 [01\[ niú pí cài\]]	chard (beta vulgaris)
牛磺酸 牛磺酸 [01\[ niú huáng suān\]]	taurine
牛肉 牛肉 [01\[ niú ròu\]]	beef
牛肉拉麵 牛肉拉面 [01\[ niú ròu lā miàn\]]	ramen (pulled noodles) with beef
牛肉炒麵 牛肉炒面 [01\[ niú ròu chǎo miàn\]]	stir-fried noodles with beef
牛肉芹菜 牛肉芹菜 [01\[ niú ròu qín cài\]]	beef and celery
牛肉面 牛肉面 [01\[ niú ròu miàn\]]	beef noodle soup
牛膝 牛膝 [01\[ niú xī\]]	achyranthes bidentata (root used in chinese medicine)
牛至 牛至 [01\[ niú zhì\]]	oregano;marjoram
牛蒡 牛蒡 [01\[ niú páng\]]	burdock
牛蛙 牛蛙 [01\[ niú wā\]]	bullfrog
牛角椒 牛角椒 [01\[ niú jiǎo jiāo\]]	cayenne pepper;red pepper;chili
牛郎 牛郎 [01\[ niú láng\]]	cowherd of the folk tale cowherd and weaving maid 牛郎織女|牛郎织女;altair (star)
牛郎織女 牛郎织女 [01\[ niú láng zhī nǚ\]]	cowherd and weaving maid (characters in folk story);separated lovers;altair and vega (stars)
牛頓 牛顿 [01\[ niú dùn\]]	newton (name);sir isaac newton (1642-1727)
牛頓力學 牛顿力学 [01\[ niú dùn lì xué\]]	newtonian mechanics
牛頭犬 牛头犬 [01\[ niú tóu quǎn\]]	bulldog
