to a relief effort	28-3905-S
to belong to	21-26938-B,21-27542-B,35-53228-B,35-53978-B,35-54243-B
to belong to a category	66-51629-B
to belong to organization	26-27829-B
to bemoan one s lot	24-63725-B
to bend	23-52243-B,26-64970-B,27-8254-B,27-49821-B,29-4072-B,58-8794-B,58-8829-B
to bend an ear to	6-19684-B
to bend at the waist	23-26088-B
to bend in the wind	28-54220-B
to bend iron	64-42926-B
to bend over	5-50387-B
to bend the body at the waist	23-26150-B
to bend the law for one s own profit 成语 saw	23-65428-B
to bend the wrist	28-6100-B
to bend with the wind	66-45246-B
to benefit	4-1865-B,11-61420-B,57-2550-B
to benefit from	11-63046-B
to benefit from advice	11-61854-B
to benefit from association with sb or sth	37-25839-S
to benefit from counsel	11-60517-B
to benefits e g a diploma as a pass to a career	62-12819-S
to benevolence 成语 saw	4-20172-S,24-44736-S
to benumb	71-15085-B
to bequeath to later generations	43-48677-B
to berate	12-20140-B,12-20466-B,13-16097-B,13-16248-B,13-16377-B,13-16435-B,57-64271-B
to berate angrily	12-20520-B
to beseech	36-53489-B
to besiege	15-21550-B,15-22032-B
to besiege a town	29-47390-B
to bestow	59-56822-B,59-56912-B,59-56962-B,59-57436-B,59-59451-B
to bestow a prize or reward	68-32361-B
to bestow a reward	59-57066-B
to bestow alms	59-56256-B,59-56323-B
to bestow on an inferior	70-44386-B
