鷇 鷇 [01\[ kòu\]]	fledglings
黃道十二宮 黄道十二宫 [01\[ huáng dào shí èr gōng\]]	the twelve equatorial constellations or signs of the zodiac in western astronomy and astrology
黃遵憲 黄遵宪 [01\[ huáng zūn xiàn\]]	huang zunxian (1848-1905)
黃酒 黄酒 [01\[ huáng jiǔ\]]	yellow wine (mulled rice wine
黃酶 黄酶 [01\[ huáng méi\]]	yellow enzyme
黃金 黄金 [01\[ huáng jīn\]]	gold
黃金分割 黄金分割 [01\[ huáng jīn fēn gē\]]	golden ratio;golden section
黃金周 黄金周 [01\[ huáng jīn zhōu\]]	golden week;refers to three 7-day holiday periods at new year 春節|春节
黃金寶 黄金宝 [01\[ huáng jīn bǎo\]]	wong kam po
黃金輝 黄金辉 [01\[ huáng jīn huī\]]	wee kim wee
黃金週 黃金週 [01\[ huáng jīn zhōu\]]	golden week;refers to three 7-day holiday periods at new year 春節|春节
黃銅 黄铜 [01\[ huáng tóng\]]	brass
黃鐵礦 黄铁矿 [01\[ huáng tiě kuàng\]]	pyrite
黃長燁 黄长烨 [01\[ huáng cháng yè\]]	hwang jang-yop
黃陵 黄陵 [01\[ huáng líng\]]	(n) huangling (place in shaanxi)
黃頁 黄页 [01\[ huáng yè\]]	yellow pages
黃飛鴻 黄飞鸿 [01\[ huáng fēi hóng\]]	wong fei hung
黃餅 黄饼 [01\[ huáng bǐng\]]	yellowcake
黃驊 黄骅 [01\[ huáng huá\]]	(n) huanghua (city in hebei)
黃骨髓 黄骨髓 [01\[ huáng gǔ suǐ\]]	yellow or fatty bone marrow
黃體 黄体 [01\[ huáng tǐ\]]	corpus luteum (glands in female mammals producing progesterone)
黃體期 黄体期 [01\[ huáng tǐ qī\]]	luteal phase (period in the menstrual cycle when an embryo can implant in the womb)
黃魚 黄鱼 [01\[ huáng yú\]]	yellow croaker (fish)
黃鱔 黄鳝 [01\[ huáng shàn\]]	swamp eel
黃鴨 黄鸭 [01\[ huáng yā\]]	ruddy shelduck (tadorna ferruginea);same as 赤麻鴨|赤麻鸭
黃鵬 黄鹏 [01\[ huáng pěng\]]	oriole;black-naped oriole (oriolus chinensis)
黃鶯 黄莺 [01\[ huáng yīng\]]	black-naped oriole (oriolus chinensis)
黃鶴樓 黄鹤楼 [01\[ huáng hè lóu\]]	the yellow crane tower in wuhan city (built in 223
黃鸝 黄鹂 [01\[ huáng lí\]]	yellow oriole (oriolus chinensis)
黃麻 黄麻 [01\[ huáng má\]]	jute (corchorus capsularis linn.);plant fiber used for rope or sacks
黃鼠狼 黄鼠狼 [01\[ huáng shǔ láng\]]	yellow weasel (mustela sibirica);japanese mink;skunk
黃鼠狼給雞拜年 黄鼠狼给鸡拜年 [01\[ huáng shǔ láng gěi jī bài nián\]]	lit. the weasel offers the chicken new year greetings (谚语 proverb); fig. beware the greeks bearing gifts
黃鼬 黄鼬 [01\[ huáng yòu\]]	yellow weasel (mustela sibirica);japanese mink;skunk
黃龍 黄龙 [01\[ huáng lóng\]]	(n) huanglong (place in shaanxi)
黄泉 黄泉 [01\[ huáng quán\]]	the yellow springs;the underworld of chinese mythology;hades
黈 黈 [01\[ tǒu\]]	a yellow color
黌 黉 [01\[ hóng\]]	school
黍 黍 [01\[ shǔ\]]	broomcorn millet;glutinous millet
黎 黎 [01\[ lí\]]	black;surname li;abbr. for lebanon
黎城 黎城 [01\[ lí chéng\]]	(n) licheng (place in shanxi)
黎川 黎川 [01\[ lí chuān\]]	lichuan county in fuzhou 撫州|抚州
黎川縣 黎川县 [01\[ lí chuān xiàn\]]	lichuan county in fuzhou 撫州|抚州
黎巴嫩 黎巴嫩 [01\[ lí bā nèn\]]	lebanon
黎平 黎平 [01\[ lí píng\]]	(n) liping (place in guizhou)
黎族 黎族 [01\[ lí zú\]]	li people
黎明 黎明 [01\[ lí míng\]]	dawn;daybreak
黎曼 黎曼 [01\[ lí màn\]]	g.f.b. riemann (1826-1866)
黎曼幾何 黎曼几何 [01\[ lí màn jǐ hé\]]	(math.) riemannian geometry
黎曼幾何學 黎曼几何学 [01\[ lí màn jǐ hé xué\]]	riemannian geometry
黎曼曲面 黎曼曲面 [01\[ lí màn qū miàn\]]	riemann surface (math.)
黎曼羅赫定理 黎曼罗赫定理 [01\[ lí màn luó hè dìng lǐ\]]	(math.) the riemann-roch theorem
黎曼面 黎曼面 [01\[ lí màn miàn\]]	riemann surface (math.)
黏 黏 [01\[ nián\]]	to stick;sticky;glutinous;glue
黏住 黏住 [01\[ nián zhù\]]	cling
黏兒 黏儿 [01\[ nián 5r\]]	gum;resin
黏合 黏合 [01\[ nián hé\]]	to bind;to adhere
黏土 黏土 [01\[ nián tǔ\]]	clay;loam
黏度 黏度 [01\[ nián dù\]]	viscosity
黏性 黏性 [01\[ nián xìng\]]	viscosity
黏涎 黏涎 [01\[ nián xian\]]	tedious;dull;slow
黏涎子 黏涎子 [01\[ nián xián zi\]]	saliva;dribble
黏液 黏液 [01\[ nián yè\]]	mucus;viscous liquid
黏痰 粘痰 [01\[ nián tán\]]	phlegm
黏稠 黏稠 [01\[ nián chóu\]]	viscous
黏稠度 黏稠度 [01\[ nián chóu dù\]]	viscosity
黏米 黏米 [01\[ nián mǐ\]]	sticky rice;glutinous rice
黏糊 黏糊 [01\[ nián hu\]]	sticky;glutinous;slow-moving
黏糊糊 黏糊糊 [01\[ nián hū hū\]]	sticky
黏結 黏结 [01\[ nián jié\]]	to cohere;to bind
黏膜 黏膜 [01\[ nián mó\]]	mucous membrane
黏膠 黏胶 [01\[ niān jiāo\]]	viscose;also written 粘膠|粘胶
黏菌 黏菌 [01\[ nián jūn\]]	slime mold (myxomycetes)
黏著 黏着 [01\[ nián zhuó\]]	to adhere;to stick to;to bond;to agglutinate;adhesion;adhesive
黏著力 黏着力 [01\[ nián zhuó lì\]]	adhesion;adhesive force
黏著語 黏着语 [01\[ nián zhuó yǔ\]]	agglutinative language (e.g. turkish and japanese)
黏附 黏附 [01\[ nián fù\]]	to adhere;to stick to
黑 黑 [01\[ hēi\]]	black;dark;abbr. for heilongjiang 黑龍江|黑龙江 province in northeast china
黑不溜秋 黑不溜秋 [01\[ hēi bù liū qiū\]]	dark and swarthy
黑人 黑人 [01\[ hēi rén\]]	black person
黑信 黑信 [01\[ hēi xìn\]]	blackmail
黑加崙 黑加仑 [01\[ hēi jiā lún\]]	blackcurrant
黑匣子 黑匣子 [01\[ hēi xiá zi\]]	(airplane) black box
黑名單 黑名单 [01\[ hēi míng dān\]]	blacklist;list of proscribed people (books etc)
黑塞哥維那 黑塞哥维那 [01\[ hēi sè gē wéi nà\]]	herzegovena
黑夜 黑夜 [01\[ hēi yè\]]	night
黑奴籲天錄 黑奴吁天录 [01\[ hēi nú yù tiān lù\]]	uncle tom's cabin
黑客 黑客 [01\[ hēi kè\]]	hacker (computer);the matrix (movie)
黑客帝國 黑客帝国 [01\[ hēi kè dì guó\]]	the matrix (movie)
黑尿症 黑尿症 [01\[ hēi niào zhèng\]]	alkaponuria
黑山 黑山 [01\[ hēi shān\]]	black mountain
黑山 黑山 [01\[ hēi shān\]]	montenegro
黑山縣 黑山县 [01\[ hēi shān xiàn\]]	heishan county in jinzhou 錦州|锦州
黑市 黑市 [01\[ hēi shì\]]	black market
黑店 黑店 [01\[ hēi diàn\]]	lit. inn that kills and robs guests (esp. in traditional fiction); fig. a scam;protection racket;daylight robbery
黑心 黑心 [01\[ hēi xīn\]]	black heart;vicious mind full of hatred and jealousy;black core (flaw in pottery)
黑手黨 黑手党 [01\[ hēi shǒu dǎng\]]	mafia
黑旗軍 黑旗军 [01\[ hēi qí jūn\]]	black flag army
黑暗 黑暗 [01\[ hēi àn\]]	dark;darkly;darkness
黑木耳 黑木耳 [01\[ hēi mù ěr\]]	auricularia auricula-judae
黑板 黑板 [01\[ hēi bǎn\]]	blackboard
黑枕黃鸝 黑枕黄鹂 [01\[ hēi zhěn huáng lí\]]	black-naped oriole (oriolus chinensis)
黑格爾 黑格尔 [01\[ hēi gé ěr\]]	hegel (philosopher)
黑森林 黑森林 [01\[ hēi sēn lín\]]	black forest;schwarzwald
黑森林蛋糕 黑森林蛋糕 [01\[ hēi sēn lín dàn gāo\]]	black forest gateau;schwarzwälder kirschtorte
黑森森 黑森森 [01\[ hēi sēn sēn\]]	dark and gloomy forest;dismal and frightening;dense and dark
黑水 黑水 [01\[ hēi shuǐ\]]	(n) heishui (place in sichuan)
黑河 黑河 [01\[ hēi hé\]]	heihe city in heilongjiang
黑河地區 黑河地区 [01\[ hēi hé dì qū\]]	(n) heihe district (district in heilongjiang)
黑河市 黑河市 [01\[ hēi hé shì\]]	heihe city in heilongjiang
黑洞 黑洞 [01\[ hēi dòng\]]	(astronomy) black hole
黑海 黑海 [01\[ hēi hǎi\]]	black sea
黑澤明 黑泽明 [01\[ hēi zé míng\]]	kurosawa akira (1910-1998) japanese movie director
黑煤 黑煤 [01\[ hēi méi\]]	black coal
黑煤玉 黑煤玉 [01\[ hēi méi yù\]]	jet
黑熊 黑熊 [01\[ hēi xióng\]]	asiatic black bear (ursus thibetanus)
黑猩猩 黑猩猩 [01\[ hēi xīng xīng\]]	common chimpanzee
黑痣 黑痣 [01\[ hēi zhì\]]	mole
黑白 黑白 [01\[ hēi bái\]]	black and white;right and wrong;monochrome
黑白電視 黑白电视 [01\[ hēi bái diàn shì\]]	black and white tv
黑眉蝮蛇 黑眉蝮蛇 [01\[ hēi méi fù shé\]]	snake island viper (gloydius shedaoensis)
黑瞎子島 黑瞎子岛 [01\[ hēi xiā zi dǎo\]]	bolshoi ussuriisk island in the heilongjiang or amur river
黑矮星 黑矮星 [01\[ hēi ǎi xīng\]]	black dwarf star
黑磚窯 黑砖窑 [01\[ hēi zhuān yáo\]]	lit. black brick kiln; factories that acquired notoriety in 2007 for slave labor
黑社會 黑社会 [01\[ hēi shè huì\]]	dark society;mafia;mob;organized crime syndicate
黑籍冤魂 黑籍冤魂 [01\[ hēi jí yuān hún\]]	black register of lost souls
黑素 黑素 [01\[ hēi sù\]]	melanin;black pigment
黑肺病 黑肺病 [01\[ hēi fèi bìng\]]	pneumoconiosis (occupational disease of coal miners);silicosis;also written 矽肺病
黑胡椒 黑胡椒 [01\[ hēi hú jiāo\]]	black pepper
黑色 黑色 [01\[ hēi sè\]]	black
黑色素 黑色素 [01\[ hēi sè sù\]]	black pigment;melanin
黑色金屬 黑色金属 [01\[ hēi sè jīn shǔ\]]	ferrous metals (i.e. iron
黑芝麻 黑芝麻 [01\[ hēi zhī ma\]]	sesame (seed)
黑茶藨子 黑茶藨子 [01\[ hēi chá biāo zi\]]	blackcurrant;cassis
黑莓 黑莓 [01\[ hēi méi\]]	blackberry
黑莓子 黑莓子 [01\[ hēi méi zi\]]	blackberry
黑落德 黑落德 [01\[ hēi luò dé\]]	herod (biblical king)
黑虎拳 黑虎拳 [01\[ hēi hǔ quán\]]	hei hu quan - black tiger fist - martial art
黑話 黑话 [01\[ hēi huà\]]	argot;bandits' secret jargon;malicious words
黑貂 黑貂 [01\[ hēi diāo\]]	sable (martes zibellina)
黑車 黑车 [01\[ hēi chē\]]	unlicensed or unofficial taxi;unlicensed motor vehicle
黑醋栗 黑醋栗 [01\[ hēi cù lì\]]	blackcurrant
黑頸鶴 黑颈鹤 [01\[ hēi jǐng hè\]]	black-necked crane (grus nigricollis);tibetan crane
黑馬 黑马 [01\[ hēi mǎ\]]	dark horse;fig. unexpected winner
黑體 黑体 [01\[ hēi tǐ\]]	bold (typeface)
黑體字 黑体字 [01\[ hēi tǐ zì\]]	bold letter
黑體輻射 黑体辐射 [01\[ hēi tǐ fú shè\]]	black body radiation (in thermodynamics)
黑髮 黑发 [01\[ hēi fà\]]	fine black hair
黑鬼 黑鬼 [01\[ hēi guǐ\]]	black devil (derogatory term for black or african person)
黑魚 黑鱼 [01\[ hēi yú\]]	blackfish
黑鯇 黑鲩 [01\[ hēi huàn\]]	black carp (mylopharyngodon piceus)
黑齷 黑龌 [01\[ hēi wò\]]	unclean;filthy
黑龍江 黑龙江 [01\[ hēi lóng jiāng\]]	heilongjiang province (heilungkiang) in northeast china
黑龍江河 黑龙江河 [01\[ hēi lóng jiāng hé\]]	heilongjiang river;the amur river the amur river (the border between north east china and russia)
黑龍江省 黑龙江省 [01\[ hēi lóng jiāng shěng\]]	heilongjiang province (heilungkiang) in northeast china
黒 黒 [01\[ hēi\]]	japanese variant of 黑
黓 黓 [01\[ yì\]]	black
黔 黔 [01\[ qián\]]	abbr. for guizhou province 貴陽|贵州
黔南州 黔南州 [01\[ qián nán zhōu\]]	qiannan
黔南布依族苗族自治州 黔南布依族苗族自治州 [01\[ qián nán bù yī zú miáo zú zì zhì zhōu\]]	qiannan buyei and miao autonomous prefecture in guizhou
黔東南州 黔东南州 [01\[ qián dōng nán zhōu\]]	qiandongnan
黔東南苗族侗族自治州 黔东南苗族侗族自治州 [01\[ qián dōng nán miáo zú dòng zú zì zhì zhōu\]]	qiandongnan miao and dong autonomous prefecture in guizhou
黔江 黔江 [01\[ qián jiāng\]]	qianjiang tujiazu-miaozu autonomous county in sichuan
黔西 黔西 [01\[ qián xī\]]	(n) qianxi (place in guizhou)
黔西南州 黔西南州 [01\[ qián xī nán zhōu\]]	abbr. for 黔西南布依族苗族自治州|黔西南布依族苗族自治州
黔西南布依族苗族自治州 黔西南布依族苗族自治州 [01\[ qián xī nán bù yī zú miáo zú zì zhì zhōu\]]	qianxinan buyei and miao autonomous prefecture in guizhou
黔陽 黔阳 [01\[ qián yáng\]]	(n) qianyang (place in hunan)
黕 黕 [01\[ zhěn\]]	red
默 默 [01\[ mò\]]	silent;write from memory
默克爾 默克尔 [01\[ mò kè ěr\]]	angela merkel (1954-)
默哀 默哀 [01\[ mò āi\]]	observe a moment of silence in tribute
默嘆 默叹 [01\[ mò tàn\]]	to admire inwardly
默坐 默坐 [01\[ mò zuò\]]	sitting silently
默多克 默多克 [01\[ mò duō kè\]]	murdoch (name);rupert murdoch (1931-)
默契 默契 [01\[ mò qì\]]	to understand tacitly;secret agreement;implicit recognition
默字 默字 [01\[ mò zì\]]	to write from memory
默寫 默写 [01\[ mò xiě\]]	to write from memory
默念 默念 [01\[ mò niàn\]]	to read in silence;to contemplate inwardly
默拉皮 默拉皮 [01\[ mò lā pí\]]	merapi (volcano on java)
默書 默书 [01\[ mò shū\]]	to write from memory
默歎 默叹 [01\[ mò tàn\]]	to admire inwardly
默示 默示 [01\[ mò shì\]]	express silently
默禱 默祷 [01\[ mò dǎo\]]	silent prayer;pray in silence
默算 默算 [01\[ mò suàn\]]	mental arithmetic;to calculate inwardly
默西亞 默西亚 [01\[ mò xī yà\]]	the messiah
默記 默记 [01\[ mò jì\]]	to learn by heart;to commit to memory;to remember;to memorize in silence
默許 默许 [01\[ mò xǔ\]]	to consent tacitly
默誌 默志 [01\[ mò zhì\]]	to recall silently
默認 默认 [01\[ mò rèn\]]	to agree tacitly;tacit approval;default (setting)
默誦佛號 默诵佛号 [01\[ mò sòng fó hào\]]	to chant the names of buddha
默讀 默读 [01\[ mò dú\]]	to read in silence
默默 默默 [01\[ mò mò\]]	in silence;not speaking
默默無聞 默默无闻 [01\[ mò mò wú wén\]]	unknown;nothing is spoken about it
黙 黙 [01\[ mò\]]	japanese variant of 默
黛 黛 [01\[ dài\]]	umber-black dye for painting the eyebrow
黛安娜 黛安娜 [01\[ dài ān nà\]]	diana (goddess in greek mythology)
黜 黜 [01\[ chù\]]	dismiss;expel
黝 黝 [01\[ yǒu\]]	black;dark green
黝黑 黝黑 [01\[ yǒu hēi\]]	dark;suntanned;dark black color
點 点 [01\[ diǎn\]]	point;dot;speck;drop;decimal point;point of a scale;point in a theory or argument;downwards-right convex character stroke;a little (usually 一點|一点);a jot;beat (of percussion instrument);to draw a dot;to touch slightly;to drip;classifier for items;classifier for small indeterminate quantities;to nod;to select item from a list;to order (food in a restaurant);to count;o'clock;one fifth of a two hour watch (old);hour;point of time;iron bell (used to mark time);pastry;dimsum 點心|点心
點交 点交 [01\[ diǎn jiāo\]]	to hand over one by one
點亮 点亮 [01\[ diǎn liàng\]]	to illuminate;to turn on the lights;to light (a blaze)
點兒 点儿 [01\[ diǎn 5r\]]	erhua variant of 點|点
點兵 点兵 [01\[ diǎn bīng\]]	to inspect troops;to review
點化 点化 [01\[ diǎn huà\]]	magic transformation performed by daoist immortal;fig. to reveal;to enlighten
點卯 点卯 [01\[ diǎn mǎo\]]	morning roll call
點名 点名 [01\[ diǎn míng\]]	roll call;to mention sb by name;(to call or praise or criticize sb) by name
點名冊 点名册 [01\[ diǎn míng cè\]]	register of names;attendance roll book
點子 点子 [01\[ diǎn zi\]]	spot;point;dot;speck;drop (of liquid);droplet;point (of argument);idea;crux;indication;pointer
點字 点字 [01\[ diǎn zì\]]	braille characters (alphabet for the blind)
點字機 点字机 [01\[ diǎn zì jī\]]	braille typewriter
點射 点射 [01\[ diǎn shè\]]	to fire in bursts;shooting intermittently
點將 点将 [01\[ diǎn jiàng\]]	to appoint a general (in theater);fig. to appoint sb for a task
點對點 点对点 [01\[ diǎn duì diǎn\]]	p2p (peer to peer);bittorrent (bt)
點心 点心 [01\[ diǎn xin\]]	light refreshments;pastry;dimsum (in cantonese cooking);dessert
點撥 点拨 [01\[ diǎn bō\]]	to give instructions;to give advice
點播 点播 [01\[ diǎn bō\]]	webcast;to request item for broadcast on radio program;dibble seeding;spot seeding
點擊 点击 [01\[ diǎn jī\]]	to hit;to press;to strike (on the keyboard);to click (a web page button)
點擊一個鏈接 点击一个链接 [01\[ diǎn jī yī gè liàn jiē\]]	to click on a link (on webpage)
點收 点收 [01\[ diǎn shōu\]]	to check sth and accept it
點數 点数 [01\[ diǎn shù\]]	to count heads;to check numbers
點明 点明 [01\[ diǎn míng\]]	to point out
點染 点染 [01\[ diǎn rǎn\]]	to touch up (a piece of writing);to add details (to a painting)
點檢 点检 [01\[ diǎn jiǎn\]]	to inspect one by one;to list individually
點水 点水 [01\[ diǎn shuǐ\]]	to skim;lightly touching the water (as the dragonfly in the 成语 saw 蜻蜓點水|蜻蜓点水);skin deep
點水不漏 点水不漏 [01\[ diǎn shuǐ bù lòu\]]	not one drop of water leaks (成语 saw); fig. thoughtful and completely rigorous;watertight
點滴 点滴 [01\[ diǎn dī\]]	a drip;a little bit;intravenous drip (used to administer drugs)
點火 点火 [01\[ diǎn huǒ\]]	to ignite;to light a fire;to agitate;to start an engine;ignition;fig. to stir up trouble
點燃 点燃 [01\[ diǎn rán\]]	to ignite;to set on fire;aflame
點球 点球 [01\[ diǎn qiú\]]	penalty kick
點畫 点画 [01\[ diǎn huà\]]	strokes of a chinese character
點發 点发 [01\[ diǎn fā\]]	to fire in bursts;shooting intermittently
點睛 点睛 [01\[ diǎn jīng\]]	to dot in the eyes;fig. to add finishing touch;abbr. for 成语 saw 畫龍點睛|画龙点睛
點睛之筆 点睛之笔 [01\[ diǎn jīng zhī bǐ\]]	the brush stroke that dots in the eyes (成语 saw); fig. to add the vital finishing touch;the crucial point that brings the subject to life;a few words to clinch the point
點石成金 点石成金 [01\[ diǎn shí chéng jīn\]]	to touch base matter and turn it to gold (成语 saw); fig. to turn crude writing into a literary gem
點破 点破 [01\[ diǎn pò\]]	to lay bare in a few words;to expose with a word;to point out bluntly
點票 点票 [01\[ diǎn piào\]]	to count votes
點穿 点穿 [01\[ diǎn chuān\]]	to lay bare in a few words;to expose with a word
點竄 点窜 [01\[ diǎn cuàn\]]	to reword;to edit a text
點綴 点缀 [01\[ diǎn zhuì\]]	to decorate;an ornament;to adorn;only for show
點菜 点菜 [01\[ diǎn cài\]]	to order dishes (in a restaurant)
點號 点号 [01\[ diǎn hào\]]	punctuation mark
點補 点补 [01\[ diǎn bǔ\]]	to have a snack;to have a bite
點見 点见 [01\[ diǎn jiàn\]]	to check an amount
點視 点视 [01\[ diǎn shì\]]	to check (items);to count and verify
點視廳 点视厅 [01\[ diǎn shì tīng\]]	hall where convicts are counted and verified
點評 点评 [01\[ diǎn píng\]]	to comment;a point by point commentary
點金成鐵 点金成铁 [01\[ diǎn jīn chéng tiě\]]	to transform gold into base metal (成语 saw); fig. to edit sb else's beautiful prose and ruin it
點金石 点金石 [01\[ diǎn jīn shí\]]	philosopher's stone
點鐘 点钟 [01\[ diǎn zhōng\]]	(indicating time of day) o'clock
點鐵成金 点铁成金 [01\[ diǎn tiě chéng jīn\]]	to touch base matter and turn it to gold (成语 saw); fig. to turn crude writing into a literary gem
點集合 点集合 [01\[ diǎn jí hé\]]	(math.) point set
點頭 点头 [01\[ diǎn tóu\]]	nod
點頭咂嘴 点头咂嘴 [01\[ diǎn tóu zā zuǐ\]]	to approve by nodding one's head and smacking one's lips (成语 saw)
點頭哈腰 点头哈腰 [01\[ diǎn tóu hā yāo\]]	to nod one's head and bow (成语 saw); bowing and scraping;unctuous fawning
點頭招呼 点头招呼 [01\[ diǎn tóu zhāo hū\]]	beckon
點題 点题 [01\[ diǎn tí\]]	to bring out the main theme;to make the point;to bring out the substance concisely
點鬼火 点鬼火 [01\[ diǎn guǐ huǒ\]]	to stir up trouble in secret;to instigate
點點 点点 [01\[ diǎn diǎn\]]	point;speck
點點滴滴 点点滴滴 [01\[ diǎn diǎn dī dī\]]	bit by bit;dribs and drabs
黟 黟 [01\[ yī\]]	black and shining ebony
黟縣 黟县 [01\[ yī xiàn\]]	yi county in anhui
黠 黠 [01\[ xiá\]]	(phonetic);crafty
黢黑 黢黑 [01\[ qū hēi\]]	pitch-black;pitch-dark
黥 黥 [01\[ qíng\]]	tattoo criminals on face;surname qing
黧 黧 [01\[ lí\]]	dark;sallow color
黨 党 [01\[ dǎng\]]	party;association;club;society;surname dang
黨中央 党中央 [01\[ dǎng zhōng yāng\]]	party central committee
黨主席 党主席 [01\[ dǎng zhǔ xí\]]	party chief
黨內 党内 [01\[ dǎng nèi\]]	within the party (esp. chinese communist party)
黨務 党务 [01\[ dǎng wù\]]	party affairs;work within the communist party
黨參 党参 [01\[ dǎng shēn\]]	poor man's ginseng (codonopsis pilosula);codonopsis root used in traditional chinese medicine
黨史 党史 [01\[ dǎng shǐ\]]	history of the party
黨同伐異 党同伐异 [01\[ dǎng tóng fá yì\]]	to be narrowly partisan;to unite with those of the same views but alienate those with different views
黨員 党员 [01\[ dǎng yuán\]]	political party member
黨團 党团 [01\[ dǎng tuán\]]	party caucus
黨委 党委 [01\[ dǎng wěi\]]	party committee
黨性 党性 [01\[ dǎng xìng\]]	the spirit or character of a political party
黨政 党政 [01\[ dǎng zhèng\]]	party policy;(communist) party and government administration
黨旗 党旗 [01\[ dǎng qí\]]	party flag
黨校 党校 [01\[ dǎng xiào\]]	(political) party school
黨派 党派 [01\[ dǎng pài\]]	partisan;political party related
黨派集會 党派集会 [01\[ dǎng pài jí huì\]]	party meeting
黨票 党票 [01\[ dǎng piào\]]	party membership;membership card
黨章 党章 [01\[ dǎng zhāng\]]	party constitution
黨籍 党籍 [01\[ dǎng jí\]]	party membership
黨組 党组 [01\[ dǎng zǔ\]]	leading party group
黨綱 党纲 [01\[ dǎng gāng\]]	(political) party platform;party program
黨羽 党羽 [01\[ dǎng yǔ\]]	henchmen
黨項 党项 [01\[ dǎng xiàng\]]	tangut branch of the qiang 羌 ethnic minority
黨項族 党项族 [01\[ dǎng xiàng zú\]]	tangut branch of the qiang 羌 ethnic minority;ancient ethnic group who made up the 西夏 dynasty
黨魁 党魁 [01\[ dǎng kuí\]]	faction leader;head of political party
黨齡 党龄 [01\[ dǎng líng\]]	party standing;age of service to the party
黮 黮 [01\[ tán\]]	black
黯 黯 [01\[ àn\]]	deep black;dark
黯然 黯然 [01\[ àn rán\]]	dim;sad
黯然銷魂 黯然销魂 [01\[ àn rán xiāo hún\]]	overwhelming sadness (成语 saw); sorrow at parting
黰 黰 [01\[ zhěn\]]	bushy black hair
黲 黪 [01\[ cǎn\]]	gray black
黴 黴 [01\[ méi\]]	bacteria;fungi;moldy
黴漿菌肺炎 黴浆菌肺炎 [01\[ méi jiāng jūn fèi yán\]]	mycoplasma pneumonia
黶 黶 [01\[ yǎn\]]	black spots on body
黷 黩 [01\[ dú\]]	blacken;constantly;to insult
黹 黹 [01\[ zhǐ\]]	embroidery
黻 黻 [01\[ fú\]]	(embroidery)
黼 黼 [01\[ fǔ\]]	(embroidery)
黽 黾 [01\[ mǐn\]]	toad
黿 鼋 [01\[ yuán\]]	sea turtle
鼇 鼇 [01\[ áo\]]	鰲|鳌
鼉 鼍 [01\[ tuó\]]	large water lizard
鼎 鼎 [01\[ dǐng\]]	tripod
鼎力 鼎力 [01\[ dǐng lì\]]	(honorific) your kind efforts;thanks to your help
鼎助 鼎助 [01\[ dǐng zhù\]]	(honorific) your inestimable assistance;thanks to your help
鼎峙 鼎峙 [01\[ dǐng zhì\]]	a tripartite balance;compromise between three rivals
鼎新 鼎新 [01\[ dǐng xīn\]]	to innovate
鼎族 鼎族 [01\[ dǐng zú\]]	rich patriarchal family;aristocracy
鼎沸 鼎沸 [01\[ dǐng fèi\]]	a confused noise;a racket
鼎盛 鼎盛 [01\[ dǐng shèng\]]	flourishing;at its peak;a golden age
鼎足 鼎足 [01\[ dǐng zú\]]	lit. the three legs of a tripod; fig. three competing rivals
鼎足之勢 鼎足之势 [01\[ dǐng zú zhī shì\]]	competition between three rivals;tripartite confrontation
鼎鐺玉石 鼎铛玉石 [01\[ dǐng chēng yù shí\]]	lit. to use a sacred tripod as cooking pot and jade as ordinary stone (成语 saw); fig. a waste of precious material;casting pearls before swine
鼎革 鼎革 [01\[ dǐng gé\]]	change of dynasties;clear out the old
鼎食 鼎食 [01\[ dǐng shí\]]	extravagant food
鼎鼎 鼎鼎 [01\[ dǐng dǐng\]]	great;very important
鼏 鼏 [01\[ mì\]]	cover of tripod kettle
鼐 鼐 [01\[ nài\]]	incense tripod
鼒 鼒 [01\[ zī\]]	tripod with a small opening on top
鼓 鼓 [01\[ gǔ\]]	convex;drum;to rouse;to beat
鼓動 鼓动 [01\[ gǔ dòng\]]	to agitate;to arouse;to instigate;to encite
鼓勵 鼓励 [01\[ gǔ lì\]]	to encourage
鼓吹 鼓吹 [01\[ gǔ chuī\]]	to agitate for;to enthusiastically promote
鼓吹者 鼓吹者 [01\[ gǔ chuī zhě\]]	advocate
鼓噪 鼓噪 [01\[ gǔ zào\]]	din
鼓室 鼓室 [01\[ gǔ shì\]]	tympanic cavity (of the middle ear)
鼓山區 鼓山区 [01\[ gǔ shān qū\]]	(n) kushan (area in taiwan)
鼓掌 鼓掌 [01\[ gǔ zhǎng\]]	to applaud
鼓樓 鼓楼 [01\[ gǔ lóu\]]	a drum tower;drum tower
鼓盆 鼓盆 [01\[ gǔ pén\]]	lit. to drum on a bowl;refers to zhuangzi 莊子|庄子 grieving for his lost wife;fig. grief for a lost wife
鼓盆之慼 鼓盆之戚 [01\[ gǔ pén zhī qī\]]	drumming on a bowl in grief (成语 saw
鼓聲 鼓声 [01\[ gǔ shēng\]]	sound of a drum;drumbeat
鼓膜 鼓膜 [01\[ gǔ mó\]]	eardrum;tympanum (of the middle ear);tympanyic membrane
鼓舞 鼓舞 [01\[ gǔ wǔ\]]	heartening (news);boost (morale)
鼓風 鼓风 [01\[ gǔ fēng\]]	a forced draft (of wind
鼓風機 鼓风机 [01\[ gǔ fēng jī\]]	bellows;ventilator;air blower
鼓風爐 鼓风炉 [01\[ gǔ fēng lú\]]	a blast furnace (in modern times);a draft assisted furnace for smelting metals
鼓點 鼓点 [01\[ gǔ diǎn\]]	drum beat;rhythm
鼓點子 鼓点子 [01\[ gǔ diǎn zi\]]	drum beat;rhythm
鼕 鼕 [01\[ dōng\]]	boom (of a drum)
鼖 鼖 [01\[ fén\]]	large brass drum
