元朗 元朗	6-62303-B
全家 全家	7-36125-B
全家福	7-36172-S
全家福 全家福	7-36172-B
全局	7-36261-S
全局 全局	7-36261-B
全局性	7-36312-S
全局性 全局性	7-36312-B
全局語境 全局语境	7-36364-B
全局语境	7-36364-S
全州	7-36434-S
全州 全州	7-36434-B
全年	7-36501-S
全年 全年	7-36501-B
全影	7-36565-S
全影 全影	7-36565-B
全復 全复	7-36619-B
全心全意	7-36688-S
全心全意 全心全意	7-36688-B
全才	7-36774-S
全才 全才	7-36774-B
全托	7-41455-S
全数	7-36830-S
全數 全数	7-36830-B
全文	7-36896-S
全文 全文	7-36896-B
全文检索	7-36942-S
全文檢索 全文检索	7-36942-B
全斗焕	7-37016-S
全斗煥 全斗焕	7-37016-B
全新	7-37108-S
全新 全新	7-37108-B
全新世	7-37165-S
全新世 全新世	7-37165-B
全新紀 全新纪	7-37290-B
全新統 全新统	7-37373-B
全新纪	7-37290-S
全新统	7-37373-S
全日制	7-37493-S
全日制 全日制	7-37493-B
全日空	7-37552-S
全日空 全日空	7-37552-B
全时工作	7-37622-S
全时工作 全时工作	7-37622-B
全景	7-37694-S
全景 全景	7-37694-B
全會 全会	7-37744-B
全本	7-37812-S
全本 全本	7-37812-B
全权	7-37962-S
全权代表	7-38048-S
全权大使	7-38141-S
全椒	7-37897-S
全椒 全椒	7-37897-B
全權 全权	7-37962-B
全權代表 全权代表	7-38048-B
全權大使 全权大使	7-38141-B
全歼	7-38224-S
全殲 全歼	7-38224-B
全民	7-38311-S
全民 全民	7-38311-B
全民公决	7-38378-S
全民公決 全民公决	7-38378-B
全民投票	7-38446-S
全民投票 全民投票	7-38446-B
全活	7-38525-S
全活 全活	7-38525-B
全然	7-38624-S
全然 全然	7-38624-B
全熟	7-38669-S
全熟 全熟	7-38669-B
全班	7-38742-S
全班 全班	7-38742-B
全球	7-38792-S
全球 全球	7-38792-B
全球化	7-38846-S
全球化 全球化	7-38846-B
全球卫星导航系统	7-39609-S
全球发展中心	7-39469-S
全球变暖	7-39804-S
全球定位系統 全球定位系统	7-38905-B
全球定位系统	7-38905-S
全球性	7-39016-S
全球性 全球性	7-39016-B
全球暖化	7-39069-S
全球暖化 全球暖化	7-39069-B
全球气候	7-39211-S
全球气候升温	7-39281-S
全球气候变暖	7-39375-S
全球氣候 全球气候	7-39211-B
全球氣候升溫 全球气候升温	7-39281-B
全球氣候變暖 全球气候变暖	7-39375-B
全球發展中心 全球发展中心	7-39469-B
全球衛星導航系統 全球卫星导航系统	7-39609-B
全球變暖 全球变暖	7-39804-B
全球資訊網 全球资讯网	7-39920-B
全球资讯网	7-39920-S
全盘	7-40080-S
全盛	7-40006-S
全盛 全盛	7-40006-B
全盤 全盘	7-40080-B
全省	7-40136-S
全省 全省	7-40136-B
全知	7-40191-S
全知 全知	7-40191-B
全知全能	7-40236-S
全知全能 全知全能	7-40236-B
全神灌注	7-40320-S
全神灌注 全神灌注	7-40320-B
全神貫注 全神贯注	7-40386-B
全神贯注	7-40386-S
全票	7-40495-S
全票 全票	7-40495-B
全称	7-40630-S
全程	7-40567-S
全程 全程	7-40567-B
全稱 全称	7-40630-B
全等	7-40676-S
全等 全等	7-40676-B
全等形	7-40733-S
全等形 全等形	7-40733-B
全線 全线	7-40797-B
全线	7-40797-S
全美	7-40904-S
全美 全美	7-40904-B
全美广播公司	7-40988-S
全美廣播公司 全美广播公司	7-40988-B
全职	7-41103-S
全职 全职	7-41103-B
全聚德	7-41151-S
全聚德 全聚德	7-41151-B
全胜	7-34457-S
全能	7-41231-S
全能 全能	7-41231-B
全般	7-41308-S
全般 全般	7-41308-B
全色	7-41349-S
全色 全色	7-41349-B
全蚀	7-41407-S
全蝕 全蚀	7-41407-B
全託 全托	7-41455-B
全豹	7-41540-S
全豹 全豹	7-41540-B
全貌	7-41627-S
全貌 全貌	7-41627-B
全資附屬公司 全资附属公司	7-41688-B
全资附属公司	7-41688-S
全身	7-41788-S
全身 全身	7-41788-B
全身中毒性毒剂	7-41842-S
全身中毒性毒劑 全身中毒性毒剂	7-41842-B
全身麻醉	7-41976-S
全身麻醉 全身麻醉	7-41976-B
全軍 全军	7-42051-B
全輪 全轮	7-42107-B
全輪驅動 全轮驱动	7-42153-B
全轮	7-42107-S
全轮驱动	7-42153-S
全速	7-42227-S
全速 全速	7-42227-B
全部	7-42284-S
全部 全部	7-42284-B
全都	7-42339-S
全都 全都	7-42339-B
全長 全长	7-42395-B
全长	7-42395-S
全集	7-42451-S
全集 全集	7-42451-B
全面	7-42531-S
全面 全面	7-42531-B
全面禁止	7-42605-S
全面禁止 全面禁止	7-42605-B
全面禁止核試驗條約 全面禁止核试验条约	7-42693-B
全面禁止核试验条约	7-42693-S
全音	7-42835-S
全音 全音	7-42835-B
全食	7-42899-S
全食 全食	7-42899-B
全體 全体	7-42947-B
全體人員 全体人员	7-42991-B
全麻	7-43052-S
全麻 全麻	7-43052-B
全黨 全党	7-43127-B
兩 两	7-43173-B
兩下子 两下子	7-43228-B
兩個中國 两个中国	7-43348-B
兩個或兩個以上 两个或两个以上	7-43425-B
兩側 两侧	7-43528-B
兩側對稱 两侧对称	7-43583-B
兩分法 两分法	7-43659-B
兩千 两千	7-43734-B
兩千六百一十六 两千六百一十六	7-43783-B
兩千年 两千年	7-43878-B
兩口子 两口子	7-43951-B
兩句 两句	7-44012-B
兩國 两国	7-44076-B
兩天 两天	7-44140-B
兩宋 两宋	7-44185-B
兩岸 两岸	7-44313-B
兩岸對話 两岸对话	7-44412-B
兩廂情願 两厢情愿	7-44484-B
兩廣 两广	7-44586-B
兩廣總督 两广总督	7-44682-B
兩性 两性	7-44775-B
兩性動物 两性动物	7-44888-B
兩性差距 两性差距	7-44969-B
兩性平等 两性平等	7-45054-B
兩性異形 两性异形	7-45141-B
兩性花 两性花	7-45217-B
兩情兩願 两情两愿	7-45285-B
兩手 两手	7-45386-B
兩手空空 两手空空	7-45453-B
兩敗俱傷 两败俱伤	7-45553-B
兩旁 两旁	7-45660-B
兩星期 两星期	7-45720-B
兩會 两会	7-45776-B
兩棲 两栖	7-45891-B
兩棲動物 两栖动物	7-45986-B
兩棲類 两栖类	7-46071-B
兩極 两极	7-46127-B
兩極分化 两极分化	7-46245-B
兩次 两次	7-46314-B
兩江道 两江道	7-46354-B
兩河 两河	7-46443-B
兩河文明 两河文明	7-46500-B
兩河流域 两河流域	7-46583-B
兩清 两清	7-46650-B
兩湖	2-46388-S
兩漢 两汉	7-46770-B
兩用 两用	7-46875-B
兩當 两当	7-46920-B
兩百億 两百亿	7-46987-B
兩百萬 两百万	7-47047-B
兩相 两相	7-47105-B
兩相情願 两相情愿	7-47152-B
兩節棍 两节棍	7-47254-B
兩者 两者	7-47355-B
兩耳不聞窗外事 两耳不闻窗外事	7-47401-B
兩著兒 两着儿	7-47531-B
兩虎相爭 两虎相争	7-47610-B
兩袖清風 两袖清风	7-47755-B
兩訖 两讫	7-47929-B
兩造 两造	7-48042-B
兩邊 两边	7-48129-B
兩面三刀 两面三刀	7-48187-B
兩頭 两头	7-48255-B
兩頭兒 两头儿	7-48323-B
兩點十九分 两点十九分	7-48398-B
兩黨制 两党制	7-48488-B
八	7-48552-S
八 八	7-48552-B
八·一五	7-48581-S
八·一五 八·一五	7-48581-B
八一五	7-48676-S
八一五 八一五	7-48676-B
八九不离十	7-48767-S
八九不離十 八九不离十	7-48767-B
八仙	7-48865-S
八仙 八仙	7-48865-B
八仙桌	7-48918-S
八仙桌 八仙桌	7-48918-B
八会穴	7-51640-S
八佰伴	7-49011-S
八佰伴 八佰伴	7-49011-B
八倍体	7-49074-S
八倍體 八倍体	7-49074-B
八八六	7-49126-S
八八六 八八六	7-49126-B
八分之一	7-49210-S
八分之一 八分之一	7-49210-B
八分音符	7-49274-S
八分音符 八分音符	7-49274-B
八十	7-49346-S
八十 八十	7-49346-B
八十天环游地球	7-49388-S
八十天環遊地球 八十天环游地球	7-49388-B
八千	7-49559-S
八千 八千	7-49559-B
八卦	7-49612-S
八卦 八卦	7-49612-B
八卦拳	7-49721-S
八卦拳 八卦拳	7-49721-B
八卦掌	7-49803-S
八卦掌 八卦掌	7-49803-B
八卦阵	7-49886-S
八卦陣 八卦阵	7-49886-B
八哥	7-50044-S
八哥 八哥	7-50044-B
八哥儿	7-50122-S
八哥兒 八哥儿	7-50122-B
八国联军	7-50209-S
八國聯軍 八国联军	7-50209-B
八大工业国组织	7-50293-S
八大工業國組織 八大工业国组织	7-50293-B
八天	7-50427-S
八天 八天	7-50427-B
八字	7-50481-S
八字 八字	7-50481-B
八字步	7-50541-S
八字步 八字步	7-50541-B
八字眉	7-50614-S
八字眉 八字眉	7-50614-B
八宝	7-50730-S
八宝山	7-50778-S
八宝山革命公墓	7-50862-S
八宿	7-50673-S
八宿 八宿	7-50673-B
八寶 八宝	7-50730-B
八寶山 八宝山	7-50778-B
八寶山革命公墓 八宝山革命公墓	7-50862-B
八小时工作制	7-51013-S
八小時工作制 八小时工作制	7-51013-B
八带鱼	7-51114-S
八帶魚 八带鱼	7-51114-B
八年	7-51164-S
八年 八年	7-51164-B
八度	7-51209-S
八度 八度	7-51209-B
八廓	7-51247-S
八廓 八廓	7-51247-B
八开	7-53393-S
八德	7-51339-S
八德 八德	7-51339-B
八成	7-51396-S
八成 八成	7-51396-B
八方	7-51471-S
八方 八方	7-51471-B
八旗	7-51551-S
八旗 八旗	7-51551-B
八會穴 八会穴	7-51640-B
八月	7-51716-S
八月 八月	7-51716-B
八月之光	7-51768-S
八月之光 八月之光	7-51768-B
八极拳	7-51904-S
八極拳 八极拳	7-51904-B
八榮八恥 八荣八耻	7-51992-B
八法拳	7-52067-S
八法拳 八法拳	7-52067-B
八目鰻 八目鳗	7-52149-B
八目鳗	7-52149-S
八級工 八级工	7-52246-B
八級工資制 八级工资制	7-52325-B
八級風 八级风	7-52421-B
八级工	7-52246-S
八级工资制	7-52325-S
八级风	7-52421-S
八股	7-52488-S
八股 八股	7-52488-B
八荣八耻	7-51992-S
八行书	7-52563-S
八行書 八行书	7-52563-B
八角	7-52653-S
八角 八角	7-52653-B
八角形	7-52721-S
八角形 八角形	7-52721-B
八角枫	7-52774-S
八角楓 八角枫	7-52774-B
八角茴香	7-52828-S
八角茴香 八角茴香	7-52828-B
八路军	7-52910-S
八路軍 八路军	7-52910-B
八边形	7-53267-S
八达岭	7-53215-S
八进制	7-52974-S
八進制 八进制	7-52974-B
八道江	7-53023-S
八道江 八道江	7-53023-B
八道江区	7-53114-S
八道江區 八道江区	7-53114-B
八達嶺 八达岭	7-53215-B
八邊形 八边形	7-53267-B
八里乡	7-53320-S
八里鄉 八里乡	7-53320-B
八開 八开	7-53393-B
八面体	7-53544-S
八面玲珑	7-53432-S
八面玲瓏 八面玲珑	7-53432-B
八面體 八面体	7-53544-B
八音	7-53598-S
八音 八音	7-53598-B
八音盒	7-53754-S
八音盒 八音盒	7-53754-B
公	7-53808-S
公 公	7-53808-B
公丈	7-53874-S
公丈 公丈	7-53874-B
公两	7-55281-S
公主	7-53920-S
公主 公主	7-53920-B
公主岭	7-53963-S
公主岭市	7-54052-S
公主嶺 公主岭	7-53963-B
公主嶺市 公主岭市	7-54052-B
公义	7-63905-S
公事	7-54152-S
公事 公事	7-54152-B
公事公办	7-54219-S
公事公辦 公事公办	7-54219-B
公交	7-54380-S
公交 公交	7-54380-B
公交車 公交车	7-54450-B
公交车	7-54450-S
公亩	7-62321-S
公仆	7-55048-S
公仔	7-54530-S
公仔 公仔	7-54530-B
公休日	7-54579-S
公休日 公休日	7-54579-B
公众	7-62705-S
公众意见	7-62748-S
公众电信网路	7-62821-S
公会	7-60483-S
公佈 公布	7-54638-B
公使	7-54709-S
公使 公使	7-54709-B
公倍式	7-54805-S
公倍式 公倍式	7-54805-B
公倍数	7-54877-S
公倍數 公倍数	7-54877-B
公债	7-54938-S
公债券	7-54989-S
公債 公债	7-54938-B
公債券 公债券	7-54989-B
公僕 公仆	7-55048-B
公元	7-55096-S
公元 公元	7-55096-B
公元前	7-55155-S
公元前 公元前	7-55155-B
公克	7-55243-S
公克 公克	7-55243-B
公兩 公两	7-55281-B
公公	7-55327-S
公公 公公	7-55327-B
公共	7-55392-S
公共 公共	7-55392-B
公共事业	7-55447-S
公共事業 公共事业	7-55447-B
公共交换电话网路	7-55571-S
公共交換電話網路 公共交换电话网路	7-55571-B
公共交通	7-55714-S
公共交通 公共交通	7-55714-B
公共关系	7-56657-S
公共卫生	7-56340-S
公共厕所	7-55970-S
公共场所	7-55803-S
公共場所 公共场所	7-55803-B
公共安全罪	7-55875-S
公共安全罪 公共安全罪	7-55875-B
公共廁所 公共厕所	7-55970-B
公共汽車 公共汽车	7-56040-B
公共汽車站 公共汽车站	7-56100-B
公共汽车	7-56040-S
公共汽车站	7-56100-S
公共秩序	7-56189-S
公共秩序 公共秩序	7-56189-B
公共行政	7-56258-S
公共行政 公共行政	7-56258-B
公共衛生 公共卫生	7-56340-B
公共設施 公共设施	7-56413-B
公共设施	7-56413-S
公共財產 公共财产	7-56497-B
公共财产	7-56497-S
公共道德	7-56571-S
公共道德 公共道德	7-56571-B
公共關系 公共关系	7-56657-B
公关	7-65847-S
公决	7-61202-S
公分	7-56731-S
公分 公分	7-56731-B
公判	7-56781-S
公判 公判	7-56781-B
公务	7-56872-S
公务员	7-56923-S
公務 公务	7-56872-B
公務員 公务员	7-56923-B
公募	7-56994-S
公募 公募	7-56994-B
公升	7-57056-S
公升 公升	7-57056-B
公历	7-60431-S
公厕	7-59745-S
公厘	7-65332-S
公司	7-57098-S
公司 公司	7-57098-B
公司会议	7-57263-S
公司债	7-57188-S
公司債 公司债	7-57188-B
公司會議 公司会议	7-57263-B
公司治理	7-57333-S
公司治理 公司治理	7-57333-B
公司法	7-57408-S
公司法 公司法	7-57408-B
公司理財 公司理财	7-57468-B
公司理财	7-57468-S
公吨	7-57608-S
公听会	7-64135-S
公告	7-57556-S
公告 公告	7-57556-B
公噸 公吨	7-57608-B
公因式	7-57657-S
公因式 公因式	7-57657-B
公园	7-57755-S
公园小径效应	7-57802-S
公園 公园	7-57755-B
公園小徑效應 公园小径效应	7-57802-B
公地	7-57904-S
公地 公地	7-57904-B
公報 公报	7-57968-B
公報私仇 公报私仇	7-58035-B
公墓	7-58137-S
公墓 公墓	7-58137-B
公婆	7-58179-S
公婆 公婆	7-58179-B
公子	7-58245-S
公子 公子	7-58245-B
公子哥儿	7-58297-S
公子哥兒 公子哥儿	7-58297-B
公孙	7-58378-S
公孙起	7-58442-S
公孫 公孙	7-58378-B
公孫起 公孙起	7-58442-B
公安	7-58507-S
公安 公安	7-58507-B
公安县	7-58825-S
公安官员	7-58600-S
公安官員 公安官员	7-58600-B
公安局	7-58681-S
