魏晉 魏晋	70-34881-B
鸳鸯	70-54356-S
鸳鸯蝴蝶	70-54425-S
鸳鸯蝴蝶派	70-54593-S
鸵	70-54207-S
鸵鸟	70-54237-S
鸶	71-438-S
鸷	71-310-S
鸸	70-55246-S
鸹	70-55271-S
鸺	70-56318-S
鸻	70-55328-S
鸻科	70-55358-S
鸽	70-56099-S
鸽子	70-56132-S
鸽房	70-56169-S
鸾	71-2815-S
鸿	70-55453-S
鸿图	70-55507-S
鸿图大计	70-55605-S
鸿沟	70-55688-S
鸿章	70-55837-S
鸿门宴	70-55915-S
鸿雁	70-55979-S
鸿鹄	70-56024-S
鹁	70-56401-S
鹁鸽	70-56434-S
鹂	71-2779-S
鹃	70-56344-S
鹄	70-56982-S
鹅	70-56570-S
鹅卵石	70-56596-S
鹅喉羚	70-56658-S
鹅毛大雪	70-56753-S
鹅膏蕈	70-56843-S
鹅膏蕈素	70-56921-S
鹆	70-56374-S
鹈	70-56502-S
鹈鹕	70-56531-S
鹉	70-57021-S
鹊	70-57382-S
鹊桥	70-57411-S
鹌	70-57074-S
鹌鹑	70-57101-S
鹎	70-57214-S
鹏	70-57171-S
鹑	70-57775-S
鹕	70-58065-S
鹗	70-58094-S
鹘	70-59135-S
鹙鹭	70-57954-S
鹚	70-59272-S
鹜	71-2903-S
鹜 鹜	71-2903-B
鹞	70-59389-S
鹣	70-59178-S
鹤	70-58512-S
鹤佬人	70-58539-S
鹤壁	70-58595-S
鹤壁市	70-58662-S
鹤山	70-58740-S
鹤岗	70-58865-S
鹤峰	70-58804-S
鹤庆	70-58932-S
鹥	71-234-S
鹦	71-2407-S
鹦鹉	71-2437-S
鹦鹉学舌	71-2477-S
鹦鹉热	71-2578-S
鹦鹉螺	71-2660-S
鹧	71-96-S
鹧鸪	71-150-S
鹩	71-671-S
鹩哥	71-707-S
鹪	71-465-S
鹪鹩	71-501-S
鹫	71-769-S
鹫科	71-845-S
鹫鸟	71-910-S
鹬	71-1083-S
鹬蚌相争	71-1127-S
鹬蚌相争渔翁得利	71-1255-S
鹭	71-1874-S
鹮	71-2929-S
鹮 鹮	71-2929-B
鹰	71-1425-S
鹰嘴星云	71-1466-S
鹰派	71-1554-S
鹰潭	71-1597-S
鹰潭市	71-1672-S
鹰爪翻自拳	71-1758-S
鹳	71-2744-S
鹵 卤	71-2989-B
鹵代烴 卤代烃	71-3053-B
鹵化 卤化	71-3172-B
鹵化物 卤化物	71-3273-B
鹵化銀 卤化银	71-3337-B
鹵屬 卤属	71-3432-B
鹵族 卤族	71-3493-B
鹵水 卤水	71-3553-B
鹵田 卤田	71-3600-B
鹵素 卤素	71-3643-B
鹵莽 卤莽	71-3703-B
鹵質 卤质	71-3768-B
鹸	71-3811-S
鹸 鹸	71-3811-B
鹹 咸	71-3853-B
鹹水湖 咸水湖	71-3889-B
鹹津津 咸津津	71-3944-B
鹹津津兒 咸津津儿	71-4012-B
鹹海 咸海	71-4103-B
鹹澀 咸涩	71-4146-B
鹹絲絲 咸丝丝	71-4204-B
鹹絲絲兒 咸丝丝儿	71-4262-B
鹹菜 咸菜	71-4351-B
鹹鏡南道 咸镜南道	71-4411-B
鹹陽橋 咸阳桥	71-4517-B
鹹鴨蛋 咸鸭蛋	71-4580-B
鹹鹽 咸盐	71-4640-B
鹺 鹾	71-4700-B
鹼 碱	71-4733-B
鹼化 碱化	71-4781-B
鹼土 碱土	71-4844-B
鹼土金屬 碱土金属	71-4891-B
鹼基 碱基	71-4988-B
鹼基互補配對 碱基互补配对	71-5050-B
鹼基對 碱基对	71-5219-B
鹼基配對 碱基配对	71-5386-B
鹼度 碱度	71-5532-B
鹼式鹽 碱式盐	71-5576-B
鹼性 碱性	71-5639-B
鹼性土 碱性土	71-5683-B
鹼性塵霧 碱性尘雾	71-5742-B
鹼性巖 碱性岩	71-5812-B
鹼性藍 碱性蓝	71-5918-B
鹼性金屬 碱性金属	71-5976-B
鹼斑 碱斑	71-6086-B
鹼法紙漿 碱法纸浆	71-6132-B
鹼腺 碱腺	71-6201-B
鹼荒 碱荒	71-6249-B
鹼試法 碱试法	71-6303-B
鹼金屬 碱金属	71-6359-B
鹽 盐	71-6457-B
鹽井 盐井	71-6484-B
鹽亭 盐亭	71-6547-B
鹽城 盐城	71-6612-B
鹽城市 盐城市	71-6689-B
鹽埔鄉 盐埔乡	71-6777-B
鹽埕區 盐埕区	71-6852-B
鹽山 盐山	71-6927-B
鹽水鎮 盐水镇	71-6990-B
鹽池 盐池	71-7065-B
鹽池縣 盐池县	71-7133-B
鹽津 盐津	71-7203-B
鹽湖城 盐湖城	71-7265-B
鹽源 盐源	71-7325-B
鹽灘 盐滩	71-7390-B
鹽田 盐田	71-7444-B,71-7486-B
鹽田區 盐田区	71-7564-B
鹽邊 盐边	71-7652-B
鹽酸 盐酸	71-7717-B
鹽酸克侖特囉 盐酸克仑特罗	71-7773-B
鹽酸鹽 盐酸盐	71-7870-B
鹽鹵 盐卤	71-7946-B
鹽鹼 盐碱	71-7984-B
鹽鹼地 盐碱地	71-8046-B
鹽鹼濕地 盐碱湿地	71-8102-B
鹾	71-4700-S
鹿	71-8169-S
鹿 鹿	71-8169-B
鹿儿岛	71-8195-S
鹿兒島 鹿儿岛	71-8195-B
鹿寨	71-8247-S
鹿寨 鹿寨	71-8247-B
鹿港鎮 鹿港镇	71-8310-B
鹿港镇	71-8310-S
鹿特丹	71-8383-S
鹿特丹 鹿特丹	71-8383-B
鹿肉	71-8461-S
鹿肉 鹿肉	71-8461-B
鹿草乡	71-8501-S
鹿草鄉 鹿草乡	71-8501-B
鹿谷乡	71-8577-S
鹿谷鄉 鹿谷乡	71-8577-B
鹿豹座	71-8650-S
鹿豹座 鹿豹座	71-8650-B
鹿邑	71-8724-S
鹿邑 鹿邑	71-8724-B
鹿野乡	71-8781-S
鹿野鄉 鹿野乡	71-8781-B
麀	71-8855-S
麀 麀	71-8855-B
麂	71-8889-S
麂 麂	71-8889-B
麃	71-8928-S
麃 麃	71-8928-B
麄	71-8959-S
麄 麄	71-8959-B
麇	71-8995-S
麇 麇	71-8995-B
麈	71-9031-S
麈 麈	71-9031-B
麋	71-9073-S
麋 麋	71-9073-B
麋鹿	71-9122-S
麋鹿 麋鹿	71-9122-B
麌	71-9157-S
麌 麌	71-9157-B
麐	71-9188-S
麐 麐	71-9188-B
麑	71-9236-S
麑 麑	71-9236-B
麒	71-9262-S
麒 麒	71-9262-B
麒麟	71-9300-S
麒麟 麒麟	71-9300-B
麒麟座	71-9348-S
麒麟座 麒麟座	71-9348-B
麓	71-9417-S
麓 麓	71-9417-B
麗 丽	71-9453-B,71-9480-B
麗佳娜 丽佳娜	71-9511-B
麗水 丽水	71-9567-B
麗水地區 丽水地区	71-9641-B
麗水市 丽水市	71-9737-B
麗江 丽江	71-9822-B
麗江古城 丽江古城	71-9906-B
麗江地區 丽江地区	71-9992-B
麗江市 丽江市	71-10085-B
麗江納西族自治縣 丽江纳西族自治县	71-10180-B
麗麗 丽丽	71-10318-B
麚	71-10367-S
麚 麚	71-10367-B
麛	71-10399-S
麛 麛	71-10399-B
麝	71-10442-S
麝 麝	71-10442-B
麝牛	71-10518-S
麝牛 麝牛	71-10518-B
麝香	71-10559-S
麝香 麝香	71-10559-B
麝香石竹	71-10599-S
麝香石竹 麝香石竹	71-10599-B
麝香草	71-10666-S
麝香草 麝香草	71-10666-B
麟	71-10718-S
麟 麟	71-10718-B
麟洛乡	71-10755-S
麟洛鄉 麟洛乡	71-10755-B
麟游	71-10918-S
麟游县	71-10977-S
麟經 麟经	71-10831-B
麟经	71-10831-S
麟遊 麟游	71-10918-B
麟遊縣 麟游县	71-10977-B
麤	71-11047-S
麤 麤	71-11047-B
麥 麦	71-11086-B
麥乳精 麦乳精	71-11162-B
麥克 麦克	71-11224-B
麥克斯韋 麦克斯韦	71-11279-B
麥克維 麦克维	71-11379-B
麥克阿瑟 麦克阿瑟	71-11440-B
麥克風 麦克风	71-11529-B
麥凱恩 麦凯恩	71-11596-B
麥加 麦加	71-11673-B
麥司卡林 麦司卡林	71-11740-B
麥哲倫 麦哲伦	71-11803-B
麥地那 麦地那	71-11868-B
麥子 麦子	71-11952-B
麥寮鄉 麦寮乡	71-11989-B
麥德林 麦德林	71-12068-B
麥德龍 麦德龙	71-12120-B
麥片 麦片	71-12208-B
麥當勞 麦当劳	71-12262-B
麥科裡 麦科里	71-12369-B
麥納麥 麦纳麦	71-12453-B
麥耞 麦耞	71-12529-B
麥肯錫 麦肯锡	71-12594-B
麥芽 麦芽	71-12656-B
麥芽糖 麦芽糖	71-12693-B
麥蓋提 麦盖提	71-12759-B
麥道 麦道	71-12834-B
麥酒 麦酒	71-12901-B
麥阿密 麦阿密	71-12938-B
麥霸 麦霸	71-12985-B
麥香堡 麦香堡	71-13118-B
麦	71-11086-S
麦乳精	71-11162-S
麦克	71-11224-S
麦克斯韦	71-11279-S
麦克维	71-11379-S
麦克阿瑟	71-11440-S
麦克风	71-11529-S
麦凯恩	71-11596-S
麦加	71-11673-S
麦司卡林	71-11740-S
麦哲伦	71-11803-S
麦地那	71-11868-S
麦子	71-11952-S
麦寮乡	71-11989-S
麦当劳	71-12262-S
麦德林	71-12068-S
麦德龙	71-12120-S
麦片	71-12208-S
麦盖提	71-12759-S
麦科里	71-12369-S
麦纳麦	71-12453-S
麦耞	71-12529-S
麦肯锡	71-12594-S
麦芽	71-12656-S
麦芽糖	71-12693-S
麦道	71-12834-S
麦酒	71-12901-S
麦阿密	71-12938-S
麦霸	71-12985-S
麦香堡	71-13118-S
麩 麸	71-13191-B
麮	71-13217-S
麮 麮	71-13217-B
麰	71-13247-S
麰 麰	71-13247-B
麴	71-13276-S
麴 麴	71-13276-B
麵 面	71-13381-B
麵兒 面儿	71-13418-B
麵包 面包	71-13464-B
麵包師傅 面包师傅	71-13504-B
麵包渣 面包渣	71-13565-B
麵包皮 面包皮	71-13622-B
麵包車 面包车	71-13672-B
麵條 面条	71-13754-B
麵條兒 面条儿	71-13797-B
麵粉 面粉	71-13872-B
麵糊 面糊	71-13912-B,71-13978-B
麵糰 面团	71-14023-B
麵類 面类	71-14064-B
麸	71-13191-S
麻	71-14122-S
麻 麻	71-14122-B
麻城	71-14217-S
麻城 麻城	71-14217-B
麻婆豆腐	71-14280-S
麻婆豆腐 麻婆豆腐	71-14280-B
麻子	71-14378-S
麻子 麻子	71-14378-B
麻将	71-14417-S
麻将牌	71-14459-S
麻將 麻将	71-14417-B
麻將牌 麻将牌	71-14459-B
麻州	71-14517-S
麻州 麻州	71-14517-B
麻布	71-14574-S
麻布 麻布	71-14574-B
麻木	71-14615-S
麻木 麻木	71-14615-B
麻栗坡	71-14651-S
麻栗坡 麻栗坡	71-14651-B
麻江	71-14721-S
麻江 麻江	71-14721-B
麻油	71-14786-S
麻油 麻油	71-14786-B
麻烦	71-14829-S
麻煩 麻烦	71-14829-B
麻瓜	71-14880-S
麻瓜 麻瓜	71-14880-B
麻生太郎	71-14969-S
麻生太郎 麻生太郎	71-14969-B
麻疹	71-15045-S
麻疹 麻疹	71-15045-B
麻痹	71-15085-S
麻痹 麻痹	71-15085-B
麻瘢	71-15151-S
麻瘢 麻瘢	71-15151-B
麻省理工学院	71-15193-S
麻省理工學院 麻省理工学院	71-15193-B
麻紗 麻纱	71-15316-B
麻絮	71-15371-S
麻絮 麻絮	71-15371-B
麻纱	71-15316-S
麻花	71-15415-S
麻花 麻花	71-15415-B
麻药	71-15555-S
麻藥 麻药	71-15555-B
麻衣	71-15598-S
麻衣 麻衣	71-15598-B
麻袋	71-15642-S
麻袋 麻袋	71-15642-B
麻豆鎮 麻豆镇	71-15704-B
麻豆镇	71-15704-S
麻酱	71-16088-S
麻醉	71-15775-S
麻醉 麻醉	71-15775-B
麻醉剂	71-15845-S
麻醉劑 麻醉剂	71-15845-B
麻醉学	71-15896-S
麻醉學 麻醉学	71-15896-B
麻醉药	71-15951-S
麻醉药品	71-16025-S
麻醉藥 麻醉药	71-15951-B
麻醉藥品 麻醉药品	71-16025-B
麻醬	71-16135-S
麻醬 麻酱	71-16088-B
麻醬 麻醬	71-16135-B
麻阳	71-16190-S
麻陽 麻阳	71-16190-B
麻雀	71-16264-S
麻雀 麻雀	71-16264-B
麻風 麻风	71-16312-B
麻風病 麻风病	71-16370-B
麻风	71-16312-S
麻风病	71-16370-S
麻黃 麻黄	71-16440-B
麻黄	71-16440-S
麼 么	71-16482-B
麽	71-16558-S
麽 么	71-16509-B
麽 麽	71-16558-B
麾	71-16597-S
麾 麾	71-16597-B
麿	71-16641-S
麿 麿	71-16641-B
黃 黄	71-16692-B
黃以靜 黄以静	71-16753-B
黃信 黄信	71-16874-B
黃克強 黄克强	71-16950-B
黃南州 黄南州	71-17035-B
黃南藏族自治州 黄南藏族自治州	71-17132-B
黃原膠 黄原胶	71-17272-B
黃原酸鹽 黄原酸盐	71-17394-B
黃嘌呤 黄嘌呤	71-17462-B
黃土 黄土	71-17519-B
黃土地 黄土地	71-17602-B
黃土地貌	71-17674-S
黃土地貌 黃土地貌	71-17674-B
黃土高原 黄土高原	71-17744-B
黃埔 黄埔	71-17834-B
黃埔軍校 黄埔军校	71-17896-B
黃宗羲 黄宗羲	71-17978-B
黃山 黄山	71-18049-B
黃山市 黄山市	71-18194-B
黃岡 黄冈	71-18324-B
黃岡市 黄冈市	71-18401-B
黃岩 黄岩	71-18489-B
黃岩島 黄岩岛	71-18556-B
黃島 黄岛	71-18643-B
黃島區 黄岛区	71-18732-B
黃州 黄州	71-18831-B
黃巢 黄巢	71-18920-B
黃巢起義 黄巢起义	71-18974-B
黃巾 黄巾	71-19079-B
黃巾之亂 黄巾之乱	71-19195-B
黃巾民變 黄巾民变	71-19324-B
黃巾起義 黄巾起义	71-19453-B
黃巾軍 黄巾军	71-19575-B
黃帝 黄帝	71-19648-B
黃帝族 黄帝族	71-19697-B
黃平 黄平	71-19773-B
黃庭堅 黄庭坚	71-19842-B
黃建南 黄建南	71-19919-B
黃忠 黄忠	71-20007-B
黃斑 黄斑	71-20063-B
黃昏 黄昏	71-20118-B
黃曲霉毒素 黄曲霉毒素	71-20176-B
黃梅 黄梅	71-20252-B
黃水 黄水	71-20317-B
黃水晶 黄水晶	71-20428-B
黃河 黄河	71-20539-B
黃河大合唱 黄河大合唱	71-20598-B
黃河流域 黄河流域	71-20720-B
黃油 黄油	71-20798-B
黃泉 黄泉	71-20840-B
黃浦 黄浦	71-20935-B
黃浦區 黄浦区	71-21032-B
黃浦江 黄浦江	71-21093-B
黃海 黄海	71-21168-B
黃滔 黄滔	71-21214-B
黃澄澄 黄澄澄	71-21269-B
黃熱病 黄热病	71-21335-B
黃熱病毒 黄热病毒	71-21394-B
黃父鬼 黄父鬼	71-21469-B
黃牌 黄牌	71-21526-B
黃牛 黄牛	71-21604-B
黃牛票 黄牛票	71-21710-B
黃玉 黄玉	71-21773-B
黃瓜 黄瓜	71-21813-B
黃疸 黄疸	71-21857-B
黃石 黄石	71-21901-B
黃石公 黄石公	71-21976-B
黃石市 黄石市	71-22057-B
黃種人 黄种人	71-22143-B
黃膠 黄胶	71-22203-B
黃興 黄兴	71-22316-B
黃色 黄色	71-22375-B
黃色炸藥 黄色炸药	71-22429-B
黃花	71-22507-S
黃花 黃花	71-22507-B
黃花女 黄花女	71-22600-B
黃花崗 黄花岗	71-22659-B
黃花崗七十二烈士 黄花岗七十二烈士	71-22753-B
黃花崗起義 黄花岗起义	71-22925-B
黃花幼女 黄花幼女	71-23046-B
黃花閨女 黄花闺女	71-23116-B
黃花魚 黄花鱼	71-23186-B
黃荳 黄豆	71-23261-B
黃薑 黄姜	71-23305-B
黃蜂 黄蜂	71-23351-B
黃褐色 黄褐色	71-23392-B
黃賓虹 黄宾虹	71-23446-B
黃赤色 黄赤色	71-23507-B
黃道 黄道	71-23578-B
黃道十二宮 黄道十二宫	71-23658-B
黃遵憲 黄遵宪	71-23821-B
黃酒 黄酒	71-23894-B
黃酶 黄酶	71-23959-B
黃金 黄金	71-24008-B
黃金分割 黄金分割	71-24048-B
黃金周 黄金周	71-24132-B
黃金寶 黄金宝	71-24255-B
黃金輝 黄金辉	71-24313-B
黃金週	71-24371-S
黃金週 黃金週	71-24371-B
黃銅 黄铜	71-24494-B
黃鐵礦 黄铁矿	71-24536-B
黃長燁 黄长烨	71-24591-B
黃陵 黄陵	71-24653-B
黃頁 黄页	71-24722-B
黃飛鴻 黄飞鸿	71-24769-B
黃餅 黄饼	71-24830-B
黃驊 黄骅	71-24877-B
黃骨髓 黄骨髓	71-24941-B
黃體 黄体	71-25014-B
黃體期 黄体期	71-25112-B
黃魚 黄鱼	71-25240-B
黃鱔 黄鳝	71-25296-B
黃鴨 黄鸭	71-25342-B
黃鵬 黄鹏	71-25440-B
黃鶯 黄莺	71-25522-B
黃鶴樓 黄鹤楼	71-25597-B
黃鸝 黄鹂	71-25693-B
黃麻 黄麻	71-25761-B
黃鼠狼 黄鼠狼	71-25864-B
黃鼠狼給雞拜年 黄鼠狼给鸡拜年	71-25964-B
黃鼬 黄鼬	71-26164-B
黃龍 黄龙	71-26252-B
黄	71-16692-S
黄以静	71-16753-S
黄体	71-25014-S
黄体期	71-25112-S
黄信	71-16874-S
黄克强	71-16950-S
黄兴	71-22316-S
黄冈	71-18324-S
黄冈市	71-18401-S
黄南州	71-17035-S
黄南藏族自治州	71-17132-S
黄原胶	71-17272-S
黄原酸盐	71-17394-S
黄嘌呤	71-17462-S
黄土	71-17519-S
黄土地	71-17602-S
黄土高原	71-17744-S
黄埔	71-17834-S
黄埔军校	71-17896-S
黄姜	71-23305-S
黄宗羲	71-17978-S
黄宾虹	71-23446-S
黄山	71-18049-S
黄山市	71-18194-S
黄岛	71-18643-S
黄岛区	71-18732-S
黄岩	71-18489-S
黄岩岛	71-18556-S
黄州	71-18831-S
黄巢	71-18920-S
黄巢起义	71-18974-S
黄巾	71-19079-S
黄巾之乱	71-19195-S
黄巾军	71-19575-S
黄巾民变	71-19324-S
黄巾起义	71-19453-S
