服务业	32-43144-S
李斯特	33-2977-S
李斯特 李斯特	33-2977-B
李斯特氏杆菌	33-3051-S
李斯特氏桿菌 李斯特氏杆菌	33-3051-B
李斯特氏菌	33-3143-S
李斯特氏菌 李斯特氏菌	33-3143-B
李斯特菌	33-3224-S
李斯特菌 李斯特菌	33-3224-B
李时珍	33-3472-S
李昉	33-3298-S
李昉 李昉	33-3298-B
李昌鎬 李昌镐	33-3349-B
李昌镐	33-3349-S
李明博	33-3407-S
李明博 李明博	33-3407-B
李显龙	33-6121-S
李時珍 李时珍	33-3472-B
李會昌 李会昌	33-3542-B
李朝威	33-3601-S
李朝威 李朝威	33-3601-B
李林甫	33-3672-S
李林甫 李林甫	33-3672-B
李树	33-3798-S
李格非	33-3730-S
李格非 李格非	33-3730-B
李樹 李树	33-3798-B
李氏	33-3840-S
李氏 李氏	33-3840-B
李氏朝鮮 李氏朝鲜	33-3913-B
李氏朝鲜	33-3913-S
李汝珍	33-4017-S
李汝珍 李汝珍	33-4017-B
李沧	33-4264-S
李沧区	33-4349-S
李泽楷	33-4496-S
李洪志	33-4086-S
李洪志 李洪志	33-4086-B
李淵 李渊	33-4141-B
李清照	33-4192-S
李清照 李清照	33-4192-B
李渊	33-4141-S
李渔	33-4444-S
李滄 李沧	33-4264-B
李滄區 李沧区	33-4349-B
李漁 李渔	33-4444-B
李澤楷 李泽楷	33-4496-B
李煜	33-4549-S
李煜 李煜	33-4549-B
李玟	33-4599-S
李玟 李玟	33-4599-B
李瑞环	33-4640-S
李瑞環 李瑞环	33-4640-B
李登輝 李登辉	33-4695-B
李登辉	33-4695-S
李白	33-4760-S
李白 李白	33-4760-B
李百药	33-4809-S
李百藥 李百药	33-4809-B
李約瑟 李约瑟	33-4872-B
李綠園 李绿园	33-4929-B
李維 李维	33-4995-B
李維史陀 李维史陀	33-5062-B
李纓 李缨	33-5154-B
李约瑟	33-4872-S,33-5203-S
李约瑟 李约瑟	33-5203-B
李维	33-4995-S
李维史陀	33-5062-S
李绿园	33-4929-S
李缨	33-5154-S
李群	33-5272-S
李群 李群	33-5272-B
李翱	33-5322-S
李翱 李翱	33-5322-B
李肇	33-5449-S
李肇星	33-5369-S
李肇星 李肇星	33-5369-B
李肈 李肇	33-5449-B
李自成	33-5499-S
李自成 李自成	33-5499-B
李英儒	33-5566-S
李英儒 李英儒	33-5566-B
李賀 李贺	33-5631-B
李贄 李贽	33-5677-B
李贺	33-5631-S
李贽	33-5677-S
李远哲	33-5728-S
李遠哲 李远哲	33-5728-B
李鐵 李铁	33-5784-B
李铁	33-5784-S
李長春 李长春	33-5847-B
李长春	33-5847-S
李開復 李开复	33-5914-B
李陵	33-5975-S
李陵 李陵	33-5975-B
李雪健	33-6025-S
李雪健 李雪健	33-6025-B
李靖	33-6080-S
李靖 李靖	33-6080-B
李顯龍 李显龙	33-6121-B
李鴻章 李鸿章	33-6182-B
李鵬 李鹏	33-6270-B
李鸿章	33-6182-S
李鹏	33-6270-S
李麗珊 李丽珊	33-6319-B
杏	33-6375-S
杏 杏	33-6375-B
杏仁	33-6406-S
杏仁 杏仁	33-6406-B
杏仁豆腐	33-6455-S
杏仁豆腐 杏仁豆腐	33-6455-B
杏子	33-6523-S
杏子 杏子	33-6523-B
杏林	33-6563-S
杏林 杏林	33-6563-B
杏林区	33-6681-S
杏林區 杏林区	33-6681-B
杏树	33-6832-S
杏樹 杏树	33-6832-B
杏花	33-6879-S
杏花 杏花	33-6879-B
杏花村	33-6930-S
杏花村 杏花村	33-6930-B
材	33-7003-S
材 材	33-7003-B
材料	33-7056-S
材料 材料	33-7056-B
材料学	33-7118-S
材料學 材料学	33-7118-B
材料科学	33-7180-S
材料科學 材料科学	33-7180-B
材积	33-7253-S
材積 材积	33-7253-B
村	33-7292-S
村 村	33-7292-B
村上・春树	33-7322-S
村上・春樹 村上・春树	33-7322-B
村子	33-7413-S
村子 村子	33-7413-B
村山富市	33-7452-S
村山富市 村山富市	33-7452-B
村庄	33-7600-S
村民	33-7558-S
村民 村民	33-7558-B
村莊 村庄	33-7600-B
村落	33-7651-S
村落 村落	33-7651-B
村鎮 村镇	33-7692-B
村镇	33-7692-S
村長 村长	33-7741-B
村长	33-7741-S
杓	33-7803-S,33-7833-S
杓 杓	33-7803-B,33-7833-B
杓子	33-7862-S
杓子 杓子	33-7862-B
杓球场	33-7900-S
杓球場 杓球场	33-7900-B
杕	33-7959-S
杕 杕	33-7959-B
杖	33-7999-S
杖 杖	33-7999-B
杖头木偶	33-8056-S
杖頭木偶 杖头木偶	33-8056-B
杗	33-8136-S
杗 杗	33-8136-B
杙	33-8178-S
杙 杙	33-8178-B
杜	33-8226-S
杜 杜	33-8226-B
杜仲	33-8321-S
杜仲 杜仲	33-8321-B
杜伊斯堡	33-8388-S
杜伊斯堡 杜伊斯堡	33-8388-B
杜口	33-8459-S
杜口 杜口	33-8459-B
杜口裹足	33-8508-S
杜口裹足 杜口裹足	33-8508-B
杜塞	33-8592-S
杜塞 杜塞	33-8592-B
杜塞尔多夫	33-8640-S
杜塞爾多夫 杜塞尔多夫	33-8640-B
杜威	33-8725-S
杜威 杜威	33-8725-B
杜宇	33-8772-S
杜宇 杜宇	33-8772-B
杜尚別 杜尚别	33-8838-B
杜尚别	33-8838-S
杜布罗夫尼克	33-8916-S
杜布羅夫尼克 杜布罗夫尼克	33-8916-B
杜康	33-9016-S
杜康 杜康	33-9016-B
杜拜	33-9057-S
杜拜 杜拜	33-9057-B
杜撰	33-9095-S
杜撰 杜撰	33-9095-B
杜本內 杜本内	33-9166-B
杜本内	33-9166-S
杜松子酒	33-9263-S
杜松子酒 杜松子酒	33-9263-B
杜梨	33-9321-S
杜棃 杜梨	33-9321-B
杜氏腺	33-9374-S
杜氏腺 杜氏腺	33-9374-B
杜氏腺体	33-9469-S
杜氏腺體 杜氏腺体	33-9469-B
杜渐防萌	33-9574-S
杜漸防萌 杜渐防萌	33-9574-B
杜牧	33-9649-S
杜牧 杜牧	33-9649-B
杜甫	33-9714-S
杜甫 杜甫	33-9714-B
杜甫草堂	33-9761-S
杜甫草堂 杜甫草堂	33-9761-B
杜秋娘歌	33-9851-S
杜秋娘歌 杜秋娘歌	33-9851-B
杜絕 杜绝	33-9926-B
杜绝	33-9926-S
杜荀鶴 杜荀鹤	33-9972-B
杜荀鹤	33-9972-S
杜莎夫人	33-10033-S
杜莎夫人 杜莎夫人	33-10033-B
杜蘅	33-10114-S
杜蘅 杜蘅	33-10114-B
杜衡	33-10183-S
杜衡 杜衡	33-10183-B
杜邦	33-10252-S
杜邦 杜邦	33-10252-B
杜門 杜门	33-10292-B
杜門不出 杜门不出	33-10354-B
杜门	33-10292-S
杜门不出	33-10354-S
杜鵑 杜鹃	33-10466-B
杜鵑啼血 杜鹃啼血	33-10590-B
杜鵑座 杜鹃座	33-10689-B
杜鵑花 杜鹃花	33-10756-B
杜鵑鳥 杜鹃鸟	33-10807-B
杜鹃	33-10466-S
杜鹃啼血	33-10590-S
杜鹃座	33-10689-S
杜鹃花	33-10756-S
杜鹃鸟	33-10807-S
杝	33-10859-S
杝 杝	33-10859-B
杞	33-10887-S
杞 杞	33-10887-B
杞人忧天	33-10940-S
杞人憂天 杞人忧天	33-10940-B
杞县	33-11146-S
杞国	33-11063-S
杞國 杞国	33-11063-B
杞縣 杞县	33-11146-B
束	33-11198-S
束 束	33-11198-B
束之高閣 束之高阁	33-11264-B
束之高阁	33-11264-S
束发	33-12542-S
束带	33-11410-S
束帶 束带	33-11410-B
束手	33-11474-S
束手 束手	33-11474-B
束手就擒	33-11573-S
束手就擒 束手就擒	33-11573-B
束手就斃 束手就毙	33-11667-B
束手就毙	33-11667-S
束手待斃 束手待毙	33-11757-B
束手待死	33-11847-S
束手待死 束手待死	33-11847-B
束手待毙	33-11757-S
束手无策	33-11937-S
束手無策 束手无策	33-11937-B
束狭	33-12112-S
束狹 束狭	33-12112-B
束紧	33-12179-S
束緊 束紧	33-12179-B
束縛 束缚	33-12225-B
束缚	33-12225-S
束脩	33-12299-S
束脩 束脩	33-12299-B
束腰	33-12358-S
束腰 束腰	33-12358-B
束装	33-12398-S
束裝 束装	33-12398-B
束身	33-12481-S
束身 束身	33-12481-B
束髮 束发	33-12542-B
杠	34-45644-S,34-45691-S
杠刀	34-45843-S
杠夫	34-45911-S
杠头	34-46253-S
杠子	34-45971-S
杠杆	34-46033-S
杠荡	34-46129-S
杠铃	34-46181-S
条	34-13801-S
条件	34-13909-S
条例	34-13974-S
条子	34-14030-S
条幅	34-14091-S
条幅广告	34-14177-S
条形	34-14254-S
条形燃料	34-14303-S
条形码	34-14371-S
条文	34-14424-S
条板箱	34-14499-S
条款	34-14552-S
条理	34-14615-S
条目	34-14675-S
条码	34-14772-S
条约	34-14813-S
条纹	34-14859-S
来	5-16905-S
来不及	5-16975-S
来临	5-18893-S
来义乡	5-18819-S
来信	5-17078-S
来凤	5-19755-S
来函	5-17146-S
来到	5-17227-S
来华	5-19026-S
来历	5-18278-S
来历不明	5-18337-S
来去无踪	5-17278-S
来回	5-17354-S
来回来去	5-17460-S
来回来去地	5-17556-S
来复枪	5-17932-S
来复线	5-18028-S
来安	5-17642-S
来客	5-17702-S
来宾	5-19422-S,5-19469-S
来宾市	5-19542-S
来年	5-17740-S
来往	5-17800-S
来得及	5-17849-S
来日方长	5-18148-S
来源	5-18409-S
来火	5-18478-S
来火儿	5-18524-S
来生	5-18579-S
来看	5-18624-S
来着	5-19119-S
来福枪	5-18723-S
来自	5-18947-S
来苏糖	5-19194-S
来访	5-19261-S
来说	5-19307-S
来路不明	5-19626-S
来鸿	5-19818-S
来鸿去燕	5-19900-S
来龙去脉	5-19976-S
杨	34-27196-S
杨业	34-28368-S
杨亿	34-27296-S
杨俊	34-27239-S
杨凝式	34-27348-S
杨坚	34-27472-S
杨守仁	34-27555-S
杨宝森	34-27683-S
杨家将	34-27626-S
杨尚昆	34-27752-S
杨开慧	34-29508-S
杨振宁	34-27870-S
杨斌	34-27932-S
杨月清	34-27975-S
杨柳	34-28034-S
杨树	34-28461-S
杨桃	34-28123-S
杨梅	34-28188-S
杨梅镇	34-28250-S
杨森	34-28325-S
杨洁篪	34-28668-S
杨浦区	34-28538-S
杨深秀	34-28609-S
杨澄中	34-28733-S
杨玉环	34-28810-S
杨百翰	34-28912-S
杨百翰大学	34-28971-S
杨福家	34-29062-S
杨秀清	34-29125-S
杨维	34-29184-S
杨致远	34-29239-S
杨虎城	34-29304-S
杨贵妃	34-29363-S
杨锐	34-29465-S
杨陵区	34-29577-S
杩	34-40357-S
杪	33-12602-S
杪 杪	33-12602-B
杭	33-12649-S
杭 杭	33-12649-B
杭丁頓舞蹈症 杭丁顿舞蹈症	33-12694-B
杭丁顿舞蹈症	33-12694-S
杭州	33-12795-S
杭州 杭州	33-12795-B
杭州市	33-12908-S
杭州市 杭州市	33-12908-B
杭州湾	33-13032-S
杭州灣 杭州湾	33-13032-B
杭錦後旗 杭锦后旗	33-13091-B
杭錦旗 杭锦旗	33-13189-B
杭锦后旗	33-13091-S
杭锦旗	33-13189-S
杯	33-13274-S
杯 杯	33-13274-B
杯垫	33-13329-S
杯墊 杯垫	33-13329-B
杯子	33-13388-S
杯子 杯子	33-13388-B
杯弓蛇影	33-13429-S
杯弓蛇影 杯弓蛇影	33-13429-B
杯托	33-13591-S
杯托 杯托	33-13591-B
杯水車薪 杯水车薪	33-13633-B
杯水车薪	33-13633-S
杯盘狼藉	33-13788-S
杯盤狼藉 杯盘狼藉	33-13788-B
杯葛	33-13925-S
杯葛 杯葛	33-13925-B
杯酒释兵权	33-13968-S
杯酒釋兵權 杯酒释兵权	33-13968-B
杰	6-27045-S
杰伊汉港	6-27079-S
杰佛兹	6-27170-S
杰作	6-27255-S
杰克森	6-27300-S
杰出	6-27358-S
杰夫	6-27403-S
杰弗逊	6-27456-S
杰弗里乔叟	6-27509-S
杰拉	6-27608-S
杰米	6-27662-S
杰里科	6-27704-S
杰里米	6-27774-S
東 东	33-14222-B
東一榔頭西一棒子 东一榔头西一棒子	33-14314-B
東中國海 东中国海	33-14474-B
東亞 东亚	33-14547-B
東亞銀行 东亚银行	33-14590-B
東交民巷 东交民巷	33-14664-B
東京 东京	33-14823-B
東京帝國大學 东京帝国大学	33-14866-B
東京灣 东京湾	33-15007-B
東倒西歪 东倒西歪	33-15065-B
東光 东光	33-15179-B
東勝 东胜	33-15246-B
東勢鄉 东势乡	33-15321-B
東勢鎮 东势镇	33-15401-B
東北 东北	33-15477-B
東北大學 东北大学	33-15521-B
東北方 东北方	33-15611-B
東北虎 东北虎	33-15680-B
東區 东区	33-15735-B
東半球 东半球	33-15821-B
東南 东南	33-15903-B
東南亞 东南亚	33-15947-B
東南亞國 东南亚国	33-16006-B
東南亞國家聯盟 东南亚国家联盟	33-16076-B
東南大學 东南大学	33-16213-B
東南部 东南部	33-16289-B
東印度公司 东印度公司	33-16348-B
東台 东台	33-16433-B
東君 东君	33-16497-B
