庆历新政	25-52292-S
异亮氨酸	43-60280-S
异体	43-64136-S
异体字	43-64205-S
异像	43-60353-S
异军突起	43-63720-S
异化作用	43-60407-S
异卵双胞胎	43-60484-S
异口同声	43-60569-S
异咯嗪	43-60648-S
异国	43-60731-S
异域	43-60778-S
异常	43-60836-S
异形	43-60902-S
异彩	43-60974-S
异心	43-61029-S
异心坏心	43-61109-S
异性	43-61182-S
异性性接触	43-61268-S
异性恋	43-61352-S
异想天开	43-61431-S
异戊二烯	43-61539-S
异戊橡胶	43-61599-S
异教	43-61671-S
异教徒	43-61722-S
异文	43-61823-S
异文鄙事	43-61942-S
异族	43-62035-S
异构体	43-62082-S
异样	43-62131-S
异步	43-62184-S
异步传输模式	43-62228-S
异母	43-62335-S
异源多倍体	43-62406-S
异焉	43-62535-S
异物	43-62592-S
异状	43-62713-S
异种	43-62782-S
异端	43-62832-S
异端者	43-62872-S
异能	43-62975-S
异见	43-63027-S
异见者	43-63084-S
异言	43-63138-S
异议	43-63187-S
异议人士	43-63236-S
异议分子	43-63299-S
异议者	43-63381-S
异读	43-63443-S
异质	43-63548-S
异质体	43-63670-S
异质网路	43-63594-S
异频雷达收发机	43-63944-S
异香	43-64089-S
弃	34-18065-S
弃世	34-18136-S
弃婴	34-18195-S
弃旧图新	34-18590-S
弃权	34-18371-S
弃核	34-18264-S
弃樱	34-18323-S
弃绝	34-18479-S
弃置	34-18533-S
弃邪归正	34-18667-S
弄	23-23289-S,23-23323-S
弄 弄	23-23289-B,23-23323-B
弄不清	23-23430-S
弄不清 弄不清	23-23430-B
弄假成真	23-23495-S
弄假成真 弄假成真	23-23495-B
弄到	23-23627-S
弄到 弄到	23-23627-B
弄到手	23-23707-S
弄到手 弄到手	23-23707-B
弄坏	23-23836-S
弄壞 弄坏	23-23836-B
弄平	23-23897-S
弄平 弄平	23-23897-B
弄明白	23-23940-S
弄明白 弄明白	23-23940-B
弄歪	23-24019-S
弄歪 弄歪	23-24019-B
弄清	23-24061-S
弄清 弄清	23-24061-B
弄皱	23-24127-S
弄皺 弄皱	23-24127-B
弄直	23-24170-S
弄直 弄直	23-24170-B
弄短	23-24215-S
弄短 弄短	23-24215-B
弄碎	23-24269-S
弄碎 弄碎	23-24269-B
弄糟	23-24311-S
弄糟 弄糟	23-24311-B
弄脏	23-24541-S
弄虚作假	23-24351-S
弄虛作假 弄虚作假	23-24351-B
弄錯 弄错	23-24450-B
弄错	23-24450-S
弄髒 弄脏	23-24541-B
弇	23-24589-S
弇 弇	23-24589-B
弈	23-24625-S
弈 弈	23-24625-B
弊	23-24687-S
弊 弊	23-24687-B
弊病	23-24736-S
弊病 弊病	23-24736-B
弊端	23-24815-S
弊端 弊端	23-24815-B
弋	23-24883-S
弋 弋	23-24883-B
弋阳	23-24913-S
弋阳县	23-24986-S
弋陽 弋阳	23-24913-B
弋陽縣 弋阳县	23-24986-B
弌	23-25071-S
弌 弌	23-25071-B
弍	23-25147-S
弍 弍	23-25147-B
弎	23-25195-S
弎 弎	23-25195-B
式	23-25244-S
式 式	23-25244-B
式子	23-25290-S
式子 式子	23-25290-B
式样	23-25353-S
式樣 式样	23-25353-B
弐	23-25393-S
弐 弐	23-25393-B
弑	23-25442-S
弑父	23-25482-S
弒 弑	23-25442-B
弒父 弑父	23-25482-B
弓	23-25549-S
弓 弓	23-25549-B
弓弦	23-25600-S
弓弦 弓弦	23-25600-B
弓弦儿	23-25645-S
弓弦兒 弓弦儿	23-25645-B
弓弩	23-25699-S
弓弩 弓弩	23-25699-B
弓弩手	23-25741-S
弓弩手 弓弩手	23-25741-B
弓形	23-25795-S
弓形 弓形	23-25795-B
弓状	23-25847-S
弓狀 弓状	23-25847-B
弓箭	23-25908-S
弓箭 弓箭	23-25908-B
弓箭手	23-25957-S
弓箭手 弓箭手	23-25957-B
弓箭步	23-26011-S
弓箭步 弓箭步	23-26011-B
弓腰	23-26088-S
弓腰 弓腰	23-26088-B
弓身	23-26150-S
弓身 弓身	23-26150-B
弔 吊	23-26222-B
弔古 吊古	23-26300-B
弔唁 吊唁	23-26368-B
弔喪 吊丧	23-26457-B
弔孝 吊孝	23-26523-B
弔客 吊客	23-26577-B
弔慰 吊慰	23-26641-B
弔文 吊文	23-26720-B
弔死問疾 吊死问疾	23-26799-B
弔民伐罪 吊民伐罪	23-26935-B
弔祭 吊祭	23-27034-B
弔詭 吊诡	23-27144-B
弔詭矜奇 吊诡矜奇	23-27253-B
引	23-27332-S
引 引	23-27332-B
引产	23-29782-S
引人入勝	23-27516-S
引人入胜 引人入勝	23-27516-B
引人注意	23-27595-S
引人注意 引人注意	23-27595-B
引人注目	23-27695-S
引人注目 引人注目	23-27695-B
引信	23-27795-S
引信 引信	23-27795-B
引信系統 引信系统	23-27840-B
引信系统	23-27840-S
引入	23-27909-S
引入 引入	23-27909-B
引出	23-27967-S
引出 引出	23-27967-B
引別 引别	23-28008-B
引别	23-28008-S
引力	23-28065-S
引力 引力	23-28065-B
引力场	23-28128-S
引力場 引力场	23-28128-B
引力波	23-28193-S
引力波 引力波	23-28193-B
引发	23-30122-S
引叙	23-28916-S
引号	23-30625-S
引向	23-28254-S
引向 引向	23-28254-B
引吭高歌	23-28297-S
引吭高歌 引吭高歌	23-28297-B
引咎	23-28402-S
引咎 引咎	23-28402-B
引嫌	23-28488-S
引嫌 引嫌	23-28488-B
引子	23-28551-S
引子 引子	23-28551-B
引导	23-28589-S
引导扇区	23-28663-S
引導 引导	23-28589-B
引導扇區 引导扇区	23-28663-B
引征	23-28784-S
引得	23-28730-S
引得 引得	23-28730-B
引徵 引征	23-28784-B
引擎	23-28857-S
引擎 引擎	23-28857-B
引敘 引叙	23-28916-B
引文	23-28977-S
引文 引文	23-28977-B
引柴	23-29029-S
引柴 引柴	23-29029-B
引水工程	23-29090-S
引水工程 引水工程	23-29090-B
引渡	23-29177-S
引渡 引渡	23-29177-B
引火	23-29222-S
引火 引火	23-29222-B
引火柴	23-29281-S
引火柴 引火柴	23-29281-B
引爆	23-29335-S
引爆 引爆	23-29335-B
引爆装置	23-29407-S
引爆裝置 引爆装置	23-29407-B
引狗入寨	23-29475-S
引狗入寨 引狗入寨	23-29475-B
引狼入室	23-29630-S
引狼入室 引狼入室	23-29630-B
引產 引产	23-29782-B
引用	23-29845-S
引用 引用	23-29845-B
引用句	23-29890-S
引用句 引用句	23-29890-B
引申	23-29944-S
引申 引申	23-29944-B
引申义	23-30028-S
引申義 引申义	23-30028-B
引發 引发	23-30122-B
引線 引线	23-30179-B
引線穿針 引线穿针	23-30269-B
引线	23-30179-S
引线穿针	23-30269-S
引而不发	23-30388-S
引而不發 引而不发	23-30388-B
引荐	23-30579-S
引薦 引荐	23-30579-B
引號 引号	23-30625-B
引言	23-30682-S
引言 引言	23-30682-B
引誘 引诱	23-30737-B
引語 引语	23-30836-B
引證 引证	23-30878-B
引证	23-30878-S
引语	23-30836-S
引诱	23-30737-S
引起	23-30950-S
引起 引起	23-30950-B
引路	23-31028-S
引路 引路	23-31028-B
引車 引车	23-31085-B
引车	23-31085-S
引进	23-31240-S
引述	23-31132-S
引述 引述	23-31132-B
引逗	23-31174-S
引逗 引逗	23-31174-B
引進 引进	23-31240-B
引領 引领	23-31308-B
引领	23-31308-S
引鬼上門 引鬼上门	23-31361-B
引鬼上门	23-31361-S
弗	23-31531-S
弗 弗	23-31531-B
弗兰克	23-32436-S
弗兰兹	23-32491-S
弗兰西斯	23-32546-S
弗兰西斯・培根	23-32613-S
弗吉尼亚州	23-31556-S
弗吉尼亞州 弗吉尼亚州	23-31556-B
弗塞奇	23-31628-S
弗塞奇 弗塞奇	23-31628-B
弗愛 弗爱	23-31697-B
弗拉基米尔	23-31752-S
弗拉基米爾 弗拉基米尔	23-31752-B
弗洛伊德	23-31822-S
弗洛伊德 弗洛伊德	23-31822-B
弗洛姆	23-31929-S
弗洛姆 弗洛姆	23-31929-B
弗洛裡斯島 弗洛里斯岛	23-31993-B
弗洛里斯岛	23-31993-S
弗爱	23-31697-S
弗罗里达	23-32070-S
弗罗里达州	23-32130-S
弗羅裡達 弗罗里达	23-32070-B
弗羅裡達州 弗罗里达州	23-32130-B
弗莱威厄斯	23-32265-S
弗莱福兰	23-32202-S
弗莱福蘭 弗莱福兰	23-32202-B
弗萊威厄斯 弗莱威厄斯	23-32265-B
弗落伊德	23-32371-S
弗落伊德 弗落伊德	23-32371-B
弗蘭克 弗兰克	23-32436-B
弗蘭茲 弗兰兹	23-32491-B
弗蘭西斯 弗兰西斯	23-32546-B
弗蘭西斯・培根 弗兰西斯・培根	23-32613-B
弗裡得裡希 弗里得里希	23-32722-B
弗裡敦 弗里敦	23-32800-B
弗迪南	23-32877-S
弗迪南 弗迪南	23-32877-B
弗里得里希	23-32722-S
弗里敦	23-32800-S
弗里斯兰	23-32936-S
弗里斯蘭 弗里斯兰	23-32936-B
弗雷	23-32998-S
弗雷 弗雷	23-32998-B
弗雷德裡克 弗雷德里克	23-33061-B
弗雷德裡克頓 弗雷德里克顿	23-33133-B
弗雷德里克	23-33061-S
弗雷德里克顿	23-33133-S
弘	23-33218-S
弘 弘	23-33218-B
弛	23-33255-S
弛 弛	23-33255-B
弛緩 弛缓	23-33313-B
弛缓	23-33313-S
弝	23-33410-S
弝 弝	23-33410-B
弟	23-33471-S,23-33546-S
弟 弟	23-33471-B,23-33546-B
弟兄	23-33582-S
弟兄 弟兄	23-33582-B
弟兄们	23-33624-S
弟兄們 弟兄们	23-33624-B
弟妇	23-33758-S
弟妹	23-33677-S
弟妹 弟妹	23-33677-B
弟婦 弟妇	23-33758-B
弟媳	23-33827-S
弟媳 弟媳	23-33827-B
弟子	23-33895-S
弟子 弟子	23-33895-B
弟弟	23-33944-S
弟弟 弟弟	23-33944-B
张	23-37251-S,23-37289-S
张丹	23-37377-S
张之洞	23-37422-S
张伯伦	23-37495-S
张作霖	23-37552-S
张僧繇	23-37626-S
张北	23-37706-S
张华	23-41393-S
张华光	23-41448-S
张华明	23-41525-S
张口	23-37771-S
张口结舌	23-37900-S
张国焘	23-38096-S
张国荣	23-38035-S
张大千	23-38167-S
张太雷	23-38226-S
张学友	23-38297-S
张学良	23-38381-S
张宁	23-39321-S
张宝	23-39368-S
张家口	23-38487-S
张家口地区	23-38576-S
张家口市	23-38687-S
张家川回族自治县	23-38787-S
张家港	23-38935-S
张家港市	23-39028-S
张家界	23-39132-S
张家界市	23-39221-S
张岱	23-39413-S
张廷玉	23-39473-S
张开	23-41955-S
张志新	23-39544-S
张怡	23-39647-S
张怡宁	23-39702-S
张惠妹	23-39761-S
张扬	23-40136-S
张择端	23-40193-S
张掖	23-39884-S
张掖地区	23-39957-S
张掖市	23-40052-S
张旭	23-40264-S
张春帆	23-40336-S
张春桥	23-40405-S
张曼玉	23-40480-S
张望	23-40539-S
张治中	23-40592-S
张灯结彩	23-40655-S
张爱玲	23-39813-S
张牙舞爪	23-40760-S
张献忠	23-40845-S
张秋	23-40910-S
张籍	23-40983-S
张纯如	23-41036-S
张罗	23-41105-S
张自忠	23-41262-S
张艺谋	23-41600-S
张若虚	23-41323-S
张衡	23-41681-S
张角	23-41784-S
张贴	23-41836-S
张量	23-41903-S
张闻天	23-41201-S
张震	23-41998-S
张飞	23-42053-S
张骞	23-42108-S
弢	23-33990-S
弢 弢	23-33990-B
弣	23-34030-S
弣 弣	23-34030-B
弤	23-34065-S
弤 弤	23-34065-B
弥	23-50522-S,40-16483-S
弥勒	23-50577-S
弥勒佛	23-50710-S
弥勒菩萨	23-50830-S
弥合	23-50902-S
弥天	23-50971-S
弥天大谎	23-51055-S
弥封	23-51142-S
弥撒	23-51231-S
弥散	23-51277-S
弥月	23-51343-S
弥望	23-51446-S
弥渡	23-51491-S
