恩 恩	25-1539-B
意願 意愿	25-30673-B
愐	25-30735-S
愐 愐	25-30735-B
愒	25-30762-S
愒 愒	25-30762-B
愓	25-30794-S
愓 愓	25-30794-B
愔	25-30828-S
愔 愔	25-30828-B
愕	25-30866-S
愕 愕	25-30866-B
愙 恪	25-30895-B
愚	25-30958-S
愚 愚	25-30958-B
愚不可及	25-30986-S
愚不可及 愚不可及	25-30986-B
愚人	25-31055-S
愚人 愚人	25-31055-B
愚人節 愚人节	25-31111-B
愚人節快樂 愚人节快乐	25-31171-B
愚人节	25-31111-S
愚人节快乐	25-31171-S
愚公移山	25-31263-S
愚公移山 愚公移山	25-31263-B
愚妄	25-31419-S
愚妄 愚妄	25-31419-B
愚弄	25-31472-S
愚弄 愚弄	25-31472-B
愚意	25-31528-S
愚意 愚意	25-31528-B
愚懦	25-31602-S
愚懦 愚懦	25-31602-B
愚拙	25-31652-S
愚拙 愚拙	25-31652-B
愚昧	25-31703-S
愚昧 愚昧	25-31703-B
愚昧无知	25-31755-S
愚昧無知 愚昧无知	25-31755-B
愚民	25-31841-S
愚民 愚民	25-31841-B
愚氓	25-31884-S
愚氓 愚氓	25-31884-B
愚矇 愚蒙	25-31936-B
愚笨	25-31989-S
愚笨 愚笨	25-31989-B
愚蒙	25-31936-S
愚蠢	25-32028-S
愚蠢 愚蠢	25-32028-B
愚見 愚见	25-32074-B
愚见	25-32074-S
愚陋	25-32150-S
愚陋 愚陋	25-32150-B
愚頑 愚顽	25-32204-B
愚顽	25-32204-S
愚魯 愚鲁	25-32258-B
愚鲁	25-32258-S
愛 爱	25-32320-B
愛丁堡 爱丁堡	25-32381-B
愛上 爱上	25-32435-B
愛不釋手 爱不释手	25-32509-B
愛之如命 爱之如命	25-32627-B
愛人 爱人	25-32736-B
愛人如己 爱人如己	25-32798-B
愛克斯光 爱克斯光	25-32870-B
愛克斯射線 爱克斯射线	25-32955-B
愛問 爱问	25-33035-B
愛因斯坦 爱因斯坦	25-33076-B
愛國 爱国	25-33157-B
愛國主義 爱国主义	25-33226-B
愛國如家 爱国如家	25-33290-B
愛國者 爱国者	25-33415-B
愛奧華 爱奥华	25-33466-B
愛奧華州 爱奥华州	25-33524-B
愛奴 爱奴	25-33583-B
愛奴人 爱奴人	25-33619-B
愛好 爱好	25-33666-B
愛好者 爱好者	25-33749-B
愛屋及烏 爱屋及乌	25-33806-B
愛屋及鳥 爱屋及鸟	25-33955-B
愛崗敬業 爱岗敬业	25-34143-B
愛州 爱州	25-34227-B
愛德斯沃爾 爱德斯沃尔	25-34312-B
愛德玲 爱德玲	25-34399-B
愛德華 爱德华	25-34457-B
愛德華島 爱德华岛	25-34522-B
愛德華王子島 爱德华王子岛	25-34596-B
愛德華茲 爱德华兹	25-34692-B
愛心 爱心	25-34759-B
愛情 爱情	25-34802-B
愛情喜劇 爱情喜剧	25-34872-B
愛惜 爱惜	25-34941-B
愛慕 爱慕	25-35012-B
愛憎 爱憎	25-35056-B
愛憐 爱怜	25-35103-B
愛戀 爱恋	25-35162-B
愛戴 爱戴	25-35235-B
愛撫 爱抚	25-35284-B
愛斯基摩 爱斯基摩	25-35368-B
愛斯基摩人 爱斯基摩人	25-35432-B
愛新覺羅 爱新觉罗	25-35539-B
愛晚亭 爱晚亭	25-35667-B
愛樂樂團 爱乐乐团	25-35726-B
愛民如子 爱民如子	25-35817-B
愛沙尼亞 爱沙尼亚	25-35947-B
愛河 爱河	25-36007-B
愛滋病 爱滋病	25-36074-B
愛滋病毒 爱滋病毒	25-36172-B
愛爾蘭 爱尔兰	25-36244-B
愛爾蘭人 爱尔兰人	25-36294-B
愛爾蘭共和國 爱尔兰共和国	25-36360-B
愛爾蘭共和軍 爱尔兰共和军	25-36455-B
愛理不理 爱理不理	25-36552-B
愛琴 爱琴	25-36644-B
愛琴海 爱琴海	25-36715-B
愛瑪 爱玛	25-36769-B
愛瑪沃特森 爱玛沃特森	25-36812-B
愛留根納 爱留根纳	25-36894-B
愛知 爱知	25-36956-B
愛知縣 爱知县	25-37030-B
愛神 爱神	25-37091-B
愛稱 爱称	25-37164-B
愛立信 爱立信	25-37237-B
愛能移山 爱能移山	25-37288-B
愛莉絲 爱莉丝	25-37367-B
愛莫利維爾 爱莫利维尔	25-37428-B
愛莫大於心死 爱莫大于心死	25-37522-B
愛莫能助 爱莫能助	25-37755-B
愛詞霸 爱词霸	25-37845-B
愛護 爱护	25-37907-B
愛財 爱财	25-37973-B
愛迪生	25-38016-S
愛迪生 愛迪生	25-38016-B
愛迪生 爱迪生	25-38105-B
愛遊玩 爱游玩	25-38189-B
愛達荷 爱达荷	25-38240-B
愛達荷州 爱达荷州	25-38287-B
愛面子 爱面子	25-38346-B
愛麗絲 爱丽丝	25-38456-B
愛麗絲漫遊奇境記 爱丽丝漫游奇境记	25-38510-B
愜 惬	25-38625-B
愜意 惬意	25-38666-B
感	25-38714-S
感 感	25-38714-B
感人	25-38771-S
感人 感人	25-38771-B
感伤	25-38878-S
感佩	25-38820-S
感佩 感佩	25-38820-B
感傷 感伤	25-38878-B
感光	25-38960-S
感光 感光	25-38960-B
感兴趣	25-42985-S
感冒	25-39011-S
感冒 感冒	25-39011-B
感冒药	25-39072-S
感冒藥 感冒药	25-39072-B
感到	25-39135-S
感到 感到	25-39135-B
感动	25-39239-S
感動 感动	25-39239-B
感化	25-39302-S
感化 感化	25-39302-B
感化院	25-39513-S
感化院 感化院	25-39513-B
感化餅乾 感化饼干	25-39584-B
感化饼干	25-39584-S
感发	25-42879-S
感受	25-39646-S
感受 感受	25-39646-B
感受器	25-39767-S
感受器 感受器	25-39767-B
感召	25-39828-S
感召 感召	25-39828-B
感召力	25-39946-S
感召力 感召力	25-39946-B
感叹	25-40209-S
感叹句	25-40265-S
感叹号	25-40339-S
感叹词	25-40401-S
感叹语	25-40457-S
感同身受	25-40023-S
感同身受 感同身受	25-40023-B
感喟	25-40155-S
感喟 感喟	25-40155-B
感嘆 感叹	25-40209-B
感嘆句 感叹句	25-40265-B
感嘆號 感叹号	25-40339-B
感嘆詞 感叹词	25-40401-B
感嘆語 感叹语	25-40457-B
感奋	25-40522-S
感奮 感奋	25-40522-B
感官	25-40596-S
感官 感官	25-40596-B
感应	25-41717-S
感应器	25-41831-S
感应线圈	25-41892-S
感念	25-40648-S
感念 感念	25-40648-B
感怀	25-41974-S
感性	25-40724-S
感性 感性	25-40724-B
感性認識 感性认识	25-40770-B
感性认识	25-40770-S
感恩	25-40846-S
感恩 感恩	25-40846-B
感恩图报	25-40891-S
感恩圖報 感恩图报	25-40891-B
感恩戴德	25-41000-S
感恩戴德 感恩戴德	25-41000-B
感恩節 感恩节	25-41069-B
感恩节	25-41069-S
感悟	25-41129-S
感悟 感悟	25-41129-B
感情	25-41205-S
感情 感情	25-41205-B
感情用事	25-41345-S
感情用事 感情用事	25-41345-B
感想	25-41449-S
感想 感想	25-41449-B
感愤	25-41659-S
感愧	25-41517-S
感愧 感愧	25-41517-B
感慨	25-41585-S
感慨 感慨	25-41585-B
感憤 感愤	25-41659-B
感應 感应	25-41717-B
感應器 感应器	25-41831-B
感應線圈 感应线圈	25-41892-B
感懷 感怀	25-41974-B
感戴	25-42050-S
感戴 感戴	25-42050-B
感染	25-42102-S
感染 感染	25-42102-B
感染人数	25-42168-S
感染人數 感染人数	25-42168-B
感染剂量	25-42250-S
感染劑量 感染剂量	25-42250-B
感染力	25-42321-S
感染力 感染力	25-42321-B
感染性腹泻	25-42400-S
感染性腹瀉 感染性腹泻	25-42400-B
感染者	25-42485-S
感染者 感染者	25-42485-B
感歎	25-42545-S
感歎 感歎	25-42545-B
感激	25-42603-S
感激 感激	25-42603-B
感激不尽	25-42681-S
感激不盡 感激不尽	25-42681-B
感激涕零	25-42769-S
感激涕零 感激涕零	25-42769-B
感發 感发	25-42879-B
感知	25-42931-S
感知 感知	25-42931-B
感興趣 感兴趣	25-42985-B
感覺 感觉	25-43043-B
感覺到 感觉到	25-43128-B
感覺器官 感觉器官	25-43177-B
感觉	25-43043-S
感觉到	25-43128-S
感觉器官	25-43177-S
感触	25-43261-S
感觸 感触	25-43261-B
感謝 感谢	25-43341-B
感谢	25-43341-S
感遇	25-43426-S
感遇 感遇	25-43426-B
感遇詩 感遇诗	25-43505-B
感遇诗	25-43505-S
愠	25-46339-S
愣	25-43564-S
愣 愣	25-43564-B
愤	25-56411-S
愤怒	25-56460-S
愤恨	25-56508-S
愤愤不平	25-56628-S
愤慨	25-56577-S
愦	25-56121-S
愧	25-43671-S
愧 愧	25-43671-B
愧怍	25-43701-S
愧怍 愧怍	25-43701-B
愧恨	25-43742-S
愧恨 愧恨	25-43742-B
愧汗	25-43821-S
愧汗 愧汗	25-43821-B
愧疚	25-43892-S
愧疚 愧疚	25-43892-B
愧色	25-43959-S
愧色 愧色	25-43959-B
愧赧	25-44004-S
愧赧 愧赧	25-44004-B
愨 悫	25-44065-B
愫	25-44094-S
愫 愫	25-44094-B
愬	25-44133-S
愬 愬	25-44133-B
愮	25-44172-S
愮 愮	25-44172-B
愴 怆	25-44205-B
愷 恺	25-44257-B
愷徹 恺彻	25-44291-B
愷撒 恺撒	25-44349-B
愾 忾	25-44438-B
愿	25-44466-S,68-45119-S
愿 愿	25-44466-B
愿意	68-45173-S
愿意不愿意	68-45248-S
愿望	68-45341-S
慁	25-44505-S
慁 慁	25-44505-B
慄 栗	25-44545-B
慅	25-44583-S
慅 慅	25-44583-B
慆	25-44614-S
慆 慆	25-44614-B
慇	25-44644-S
慇 慇	25-44644-B
慈	25-44677-S
慈 慈	25-44677-B
慈利	25-44740-S
慈利 慈利	25-44740-B
慈善	25-44797-S
慈善 慈善	25-44797-B
慈善家	25-44852-S
慈善家 慈善家	25-44852-B
慈善抽奖	25-44938-S
慈善抽獎 慈善抽奖	25-44938-B
慈善机构	25-45019-S
慈善機構 慈善机构	25-45019-B
慈善組織 慈善组织	25-45081-B
慈善组织	25-45081-S
慈姑	25-45156-S
慈姑 慈姑	25-45156-B
慈悲	25-45217-S
慈悲 慈悲	25-45217-B
慈愛 慈爱	25-45255-B
慈溪	25-45324-S
慈溪 慈溪	25-45324-B
慈爱	25-45255-S
慈石	25-45399-S
慈石 慈石	25-45399-B
慈祥	25-45447-S
慈祥 慈祥	25-45447-B
慈禧	25-45523-S
慈禧 慈禧	25-45523-B
慈禧太后	25-45607-S
慈禧太后 慈禧太后	25-45607-B
慉	25-45713-S
慉 慉	25-45713-B
慊	25-45752-S,25-45788-S
慊 慊	25-45752-B,25-45788-B
態 态	25-45820-B
態勢 态势	25-45851-B
態子 态子	25-45902-B
態度 态度	25-45956-B
態疊加 态叠加	25-46020-B
慌	25-46108-S
慌 慌	25-46108-B
慌乱	25-46166-S
慌亂 慌乱	25-46166-B
慌张	25-46219-S
慌張 慌张	25-46219-B
慌忙	25-46275-S
慌忙 慌忙	25-46275-B
慍 愠	25-46339-B
慎	25-46381-S
慎 慎	25-46381-B
慎重	25-46413-S
慎重 慎重	25-46413-B
慑	26-3538-S
慕	25-46474-S
慕 慕	25-46474-B
慕容	25-46502-S
慕容 慕容	25-46502-B
慕尼黑	25-46617-S
慕尼黑 慕尼黑	25-46617-B
慕道友	25-46699-S
慕道友 慕道友	25-46699-B
慘 惨	25-46765-B
慘不忍睹 惨不忍睹	25-46843-B
慘不忍聞 惨不忍闻	25-46988-B
慘事 惨事	25-47128-B
慘劇 惨剧	25-47170-B
慘境 惨境	25-47228-B
慘怛 惨怛	25-47281-B
慘敗 惨败	25-47332-B
慘景 惨景	25-47372-B
慘案 惨案	25-47421-B
慘殺 惨杀	25-47470-B
慘毒 惨毒	25-47536-B
慘況 惨况	25-47582-B
慘淡 惨淡	25-47649-B
慘淡經營 惨淡经营	25-47723-B
慘烈 惨烈	25-47825-B
慘無人道 惨无人道	25-47875-B
慘然 惨然	25-47971-B
慘狀 惨状	25-48023-B
慘痛 惨痛	25-48091-B
慘白 惨白	25-48158-B
慘禍 惨祸	25-48204-B
慘笑 惨笑	25-48267-B
慘絕人寰 惨绝人寰	25-48314-B
慘變 惨变	25-48430-B
慘遭 惨遭	25-48493-B
慘遭不幸 惨遭不幸	25-48533-B
慘重 惨重	25-48628-B
慚 惭	25-48674-B
慚愧 惭愧	25-48704-B
慝	25-48753-S
慝 慝	25-48753-B
慟 恸	25-48787-B
慢	25-48816-S
慢 慢	25-48816-B
慢动作	25-48843-S
慢動作 慢动作	25-48843-B
慢化剂	25-48900-S
慢化劑 慢化剂	25-48900-B
慢吞吞	25-48953-S
慢吞吞 慢吞吞	25-48953-B
慢工出巧匠	25-49027-S
慢工出巧匠 慢工出巧匠	25-49027-B
慢工出細貨 慢工出细货	25-49136-B
慢工出细货	25-49136-S
慢待	25-49236-S
慢待 慢待	25-49236-B
慢性	25-49293-S
慢性 慢性	25-49293-B
慢性子	25-49403-S
慢性子 慢性子	25-49403-B
慢性疾病	25-49483-S
慢性疾病 慢性疾病	25-49483-B
慢性病	25-49592-S
慢性病 慢性病	25-49592-B
慢悠悠	25-49691-S
慢悠悠 慢悠悠	25-49691-B
慢慢	25-49745-S
慢慢 慢慢	25-49745-B
慢慢吃	25-49785-S
慢慢吃 慢慢吃	25-49785-B
慢慢吞吞	25-49859-S
慢慢吞吞 慢慢吞吞	25-49859-B
慢条斯理	25-49923-S
慢條斯理 慢条斯理	25-49923-B
慢步	25-50054-S
慢步 慢步	25-50054-B
慢班	25-50101-S
慢班 慢班	25-50101-B
慢累积	25-50158-S
慢累積 慢累积	25-50158-B
慢腾腾	25-50711-S
慢行	25-50245-S
慢行 慢行	25-50245-B
慢行道	25-50294-S
慢行道 慢行道	25-50294-B
慢說 慢说	25-50349-B
慢说	25-50349-S
慢走	25-50428-S
慢走 慢走	25-50428-B
慢跑	25-50503-S
慢跑 慢跑	25-50503-B
慢車 慢车	25-50573-B
慢车	25-50573-S
慢長 慢长	25-50652-B
慢长	25-50652-S
慢騰騰 慢腾腾	25-50711-B
慣 惯	25-50786-B
慣例 惯例	25-50831-B
慣常 惯常	25-50877-B
慣性 惯性	25-50929-B
慣性系 惯性系	25-50972-B
慣用語 惯用语	25-51060-B
慣量 惯量	25-51148-B
慥	25-51204-S
慥 慥	25-51204-B
