of gravity	23-14457-S,59-60092-S,63-58683-S
of n elements out of m	28-15417-S
of nahum	63-17715-S
of name of tang empress wu zetian 武則天 武则天	32-1871-S
of named european kings	1-707-S
of named kings	1-29611-S
of names	12-53920-S,12-54801-S,12-56541-S,12-56869-S,34-39521-S,71-38685-S
of namibia	39-21552-S
of nanchang city 南昌市	33-21086-S,33-21162-S,40-18995-S,40-19069-S,57-19875-S,67-54572-S,67-54664-S,67-59521-S,67-59611-S
of nanjing 1842 that concluded the first opium war between qing china and britain	10-66710-S
of nanjing documentary book by iris chang 張純如 张纯如	10-66418-S
of nanjing 南京條約 南京条约 that concluded the first opium war	3-47862-S
of nanking	64-17128-S
of naples 1282 1860	63-16069-S
of narnia	49-16144-S
of narrative literature flourishing in the tang dynasty 618 907 with alternate prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
of nashon	29-9021-S
of national culture	15-12607-S
of national defense	15-13644-S,15-14007-S
of national income and output	15-10466-S
of national people s congress	22-30145-S
of national protection 1915 1916	11-53201-S
of national protection 護國爭 护国争 1915 1916	11-53350-S
of nationalism	36-21002-S
of nations	13-22201-S,15-18907-S,54-4325-S
of nations 1776 by adam smith 亞當·斯密 亚当·斯密	15-8200-S
of nations or regions	62-8930-S
of natural resources	6-59848-S
of nature	17-52618-S,44-348-S
of navy during qing times	53-38159-S
of ne china including songhua river through liaoning peninsula	33-28903-S
of nebula	60-21564-S
of nebulae and clusters 1784	34-12273-S,34-12456-S
of neck	68-21323-S,68-21832-S
of neck of vertebrates	70-45830-S
of need	27-71043-S,45-29737-S
of needle	21-5421-S
of needs	53-6455-S
of neglected work	47-38984-S
of negligible thickness in optics	55-19938-S
of negotiations	14-54776-S
of nehemiah	21-13383-S
of neighing horse	31-18614-S
of nepal	9-55511-S,21-13936-S,24-27729-S,59-53679-S
of nerchinsk 1698 between qing china and russia	2-49713-S,21-13261-S
of nerve cell	58-3807-S,61-5483-S,61-5553-S,70-5294-S
of nerve fibers in the brain	52-39972-S
of new	53-27838-S
of new dynasty	68-25213-S
of new dynasty or state	65-31873-S
of new opportunities	14-59462-S
of new york	53-56561-S
of new york city	32-14161-S,32-14289-S
of new zealand	25-18568-S
of newborn	66-17361-S
of newborn breakdown of red blood cells due to alloimmune reaction between mother and fetus	39-24544-S
of news	8-54785-S,22-34433-S,53-59578-S
of news articles	61-59555-S
of newspaper	17-23036-S,50-35254-S,50-35347-S
of newsweek	68-10526-S
of ngawa tibetan qiang prefecture 阿壩藏族羌族自治州 阿坝藏族羌族自治州	3-18408-S
of niger	21-12579-S
of night	4-8066-S,10-56059-S,17-953-S
of nightingale	70-54827-S
of ning er hani and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	31-49569-S,31-49923-S
of no avail	40-61403-B
of no confidence	1-68410-S
of no confidence against the government	1-68297-S
of no consequence	2-19587-B
of no great urgency	2-9683-S
of no interest	37-9525-B
of no use	2-17776-B,2-17826-B,40-56130-B
of noble aspiration and daring	36-30814-S
of noble character	12-64322-S
of non recognition	2-11725-S
of non self	40-52785-S
of none	11-9212-S
of nonresistance	2-11915-S
of north afghanistan	22-7574-S,22-7654-S
of north africa	33-41411-S,66-9181-S
of north china	59-27312-S,59-27453-S,71-17519-S
of north india	24-67513-S
of north india datura stramonium	32-15232-S
of north korea	22-39121-S,64-10807-S,64-11500-S
of north korean nuclear reactor	20-19814-S
of north sky	42-27749-S
of northeast china	63-5246-S
of northern china that developed from the qing beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-S
of northern or later yan dynasty	70-23684-S
of northern song dynasty	10-30380-S,19-35035-S
of northern song government in 1043	25-52292-S
of northern warlords	10-33295-S,18-4209-S,18-4281-S
of northern warlords 1912 c 1920	44-63938-S
of northwest china	71-17744-S
of northwest china i e xinjiang	2-63801-S
of northwest shanghai	14-27639-S
of northwest yunnan	42-22340-S
of norway	7-16998-S,13-38545-S,18-14764-S
of nose and forehead	68-35637-S
of nostalga	26-1584-S
of not working	67-62045-S
of note	12-55366-S
of nothing	40-45983-S
of notre dame by victor hugo 維克多·雨果 维克多·雨果	65-120-S
of novel by cervantes	16-2153-S
of nuclear explosion	33-60254-S
of nuclear fission	64-56041-S
of nuclear industry	33-57261-S
of nuclear intimidation	33-56882-S
of nuclear reactor	11-31881-S
of numbered kings	3-32275-S
of numbers	30-64529-S
of nurhaci 努爾哈赤 努尔哈赤 1559 1626	38-60209-S
of nut and bolt	56-13598-S,56-14172-S,56-14394-S
of oak	35-17162-S
of obadiah	5-32043-S
of obed	51-41877-S
of obed in the bible	60-42081-S
of object	41-54542-S
of object placed high over sth	51-67504-S
of oblivion	61-55853-S
of obscurity to a government job	8-38872-S
of observation	57-42282-S
of occurrence	44-31739-S
of ocean	37-63183-S,38-10939-S
of october 1973 between israel and her arab neighbors	60-4870-S
of october december 1935	54-32187-S
of odin	43-10272-S
of offending sb	46-43440-S
of office	4-43467-S,19-55531-S,48-31522-S,50-34774-S,62-19570-S
of office willingly	4-42558-S
of officers at the scene	59-162-S
of official post for personal revenge 成语 saw	19-40931-S
of officialdom	19-41116-S
of officials	19-56839-S
of officials or eunuchs	19-56980-S
of oil etc	34-8621-S
of oil lamp	41-25659-S
of okhotsk	63-29169-S
of old age	16-39105-S,44-63136-S
of old age 成语 saw	44-48302-S,44-48490-S
of old books	29-61013-S
of old cadres	67-8787-S
of old canal in henan that formed the border between enemies chu 楚 and han 漢 汉	70-55688-S
of old people	58-55878-S
of old person	51-30099-S,60-51332-S
of older brother	18-40569-S
of older person	25-45447-S
of olives in the christian passion story	35-0-S
of olympic merchandise	18-16600-S
of oman	69-38644-S
of one and half a dozen of the other	11-50697-S
of one another	62-25879-S
of one country enclosed within another	68-62943-S
of one element	14-21824-S
of one hand	21-20015-S
of one kind of jade	42-41537-S
of one mind	8-15453-B,31-60674-B,71-53758-S
of one mind 成语 saw	12-47214-B,54-46539-S
of one of the 12 animals	21-26938-S
of one s ability	9-46175-S
of one s actions	23-35110-S
of one s adoptive family	20-1404-S
of one s ancestors	1-48103-S,28-10642-S
of one s bad deeds	25-21703-S
of one s bodily surroundings and movement	10-1986-S
of one s body	1-58771-S
of one s body in martial arts	60-57097-S
of one s convictions	27-70445-S,27-70599-S,42-56035-S
of one s country	16-9760-S,45-47439-S
of one s daughter in law or son in law	57-38683-S
of one s death	4-2097-S
of one s dreams	17-2404-S,63-16291-S
of one s eldest son	65-13150-S
of one s eye	45-56636-S
of one s eye i e favorite person	45-49927-S,45-50028-S
of one s eyes	45-49024-S
of one s father	14-13017-S
of one s fortunes	4-69633-S
of one s grip	28-47549-S
of one s hand	3-28416-S,26-32882-S
of one s head	68-35687-S
of one s health after illness	69-11569-S
of one s heart	24-32034-S,39-38329-S,45-8086-S
of one s job	60-27460-S
of one s jurisdiction	35-19262-S
of one s life	8-11717-S,22-48859-S,27-40665-S,27-40782-S,27-51593-S,27-52050-S,27-52347-S,31-6721-S,31-35134-S,45-4906-S,67-54216-S
of one s master	13-57209-S
of one s mind	17-65189-S
of one s mother	4-58819-S
of one s obligation	50-48972-S
of one s offspring	57-37762-S
of one s own	42-19607-S
of one s own abilities	2-21246-S
of one s own actions	53-6707-S
of one s own destiny etc	3-3755-S
of one s own devising	5-8584-S,12-60842-S,62-18834-S
of one s own success	12-59425-S
of one s own volition	60-55228-S
of one s parents	26-61509-S
of one s paternal grandfather	32-16063-S
of one s patience	24-43266-S
of one s presence	16-3065-S
of one s psyche	24-33192-S
of one s skin	14-39738-S,56-29015-S
of one s spouse literary	2-48262-S
of one s stomach	24-37105-S
of one s success in exams	31-36208-S
of one s success 成语 saw	60-53133-S
of one s teeth 成语 saw	46-38799-S
of one s tether	40-61520-S,40-62269-S
of one s thoughts	25-28392-S
of one s wits	4-39986-S,7-68796-S,14-13343-S,14-40106-S,69-61806-S,70-33233-S
of one s wits in panic	69-62058-S
of one s wits 成语 saw	14-13916-S
of one s words 成语 saw	8-41537-S
of one syllable	43-56589-S
of one thousand and one nights	1-3691-S
of one unit to another	61-30120-S
of one who died unjustly	8-15304-S
of oneself	2-26384-S,5-40506-S,8-41047-S,17-9611-S,24-7752-S,24-8132-S,53-10035-S,53-15765-S,60-55228-S,67-47849-S,69-57302-S
of oneself by an ignorant blunder	67-47105-S
of oneself by excessive ambition	43-59073-S
of oneself 成语 saw	53-13585-S
of one’s predecessor	24-1970-S
of oolong tea	14-17477-S
of opening	11-67971-S
of openness	62-741-S
of opera from taiwan and fujian	35-25575-S
of operation	29-21894-S
of operations	15-43596-S,15-67626-S,26-17286-S,33-64124-S,50-32484-S,61-26804-S
of opinion	8-55533-S
of opposing forces	20-49179-S,56-40118-S
of opposite forces in phys 	20-52366-S
of or conserve one s health	5-41679-S
of or try every possible method to do sth	25-25773-S
of orchids	55-46515-S
of order	40-50407-S
of order homoptera	10-59631-S
of order of machine	17-68188-S
of order orthoptera	56-15283-S
of ore	46-44185-S,46-45168-S
of organ	68-14995-S
of organelle	62-46561-S
of organic chemical	43-60648-S
of organism	11-46587-S
of organization	34-9844-S,34-22757-S,45-2340-S,53-14422-S
of origin	11-34810-S,11-34874-S,43-31642-S,44-30791-S,51-27505-S
of ossicles in the middle ear	52-2297-S
of other people s needs	70-10051-S
of others	4-30112-S,12-49154-S,26-1115-S,28-52200-S,57-62015-S,69-7875-S
of others 成语 saw	7-64377-S
of our galaxy	4-18952-S,54-1550-S
of our galaxy containing our solar system	42-24648-S
of our lady	51-48093-S
of outdated writings 成语 saw	65-9381-S
of output	43-31161-S
of overcoming adversity	9-15402-S
of ovum in uterus	54-53913-S
of ownership	26-28812-S
of ox	41-62735-S,42-1949-S
of oxford	41-48019-S
of oxygen in blood	44-32737-S
of oxygen of forests and nature reserves	17-24300-S
of oyster	56-21942-S
of pai ping ping	44-40017-S
of pain	9-13722-S,65-26048-S
of pain or surprise	13-41276-S
of paint	3-25039-S
of painting	20-14621-S,55-53836-S
of paintings	21-61243-S
of pakistan	4-49127-S,5-44202-S,30-67532-S,30-67626-S,45-44290-S
of pakistan and afghanistan	5-51464-S
of palace	8-12271-S,65-50239-S
of palaces	42-57580-S
of palestine	57-49282-S
of pali thupo	38-13080-S,38-13227-S
of panjin city 盤錦市 盘锦市	53-25907-S,53-26009-S,67-672-S,67-771-S
of panting	13-18447-S
of paper	23-37289-S,34-14030-S,49-22336-S,49-22765-S
of paper burnt for the gods or the dead	49-23318-S
of paper horses	60-14718-S
of papers published as one volume	66-56925-S
of papua new guinea	27-10677-S,54-25900-S
of paraguay	3-59533-S,3-65238-S
of paramount importance	17-35403-S
of parasitic miracidium flatworm	21-15577-S
of parents to bring up children for the purpose of being looked after in old age	69-10433-B
of paris	22-11196-S,40-66517-S,41-15938-S
of parliament	1-64122-S
of particle physics	57-33826-S
of particles	48-48208-S
of passenger traffic	19-53459-S
of passion	25-14834-S,36-7520-S
of passions	51-35558-S
of passnegers	15-36384-S
of past event	26-84-S
of pasture	62-37544-S
of paternal aunt	18-39536-S,18-39693-S,18-40384-S
of paternal grandfather s younger brother	11-57620-S
of path	39-18048-S,39-18111-S
of payment partly in kind and partly in cash	10-14843-S
of peace	13-22894-S,35-157-S
of peace and prosperity	20-63713-S
of peace and stability	60-41398-S,62-49468-S
of peaks	21-29647-S,21-47329-S
of pearl	18-35896-S,42-46087-S,43-443-S,59-29892-S
of pearl and jade 成语 saw	42-45855-S
of pearls	44-64300-S,62-22813-S
of pearls on coronet	43-4326-S
of peerless elegance	49-45481-S
of pen and sword	30-29047-S
of pencil	64-35614-S
of pendant from girdle	42-46125-S
of pendants	42-53153-S,43-2142-S
of pennsylvania	59-55275-S
of pentatonic scale	3-55526-S,57-44118-S
of penultimate qing emperor guangxu or guang hsu 1875 1908	7-11725-S
of people	1-9801-S,1-28440-S,4-6810-S,4-10164-S,4-13607-S,4-13954-S,4-14015-S,4-15132-S,4-18177-S,4-19496-S,9-24117-S,12-59609-S,29-11465-S,31-66777-S,34-25419-S,38-6747-S,51-24509-S,51-56244-S,66-20946-S,67-53725-S
of people all of one mind 成语 saw	54-46539-S
of people and shops	65-7374-S
of people difficult	67-13206-S
of people for passage of royalty or vip	38-64995-S
of people in same year	22-47759-S
of people killed	35-56339-S
of people or animals	49-21579-S,49-23410-S
of people participating	4-11455-S
of people s livelihood	36-22235-S
of people s republic of china	10-25344-S,10-26206-S
of peoples	36-21351-S
of percussion instrument	71-37621-S
of perez	22-20630-S
of perez and zerah	18-25869-S
of perfection	14-27136-S
of performance by a visiting troupe	21-51148-S
of persecution	8-14862-S
of persia c 2nd 7th century ad	55-25128-S,55-26020-S
of persian 559 330 bc	66-14347-S
of person	30-43737-S,60-57453-S
of person or animal as a block	16-14805-S
of person or animal used for tracking	53-17723-S
of person or object	51-25935-S
of person s bearing	21-33992-S
of person s identity	48-43536-S
of person stressing a moral principle	56-44130-S
of personnel	6-1269-S,43-8664-S
of perspective	61-12846-S,61-13058-S
of peru	9-8188-S
of peter in new testament	23-60905-S,23-61084-S
of petrified wood	34-60617-S
of pharoah	27-25101-S
of pheasant	66-60914-S
of philippines	69-36069-S
of philosophy	13-47731-S,13-47881-S,66-25745-S
of philosophy in pre han times	37-30912-S
of philosophy 哲學博士學位 哲学博士学位	11-6530-S
of photo e g due to fault or motion of camera	63-58549-S
of physical object such as trees	52-3607-S
of physical training	70-7558-S
of pickled meat	63-48368-S
of piece of writing	70-8726-S
of pigs	52-41977-S,59-22694-S,59-26577-S,59-26659-S
of pigs cuba	59-25902-S
of pilgrimage to mecca	32-48900-S
of pilgrims	69-25636-S,69-28718-S
of pingxiang city 萍鄉市 萍乡市	19-30471-S,19-30558-S,39-11919-S,39-12012-S
of pingxingguan pass	22-38889-S
of pipes	61-26969-S,68-14136-S
of piping system	66-58703-S
of pity	25-3107-S
of place	1-17703-S,23-37771-S
of places	54-36125-S
of places on a bus	19-45502-S
of plan	46-17357-S
of plane	21-15426-S
of planetary motion 1609	65-37085-S
of plankton	32-31501-S
of plans	8-21629-S
of plant	35-55802-S,49-40749-S,52-36283-S,54-13579-S
of plant containing fruit	33-37661-S
of plant growth	54-6098-S
of plant or animal	19-17100-S
of plant stem	70-5003-S
of plant used as a medicinal herb in ancient times	4-29564-S
of plants	16-14392-S,16-14545-S,16-57229-S,32-60330-S,55-10048-S,55-27775-S
of plants after harvest	35-63544-S
of plants distinguished by two embryonic leaves	32-54386-S
of plants not of trees	55-6726-S
of plants producing aromatic or halucinogenic oils	52-6456-S,52-6613-S
of plants withered	25-56192-B
of play	65-32486-S,65-40864-S
of playing cards	29-16364-S,49-23118-S
of pleasure during love making	12-9472-S,12-9563-S
of plenty	17-46929-S
of poem or art	53-50235-S
of poet	57-34101-S
of poetry matching in sense and sound	20-46773-S
of poetry or art	12-66079-S
of poisonous snake in ancient text	65-21121-S
of poland	54-34654-S
of polar coordinates	34-34945-S
of policing activities traffic	59-1540-S
of politeness	36-15882-S,55-53901-S
of political office	15-36522-S
of political opinion	57-56375-S
of political party	71-45612-S
of political re education	29-55557-S
of political science and law	2-58572-S
of political wisdom 成语 saw	39-40715-S
of polynomial equations	16-65424-S
of pop group	43-45804-S
of pope benedictus xvi	27-26659-S
of porcelain	63-52456-S
of portugal	57-1959-S,65-68010-S
of positive outcome	45-36281-S
of possibilities	4-41312-S
of pot holes	15-52021-S
of powders	48-62280-S
of power	9-47428-S,15-36522-S,15-47452-S
of power and grandeur	66-52977-S
of power 成语 saw	10-7515-S
of powers	1-35941-S,8-55478-S
of practical matters	2-32857-S
of practice	27-28249-S,43-27979-S,54-17052-S
of praise	58-58966-S
of praise for noble character	53-51283-S
of praise for ruler	51-49238-S
of prc by mao zedong in 1949	23-20544-S
of prc county	21-4322-S
of prc economic development after the cultural revolution	63-33142-S
of prc in 1949	11-38388-S,11-38513-S,57-49449-S
of prc internet company taobao	38-41954-S
of prc ministry of civil affairs mca 民政部	36-20646-S
of prc ministry of civil affairs 民政部	29-64721-S
of prc poliburo	59-53946-S
of pre han china	19-60606-S
of pre han china represented by lü buwei 呂不韋 吕不韦	67-4341-S
of pre han philosophy as analyzed by sima tan 司馬談 司马谈	7-67279-S
of precious material	71-47254-S
of precious metal	52-29856-S
of precipitation meteorology	66-17263-S
of prefectural government from tang to qing times	22-63059-S
of pregnancy	19-3913-S
of presenting abstractions as people	29-27081-S
of pressing affairs	29-11780-S
of pressure	36-16829-S
of prestige	1-58915-S,1-62445-S
of prey	17-42165-S,42-12233-S,71-310-S
of prices	39-53828-S,68-62785-S,68-63529-S
of pride	53-14210-S
of primitive people	63-36709-S
of principle	4-26114-S
of printed material	20-41513-S
of printing	41-44718-S
of priority	61-13271-S
of prison	60-27315-S
of prize	42-16896-S
of processes	38-5163-S
of producing coke from coal	41-781-S
of product	13-33413-S,13-34426-S
of production	43-26924-S,43-27243-S,43-27503-S,43-27581-S,43-27684-S,43-31386-S
of production in marxism	26-28812-S
of products	8-43664-S
of progress on project	62-29670-S
of project	27-1651-S
of projectile	23-50245-S
of projection	27-1221-S
of projection in perspective drawing	27-1729-S
of prokaryotic cell	4-62672-S
of proletariat	31-50401-S
of propellor	54-52052-S
of property	4-59757-S,47-12697-S
of property ownership	26-27157-S
of prophecy	48-6989-S
of prophecy e g of dynastic fortunes	48-43821-S
of proposed marriage parnter	20-48924-S
of propriety	2-21818-S,62-31481-S
of proscribed people books etc	71-29221-S
of prose	60-34381-S
of prosperity	44-32305-S,45-4138-S
of prostate	29-35237-S
of prostitute	61-45934-S
of prostitutes esp in yuan theater	41-3481-S
of province governor general	45-56382-S
of province in ming and qing times	21-51318-S
of provinces into counties	10-40860-S,10-41316-S,56-32726-S,56-32844-S
of psalms	58-14488-S
of pseudo apollodorus	32-10848-S
of pterodactyloid pterosaur	69-61400-S
of pterosaur	39-16745-S,40-64650-S,60-7719-S
of public criticism	45-53565-S
of public records	12-22336-S
of public security	7-58507-S,7-58894-S
of publication	44-32386-S
of publications or documentaries	28-23627-S
of publishing houses	32-12663-S
of pueraria root	54-57265-S
of pulley	54-59847-S
of pulse	54-38865-S
of pulse in chinese medicine	52-30410-S
of puncturing to extract bodily fluid	47-51203-S
of punishment	59-41803-S
of punishment during the han period	52-37218-S
of puppet theater	33-8056-S
of purchasing and marketing	49-53827-S
of purely intellectual perception according to kant	32-67517-S
of putonghua	1-45053-S,11-26979-S,11-37465-S,28-8090-S
of putonghua high level tone	1-18232-S
of qi in chinese medicine	49-59119-S
of qi of the northern dynasties	10-36936-S
of qi of the southern dynasties	11-5912-S,71-53823-S
of qi reigned 323 284 bc	71-54037-S
of qi reigned 342 324 bc	71-53624-S
of qi reigned 685 643 bc	71-53895-S
of qii fears the sky falling 成语 saw	33-10940-S
of qii in modern qi county 杞縣 杞县	33-11063-S
of qin	47-24944-S
of qin and han	22-9400-S
of qin dynasty 秦朝 folk tale	19-10539-S
of qin hist 	47-23602-S
of qin state 秦國 秦国 of 361 bc	13-61867-S
of qin 秦穆公	42-29584-S
of qing dynasty by a succession of authors	38-59478-S
of qing dynasty from kang xi to qian long emperors	23-1219-S
of qing dynasty province covering south jiangsu	36-58222-S
of qing emperor 1821 1850	62-49655-S
of qing emperor 1850 1861	13-30305-S
of qing emperor 1861 1875	12-49081-S
of qing emperor guangxu 光緒 光绪	61-7463-S
of qing emperor xianfeng 咸豐 咸丰	18-8061-S
of qingdao city 青島市 青岛市	14-50437-S,15-63063-S,15-63154-S,21-48153-S,21-48240-S,22-11942-S,22-12105-S,33-4264-S,33-4349-S,71-18643-S,71-18732-S
of qinghai province	29-7216-S
of qinghai province in west china	57-16114-S,57-16222-S
of qingyuan city 清远市	38-59926-S,38-60008-S
of quality supervision and quarantine	15-7223-S
of quick passage time	24-50992-S
of quotas for farm output per household	10-16630-S
of quotation or literary allusion	8-44687-S
of quánqiúhuà 全球化	43-6424-S
of qí	12-25419-S
of raccoon dog after removing hard bristle	59-27546-S
of radiation	27-22920-S,61-19246-S
of radio waveband	8-59857-S
of rage	13-20762-S
of rain	1-61245-S,14-9667-S,28-13778-S,38-40257-S,39-45165-S,39-61687-S,40-13419-S,67-41042-S,67-45007-S
of rain and wind	39-58150-S,40-15698-S
of rain from eaves	67-45391-S
of rain or snow	54-64101-S,67-17749-S
of ram	3-63080-S
of ramadan	17-38030-S,52-5436-S
of rammed earth	48-32245-S
of ranking	28-17986-S
of raspberry	55-35267-S
of raspberry and blackberry	37-39632-S
of rationalism or neo confucianism 理學 理学	42-53918-S
of reactionary rule	59-7759-S
of reading sth for the first time	7-5151-S
of real variables	20-12254-S
of reality	45-41690-S,59-60154-S
of realization	68-32536-S
of reaping	47-26003-S
of reason	14-12226-S
of reason 成语 saw	35-23208-S
of reasoning	41-63423-S,58-44995-S
of received goods	69-58326-S
of recent western term	63-27174-S,63-27630-S
of records	12-39836-S
of red blood cells due to alloimmune reaction between mother and fetus	39-24544-S
of red blood cells leading to anemia	39-24451-S
of red mansions first completed edition 1791 by cao xueqin 曹雪芹	49-10343-S
of redwall of 208 at chibi in huangzhou district 黃州區 黄州区 of huanggang city 黄冈	60-5815-S
of reed	48-13721-S
of reference	11-39695-S,11-40026-S,15-70239-S,19-48735-S
of references	50-37150-S
of referring to herself in former times	32-56080-S
of referring to sth	53-28995-S
of reflection in dialectic materialism	11-50311-S
of reforms in china c 1861 1894	37-49919-S,53-5644-S
of refraction	27-9012-S
of regard	8-22090-S,8-22188-S
of regime	17-4850-S
of regret	14-23875-S,14-26975-S,14-36232-S
of regular commerce to sell or dispose of goods etc	52-32616-S
of regular contractions	52-61362-S
of reign name by the nationalist government	36-19773-S
of reigning emperor	51-51044-S
of reincarnation	4-17332-S,61-29109-S
of reinforcements 成语 saw	23-49352-S
of relativity	45-28311-S
of relief	70-25690-S
of relieving pain	35-33142-S
of religion	19-39683-S
of religious ceremony	41-27316-S
of religious order	5-47425-S,32-22821-S
of religious sect	32-24455-S
of remarkable ability	43-2426-S
of representatives	45-52786-S,45-53723-S,51-4671-S
of representatives usa	45-53811-S
of representing spoken sounds	34-56392-S,58-5667-S
of republic of china	30-45522-S
of republican china until 1927 by cai dongfan 蔡東藩 蔡东藩	36-19893-S
of reputation	18-44986-S
of research	46-14527-S
of resentment	25-2099-S
of residence	21-18075-S
of resistance	10-58009-S,27-4670-S
of resistance against japan 1937 1945	27-5101-S
of resisting	27-4530-S
of resources	33-38791-S
of respect	3-40803-S,6-4444-S,7-4932-S,24-30544-S,25-4160-S,30-12030-S,30-12654-S
of respect for aged	30-12239-S
of respect for older man	4-59003-S,17-27250-S
of respect for your teacher s wife	22-26349-S
of respect second only to father	3-61610-S
of responsibility	17-67751-S,59-40651-S,59-40718-S
of restitution	23-48449-S
of restitution in hooke s law	9-64195-S
of retaining previous legislature after transition to chinese rule in hong kong or macao	45-25002-S
of retired professor	12-58664-S
of retreat	46-20447-S
of retribution	54-38528-S
of returning	37-43366-S
of revenue	26-25381-S,59-33756-S
of revenue from the han dynasty onwards	26-25447-S
of revolution	31-909-S
of revolutionary calls in newspaper 蘇報 苏报	55-37952-S
of revolutions per minute	61-29556-S
of rhyme	68-17732-S
of rhyme within a poem	61-30395-S
of rice	48-48071-S
of rice flour and honey	48-46852-S
of rice or other grain	47-10918-S
of riding in a carriage	19-30227-S
of rising and lowering	26-66735-S
of rites	47-8045-S,47-9108-S
of rites confucian	47-9481-S
of rites same as 禮記 礼记	47-8929-S
of rites 禮記 礼记	19-18527-S,58-14311-S
of river	7-29231-S,10-37813-S,30-59403-S,37-2824-S,37-18519-S,38-2243-S,38-48013-S,38-48097-S,38-66569-S,52-14291-S,65-38189-S
of river in henan	71-20317-S
of river in shandong	36-64863-S
of river in winter	20-33544-S
of river or ocean	38-11247-S
of rivers	3-67103-S,3-68155-S,10-37629-S,39-31091-S
of road	62-33159-S
of road or river	50-45954-S
of road winding and turning 成语 saw	27-30867-S,61-23153-S
of roads	60-41892-S,69-42543-S
of robbers and pursuing knight errant 俠客 侠客 in fiction	60-54554-S
of robe	56-47665-S
of rock forming minerals	61-14183-S
of rock musicians performing on acoustic instruments	2-12155-S
of rocks	21-36581-S,46-15360-S,68-53724-S
of rodents rats	14-40571-S
of rogues 成语 saw	42-6218-S,42-6680-S
of rolling stones	46-22452-S
of romania	22-13970-S
of rome	4-48554-S,15-59247-S
of roof	33-40431-S,34-9017-S,34-50456-S
of room	32-10976-S,47-54931-S
of ropes through tackle to hold up an awning	12-44089-S
of rotation	31-1088-S,31-1332-S,31-1494-S,61-28886-S
of royalty	23-785-S,24-19513-S,42-58381-S
of royalty or vip	38-64995-S
of rubber tree	33-8321-S
of rubbish	13-57209-S
of ruler to people	59-43758-S
of ruminants	56-2610-S
of runs or flights	42-47210-S
of rush	48-43909-S
of russia	10-3067-S,16-17427-S,54-25672-S
of russia 1991 1999	54-51225-S
of russia and mongolia	66-8411-S
of russia north of the caucasus	11-18245-S
of russian pacific	16-7829-S
of russian spaceship	62-30060-S
of ruth	60-42152-S
of rwanda	15-66781-S
of sackcloth	49-55623-S
of sacrifice	19-60329-S
of sacrifice on tenth of twelfth month of muslim lunar calendar	12-3790-S
of sage 成语 saw	51-50421-S
of saint kitts and nevis	22-6688-S
of saint lucia	11-15047-S
of saint petersburg of 1881	2-49455-S,2-49857-S
of saint petersburg of 1881 in which russia agreed to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
of saint vincent and the grenadines	64-10708-S
of salmon and rahab	37-41906-S
of salvation	29-63889-S
of same class	66-38417-S
of same father by different mother	43-62335-S
of samuel	29-7414-S,29-7499-S,29-7583-S,29-7668-S
of sand	37-17360-S
of sand transported by a river	61-17816-S
of sanskrit	5-5148-S
of sanskrit aranyakah	55-46311-S
of sanskrit kso	65-48139-S
of sanskrit mahā	29-2688-S
of sao tome and principe	51-45771-S
of sap 成语 saw	56-26017-S
of sarhu in 1619	55-25563-S
of sauce or gravy	22-60611-S
of saudi arabia	9-8114-S,37-34685-S,66-9604-S
of savages	54-12666-S
of saying something	28-34226-S
of sayings of confucius and his disciples	19-2811-S
of sb	4-32724-S,4-33662-S,4-60265-S,6-8183-S,20-2734-S,23-17737-S,23-18319-S,24-55301-S,27-41357-S,29-27198-S,41-7694-S,45-47383-S,65-34683-S,67-56769-S,67-56895-S,68-2336-S,70-15057-S
of sb as criminal	62-12105-S
of sb by punishment to frighten others	36-1705-S
of sb or oneself	8-46220-S
of sb or sth while concealing their faults	66-47842-S
of sb rich or important	7-65988-S
of sb s back	52-17586-S
of sb s death	8-30827-S,35-56689-S,35-59458-S
of sb s health	58-40257-S
of sb s misfortune	3-13768-S
of sb s mouth	14-32586-S
of sb s precarious position	3-12489-S
of sb s weakness	30-13879-S
of scabbard	42-58333-S
of scales or measuring equipment	64-6246-S
of scarf that covers the neck and shoulder	27-11961-S
of scene	9-40664-S
of scented bushes and trees	40-52025-S
of schedule	28-39873-S
of scheduled sailing	53-34334-S
of school	6-17276-S,30-7681-S,31-11319-S,61-14538-S
of school children	4-19496-S
of schooling	19-16980-S
of science	2-62038-S,47-17161-S,47-17223-S,47-17929-S,47-19437-S,57-33045-S,60-39387-S
of science and engineering	42-54501-S
of science and technology	10-66858-S,15-12245-S,47-17802-S,47-18700-S,54-34362-S,69-27689-S
of science and technology beijing	10-27289-S
of science degree	42-54034-S
of science msc degree	42-54122-S
of sciences	47-18271-S
of sciences cas	2-77130-S
of scorpion etc	36-7709-S,36-8305-S
of scots 1542 87	55-39749-S
of scoundrels	42-6218-S,42-6680-S
of screen	26-31022-S
of screw	56-14536-S,56-14995-S
of seafloor spreading geol 	38-19270-S
of seasonal phenomena flouring	41-53046-S
of seasons	35-50639-S
of seats	5-57922-S
of second ming emperor	23-21266-S
of second qing emperor 1644 1662	68-25792-S
of secret cohabitation also derogatory	69-25469-S
