公安局 公安局	7-58681-B
军事威胁	60-62532-S
军事学	60-62603-S
军事实力	60-62732-S
军事家	60-62664-S
军事情报	60-62819-S
军事援助	60-62954-S
军事机构	60-63110-S
军事核大国	60-63023-S
军事法庭	60-63185-S
军事演习	60-63272-S
军事科学	60-63353-S
军事职业专业	60-63424-S
军事设施	60-63536-S
军事部门	60-63614-S
军人	60-63684-S
军令状	60-63755-S
军刀	60-63960-S
军分区	60-64014-S
军力	60-64080-S
军务	60-64127-S
军区	60-64176-S
军医	61-813-S
军医院	61-861-S
军品出口领导小组	60-64257-S
军售	60-64395-S
军团	60-64505-S
军团杆菌	60-64552-S
军团菌病	60-64628-S
军国主义	60-64440-S
军士	60-64707-S
军备	60-63818-S
军备竞赛	60-63877-S
军委	60-64749-S
军委会	60-64843-S
军官	60-64970-S
军情	60-65023-S
军情五处	60-65079-S
军情六处	60-65177-S
军政	60-65284-S
军政府	60-65339-S
军方	60-65404-S
军旅	60-65447-S
军曹鱼	60-65484-S
军机	60-65746-S
军机处	60-65846-S
军校	60-65574-S
军棋	60-65641-S
军民	61-0-S
军法	61-81-S
军港	61-125-S
军演	61-181-S
军火	61-233-S
军火库	61-290-S
军用	61-394-S
军舰	61-468-S
军营	61-341-S
军衔	61-923-S
军装	61-532-S
军训	61-585-S
军费	61-636-S
军费开支	61-690-S
军车	61-763-S
军阀	61-981-S
军队	61-1094-S
军阵	61-1043-S
军需	61-1139-S
农	61-39394-S
农业	61-41251-S
农业区	61-41304-S
农业合作化	61-41367-S
农业机械	61-41484-S
农业现代化	61-41561-S
农业生产合作社	61-41657-S
农业部	61-41783-S
农业集体化	61-41852-S
农事	61-39429-S
农事活动	61-39476-S
农产	61-42319-S
农产品	61-42388-S
农人	61-39557-S
农会	61-40809-S
农作物	61-39598-S
农作物品种	61-39655-S
农具	61-39848-S
农历	61-40724-S
农园	61-39908-S
农地	61-39954-S
农场	61-39996-S
农夫	61-40037-S
农奴	61-40085-S
农妇	61-40123-S
农学	61-40207-S
农安	61-40262-S
农安县	61-40337-S
农家	61-39754-S
农家庭院	61-40424-S
农工	61-40491-S
农庄	61-42559-S
农德孟	61-40614-S
农户	61-40673-S
农机	61-41966-S
农村	61-40900-S
农村合作化	61-40953-S
农林水产省	61-41071-S
农桑	61-41166-S
农民	61-42022-S
农民党	61-42195-S
农民工	61-42064-S
农民起义	61-42126-S
农活	61-42275-S
农田	61-42455-S
农舍	61-42515-S
农艺	61-42607-S
农药	61-42652-S
农贷	61-42722-S
农贸市场	61-42789-S
农農孟	61-42863-S
冞	8-12827-S
冞 冞	8-12827-B
冠	8-12853-S,8-12896-S
冠 冠	8-12853-B,8-12896-B
冠冕	8-12927-S
冠冕 冠冕	8-12927-B
冠军	8-13359-S
冠军赛	8-13402-S
冠县	8-13163-S
冠子	8-12974-S
冠子 冠子	8-12974-B
冠心病	8-13018-S
冠心病 冠心病	8-13018-B
冠状动脉	8-13087-S
冠狀動脈 冠状动脉	8-13087-B
冠縣 冠县	8-13163-B
冠脈 冠脉	8-13222-B
冠脈循環 冠脉循环	8-13281-B
冠脉	8-13222-S
冠脉循环	8-13281-S
冠軍 冠军	8-13359-B
冠軍賽 冠军赛	8-13402-B
冢	8-13460-S,16-19150-S
冢 冢	8-13460-B
冢中枯骨	16-19193-S
冤	8-13548-S
冤 冤	8-13548-B
冤业	8-14769-S
冤仇	8-13597-S
冤仇 冤仇	8-13597-B
冤假錯案 冤假错案	8-13679-B
冤假错案	8-13679-S
冤大头	8-13741-S
冤大头 冤大头	8-13741-B
冤头	8-15260-S
冤孽	8-13839-S
冤孽 冤孽	8-13839-B
冤家	8-13913-S
冤家 冤家	8-13913-B
冤家对头	8-13966-S
冤家對頭 冤家对头	8-13966-B
冤家路窄	8-14062-S
冤家路窄 冤家路窄	8-14062-B
冤屈	8-14213-S
冤屈 冤屈	8-14213-B
冤情	8-14284-S
冤情 冤情	8-14284-B
冤抑	8-14392-S
冤抑 冤抑	8-14392-B
冤枉	8-14445-S
冤枉 冤枉	8-14445-B
冤枉路	8-14545-S
冤枉路 冤枉路	8-14545-B
冤枉錢 冤枉钱	8-14623-B
冤枉钱	8-14623-S
冤案	8-14713-S
冤案 冤案	8-14713-B
冤業 冤业	8-14769-B
冤死	8-14862-S
冤死 冤死	8-14862-B
冤气	8-14917-S
冤氣 冤气	8-14917-B
冤狱	8-14977-S
冤獄 冤狱	8-14977-B
冤苦	8-15067-S
冤苦 冤苦	8-15067-B
冤誣 冤诬	8-15125-B
冤诬	8-15125-S
冤錢 冤钱	8-15181-B
冤钱	8-15181-S
冤頭 冤头	8-15260-B
冤魂	8-15304-S
冤魂 冤魂	8-15304-B
冥	8-15420-S
冥 冥	8-15420-B
冥合	8-15453-S
冥合 冥合	8-15453-B
冥思苦想	8-15558-S
冥思苦想 冥思苦想	8-15558-B
冥想	8-15693-S
冥想 冥想	8-15693-B
冥王星	8-15740-S
冥王星 冥王星	8-15740-B
冪 幂	8-15802-B
冪級數 幂级数	8-15885-B
冬	8-15948-S
冬 冬	8-15948-B
冬不拉	8-15978-S
冬不拉 冬不拉	8-15978-B
冬天	8-16039-S
冬天 冬天	8-16039-B
冬奥会	8-16081-S
冬奧會 冬奥会	8-16081-B
冬季	8-16141-S
冬季 冬季	8-16141-B
冬山乡	8-16181-S
冬山鄉 冬山乡	8-16181-B
冬瓜	8-16262-S
冬瓜 冬瓜	8-16262-B
冬眠	8-16321-S
冬眠 冬眠	8-16321-B
冬至	8-16378-S
冬至 冬至	8-16378-B
冬至点	8-16428-S
冬至點 冬至点	8-16428-B
冬虫夏草	8-16494-S
冬蟲夏草 冬虫夏草	8-16494-B
冬运会	8-16574-S
冬運會 冬运会	8-16574-B
冬青	8-16632-S
冬青 冬青	8-16632-B
冬青树	8-16673-S
冬青樹 冬青树	8-16673-B
冯	69-44875-S
冯梦龙	69-44911-S
冯玉祥	69-44984-S
冰	8-16725-S
冰 冰	8-16725-B
冰上运动	8-16752-S
冰上運動 冰上运动	8-16752-B
冰冷	8-16822-S
冰冷 冰冷	8-16822-B
冰冻	8-16866-S
冰凉	8-18774-S
冰凍 冰冻	8-16866-B
冰凝器	8-16908-S
冰凝器 冰凝器	8-16908-B
冰刀	8-16964-S
冰刀 冰刀	8-16964-B
冰场	8-17009-S
冰块	8-17087-S
冰坝	8-17248-S
冰場 冰场	8-17009-B
冰塊 冰块	8-17087-B
冰塔	8-17141-S
冰塔 冰塔	8-17141-B
冰塞	8-17180-S
冰塞 冰塞	8-17180-B
冰壩 冰坝	8-17248-B
冰壶	8-17319-S
冰壺 冰壶	8-17319-B
冰天雪地	8-17381-S
冰天雪地 冰天雪地	8-17381-B
冰封	8-17461-S
冰封 冰封	8-17461-B
冰山	8-17505-S
冰山 冰山	8-17505-B
冰山一角	8-17561-S
冰山一角 冰山一角	8-17561-B
冰岛	8-17637-S
冰島 冰岛	8-17637-B
冰川	8-17679-S
冰川 冰川	8-17679-B
冰川期	8-17723-S
冰川期 冰川期	8-17723-B
冰帽	8-17777-S
冰帽 冰帽	8-17777-B
冰心	8-17818-S
冰心 冰心	8-17818-B
冰排	8-17873-S
冰排 冰排	8-17873-B
冰晶	8-17925-S
冰晶 冰晶	8-17925-B
冰晶石	8-17973-S
冰晶石 冰晶石	8-17973-B
冰期	8-18028-S
冰期 冰期	8-18028-B
冰染染料	8-18083-S
冰染染料 冰染染料	8-18083-B
冰柱	8-18151-S
冰柱 冰柱	8-18151-B
冰棍儿	8-18192-S
冰棍兒 冰棍儿	8-18192-B
冰棒	8-18254-S
冰棒 冰棒	8-18254-B
冰橇	8-18297-S
冰橇 冰橇	8-18297-B
冰水	8-18351-S
冰水 冰水	8-18351-B
冰沙	8-18397-S
冰沙 冰沙	8-18397-B
冰河	8-18477-S
冰河 冰河	8-18477-B
冰河时期	8-18540-S
冰河時期 冰河时期	8-18540-B
冰洲石	8-18602-S
冰洲石 冰洲石	8-18602-B
冰消瓦解	8-18661-S
冰消瓦解 冰消瓦解	8-18661-B
冰涼 冰凉	8-18774-B
冰淇淋	8-18819-S
冰淇淋 冰淇淋	8-18819-B
冰激凌	8-18873-S
冰激凌 冰激凌	8-18873-B
冰炭不相容	8-18928-S
冰炭不相容 冰炭不相容	8-18928-B
冰点	8-20281-S
冰片	8-19052-S
冰片 冰片	8-19052-B
冰球	8-19095-S
冰球 冰球	8-19095-B
冰球场	8-19145-S
冰球場 冰球场	8-19145-B
冰盖	8-19679-S
冰砖	8-19208-S
冰碛	8-19260-S
冰磚 冰砖	8-19208-B
冰磧 冰碛	8-19260-B
冰积物	8-19326-S
冰積物 冰积物	8-19326-B
冰窖	8-19386-S
冰窖 冰窖	8-19386-B
冰箱	8-19430-S
冰箱 冰箱	8-19430-B
冰糕	8-19494-S
冰糕 冰糕	8-19494-B
冰糖	8-19564-S
冰糖 冰糖	8-19564-B
冰船	8-19624-S
冰船 冰船	8-19624-B
冰蓋 冰盖	8-19679-B
冰蚀	8-19769-S
冰蛋	8-19723-S
冰蛋 冰蛋	8-19723-B
冰蝕 冰蚀	8-19769-B
冰袋	8-19827-S
冰袋 冰袋	8-19827-B
冰醋酸	8-19869-S
冰醋酸 冰醋酸	8-19869-B
冰释	8-19934-S
冰釋 冰释	8-19934-B
冰鎮 冰镇	8-19983-B
冰镇	8-19983-S
冰隙	8-20023-S
冰隙 冰隙	8-20023-B
冰雕	8-20065-S
冰雕 冰雕	8-20065-B
冰雹	8-20114-S
冰雹 冰雹	8-20114-B
冰霜	8-20163-S
冰霜 冰霜	8-20163-B
冰鞋	8-20226-S
冰鞋 冰鞋	8-20226-B
冰點 冰点	8-20281-B
冱	8-20331-S
冱 冱	8-20331-B
冲	37-12703-S,37-12824-S,56-38985-S,56-39022-S
冲冲	37-13552-S
冲决	37-13495-S
冲击	56-39459-S
冲击波	56-39524-S
冲刺	56-39069-S
冲剂	37-12890-S
冲力	56-39141-S
冲动	56-39183-S
冲向	56-39263-S
冲塌	37-12992-S
冲打	56-39315-S
冲撞	56-39363-S
冲断层	56-39621-S
冲昏头脑	37-13185-S,56-39708-S
冲服	37-13329-S
冲服剂	37-13401-S
冲杀	56-39852-S
冲洗	37-13599-S
冲浪	56-39917-S
冲浪板	56-39970-S
冲淡	37-13650-S
冲破	56-40039-S
冲积	37-13695-S
冲积层	37-13738-S
冲积平原	37-13801-S
冲突	56-40118-S
冲绳	37-13874-S
冲绳县	37-13984-S
冲绳岛	37-13919-S
冲绳群岛	37-14052-S
冲走	37-14135-S
冲进	56-40234-S
冲锋	37-14184-S,56-40298-S
冲锋枪	56-40349-S
决	36-65380-S
决不	36-65441-S
决口	36-65501-S
决堤	37-599-S
决定	36-65552-S
决定性	36-65638-S
决定簇	36-65704-S
决定论	36-65801-S
决心	36-65858-S
决意	36-65967-S
决战	36-66016-S
决斗	37-656-S
决策	37-0-S
决策树	37-103-S
决策者	37-160-S
决算	37-215-S
决裂	37-330-S
决议	37-435-S
决议案	37-478-S
决赛	37-540-S
况	37-27964-S
