嚭	14-40989-S
國家機密 国家机密	15-5966-B
國家火山公園 国家火山公园	15-6032-B
國家環保總局 国家环保总局	15-6136-B
國家發展和改革委員會 国家发展和改革委员会	15-6250-B
國家發展計劃委員會 国家发展计划委员会	15-6417-B
國家級 国家级	15-6572-B
國家經濟貿易委員會 国家经济贸易委员会	15-6652-B
國家航天局 国家航天局	15-6805-B
國家航空公司 国家航空公司	15-6931-B
國家計劃委員會 国家计划委员会	15-7023-B
國家計委 国家计委	15-7140-B
國家質量監督檢驗檢疫總局 国家质量监督检验检疫总局	15-7223-B
國家軍品貿易局 国家军品贸易局	15-7438-B
國家軍品貿易管理委員會 国家军品贸易管理委员会	15-7572-B
國家開發銀行 国家开发银行	15-7771-B
國家隊 国家队	15-7871-B
國家食品藥品監督管理局 国家食品药品监督管理局	15-7933-B
國家體委 国家体委	15-8103-B
國富論 国富论	15-8200-B
國寶 国宝	15-8316-B
國度 国度	15-8433-B
國庫 国库	15-8473-B
國庫券 国库券	15-8552-B
國徽 国徽	15-8610-B
國恥 国耻	15-8672-B
國情 国情	15-8726-B
國慶 国庆	15-8831-B
國慶日 国庆日	15-8886-B
國慶節 国庆节	15-9019-B
國教 国教	15-9077-B
國旗 国旗	15-9126-B
國書 国书	15-9178-B
國會 国会	15-9309-B
國會大廈 国会大厦	15-9367-B
國會山 国会山	15-9429-B
國會議員 国会议员	15-9487-B
國會議長 国会议长	15-9573-B
國有 国有	15-9650-B
國有企業 国有企业	15-9732-B
國有化 国有化	15-9828-B
國棋 国棋	15-9888-B
國槐 国槐	15-9956-B
國槐樹 国槐树	15-10021-B
國樂 国乐	15-10097-B
國標 国标	15-10171-B
國標碼 国标码	15-10233-B
國標舞 国标舞	15-10292-B
國歌 国歌	15-10376-B
國民 国民	15-10424-B
國民收入 国民收入	15-10466-B
國民政府 国民政府	15-10560-B
國民生產總值 国民生产总值	15-10692-B
國民警衛隊 国民警卫队	15-10825-B
國民革命軍 国民革命军	15-10923-B
國民黨 国民党	15-11017-B
國民黨軍隊 国民党军队	15-11109-B
國法 国法	15-11195-B
國泰 国泰	15-11240-B
國泰民安 国泰民安	15-11308-B
國泰航空 国泰航空	15-11417-B
國營 国营	15-11489-B
國營企業 国营企业	15-11560-B
國父 国父	15-11636-B
國王 国王	15-11735-B
國璽 国玺	15-11774-B
國產 国产	15-11820-B
國界線 国界线	15-11894-B
國畫 国画	15-11988-B
國立 国立	15-12051-B
國立臺北科技大學 国立台北科技大学	15-12109-B
國立臺灣技術大學 国立台湾技术大学	15-12245-B
國立顯忠院 国立显忠院	15-12394-B
國策 国策	15-12513-B
國籍 国籍	15-12563-B
國粹 国粹	15-12607-B
國美 国美	15-12690-B
國花 国花	15-12748-B
國菜 国菜	15-12827-B
國葬 国葬	15-12884-B
國號 国号	15-12932-B
國術 国术	15-13013-B
國語 国语	15-13059-B
國語羅馬字 国语罗马字	15-13119-B
國貿 国贸	15-13262-B
國賓館 国宾馆	15-13326-B
國都 国都	15-13388-B
國防 国防	15-13437-B
國防利益 国防利益	15-13488-B
國防工業 国防工业	15-13571-B
國防現代化 国防现代化	15-13644-B
國防科技工業委員會 国防科技工业委员会	15-13746-B
國防語言學院 国防语言学院	15-13884-B
國防部 国防部	15-14007-B
國防部長 国防部长	15-14099-B
國防預算 国防预算	15-14191-B
國隊 国队	15-14262-B
國際 国际	15-14309-B
國際主義 国际主义	15-14355-B
國際互聯網絡 国际互联网络	15-14425-B
國際先驅論壇報 国际先驱论坛报	15-14511-B
國際公制 国际公制	15-14627-B
國際共產主義運動 国际共产主义运动	15-14696-B
國際刑事警察組織 国际刑事警察组织	15-14843-B
國際刑警組織 国际刑警组织	15-14996-B
國際勞動節 国际劳动节	15-15127-B
國際勞工組織 国际劳工组织	15-15201-B
國際化 国际化	15-15310-B
國際協會 国际协会	15-15394-B
國際原子能機構 国际原子能机构	15-15474-B
國際原子能結構 国际原子能结构	15-15596-B
國際和平基金會 国际和平基金会	15-15726-B
國際商會 国际商会	15-15843-B
國際商業機器 国际商业机器	15-15939-B
國際單位 国际单位	15-16050-B
國際單位制 国际单位制	15-16123-B
國際外交 国际外交	15-16218-B
國際大赦 国际大赦	15-16288-B
國際太空站 国际太空站	15-16384-B
國際奧委會 国际奥委会	15-16479-B
國際奧林匹克委員會 国际奥林匹克委员会	15-16575-B
國際性 国际性	15-16714-B
國際文傳通訊社 国际文传通讯社	15-16789-B
國際日期變更線 国际日期变更线	15-16900-B
國際棋聯 国际棋联	15-17012-B
國際標準 国际标准	15-17097-B
國際標準化組織 国际标准化组织	15-17176-B
國際標準組織 国际标准组织	15-17311-B
國際機場 国际机场	15-17429-B
國際歌 国际歌	15-17506-B
國際民間組織 国际民间组织	15-17567-B
國際法 国际法	15-17683-B
國際法庭 国际法庭	15-17743-B
國際海事組織 国际海事组织	15-17828-B
國際清算銀行 国际清算银行	15-17939-B
國際特赦 国际特赦	15-18053-B
國際特赦組織 国际特赦组织	15-18128-B
國際社會 国际社会	15-18224-B
國際私法 国际私法	15-18306-B
國際級 国际级	15-18375-B
國際組織 国际组织	15-18445-B
國際網絡 国际网络	15-18525-B
國際網絡公司 国际网络公司	15-18589-B
國際網絡門戶 国际网络门户	15-18683-B
國際羽毛球聯合會 国际羽毛球联合会	15-18775-B
國際聯盟 国际联盟	15-18907-B
國際航空聯合會 国际航空联合会	15-18981-B
國際航空運輸協會 国际航空运输协会	15-19118-B
國際見聞 国际见闻	15-19258-B
國際象棋 国际象棋	15-19348-B
國際貨幣基金 国际货币基金	15-19409-B
國際貨幣基金組織 国际货币基金组织	15-19517-B
國際貿易 国际贸易	15-19644-B
國際足球聯合會 国际足球联合会	15-19717-B
國際足聯 国际足联	15-19857-B
國際跳棋 国际跳棋	15-19965-B
國際醫療中心 国际医疗中心	15-20049-B
國際金融公司 国际金融公司	15-20156-B
國際關系 国际关系	15-20267-B
國際關系學院 国际关系学院	15-20345-B
國際電信聯盟 国际电信联盟	15-20460-B
國際電報電話咨詢委員會 国际电报电话咨询委员会	15-20582-B
國際電話 国际电话	15-20721-B
國際電話電報諮詢委員會 国际电话电报谘询委员会	15-20795-B
國際音標 国际音标	15-21009-B
國際體操聯合會 国际体操联合会	15-21096-B
圌	15-21225-S
圌 圌	15-21225-B
圍 围	15-21267-B
圍住 围住	15-21311-B
圍兜 围兜	15-21364-B
圍剿 围剿	15-21401-B
圍困 围困	15-21550-B
圍坐 围坐	15-21594-B
圍城 围城	15-21673-B
圍堰 围堰	15-21735-B
圍場 围场	15-21780-B
圍巾 围巾	15-21937-B
圍攏 围拢	15-21982-B
圍攻 围攻	15-22032-B
圍棋 围棋	15-22077-B
圍欄 围栏	15-22124-B
圍牆 围墙	15-22180-B
圍籬 围篱	15-22225-B
圍繞 围绕	15-22270-B
圍裙 围裙	15-22345-B
圏	15-22384-S
圏 圏	15-22384-B
園 园	15-22431-B
園丁 园丁	15-22461-B
園地 园地	15-22505-B
園林 园林	15-22550-B
園藝 园艺	15-22614-B
圓 圆	15-22671-B
圓光 圆光	15-22796-B
圓函數 圆函数	15-22870-B
圓周 圆周	15-22943-B
圓周率 圆周率	15-22992-B
圓圈 圆圈	15-23071-B
圓圖 圆图	15-23113-B
圓場 圆场	15-23158-B
圓寂 圆寂	15-23228-B
圓屋頂 圆屋顶	15-23291-B
圓弧 圆弧	15-23341-B
圓形 圆形	15-23403-B
圓形木材 圆形木材	15-23453-B
圓形麵包 圆形面包	15-23513-B
圓心 圆心	15-23575-B
圓括號 圆括号	15-23626-B
圓拱 圆拱	15-23702-B
圓明園 圆明园	15-23751-B
圓柱 圆柱	15-23811-B
圓柱形 圆柱形	15-23861-B
圓柱體 圆柱体	15-23919-B
圓桌會議 圆桌会议	15-23983-B
圓滑 圆滑	15-24062-B
圓滿 圆满	15-24129-B
圓潤 圆润	15-24176-B
圓珠 圆珠	15-24265-B
圓珠形離子交換劑 圆珠形离子交换剂	15-24319-B
圓珠筆 圆珠笔	15-24443-B
圓球 圆球	15-24501-B
圓盤 圆盘	15-24553-B
圓石頭 圆石头	15-24592-B
圓腹鯡 圆腹鲱	15-24644-B
圓舞曲 圆舞曲	15-24702-B
圓規 圆规	15-24751-B
圓規座 圆规座	15-24804-B
圓軌道 圆轨道	15-24874-B
圓錐 圆锥	15-24969-B
圓錐形 圆锥形	15-25044-B
圓錐曲線 圆锥曲线	15-25108-B
圓錐體 圆锥体	15-25179-B
圓頂 圆顶	15-25229-B
圖 图	15-25269-B
圖們 图们	15-25328-B
圖們市 图们市	15-25473-B
圖們江 图们江	15-25629-B
圖像 图像	15-25732-B
圖像互換格式 图像互换格式	15-25788-B
圖像用戶介面 图像用户介面	15-25896-B
圖像處理 图像处理	15-26004-B
圖克 图克	15-26076-B
圖坦卡門 图坦卡门	15-26157-B
圖形 图形	15-26222-B
圖形卡 图形卡	15-26304-B
圖形用戶界面 图形用户界面	15-26361-B
圖書 图书	15-26470-B
圖書管理員 图书管理员	15-26536-B
圖書館 图书馆	15-26612-B
圖書館員 图书馆员	15-26664-B
圖木舒克 图木舒克	15-26730-B
圖木舒克市 图木舒克市	15-26871-B
圖林根 图林根	15-27023-B
圖案 图案	15-27095-B
圖標 图标	15-27141-B
圖樣 图样	15-27190-B
圖爾 图尔	15-27241-B
圖爾庫 图尔库	15-27295-B
圖片 图片	15-27360-B
圖片報 图片报	15-27418-B
圖版 图版	15-27475-B
圖瓦盧 图瓦卢	15-27555-B
圖畫 图画	15-27603-B
圖盧斯 图卢斯	15-27651-B
圖盧茲 图卢兹	15-27710-B
圖章 图章	15-27777-B
圖簽 图签	15-27822-B
圖紙 图纸	15-27871-B
圖表 图表	15-27946-B
圖解說明 图解说明	15-27993-B
圖謀 图谋	15-28060-B
圖譜 图谱	15-28101-B
圖象 图象	15-28163-B
圖輯 图辑	15-28211-B
圖釘 图钉	15-28280-B
圖阿雷格 图阿雷格	15-28323-B
圖靈獎 图灵奖	15-28412-B
圖騰 图腾	15-28471-B
團 团	15-28529-B
團伙 团伙	15-28590-B
團員 团员	15-28656-B
團圓 团圆	15-28711-B
團契 团契	15-28764-B
團年 团年	15-28819-B
團結 团结	15-28885-B
團結就是力量 团结就是力量	15-28946-B
團結工會 团结工会	15-29090-B
團聚 团聚	15-29182-B
團長 团长	15-29244-B
團隊 团队	15-29320-B
團隊精神 团队精神	15-29359-B
團體 团体	15-29469-B
團體行 团体行	15-29526-B
圛	15-29584-S
圛 圛	15-29584-B
圜	15-29626-S,15-29665-S
圜 圜	15-29626-B,15-29665-B
圞	15-29701-S
圞 圞	15-29701-B
土	15-29730-S
土 土	15-29730-B
土产	15-32008-S
土伦	15-29823-S
土倫 土伦	15-29823-B
土制	15-32561-S
土包子	15-29879-S
土包子 土包子	15-29879-B
土匪	15-29980-S
土匪 土匪	15-29980-B
土卫六	15-32492-S
土司	15-30019-S
土司 土司	15-30019-B
土地	15-30120-S
土地 土地	15-30120-B
土坝	15-30371-S
土城	15-30166-S
土城 土城	15-30166-B
土堆	15-30229-S
土堆 土堆	15-30229-B
土壤	15-30267-S
土壤 土壤	15-30267-B
土壤学	15-30305-S
土壤學 土壤学	15-30305-B
土壩 土坝	15-30371-B
土家族	15-30486-S
土家族 土家族	15-30486-B
土尔其四谈	15-31468-S
土层	15-30556-S
土層 土层	15-30556-B
土崩瓦解	15-30616-S
土崩瓦解 土崩瓦解	15-30616-B
土布	15-30696-S
土布 土布	15-30696-B
土库曼	15-30742-S
土库曼人	15-30822-S
土库曼斯坦	15-30892-S
土库镇	15-30968-S
土庫曼 土库曼	15-30742-B
土庫曼人 土库曼人	15-30822-B
土庫曼斯坦 土库曼斯坦	15-30892-B
土庫鎮 土库镇	15-30968-B
土拉弗氏菌	15-31037-S
土拉弗氏菌 土拉弗氏菌	15-31037-B
土拨鼠	15-31123-S
土撥鼠 土拨鼠	15-31123-B
土族	15-31175-S
土族 土族	15-31175-B
土星	15-31216-S
土星 土星	15-31216-B
土木	15-31265-S
土木 土木	15-31265-B
土木工程	15-31336-S
土木工程 土木工程	15-31336-B
土桑	15-31410-S
土桑 土桑	15-31410-B
土爾其斯坦 土尔其四谈	15-31468-B
土牛	15-31540-S
土牛 土牛	15-31540-B
土牛木馬 土牛木马	15-31635-B
土牛木马	15-31635-S
土特产 土特產	15-31695-B
土特產	15-31695-S
土狗	15-31755-S
土狗 土狗	15-31755-B
土狼	15-31845-S
土狼 土狼	15-31845-B
土猪	15-32872-S
土生土長 土生土长	15-31908-B
土生土长	15-31908-S
土產 土产	15-32008-B
土神	15-32107-S
土神 土神	15-32107-B
土耳其	15-32150-S
土耳其 土耳其	15-32150-B
土耳其四谈	15-32198-S
土耳其斯坦 土耳其四谈	15-32198-B
土耳其語 土耳其语	15-32270-B
土耳其语	15-32270-S
土茴香	15-32340-S
土茴香 土茴香	15-32340-B
土著	15-32395-S
土著 土著	15-32395-B
土著人	15-32438-S
土著人 土著人	15-32438-B
土衛六 土卫六	15-32492-B
土製 土制	15-32561-B
土豆	15-32614-S
土豆 土豆	15-32614-B
土豆丝	15-32709-S
土豆泥	15-32653-S
土豆泥 土豆泥	15-32653-B
土豆絲 土豆丝	15-32709-B
土豚	15-32767-S
土豚 土豚	15-32767-B
土豪	15-32808-S
土豪 土豪	15-32808-B
土豬 土猪	15-32872-B
土邦	15-32913-S
土邦 土邦	15-32913-B
土門 土门	15-33047-B
土门	15-33047-S
土鯪魚 土鲮鱼	15-33090-B
土鲮鱼	15-33090-S
土默特右旗	15-33165-S
土默特右旗 土默特右旗	15-33165-B
土默特左旗	15-33270-S
土默特左旗 土默特左旗	15-33270-B
圣	51-44118-S
圣上	51-44165-S
圣事	51-44267-S
圣人	51-44389-S
圣但尼	51-44491-S
圣体	51-52693-S
圣体节	51-52794-S
圣体血	51-52911-S
圣保罗	51-44558-S
圣像	51-44640-S
圣克鲁斯	51-44726-S
圣克鲁斯岛	51-44791-S
圣劳伦斯河	51-44874-S
圣化	51-44967-S
圣卢西亚	51-49095-S
圣卢西亚岛	51-49161-S
圣君	51-45037-S
圣哉经	51-45077-S
圣哲	51-45159-S
圣地	51-45199-S
圣地亚哥	51-45310-S
圣城	51-45392-S
圣基茨和尼维斯	51-45439-S
圣塔伦	51-45546-S
圣多明各	51-45599-S
圣多明哥	51-45668-S
圣多美	51-45771-S
圣多美和普林西比	51-45861-S
圣奥古斯丁	51-45983-S
圣女贞德	51-46092-S
圣婴	51-46173-S
圣子	51-46251-S
圣安地列斯断层	51-46346-S
圣安德列斯断层	51-46452-S
圣庙	51-46559-S
圣彼得堡	51-46629-S
圣徒	51-46718-S
圣德克旭贝里	51-46758-S
圣德太子	51-46861-S
圣心节	51-46948-S
圣战	51-47020-S
圣手	51-47071-S
圣文森和格林纳丁	51-47164-S
圣文森特和格林纳丁斯	51-47289-S
圣旨	51-47441-S
圣明	51-47491-S
圣朝	51-47597-S
圣杯	51-47678-S
圣歌	51-47724-S
圣殿	51-47763-S
