使怒 使怒	5-14044-B
修理 修理	5-48656-B
修理厂	5-48734-S
修理廠 修理厂	5-48734-B
修筑	5-48791-S
修築 修筑	5-48791-B
修繕 修缮	5-48833-B
修缮	5-48833-S
修罗	5-48902-S
修羅 修罗	5-48902-B
修行	5-48941-S
修行 修行	5-48941-B
修行人	5-49003-S
修行人 修行人	5-49003-B
修补	5-49094-S
修补匠	5-49131-S
修補 修补	5-49094-B
修補匠 修补匠	5-49131-B
修訂 修订	5-49183-B
修訂版 修订版	5-49224-B
修订	5-49183-S
修订版	5-49224-S
修路	5-49301-S
修路 修路	5-49301-B
修車 修车	5-49350-B
修车	5-49350-S
修辞	5-49410-S
修辞学	5-49451-S
修辭 修辞	5-49410-B
修辭學 修辞学	5-49451-B
修道	5-49503-S
修道 修道	5-49503-B
修道会	5-49607-S
修道张	5-49555-S
修道張 修道张	5-49555-B
修道會 修道会	5-49607-B
修道院	5-49668-S
修道院 修道院	5-49668-B
修長 修长	5-49731-B
修长	5-49731-S
修院	5-49794-S
修院 修院	5-49794-B
修鞋匠	5-49857-S
修鞋匠 修鞋匠	5-49857-B
修飾 修饰	5-49913-B
修養 修养	5-49996-B
修饰	5-49913-S
修齊 修齐	5-50071-B
修齐	5-50071-S
俯	5-50128-S
俯 俯	5-50128-B
俯伏	5-50165-S
俯伏 俯伏	5-50165-B
俯冲	5-50294-S
俯卧撑	5-50213-S
俯臥撐 俯卧撑	5-50213-B
俯衝 俯冲	5-50294-B
俯視 俯视	5-50346-B
俯视	5-50346-S
俯身	5-50387-S
俯身 俯身	5-50387-B
俯首帖耳	5-50462-S
俯首帖耳 俯首帖耳	5-50462-B
俱	5-50598-S,5-50646-S
俱 俱	5-50598-B,5-50646-B
俱乐部	5-50681-S
俱樂部 俱乐部	5-50681-B
俳	5-50758-S
俳 俳	5-50758-B
俳句	5-50816-S
俳句 俳句	5-50816-B
俴	5-50854-S
俴 俴	5-50854-B
俵	5-50902-S
俵 俵	5-50902-B
俶	5-50936-S
俶 俶	5-50936-B
俷	5-50964-S
俷 俷	5-50964-B
俸	5-51027-S
俸 俸	5-51027-B
俸祿 俸禄	5-51057-B
俸禄	5-51057-S
俺	5-51126-S
俺 俺	5-51126-B
俾	5-51169-S
俾 俾	5-51169-B
俾使	5-51221-S
俾使 俾使	5-51221-B
俾倪	5-51274-S
俾倪 俾倪	5-51274-B
俾斯麥 俾斯麦	5-51329-B
俾斯麦	5-51329-S
俾格米	5-51417-S
俾格米 俾格米	5-51417-B
俾路支	5-51464-S
俾路支 俾路支	5-51464-B
俾路支省	5-51562-S
俾路支省 俾路支省	5-51562-B
倀 伥	5-51640-B
倅	5-51686-S
倅 倅	5-51686-B
倆 俩	5-51743-B,5-51810-B
倉 仓	5-51848-B
倉促 仓促	5-51916-B
倉儲 仓储	5-51957-B
倉庫 仓库	5-52010-B
倉皇 仓皇	5-52070-B
倉皇出逃 仓皇出逃	5-52126-B
倉頡 仓颉	5-52225-B,5-52268-B
倉鼠 仓鼠	5-52311-B
個 个	5-52353-B
個中 个中	5-52444-B
個中人 个中人	5-52494-B
個人 个人	5-52560-B
個人主義 个人主义	5-52620-B
個人傷害 个人伤害	5-52687-B
個人崇拜 个人崇拜	5-52759-B
個人衛生 个人卫生	5-52832-B
個人防護裝備 个人防护装备	5-52905-B
個人電腦 个人电脑	5-53016-B
個位 个位	5-53092-B
個個 个个	5-53174-B
個兒 个儿	5-53264-B
個別 个别	5-53314-B
個子 个子	5-53393-B
個展 个展	5-53449-B
個性 个性	5-53506-B
個性化 个性化	5-53565-B
個把 个把	5-53648-B
個案 个案	5-53702-B
個股 个股	5-53772-B
個舊 个旧	5-53831-B
個舊市 个旧市	5-53869-B
個頭兒 个头儿	5-53918-B
個體 个体	5-53979-B
個體戶 个体户	5-54021-B
個體經濟 个体经济	5-54103-B
倌	5-54212-S
倌 倌	5-54212-B
倍	5-54305-S
倍 倍	5-54305-B
倍塔	5-54332-S
倍塔 倍塔	5-54332-B
倍增	5-54369-S
倍增 倍增	5-54369-B
倍增器	5-54492-S
倍增器 倍增器	5-54492-B
倍数	5-54547-S
倍數 倍数	5-54547-B
倍足类	5-54643-S
倍足綱 倍足纲	5-54589-B
倍足纲	5-54589-S
倍足類 倍足类	5-54643-B
倍頻器 倍频器	5-54749-B
倍频器	5-54749-S
倏	5-54813-S
倏 倏	5-54813-B
們 们	5-54849-B
倒	5-54933-S,5-55092-S
倒 倒	5-54933-B,5-55092-B
倒下	5-55181-S
倒下 倒下	5-55181-B
倒买倒卖	5-61061-S
倒仓	5-55410-S
倒伏	5-55241-S
倒伏 倒伏	5-55241-B
倒休	5-55316-S
倒休 倒休	5-55316-B
倒位	5-55367-S
倒位 倒位	5-55367-B
倒倉 倒仓	5-55410-B
倒像	5-55541-S
倒像 倒像	5-55541-B
倒刺	5-55625-S
倒刺 倒刺	5-55625-B
倒卖	5-61307-S
倒卧	5-60246-S
倒叙	5-57858-S
倒台	5-60303-S
倒噍	5-55692-S
倒噍 倒噍	5-55692-B
倒嚼	5-55748-S
倒嚼 倒嚼	5-55748-B
倒坍	5-55804-S
倒坍 倒坍	5-55804-B
倒塌	5-55863-S
倒塌 倒塌	5-55863-B
倒座儿	5-55911-S
倒座兒 倒座儿	5-55911-B
倒开	5-61994-S
倒弄	5-56009-S
倒弄 倒弄	5-56009-B
倒彩	5-56104-S
倒彩 倒彩	5-56104-B
倒影	5-56179-S
倒影 倒影	5-56179-B
倒悬	5-56262-S
倒悬之危	5-56342-S
倒悬之急	5-56503-S
倒悬之苦	5-56663-S
倒懸 倒悬	5-56262-B
倒懸之危 倒悬之危	5-56342-B
倒懸之急 倒悬之急	5-56503-B
倒懸之苦 倒悬之苦	5-56663-B
倒戈	5-56821-S
倒戈 倒戈	5-56821-B
倒戈卸甲	5-56887-S
倒戈卸甲 倒戈卸甲	5-56887-B
倒手	5-56958-S
倒手 倒手	5-56958-B
倒打一耙	5-57061-S
倒打一耙 倒打一耙	5-57061-B
倒把	5-57158-S
倒把 倒把	5-57158-B
倒抽一口气	5-57258-S
倒抽一口氣 倒抽一口气	5-57258-B
倒抽了一口气	5-57344-S
倒抽了一口氣 倒抽了一口气	5-57344-B
倒挂	5-57439-S
倒换	5-57661-S
倒掛 倒挂	5-57439-B
倒插門 倒插门	5-57530-B
倒插门	5-57530-S
倒換 倒换	5-57661-B
倒放	5-57736-S
倒放 倒放	5-57736-B
倒敗 倒败	5-57799-B
倒敘 倒叙	5-57858-B
倒数	5-57922-S,5-58072-S
倒數 倒数	5-57922-B,5-58072-B
倒斃 倒毙	5-58124-B
倒映	5-58169-S
倒映 倒映	5-58169-B
倒春寒	5-58232-S
倒春寒 倒春寒	5-58232-B
倒是	5-58317-S
倒是 倒是	5-58317-B
倒替	5-58405-S
倒替 倒替	5-58405-B
倒果为因	5-58479-S
倒果為因 倒果为因	5-58479-B
倒栽葱	5-58595-S
倒栽蔥 倒栽葱	5-58595-B
倒槽	5-58683-S
倒槽 倒槽	5-58683-B
倒毙	5-58124-S
倒流	5-58742-S
倒流 倒流	5-58742-B
倒海翻江	5-58848-S
倒海翻江 倒海翻江	5-58848-B
倒灌	5-58954-S
倒灌 倒灌	5-58954-B
倒灶	5-59075-S
倒灶 倒灶	5-59075-B
倒爷	5-59148-S
倒爺 倒爷	5-59148-B
倒班	5-59242-S
倒班 倒班	5-59242-B
倒相	5-59309-S
倒相 倒相	5-59309-B
倒睫	5-59375-S
倒睫 倒睫	5-59375-B
倒空	5-59439-S
倒空 倒空	5-59439-B
倒立	5-59521-S
倒立 倒立	5-59521-B
倒立像	5-59620-S
倒立像 倒立像	5-59620-B
倒粪	5-59714-S
倒糞 倒粪	5-59714-B
倒置	5-59832-S
倒置 倒置	5-59832-B
倒胃口	5-59875-S
倒胃口 倒胃口	5-59875-B
倒背如流	5-59971-S
倒背如流 倒背如流	5-59971-B
倒背手	5-60085-S
倒背手 倒背手	5-60085-B
倒背手儿	5-60165-S
倒背手兒 倒背手儿	5-60165-B
倒腾	5-62129-S
倒臥 倒卧	5-60246-B
倒臺 倒台	5-60303-B
倒苦水	5-60392-S
倒苦水 倒苦水	5-60392-B
倒茬	5-60465-S
倒茬 倒茬	5-60465-B
倒蛋	5-60516-S
倒蛋 倒蛋	5-60516-B
倒行逆施	5-60574-S
倒行逆施 倒行逆施	5-60574-B
倒装	5-60748-S
倒装句	5-60873-S
倒裝 倒装	5-60748-B
倒裝句 倒装句	5-60873-B
倒計時 倒计时	5-61008-B
倒计时	5-61008-S
倒買倒賣 倒买倒卖	5-61061-B
倒貼 倒贴	5-61157-B
倒賠 倒赔	5-61249-B
倒賣 倒卖	5-61307-B
倒賬 倒账	5-61375-B
倒败	5-57799-S
倒账	5-61375-S
倒贴	5-61157-S
倒赔	5-61249-S
倒車 倒车	5-61452-B,5-61501-B
倒轉 倒转	5-61576-B
倒车	5-61452-S,5-61501-S
倒转	5-61576-S
倒过儿	5-61773-S
倒运	5-61723-S
倒退	5-61660-S
倒退 倒退	5-61660-B
倒運 倒运	5-61723-B
倒過兒 倒过儿	5-61773-B
倒鎖 倒锁	5-61850-B
倒锁	5-61850-S
倒閉 倒闭	5-61933-B
倒開 倒开	5-61994-B
倒闭	5-61933-S
倒霉	5-62067-S
倒霉 倒霉	5-62067-B
倒騰 倒腾	5-62129-B
倔	5-62216-S
倔 倔	5-62216-B
倔強 倔强	5-62251-B
倔强	5-62251-S
倖 幸	5-62315-B
倘	5-62344-S
倘 倘	5-62344-B
倘若	5-62370-S
倘若 倘若	5-62370-B
候	5-62436-S
候 候	5-62436-B
候任	5-62463-S
候任 候任	5-62463-B
候审	5-62506-S
候審 候审	5-62506-B
候机厅	5-62555-S
候机楼	5-62626-S
候機廳 候机厅	5-62555-B
候機樓 候机楼	5-62626-B
候缺	5-62696-S
候缺 候缺	5-62696-B
候补	5-62751-S
候補 候补	5-62751-B
候診 候诊	5-62829-B
候诊	5-62829-S
候車室 候车室	5-62882-B
候车室	5-62882-S
候选	5-62950-S
候选人	5-62994-S
候選 候选	5-62950-B
候選人 候选人	5-62994-B
候風地動儀 候风地动仪	5-63049-B
候风地动仪	5-63049-S
候鳥 候鸟	5-63182-B
候鸟	5-63182-S
倚	5-63231-S
倚 倚	5-63231-B
倚仗	5-63273-S
倚仗 倚仗	5-63273-B
倚天屠龍記 倚天屠龙记	5-63326-B
倚天屠龙记	5-63326-S
倚賴 倚赖	5-63421-B
倚赖	5-63421-S
倚重	5-63483-S
倚重 倚重	5-63483-B
倚靠	5-63538-S
倚靠 倚靠	5-63538-B
倜	5-63587-S
倜 倜	5-63587-B
借	5-63638-S
借 借	5-63638-B
借书	6-240-S
借书单	6-286-S
借书证	6-340-S
借代	5-63756-S
借代 借代	5-63756-B
借以	5-63856-S
借以 借以	5-63856-B
借位	5-63916-S
借位 借位	5-63916-B
借住	5-63978-S
借住 借住	5-63978-B
借债	5-64020-S
借債 借债	5-64020-B
借光	5-64058-S
借光 借光	5-64058-B
借入方	5-64154-S
借入方 借入方	5-64154-B
借出	5-64239-S
借出 借出	5-64239-B
借刀杀人	5-64277-S
借刀殺人 借刀杀人	5-64277-B
借助	5-64456-S
借助 借助	5-64456-B
借势	5-64506-S
借勢 借势	5-64506-B
借单	5-65010-S
借单儿	5-65097-S
借取	5-64588-S
借取 借取	5-64588-B
借口	5-64630-S
借口 借口	5-64630-B
借古喻今	5-64678-S
借古喻今 借古喻今	5-64678-B
借古諷今 借古讽今	5-64777-B
借古讽今	5-64777-S
借命	5-64886-S
借命 借命	5-64886-B
借問 借问	5-64954-B
借單 借单	5-65010-B
借單兒 借单儿	5-65097-B
借喻	5-65193-S
借喻 借喻	5-65193-B
借契	5-65250-S
借契 借契	5-65250-B
借字	5-65302-S
借字 借字	5-65302-B
借字儿	5-65370-S
借字兒 借字儿	5-65370-B
借宿	5-65434-S
借宿 借宿	5-65434-B
借尸还魂	5-65501-S
借屍還魂 借尸还魂	5-65501-B
借据	6-0-S
借據 借据	6-0-B
借支	6-51-S
借支 借支	6-51-B
借故	6-115-S
借故 借故	6-115-B
借方	6-165-S
借方 借方	6-165-B
借書 借书	6-240-B
借書單 借书单	6-286-B
借書證 借书证	6-340-B
借条	6-399-S
借條 借条	6-399-B
借款	6-456-S
借款 借款	6-456-B
借款人	6-495-S
借款人 借款人	6-495-B
借火	6-553-S
借火 借火	6-553-B
借用	6-622-S
借用 借用	6-622-B
借端	6-722-S
借端 借端	6-722-B
借箸	6-774-S
借箸 借箸	6-774-B
借給 借给	6-859-B
借给	6-859-S
借腹生子	6-906-S
借腹生子 借腹生子	6-906-B
借花献佛	6-981-S
借花獻佛 借花献佛	6-981-B
借記卡 借记卡	6-1166-B
