fe3o4	25-45399-S,42-28226-S,46-45107-S
fickle	16-63671-B,40-50255-B,55-18473-B,55-18653-B
fiction	18-534-S,21-716-B,26-37448-S,47-18392-S,55-53176-B,56-7851-S,58-61648-B,60-54554-S,65-44346-S,68-27131-S,70-35824-S,71-29935-S
fiction comes true	6-8009-B
fiction fairy	46-55687-S
fiction novel	47-18441-S
fiction superhero ultraman ウルトラマン	18-15681-S
fiction thriller	47-18789-S,47-18893-S
fictional	42-25667-S
fictional film	29-58505-B
fictional masonic order	63-20782-S
fictional romance of three kingdoms 三國演義 三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
fictitious	55-51917-B
ficus pumila	55-22675-B
ficus religiosa	54-31156-S
ficus wightiana	34-39106-B
fiddle	3-41081-S,3-41081-S,20-64692-B,43-14265-S
fiddle with	3-26459-S,28-58280-B,29-29869-B
fiddle with sth	28-55764-S
fiddler	20-64750-B
fiddles	52-22229-S,52-22305-S
fiddly	41-10301-B
fidel castro	11-14980-B
fidel name	54-37418-B
fidel ramos	27-25330-S
fidelity	5-38520-B,17-66443-S,19-9302-S,24-47007-B
fidget	45-11012-S
fidgety	24-44273-B,41-10369-B
fief	28-22698-B
fiefdom	20-32762-S,47-35354-S
field	10-60340-S,11-35762-B,15-37505-B,15-40164-S,15-43724-S,15-46931-S,15-63826-B,16-13020-S,16-19308-S,19-66459-S,20-39621-S,20-39715-S,22-37844-B,23-28128-S,25-58997-S,29-18260-S,29-21202-S,29-48033-S,30-20644-S,30-64602-B,31-54488-S,34-18894-S,36-44658-S,37-23142-S,37-53366-S,42-51476-B,43-36856-B,43-37169-B,43-38199-B,43-38310-B,43-47327-B,43-59722-S,44-1060-S,46-35045-S,47-16590-B,47-35874-S,54-29665-S,54-29778-S,54-29946-S,55-19449-S,60-32739-S,60-32739-S,61-18808-S,62-38919-S,64-2877-B,67-27179-S,68-20086-S,68-33852-B,68-40096-S,69-19197-S
field and the birds of the air	68-63289-S,68-64468-S
field army	64-3674-B
field athletics	43-37429-S
field bought by judas iscariot with his 30 pieces of silver in matthew 27 7	56-27338-S
field competition	43-37492-S
field density	46-35370-S
field drains	43-48028-B
field events athletics competition	43-38128-B
field for a competition	36-12032-S
field for athletics competition	60-544-B
field in a room or theater	68-16177-S
field in the spring	31-35286-S
field lodgings	64-3838-B
field mint	55-19834-B
field of 20 or 30 mu	44-580-S
field of blood	56-27338-B
field of research	46-14527-B
field of study	49-60077-S
field of study at university	20-39621-S
field of view	57-34594-B,57-37042-B
field of vision	45-49571-B,57-35709-B
field oneself of emperor	57-38946-S
field or group	17-5443-S
field pack	52-16949-B
field path	43-48286-B,43-53254-B
field phys 	9-45470-S
field recently opened for cultivation	54-29154-B
field sports	43-37566-S
field system	3-56988-S
field system of ancient china	3-56914-S
field system of wei of the northern dynasties 北魏 and tang 唐 dynasties	15-48042-S
field theory	38-31043-S,64-5656-S
field theory phys 	16-13563-B
field trip	63-21078-B
field work	20-14451-B
field 成语 saw	26-37237-S
fields	16-15310-S,21-23528-S,21-33321-S,28-17422-S,34-16429-S,34-38081-S,43-46995-S,43-47045-S,43-53921-S,44-65-S,44-1060-S,54-17522-S,64-3729-S,67-33136-S
fields divided by dikes	44-736-B
fields esp young school leavers	1-48934-S
fields medal	54-37738-S
fields medal for mathematics	54-37653-B
fields name	54-37597-B
fields 成语 saw	16-3723-S,39-25878-S
fiend	7-2121-B,7-2605-B,7-2804-B,25-22347-B,25-22770-B,25-24229-B
fiend in human form	38-52991-B
fiendish	8-30894-B
fiendishly complicated predicament	7-49886-S
fiends 成语 saw	7-2653-B
fierce	7-1253-B,7-1680-B,7-1857-B,7-1959-B,7-2212-B,7-2352-B,8-30894-B,9-6212-B,9-38469-S,9-40556-B,9-66498-S,9-66915-B,18-47911-B,25-6587-B,25-18726-B,25-19426-B,25-21050-S,25-22440-S,32-0-B,40-4211-B,40-5492-B,42-7892-B,42-7926-S,42-11882-B,42-12051-B,42-17560-B
fierce and malicious	7-2273-B,8-31127-B
fierce and reckless	56-23305-B
fierce and tough	7-1603-B
fierce and uncontrollable	7-2919-B
fierce and vicious	25-22390-B
fierce animal	42-12168-B
fierce battle	25-19226-B,25-21379-B,25-24121-B,40-4914-B
fierce billow	25-22268-B
fierce contest between evenly matched protagonists	7-47610-B
fierce dog	42-3417-B
fierce hand to hand infantry combat	45-65660-B
fierce looking	42-11780-B,42-22758-B
fierce man	35-46264-B
fierce while cowardly at heart	53-44218-S
fierce wind	42-5282-B
fiercely	8-61864-B,25-22824-S,41-23190-S
fiercer than a tiger 成语 saw	53-65325-S
fiery	18-30908-B,40-22605-B,40-66139-B,41-35823-B
fiery dragon	40-25157-B
fiery emperor	40-28298-B
fiery emperor and yellow emperor	40-28804-S
fiery emperor s tomb in yanling county	40-28344-B
fiery emperor 炎帝 who turned into bird jingwei 精衛 精卫 after drowning	18-19721-S
fiery spray of molten steel	64-41382-S
fifa	15-19717-B
fifteen	10-43630-B
fifteen years	10-43830-B
fifteenth	48-12624-B
fifteenth birthday	11-42687-S
fifteenth day of each lunar month	32-46281-S
fifteenth of a hectare	43-53921-S
fifteenth year e3 of the 60 year cycle	26-5295-B
fifth	3-47334-S,3-54421-S,48-11774-B
fifth basic musical interval	3-50402-B
fifth book of moses	43-42849-S
fifth class	3-52851-B
fifth day of a month	3-54421-B
fifth generation	48-11811-B
fifth in order	26-4973-B
fifth modernization	48-11870-B
fifth month	3-50963-B
fifth note of the pentatonic scale	59-8328-S
fifth of 10 heavenly trunks 十天干	26-4973-B
fifth of a two hour watch old	71-37621-S
fifth postulate	22-44523-S
fifth ring road beijing	3-51763-B
fifth year e1 of the 60 year cycle	26-5222-S
fifth year e11 of the 60 year cycle	26-5462-S
fifth year e5 of the 60 year cycle	26-6190-B
fifth year e7 of the 60 year cycle	26-5083-S
fifth year e9 of the 60 year cycle	26-6116-S
fifths	6-6833-S
fifties or sixties years of age	3-47162-S
fiftieth	48-11965-B
fiftieth year j2 of the 60 year cycle	44-22849-B
fifty	3-32094-S,3-47553-B
fifty eigth year h10 of the 60 year cycle	61-33516-B
fifty fifth year e7 of the 60 year cycle	26-5083-B
fifty fifty	3-32094-S
fifty first year a3 of the 60 year cycle	43-39864-B
fifty fourth year d6 of the 60 year cycle	1-25283-B
fifty liters	30-35771-B
fifty ninth year i11 of the 60 year cycle	16-36625-B
fifty percent	27-8842-S,44-51063-B
fifty second year b4 of the 60 year cycle	3-15447-B
fifty seventh year g9 of the 60 year cycle	22-62573-B
fifty sixth year f8 of the 60 year cycle	22-1850-B
fifty third year c5 of the 60 year cycle	2-44894-B
fifty years of age	10-59352-B
fig	17-8030-S,37-61572-S,39-43304-S,40-61036-B,45-47760-B
fig 	24-41456-S,28-11251-S,28-14025-S,33-10292-S,37-26026-S
fig a big scandal	39-36991-B
fig a breakthrough in sb s career	46-17084-B
fig a change of mind	48-19639-B
fig a child with splendid future prospects	53-51540-B
fig a clever plan	7-49886-B
fig a close friendship	27-15313-B
fig a complete betrayal	58-22059-B
fig a condition giving access to benefits e g a diploma as a pass to a career	62-12819-B
fig a contemptible person	40-6314-B
fig a cruel exploiter	13-4474-B
fig a dazzling line up	42-58917-B
fig a dazzling sight e g royal palace	64-13284-B
fig a defeat	39-29666-B
fig a devoted married couple	2-47441-B
fig a disastrous setback	5-58595-B
fig a discarded or discredited idea returns in another guise	5-65501-B
fig a disparate collection	67-5132-B
fig a diversion	41-2236-B
fig a first show of emerging talent	9-1993-B
fig a flood of goods	5-58848-B,51-22061-B
fig a foil	40-41434-B
fig a follower of inferior stature	51-31941-B
fig a frightened person	69-60774-B
fig a girl s teenage years	59-17756-B
fig a glimpse that reveals the whole	18-49633-B
fig a go between	47-52177-B
fig a good general chooses a lord to serve under	53-42517-B
fig a good solution	53-43083-B
fig a great talent matures slowly	17-10568-B
fig a hardship posting	43-51877-B
fig a hermit s life	39-53732-B
fig a hotchpotch	67-4808-B
fig a key position	14-4800-B
fig a local gangster who is above the law	23-46265-B
fig a loner	30-7165-B
fig a long and complicated story	3-34457-B
fig a long and hard march	60-33436-B
fig a lot of talk but little action	67-22549-B
fig a loyal knight	69-29958-B
fig a melting pot	56-11519-B
fig a meteoric rise	69-1410-B
fig a mighty army like wildfire	18-31059-B
fig a mistake or gap in a speech or theory	46-19354-B
fig a model	41-9267-B
fig a narrow view	3-57117-B
fig a new direction	27-30701-B
fig a parasite	18-27044-B
fig a person s talent will arouse the envy of others	26-1115-B
fig a preliminary test on a small sample	57-47813-B
fig a restricted view	47-58451-B,47-58539-B
fig a scam	71-29935-B
fig a series of tricks	18-9183-B
fig a setback	71-52242-B
fig a slight change will affect everything else	41-62858-B
fig a state of mutual hostility	9-43838-B
fig a staunch character able to withstand tough test	9-64646-B
fig a sticky predicament	37-43207-B
fig a sumptuous spread of food delicacies	21-31655-B
fig a temporary expedient	30-14429-B
fig a thorn in one s flesh	45-47953-B,45-48047-B
fig a treasure	27-48891-B
fig a tricky path	42-19456-B
fig a waste of precious material	71-47254-B
fig a way up e g to progress or to promotion	66-39605-B
fig a well informed person	68-27131-B
fig able person	53-41777-B
fig above average	70-10993-B
fig accumulated backlog of work	16-6308-B
fig achievements will earn eternal glory	12-54992-B
fig act according to real circumstances	45-32464-B
fig act in a way that defeats one s purpose	11-3659-B
fig advertisement for good meat	51-1168-B
fig after former successes	69-15072-B
fig against the law	68-20879-B
fig all kinds of characters	71-61068-B
fig also involving others	27-33444-B,27-34604-B,27-34788-B
fig also used of company or school etc	65-31719-B
fig an action made pointless by changed circumstances	9-14997-B
fig an effortless victory	8-519-B
fig an erudite person	32-10848-B
fig an ideal	26-779-S
fig an ignorant person	3-56522-B
fig an inevitable clash between opposing factions	8-14062-B
fig an initially impressive person who turns out to be useless	64-27180-B
fig an open secret	12-25246-B
fig an opportunist abandons an unfavorable cause	34-60376-B
fig an ugly shambles	44-18392-B
fig an unrealistic rosy view	64-58033-B
fig an utterly inadequate measure	33-13633-B
fig ancient china	3-18976-B
fig ancient history	51-29738-B
fig angry or stressed about sth	60-34829-B
fig any punishment equipment	34-1309-B,34-1417-B
fig as far as the eye can see	39-52589-B
fig at a complete loss	16-30454-B
fig at a critical juncture	3-29733-B
fig barrier	55-35420-B
fig beautiful woman	53-57305-B
fig beginning	69-24468-B
fig beneficial of artworks etc	69-29803-B
fig beware the greeks bearing gifts	71-25964-B
fig beyond cure	44-8690-B
fig big hearted	46-36805-B
fig biting criticism	61-33382-B
fig blurred vision	67-45839-B
fig bosom the seat of emotions	57-10692-B
fig brand new object	43-31274-B
fig bread basket of fertile agricultural land	49-113-B
fig breeding ground for crimes or sedition	39-21210-B
fig bright and clean	31-25926-B,47-55409-B
fig broken marriage	46-20670-B
fig brutal killer	21-23405-B
fig bull headed heroism	32-159-B
fig can get by in life	62-45390-B
fig championship challenger	47-6904-B
fig change in a very short time	61-27238-B
fig chaste and undefiled	33-28238-B
fig chick slighting term for young woman	67-2938-B
fig choose the best person available out of a mediocre bunch	46-1124-B
fig clamor	61-7970-S
fig close partners	13-49325-B
fig close together	13-2280-B
fig cold hearted person	8-23190-B
fig collaboration	21-58286-B
fig compassionate person	37-65502-B
fig completely misleading	61-55706-B
fig complications	54-57468-B
fig confusing cause and effect	32-64677-B
fig conjugal union	62-22982-B
fig conspicuous and inviting trouble	27-44403-B
fig constrained	27-38695-B
fig consuming passion between lovers	40-33994-B
fig conventional way of thinking	60-62030-B
fig cooperation between natural rivals	13-1745-B
fig corrupt or disgraceful social trends	40-6314-B
fig course of development	60-43346-B
fig crisis e g revolution	68-54948-B
fig crooks mixed in with the honest folk	70-39346-B
fig cruel	27-47169-B
fig crème de la crème	63-47572-B
fig declining spirits	31-65614-B
fig deeply moving	12-14731-B
fig defensive buffer zone	65-62048-B
fig depraved force	25-22268-B
fig detached	8-22458-B
fig determined to sort out a problem	27-49482-B
fig different means of achieve the same end	35-61662-B
fig difficult conditions	67-44932-B
fig disorganized uncoordinated action	30-7255-B
fig dispel evil and usher in good	28-45128-B,40-5307-B
fig don t do anything that might arouse suspicion	43-9041-B
fig don t stay in danger area	15-50613-B
fig down on one s luck	15-49160-B
fig draw lesson from the failure of one’s predecessor	24-1970-B
fig dream voyage	17-3106-B
fig drifting and homeless	68-61660-B
fig détente after tension	67-14838-B,67-15029-B
fig earth shattering	62-66618-B,64-36705-B
fig easily done	11-49189-B
fig education as a gradual process	8-62321-B
fig egalitarianism equal treatment for everyone in same institution	17-37662-B
fig emperor in hiding	52-55430-B
fig epic compared with historical epic	58-14488-B
fig euphemism for homosexuality	30-60489-B
fig evenly matched	31-4042-B
fig everything is going very well	11-49457-B
fig exalted sentiments	53-51283-B
fig exchange of gifts between lovers	60-2786-B
fig excited and unable to act rationally	37-13185-B,56-39708-B
fig exhilaration follows a hard won victory	40-63881-B
fig experience makes progress easy	69-49464-B
fig explain one thing and he understands everything	51-56550-B
fig extensive library	38-10420-B
fig extremely critical situation	5-56342-B,5-56503-B,5-56663-B
fig extremely hot environment	40-66445-B
fig extremely serious matter	63-60421-B
fig extremely urgent	40-23030-B
fig false façade	6-10251-B
fig family ties are closer that social relations	56-27146-B
fig fellow students who are successful in the imperial examinations	22-47473-B
fig fertile land	59-21750-B
fig flexible and tough	41-48207-B
fig follow a prescribed pattern to the letter	1-11646-B
fig forbidding terrain	55-47824-B,55-47958-B
fig frail and unreliable	69-36642-B
fig frank criticism is hard to swallow	53-43202-B
fig full of disappointments and dashed hopes	15-49273-B
fig full of mistakes of speech or written article	46-19461-B
fig fully equipped	7-34037-B
fig genealogical record esp exchanged between sworn brothers	55-46515-B,64-14685-B
fig gone beyond recall	30-60108-B
fig good plan	53-41670-B
fig gorgeously dressed woman	53-57403-B
fig great achievement	59-21530-B
fig grief for a lost wife	71-48348-B
fig groundless accusations	28-5521-B
fig gullible	57-31944-B
fig happenings from one s life	38-11961-B
fig harbinger of doom	40-39840-B
fig hard pressed for cash	50-62628-B
fig hardships	68-58952-B
fig having an uncomfortable time	4-17753-B
fig having wide repercussions	37-13055-B,56-39524-B
fig helpless in the face of a crisis	33-11937-B
fig high ambitions	47-26820-B
fig high official position	67-59290-B
fig homeless and with nowhere to go	14-12039-B
fig honesty prevails throughout society	60-41398-B,62-49468-B
fig honeycomb figure	56-2523-B,56-2966-B
fig honorific term for fine doctor cf dr dong feng 董奉	33-6563-B
fig how can we small fry predict the ambitions of the great	41-29558-B
fig humble abode	56-9405-B,56-9468-B
fig i don t deserve your praise	2-12885-B
fig i offer a humble remark	27-27976-B
fig if you re too lenient with sb	69-12555-B,69-12695-B
fig ignorant of practical matters	2-32857-B
fig illusion	6-14610-B
fig impenetrable crowd	36-42817-B
fig impetuous	24-58711-B
fig in a wretched plight	8-25101-B
fig in difficulty	58-63638-B
fig in dire straits	5-56262-B
fig in the initial stage	54-41310-B
fig in trouble	48-60254-B
fig in wealthy and pleasant company	53-51398-B
fig indiscriminate murderer	9-43511-B
fig indulging in a life of luxury	49-23181-B,64-15617-B
fig inexperienced person	67-2938-B
fig infinite bounty	21-33739-B
fig instantly	31-514-B
fig instructor	22-29060-B
fig interim measure over some difficulty	37-58714-B
fig inverse discrimination	46-2764-B,46-2943-B
fig irresistible force	46-19108-B
fig it is done and can t be changed	43-28366-B,43-28618-B
fig item on both sides	32-70164-B
fig just a pretty face	53-58500-B
fig key position	57-27697-B
fig knack or trick esp scheme to get sth cheaper	65-22907-B
fig lacking in cohesion or organization	30-9022-B
fig land swarming with disaster victims	13-33136-B
fig last semblance	62-66905-B
fig leaving a deep impression of a poem	69-29958-B
fig life is short	20-57125-B
fig local situation	20-66181-B
fig long suffering	39-52859-B,65-12716-B
fig long winded verbiage that never gets to the point	11-6746-B
fig looking for a shortcut to get ahead in work or study	56-30838-B
fig looks impressive but is worthless	55-52848-B
fig low point	4-69633-B
fig major figure in hiding	52-55051-B
fig malicious gossip mongering	68-64268-B
fig many books	36-56606-B
fig many guests come and go	21-26320-B
fig many twists and turns	1-13726-B
fig mind blowing	67-40228-B
fig moderate	22-44007-B
fig modest about one s talents	38-51200-B
fig murderous dictator	21-23705-B
fig mutual deception	41-43222-B
fig my observation as a humble layman	53-63477-B
fig narrow	61-52499-B
fig narrow winding road	55-58841-B
fig needless fears	9-20196-B
fig new and original	30-53202-B
fig new concepts in an old framework	53-28635-B
fig newly announced	8-41411-B
fig night owl	17-1846-B
fig noble and far reaching	21-33595-B
fig not receive any share	7-45453-B
fig not satisfied with one s current position	62-5116-B
fig not the slightest change	30-31671-B,49-15396-B
fig not to make adequate provision	52-60441-B
fig not to recognize a famous person	2-30888-B
fig not to shed a tear until one sees the coffin 成语 saw	2-28312-B
fig not yet ready of plans	8-21629-B
fig nothing is impossible if you have the will	25-31263-B
fig notorious	53-16095-B
fig novel experience	65-41265-B
fig novelty just announced	30-44083-B
fig nowadays	18-54645-B
fig of a story with great momentum	37-39927-S
fig of people	34-25419-S
fig of tax	64-834-S
fig offering a treat to a unappreciative audience	20-52736-B
fig old person	44-63293-B
fig one s old age	31-65545-B
fig one small item in a big scheme	1-10270-B
fig one who follows a villain	42-7539-B
fig only able to see isolated details	12-8499-B
fig opinion or demand	13-19573-B
fig origin	39-15870-B
fig original voice of a poet	35-26316-B
fig out of control	52-34694-B
fig padding	49-49934-B
fig passage of time	53-58746-B
fig peace and prosperity	7-7890-B
fig peaceful society	54-15163-B
fig person of remarkable ability	43-2426-B
fig person one can rely on for candid criticism	70-2903-B
fig person s appearance	63-11747-B
fig person used to advance one s career	16-24770-B
fig plaintive lament	33-10590-B
fig planning strategies	61-46766-B
fig political course	60-43543-B
fig popular saying	11-70384-B
fig prc government	10-25344-B
fig preamble of speech or article	65-32486-B
fig presents between lovers	28-22108-B
fig pretense	22-34024-B
fig prostitute	10-61349-B
fig proximate cause	20-59248-B
fig pure and honest	38-65837-B
fig random jottings	30-7490-B
fig rapid advance	69-54479-B
fig reactionary	44-44410-B
fig reactionary tendency	61-67581-B
fig ready to make an offering to the deceased	12-8735-B,30-34152-B
fig reluctantly	24-43393-B
fig remnant of former damage	6-44721-B
fig repeatedly	22-57903-B
fig resounding words	64-56942-B
fig restraint on one s movements	50-63875-B
fig retired from use e g and obsolete product	61-62234-B
fig right and proper	17-52669-B
fig right up close to a disaster	52-8432-B
fig rotten bad luck	67-41123-B
fig rough exterior but lovable person	53-17563-B
fig rusty because of lack of practice	27-28249-B
fig ruthless character behind a gentle appearance	50-13327-B
fig sad	61-33591-B
fig savior individual or organization	29-64167-B
fig sb lost returns to have influence	35-58140-B
fig scared out of one s wits	70-33233-B
fig scrupulous attention to detail	1-11876-B
fig secondary plot in a story	29-39108-B
fig semi incomprehensible talk	3-10530-B
fig sensational popularity of a new book	37-57098-B
fig sentimental nonsense	40-57620-B
fig shaking the whole world	12-20247-B
fig short lasting	67-47214-B
fig single handed	14-19073-B
fig slow witted	32-55348-B
fig sly and treacherous person	42-6380-B
fig small fry	41-29352-B
fig source of wealth	51-54184-B
fig speech bearing no relation to reality	17-2996-B
fig spending money	8-44796-B
fig spouse	12-6548-B
fig stable society	17-474-B
fig steadily and surely	47-42888-B
fig sth easy to do	27-54093-B
fig sth goes back to the dim and distant past	39-16104-B
fig sth one enjoys	20-54965-B
fig sth that crops up frequently	22-30644-B
fig sth wrong	9-12562-B
fig stimulus to action	9-13722-B
fig stranded	37-7692-B
fig submissive	27-48581-B
fig superficial understanding from cursory observation	60-14800-B,60-15016-B
fig superfluous	52-6176-B
fig surprising turn of events	69-63638-B
fig surrounded by enemies	14-54038-B
fig talent will reveal itself	52-33765-B
fig temporary expedient	27-19042-B,27-19237-B
fig tense situation	40-24183-B
fig term of abuse for younger generation	34-33207-B
fig the apple of one s eye i e favorite person	45-49927-B,45-50028-B
fig the dawn of a new era	32-2248-B
fig the desolation of trauma	44-18273-B
fig the essential point	3-6567-B
fig the feudal view esteeming men above women	63-62586-B
fig the general scheme of things	52-30078-B
fig the hand that feeds you	18-23992-S
fig the illusory nature of the world in buddhism	17-2526-B
fig the inexorable passage of time	22-48329-B,31-7939-B
fig the intoxication of a beautiful spring day	70-50916-B
fig the legal limits	22-60933-B
fig the long term influence of a solid education	31-35967-B
fig the lowest point e g of a relationship	32-18741-B
fig the originator of an evil practise refers to mencius 孟子	18-38317-B
fig the person you have been looking for	63-16291-B
fig the serious hard work of writing	65-28766-B
fig the situation looks grim	68-58368-B
fig the small thing	47-14996-B
fig the start of a building project	46-16853-B
fig the truth will out	49-21694-B
fig theoretical discussion that is worse than useless in practice cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-B
fig they are all just as bad as each other	1-865-B
fig things get back to normal after an upheaval	31-8055-B
fig this method does not work	35-41702-B
fig thoughtful and completely rigorous	71-40283-B
fig three competing rivals	71-47047-B
fig timely help	67-15570-B
fig tiny individuals with no power	56-15405-B
fig to a very large degree	24-29914-B
fig to accept new members to reinvigorate the party	49-16613-B
fig to act according to actual circumstances	64-6912-B
fig to act alike	12-35300-B
fig to act as a loner	42-19607-B
fig to act as go between	23-30269-B
fig to act as match maker	4-55149-B,29-21528-B
fig to act in the name of an idea or an organization	31-3456-B
fig to act in the nick of time	26-2206-B
fig to act pragmatically	57-31576-B,57-31761-B
fig to add finishing touch	71-40905-B
fig to add the vital finishing touch	43-59492-B,71-41034-B
fig to adopt a unified approach to discussing an issue	49-50978-B
fig to adopt different attitude depending on the circumstances	66-45313-B
fig to aggravate a situation	40-19642-B,40-19806-B
fig to aim for a higher standard	45-58017-B
fig to analyze minutely from every angle	28-34613-B
fig to and fro between two sides	27-26206-B
fig to appoint sb for a task	71-39111-B
fig to ask for higher pay	70-15112-B
fig to back down	17-71542-B
fig to be fastidious	13-5675-B
fig to be overwhelmed with work or things to study	6-48408-B
fig to be severely criticized	27-68576-B
fig to bear heavy responsibilities through a long struggle cf confucian analects	4-44306-B
fig to become inexorably mixed up	60-45420-B
fig to become rigid or inflexible in opinions	46-25169-B
fig to benefit from association with sb or sth	37-25839-B
fig to betray	8-45572-B
fig to blossom of poem or art	53-50235-B
fig to budget	48-43053-B
fig to bully the weakest person	67-22389-B
fig to burst open	65-40992-B
fig to carry out a scam	65-44346-B
fig to cease	6-5300-B
fig to choose a path to certain destruction	69-0-B
fig to collaborate towards a common goal	12-51323-B
fig to conceal oneself or one s plans	66-49962-B
fig to concede or give way in an argument	1-64728-B
fig to congratulate sb on completion of a building project	41-29877-B
fig to connive with sb to damage a third party	6-9948-B
fig to continue a tradition	14-25590-B
fig to cooperate	12-34348-B
fig to curry favor from the right person	28-34984-B
fig to cut off contact	33-10354-B
fig to cut off one s means of retreat	46-20447-B
fig to cut off one s nose to spite one s face	14-59606-B
fig to decline	68-61443-B
fig to degenerate	54-50114-B
fig to destroy indiscriminately the noble and common	55-46040-B
fig to destroy root and branch	9-31199-B
fig to disappear with no hope of returning	37-43366-B
fig to draw up plans to deal with sth	37-215-B
fig to drop quotations to appear learned	28-13280-B
fig to edit sb else s beautiful prose and ruin it	71-42276-B
fig to educate	66-31120-B
fig to encourage	27-30279-B
fig to enlighten people with perfect wisdom	63-47720-B
fig to exceed one s place and meddle in other people s affairs	60-25771-B
fig to expand business	27-41131-B
fig to expose	26-22827-B
fig to extract lines from a text	29-5458-B
fig to fail to live up to a boast	26-41942-B
fig to fall into bad ways	1-60832-B
fig to favor	67-56769-B,67-56895-B
fig to feel nervous	26-50869-B
fig to feel obliged to speak out candidly	70-3051-B
fig to fight to win or die	52-18052-B
fig to find fault in minor details	13-35409-B,58-8413-B
fig to follow a principle	4-55149-B,29-21528-B
fig to foreshadow	64-36644-B
fig to forge ahead in the face of hardships and danger	29-31872-B
fig to free oneself	56-18458-B
fig to gain influence by pull or unofficial channels	60-11548-B
fig to get another person to harm sb	5-64277-B
fig to get fed up with sth	5-59875-B
fig to get married	12-33181-B,22-11342-B,62-21604-B
fig to get one s finger in the pie	33-42747-B,33-42986-B
fig to get part of the profits	1-11524-B
fig to get through an ordeal	62-48636-B
fig to give generously to help others	57-48318-B
fig to give up evil ways and return to virtue	1-49098-B
fig to give way in the face of superior strength	61-62965-B
fig to grit one s teeth and bear the pain	13-29180-B
fig to handle a crisis effortlessly	21-26653-B
fig to handle different things by the same method	68-40655-B
fig to harp on the same string	63-58324-B
fig to have a knack for good business	43-29895-B
fig to have no idea what to do	48-32362-B
fig to have sympathy with a like minded person in distress	53-50755-B,53-50932-B
fig to hesitate to do sth until forced to do even more	30-12804-B
fig to humiliate sb indirectly by bullying a subordinate	26-46744-B
fig to instruct	22-28970-B
fig to interrupt sb urgently and say one s piece	24-57906-B
fig to investigate in an archive	65-35963-B
fig to investigate the origin of sth	39-23623-B
fig to involve sb	27-23277-B
fig to involve sb in a messy business	27-35393-B
fig to irritate sb	30-13650-B
fig to keep trying everything in a desperate situation	35-59864-B
fig to know fluently	39-34673-B
fig to lay foundations	16-24146-B
fig to leave secure job iron rice bowl 鐵飯碗 铁饭碗 for sth better but more risky	1-61411-B
fig to live by the consequences of one s actions	23-35110-B
fig to long for one s child to succeed in life	32-45750-B
fig to loot	39-42533-B
fig to lose face	46-18752-B
fig to lose vigilance by comfortable living	41-30084-B,55-49299-B
fig to make a comeback	33-17736-B
fig to make a living	57-34171-B
fig to make a problem worse by inappropriate action	27-13649-B
fig to make an example of sb by punishment to frighten others	36-1705-B
fig to make one blind to sth	66-42134-B
fig to make the most of every opportunity	57-30307-B
fig to make up the numbers with inferior products	40-10384-B
fig to make use of every second and every inch	57-30450-B
fig to miss the big picture	48-25269-B
fig to nurture	28-39388-B
fig to offend others by endlessly repeating unpleasant remarks	5-59714-B
fig to open up new horizons	65-35517-B
fig to oppress the people	69-1726-B
fig to overestimate one s capabilities	56-6180-B
fig to overstep bounds	8-46045-B
fig to overturn a regime	68-46619-B
fig to pad out writing with fancy phrases	16-6537-B
fig to panic and treat everyone as an enemy	54-14773-B
fig to pass into eternity i e to die	36-51336-B
fig to persevere in a difficult task	46-39515-B,46-40428-B
fig to persevere until one reaches one s goal	1-72767-B
fig to plagiarize	27-53621-B
fig to plan to seize power of the whole country	13-63360-B,13-63511-B
fig to play with evil and suffer the consequences	42-39839-B
fig to poison sb s mind	71-15775-B
fig to pressurize sb continually	6-30776-B
fig to pretend	39-45913-B
fig to pretend to do sth without understanding it	41-9566-B
fig to prevail over sinister forces	4-54634-B
fig to profess devotion only when in trouble	27-12591-B,52-57896-B
fig to provide facilities for evil deeds	65-31388-B
fig to provoke and offend people	25-26903-B
fig to put a ceiling on spending	20-34465-B
fig to put sb in his place	20-55444-B
fig to raise to a higher level	10-53686-B
fig to regret	11-56330-B
fig to remain vigilant	27-47498-B
fig to report	11-50158-B
fig to resign a post	11-27594-B
fig to rest and recuperate	7-606-B
fig to restore justice	29-12887-B
fig to retire from public life	63-10750-B
fig to return something intact to its rightful owner	19-37869-B
fig to reveal	71-38410-B
fig to reveal what one intends to hide	35-41079-B
fig to ride on sb else s success	67-7583-B
fig to ridicule sb	9-12562-B
fig to right a wrong	37-52753-B
fig to ruin the effect by adding sth superfluous	43-59217-B
fig to run up against a snag	46-30707-B
fig to saturate with emotion	38-27480-B
fig to see only a small piece of the big picture	56-18065-B
fig to seek connection with the rich and powerful	29-32105-B
fig to serve as scape goat	16-24591-B
fig to shift one s ground	51-23712-B
fig to silence	4-65267-B
fig to solve a dispute	57-52813-B
fig to speak without thinking	40-57922-B
fig to spoil the fun	41-5219-B
fig to spoil things by impatience	28-47271-B
fig to start on sth and have immediate success	31-3858-B
fig to start up a new business	29-29600-B
fig to stick together in hard times	68-58218-B
fig to stir up trouble	71-40529-B
fig to stir up troubles	13-19755-B
fig to store up future calamities	50-30297-B
