aftermath	9-63364-B,24-56-B
alcohol 酒精	3-17043-S
alcoholic	63-43865-B
alcoholic beverage	63-39225-B,63-40475-B
alcoholic drink	40-34201-S
alcoholic spirit	44-36065-B,44-39021-B
alcove	65-43568-B
alcántara	66-7787-B
aldebaran or alpha tauri	43-54364-B
aldehyde	63-41615-S,63-48439-B
alder	34-42981-B,34-62122-S,40-26125-S
alder alnus cremastogyne	34-43008-S
alder alnus incana	40-26125-S
alder alnus rubra	49-10275-S
alder alnus viridis	50-0-S
alder tree alnus glutinosa	31-52174-B
alder tree genus alnus	60-6416-B
alderman	22-13277-B
aldosterone	63-48471-B
aldous huxley 1894 1963	66-12887-B,66-12993-B
ale	55-21492-S,71-12901-B
aleck	53-684-S
aleksandr grigoryevich lukachenko	45-12990-B
aleksandr kolchak	70-18361-B
aleksandrovich mif 1901 1938	48-45326-S
alembert 1717 1783	62-54098-S
alert	3-12249-B,35-5061-B,55-54349-S,59-0-S,59-409-B,59-801-S,59-860-B,59-1681-B,59-1945-S,62-66050-B,67-50485-B,69-59639-B
alert for	59-1003-S
alert signal	59-409-B
alertness	59-938-B
aleurites cordata	34-5401-S,53-41867-S
aleutian islands trailing 2250 km southwest of alaska almost down to kamtchatka	66-9774-B
alexander borodin 1833 1887	70-42071-B
alexander name	3-60106-B
alexander porfirevich borodin 1833 1887	70-42161-B
alexander the great	3-58248-B
alexander the great 356 323 bc	3-60199-B
alexandr sergeevich pushkin 1799 1837	31-48085-B
alexandre dumas	17-5162-B
alexandria	3-60305-B
alexandria 3rd century ad	8-48666-S
alexandria c 300 bc	35-27520-S,35-27604-S
alexandria town name	3-60106-B
alexia	17-67699-B
alexis name	65-67817-B
alfred name	3-59064-B
alfred wegener 1880 1930	68-10359-B,70-35102-B
algae	14-20844-S,36-60676-S,49-66115-S,52-20235-B,55-29274-S,55-29350-S,55-29426-S,55-29931-S,55-29997-S,55-30084-S,55-30150-S,55-35907-B,55-46832-S,56-13982-S
algal bloom	60-6539-B
algarve southern province of portugal	65-68010-S
algebra	3-68952-S,3-69037-S,4-31068-B,4-31351-S,9-1068-S,12-63784-S,22-16719-S,27-17920-S,37-35910-S,50-16689-S,70-19320-S
algebra math 	33-577-S
algebraic curve	4-31853-B
algebraic equation	4-31756-B
algebraic formula	4-31613-B
algebraic function	4-31109-S
algebraic function theory	4-31194-S
algebraic geometry	4-31458-B,4-31530-B,34-37032-S
algebraic quantity	4-32139-B
algebraic sum	4-31294-B
algebraic surface	4-31924-B
algebraic topology math 	4-31675-B
algebraic variety	4-32070-S,70-20202-S
algeria	66-7661-B
algiers	66-7729-B
algonquin north american people	66-8855-B
algorithm	11-44258-S,48-24244-B
ali alatas 1932 	66-3875-B
ali bhutto 1928 1979	22-15349-S
ali ibn abu talib c 600 661	66-13090-S
ali jinnah founder of pakistan	45-44290-S
ali proper name	66-13090-B
ali zardari 1956 	26-39533-S
alias	6-6914-B,9-4460-B,10-20891-S
alias computer graphics	38-34090-S
alibaba	66-13337-B
alicante	65-67950-B
alice female name	25-37367-B
alice in wonderland	25-38510-B
alice name	25-38456-B
alien	16-48431-S,43-63875-B
alien body	43-62592-B
alien land	43-60778-B
alien life form	43-62592-B
alien village in taiwan	66-11901-S
alienate	44-3249-S
alienate those with different views	71-44310-S
alienated	62-60192-S
alienation	55-18175-S
alighieri	4-64561-S
alight	54-48957-B
align	9-58460-S,20-57922-S
aligned	49-43005-B
alignment	62-22813-B,64-47761-S
alignment in astrology	8-66886-S
alike	2-568-S,3-32094-S,12-35300-S,12-45156-B,12-52829-B,23-60288-B,32-31437-B,54-4910-S,55-46040-S
alimony	43-22716-B,60-4126-B
alin mountain range in russia s primorsky krai around vladivostok	51-29349-S
alin mountain range in russian far east opposite sakhalin island	64-46857-S,64-46972-S,64-47116-S,64-47283-S
alishan	66-12122-B
alishan village in taiwan	66-13250-S
alisma plantago	55-32169-B
alisma plantags	55-14386-B
alive	4-17753-S,15-33689-S,37-63369-B,37-65223-S,37-65592-B,52-34561-S,57-26380-S
alive as sacrifice together with husband or superior	35-60577-S
alive e g skinned alive	37-65223-S
alive the confucian scholars one of the crimes of the first emperor in 212 bc	40-45301-S
alive 成语 saw	3-19538-S
alkali	16-14014-B,23-37021-S,23-46215-S,71-4733-B
alkali blue	71-5918-B
alkali fumes	71-5742-B
alkali gland	71-6201-B
alkali metal the first column of the periodic table	71-5976-B,71-6359-B
alkali pulp	71-6132-B
alkali resistant	51-37483-B
alkali salt soda	71-5576-B
alkali spot	71-6086-B
alkali test	71-6303-B
alkaline	71-4781-S,71-5639-B
alkaline earth	71-7984-S
alkaline earth i e beryllium be 鈹 铍	71-4891-B
alkaline soil	71-2989-B,71-4844-B,71-5683-B
alkalinity	71-3768-B,71-5532-B
alkaloid	43-26163-B
alkane	40-42964-B,40-43261-B
alkaponuria	71-29650-B
alkekengi	54-60492-S
alkene	40-42724-B,40-42752-B
alkyl	40-42993-B
alkyl benzene	40-43031-B
alkylation	40-42896-B
alkyne	40-29483-B
all	1-109-B,1-8495-B,1-12240-B,1-23464-S,2-30001-S,2-46462-S,2-46576-S,6-50084-B,7-3158-S,7-33465-B,7-42339-B,7-42947-B,7-71863-S,8-28944-B,8-29366-B,13-10567-B,13-24287-S,13-29888-B,15-47243-B,24-48892-S,26-28688-B,26-33751-S,27-40665-S,30-14982-B,31-27660-S,32-36896-S,32-37053-S,32-37212-S,33-64185-S,35-51262-B,35-54520-S,36-15815-S,36-65441-S,39-35519-S,40-58919-S,43-55088-S,43-55088-S,43-55088-S,44-50379-S,44-54922-S,44-59452-B,47-44202-S,48-37701-S,50-31987-S,50-33923-S,50-36564-S,50-54264-S,51-35207-S,52-23253-B,53-575-S,53-27031-S,53-27178-S,53-62754-B,58-47358-B,59-16304-S,62-14848-B,63-26633-B,65-51942-B,66-22392-S,68-40655-S,68-48880-S,69-21253-S
all acceptable	44-59506-B
all ages	54-42939-B
all alone	19-14020-B
all along	1-4536-B,1-15203-B,1-21083-B,12-62217-B,18-38851-B,45-30751-S
all along previously	12-61824-B
all angles 成语 saw	8-15558-S
all army	7-42051-B
all around	7-42531-B,9-20029-B,14-47413-B,14-53119-S,14-53941-B,21-59763-S,24-9306-S,24-63809-S,24-64159-S,25-10673-S
all around 成语 saw	45-18541-S,45-18691-S
all aspects	30-62844-B
all at once	1-399-B,1-621-B
all be accepted as	2-3499-S
all cases	25-6369-S,44-59452-S
all categories	12-30582-B
all colors	7-41349-S
all costs	7-34365-S,27-50972-S,27-52196-S,34-34290-S
all crops	3-52290-B
all cut up	52-9457-B
all day long	1-6032-B,26-9311-S,30-14982-B,49-36204-B
all different	12-30061-B
all directions	7-51471-B,14-50311-S,14-51842-S,14-52646-S,14-53941-S,38-5317-S,68-64076-S
all directions with no overall vision	33-14314-S
all directions 成语 saw	14-53361-S,33-18547-S
all diseases	10-16270-S
all ears	37-54104-S
all embracing	10-17401-B
all embrasing	8-6484-B,8-6655-B
all enlightened one	5-5148-S
all exageration	35-66390-S
all expectations	8-33973-S
all factors	49-52905-S
all forms of discrimination against women	38-33701-S
all four directions 成语 saw	40-43732-S,40-43948-S
all four quarters	10-71389-S,10-71508-S,10-71629-S,33-18712-S,33-18833-S,33-24204-S
all gone	55-15928-B
all grains	3-52290-B
all greek to me	1-16525-B,3-10530-B
all hell will break loose	17-29674-B
all his friends	27-33444-S,27-34604-S,27-34788-S
all ills	44-52450-S
all in all	43-55088-B,50-36564-B
all in one stroke	68-40655-S
all in the same suit	38-58537-S
all in vain	47-48966-B
all in 成语 saw	45-15431-S
all inclusive	1-10109-B,10-17401-B,40-52854-B
all is quiet	32-8741-S
all is said and done	9-9555-S,35-54520-S,39-38702-S,43-55088-S,47-44284-S,49-36490-S
all its processes	7-38525-S
all just as bad as each other	1-865-S
all kinds	1-26568-S,34-59729-B
all kinds and sorts	12-29339-S
all kinds of	3-53751-B,12-30124-B,23-54283-B,47-33605-B
all kinds of characters	71-61068-S
all kinds of demons	66-17042-S
all kinds of martial art sports some claiming spiritual development	35-48337-B
all kinds of things	41-54542-B
all levels	12-30283-B
all levels of society	32-49052-B
all lies	39-35615-S
all living things	45-53510-B,54-46432-B
all manner of crimes	40-53106-S
all manner of evil	40-53009-B
all means	8-61472-S,10-50179-S
all men to shave their heads but keep a queue	9-16235-S
all metals excluding iron	32-39292-S
all military	7-42051-B
all mixed up and chaotic	67-3692-B
all my life	1-14717-B
all names	54-43988-B
all nations	54-44032-B,54-47973-B
all neglected tasks are being undertaken	44-53683-B
all new	7-37108-B
all night	24-29453-S,41-17433-S
all nippon airways ana	7-37552-B
all obedience	44-50540-B
all odds	54-48318-S
all of	43-33858-S
all of a bill	4-27614-S
all of a kind e g all lies	39-35615-S
all of a sudden	1-399-B,1-621-B,2-25383-S,24-51107-B,67-43914-B
all of one mind 成语 saw	54-46539-S
all of one s heart	45-8086-S
all of them	4-25126-B
all of you present	8-65725-B
all one can	9-46850-S
all one has	6-48547-S
all one s associates	13-18973-S
all one s family	29-33755-S
all one s immediate relatives 成语 saw	7-69294-S
all one s life	1-14646-B,22-43624-B,43-55030-B,61-15351-B
all one s mental energies	59-47569-S
all one s might	9-46112-S,27-50972-S
all one s strength	5-13126-S,5-14948-S,7-34261-S
all one s trade secrets	43-48410-S
all one s trunks 成语 saw	6-48547-S
all one wants 成语 saw	31-63841-S
all others of its kind before and since	9-21785-S
all out effort	7-34261-B,7-34365-S,15-61237-S,64-23707-S
all out effort 成语 saw	45-8143-S
all out for sth at risk of one s life	27-52050-S
all over	1-21589-S,39-8552-B,39-41260-S,62-42226-B,62-42346-B,65-17277-S
all over for him	19-38409-B
all over the body	39-8613-S,62-42663-B
all over the place	6-47257-S,14-52646-B,31-31406-S,62-42399-S
all over the place 成语 saw	14-51661-S
all over the world	3-51501-B
all over though not cold	2-6094-S
all over with cuts and bruises	62-42714-S
all over 成语 saw	70-8275-S
all parts of a country	12-28972-S
all places	9-10134-S
all possible worlds	45-7946-S
all powerful	12-20247-B,64-16565-S,64-44742-S
all previous sessions	35-52537-B
all problems	68-40655-S
all professions	12-30483-B
all professors	30-2911-S
all respects	55-50602-S
all right	2-27835-S,18-26226-S,24-6543-B,56-30633-B
all round	7-41231-B,16-58192-B
all rounder	7-36774-B,8-6370-S
all rules	45-17733-S
all s fair in war	8-369-B
all saints christian festival	54-47087-B
all saints day christian festival on 2nd november	54-48411-B
all saints eve	54-47175-B
all setbacks	44-54337-S
all settled	9-7851-B
all sides	14-53361-S,14-53898-B,16-58130-S,30-62844-B,45-53565-S,50-56464-S
all sides the songs of chu 成语 saw	14-54038-S
all sides 成语 saw	10-71389-S,10-71508-S,10-71629-S,33-18712-S,33-18833-S,33-24204-S,42-10399-S
all sincerity	58-29012-S
all six vital organs fail 成语 saw	7-68796-B
all smiles	39-40872-B,45-36667-S
all social circles	12-29920-B
all sorts	16-61038-B
all sorts of	3-53751-B,23-54283-B
all sorts of feelings well up in one s heart	44-53965-B
all sorts to make a world	71-61068-S
all speaking together	71-54182-B
all spice pimenta dioica	17-64-B,41-47115-B,45-53908-B,69-30815-B
all split up and in pieces 成语 saw	14-46630-B
all taboos are off 成语 saw	44-55024-B
all tasks at once	1-9428-S
all terrain vehicle	60-28030-B
all the bits to make a whole	39-9784-S
all the borders	14-47537-B
all the colors of spring	33-50499-B,53-59418-B
all the details	64-37622-S
all the generals	58-48342-B
all the gods	38-24136-S,45-7227-S
all the king s horses and all the king s men	10-50654-B
all the king s men	10-50654-S
all the more	25-27770-B,45-2669-B
all the others	1-1899-S,54-26480-S
all the parts are in place	8-5306-B
all the people	54-45908-B
all the rage	47-59051-S,68-59064-S
all the rage for a time	45-5370-B
all the rest	54-24159-S
all the space	6-64518-S
all the time	14-44082-S,26-9311-B,32-47701-B,51-24509-B
all the trades	3-54633-B
all the trouble	18-26291-S
all the way through	1-21980-S
all the way to the sea	55-19080-B
all the year round	40-47008-B,65-14347-B
all things	54-43058-B
all things considered	50-36564-B
all things tends in one direction	44-53006-B
all this	17-21518-S
all thumbs	48-7702-B
all time	35-51671-S
all time low point	35-51754-B
all times	16-52294-S,24-10484-S
all to see	23-58459-S,32-36896-S,32-37053-S
all together	71-53268-B
all trades and master of none	11-9212-S
all trades and professions	3-54633-S
all walks of life	12-29920-B,12-29989-B,12-30483-B
all we need is an east wind 成语 saw	12-8147-B
all weather	7-36003-B
all when all is said and done	47-44284-S
all words with the given rhyme	68-18068-S
all wrong	5-60574-S,61-68194-S
all x not in set s	69-17403-S
all year long	7-36501-B
all year round	30-15222-B
allah	45-40397-B
allah arabic name of god	19-29226-B
allay	50-22888-S
allay one s hunger	7-754-S,7-810-S
allege	43-44556-S
alleged serial killer	22-67214-S
allegedly	29-24718-B
allegiance	29-62394-S,49-4780-S
allegiance to some regime	52-54077-S
allegory	14-23198-S,47-7684-S
allegro	24-48220-B
allen giles 1845 1935	18-46025-S
allen poe 1809 1849	15-58457-S
aller länder	7-33601-S
allergic	62-45556-S
allergic reaction	62-45612-S,62-45689-B,62-45864-B
allergic rhinitis	53-59133-S
allergic symptoms	27-6674-S
allergy	62-45556-B
alletteratus	70-42810-S
alleviate	39-1122-S,49-20002-S,50-22888-S
alley	20-63671-B,20-63998-B,22-11268-B,23-23289-B,35-57159-S,35-59196-S,35-59279-S,56-36438-B,56-36918-B,65-9835-S,65-10101-S
allgemeine zeitung	37-33572-S
alliance	7-25195-S,7-25423-S,10-44256-S,12-50292-B,45-7436-S,45-7521-S,49-43005-S,51-58023-B,51-62103-B
alliance for the betterment and progress of hong kong	36-18296-S,36-20221-S
alliance of chinese students	2-80337-S
alliance or union	9-58460-S
alliance with russia e g of early chinese communists	51-57935-B
alliances etc	49-41424-S
allied armies	51-63106-B
allied army intervention during russian revolution and civil war 1917 1922	31-11801-S
allied country	45-7620-B
allied force	7-50209-S
allied forces	45-7572-B
allied nation	12-50336-B
allied to china in ww1	10-65017-S
allied with	49-43005-B
allies	10-65017-B,11-43388-B,45-7169-B,45-7436-S
alligator	70-48877-B,70-48974-B
allium bakeri	55-22753-B
allium scorodoprasum	54-59792-B
allium tuberosum	68-13711-S
allium victorialis	54-8450-B
allocate	8-48969-S,8-56156-S,8-59002-S,9-39448-S,9-39578-S,29-39432-B,58-39968-S,63-37383-S
allocate funds	29-12362-B,30-37944-S
allocated area for housing	8-50530-B
allocated for a particular purpose	20-40156-S
allocated for a project	21-55534-S
allocated lifespan	17-38365-S
allocated lifespan is accomplished	17-38441-S
allocated task	10-14586-S,10-14710-S
allocated to an individual on a collective farm	53-12041-S
allocation	19-47029-S,49-54068-S
allocation table	35-11644-S
alloimmune reaction between mother and fetus	39-24544-S
allopolyploid polyploid with chromosomes of different species	43-62406-B
allotment to a feudal noble	15-64442-B,63-52312-B
allotropy	12-50686-B
allotted share	4-44623-B
allotted time	32-51912-B
allow	1-70880-S,2-5860-S,2-29398-S,6-60480-S,6-60629-S,8-25340-S,8-25409-S,19-65144-S,19-65908-B,24-5886-S,25-61254-S,49-49050-S,51-69238-S,52-2087-S,58-2744-S,58-3158-S,58-3341-S,66-42753-S
allow a person or an animal to go	29-52883-S
allow anyone else to have a look in	10-15175-S
allow for a drop in value	6-28714-S
allow for something	70-9900-S
allow one to glance back 成语 saw	51-13678-S
allow others in on the act	10-18713-S
allow room for error	20-26125-S
allow sb to act arbitrarily	4-43231-S,4-43792-S
allow sb to do as he pleases	52-514-S
allow sb to enter	28-25867-S
allow sb to have his head	4-44476-S
allowance	37-59451-B,56-57052-B,56-59546-B,59-47947-B,60-4126-S
allowance accounting	6-28714-S
allowed	1-70993-S,2-8284-S
allowed an annual meeting	70-57411-S
allowed dispensation to have second child	66-67396-B,66-67491-S
allowed error	7-59351-S,69-17274-S
allowed to marry	58-3514-B
allowed to wear depending on social status	9-11388-S
alloy	12-38164-B,44-47187-S,64-46762-S
alloy containing stated proportion of gold	65-43075-S
alloy with mercury	38-54294-S
alluring woman	18-34895-B
allusion	8-44687-S
allusions	61-24943-S
alluvial	37-13695-B
alluvial deposit	37-13738-B
alluvial plain	37-13801-B
ally	11-43444-B,12-50336-B,45-6888-S,45-7076-B,45-7115-B,45-7620-B,51-57782-S
ally oneself with	49-43005-S
ally oneself with sb	18-6236-S
alma mater	36-3994-B
almagest by ptolemy	17-47552-S
almanac	22-50114-B,22-50157-B,44-61993-B,51-29738-S,62-10057-B
almanac from years back 成语 saw	66-40276-S
almaty	66-4321-B
almería	66-8097-B
almighty	17-31894-B
almond	22-6875-B,26-30399-B,33-6406-B
almond junket	33-6455-B
almond tree	26-30399-B
almost	1-26568-B,15-54430-B,20-37431-B,21-63540-B,21-63708-B,22-1126-B,22-55814-B,22-55986-B,24-48892-B,35-60240-B,66-45560-B
almost all	24-48892-B
almost completely	22-56182-B
almost down to kamtchatka	66-9774-S
almost entirely	22-56182-B
almost extinct	2-24636-B
almost flat	22-44007-B
almost impossible	22-56101-B
almost inaudible or invisible	24-19910-S
almost on a par	4-57571-B
almost similar	17-9183-B
almost succeed	5-12502-B
almost within reach	61-47914-S
alms	2-37022-S,6-58763-S,30-65228-S,57-11851-S,57-61825-S,59-56221-S,59-56256-S,59-56323-S
alms bowl	46-21171-B,50-49735-B,50-49790-B,64-20297-S,64-24406-S
alms bowl of a buddhist monk	64-13884-S
alms buddh 	10-6570-S
alnus	60-6416-S
alnus cremastogyne	34-43008-S
alnus glutinosa	31-52174-S
alnus incana	40-26125-S
alnus rubra	49-10275-S
alnus trebeculata	34-43008-B
alnus viridis	50-0-S
aloe vera	55-37147-B
aloes	37-7847-S
aloft	15-36769-B
alone	1-2159-B,4-21397-B,5-2758-S,13-54577-B,14-19609-B,14-20373-B,19-2370-B,19-13058-S,19-14020-S,25-17325-S,25-26643-B,26-14934-S,41-5405-B,42-17727-B,42-19826-S,42-20330-S,42-21286-B,42-21323-S,54-26480-S,60-48987-S,65-50777-S,66-51881-B
alone and without help	4-60757-B
alone but in pairs 成语 saw	40-56859-S
alone 成语 saw	42-18139-S
along	1-4396-B,1-4536-S,1-15203-S,1-21083-S,12-62217-S,13-26273-S,18-38851-S,21-15685-S,24-60396-S,26-53284-S,27-35188-S,27-61597-S,28-2992-S,28-18677-S,29-33679-S,29-33679-S,37-26444-B,37-27485-B,38-52859-S,38-52859-S,41-62775-S,45-30751-S,50-18914-B,60-35151-S,60-35229-S,60-37876-S,62-42853-S,62-46039-S,66-43589-S,68-8877-S,68-21881-B,68-26517-B
along a route of vehicles etc	56-35465-S
along behind	60-37794-S
along behind others	35-41945-S
along changjiang	53-61984-S
along for the ride	68-27254-B
along lower edge of flag	30-66956-S
along parade routes	34-52379-S
along previously	12-61824-S
along the border	37-27734-B
along the line e g railway	37-27396-B
along the river	37-26900-B
along the same lines	14-62086-S
along the sides of the road	37-27659-B
along the water s edge to protect an embankment	69-46629-S
along the way	37-27587-B
along together	12-31307-S,20-47481-S
along water	55-1586-S
along well	2-1520-S
along well with sb	27-948-S
along with	1-68053-S,6-13867-B,55-48615-S,58-41200-S,62-20085-B,66-44837-B
along with all the others	1-1899-S
along with each other	45-30690-S
along with others	7-72803-S
along with sb	38-52859-S
along with the dead	35-60737-S
alongside	2-47298-B
aloof	40-47419-B,66-40750-S
alopex argentatus	42-28042-S,64-27836-S
aloud	1-47086-S,12-65913-S,13-14962-S,13-15284-S,14-631-S,24-49883-S,32-45283-S,53-13815-S,58-30825-S,58-30914-S,70-20608-B
aloud fluently	1-47086-S
aloud with expression	32-45206-S
alpaca	51-1248-B
alpha	43-39568-B
alpha and omega	3-61703-B
alpha centauri or rigel kentaurus	11-4587-B
alpha fetoprotein afp	43-39938-B
alpha globulin	43-39938-B
alpha greek letter αα	66-8167-B
alpha tauri	43-54364-S
alpha ursae majoris	17-48579-B
alpha ursae majoris in the big dipper	17-48633-B
alphabet	15-21009-S,19-5543-S,19-5599-S,22-21691-S,27-20639-S,27-20782-S,27-53242-S,50-63073-S,50-63134-S,57-22626-S
alphabet for the blind	45-19614-S,45-19833-S,71-38896-S
alphabetic stage	27-53340-B
alphabetic writing system	27-53242-B
alpine	70-13718-B
alpine district	70-13759-B
alps	66-7479-B,66-7535-B
already	14-30202-B,14-30202-B,21-8874-B,22-1923-S,22-2077-B,22-2409-B,25-57230-B,31-4436-B,32-15317-B,32-16427-B,34-32498-B,34-33064-B,63-26633-B
already acquainted	4-62488-S
already at an earlier time	31-13500-B
already cut up into joints 成语 saw	45-17560-S
already fully booked	57-56704-S
already in progress	22-2450-B
already made up	26-11587-S
already mentioned	13-10152-S
already obtained	31-4665-B
already outstanding 成语 saw	48-54764-S
already settled upon	32-47262-S
already too old	22-48329-B
already underway	22-2450-B
also	1-69667-S,2-46462-B,3-21403-B,4-1373-B,11-40282-S,11-41494-B,22-50849-B,42-14011-B,51-35051-S,61-6800-B,63-9342-B,63-10296-B
also 	1-67829-S,66-21334-S
also abbr to 博士學位 博士学位	13-47731-B
also be called	4-1445-S,11-41689-S
also called	26-14665-B
also called asthenosphere 軟流層 软流层	4-69861-B
also called buddhavatamsaka mahavaipulya sutra	54-32946-B,54-33076-B
also called directly administered city 直轄市 直辖市	53-8187-B
also called inuit 因紐特 因纽特	25-35432-B
also called kungfu 功夫	35-48337-B
also called phonetic loan	6-5978-B,6-6174-B
also called retroflex final or r ization	7-21793-B
also called significative or radical	23-54964-B,25-29799-B
also called sīmǎ rángjū s art of war	12-25419-B
also called 供血者	28-4394-B
also called 反證法 反证法	35-55349-B
also called 戊戌維新 戊戌维新	26-5663-B,44-54549-B
also called 戊戌變法 戊戌变法	26-5808-B
also called 扶他林	66-66832-B
also called 拜堂	27-45442-B
also called 教皇	30-2228-B
also called 樟腦 樟脑	54-27377-B
also called 水瓶座	20-30085-B
also called 油菜	53-62854-B
also called 洋務運動 洋务运动	57-15412-B
also called 激素	54-19883-B
also called 異丁苯丙酸 异丁苯丙酸	22-16487-B
also called 聖事 圣事 by catholics	51-49511-B
also called 聖禮 圣礼 by protestants	51-44267-B
also called 西藏獒犬	55-31241-B
also called 銀河 银河	64-27617-B
also called 香獐子	71-10442-B
also called 鮨 鮨	46-6370-B
also collaborator with the enemy	12-32129-B
also derog 	8-45152-S
also derogatory	69-25469-S
also fig	17-8030-B,39-43304-S
also fig 	24-41456-S,33-10292-S
also fig an ideal	26-779-S
also fig clamor	61-7970-S
also fig of tax	64-834-S
also fig the hand that feeds you	18-23992-B
also fushun county	29-14360-B
also in computer networking	60-42007-S
also involving others	27-33444-S,27-34604-S,27-34788-S
also ji an county	12-39429-B
also jiujiang county	3-19669-B
also known as	4-1445-B,11-41689-B,26-14665-B
also known as 9 18 incident 九一八事变	33-49592-B
also known as albuterol	37-14372-B
also known as bubble milk tea	42-43336-B
also known as falkland islands	69-40005-S
also known as joint ideogram or associative compounds	32-23505-B,32-23744-B
also known as liutiaogou incident 柳條溝事變 柳条沟事变	3-17360-B
also known as pearl milk tea 珍珠奶茶	37-42139-B
also known as phonogram	23-53820-B,23-55344-B
also known as proventil	33-48793-S
also known as the hundred days reform 百日維新 百日维新	26-5949-B
also lei2 zhui5	50-44933-B,50-45125-B
also marketed as fluoxetine	31-50575-S
also nanchang county	10-72121-B
also pr ga1 ga5	14-29494-B
also pr gou1	5-9264-B
also pr guo4lai5	62-43541-B
also pr kou4	5-9220-B
also pr shang1 liang5	13-61666-B
also pr shi4 de5 or shi5 de5	4-62734-B
also pr tong4 kuai5	44-14183-B
also pr xia4 zai4	1-63312-B
also pr xue3	56-23774-B
also pronounced ga1	4-63091-B
also pronounced lou4	67-48702-B
also pronounced lou4 chu1	67-46527-B
also pronounced shui2	58-34029-B
also rendered as 史密斯	30-40136-B
also sarcastic	20-44458-S
also say	63-10625-S
also sometimes institute of technology	42-54501-B
also song of southern dynasties 南朝宋 420 479	19-35714-B
also song of the southern dynasties 南朝宋 420 479	19-34795-B
also spoken pr gu3 lu1 lu1	70-1303-B
also tan1 huan4 癱瘓 瘫痪	44-17311-B,68-56544-B
also the criminal s associates	62-20145-S
also tieling county	65-2528-B
also tonghua county	62-8181-B
also translated as capital airport	69-24007-B
also translated as historiographer	12-21328-B
also translated drunken chicken	63-47013-B
also translated 形而上學 形而上学	42-27474-S
also transliterated ho fen	37-21006-B
also used	17-29393-S,44-21557-S
also used of company or school etc	65-31719-S
also used with negative	54-55949-S
also variant of dá 達 达	60-52605-B
also variant of 蹦達 蹦达	60-51245-B
also with rhyme in poetry	68-16077-S
also written guī jīng piàn 硅晶片	46-11579-B
also written guī piàn 硅片	46-11804-B
also written jiao1 mu4 膠木 胶木	67-31060-B
also written nai3 氬	36-24494-B
also written xian1 氙	36-31968-B
also written 三疊紀 三叠纪	1-43159-B
also written 中南半島 中南半岛	2-51862-B
also written 乙醇	63-40405-B
also written 二惡英 二恶英	3-35158-B
also written 二疊紀 二叠纪	3-41884-B
also written 五瘟神	3-55948-B
also written 五胡十六國 五胡十六国	10-44624-B
also written 交流	3-71963-B
also written 人盡其才 人尽其才	4-14927-B
also written 伊麗莎白 伊丽莎白	4-51197-B,4-51299-B
also written 伽羅瓦理論 伽罗瓦理论	4-63941-B
also written 來復槍 来复枪	5-18723-B
also written 來福槍 来福枪	5-17932-B
also written 供血	28-4324-B
also written 僱員 雇员	66-60766-B
also written 元勳 元勋	6-61125-B
also written 充飢 充饥	7-810-B
also written 光宗耀祖	34-40912-B
also written 公升	10-52837-S
also written 冤孽	8-14769-B
also written 凄婉	8-24546-B
also written 凌夷	66-30672-B
also written 前列腺	29-35161-B
also written 加州理工學院 加州理工学院	9-54406-B
also written 動盪 动荡	10-1868-B
also written 北京週報 北京周报	10-25805-B
also written 千里送鵝毛 千里送鹅毛	10-51192-B
also written 周轉 周转	62-27973-B
also written 周邊 周边	62-28248-B
also written 呫嗶 呫哔	13-15284-B
also written 哈博羅內 哈博罗内	14-28259-B
also written 哈密瓜	13-40128-B
also written 哪裡 哪里	13-45537-B
also written 哭喪著臉 哭丧着脸	13-46279-B
also written 哺乳動物 哺乳动物	13-48354-B
also written 啦啦隊 啦啦队	27-23084-B
also written 嘆息 叹息	35-26802-B
also written 嘎嘎	13-16541-B
also written 圓珠筆 圆珠笔	11-32539-B
also written 坐落	22-64991-B
also written 垃圾郵件 垃圾邮件	15-56285-B
also written 多米尼加 多米尼加	16-58480-B,16-61690-B
also written 多采	16-57827-B
also written 奇數 奇数	14-18423-S
also written 孔子	19-2670-B
also written 孫子兵法 孙子兵法	19-15636-B
also written 定製 定制	57-57503-B
also written 家俱	6-29954-B
also written 尤克里里琴	40-34991-S
also written 尿素	52-35386-B
also written 座標 坐标	22-64630-B
also written 座標 座标	22-64550-B
also written 座落	15-51590-B
also written 彙編 汇编	10-38994-B
also written 微安培	24-18635-B
also written 急躁	24-58064-B
also written 情急之下	25-13805-B
also written 托辭 托辞	57-65614-B
also written 抱頭鼠竄 抱头鼠窜	27-14086-B
also written 指手畫腳 指手画脚	27-58611-B
also written 振振有詞 振振有词	27-70599-B
also written 揣在懷裡 揣在怀里	28-51877-B
also written 搋在懷裡 搋在怀里	28-47788-B
also written 搜索引擎	28-56008-B
also written 摻和 掺和	29-33325-B
also written 摻雜 掺杂	29-33487-B
also written 撐桿跳 撑杆跳	29-5863-B
also written 撐桿跳高 撑杆跳高	29-5957-B
also written 數據 数据	30-21941-B
also written 數週 数周	30-20569-B
also written 文風不動 文风不动	49-15396-B
also written 新聞周刊 新闻周刊	30-55278-B
also written 旋渦 旋涡	39-51993-B
also written 日圓 日圆	31-5265-B
also written 星相圖 星相图	31-31779-B
also written 曠古未有 旷古未有	32-2964-B
also written 書札 书札	32-10016-B
also written 曼哈頓 曼哈顿	32-14161-B
also written 曼徹斯特 曼彻斯特	32-14058-B
also written 服輸 服输	4-54767-B
also written 杜鵑花 杜鹃花	33-10466-S
