xīn xì xiàn	30-51633-B
ya hua ji	60-61296-B
ya huai	16-33017-B
ya huan	2-48481-B,2-48657-B,2-48741-B
ya huan ya	4-38100-S
ya hui	27-53744-S
ya ji	2-48604-B,36-27994-S,49-5540-S,56-24646-S,67-27271-S
ya jia	16-32623-B
ya jia la pu bu	21-12493-S
ya jin	16-33351-B,27-16512-B
ya jing	4-36286-S
ya ju	13-64199-B
ya jun	3-64224-B
ya ka mo	12-38756-S
ya ke	3-62789-B
ya ke luo di ya yu	16-20333-S
ya ke yi sheng	41-46827-B
ya la	67-42379-S
ya le ma	26-2206-S
ya li	9-35324-S,10-19944-S,16-32722-B,17-23847-S,21-61154-S
ya li chi	4-60975-S
ya li guo	16-32908-B
ya li qiang du	16-32831-B
ya li rong qi	16-32762-B
ya li wen luan	9-35415-S
ya li xian ji	39-14708-S
ya li yu	10-19996-S
ya lian bang	40-2927-S
ya lie zui	13-15469-S,71-55865-S
ya lin jie	3-63703-B
ya ling	13-64376-B
ya liu suan	3-62730-B
ya liu suan na	35-20188-S
ya lu: tou ya	19-65005-S
ya luo yu	66-55920-B
ya ma	3-65313-B
ya ma bu	3-65349-B
ya mai	16-32967-B
ya mei	21-12579-S
ya men	3-64927-B,50-34041-S,56-36821-B
ya mian	60-61170-B
ya miao	53-63751-B
ya miao zhu zhang	28-47271-B
ya ming	42-48359-S
ya mu	3-62297-B
ya na	10-36525-S,15-37313-S,37-31065-S,45-13184-S,66-14290-S
ya na qun dao	10-36612-S,69-43587-S
ya ni	32-68461-S
ya nu: wang	50-2247-S
ya nuo shi	66-56058-B
ya ou da lu qiao	3-59833-B
ya pian	70-53812-B
ya pin	27-14717-S
ya ping sheng yun	27-16295-B
ya po	16-33920-B
ya pu bu	50-2762-S
ya qi	42-48123-S,59-7642-S
ya qian	41-46889-B,41-46932-B
ya qian jin	47-34936-S
ya qian jin ding	38-37465-S
ya qiang	16-33059-B,17-23919-S
ya qu	53-64319-S,54-9352-S
ya que wu sheng	70-53951-B
ya ran	60-61028-B
ya ran ji	60-61090-B
ya re	18-824-S
ya re dai	3-61538-B
ya ren	34-428-S,43-1882-S,52-2408-S,54-58214-S,66-6650-S,66-7927-S,69-32396-S
ya ruo bi lin	17-49697-S
ya sa	4-36212-S
ya sha long	27-16460-B
ya sha ren	4-38187-S
ya shan	14-9800-S,67-2771-S
ya shan mai	14-9873-S
ya she ban	16-33737-B
ya shen	3-62348-B
ya shen suan	3-62390-B
ya sheng	1-72284-S,14-33013-S
ya shi	1-29899-S,16-22273-S,30-56257-S
ya shou du te qu	40-3028-S
ya shu	4-38928-S,5-32043-S,29-8704-S,57-20894-S
ya shua	41-46486-B
ya si	4-48438-S,66-5155-S,66-55112-B
ya si de	43-129-S
ya si de jiao	43-202-S
ya si te	43-292-S
ya song sen	3-65238-B
ya su tai	40-38696-S
ya suan qi	16-33864-B
ya sui	16-33313-B
ya sui qian	16-33225-B
ya suo	9-8531-S,12-12354-S,16-33505-B,30-22218-S,32-33891-S,57-48626-S
ya suo bi	16-33677-B
ya suo ji	16-33614-B
ya suo qi	16-33561-B
ya ta	59-24075-S
ya tang	71-12693-S
ya te	4-47652-S,54-36912-S
ya te li ke si	59-29497-S
ya tiao yue	63-55025-S
ya tie	3-64887-B
ya tong	41-46727-B
ya tou	2-48554-B
ya tu	57-23883-S
ya tu la	65-65973-S
ya wan	17-5066-S,22-57262-S
ya wei ke	67-22233-S
ya wen	30-497-S,54-58287-S,57-20550-S
ya wen hua	3-59418-B
ya wu zhao	23-40760-S
ya xi ya	20-60498-S
ya xi ya zhou	3-63216-B
ya xian	16-33392-B,41-46975-B,48-18216-S,48-19315-S,70-12711-S
ya xiang	17-39606-S
ya xiao suan	3-62449-B
ya xiao suan na	3-62596-B
ya xiao suan yan	3-62666-B
ya xiao suan yi wu zhi	3-62507-B
ya xing	67-67453-S
ya yi	3-63810-B,16-33150-B,41-47223-B
ya yin	41-47307-B
ya yin jie dan wei	3-64992-B
ya yu	1-66676-S,7-17775-S,11-19011-S,16-20333-S,16-20577-S,37-38988-S,54-58362-S,57-20723-S,69-32547-S
ya yuan chong bing	22-10123-S
ya yue	66-55268-B
ya yun	16-33970-B,27-16564-B
ya yun hui	3-64452-B
ya zai	4-57403-B
ya zhi	16-32673-B
ya zhi tang	2-19765-S
ya zhong	3-62841-B
ya zhong duan	13-64316-B
ya zhou	3-63216-S,5-1003-S,9-52204-S,11-1500-S,16-17593-S,22-27211-S,23-31556-S,50-2437-S,50-2511-S,57-17254-S,57-20239-S,59-55385-S
ya zhou bing	41-46603-B
ya zhou ke zao	3-60841-B
ya zhou yan	41-46530-B
ya zi	4-57355-B,29-6128-S,70-55104-B
ya zi tang	70-55139-B
ya zong du	40-2824-S
ya zu	37-48860-S,37-62282-S,57-17540-S
ya zui	40-39840-S
ya zui shou	70-55051-B
ya zuo	40-40061-S
ya · lai ang	11-15193-S
ya1	2-48331-B,4-68224-S,4-69481-S,10-27113-S,13-41222-S,13-52833-S,13-62342-S,13-64137-B,15-33375-B,15-46596-S,16-18840-S,16-18931-S,16-32332-B,17-23785-S,17-26693-S,19-64963-S,19-65005-S,21-24980-S,23-47685-S,24-38337-S,24-38630-S,26-53732-S,27-14677-S,27-16236-B,27-38554-S,29-41025-S,29-42098-S,30-65420-S,33-29124-S,33-31515-S,33-38274-S,34-25888-B,35-23403-S,36-27869-S,36-40259-S,36-45477-S,38-37415-S,39-242-S,39-19922-S,39-32688-S,40-39798-S,40-42630-S,41-0-B,45-9155-S,45-48669-S,47-38984-S,47-42029-S,48-18150-S,50-63821-S,52-29483-S,53-31010-S,56-24599-S,57-48519-S,59-31443-S,60-7418-S,63-57348-S,64-4673-S,64-53985-S,65-9023-S,65-55442-S,67-27230-S,70-12653-S,70-21408-S,70-53786-B,70-55025-B,71-25342-S
ya1 ba1 r5	2-48363-B
ya1 bian3	16-33102-B
ya1 biao3	36-27941-S
ya1 cha1	2-48419-B
ya1 dai4 kuan3	27-14818-S
ya1 dan4	71-4580-S
ya1 dao3	16-32511-B
ya1 dao4 xing4	16-32566-B
ya1 de5 tou2 she2	23-46265-S
ya1 di1	16-32457-B
ya1 dian4	70-12779-S
ya1 guan3	2-65392-S
ya1 hua1	16-33805-B
ya1 huai4	16-33017-B
ya1 huan2	2-48481-B,2-48657-B,2-48741-B
ya1 ji4	2-48604-B,36-27994-S,56-24646-S,67-27271-S
ya1 jia4	16-32623-B
ya1 jin1	27-16512-B
ya1 jin3	16-33351-B
ya1 li4	9-35324-S,16-32722-B,17-23847-S,21-61154-S
ya1 li4 guo1	16-32908-B
ya1 li4 qiang2 du4	16-32831-B
ya1 li4 rong2 qi4	16-32762-B
ya1 li4 wen3 luan4	9-35415-S
ya1 lu:4 tou2 ya1	19-65005-S
ya1 mai2	16-32967-B
ya1 pian4	70-53812-B
ya1 pin3	27-14717-S
ya1 ping2 sheng1 yun4	27-16295-B
ya1 po4	16-33920-B
ya1 qi4	59-7642-S
ya1 qian1 jin1	47-34936-S
ya1 qian1 jin1 ding3	38-37465-S
ya1 qiang2	16-33059-B,17-23919-S
ya1 que4 wu2 sheng1	70-53951-B
ya1 sha1 long2	27-16460-B
ya1 shan1	67-2771-S
ya1 she2 ban3	16-33737-B
ya1 shi4	16-22273-S
ya1 suan4 qi4	16-33864-B
ya1 sui4	16-33313-B
ya1 sui4 qian2	16-33225-B
ya1 suo1	9-8531-S,12-12354-S,16-33505-B,30-22218-S,32-33891-S,57-48626-S
ya1 suo1 bi3	16-33677-B
ya1 suo1 ji1	16-33614-B
ya1 suo1 qi4	16-33561-B
ya1 tou2	2-48554-B
ya1 xian4	16-33392-B,48-18216-S,48-19315-S,70-12711-S
ya1 xing4	67-67453-S
ya1 yi4	16-33150-B
ya1 yun4	16-33970-B
ya1 zhi4	16-32673-B
ya1 zhong1 duan1	13-64316-B
ya1 zi5	29-6128-S,70-55104-B
ya1 zi5 tang1	70-55139-B
ya1 zui3	40-39840-S
ya1 zui3 shou4	70-55051-B
ya1 zuo4	40-40061-S
ya2	3-22610-S,4-38100-S,4-57316-B,6-8788-S,6-9818-S,6-32076-S,8-62081-S,9-12281-S,11-29070-B,13-29102-S,17-49541-S,19-18458-S,21-6117-S,21-15237-S,21-29430-S,21-44153-B,23-49184-S,24-67753-S,26-2163-S,26-7293-S,33-30633-S,33-32301-B,38-22275-S,38-37139-B,39-27538-S,41-37310-S,41-46374-B,43-22965-S,44-33298-S,45-46034-S,45-54407-B,46-39975-S,48-4538-S,51-68819-S,52-36283-S,53-63719-B,54-41444-S,54-58163-S,55-21417-S,55-28901-S,55-58355-B,56-36762-B,56-57733-S,57-20502-S,59-17597-S,59-24035-S,65-17410-S,71-12656-S,71-55710-S
ya2 bai2	41-46770-B
ya2 bao1 gan3 jun1	52-5844-S
ya2 cai4	59-17641-S
ya2 chi3	41-47262-B
ya2 chuang2	41-46677-B
ya2 gang3	57-20622-S
ya2 gao1	41-47021-B
ya2 guan1	13-29180-S
ya2 hai3 an4	59-24131-S
ya2 hai3 jiao3	17-49596-S
ya2 huan2 ya2	4-38100-S
ya2 hui4	27-53744-S
ya2 ke1 yi1 sheng1	41-46827-B
ya2 le4 ma3	26-2206-S
ya2 li4	10-19944-S
ya2 li4 chi3	4-60975-S
ya2 li4 yu3	10-19996-S
ya2 lie3 zui3	13-15469-S,71-55865-S
ya2 men5	50-34041-S,56-36821-B
ya2 miao2	53-63751-B
ya2 qian1	41-46889-B,41-46932-B
ya2 qu1	54-9352-S
ya2 ren2	54-58214-S
ya2 ruo4 bi3 lin2	17-49697-S
ya2 sha1 ren2	4-38187-S
ya2 shua1	41-46486-B
ya2 ta3	59-24075-S
ya2 tang2	71-12693-S
ya2 tong4	41-46727-B
ya2 wen2	54-58287-S,57-20550-S
ya2 wu3 zhao3	23-40760-S
ya2 xian4	41-46975-B
ya2 yi1	41-47223-B
ya2 yin2	41-47307-B
ya2 yu3	54-58362-S,57-20723-S
ya2 yun4	27-16564-B
ya2 zai3	4-57403-B
ya2 zhou1 bing4	41-46603-B
ya2 zhou1 yan2	41-46530-B
ya2 zi5	4-57355-B
ya3	6-58655-S,8-6053-S,8-29788-S,11-10486-S,13-64168-B,14-9735-S,14-32946-S,17-39509-S,20-11090-S,21-1797-S,21-14585-S,22-55512-S,30-31452-S,30-58049-S,32-5516-S,37-14854-S,37-17787-S,37-62219-S,39-23199-S,40-40169-S,40-40282-S,41-43419-S,45-23708-S,48-49045-S,51-40624-S,54-10110-S,57-568-S,65-45891-S,66-54229-B,69-43967-S,70-23628-S
ya3 ba5	13-64250-B
ya3 bin1 si1 ke4	60-60401-S
ya3 dan1 di4 mao4	66-54258-B
ya3 de2	9-8114-S
ya3 fa3	66-55626-B
ya3 ge1	66-55410-B
ya3 ge2	66-56125-B
ya3 gu3	13-64427-B
ya3 guan1	2-36099-S
ya3 he2	21-14621-S
ya3 ju4	13-64199-B
ya3 ling2	13-64376-B
ya3 luo2 yu2	66-55920-B
ya3 ming2	42-48359-S
ya3 na4	45-13184-S
ya3 nuo4 shi2	66-56058-B
ya3 qu1	53-64319-S
ya3 ren2	43-1882-S,52-2408-S
ya3 shan1	14-9800-S
ya3 shan1 mai4	14-9873-S
ya3 sheng1	14-33013-S
ya3 shu1	57-20894-S
ya3 si1	66-55112-B
ya3 su1 tai2	40-38696-S
ya3 tu2	57-23883-S
ya3 wei2 ke4	67-22233-S
ya3 xiang1	17-39606-S
ya3 yue4	66-55268-B
ya3 zhi1 tang2	2-19765-S
ya3 zu2	37-48860-S,37-62282-S,57-17540-S
ya4	1-29824-S,1-66616-S,1-72182-S,2-49070-S,3-57533-B,3-57582-B,3-60305-S,3-63154-S,3-63643-S,3-64175-S,4-36140-S,4-49790-S,4-65562-S,5-952-S,5-3377-S,5-24986-S,5-25071-S,5-34790-S,6-5076-S,7-17610-S,7-18785-S,8-11598-S,9-5979-S,9-7066-S,9-7113-S,9-51879-S,9-52441-S,9-52526-S,9-57285-S,9-59518-S,9-60284-S,9-62124-S,10-37164-S,11-8377-S,11-13363-S,11-15123-S,11-18939-S,11-28970-S,13-37326-S,13-42429-S,13-42781-S,14-15134-S,15-53082-S,15-57859-S,15-64228-B,16-17356-S,16-19573-S,16-20273-S,16-20791-S,16-32408-B,18-14830-S,18-46884-S,18-55174-B,19-32109-S,20-3485-S,20-60498-S,21-13626-S,21-14177-S,21-35499-S,22-3171-S,22-3296-S,22-5139-S,22-6785-S,22-9994-S,22-16788-S,22-17898-S,22-57135-S,23-51907-S,24-65833-S,25-35947-S,27-24834-S,27-25228-S,27-69538-S,28-18831-B,28-47232-B,29-8601-S,30-450-S,30-39762-S,30-39846-S,30-41525-S,30-45348-S,30-45435-S,30-48276-S,30-52487-S,30-56342-S,31-48221-S,31-50401-S,32-69434-S,32-69529-S,33-14547-S,33-15947-S,34-347-S,36-9067-S,36-9869-S,36-15459-S,36-35208-B,37-37583-S,37-38356-S,37-38930-S,37-39517-S,40-2737-S,40-38544-S,41-22209-S,42-41707-S,42-41778-S,42-61398-S,43-673-S,43-1025-S,43-1996-S,43-2050-S,46-13072-B,47-53316-S,48-46320-S,49-5484-S,49-7798-S,49-16096-S,49-17363-S,49-18824-S,49-27597-S,49-27862-S,49-27910-S,50-2094-S,50-63215-S,51-8443-S,51-48183-S,51-49095-S,51-49867-S,52-13444-S,54-3061-S,54-10055-S,54-22058-S,54-63045-S,54-63861-S,55-24646-S,57-12553-B,57-12866-S,57-13811-S,57-17179-S,57-20139-S,57-21899-S,57-23580-S,58-405-B,58-16565-S,58-49068-S,58-49105-S,59-55200-S,59-55825-S,60-3722-S,60-7166-S,60-8472-S,60-60855-B,61-49311-B,62-53248-S,64-42962-B,65-68744-S,66-1255-S,66-5012-S,66-6580-S,66-7661-S,66-7859-S,66-8097-S,66-9986-S,69-32105-S,69-32486-S,69-34195-S,69-62905-S,71-36681-S
ya4 Bi3 shao4	22-57184-S
ya4 Da4 xue2	9-51952-S,59-55275-S
ya4 Da4 xue2 Luo4 shan1 ji1 fen1 xiao4	9-52060-S
ya4 Gong4 he2 guo2	7-17670-S
ya4 Hai3	9-60345-S
ya4 Li3 gong1 Xue2 yuan4	9-52289-S
ya4 Lu2 ka3	22-4989-S
ya4 Min2 zhu3 dang3	16-20463-S
ya4 Xin1 Ji3 nei4 ya4	22-5139-S
ya4 Yin2 hang2	33-14590-S
ya4 an4	51-55941-S
ya4 ba1 lang2	3-59006-B
ya4 ban4 dao3	4-49870-S
ya4 bin1	30-39122-S
ya4 bing4 du2	18-914-S,22-14741-S
ya4 chang2	60-60939-B
ya4 chuan2 qi2	49-16144-S
ya4 ci2 gui1 ze2	3-64103-B
ya4 ci2 hui4 dan1 yuan2	3-64021-B
ya4 da4 jiao4 tang2	51-49957-S
ya4 da4 lu4	35-27070-S
ya4 da4 xue2	13-42512-S
ya4 dan1 wei4	3-58462-B
ya4 dao3	50-2357-S,51-49161-S,61-51021-S
ya4 dao3 he2 Nan2 Sang1 wei1 qi2	10-68590-S
ya4 dao4 che1	60-61450-B
ya4 dao4 ji1	60-61396-B
ya4 er3 fa1 he2 ao4 mi3 jia1	3-61703-B
ya4 er3 si1 ke4	7-16231-S
ya4 fu2 hao4 mo2 xing2	3-62998-B
ya4 fu4	3-61610-B
ya4 gai1 ya4	3-64175-B
ya4 gang1	3-63290-B
ya4 gang3	50-2585-S
ya4 ge1	51-45310-S
ya4 gong1 yuan2	50-2156-S
ya4 guang3 bo1 gong1 si1	13-42605-S
ya4 guo2	33-16006-S
ya4 guo2 jia1 lian2 meng2	33-16076-S
ya4 hai3	3-59120-S
ya4 hu2	50-2666-S
ya4 hua1 ji1	60-61296-B
ya4 ji4	49-5540-S
ya4 jia1 la1 pu4 bu4	21-12493-S
ya4 jing4	4-36286-S
ya4 jun1	3-64224-B
ya4 ka3 mo2	12-38756-S
ya4 ke1	3-62789-B
ya4 ke4 luo2 di4 ya4 yu3	16-20333-S
ya4 la1	67-42379-S
ya4 li4 xian3 ji4	39-14708-S
ya4 lian2 bang1	40-2927-S
ya4 lin2 jie4	3-63703-B
ya4 liu2 suan1	3-62730-B
ya4 liu2 suan1 na4	35-20188-S
ya4 ma2	3-65313-B
ya4 ma2 bu4	3-65349-B
ya4 mei3	21-12579-S
ya4 men2	3-64927-B
ya4 mian2	60-61170-B
ya4 miao2 zhu4 zhang3	28-47271-B
ya4 mu4	3-62297-B
ya4 na4	10-36525-S,15-37313-S,37-31065-S,66-14290-S
ya4 na4 qun2 dao3	10-36612-S,69-43587-S
ya4 ni2	32-68461-S
ya4 nu:3 wang2	50-2247-S
ya4 ou1 da4 lu4 qiao2	3-59833-B
ya4 pu4 bu4	50-2762-S
ya4 qi2	42-48123-S
ya4 ran3	60-61028-B
ya4 ran3 ji1	60-61090-B
ya4 re4	18-824-S
ya4 re4 dai4	3-61538-B
ya4 ren2	34-428-S,66-6650-S,66-7927-S,69-32396-S
ya4 sa3	4-36212-S
ya4 shen1	3-62348-B
ya4 shen1 suan1	3-62390-B
ya4 sheng3	1-72284-S
ya4 shi4	1-29899-S,30-56257-S
ya4 shou3 du1 te4 qu1	40-3028-S
ya4 shu1	4-38928-S,5-32043-S,29-8704-S
ya4 si1	4-48438-S,66-5155-S
ya4 si1 de2	43-129-S
ya4 si1 de2 jiao4	43-202-S
ya4 si1 te4	43-292-S
ya4 song1 sen1	3-65238-B
ya4 te4	4-47652-S,54-36912-S
ya4 te4 li2 ke4 si1	59-29497-S
ya4 tiao2 yue1	63-55025-S
ya4 tie3	3-64887-B
ya4 tu2 la1	65-65973-S
ya4 wan1	17-5066-S,22-57262-S
ya4 wen2	30-497-S
ya4 wen2 hua4	3-59418-B
ya4 xi4 ya4	20-60498-S
ya4 xi4 ya4 zhou1	3-63216-B
ya4 xiao1 suan1	3-62449-B
ya4 xiao1 suan1 na4	3-62596-B
ya4 xiao1 suan1 yan2	3-62666-B
ya4 xiao1 suan1 yi4 wu4 zhi3	3-62507-B
ya4 yi4	3-63810-B
ya4 yin1 jie2 dan1 wei4	3-64992-B
ya4 yu2	1-66676-S
ya4 yu3	7-17775-S,11-19011-S,16-20333-S,16-20577-S,37-38988-S,69-32547-S
ya4 yuan2 chong2 bing4	22-10123-S
ya4 yun4 hui4	3-64452-B
ya4 zhong3	3-62841-B
ya4 zhou1	3-63216-S,5-1003-S,9-52204-S,11-1500-S,16-17593-S,22-27211-S,23-31556-S,50-2437-S,50-2511-S,57-17254-S,57-20239-S,59-55385-S
ya4 zhou1 ke4 zao3	3-60841-B
ya4 zong3 du1	40-2824-S
ya4 · lai2 ang2	11-15193-S
ya5	13-7104-B,17-44932-S
yan	1-11646-S,1-11876-S,1-13879-S,1-14073-S,1-19438-S,1-24739-S,1-53665-S,1-74498-S,2-1462-S,2-32250-S,2-38888-S,2-40245-S,2-43833-S,2-45780-S,2-79033-S,3-6677-S,3-15575-S,3-15642-S,3-57052-S,3-62666-S,4-14172-S,4-17237-S,4-26114-S,4-59296-S,4-68986-S,4-70189-S,5-15517-S,5-19900-S,5-20678-S,5-26948-S,5-29135-S,6-5177-B,6-10842-S,6-12224-S,6-39475-S,6-45782-S,6-49658-B,6-49721-B,6-60216-B,7-6650-S,7-22979-B,7-61418-S,7-72442-S,8-11221-S,8-22458-S,8-22755-S,8-26974-S,9-15579-S,9-18448-S,9-21977-S,9-23649-S,9-29563-B,10-7295-S,10-25224-S,10-34396-S,10-38846-S,10-39086-S,10-40116-B,10-45590-S,10-50363-S,10-54062-S,11-1834-S,11-20443-S,11-26868-S,11-36162-B,11-37253-B,11-37303-B,11-51270-S,12-938-S,12-14179-S,12-16707-S,12-35457-S,12-58522-S,12-61056-S,12-68114-S,13-4032-S,13-11754-S,13-30822-B,13-30871-B,13-30986-S,13-48869-B,14-154-B,14-3491-S,14-4060-S,14-4800-S,14-5083-S,14-16151-B,14-19854-S,14-34495-B,14-40779-B,14-41266-B,14-43916-S,15-21735-S,15-37859-S,15-63378-B,15-68104-S,16-8291-B,16-21504-B,16-31073-S,16-47490-S,16-61131-S,16-63508-S,16-63547-S,17-3431-S,17-24048-S,17-26801-S,17-27900-S,17-33826-S,17-39402-S,17-49913-S,17-67284-S,17-72066-B,18-0-B,18-34044-S,18-34115-B,18-34955-S,18-35052-S,18-37449-S,18-37571-S,18-45700-S,18-53743-S,18-59610-B,18-62792-B,19-5874-S,19-27358-S,19-37531-S,19-41950-S,19-55422-S,19-55602-S,19-59513-S,19-60036-B,19-63060-S,20-10096-S,20-11149-S,20-16033-S,20-42719-S,20-53569-S,20-59121-S,20-59829-S,21-11053-S,21-20484-S,21-24425-S,21-35761-B,21-36371-S,21-44885-B,21-46487-B,21-46515-B,21-49671-B,21-49871-S,21-49914-B,21-61906-S,22-1717-S,22-5521-S,22-59672-S,23-16336-B,23-24589-B,23-26368-S,23-30682-S,23-55784-B,24-35993-S,24-37754-S,24-46846-S,24-58795-S,24-59507-S,24-64325-S,25-16644-B,25-23316-S,25-62647-B,26-2123-S,26-5155-S,26-13370-S,26-13441-S,26-14084-S,26-16571-B,26-21358-S,26-22898-S,26-30516-S,26-30635-S,26-31348-B,26-54741-S,27-17403-S,27-17742-S,27-36231-S,27-66016-S,28-5355-S,28-31517-S,28-32094-S,28-33225-B,28-35377-B,28-45455-S,28-47146-B,29-21742-S,29-25394-S,29-31509-S,29-37786-S,29-38938-S,29-58738-S,30-6554-S,30-11668-S,30-18562-S,30-18740-S,30-30934-S,30-32516-S,30-33084-S,30-33968-S,30-60793-S,30-64271-S,31-9517-S,31-26317-S,31-44230-B,31-45009-S,31-63841-S,32-10673-S,32-27066-S,32-32825-S,32-38277-S,32-54870-S,33-26608-S,33-29831-S,33-30582-S,33-30805-S,33-32699-S,33-53995-S,33-59264-S,33-62191-S,33-68182-S,34-4653-S,34-23528-B,34-23836-S,34-31245-S,34-40471-S,35-94-S,35-4215-S,35-11220-B,35-14610-S,35-29987-S,35-31826-S,35-65605-B,36-12529-S,36-20464-S,36-29530-S,36-37686-S,36-38316-S,36-62391-S,37-3770-S,37-4545-B,37-5748-S,37-7014-S,37-7950-S,37-8077-S,37-9394-S,37-10028-S,37-11589-S,37-15643-S,37-17269-S,37-26444-B,37-26491-B,37-43876-S,38-6395-S,38-7967-S,38-20156-S,38-26880-S,38-31219-S,38-40452-B,38-50283-S,38-55865-B,39-4665-S,39-6611-B,39-7372-S,39-14143-B,39-36140-S,39-36234-S,39-40299-S,39-45300-B,40-6442-S,40-7186-S,40-7232-S,40-13163-S,40-19508-B,40-21301-S,40-22677-S,40-25432-S,40-28190-B,40-28564-S,40-34154-S,40-42006-S,40-43860-S,40-44121-B,40-55491-S,40-56451-S,40-65773-B,41-1785-B,41-8979-S,41-13781-S,41-24822-B,41-28315-B,41-35795-B,41-43535-S,41-46530-S,42-5023-S,42-9630-S,42-10321-S,42-20601-S,42-27868-S,42-58564-B,43-13108-B,43-17471-S,43-39623-S,43-43809-S,43-51677-S,43-62535-S,43-63138-S,44-11142-S,44-25877-S,44-30937-S,44-34054-S,44-40017-S,44-42975-S,44-47797-S,44-56185-S,44-57449-S,44-63362-S,44-65884-S,45-4865-S,45-20165-S,45-22933-S,45-37795-S,45-44699-S,45-46159-S,45-47686-B,45-54520-S,45-58745-S,46-8449-S,46-11183-S,46-12310-S,46-13134-B,46-21099-S,46-22228-S,46-23034-S,46-23587-S,46-24146-S,46-24908-S,46-26883-B,46-29384-B,46-32366-S,46-32711-S,46-40428-S,46-42082-S,46-43152-S,46-45378-S,46-45551-S,46-47142-S,47-1075-S,47-1132-S,47-20559-S,47-29718-S,47-63700-S,47-63771-S,48-1289-S,48-22924-B,48-28036-S,48-30570-S,48-39748-B,48-50400-S,49-7964-S,49-22640-S,49-43981-S,49-62627-S,49-62842-B,50-6407-S,50-12425-S,50-15919-S,50-30649-S,50-38303-S,50-48972-S,50-51348-B,51-13460-S,51-20352-S,51-24413-S,51-33807-S,51-34596-S,51-60827-S,51-66584-S,51-66865-S,52-6247-S,52-9314-S,52-14847-S,52-16048-S,52-23338-B,52-25875-S,52-31432-S,52-36976-S,52-40352-S,52-40784-S,52-41926-S,52-44380-S,52-46297-S,52-53560-B,52-56186-S,53-9615-S,53-46154-B,53-55400-S,54-18048-S,54-21324-S,54-23109-B,54-38028-B,54-55087-S,55-10500-S,55-13992-S,55-46460-S,55-54197-S,55-58786-S,55-58786-S,55-60196-S,55-60322-S,56-4134-B,56-6676-S,56-7241-B,56-9730-S,56-12820-S,56-35596-B,56-45281-S,57-6080-S,57-40237-S,57-45614-S,57-48232-S,57-55602-B,57-55691-B,57-62317-S,58-13737-S,58-18561-S,58-23615-S,58-27217-S,58-42412-S,58-43686-S,58-46579-S,58-48742-B,58-49774-S,58-52630-S,58-54821-S,58-57973-S,58-61115-S,58-61204-S,58-61743-S,59-11864-S,59-12910-B,59-13294-S,59-14253-S,59-15010-B,59-22499-B,59-39167-S,59-39437-S,59-54339-S,60-2304-S,60-5051-B,60-12749-S,60-20001-S,60-21389-S,60-22896-S,60-39969-S,60-57283-S,61-181-S,61-14266-S,61-14396-S,61-14698-S,61-26020-S,61-44485-S,61-67948-S,62-47007-S,62-57055-S,62-58447-S,62-66787-S,62-67360-S,62-69577-S,63-12347-S,63-21493-B,63-27853-S,63-28118-B,63-32568-B,63-39326-S,63-44801-S,63-45777-S,63-45958-B,63-48043-S,63-50335-S,63-51642-B,63-52199-B,63-61891-S,64-3028-S,64-7481-S,64-12821-S,64-13181-S,64-19595-S,64-21028-B,64-27690-S,64-31930-S,64-37950-S,64-51926-S,65-10348-S,65-10435-S,65-21023-S,65-26124-S,65-38634-S,65-39891-S,65-49888-S,65-50293-B,65-50585-B,65-51437-S,65-56779-S,65-65427-B,66-25380-S,66-40038-B,66-42134-S,66-52440-S,66-52718-B,67-3197-S,67-6827-S,67-7839-S,67-14642-S,67-17077-S,67-18796-S,67-30034-S,67-35094-S,67-43960-S,67-53525-S,67-53850-S,67-56769-S,67-63070-S,67-63837-S,67-67687-S,68-1616-S,68-4157-S,68-19327-S,68-23686-S,68-26235-S,68-29595-S,68-30309-S,68-35284-S,68-44545-B,68-44979-B,68-51650-S,68-56198-S,69-4081-S,69-4473-S,69-5972-S,69-9296-S,69-13561-S,69-20833-B,69-20912-S,69-22882-S,69-28805-S,69-31111-B,69-53257-B,69-57743-B,70-10711-S,70-15983-S,70-19979-S,70-23483-S,70-36549-B,70-43317-S,70-45689-B,70-53753-B,70-55300-B,70-55979-S,70-59440-B,71-4640-S,71-5576-S,71-5812-S,71-6457-B,71-7870-S,71-17394-S,71-18489-S,71-46092-S,71-46181-B,71-50781-B,71-51098-S,71-51554-S,71-51595-S,71-52062-S,71-55491-S,71-58851-S,71-61260-S,71-63422-B
yan an	37-26689-B,68-37864-S
yan an di qu	37-26755-B
yan ba ba	45-48880-B
yan bai	45-50275-B
yan bi	23-68264-S
yan bi xi	18-23465-S
yan bian	37-27734-B,39-47005-B,56-36147-B
yan bian r	37-27805-B
yan bing	45-49507-B
yan bing du	18-40977-S,33-19366-S,57-18187-S
yan bo	11-36743-B,39-46055-B,45-49679-B,46-15089-B
yan bo shi	39-46138-B
yan bu	43-51753-S
yan bu fan	57-27442-S
yan bu hui	45-24457-S
yan bu jian wei jing	45-47760-B
yan bu xiang	58-26240-S
yan can qiu	40-25493-S
yan cang	21-35794-B,28-33740-B
yan cao	41-4024-B
yan ceng	21-49699-B
yan cha	45-48823-B
yan chan	45-52440-B
yan chan sheng	58-27385-S
yan chang	23-19422-B,33-62322-S,39-45624-B
yan chang hui	39-45700-B
yan chang xian	23-19487-B
yan chen	41-2173-B
yan cheng bu dai	14-41978-B
yan cheng chuan	45-49182-B
yan chi	14-43456-B,23-18623-B,45-50566-B
yan chong	45-51798-B
