one s means	64-4838-S,64-6912-S
onomat ting a ling in compounds such as 玎玲 or 玲瓏 玲珑	42-41158-B
onomat tinkling e g of jewels	42-41273-B
onomat to mutter	14-2796-B
onomat to pump water	13-53370-B
onomat to roar with laughter	13-16036-B
onomat to snore	13-18679-B,13-18736-B
onomat toot	14-30451-B
onomat twittering of birds	13-10260-B
onomat whisper	13-53415-B
onomat whoosh	13-18400-B
onomat young leaves stir gently in the wind	5-23884-B
onomatopoeia	59-24198-B
onself to	46-26333-S
onsen	39-22475-S
onset	44-31802-B,69-24428-B
onset and process of an illness	44-10647-B
onset and rime	69-21839-B
onset asymmetry	9-13330-S
onset of regular contractions	52-61362-S
onset time	61-9464-S
onsite visit	20-12603-B
onstruct by hoisting ready built components into place	12-44478-S
ontario province	19-26211-B
onto	9-10517-B,44-23423-S
onto a phone card	6-64216-S
onto one s shoulders	28-60159-S
onto rootstock	28-27236-S
onto sb	49-15743-S
onto the other	3-45685-S
onto the streets	1-55423-S
onto which a branch is grafted	46-15561-S
ontology	32-67655-B
onward	9-24921-B,12-62346-B
onwards	12-23958-S,15-21401-S,26-25447-S,51-19939-S,62-28438-S
onyx	50-26080-B
oolong tea	14-17477-S,40-40398-B
ooze	36-63889-B,38-44112-B,38-44291-B,39-31873-S,41-36102-B
op cit	9-20947-B
opal	55-60769-B
opal sanskrit upala	35-28227-B
opalifera	56-15771-S
opaque	2-33502-B,43-7562-B
opaque white	39-15414-B
opec	35-27175-B,46-8076-B
opel car brand	35-27471-B
open	9-10650-S,9-40759-S,10-55184-S,10-61283-S,13-64508-S,15-53274-B,23-6046-B,26-50181-S,27-11590-S,27-18583-S,27-18583-S,27-26469-S,28-7310-S,28-10297-S,28-10297-S,28-33004-S,28-49090-S,29-5606-S,29-15002-S,29-15002-S,29-15059-S,29-15059-S,29-23481-S,30-6260-S,35-40295-B,37-330-S,41-41718-B,41-41843-B,50-11701-S,52-20317-B,52-24706-S,57-47102-S,59-16365-B,59-16637-S,62-6773-B,65-29583-S,65-31511-S,65-32434-B,65-33779-S,65-36192-S,65-36766-S,65-40992-S,65-41441-S,65-42767-B,65-51908-B,65-57824-B,67-46749-S,67-46813-S,67-46904-S,68-52735-S
open a bale of cotton	65-41197-S
open a book	65-30947-S
open a business	65-34443-B
open a closed country	65-31551-S
open a conference	65-33982-S
open a gate	65-43716-S
open a law court	65-32354-S
open a river	65-38189-S
open a seam	65-40065-S
open a water source and reduce outflow 成语 saw	65-38362-S
open a way	65-42461-S
open an account bank etc	65-35240-S
open an aperture	65-11334-S
open an inn that kills and robs guests esp in traditional fiction	65-44346-S
open and candid 成语 saw	7-9855-B
open and capture	46-18298-S
open and clean	9-10609-S
open and clear	59-16709-B,65-37595-B
open and guileless	51-27588-B
open and happy	41-42546-B
open and honest	46-36805-B
open and reveals its white interior	12-60756-S
open and vast	65-37319-B
open as legs	11-41878-S
open ball math 	65-38946-B
open book exam	65-30947-B
open can with ring pull	31-27966-S
open car	30-6116-B,30-6188-B
open country	11-35762-B,15-63792-B
open discussion	53-4184-S
open door	10-61349-S
open door policy	65-22502-B
open eye	45-54482-S
open fire	40-20468-B,65-37806-S,65-38678-S,65-40019-S
open fire with artillery	26-47417-S
open for business	65-37754-B
open for business etc	65-41699-B
open forum	7-65629-B
open hearted	15-52524-B,57-11061-B
open hostilities without declaring war	2-5742-B
open ice hole	65-26124-B
open in all directions 成语 saw	14-53361-S
open interval in calculus	65-30875-B
open land	43-38199-B
open letter	7-65426-B
open minded	24-38019-B,31-24642-B,59-25157-B,65-36870-B,65-41782-S,65-42002-S
open net	7-63521-B
open network	65-36399-B
open non secretive	62-674-B
open ocean far from the coast	62-61956-S
open of flowers	46-21099-S
open one s eyes	65-39891-S
open one s liver and drip gall 成语 saw	27-11833-S
open one s mouth	23-37771-S,65-31324-B
open out	27-66710-S,31-28625-S
open pants for infants before toilet training	65-41607-B
open port	1-71058-B
open sea 成语 saw	38-10420-S
open seam of a garment	56-47605-B
open secret	12-25246-S
open set math 	65-44083-B
open shop	65-34252-S
open slits in place of sleeves	56-47715-S
open source software oss	65-36480-B
open space	16-13020-S,47-46012-B,64-2877-B
open spaces	23-11442-S,23-11540-S,65-43653-B
open system	65-36587-B
open system interconnection profile	29-55093-S
open system s	65-36317-B
open systems interconnection	65-36655-B
open tennis championship	39-19416-S
open the back door	65-34530-S
open the door	65-43398-B
open the door and see the mountain	65-43447-S
open the eyes	45-54520-B,45-54569-S
open the floodgates	65-31388-S
open the sky and divide the earth	65-32821-S
open till 	65-30492-B
open to attack	23-29475-S,23-29630-S,23-31361-S
open to the outside world	29-46898-S
open to the public	65-36192-S
open to traffic	62-14693-B
open today s service in a canteen	65-29927-S
open trailer	27-36796-S
open treaty ports	65-32273-S
open up	21-22435-S,23-37289-S,27-32044-S,30-6260-S,51-23600-S,65-42631-S,65-43653-S,65-58127-B,69-51638-B
open up a new seam	65-35517-S
open up a path for	44-1787-S
open up a port for trade	65-32273-S
open up a road	65-11334-S
open up a siege	57-47508-S
open up a topic	27-65304-S
open up for development	65-39144-B
open up land	21-27836-S,65-32032-S
open up land for agriculture	16-30828-S,23-23193-S,27-32583-S
open up land for cultivation	21-27836-S
open up new horizons	65-35517-S
open up new territory	65-39057-S
open up sth sealed	27-19903-S
open up windows for air	65-42835-S
open with the hands	28-34539-S
open work silk	50-11431-B
open 成语 saw	46-20746-S,65-42222-S
opened for cultivation	54-29154-S
opened up for cultivation	21-27936-S
opener	50-50699-S
opening	11-67971-S,28-48384-B,47-59277-B,56-50955-S,59-15677-S,59-16304-B,62-45390-S,65-21183-B,65-33263-S
opening a book is progfitable 成语 saw	65-31013-S
opening at a high level	8-44011-S
opening ceremony	9-30778-S,28-48434-B,65-34051-B
opening for ventilation	62-16010-B
opening hours shop	41-31615-B
opening night	69-22407-B
opening of theatrical performance	65-40864-B
opening on top	71-47716-S
opening panel of a door	65-22661-S
opening panel of a window	47-55335-S
opening price	62-28909-B
opening procession	7-24305-B
opening providing access	19-3409-B
opening sentence of marx and engels communist manifesto	1-2375-S
opening speech at a conference	65-34111-B
opening titles of movie	41-44603-B
opening to others	18-10683-S
opening up of frozen river in spring	65-38271-S
openly	7-61494-B,7-61556-S
openly between ourselves	65-41782-S,65-42002-S
openly voiced	24-63809-S,24-64159-S
openness	62-741-S
openness of government	7-65483-B
opera	4-2868-S,4-3195-S,6-7285-S,7-37812-S,8-13913-S,9-40381-S,11-68770-S,12-42673-S,12-60100-S,14-48269-S,18-9183-S,18-49834-S,21-43258-S,21-50073-S,24-30180-S,24-30655-S,26-21231-S,29-4285-S,31-19468-S,33-49147-S,35-25689-B,35-37287-S,37-18889-S,39-11873-S,39-31323-S,43-43472-S,44-35806-S,46-63850-S,46-63925-S,48-51841-S,52-583-S,52-11712-S,53-56663-S,53-59761-S,59-25414-S,60-26333-S,62-51599-S,64-46120-S,67-36160-S,68-17980-S,69-8964-S
opera actor	60-37696-S
opera and film recent usage	35-48337-S
opera ballad and dancing monologue	58-45633-S
opera character	19-44394-S,19-44487-S
opera etc	44-44330-S
opera for popular in sichuan and yunnan	53-58335-B
opera form popular along changjiang	53-61984-B
opera from taiwan and fujian	35-25575-S
opera house	35-25726-B
opera music without staging or make up	38-59793-S
opera of shanxi province	55-685-S
opera or dance	35-46868-S
opera or styles of song in	45-704-S
opera rich in singing and dancing	64-2667-B
opera section in free rhythm	30-8746-B
opera singer in puberty	5-55410-S
opera tune portraying mourning	13-46955-B
opera with clapperboard accompaniment	24-48262-S
operandi	5-7796-S
operas	22-36059-S,29-8087-S,52-52598-S
operas in shangxi	34-12764-S
operate	5-7414-S,29-20338-S,29-20540-S,29-21838-S,41-30716-S,49-61057-S,62-41960-S
operate easily 成语 saw	62-40403-S
operate jointly	12-35631-S
operate on or to be operated on	65-30283-S
operate vehicle	65-29583-S
operated	26-31921-S,36-26236-S
operated newspaper	35-5683-S
operated on	65-30283-S
operating	62-38665-B
operating a coal fire	12-24620-S
operating desk	29-20606-B
operating environment	5-7504-B,20-13610-S,29-20687-B,62-40903-B
operating report	21-53249-B
operating speed	29-20891-B
operating system	5-7582-B,29-20766-B,50-7505-S,50-9242-S,57-36186-S
operation	5-7414-B,7-63167-S,9-26984-S,9-27198-S,15-46401-S,17-33000-S,26-35905-S,26-35905-B,27-867-S,29-21894-S,29-65194-S,35-36241-S,38-14555-S,38-59096-S,41-61726-S,42-716-S,47-27059-S,53-2138-S,54-54426-S,56-31764-B,61-68684-S,62-40277-S,62-40759-S,62-58958-S,63-50655-S,64-3619-S,65-30283-S,65-33866-S
operation e g business	62-38665-B
operation e g trains and buses	38-55416-S
operation of airport	41-32293-B
operational state	62-41392-B
operations	15-43596-S,15-67626-S,26-17286-S,29-49508-S,33-64124-S,50-32484-S,61-26804-S,62-40277-S,62-40983-B
operations administration and maintenance	49-61138-B
operations research or	62-41046-B
operations 成语 saw	8-1126-S
operative	41-57330-B
operator	9-5070-S,16-9248-S,16-9248-S,28-27456-S,29-20838-B,30-70453-S,42-18139-S
operator math 	48-24086-B,50-16902-S
operator of machine	3-4456-B
operator who can derive benefit from any situation	21-58371-S
operculum latin little lid	11-37303-B
ophiolite geol 	55-60322-B
ophiuchus constellation	55-59668-B
ophthalmology	45-50998-B
opinion	2-25095-S,3-41599-S,5-24801-S,5-24880-S,7-56781-S,7-62748-S,8-47696-S,8-55533-S,15-35005-S,18-28419-S,20-177-S,20-43409-S,20-55111-S,23-64528-S,25-29267-B,25-30108-B,25-31528-S,25-32074-S,29-24191-S,36-20392-S,38-57618-S,38-57618-S,43-62926-S,45-38806-B,52-52069-B,53-63477-S,56-43022-S,56-46719-S,57-30853-B,57-36931-B,57-56375-S,58-20384-S,58-58671-S,61-20015-S,61-43889-S,61-44049-S
opinion humble expr 	27-40519-S
opinion lit stupid opinion	25-31528-S,25-32074-S
opinion of one s own abilities	2-21246-S
opinion of the masses 成语 saw	9-46557-S
opinion or demand	13-19573-S
opinion poll	36-20464-B,36-20530-B,36-22863-B,58-37968-B,61-20124-B
opinion will judge what s right and wrong	31-38042-S
opinion 成语 saw	12-29586-S,31-38042-S
opinions	1-18452-S,6-48856-S,12-61281-S,24-23450-S,46-25169-S,67-5861-S
opinions as one s own	27-53744-S
opinions is of wide benefit 成语 saw	66-57782-S
opitoshtonous med 	57-44866-B
opium	15-29730-S,17-26801-B,66-9078-B,66-11614-B,70-53812-B
opium eater	44-22153-B
opium esp from 18th early 20th century	47-1132-S
opium pipe	41-2395-B
opium war	3-47862-S,3-63343-S,3-63507-S
opium war between qing china and britain	10-66710-S
opium wars of 1840 1842 and 1860 1861	70-53851-S
opossum zoo 	59-32637-B
oppland	49-6397-S
opponent	4-41145-B,8-13966-B,9-64435-S,20-49993-B,20-50206-B,20-57700-S,20-57700-B,24-7044-S,29-55720-B,61-37125-S
opponent into third place	29-25228-S
opponents	20-52089-S,31-4042-S
opponents e g sporting	20-50270-S
opportune	12-31509-B,12-34724-B,31-40069-B,35-35989-B
opportune connection with marriage partner	53-42816-B
opportune historic moment	25-61640-S
opportune moment	2-3406-S
opportunely	21-59877-B
opportunism	35-3594-B
opportunism blamed for failures of chinese communists from 1927	21-57879-S
opportunist abandons an unfavorable cause	34-60376-S
opportunistic	3-13447-B,27-2297-B
opportunities	14-59462-S
opportunity	3-13005-S,3-14567-S,3-14649-S,3-71358-S,4-62090-S,5-63638-S,5-63638-S,5-64506-S,7-4206-S,10-50849-S,14-61865-B,18-6385-S,20-45369-S,26-590-S,26-59702-S,31-40987-B,35-2191-B,35-3534-B,35-4794-B,35-5499-B,40-49606-S,40-60156-S,53-41950-S,54-9557-S,54-9676-S,57-30307-S,60-19355-S,62-35623-S,66-41949-B,66-42000-B,68-22231-S
opportunity esp to do sth bad	65-10505-S
opportunity for a fight	26-6907-B
opportunity for an encounter with a beautiful woman	59-22531-S
opportunity slip	17-64256-S
opportunity to live	43-21406-B
opportunity to speak	14-30023-S
opportunity while you can	31-38833-S
oppose	5-6480-B,11-43612-S,11-47096-S,12-63582-S,13-21350-B,20-46157-S,20-53940-B,27-4803-B,29-32950-B,42-888-S,45-27990-S,61-65778-S
oppose each other with equal harshness 成语 saw	64-19426-S
opposed to	11-47096-S
opposed to air mail etc	22-37398-S
opposed to block capitals	62-20844-S
opposed to bold or italics	35-40641-S
opposed to clergy	8-29202-S
opposed to criminal case	36-19205-S
opposed to deciduous tooth 乳牙	24-67753-S
opposed to electric typewriter	26-33061-S,26-33146-S
opposed to empirical observation	19-53015-S
opposed to etymologically correct form 正體字 正体字	5-33212-S
opposed to footnotes	35-36906-S
opposed to hand typewriter	67-30612-S,67-30697-S
opposed to heavy water	61-10981-S
opposed to human or machine powered	43-53412-S
opposed to international guest 外賓 外宾	7-32440-S
opposed to intranet	7-63521-S
opposed to labor resources	41-53248-S
opposed to literal translation 直譯 直译	25-30505-S
opposed to military	30-30468-S
opposed to ordinary name of a buddhist or daoist monk or nun	37-34260-S
opposed to peaks	4-69633-S
opposed to pirated	45-43151-S
opposed to relative number	49-46404-S
opposed to revolution	29-45207-S
opposed to single chain 單鏈 单链 rna	67-2106-S
opposed to steam or ice	38-37593-S
opposed to the double helix dna	14-22372-S
opposed to the sea	66-32820-S
opposed to the way of hegemon 霸道	42-36865-S
opposed to thought and deed	57-56531-S
opposed to town or city	63-29577-S
opposed to waterproof dam of clay or concrete	15-30371-S
opposing	20-53940-B
opposing champion in sporting contest	47-6904-S
opposing factions	8-14062-S
opposing forces	20-49179-S,56-40118-S
opposing sides in chess etc	20-49179-B
opposing view	13-55213-S
opposing yuan shikai 袁世凱 袁世凯 in war of national protection 1915 1916	11-53201-B
opposing yuan shikai 袁世凱 袁世凯 in war of national protection 護國爭 护国争 1915 1916	11-53350-B
opposita	21-32810-S
opposite	11-43612-B,11-44769-S,11-52227-B,20-46157-S,20-53940-S,20-54066-B,20-57061-B,20-57241-S,20-57451-B,45-27086-B,45-27990-B,61-65778-B,61-66150-B
opposite angle	20-56168-B
opposite bank of a body of water	20-49271-B
opposite characters	11-52277-B
opposite direction	11-45500-B,11-55236-S,52-18559-S
opposite direction buses	20-57304-S
opposite extremes	17-45514-B
opposite forces in phys 	20-52366-S
opposite hong kong island	21-6006-S
opposite left	12-23532-S
opposite meaning	11-52277-S,11-52371-B
opposite of hydrogenation 氰化	52-33309-B
opposite of indirect	45-21659-S
opposite of new	53-27838-S
opposite of what one would expect or what would be normal	6-11306-S
opposite reaction	11-44078-B
opposite sakhalin island	64-46857-S,64-46972-S,64-47116-S,64-47283-S
opposite sex	26-43949-S,43-61182-S,53-437-S
opposite side	20-50993-B
opposite side in a conflict	20-54066-S
opposite side of some topic	11-55677-B
opposite to	30-36050-S
opposite to 弱受	23-44141-S
opposite to 強攻 强攻	23-36670-B
opposite tune	13-55213-S
opposite way	11-44769-S
opposites	11-54230-S
opposition	1-63844-S,11-47096-B,59-1311-S
opposition candidate in jan 1996 singapore elections	63-32910-S
opposition faction	11-47184-B
opposition party	15-36596-B,21-52969-S
opposition political party	11-47314-B
opposition to	31-59081-S
oppress	16-33920-B,23-20104-S,27-69869-B,28-62854-B
oppress the people	69-1726-S
oppressed	25-54330-S,25-54403-S
oppresses the people	42-28888-S
oppression	16-33920-B
oppression 成语 saw	9-61525-S
oppressive	9-14180-B,35-62128-B,55-48300-B
oppressive of weather	37-6063-B
oppressor	65-4845-S
optative verb 能	52-27507-B
optic	7-11992-S
optic disk terminal of the optic nerve on the retina	57-35860-B,57-35982-B
optic nerve	57-35802-B
optic nerve on the retina	57-35860-S,57-35982-S
optical	7-11408-S,7-11992-B
optical attenuation	7-12588-B
optical cable	7-11891-B,7-12669-B,7-12756-B
optical detector	7-10516-B
optical disc	7-11337-B
optical disk	7-11458-S
optical drive	7-11539-S
optical fiber	7-8420-B,7-11992-B,7-12669-B
optical instrument	7-8106-B
optical interface	7-12512-B
optical line	7-11891-B
optical microscope	7-8183-B
optical power	7-7403-B
optical receiver	7-9526-B
optical response	7-9413-B
optical signal	7-6980-B
optical spectrum	12-16546-B
optical transmitter	7-11090-B
optical wavelength	7-10683-B
optician	57-34521-S
optics	22-56383-S,41-55138-S,42-51723-S,55-19938-S,62-1784-S
optics math phys 	7-8106-B,67-67352-S
optimal	32-19135-B,32-19322-B
optimistic	34-49797-B,65-37595-B
optimistic about the outcome	45-38243-B
optimistic forecast	2-24028-S
optimization	6-57585-B
optimization math 	32-19257-B,32-19371-B
optimize	6-57585-S
optimum	32-19135-B,32-19322-B
option	12-7894-S,20-19187-S,32-51344-B
option but to	2-8354-S
optional course	62-69996-S
optional course in school	62-69996-B,62-70085-B
options	27-59805-S,65-28590-S
options as in computer software settings	63-1505-B
opto electrical	7-13664-B
optometry	57-34430-B,69-57961-B,69-58033-B,69-58128-B
optometry eyesight test	69-57900-B
opulence	18-12404-B
or	26-14482-B,26-14605-B,26-14733-B,26-66276-B,57-24667-B,57-24854-B,57-28166-B,62-41046-S,63-10194-B
or 10 6 meter	24-20747-S
or 10 9	12-38586-S
or 160 liter	30-37107-S
or 2 bytes	4-66195-S
or 247 195 bc	9-43248-S,39-51386-S,39-51513-S
or 25 official dynastic histories	35-34420-S
or 25 or 26 in modern editions	3-33813-S,3-34457-S
or 26 in modern editions	3-33813-S,3-34457-S
or 3 grams	64-31360-S
or 30 mu	44-580-S
or 33 33 meters	22-12856-S
or 6 6667 hectacres	68-21088-S
or 8 holes	48-3745-S,48-34768-S
or a bomb	61-31606-S
or a bow	28-321-S
or a conference	33-24529-S
or a coruña city in galicia	27-24834-S
or a flag	28-49648-S
or a god	45-45036-S
or a horse 成语 saw	13-19275-S
or a horse 成语 撒网	13-19119-S
or a house for subletting	10-17004-S
or a meal	69-14523-S
or a memorial to the dead	13-47183-S
or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
or a term of address	65-65459-S
or a watercourse	29-46382-S
or abi name	66-6532-S
or ability	20-41608-S
or abnormal state	44-10217-S
or abridged	11-35374-S
or academy	15-4105-S
or accept bribes	49-18055-S
or acceptance	5-38150-S
or accurate	48-49417-S
or ace deuce smallest throw at dice	22-53372-S
or acrobats at a fair	62-37874-S
or act in one s sleep	29-6740-S
or action	8-51516-S,10-62808-S,10-62946-S,26-44565-S
or actions designed to avoid embarassment or ridicule	57-48138-S
or actress	39-45563-S,55-32370-S
or actress in costume or makeup	26-54795-S
or addiction	45-46308-S
or adjective	15-37428-S
or adjective as main verb	24-6019-S
or administration	26-31552-S
or administrative system or institution	9-11112-S
or admiral	17-15668-S
or adverbial clause	42-3713-S
or advice	69-37273-S
or africa	15-32913-S
or african person	71-33888-S
or agreement yes	13-49611-S
or agricultural producers cooperative etc	12-32022-S
or ahmadinezhad persian name	53-46873-S
or aibi in xinjiang	53-47747-S
or air distance	53-34951-S
or air outlet	8-40384-S
or aircraft	50-22235-S
or airplane	53-39420-S
or ajna	45-36847-S
or al maliki name	69-34254-S
or all night	41-17433-S
or alliance	7-25195-S
or alpha tauri	43-54364-S
or alto lute	2-84078-S
or ambiguous language	66-49033-S
or aminacrine antiseptic and disinfectant	36-33025-S
or amount of	53-66149-S
or amur river	17-26572-S,29-14233-S,71-31920-S
or an animal to go	29-52883-S
or an error passed on for a long time may be taken for the truth	47-40710-S
or an organization	31-3456-S
or anahata	24-39457-S
or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
or ancestors	18-4042-S,46-65142-S
or ancestral spirit	56-27640-S
or andhra state in southeast india	19-28079-S
or andromeda galaxy m31	4-28475-S
or anger	39-54226-S
or animal	19-17100-S,29-36959-S,35-63206-S
or animal as a block	16-14805-S
or animal bones	11-11642-S
or animal used for tracking	53-17723-S
or animals	49-21579-S,49-23410-S
or announcement	34-39521-S
or annual income of 10	54-43528-S
or antique taiwan pr wan4	42-37776-S
or anvil bone of middle ear	46-15642-S
or anxiety	60-44963-S
or anything in a crisis	44-9959-S
or aokhan khoshuu	29-65462-S,29-65525-S
or aphemia loss of language	17-67461-S
or apparatus	19-46234-S,41-36868-S
or appearance	23-53971-S
or appointed to a post	11-60517-S
or appropriate	35-19889-S
or approximately a billion bytes	12-39297-S
or approximately a million bytes	7-945-S
or arabs	17-47711-S
or arc equivalent to one sixtieth of a degree	47-21774-S
or argument	6-63880-S,57-25980-S,71-37621-S
or arm	36-11859-S
or army orderly doing odd jobs	10-9715-S
or army units	31-3756-S
or aromatic purple yam	11-40199-S
or art	12-66079-S,19-19293-S,46-62506-S,53-50235-S,58-12294-S
or artery	22-52962-S
or article	39-44617-S,41-4987-S,65-32486-S
or artist	4-33145-S,7-42451-S
or artist s impression for news story	34-43611-S
or artistic endeavor	67-51656-S
or artistic talent	26-38226-S
or artistic work	39-61753-S,39-62029-S
or artux city and county in qizilsu kyrghiz autonomous prefecture in xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69128-S
or artux city in qizilsu kyrghiz autonomous prefecture in xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69358-S
or artux county in qizilsu kyrghiz autonomous prefecture in xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69588-S
or aru khorchin khoshuu	66-14076-S,66-14178-S
or as a toy	29-12476-S
or aspiration	9-1503-S
or associate	4-60079-S
or associative compounds	32-23505-S,32-23744-S
or assorted art and literature	49-64030-S
or astronomical body	60-7089-S
or astronomical phenomenon e g rainbow or eclipse	17-53789-S
or atresia of vagina as birth defect	20-12671-S,46-5487-S
or attend a meeting	65-37438-S
or austen name	18-14057-S,18-14622-S
or authority	24-16755-S
or autumn equinox	47-14316-S
or ayeyarwaddy river	4-50019-S,4-50230-S,5-25366-S
or b in microsoft dos and windows system	45-11686-S
or baarin baruun khoshuu	22-7129-S,22-7217-S
or backing	29-38505-S
or bad	6-28404-S,62-40189-S
or bad locations	15-44296-S
or baekdu mountain	65-17675-S
or baekje korean kingdom 18bc 660 ad	44-54843-S
or baektu	44-48678-S
or baise prefecture level city in guangxi	44-56364-S,44-56533-S
or bak mei white eyebrow chinese martial art	44-42873-S
or baldur	11-8653-S
or bamboo pen for sheep or cattle	34-22982-S
or bamboo trestlework	34-22982-S
or ban	62-57912-S
or band	57-12472-S
or band on the edge of a dress	56-55681-S
or bangladesh	34-39670-S
or banner	31-3316-S
or bars	60-61527-S
or basin	64-24406-S
or bass lute	17-38312-S
or bassoon	67-252-S
or be a legacy	63-3405-S
or beam	34-16860-S
or bean	54-19324-S
or beast fist martial art esp fictional	42-25667-S
or beautiful place	37-57466-S
or beiping name of beijing at different periods	10-31324-S
or beloved way of starting a letter	57-39124-S
or benedict spinoza 1632 1677	30-42789-S
or berkeley name	22-3487-S
or berne switzerland	4-58508-S
or between networks	50-10289-S
or bike	69-51960-S
or bill for purchase	44-32235-S
or birch for corporal punishment	33-29748-S
or birdcatching	50-8972-S
or bisu	59-29760-S
or black fox vulpes alopex argentatus	42-28042-S,64-27836-S
or black kingfish rachycentron canadum	60-65484-S
or blue	67-53725-S
or boards	28-15128-S
or boat	20-59752-S
or boats	46-25604-S,61-2781-S
or bodhisattva	5-3263-S
or bogus	45-40982-S
or bok choi	44-45122-S
or bole city 博樂市 博乐市	20-67467-S
or bone	27-8104-S
or bookstore	15-26470-S
or bottle	31-60197-S
or brambling fringilla montifringilla	41-29352-S
or branches	64-28661-S
or brandsen name	4-65728-S
or break matter	19-7317-S
or breathe upon to smile	35-22739-S
or breed	61-39655-S
or bridegroom at a wedding	6-55344-S
or brother or sister	51-24927-S
or brotherhood	11-7701-S
or bud that is grafted onto rootstock	28-27236-S
or buddhist context	17-52223-S
or buddhist monk	23-15234-S
or budget surplus	68-23429-S
or building	48-38793-S
or buildings	34-22678-S
or bukhara city in uzbekistan	22-14293-S
or bulbul family of birds	70-57214-S
or bull e g 2009	41-47637-S
or bureau of astronomy official title from the tang dynasty onwards	12-23958-S
or burma	50-23813-S
or burma abbr for 緬甸 缅甸	50-23457-S
or burma national league for democracy nld	7-35506-S
or burning	64-33872-S
or burst	41-34181-S
or bursting	14-30770-S
or bus	61-7183-S,61-30993-S
or bus line	49-37378-S
or bus traveling only part of its normal route	10-41545-S
or bus 巴士 or club 俱樂部 俱乐部	59-2815-S
or buses	5-54933-S
or bush an enemy soldier 成语 saw	54-14773-S
or business	29-44772-S,60-34099-S
or businesses	19-60606-S
or by crook	2-12455-S
or by experience	70-7485-S
or by labor	27-14417-S,27-15243-S
or byzantium 395 1453	33-23179-S
or caliph arabic successor	13-40622-S
or call to arms	6-37346-S
or calligraphy	34-14091-S,45-44935-S
or calling attention to	34-53821-S
or cambodia	45-44445-S
or campaign to defend the republic 1915	59-4342-S,59-4465-S,59-4893-S
or campanagara	5-1679-S
or can leave it	12-14454-S
or can t it	52-27216-S
or canal	39-1764-S
or cannot	32-22432-S,52-26751-S
or capability	40-51147-S
or cardiopulmonary syndrome	39-48183-S,39-48628-S
or cards	26-46592-S
or cargo ship	42-48032-S
or carriage	3-14425-S
or carry out measures	28-20941-S
or carve	64-35402-S,65-8009-S
or cash held in reserve	22-66124-S
or casualties	8-30723-S
or catchphrase	1-29511-S
or cattle	34-22982-S
or cauldron	65-6143-S
or cause	5-31216-S
or cause to be	4-33907-S
or cavalry piece in chinese chess	69-31266-S
or celebes indonesian island	55-39143-S
or celebes 苏拉威西	55-40371-S
or ch ien lung	3-25727-S
or chamdo	31-21544-S
or chamdo district in tibet chinese qamdo or changdu	31-21593-S
or championship	12-14564-S,40-47561-S
or chance that brings people together	50-19004-S,50-19216-S
or changdu	31-21593-S
or change of regime	17-4850-S
or changed	2-15204-S
or changji hui autonomous prefecture	31-20320-S
or chant buddhist scripture	24-50313-S
or chapter of a classic book	14-54252-S
or chapters of classical novels	71-56194-S
or character of a political party	71-44623-S
or chart	34-52553-S
or check through baggage	26-52675-S
or chemical pathology	29-61917-S,29-62035-S
or chen zhonglin 陳仲琳 陈仲琳 c 1567 c 1620	58-2918-S
or chess	2-69412-S,2-76608-S,19-41235-S
or chess pieces on a board 成语 saw	31-31406-S
or chinese chess 象棋 etc	34-19699-S
or chinese kale	53-52631-S,53-52745-S
or chopping board	34-4432-S
or choreographed fight	65-35384-S
or chou yü 175 210	13-13546-S
or chow yat ngok 1947 	13-10705-S
or chu hsi 1130 1200	32-69090-S
or church	48-57004-S
or ch’iu feng chia 1864 1912	2-43314-S
or circuit breaker	65-47422-S
or city	63-29577-S
or clan	61-15253-S
or class	42-46452-S
or claudius ptolemaeus c 90 c 168	26-51812-S
or clause	9-16471-S,32-15317-S,32-16427-S
or clauses	56-50991-S
or clean politics	23-4965-S
or cliff	46-11226-S
or climate	3-61538-S
or clock	29-30840-S
or close	45-63273-S
or cloth pasted together	57-7811-S
or clouds	51-22221-S
or club 俱樂部 俱乐部	59-2815-S
or coat of fungi	10-17962-S
or coil	70-25087-S
or cold dew	20-9763-S
or college	7-24504-S,65-33263-S,66-20340-S
or colony	9-32246-S,21-50831-S
or column in the decimal system	5-53092-S,10-43888-S,10-47269-S,10-48058-S,44-50454-S,44-56920-S,54-43437-S
or commentary on 春秋	7-63709-S,7-63802-S,59-15444-S
or commentator in a play	30-67184-S
or comments	27-59489-S
or commissioned for a special task	41-61308-S
or common word for 爬行動物 爬行动物	41-37529-S
or communications link	20-40886-S
or communism or proletariat	49-9996-S
or commuted judicial sentence	39-0-S
or company	50-32723-S
or company vehicle	16-18749-S
or comply	2-15204-S
or compose	48-14041-S
or composition	20-56441-S
or comprehensive mirror for aid in government	59-52142-S
or computer monitor	31-32319-S,68-50051-S
or conception	25-28731-S
or concern exchanged between governments	41-7938-S
or concert	39-45700-S
or concert hall	10-14996-S
or concrete	15-30371-S
or concubine	18-37364-S
or confer	68-31807-S
or congregation of the catholic church	32-60224-S
