涵	38-38222-S
港湾	39-6263-S
港澳	39-6111-S
港澳 港澳	39-6111-B
港澳地区	39-6185-S
港澳地區 港澳地区	39-6185-B
港灣 港湾	39-6263-B
港股	39-6334-S
港股 港股	39-6334-B
港臺 港台	39-6384-B
港龍 港龙	39-6439-B
港龍航空 港龙航空	39-6513-B
港龙	39-6439-S
港龙航空	39-6513-S
渰	39-6611-S
渰 渰	39-6611-B
渲	39-6662-S
渲 渲	39-6662-B
渲染	39-6698-S
渲染 渲染	39-6698-B
渴	39-6762-S
渴 渴	39-6762-B
渴慕	39-6791-S
渴慕 渴慕	39-6791-B
渴望	39-6836-S
渴望 渴望	39-6836-B
游	39-6893-S,62-36210-S
游 游	39-6893-B
游乐	62-37323-S
游乐园	62-37383-S
游乐场	62-37438-S
游人	62-36278-S
游伴	62-36321-S
游侠	62-36363-S
游侠骑士	62-36410-S
游击	62-37153-S
游击战	62-37203-S
游击队	62-37265-S
游历	62-37494-S
游学	62-36480-S
游客	62-36544-S
游弋	62-36593-S
游戏	62-36635-S
游戏场	62-36677-S
游戏机	62-36733-S
游戏池	39-6969-S
游戏设备	62-36796-S
游戏说	62-36895-S
游戲池 游戏池	39-6969-B
游手	62-36982-S
游手好闲	62-37027-S
游抏	62-37095-S
游泳	39-7026-S
游泳 游泳	39-7026-B
游泳池	39-7065-S
游泳池 游泳池	39-7065-B
游泳衣	39-7124-S
游泳衣 游泳衣	39-7124-B
游牧	62-37544-S
游玩	62-37645-S
游离	62-38485-S
游艇	62-37742-S
游艺	62-37828-S
游艺会	62-37974-S
游艺团	62-37874-S
游荡	62-37788-S
游行	62-38045-S
游览	62-38106-S
游览区	62-38175-S
游记	62-38252-S
游说	62-38300-S
游走	62-38375-S
游隼	62-38435-S
渺	39-7193-S
渺 渺	39-7193-B
渺子	39-7229-S
渺子 渺子	39-7229-B
渺小	39-7300-S
渺小 渺小	39-7300-B
渺无人烟	39-7372-S
渺無人煙 渺无人烟	39-7372-B
渺茫	39-7486-S
渺茫 渺茫	39-7486-B
渼	39-7567-S
渼 渼	39-7567-B
渾 浑	39-7604-B
渾儀註 浑仪注	39-7632-B
渾圓 浑圆	39-7717-B
渾天儀 浑天仪	39-7789-B
渾天說 浑天说	39-7871-B
渾水摸魚 浑水摸鱼	39-7964-B
渾汗如雨 浑汗如雨	39-8106-B
渾河 浑河	39-8178-B
渾源 浑源	39-8220-B
渾然 浑然	39-8284-B
渾茫 浑茫	39-8323-B
渾蛋 浑蛋	39-8428-B
渾身 浑身	39-8552-B
渾身上下 浑身上下	39-8613-B
湃	39-8702-S
湃 湃	39-8702-B
湄	39-8739-S
湄 湄	39-8739-B
湄公河	39-8772-S
湄公河 湄公河	39-8772-B
湄公河三角洲	39-8829-S
湄公河三角洲 湄公河三角洲	39-8829-B
湄洲岛	39-8927-S
湄洲島 湄洲岛	39-8927-B
湄潭	39-8979-S
湄潭 湄潭	39-8979-B
湅	39-9042-S
湅 湅	39-9042-B
湉	39-9079-S
湉 湉	39-9079-B
湉湉	39-9126-S
湉湉 湉湉	39-9126-B
湊 凑	39-9185-B
湊合 凑合	39-9254-B
湊巧 凑巧	39-9368-B
湊成 凑成	39-9440-B
湊手 凑手	39-9574-B
湊熱鬧 凑热闹	39-9651-B
湊齊 凑齐	39-9784-B
湋	39-9856-S
湋 湋	39-9856-B
湍	39-9902-S
湍 湍	39-9902-B
湍急	39-9944-S
湍急 湍急	39-9944-B
湍流	39-9999-S
湍流 湍流	39-9999-B
湎	39-10044-S
湎 湎	39-10044-B
湑	39-10073-S
湑 湑	39-10073-B
湓	39-10125-S
湓 湓	39-10125-B
湔	39-10180-S
湔 湔	39-10180-B
湖	39-10227-S
湖 湖	39-10227-B
湖光山色	39-10253-S
湖光山色 湖光山色	39-10253-B
湖內鄉 湖内乡	39-10387-B
湖内乡	39-10387-S
湖北	39-10462-S
湖北 湖北	39-10462-B
湖北省	39-10534-S
湖北省 湖北省	39-10534-B
湖北花楸	39-10619-S
湖北花楸 湖北花楸	39-10619-B
湖南	39-10725-S
湖南 湖南	39-10725-B
湖南大学	39-10795-S
湖南大學 湖南大学	39-10795-B
湖南省	39-10865-S
湖南省 湖南省	39-10865-B
湖口	39-10948-S
湖口 湖口	39-10948-B
湖口乡	39-11088-S
湖口县	39-11012-S
湖口縣 湖口县	39-11012-B
湖口鄉 湖口乡	39-11088-B
湖州	39-11163-S
湖州 湖州	39-11163-B
湖州市	39-11237-S
湖州市 湖州市	39-11237-B
湖广	39-11322-S
湖廣 湖广	39-11322-B
湖沼	39-11408-S
湖沼 湖沼	39-11408-B
湖沼学	39-11459-S
湖沼學 湖沼学	39-11459-B
湖泊	39-11513-S
湖泊 湖泊	39-11513-B
湖滨	39-11549-S
湖濱 湖滨	39-11549-B
湖畔	39-11592-S
湖畔 湖畔	39-11592-B
湖西乡	39-11633-S
湖西鄉 湖西乡	39-11633-B
湖边	39-11707-S
湖邊 湖边	39-11707-B
湘	39-11749-S
湘 湘	39-11749-B
湘东	39-11919-S
湘东区	39-12012-S
湘乡	39-12809-S
湘剧	39-11873-S
湘劇 湘剧	39-11873-B
湘東 湘东	39-11919-B
湘東區 湘东区	39-12012-B
湘桂运河	39-12115-S
湘桂運河 湘桂运河	39-12115-B
湘江	39-12190-S
湘江 湘江	39-12190-B
湘潭	39-12266-S
湘潭 湘潭	39-12266-B
湘潭地区	39-12341-S
湘潭地區 湘潭地区	39-12341-B
湘潭市	39-12438-S
湘潭市 湘潭市	39-12438-B
湘繡 湘绣	39-12524-B
湘绣	39-12524-S
湘菜	39-12576-S
湘菜 湘菜	39-12576-B
湘西土家族苗族自治州	39-12625-S
湘西土家族苗族自治州 湘西土家族苗族自治州	39-12625-B
湘鄉 湘乡	39-12809-B
湘阴	39-12877-S
湘陰 湘阴	39-12877-B
湘黔	39-12942-S
湘黔 湘黔	39-12942-B
湛	39-12992-S
湛 湛	39-12992-B
湛江	39-13047-S
湛江 湛江	39-13047-B
湛江地区	39-13117-S
湛江地區 湛江地区	39-13117-B
湛江市	39-13207-S
湛江市 湛江市	39-13207-B
湛江港	39-13264-S
湛江港 湛江港	39-13264-B
湜	39-13334-S
湜 湜	39-13334-B
湝	39-13373-S
湝 湝	39-13373-B
湞 浈	39-13414-B
湞江 浈江	39-13465-B
湞江區 浈江区	39-13547-B
湟	39-13639-S
湟 湟	39-13639-B
湟中	39-13679-S
湟中 湟中	39-13679-B
湟水	39-13750-S
湟水 湟水	39-13750-B
湟源	39-13802-S
湟源 湟源	39-13802-B
湢	39-13871-S
湢 湢	39-13871-B
湣	39-13909-S
湣 湣	39-13909-B
湧	39-13937-S
湧 湧	39-13937-B
湧現 涌现	39-13987-B
湩	39-14084-S
湩 湩	39-14084-B
湫	39-14114-S
湫 湫	39-14114-B
湮	39-14143-S,39-14184-S
湮 湮	39-14143-B,39-14184-B
湮滅 湮灭	39-14225-B
湮灭	39-14225-S
湯 汤	39-14271-B
湯力水 汤力水	39-14312-B
湯加 汤加	39-14369-B
湯加群島 汤加群岛	39-14409-B
湯加里羅 汤加里罗	39-14471-B
湯匙 汤匙	39-14536-B
湯原 汤原	39-14592-B
湯姆 汤姆	39-14664-B
湯姆・索亞歷險記 汤姆・索亚历险记	39-14708-B
湯姆孫 汤姆孙	39-14872-B
湯姆斯杯 汤姆斯杯	39-14943-B
湯普森 汤普森	39-15051-B
湯陰 汤阴	39-15111-B
湯類 汤类	39-15174-B
湯顯祖 汤显祖	39-15230-B
湱	39-15299-S
湱 湱	39-15299-B
湲	39-15338-S
湲 湲	39-15338-B
湼	39-15377-S
湼 湼	39-15377-B
湼白 涅白	39-15414-B
湾	40-18902-S
湾仔	40-18933-S
湾里	40-18995-S
湾里区	40-19069-S
湿	40-8229-S
湿地	40-8261-S
湿婆	40-8301-S
湿度	40-8353-S
湿气	40-8400-S
湿润	40-8488-S
湿润剂	40-8527-S
湿渌渌	40-8441-S
湿疣	40-8594-S
湿疹	40-8689-S
湿衣	40-8730-S
湿黏	40-8770-S
満	39-15460-S
満 満	39-15460-B
溃	39-63995-S
溃不成军	39-64041-S
溃兵	39-64114-S
溃军	39-64490-S
溃决	39-64327-S
溃敌	39-64282-S
溃烂	39-64383-S
溃疡	39-64438-S
溃败	39-64195-S
溃逃	39-64537-S
溅	40-11949-S
溅射	40-11979-S
溅开	40-12024-S
溆	39-55136-S
溆浦	39-55173-S
溈 沩	39-15510-B
溉	39-15558-S
溉 溉	39-15558-B
溍	39-15589-S
溍 溍	39-15589-B
溎	39-15633-S
溎 溎	39-15633-B
溏	39-15671-S
溏 溏	39-15671-B
源	39-15714-S
源 源	39-15714-B
源代码	39-15756-S
源代碼 源代码	39-15756-B
源器官	39-15812-S
源器官 源器官	39-15812-B
源头	39-16322-S
源泉	39-15870-S
源泉 源泉	39-15870-B
源流	39-15955-S
源流 源流	39-15955-B
源源不断	39-16000-S
源源不斷 源源不断	39-16000-B
源点	39-16363-S
源点地址	39-16405-S
源远流长	39-16104-S
源遠流長 源远流长	39-16104-B
源頭 源头	39-16322-B
源點 源点	39-16363-B
源點地址 源点地址	39-16405-B
準 准	39-16476-B
準備 准备	39-16517-B
準備好了 准备好了	39-16571-B
準則 准则	39-16637-B
準噶爾 准噶尔	39-16694-B
準噶爾翼龍 准噶尔翼龙	39-16745-B
準將 准将	39-16846-B
準時 准时	39-16916-B
準格爾旗 准格尔旗	39-16979-B
準格爾盆地 准格尔盆地	39-17075-B
準確 准确	39-17222-B
準確性 准确性	39-17279-B
準穩旋渦結構 准稳旋涡结构	39-17334-B
準葛爾盆地 准葛尔盆地	39-17466-B
溘	39-17609-S
溘 溘	39-17609-B
溛	39-17639-S
溛 溛	39-17639-B
溜	39-17679-S
溜 溜	39-17679-B
溜冰	39-17720-S
溜冰 溜冰	39-17720-B
溜冰场	39-17786-S
溜冰場 溜冰场	39-17786-B
溜冰鞋	39-17855-S
溜冰鞋 溜冰鞋	39-17855-B
溜槽	39-17906-S
溜槽 溜槽	39-17906-B
溜走	39-17952-S
溜走 溜走	39-17952-B
溜边	39-18048-S
溜边儿	39-18111-S
溜达	39-17990-S
溜達 溜达	39-17990-B
溜邊 溜边	39-18048-B
溜邊兒 溜边儿	39-18111-B
溝 沟	39-18183-B
溝壑 沟壑	39-18218-B
溝渠 沟渠	39-18280-B
溝谷 沟谷	39-18342-B
溝通 沟通	39-18381-B
溝道 沟道	39-18427-B
溟	39-18467-S
溟 溟	39-18467-B
溠	39-18502-S
溠 溠	39-18502-B
溢	39-18540-S
溢 溢	39-18540-B
溢出	39-18570-S
溢出 溢出	39-18570-B
溢满	39-18611-S
溢滿 溢满	39-18611-B
溤	39-18655-S
溤 溤	39-18655-B
溥	39-18692-S
溥 溥	39-18692-B
溥仪	39-18733-S
溥儀 溥仪	39-18733-B
溥儁	39-18770-S
溥儁 溥儁	39-18770-B
溦	39-18893-S
溦 溦	39-18893-B
溧	39-18933-S
溧 溧	39-18933-B
溧水	39-18970-S
溧水 溧水	39-18970-B
溧阳	39-19033-S
溧陽 溧阳	39-19033-B
溪	59-15718-S
溪口乡	39-19095-S
溪口鄉 溪口乡	39-19095-B
溪壑	59-15745-S
溪州乡	39-19171-S
溪州鄉 溪州乡	39-19171-B
溪径	59-15798-S
溪流	39-19249-S
溪流 溪流	39-19249-B
溪涧	59-16024-S
溪湖	59-15856-S
溪湖区	59-15935-S
溪湖鎮 溪湖镇	39-19288-B
溪湖镇	39-19288-S
溪蟹	59-16079-S
溪谷	59-16128-S
溪黄草	59-16172-S
溫 温	39-19358-B
溫佈爾登 温布尔登	39-19416-B
溫厚 温厚	39-19541-B
溫和 温和	39-19612-B
溫和性 温和性	39-19666-B
溫和派 温和派	39-19721-B
溫哥華 温哥华	39-19781-B
溫哥華島 温哥华岛	39-19851-B
溫壓 温压	39-19922-B
溫存 温存	39-19979-B
溫室 温室	39-20055-B
溫室廢氣儲存 温室废气储存	39-20099-B
溫室效應 温室效应	39-20204-B
溫室氣體 温室气体	39-20279-B
溫家寶 温家宝	39-20347-B
溫宿 温宿	39-20410-B
溫宿縣 温宿县	39-20467-B
溫尼伯 温尼伯	39-20536-B
溫嶺 温岭	39-20587-B
溫州 温州	39-20652-B
溫州市 温州市	39-20728-B
溫差 温差	39-20815-B
溫布爾登 温布尔登	39-20874-B
溫布爾登網球公開賽 温布尔登网球公开赛	39-20953-B
溫布爾頓 温布尔顿	39-21099-B
溫帶 温带	39-21162-B
溫床 温床	39-21210-B
溫度 温度	39-21313-B
溫度梯度 温度梯度	39-21357-B
溫度表 温度表	39-21430-B
溫度計 温度计	39-21486-B
溫得和克 温得和克	39-21552-B
溫情脈脈 温情脉脉	39-21634-B
溫故知新 温故知新	39-21725-B
溫故而知新 温故而知新	39-21826-B
溫斯頓 温斯顿	39-21937-B
溫暖 温暖	39-21995-B
溫柔 温柔	39-22034-B
溫標 温标	39-22090-B
溫江 温江	39-22142-B
溫江地區 温江地区	39-22209-B
溫泉 温泉	39-22308-B,39-22475-B
溫泉城 温泉城	39-22542-B
溫泉縣 温泉县	39-22601-B
溫煦 温煦	39-22780-B
溫熱 温热	39-22817-B
