and broad view	44-25630-S,70-18635-S
and han 漢 汉	70-55688-S
and hand over payment	8-43766-S
and happenings	16-12860-S
and happiness	19-29948-S,19-60177-S,47-2244-S
and happiness do not follow rules 成语 saw	47-2422-S
and happy	13-23532-S,24-31807-S,41-42546-S
and harass	5-27394-S,47-58854-S
and hard march	60-33436-S
and hard times	12-50029-S
and hard to believe	41-63504-S
and hard working	25-34143-S
and hardships	43-14967-S,68-58137-S
and hardware	61-3310-S
and harm the country 成语 saw	44-11346-S,44-11457-S
and harmonious	58-45761-S
and has a taste for their food	50-55817-S
and hate	25-35056-S
and have great respect for it	58-62485-S
and have immediate success	31-3858-S
and haw 成语 saw	12-64891-S
and hazy	55-4017-S
and he ll tell all his friends	27-33444-S,27-34604-S,27-34788-S
and he understands everything	51-56550-S
and head over heels in love	46-62766-S
and heal	23-50902-S
and healthy	23-2102-S,23-2660-S,45-4732-S,46-2077-S
and hearing	51-64647-S
and hears	57-30720-S
and heart warming	41-42078-S
and heartfelt words 成语 saw	58-27901-S
and heat	46-23846-S
and heilongjiang	62-53930-S
and help	40-8999-S
and her arab neighbors	7-67631-S,60-4870-S
and her possessions	4-16429-S
and heroic	45-5482-S
and herzegovina	55-24468-S
and hidden in depth or distance	22-55244-S
and hide behind florid rhetoric	42-39217-S
and high minded 成语 saw	38-65996-S
and high prices	9-30402-S
and high school students	17-4461-S
and hinduism	54-31156-S
and his disciples	19-2811-S
and his family	44-9642-S
and his sons cao pi 曹丕 and cao zhi 曹植	1-35616-S
and his teaching	20-43253-S
and historical cultural center in mali	23-19847-S,62-6917-S
and history	30-26676-S
and hokkaido	10-48863-S,10-49057-S,23-204-S
and hold on	28-27616-S
and holy	51-48380-S
and holy man	51-51626-S
and homeless	19-63585-S,68-61660-S
and homeless 成语 saw	38-7364-S
and honest	14-3867-S,23-5283-S,25-56873-S,38-52378-S,38-65837-S,46-36805-S,47-41745-S,49-20501-S,56-31004-S
and honest in one s actions 成语 saw	45-21189-S
and honest 成语 saw	39-57461-S
and honey	48-46852-S
and honeyed words 成语 saw	43-17594-S
and hong kong	2-75756-S,13-52098-S,37-36270-S,38-50737-S
and hong kong usage	7-39069-S
and honor	20-8239-S
and honorable	7-9777-S,35-35031-S
and honors	19-42163-S,20-8288-S
and hook	64-19735-S
and horizontal	50-29181-S
and horse carts	69-55546-S
and horse track	56-355-S
and horse 成语 saw	14-19073-S
and horses	8-3027-S,41-49617-S,60-60715-S
and horses e g on parade	4-18786-S
and horses used in battle	23-64756-S
and horses 成语 saw	10-50654-S
and hot coals	8-18928-S
and hot headed	71-3703-S
and humiliate	35-23347-S
and humiliate the country 成语 saw	14-12644-S
and hunan	50-62785-S,54-46207-S,58-48411-S
and hunan provinces a ming dynasty province	39-11322-S
and hunan 湖南 provinces	2-46388-S
and hungry	14-10473-S,47-57780-S
and hungry look resulting from vegetarian diet	54-30065-S
and hunting	39-42533-S
and hyperactivity disorder adhd	16-54574-S
and hypochondrium	52-25452-S
and hypocritical	55-54253-S
and i cheat you 成语 saw	41-43222-S
and i regret it is not sooner	58-63301-S
and ideas	21-42451-S
and ideas also derog 	8-45152-S
and idle	40-55088-S
and ignorant	47-64774-S
and ignorant person	18-32547-S
and ignorant 成语 saw	25-31755-S
and ill informed	25-32258-S
and illness 成语 saw	16-57574-S
and immature	47-30582-S
and immortals	46-61494-S
and impart	6-38918-S
and impetuous	54-27583-S
and important moment 成语 saw	50-15362-S
and impossible to predict	38-48264-S
and impractical	61-43101-S,61-43658-S,61-44182-S
and impractical opinion	61-44049-S
and impressive event sound	17-5350-S
and improve	30-15314-S
and impulsive person	10-55471-S
and in a mess 成语 saw	67-3692-S
and in addition to	60-37298-B
and in astronautics	15-24874-S
and in disorder	1-28985-S
and in full detail	1-1470-S
and in good order 成语 saw	3-56796-S
and in pieces 成语 saw	14-46630-S
and in rout	39-64537-S
and in subsequent writing	31-9875-S
and inarticulate 成语 saw	32-54870-S
and incidents	47-50793-S
and income	8-35281-S
and incompetent	2-4492-S,23-3934-S
and incomprehensible	13-44656-S,27-40010-S
and inconstant	51-23712-S
and independence	49-52480-S
and india	57-14686-S
and indian sikkim	3-8824-S,3-8938-S
and indifferent	25-36552-S
and indignation	25-10116-S
and indirect	18-52857-S
and indistinct	39-7486-S
and indomitable 成语 saw	16-5950-S
and indonesia	65-44538-S
and industrious	10-9389-S
and inequitable	5-57439-S
and inexperienced	19-13786-S
and inexperienced person without practical experience	44-48045-S
and influence	18-45467-S
and influential	51-57506-S
and informed	11-6334-S
and injure	35-66756-S
and injured	35-56770-S
and injustice	37-52753-S
and ink	48-14707-S
and inner ear	11-25314-S
and inner mongolia in north china	43-14742-S,43-14848-S
and inner thoughts	56-46148-S
and inquire at the base 成语 saw	9-5303-S,20-45227-S,45-11228-S,58-12152-S,61-58233-S
and insect pests	44-12390-S
and insight	26-38686-S
and inspector general 巡抚	45-56298-S
and inspire	25-39828-S,25-42879-S
and inspired	25-40522-S
and install	49-39203-S
and institutions	37-29453-S
and instruct	10-11106-S
and insult	5-26078-S,38-46626-S
and insults	38-46626-S
and integrals 積 积	24-20249-S
and integration	24-20249-S
and integrity	4-41706-S,4-44001-S
and interesting item	42-43810-S
and interests	25-15811-S
and interior	56-46148-S
and interment	35-64697-S
and internal spirit	23-55133-S
and international	15-2016-S
and internet slang	35-25284-S
and interpret ancient texts	63-53787-S
and interpret 成语 saw	32-46090-S
and intertwined joints 成语 saw	45-11370-S
and intestine	52-44483-S
and introduce modern prefectures refers to reorganization during meiji japan	23-9654-S
and investigate	6-21041-S,46-14989-S
and investment company	2-56464-S
and inviting trouble	27-44403-S
and irascible temperament	70-24323-S
and iron	65-5066-S
and islamic mythology	35-58882-S
and islamic version of abraham 亞伯拉罕 亚伯拉罕	31-27342-S
and issue officially	48-40576-S
and it becomes spring 成语 saw	54-54426-S
and it cannot be sold	63-40807-S
and it seems inevitable	51-18512-S
and its crow 成语 saw	25-33806-S,25-33955-S
and jade	64-12766-S
and jade as ordinary stone 成语 saw	71-47254-S
and jade in glorious splendor 成语 saw	64-13284-S
and jade trees 成语 saw	53-51540-S
and jade 成语 saw	42-45855-S
and jades	42-45428-S
and japan	5-27833-S,31-5164-S,68-12431-S
and japanese	71-28686-S
and jealous	44-4258-S
and jealous of	42-12489-S
and jealousy	71-30083-S
and jeers	5-56104-S
and jiangsu vernacular	38-15161-S
and jiaqing era 1735 1820	3-24073-S
and jin dynasties	63-5675-S
and jin philosophical school amalgamating daoist and confucian ideals	42-27474-S
and jin 玄學 玄学 sect	42-28122-S
and jing 265 420 dynasties	70-34881-S
and jingpo autonomous prefecture	24-25104-S
and jingpo autonomous prefecture in west yunnan surrounded on three sides by myanmar burma	24-25204-S
and joints	48-19757-S
and joy	17-43953-S,25-9356-S
and judge the situation	20-21272-S
and juliet	50-57044-S
and juniors	20-42550-S
and jupiter	21-386-S
and justice	62-51708-S
and katakana 片假名	6-6914-S
and kazakhstan	36-56977-S
and keep out of trouble	39-57461-S
and kfc	44-51731-S,44-51840-S
and kick 成语 saw	27-49482-S
and kicking	27-49992-S
and kill	61-58788-S
and kill an animal or fish	28-5125-S
and kill sb for his property 成语 saw	58-51814-S
and kill the enemy	1-57023-S,56-39852-S
and kin	57-39487-S
and kind	39-23096-S
and kings	3-14932-S
and knead to a pulp	28-34613-S
and knives	34-1309-S,34-1417-S
and know	24-8684-S
and know how to use it	28-14025-S
and know oneself 成语 saw	45-63445-S
and know ten 成语 saw	51-56550-S
and know the new 成语 saw	39-21725-S,39-21826-S
and knowledge buddh 	17-20438-S,18-35812-S
and knowledgeable	11-8882-S,11-9608-S,51-28466-S
and korea esp north korea	31-8195-S
and kowloon e g railway	23-10270-S
and kowloon railway	23-10342-S
and kowtow nine times formal etiquette on meeting the emperor	1-42832-S
and kowtow to one another	3-68646-S
and labrador	49-19731-S
and lakes	36-59731-S
and land	38-25940-S
and land hotpot jiangsu speciality	38-26019-S
and landing	60-17873-S,60-18919-S
and landing aircraft	15-55205-S,15-55525-S,46-453-S
and landing gear	60-18095-S
and landing strip	60-17957-S
and language	58-25663-S
and languages	62-55036-S
and lanterns	40-21979-S
and laozi	54-21853-S
and large mansions	70-16505-S
and lasting importance	44-53315-S
and later zhao 後趙 319 350 of the sixteen kingdoms	60-29277-S
and latitude	49-62110-S
and laugh as though nothing had happened	58-41653-S
and laughing	48-5268-S
and law	2-58572-S,29-57168-S
and leaf	33-38423-S
and leakage	56-58698-S,56-60108-S
and learn from one s subordinates	2-9764-S
and learning	6-38918-S,13-33678-S,22-26686-S,26-37565-S,45-42521-S
and learning of an individual	13-33582-S
and leave abruptly	27-18423-S,28-45562-S
and leave first	24-2448-S
and leave late	31-13142-S
and leave 成语 saw	28-45562-S
and leaves	67-58057-S
and leaving	11-37681-S
and leaving a country	62-29078-S
and lecher	37-6297-S
and leg irons	64-59257-S
and legend	1-38373-S
and leisure	65-45838-S
and lenin	69-34078-S
and lesser ape family	65-18858-S
and let it dry by itself	13-57103-S
and level	15-53402-S
and level tone	66-24047-S,66-24101-S
and levies	28-4187-S
and lie flat	5-55241-S
and lie on his skin 成语 saw	69-3430-S
and lie on it	53-796-S
and lifelike	33-54179-S
and lightning	8-67447-S,67-24347-S,67-24403-S,67-24502-S
and limb	8-42238-S
and lined coat or robe	57-10445-S
and liquids	43-12078-S
and listed in the hong kong stock exchange	49-11934-S
and listen attentively	27-47689-S
and listless 成语 saw	54-42277-S
and literature	49-64030-S
and literature teacher	58-25719-S
and live apart	8-51409-S
and live with the bride s family inverting traditional chinese expectations	5-57530-S
and livelihood	31-7491-S
and lively narrative	38-61576-S
and livestock	47-10500-S
and locked up by riches 成语 saw	12-59425-S
and logical	68-40451-S
and lonely	8-24845-S
and long as the river 成语 saw	21-33595-S
and long lasting	38-51818-S
and long suffering	9-15402-S
and look around 成语 saw	28-24430-S
and loop handle	41-40783-S
and loose cloth	50-39668-S
and loss	28-52669-S,45-2272-S
and losses	24-7387-S
and losses of organization	45-2340-S,53-14422-S
and lost	30-6877-S
and loud voice	52-28918-S
and love	30-11513-S
and love one another 成语 saw	45-31023-S
and love the people	20-44160-S
and low	10-62065-S,10-62279-S,26-59976-S
and low of sound	4-68278-S
and low water	70-11597-S
and lower case letters	17-15975-S
and lower of chariot	61-8365-S
and lower regions of the yellow river	2-51979-S
and lowering	26-66735-S,31-19897-S
and lowly	1-61322-S,59-36775-S,59-43758-S
and luckily escape	22-51071-S
and lush	55-13014-S
and lush 成语 saw	70-30705-S
and lust	69-3732-S
and lust are only natural mencius 6a 4 	69-3795-S
and luxuriant	55-4198-S
and luxurious surroundings	9-41574-S
and macao area	39-6185-S
and macao 澳門 澳门	39-6111-S
and magnesium layer in earth s crust	46-12166-S
and magnificent	8-22755-S
and magnificent houses 成语 saw	51-9234-S
and mainland	7-44313-S,43-7744-S
and maintain	50-1124-S
and maintain faith buddh 	11-61610-S
and maintenance	49-61138-S
and majestic	20-8739-S
and majestic of physical object such as trees	52-3607-S
and make a clean sweep	47-16151-S
and make a scene	52-23099-S
and make clear	69-58519-S
and make glossaries and commentaries on classic texts	57-64837-S
and make matters worse	40-19642-S,40-19806-S
and make sacrifices	69-17838-S
and make sb run off	26-49201-S
and make use of ability mencius	20-44051-S
and malaysia 馬來西亞 马来西亚	30-58256-S
and malefactors 成语 saw	70-34229-S
and malicious	7-2273-S,8-31127-S
and man made disasters 成语 saw	17-50130-S
and management	10-6064-S
and mandible	68-35595-S
and manner	1-68625-S
and many monks	48-51328-S
and mao s purges 1955 57	52-2900-S,52-3086-S,52-3407-S
and marketing	5-23367-S,19-16436-S,43-33260-S,49-53827-S
and marriage	18-53848-S
and marrow	46-62574-S
and marshes	39-11408-S
and martial arts school	21-4505-S
and martins	41-29083-S
and martyr	23-39544-S
and master of none	11-9212-S
and material evidence	4-16333-S
and materials	41-54707-S
and mathematical statistics	34-37730-S
and mathematician	23-41681-S
and me	31-28660-S
and meager abilities 成语 saw	24-28215-S
and meals	23-8532-S,23-8657-S
and meaning	68-15331-S
and meanings	16-64932-S
and measure	39-4385-S
and measures	56-41267-S
and meat roll up	39-62159-S
and meddle	16-55268-S
and meddle in other people s affairs	60-25771-S
and mediocre 成语 saw	22-43165-S
and medium enterprise	2-69316-S
and meet it	25-59815-S
and men	19-40631-S
and mencius	19-2911-S,19-2968-S
and mend	50-27298-S
and mend clothes for a pittance	50-26784-S
and mending	50-27081-S
and merge	56-53052-S
and miao autonomous prefecture in guizhou	71-34703-S,71-35417-S
and miao autonomous prefecture in hubei	25-2443-S
and miao autonomous prefecture in northwest hunan	39-12625-S
and miao autonomous prefecture 湘西土家族苗族自治州	12-42134-S,12-42306-S
and miao autonomous prefecture 黔南布依族苗族自治州	51-16589-S
and mid autumn festival on lunar 15th august	53-56819-S
and mighty of mountain	21-49439-S
and mighty of river or ocean	38-11247-S
and mild laxative	21-30590-S
and military	30-28912-S
and military officials	30-28963-S
and military technology 成语 saw	30-29047-S
and millions	6-54784-S
and millipedes	16-63734-S,16-63823-S
and mince his flesh and bones archaic form of retribution	54-38528-S
and mind	19-31466-S,24-39284-S,24-39647-S,41-54961-S
and mines	23-7984-S
and ming times	28-40867-S
and minima	34-34146-S
and minor third musical interval	17-15793-S
and mints	49-29881-S
and minutes	64-59606-S
and miquelon	51-48927-S
and mischievous	58-15062-S,68-31269-S
and miserable	38-7236-S
and miserable 成语 saw	68-46305-S
and misfortunes are unpredictable	47-2422-S
and mispronounced character	44-38335-S
and mist	67-19312-S
and mist of blossom 成语 saw	33-50232-S
and mitsubishi	42-62517-S,42-62631-S
and mockery	58-53186-S,58-53234-S
and modern	12-264-S
and modest	58-53643-S
and monastery in central tibet	34-7087-S
and money	41-40463-S
and mongolia	17-46517-S,66-8411-S
and mongolian sounds	14-37580-S
and monkeys	42-15517-S
and monopolize many things	8-6484-S
and monsters	7-2653-S
and month	31-7491-S
and months slip away	31-7939-S
and mood	25-15744-S
and moody 成语 saw	16-57460-S
and moon	31-7491-S
and moon lake e g dalian	31-7865-S
and moon like a shuttle 成语 saw	31-7665-S
and moon shine once more	31-8055-S
and morals	22-31837-S
and more	10-42491-S,31-10767-S,45-2669-S,60-25543-S,60-25702-S
and more emerge 成语 saw	21-24845-S
and more magnesium	71-5812-S
and more with each passing day	31-10767-S
and most mammals	52-24971-S,68-41052-S
and mother	41-41156-S
and moths 蛾類 蛾类	70-48158-S,70-48289-S
and mountain landscape	39-10253-S
and mountain 成语 saw	39-10253-S
and mountains are easy to change	36-58907-S,36-59048-S
and mountaints	36-58831-S
and mouth as one 成语 saw	24-31251-S
and mouth disease	26-36293-S
and mouth disease fmd	11-70092-S
and movement	10-1986-S,53-32285-S
and movies	23-59867-S
and moxibustion	64-18969-S,64-18969-S
and mt hua 華山 华山	37-48351-S
and multi talented 成语 saw	11-7134-S
and multicolored	7-9305-S
and muscles	48-19862-S
and nail	27-52050-S
and nanjing	39-31369-S
and nanjing railway	39-31490-S
and narrow minded	15-50753-S,19-13786-S
and nature reserves	17-24300-S
and navy	38-25940-S
and navy base in the tokyo bay	35-10501-S
and navy in qing times	36-47535-S
and near	14-53941-S,62-63388-S
and neatly done	21-55361-S
and nebulae	31-32109-S
and neck	2-48124-S,30-36300-S,62-25879-S
and needles	64-18868-S,71-14122-S
and needles in muscle	26-22179-S
and neglect the important	61-13058-S
and neglect the main point	61-12846-S
and neglect the military	63-59624-S
and neutron	63-57602-S
and never tire of it 成语 saw	34-49355-S
and nevis	22-6688-S,51-45439-S
and new	1-45369-S
and new by feng menglong 馮夢龍 冯梦龙	12-328-S
and new dynastic government	49-5886-S
and new experiences and sorrows	54-12564-S
and new zealand	40-3648-S
and new zealand army corps anzac	40-3648-S
and new zealand the day 25 april commemorating the anzac landing at gallipoli in 1915	40-3302-S
and nice	18-44520-S
and night	16-52294-S,31-6607-S,31-46061-S,32-47701-S,37-9689-S,65-15099-S,70-33373-S
and night to toil	11-11411-S
and nimble	46-2595-S
and ningxia during the 1930s and 1940s	69-35882-S
and no blades	65-1161-S
and no food left 成语 saw	23-49491-S
and no hope of reinforcements 成语 saw	23-49352-S
and nobel laureate	22-6078-S
and nobody stirs	32-8741-S
and nominate	4-42705-S
and nonplussed	69-63515-S
and north korea	51-7128-S
and north of ancient china	17-69044-S
and north poles	10-67643-S
and northeast beijing	32-49150-S,32-49366-S
and northwest yunnan	24-52825-S
and nose	11-70707-S
and not bear recriminations 成语 saw	31-4488-S
and not developed	55-42757-S
and not enough meat	42-9744-S
and not hide it 成语 saw	27-54456-S
and not listen 成语 saw	7-118-S
and not much use at anything song writer ouyang xiu 欧阳修	24-28215-S
and notes	48-16567-S
and nothing more	6-49869-S
and now	12-264-S,35-41580-S
and numb of limbs	63-42652-S
and numerous	20-4004-S
and nurses	63-50705-S,63-50781-S
and nurture in the dark 成语 saw	68-13305-S
and nurture the character 成语 saw	5-47670-S
and nuts	33-36437-S
and obedient	5-50462-S,39-23446-S,44-50540-S
and obey	5-44150-S,52-426-S
and oblique tones technical term for classical chinese rhythmic poetry	22-37286-S
and obscure	54-9495-S
and observe	11-40351-S
and observe the law	18-2978-S
and obsolete product	61-62234-S
and obstetrics	18-54868-S
and obstreperous	68-31269-S
and obstructing evil	66-14802-S
and obtain	36-53974-S
and occupy	29-47230-S
and occupy territory	5-26809-S
and oceans	63-61476-S
and odd	30-46490-S,42-43531-S
and off	13-44550-S,31-40596-S
and offend morals	42-38061-S
and offend others	53-16747-S
and offend people	25-26903-S
and offensive talk or manner	14-12480-S
and okinawa administered by japan	64-19918-S
and old age	2-78833-S
and omega	3-61703-S
and omnipotent	7-40236-S
and on	30-59124-S,50-44480-S
and on edge	28-39022-S
and on without stopping	12-7520-S
and one horn down	57-53712-S
and one living room	1-9037-S
and one nights	1-3691-S
and one ways	44-56270-S
and one weak beats in a measure of music two beats in the bar 成语 saw	1-11646-S
and one wing	70-59178-S
and only then	30-63840-S
and only way	1-66512-S
and only 成语 saw	49-47105-S
and open	52-24706-S,59-16637-S
and open minded	65-41782-S,65-42002-S
and open to the outside world	29-46898-S
and open 成语 saw	65-42222-S
and opening up of frozen river in spring	65-38271-S
and openly between ourselves	65-41782-S,65-42002-S
and orchid	53-51283-S
and orchids 成语 saw	53-51398-S
and order	37-24449-S,37-32655-S
and orderly	19-26602-S
and orderly 成语 saw	3-56157-S,32-35058-S
and organization	29-29989-S
and organize papers etc	23-52911-S
and oriental shipping company	10-57103-S
and original	30-53202-S,34-52931-S
and original work	46-9262-S
and ornaments	56-42968-S
and orphaned	19-63585-S
and other authors	48-17202-S
and other islands under japanese administration	42-57362-S
and other southern languages	3-20412-S
and out	2-11817-S,24-29757-S,44-51209-S,57-1607-S,57-1806-S,57-2273-S
and output	15-10466-S
and outs	18-38658-S,32-64546-S
and outside	7-27569-S
and outspoken	9-28584-S,24-35759-S,24-35876-S,34-13567-S
and over	11-47981-S,68-46118-S
and over again	1-38143-S,8-8188-S,22-57903-S,27-11145-S
and over elaborate document	50-37370-S
and over of billows or clouds	51-22221-S
and overturn the state	6-47257-S
and oxford	41-47786-S
and oxford 牛津 universities	9-44190-S
and p for aspirated pinyin p etc	18-47519-S
and pacific affairs	37-55999-S
and packing fee	63-38863-S
and pagodas	23-7253-S
and paid for business term	7-47929-S
and painful	63-45433-S
and painstaking	9-14574-S,10-9657-S
and painter	32-11556-S
and painting	19-5790-S
and pakistan	11-18615-S
and palid	25-56192-S
and pander to overseas powers 成语 saw	21-42451-S
and panicking	69-61280-S
and papers	11-26776-S,65-9381-S
and papers 成语 saw	16-6308-S
and paradoxical	23-27253-S
and park	54-21368-S
and part	51-54494-S
and partly in cash	10-14843-S
and pass on	6-36363-S,6-42609-S
and pass verdict	20-22192-S
and password on a website	62-12819-S
and patient	25-49293-S
and pay me a little more	70-15112-S
and peace by tolstoy 托爾斯泰 托尔斯泰	26-19235-S
and peacock make no sound	70-53951-S
and peasants	21-57389-S
and penetrating e g analysis	48-58784-S
and penetrating 成语 saw	70-6328-S
and perilous path	11-22734-S
and perils	53-44013-S
and periodicals	16-8971-S
and perplexed	25-26486-S
and persecute	59-13225-S
and persistent	15-52204-S
and personality	41-42397-S
and perspicacious 成语 saw	11-10253-S
and persuades his senior army commanders to go home to their provinces	33-13968-S
and phrase by phrase	62-2139-S
and physical culture commission	15-8103-S
and piece	1-26568-S
and pieces	1-23039-S,1-28895-S,49-31933-S,67-21884-S
and pieces for go 圍棋 围棋 or chinese chess 象棋 etc	34-19699-S
and pieces left over	63-12993-S
and pieces of industrial	63-13072-S
and pieces 成语 saw	67-20251-S,67-20412-S
and pinion	71-55114-S,71-55256-S
and pinion jack	71-55166-S
and pith inside growing wood	63-12109-S
and pity the fate of mankind	25-9626-S
and place name narita	26-10818-S
and place name oukubo	17-4630-S
and plain speaking 成语 saw	45-21415-S
and plain spoken 成语 saw	9-28374-S
and plan forward	46-13406-S
and planning committee	15-6417-S
and plants	28-5049-S,53-54605-S,53-60245-S
and play	11-24579-S
and play plucked string instrument	23-47491-S
and playing	18-60891-S
and pleasant company	53-51398-S
and pleasure	62-33445-S
and pleasure seeking	41-25531-S
and plentiful	38-10297-S
and plenty sim utopia	2-38163-S,2-38318-S,34-3116-S,34-3498-S
and pointed	21-5902-S
and poised	66-61792-B
and politically marginalized	23-36508-S
and ponder over one s mistakes	65-28666-S
and poor	54-18185-S,59-35536-S
and poor rhetoric 成语 saw	42-54230-S
and poor s financial index s p	34-54379-S
and popular song of 1943	15-28946-S
and porcelain	66-31578-S
and pornographic film	36-14734-S
and port on north of hangzhou bay 杭州灣 杭州湾 in zhejiang	3-11262-S,3-11371-S
and portable	61-9671-S
and position	29-66584-S,44-34582-S
and postscript	22-59722-S,68-43374-S
and power generating equipment	32-70285-S
and powerful	9-66498-S,18-31576-S,18-31734-S,18-48225-S,20-7309-S,23-44806-S,27-13572-S,29-32105-S,38-11247-S
and powerful army	8-1381-S
and powerful by literary hack work etc	22-36210-S
and powerful generals 成语 saw	58-51543-S,58-51653-S
and powerful of story	37-40143-S
and powerful 成语 saw	17-3593-S
and practical	47-42693-S
and precision	48-53267-S,48-58875-S
and prefecture in guizhou	43-55200-S,64-29885-S
and prefecture in ningxia	14-64183-S
and prefecture in the west of xinjiang near kyrghizstan	14-813-S
and prefecture in zhejiang	36-49570-S
and prejudice	6-32733-S
and prepare	48-42391-S,48-42950-S
and present	4-22812-S,11-6334-S
and present poenies 成语 saw	28-22108-S
and preserve	50-61764-S
and preserve the outworn	27-13396-S
and president since 2004	11-13673-S
and press home the attack	3-12870-S
and pressure	34-54533-S,34-54642-S,39-19922-S
and prestige	24-29131-S,35-18672-S,59-51528-S
and pretty	38-64117-S
and principe	51-45771-S
