dalian	31-7865-S
death	1-43677-S,2-27717-S,4-2097-S,4-11553-S,6-8709-S,6-30776-S,6-44391-S,8-27217-S,8-30827-S,8-34386-S,9-2829-S,10-52209-S,13-31869-S,13-31869-S,14-11480-S,15-54583-S,16-7103-S,18-52662-S,18-52761-S,18-52930-S,19-7317-S,19-59314-S,19-59314-S,20-35575-S,20-59616-S,20-59616-S,24-61541-S,25-9744-S,26-46076-S,26-59773-S,29-19735-S,30-25214-S,31-13092-S,31-14522-S,31-15739-S,35-56293-B,35-56689-S,35-56967-S,35-57059-S,35-57214-S,35-57504-S,35-57708-S,35-57993-S,35-58558-S,35-59458-S,35-64096-S,36-48934-S,36-52367-S,36-52609-S,37-24718-S,40-14540-S,40-50255-S,41-10242-S,41-26648-S,43-21406-S,43-21503-S,43-21551-S,43-23006-S,44-55141-S,47-44442-B,49-35454-S,49-44117-S,52-40057-S,52-56312-S,52-58764-S,52-58825-S,55-5582-S,55-5802-S,55-28626-S,55-50087-S,57-25256-S,57-26289-S,57-26464-S,58-18107-S,58-18281-S,58-23409-S,62-34248-S,62-46209-S,65-18281-S,67-63891-S
death and rebirth buddh 	61-15889-S
death by hanging	12-43656-B
death by recklessness	5-7699-S
death cannot wipe out the crimes 成语 saw	35-57830-B
death cf irish banshee	14-13628-S,14-13737-S
death do us part	44-48302-S,44-48490-S
death etc	69-58223-S
death i e confucian ban on widow remarrying	24-9982-S
death note japanese デスノート	35-56487-B
death of a budding talent	55-45303-S
death of a prince	55-22883-B
death of emperor	23-7306-S
death of historical figure	43-18778-S
death of jewish and islamic mythology	35-58882-S
death of king or emperor	21-44992-B,69-49194-B
death of the prophet mohammed 穆罕默德 in 632	13-40703-S
death or casualties	8-30723-S
death penalty	35-56920-B
death personified	35-58882-B
death roll	35-56339-B
death s door	13-19952-S,52-58764-S
death sentence	29-43661-S
death struggle	27-52196-S
death 成语 saw	35-56175-S,35-57708-S,49-44177-S,49-44313-S
deathbed	52-56312-S
deathly ill	11-23127-B
deathly pale	25-48158-B
deathly white	41-4940-B
deaths	6-43379-S
deaths and still alive 成语 saw	3-19538-S
debao place in guangxi	24-24028-S
debase by mixing with fake material	29-33095-S
debased	23-3568-B
debasement	23-3689-B
debate	5-30539-B,13-29469-B,41-39531-S,41-39531-B,58-44194-S,61-37246-B,61-37867-S,61-38176-S,61-38229-S,61-38283-B,61-38651-S,61-39020-S
debated	28-40037-S
debauchery	41-25531-S,50-29647-S
debility	70-6716-B
debit and credit items on a balance sheet	6-1407-B
debit card	6-1166-B,28-40299-S,61-28481-S
debit side of a balance sheet	4-27437-B,5-64154-B,6-165-B
debrecen	24-25963-B
debriefing	24-14032-B
debris	29-51021-S,35-63026-B,43-11442-B
debris from glacier	8-19260-S
debt	1-41581-S,4-39102-S,5-61375-S,5-61375-S,5-61375-S,5-65010-S,5-65097-S,6-32131-S,6-42786-B,6-42854-B,6-42943-S,6-43178-B,6-43218-S,6-56813-S,13-7992-S,15-1894-S,16-35386-S,16-44146-S,19-66407-S,21-22301-S,22-27465-B,27-35542-S,28-51420-S,47-55973-B,55-56550-S,59-31224-S,59-62932-S,63-9554-S,63-10415-S
debt case	26-41059-S
debt in full	38-58897-S
debt in kind or by labor	27-14417-S,27-15243-S
debt of blood after killing sb	56-23856-B,56-29852-B
debt of gratitude	16-10349-S
debt of gratitude coupled with duty to avenge	25-1673-B
debt 成语 saw	6-42943-S,6-43218-S
debtor	6-42892-B
debts	20-24136-S,27-36954-S,28-51420-S,59-62463-S,62-34113-S
debts of gratitude	62-57206-S
debunching	30-8650-B
debunk	69-46782-S
debut	26-47417-S
debutante	12-55366-B
decade	9-1447-S,22-47192-S,22-50252-S,23-67534-S
decade of a century e g the sixties	22-47102-S
decadent	47-41420-B,52-37535-B,68-41320-B,69-57376-B
decades	22-57388-S
decagon	10-47460-B,10-47836-B
decagram	10-44405-B
decaliter	7-60213-B,30-33642-B
decameter	7-53874-B
decant	38-42605-S
decapitate	46-13021-B
decathlon	10-47957-B
decathlon athletics	10-47890-B
decay	3-16555-S,26-25075-S,29-51285-S,52-37140-B,52-37307-S,52-38084-B,53-22879-S,56-47997-S,56-48177-B,56-48482-S,66-41445-B
decay chain	56-48662-B
decay curves	56-48534-B
decay heat	56-48605-B
decayed	52-37535-B
decayed teeth	71-56742-B
deceased	3-66483-S,12-8735-S,18-11361-S,22-2269-B,23-26368-S,25-55213-S,29-58290-B,30-34152-S,58-46879-S,61-57064-S,63-2119-S,63-2976-S,63-3154-S,63-3741-S
deceased father	7-3460-B,7-4535-B,47-9607-S
deceased friend	29-59123-B
deceased mother	3-66238-B,7-3805-B,7-4157-B,18-36183-B
deceased paternal grandmother	7-3592-B
deceased relative	6-44572-S
deceased s partner	66-23279-S
deceased s widow	63-2376-S
deceased senior male figure	7-3460-B
deceased wife	14-11992-B
deceipt	18-42940-S
deceit	1-54246-S,14-15797-S,58-15023-B,58-45222-B,69-53837-B
deceitful	8-369-S,18-25175-B,35-5019-B,42-8183-B,58-45324-B,58-61294-B,66-46013-S
deceitful in many ways 成语 saw	58-15062-B
deceitful trick	42-28370-B
deceive	13-35818-B,28-33271-S,32-52128-B,35-23053-S,35-23598-S,38-54978-S,45-61052-S,48-60019-S,49-34937-S,50-50762-B,54-64162-B,54-64597-S,56-35541-S,58-6475-S,58-17959-B,58-22801-B,58-40590-B,58-58311-S,58-59320-B,59-5778-B,61-44615-B,69-53447-S
deceive oneself	28-33509-S,53-7165-S,53-7215-S
deceive others and to deceive oneself	53-7215-S
deceived by a pretence of reason 成语 saw	35-23208-B
decelerate	38-66785-B
december	10-43365-B,52-53419-B
december 1935	54-32187-S
december 1936 kidnap of chiang kai shek 蔣介石 蒋介石	57-15734-S
december 1937	10-66315-S,10-66418-S
december 1940	44-52173-S
decent	6-50339-B,12-38101-B,35-38564-B
decentralize	1-60063-S
deception	41-43222-S
deception in war	8-369-S
deceptive	44-3618-B
deceptive front	6-10251-B
dechang place in sichuan	24-27082-S
dechen	24-27217-S
decibel	8-58494-B
decide	5-5478-S,9-2452-B,9-2522-S,19-43542-S,20-22549-S,36-65380-S,46-13319-S,56-53397-S,56-53533-S,57-29018-S
decide after consultation	13-59203-S
decide after investigating	46-13319-S
decide by vote	56-45162-B
decide judicially	59-15010-B
decide to do something	36-65552-S
decided by public vote	7-61111-B
decidedly in negative constructions	30-58577-B
deciduous	54-50578-B
deciduous tooth	3-22610-B,3-23769-B
deciduous tooth 乳牙	24-67753-S
decigram	7-23484-B,7-65332-B
decimal	10-47784-B,24-17312-S,69-16778-S
decimal digit	20-64947-B
decimal or roman numbers	30-23031-S
decimal point	20-64995-B,69-16348-S,71-37621-B
decimal system	5-53092-S,10-43888-S,10-47269-S,10-47656-B,10-47715-B,10-48058-S,44-50454-S,44-56920-S,54-43437-S
decimeter	7-59267-B,8-57122-B
decipher	57-51655-S
decision	3-5499-B,6-14265-S,7-61202-S,7-61202-S,12-15050-S,16-58008-S,26-3050-S,27-54823-S,37-0-S,37-0-S,41-327-S,46-13254-S,53-27307-B,53-40808-S,54-26244-S,56-52966-B,58-9701-S,62-17017-S
decision by ballot	7-61202-S
decision making	37-0-B
decision task	19-5013-S,58-9773-S,58-9871-S,58-9969-S
decision to appoint an official that is kept secret among the hierarchy	7-27757-B
decision tree	37-103-B
decision 成语 saw	54-26244-S
decisions	3-26300-S,5-5478-S,26-65031-S,53-62-S,61-46766-S
decisive	9-66449-B,17-6989-S,17-63285-B,30-38655-S,33-36831-B,36-65638-B
decisive action	29-21005-S
decisive action in a complex situation	24-47601-B,24-47790-B
decisive battle	36-66016-B
decisive opportunity	7-4206-B
decisive solutions to problems 成语 saw	61-44878-B
deck chair	60-58120-B
deck of a boat etc	43-40250-B
deck of playing cards	29-16364-B,49-23118-B
deckchair	27-9619-S
decked out in gorgeous clothes 成语 saw	49-11618-S,49-64792-S
decker	66-65308-S
decking out a bride	65-40767-S
decks	34-51589-S
declaim	32-45206-B
declamation	58-58903-S
declaration	16-11316-S,18-33345-S,19-55422-B,19-55478-S,37-41238-S,44-33899-S,51-60585-S,51-62920-S,51-66006-B,51-66584-B
declaration e g income tax return	6-7348-S
declaration form	16-9691-S,16-11499-S,43-43019-B
declaration of human rights	2-38888-S
declaration of independence	42-20601-B
declarative sentence	66-30045-B
declare	4-64970-S,19-54201-B,19-54544-S,22-13546-S,43-43352-S,43-43809-S,51-66584-B,66-29978-S
declare at customs	16-12609-B
declare dutiable goods at customs	16-11316-S
declare one s state for open discussion	53-4184-B
declare one s view	58-31559-S
declare publicly	19-53661-S
declare to be at fault	35-53731-B
declare to be untrue	12-66933-S
declare to customs	43-42930-S
declare to customs or to the taxman	16-11415-S
declare war	19-54674-S
declare where one stands	56-44877-B
declaring war	2-5742-S
declassify	57-48713-S
decline	1-57993-S,1-64037-S,5-59075-S,8-25848-S,11-27977-S,15-3159-S,25-20541-S,27-31875-S,28-29436-S,28-32176-S,31-18938-B,39-1189-S,45-5990-S,46-17659-S,56-47873-B,56-47922-S,56-48103-S,56-48103-B,56-48421-S,56-48722-B,58-53838-S,58-56090-S,61-61322-S,64-33283-S,66-30672-S,68-61443-S
decline a gift with thanks	43-4080-B,43-4141-B
decline an appointment	28-32498-S
decline and fall	56-47922-B
decline in fortune	68-41363-B
decline in fortunes	56-48782-B
decline in value	60-34464-B
decline in wealth and position	29-66584-B
decline of a kingdom	53-25318-S
decline over time	47-39267-S
decline to attend	61-62148-S
decline to comment	2-25095-B
decline with sincere thanks	25-58426-S
declined to employ confucius	70-40248-S
declining	68-59408-B
declining spirits	31-65614-S
declining sun in the west	31-38269-S
declining to meet a visitor	58-56403-S
declining years	31-65482-S,65-567-S
declivity	66-14621-B
decode	51-20733-S,57-51655-S,57-52446-S,58-15512-B
decoder	57-51709-B
decoder for digital or satellite tv signal etc	35-5961-B
decoding stage	62-24792-S
decolorant	52-34143-B
decommission	61-61917-B,61-62234-B
decompose	8-58196-B,41-35858-S
decomposition	8-58258-B,58-9625-S
decompress	57-48626-S
decompression esp computer	57-48626-B
decompression in digital technology	57-48519-B
decontaminant	13-4808-S,37-53287-B
decontaminating agent	37-53287-B
decontaminating field	37-53366-B
decontamination	37-53238-B,38-33929-B,66-22575-B
decorate	4-65637-S,5-47277-S,5-49913-S,26-44346-S,39-61985-S,50-11188-B,51-2408-S,56-60642-S,57-1109-S,69-8964-S,71-41721-S
decorate a room	29-30713-S
decorate one s speech or writing with literary allusions	61-24943-S
decorate with a row of colored garlands	53-55691-S
decorated archway	41-45949-B
decorated form of the great seal	70-50573-S
decorated with	49-14566-B
decorated with animal horns	57-44799-S
decorated with animal s tail	30-68043-S
decorated with lanterns and colored banners	23-40655-S
decorating	19-56038-S
decoration	6-25110-S,7-32192-S,10-3722-B,47-55707-S,49-14566-B,50-11188-B,53-61580-S,56-60642-S,57-47-B,57-1109-B,69-8964-B
decoration by actors or in hui nationality	50-46535-S
decorations	69-9351-B
decorations symbolizing the emperor of china	8-12368-S
decorative	57-1109-B
decorative carved pattern	66-62470-B
decorative design	53-59527-B
decorative motif	49-15538-B
decorum	2-336-S,3-32012-B,38-50649-S,70-8726-B
decorum 成语 saw	2-11222-S
decoy	14-63112-B
decrease	1-64037-S,16-27077-S,28-52669-S,38-66655-S,39-303-S,39-372-S,41-4636-B,50-27823-B,60-34201-S
decrease and then grow	38-32953-S
decrease inflammation	38-31219-S
decrease of a swelling	38-32024-S
decree	4-33907-B,9-47646-B,9-65976-S,26-3650-S,29-53792-S,31-12756-S,31-12814-B,37-29341-B
decreed by fate	58-20232-S
decrees	23-66576-S
decrepit	51-28301-S,71-61919-B
decrepit house	11-22907-B
decrepit old age	44-63362-B
decypher	57-52446-S,63-53787-S
decypher an old script	63-53299-S
dedicate	18-3821-S,30-11276-S,59-34679-S
dedicate oneself to progress	48-58546-S
dedicate oneself to the service of one s country	16-9760-B
dedicated	20-40380-B
dedicated network	20-40434-B
dedicated to	18-4042-B
dedicated woman behind him	26-8394-S
dedication	9-17453-S,18-2800-S,24-46413-B,68-43320-B
dedu place in heilongjiang	24-28702-S
deduce	20-58146-S,28-30425-S,28-31106-S,28-31517-S,28-32094-S
deduce the whole story from small traces	20-10768-B
deduced by calculation	20-58249-S
deduct	26-53948-S
deduction	28-32349-S,39-46495-S
deduction in logic	1-36364-S,35-54869-S,35-54975-S,35-55082-S
deductions	9-15653-S
deductive logic	39-46445-B
deed	3-31883-B,5-7962-B,9-12380-B,9-47990-S,9-49355-S,16-9162-S,16-34473-S,18-6349-B,25-18841-S,25-51964-S,51-14221-S,57-56531-S
deeds	14-3106-S,25-21703-S,26-27157-S,26-27686-S,43-56906-B,65-31388-S
deeds spread a thousand miles 成语 saw	25-18892-S
deem	57-29018-S,57-35492-S
deemed basis taxation	57-29018-S
deep	8-12827-B,8-15420-B,11-6990-S,17-3865-B,18-15786-B,37-5859-B,37-29120-S,38-48227-B,38-48806-B,38-48915-B,38-50402-B,38-50559-B,38-52084-B,38-56943-S,39-12992-B,45-40089-B,47-54496-B,47-54568-B,47-54931-B,47-58048-B,52-47322-S,56-6398-S,57-28319-B,63-9296-B,71-40140-S
deep affection	25-2178-B
deep affection for sb or sth	25-41205-B
deep and broad expanse of water	18-17820-B
deep and detailed investigation 成语 saw	34-35399-B
deep and long lasting	38-51818-B
deep and low of sound	4-68278-B
deep and profound	38-52030-B
deep and sonorous voice	20-23988-B
deep and unmeasurable 成语 saw	38-48264-B
deep as the sea 成语 saw	21-33739-S
deep at night	32-8692-B
deep at night and nobody stirs	32-8741-B
deep basket	48-35680-B
deep bay	40-2536-B
deep black	42-28578-B,71-45791-B
deep blue	38-51152-S
deep distress	54-50315-B
deep ditch	39-18218-B
deep dyslexia	38-49682-B
deep earthquake	38-50795-B
deep emotion	38-50039-B
deep emotions	45-31023-S
deep feeling	38-50039-B
deep freeze	8-20682-S
deep fried breadstick	37-22562-S
deep fried cake	40-31194-B
deep fried cooking	17-45959-B
deep fried food balls	40-30921-B
deep fried pancake	37-23895-B
deep friendship	25-12546-B,25-12729-B,57-38400-B
deep fry	37-22988-S,40-30857-S
deep fryer	37-23697-S
deep frying a possible health hazard	14-58183-S
deep frying plaited dough	71-15415-S
deep going	38-48806-B
deep gratitude up to death	49-44117-B
deep gratitude up to death 成语 saw	49-44177-B,49-44313-B
deep green	55-2676-B
deep impression of a poem	69-29958-S
deep in conversation with a comparative stranger	3-70754-B
deep in one s heart	52-25928-S
deep in sorrow	37-6707-B
deep love	38-50039-B
deep love of mountain scenery	37-28572-S
deep of water	40-13575-B
deep or shallow	38-50649-B
deep orthography	38-49597-B
deep orthography not governed by simple rules	38-49493-B
deep pool	39-62418-B
deep red	60-9314-B,62-12017-S
deep rooted problem etc	33-64369-B
deep sea vent	38-50475-B
deep set eyes	45-46604-S
deep sighs	13-49723-S
deep sorrow	13-32324-B
deep space outer space	38-50983-B
deep trouble	60-45420-S
deep valley	21-46201-B,22-55317-B,38-51713-B
deep valley or night	38-51884-B
deep voice	20-24205-S
deepavali hindu festival	21-23768-B
deepen	9-57423-S,38-8885-B,38-48864-B,40-10725-B
deeper impression on sb	9-57467-S
deeper meaning in this	17-21518-S
deepest condolences	35-61332-S
deepest or most distant part	38-51393-B
deeply	14-6481-S,15-36037-B,24-55678-S,30-13002-S,38-48676-S,38-50237-S,48-33948-S
deeply about sth	41-63646-S
deeply admire	3-55815-S
deeply affected	38-45164-S,38-45291-B
deeply attached to	25-35162-S
deeply attached to sb	33-44372-B
deeply concerned	35-61332-S,65-54173-S
deeply distressed	25-48091-B
deeply felt	38-48735-B
deeply felt but not mawkish 成语 saw	13-32526-B
deeply grateful	25-41000-B
deeply ingrained	51-17791-B
deeply moving	12-14731-S
deeply qualified	59-52274-B
deeply rooted difficulties	45-11370-S
deeply scarred for life	9-36214-B
deeply troubled	43-15896-B
deeply worried 成语 saw	42-371-B
deepwater	38-50357-B
deer	13-10499-S,34-12005-S,42-17174-S,69-44558-S,71-8169-B,71-8855-S,71-8995-S
deer and call it a horse 成语 saw	27-61283-S
deer moschus moschiferus	69-29205-S,71-10442-S
deer out to be a horse 成语 saw	27-61419-S
defame	58-6094-B,58-53478-B,59-2429-B,59-13053-B,63-48619-B
defame and persecute	59-13225-S
defame one person while flattering another	59-13125-S,59-13375-S
default on a debt	27-35542-S
default on one s debts	27-36954-S
default setting	71-36939-B
defeat	1-10181-S,4-53149-S,4-54767-S,9-15978-S,10-3774-S,10-4344-S,11-49630-S,17-19224-S,17-64662-S,23-24687-B,25-47332-B,26-40554-S,26-42312-S,26-45462-S,26-45462-S,27-70063-S,29-19691-B,29-48304-S,29-65695-S,29-65744-B,29-65798-S,30-47-S,32-44290-S,36-2581-S,39-29666-S,43-14265-S,46-17659-S,58-22481-S,58-22731-S,61-24800-S,68-31452-S,71-52242-S
defeat and fall from grace	60-56650-S
defeat from the jaws of victory	9-49161-S
defeat into victory 成语 saw	11-49943-S,61-24800-S
defeat militarily	29-47909-S
defeat on sb	17-19224-S
defeated	17-65653-S,26-45462-S,29-65695-S,29-66421-S,30-5755-B,39-64041-S,39-64195-S,46-17757-S
defeated and in rout	39-64537-B
defeated clique	69-17600-S
defeated enemy	35-62633-B
defeated on the battlefield	30-98-S
defeated troops	39-64114-B
defeats	62-22353-S
defeats one s purpose	11-3659-S
defecate	17-5687-S,21-23224-B,27-22436-S
defecation	17-15888-S
defect	7-3722-S,7-22582-S,8-42653-S,11-66405-S,20-12671-S,26-60297-S,29-61657-B,35-63350-S,36-14801-B,44-198-S,44-266-S,44-6433-B,44-8360-B,46-134-B,46-5487-S,50-49622-S,57-56133-S,57-56216-S,58-27463-S,58-27728-S,62-44417-B,66-31881-B,68-44486-S
defect from the communist party	11-66579-S
defect such as hearing or vision	46-3120-S
defect 成语 saw	13-5675-S,40-815-S,46-2764-S,46-2943-S
defection	27-3241-B
defective	2-5088-B,4-69324-S,35-20286-B,69-54069-B
defects	27-54374-S
defects and correct errors 成语 saw	56-56545-S
defen 583 666	4-35429-S
defenceless	26-34707-S
defend	5-34047-S,5-39091-B,5-39721-S,24-12474-B,28-2862-B,47-6804-B,50-4727-S,56-36962-S,56-40413-S,61-38747-S,65-59670-S,65-60402-B,65-63234-S,65-63367-S,69-48070-S
defend a championship	56-18272-S
defend a point of view etc	61-37920-S
defend against an accusation	8-58683-S
defend legal rights	50-3767-S
defend oneself	8-58873-S,43-44484-S,61-37774-S,61-37920-S
defend oneself 成语 saw	53-15053-S
defend the crown in sports championship	56-37092-S
defend the republic 1915	59-4342-S,59-4465-S,59-4893-S
defend the republic 1915 or national protection war	59-4686-S
defendant	7-48042-S,11-46092-S,56-51457-B
defendant in legal case	56-51500-B
defended military base	29-25078-S
defender	56-37285-B,61-38843-B,61-38914-B,65-60462-B
defending counsel	61-38843-B
defense	8-56090-S,10-22696-S,11-51628-S,11-52095-S,15-13437-S,15-13644-S,15-14007-S,15-63014-S,16-7311-S,22-18237-S,29-24997-S,29-48225-S,29-51598-S,33-63280-S,35-38306-S,35-38306-S,35-48337-S,38-25890-S,47-50480-S,53-13355-S,55-35308-S,63-13606-S,64-22862-S,65-59830-S,65-62673-B,65-62779-S,65-63234-B
defense against computer viruses	65-61053-B
defense against natural disasters	27-5947-B
defense against poison	65-61053-B
defense against poison gas	65-61053-B
defense budget	15-14191-B
defense department	15-14007-B
defense force	53-13400-S,53-35835-S
defense industry	15-13571-B
defense initiative sdi	26-19902-S
defense interests	15-13488-S
defense language institute founded 1941	15-13884-S
defense minister	15-14099-B,62-67543-S
defense of	61-38747-S
defense of city	35-11248-S
defense science and technology information center cdstic	2-56276-S
defense secretary	15-14099-B,47-18520-S
defense weekly	48-37495-S
defenses	16-28034-S,27-7757-S,58-2648-S
defenses against floods	27-5889-B
defenses and raze the fields 成语 saw	16-3723-S
defensive	65-63234-B
defensive buffer zone	65-62048-S
defensive city	56-37171-B
defensive fort over border post	65-54336-B
defensive gate	65-63421-B
defensive gate or wall refers to the great wall	64-22862-B
defensive line or perimeter	65-62989-B
defensive measures	65-60629-S
defensive platform over gate	65-51593-B
defensive position on frontier	63-13515-S
defensive structure	21-52683-S
defensive wall	52-25180-B
defensive weapon	65-63296-B
defensive weapons	65-62714-B
defer	23-18112-S,27-36231-S
defer to the judgement of superiors	62-68385-S
deference	30-11608-B
deference is no substitute for obedience 成语 saw	25-4160-B
deferens	61-17985-S
deferent	25-4656-B
deferential	19-51433-S,25-4100-B,43-54589-S
deferentially	20-43596-S
defiantly	23-43153-S
deficiency	2-32486-B,4-69273-S,16-22101-S,23-51834-S,49-34990-B,50-48384-B,50-48541-S,50-48703-B,55-55898-B,55-56402-B,56-22742-S,56-58599-S,56-59596-S
deficiency disease	41-32530-B
deficiency syndrome	25-36074-S
deficiency virus hiv	53-48026-S
deficient	10-39785-B,10-39846-B,23-36817-S,35-19771-B,35-25413-B,55-56652-B,59-35048-B
deficit	28-60860-S,55-55898-B,55-56176-B,55-56402-S,55-56402-B,55-56550-S,59-49436-S,60-6139-S,61-66887-S
deficit and hyperactivity disorder adhd	16-54574-S
deficit hyperactivity disorder adhd	37-44500-S
deficit of commodity	31-65287-S
defile	23-24541-B,36-57117-S,36-57209-S,36-62434-S,48-63066-S,48-63181-S,63-48619-S,65-59444-B,66-18952-B,66-41542-B,66-41735-B
defiled with blood	56-30539-B
define	1-59410-S
define a species	34-58234-S
defined	43-35347-S
defined as the period between successive equinoxes	14-56572-S
defined in terms of the fixed stars	24-67186-S
defined to be	11-24960-S
definite	1-66346-S,8-5128-B,31-25856-B,31-26055-B,46-33235-B,46-33291-B,46-34130-B,52-13173-B
definite article	19-43866-B
definite condition	26-10105-S
definite diagnosis	46-33941-S
definite news	46-33123-B
definite plan	8-5385-S
definite prospects	45-19900-S
definite thing	20-14038-B
definitely	30-38655-B,58-24604-S
definition	19-47142-B
definition instruments	70-17162-S
definition photo	70-17105-S
definition tv	70-17262-S
definitive conclusion on the coffin lid 成语 saw	55-5582-B,55-5802-B
definitive evidence	45-42396-B
deflate air from a tyre	37-60178-S
deflated	44-21189-B
deflation	62-14518-B
deflection physics	6-13387-B
deflower	18-42940-S
defoliant	54-50620-B
deform	60-11322-S,60-11393-S,60-12011-S,60-12069-S
deformation	9-30631-S,23-48371-S,23-55505-B,33-62535-S,59-7195-B,59-8131-B
deformed	13-44781-B,59-8131-S
deformed child	35-63350-S,44-266-B
deformity	24-65762-S,35-62528-B,44-198-B
deformity on a person or animal	35-63206-B
defraud	5-5628-S,15-51920-S,58-254-B,58-6544-S,58-19206-S,65-59527-S
defrosting	66-22865-B
defuse conflicts	10-24711-S
defy	27-3989-S,27-4803-B,62-57528-S
defy an edict	62-58609-S
defy the times and reject custom 成语 saw	62-57612-S
degenerate	16-30223-B,16-30333-S,30-268-B,38-45409-S,38-45519-S,52-37535-B,54-50114-S,56-47997-S,59-7697-S,61-61986-S,61-62432-B
degenerate pleasures	38-46057-B
degenerating into smoke 成语 saw	18-30395-S
degeneration	47-39267-B
degradation	7-21052-B
degrade	65-1342-B,66-17524-B
degrade chemically	52-37855-S
degree	4-44623-B,6-10998-S,11-6530-S,16-35994-S,19-17480-S,19-17529-S,22-63526-B,22-63674-B,23-65615-S,24-29914-S,29-48033-S,42-54034-S,42-54122-S,46-30103-S,47-21774-S,48-19133-B,49-54566-S,67-20206-S,70-12957-S,70-14615-S
degree doctor of philosophy	13-47731-S
degree e g equation in math 	70-16855-S
degree level or extent	47-29494-B
degree msc	46-30155-S
degree of contrast	20-51591-B
degree of credibility	12-11398-B
degree of disparity	48-18293-B
degree of earthquake on magnitude scale	67-40657-B
degree of forbearance	36-31058-B
degree of progress on project	62-29670-B
degree of seriousness of an illness	44-8845-B
degree of stability	47-42418-B
degree of support	29-38296-B
degree on employment scale	4-66632-B
degree one	1-12576-S
degree student	46-30233-S
degree three	1-36017-S
degree two	3-36612-S
degrees	3-50402-S,28-13620-S,28-13692-S,37-41050-S,69-17181-S
degrees centigrade	29-34936-B
degrees fahrenheit	54-34531-B
degrees kelvin	41-18209-S,65-29583-S
degrees of freedom	53-10707-S
degrees of temperature	22-63526-B
degrees turn	48-19639-S
dehai 1869	19-28182-S
dehisce of fruit or cotton bolls	65-41441-S
dehong dai and jingpo autonomous prefecture in west yunnan surrounded on three sides by myanmar burma	24-25204-B
dehong prefecture in yunnan dai and jingpo autonomous prefecture	24-25104-B
dehua place in fujian	24-24470-S
dehuai 1898 1974	23-57600-S
dehui county level city in changchun 長春 长春	24-26024-B,24-26198-B
dehui district district in jilin	24-26107-S
dehydrated	52-33435-B
dehydration	44-21334-S,52-33435-B,55-53767-S
dehydrogenase	2-45013-S
dehydrogenation removing hydrogen from organic compounds	52-33309-B
dei section of catholic mass	66-6259-S
deify	18-4374-S
deism	42-56301-B,53-9176-B
deities	16-60770-S,16-60861-S,32-37675-S,46-57862-B
deities heart 心	7-68706-S
deities of buddhist law	59-5015-S
deity	10-16415-S,13-45225-S,14-62266-S,15-59360-S,17-51928-S,25-22770-S,26-52206-S,30-11919-S,36-12880-S,40-8301-S,50-4815-S
deity in chinese mythology	15-63255-S
dejected	15-55683-B,23-9286-B,25-54330-S,25-61931-B,34-31122-B,37-18420-B,37-60178-B,39-62272-B
dejiang place in guizhou	24-27260-S
del fuego	57-9073-S
delacroix painter	24-26826-B
delaware	41-59238-B,41-59289-B
delay	5-12587-B,9-14299-S,11-42460-S,17-72066-S,23-16336-S,23-17679-S,23-17884-S,23-18465-B,23-18465-S,23-18623-S,23-19422-S,23-64898-B,25-8865-S,27-35886-S,27-36231-S,27-67710-B,28-29436-S,45-20424-S,46-38274-S,51-42432-S,51-42477-B,51-42569-B,58-29973-S,60-57811-S,62-67360-S,62-67788-S,62-69577-S
delay finishing off a job	27-36036-S
delay or hindrance	59-48697-S
delay payment	59-54946-S
delay working	25-63967-S
delayed	62-67236-B
delayed action	23-18008-B
delayed lesion	62-67657-B
delayed neutron	50-23097-B
delaying	61-43720-B
delaying tactics	27-36298-B,50-22650-B
delays	62-58519-S
delegate	1-60063-S,4-33061-B,8-66669-S,61-24372-S
delegate one s work	61-23943-S
delegation	1-20214-B,4-33235-B,4-33361-B,5-15113-S,15-29244-S
delete	5-6552-S,9-8309-S,9-8342-B,9-8384-S,9-8630-S,9-38983-S,11-38137-S,16-26378-S,65-37869-S
deleuze philosopher	24-24351-B
delhi	24-28766-B,49-8880-S
delhi capital of india	24-28766-S,30-48667-S
deliberate	13-61353-B,25-49923-S,26-9826-B,30-37194-S,46-36885-B,50-25855-B,55-4644-B,56-40631-S,56-41108-S,58-58136-S,63-36936-S
deliberate and decide	20-22549-S
deliberate digression	32-5401-B
deliberate exaggeration to scare people	51-67318-B
deliberate falsehoods	38-54625-S
deliberate inversion of the truth	27-61283-B
deliberate misrepresentation	27-61419-B
deliberate procrastination	27-36298-B
deliberate show of strength as a warning	30-13489-S
deliberate steps	35-24557-S
deliberate the reason 成语 saw	56-40631-S
deliberate violation 成语 saw	31-25748-B
deliberately	4-26737-S,19-7685-B,20-39157-B,25-30258-S,29-60224-B,39-47599-S,52-1213-S,68-45759-S
deliberately awkward	40-57001-B
deliberately crashing cars then demanding compensation	46-31176-S,46-31423-S
deliberately create such problems	48-28499-B
deliberately going against rule	62-57528-B
deliberately make things difficult	8-48844-S
deliberately mystifying	29-60107-B
deliberately preposterous	24-64705-S
deliberately unconventional	46-2496-B
deliberation	20-23094-B,41-15349-B
deliberations	30-37236-B,38-49939-S
delicacies	21-31540-S,21-31655-S,48-35087-B,69-19457-B,69-19636-B
delicacy	42-43743-B,42-44113-B,43-62592-S,51-9399-B
delicacy food	41-966-S
